ATVI,Activision Blizzard Inc,20110921,EA wants Facebook's users  $3 billion in digital sales ,NEW YORK Electronic Arts Inc may never recover its Silicon Valley swagger. But maybe it doesn't have to  its top executive says.,topStory
STPP,iPath US Treasury Steepener ETN,20110921,MOVES-BlackRock  Aon Hewitt  Standard Chartered , Sept 21 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
STPP,iPath US Treasury Steepener ETN,20110921,Barclays poaches Deutsche's equities team in S.Korea , HONG KONG  Sept 21 Barclays Capital (Barcap) has hired nine staff for its South Korean equities team  the company said in a statement on Wednesday. Eight of the nine staff previously worked with Deutsche Bank AG   said Barcap  investment banking arm of British bank Barclays Plc .,normal
ITRI,Itron Inc,20110921,HOW TO PLAY IT: Solyndra case: Solar's darkest hour ,   THE ISSUE: The once squeaky-clean solar power industry hits its nadir as Solyndra's executives invoke the Fifth Amendment when Congress asks the solar power manufacturer Friday to explain how it took a $535 million loan and quickly went bankrupt. Will the shakeout it spurs in solar create value in the stocks?,topStory
JASO,JA Solar Holdings Co Ltd,20110921,SolarWorld says China competition unfair ,FRANKFURT Frank Asbeck  chief executive of Germany's No.2 solar company SolarWorld  has criticized Chinese rivals for eating into the market share of European peers  potentially driving them out of business.,topStory
JASO,JA Solar Holdings Co Ltd,20110921,SolarWorld says China competition unfair - media , FRANKFURT  Sept 21 Frank Asbeck  chief executive of Germany's No.2 solar company SolarWorld   has criticised Chinese rivals for eating into the market share of European peers  potentially driving them out of business.,normal
MKTX,MarketAxess Holdings Inc,20110921,Deals of the day - mergers and acquisitions , Sept 21 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 0900 GMT on Wednesday:,topStory
MSCC,Microsemi Corporation,20110921,Dealtalk: Microsemi must raise Zarlink bid or lose to rival ,A C$550 million hostile bid for specialty chipmaker Zarlink will likely fail as investors wait for predator Microsemi to raise its bid  or for a friendly suitor to emerge.,topStory
MSCC,Microsemi Corporation,20110921,DEALTALK-Microsemi must raise Zarlink bid or lose to rival ,   * Zarlink says C$3.35/share low  talking to other parties,normal
MSFT,Microsoft Corporation,20110921,Schmidt says Google has not cooked search results ,WASHINGTON Google Inc has not cooked its search results to favor its own products and listings  Executive Chairman Eric Schmidt told a U.S. Senate hearing looking into whether the search giant abuses its power.,topStory
MSFT,Microsoft Corporation,20110921,UPDATE 4-Schmidt says Google has not cooked search results , * Senator Lee: Google decides who wins  fails on Internet,normal
MSFT,Microsoft Corporation,20110921,EA wants Facebook's users  $3 billion in digital sales ,NEW YORK Electronic Arts Inc may never recover its Silicon Valley swagger. But maybe it doesn't have to  its top executive says.,normal
MSFT,Microsoft Corporation,20110921,RPT-Soros joins Forbes top 10 U.S. billionaires list , NEW YORK  Sept 21 Investor George Soros  at 81  has for the first time made the list of the 10 wealthiest Americans  Forbes Magazine reported on Wednesday in the 2011 edition of its annual rich list.,normal
MSFT,Microsoft Corporation,20110921,Microsoft boosts dividend 25 percent ,Microsoft Corp announced a 25 percent increase in its quarterly dividend on Tuesday to 20 cents per share  as the technology giant hands more cash back to shareholders frustrated with its stagnant share price.,normal
NDAQ,Nasdaq Inc,20110921,UPDATE 1-US SEC official seeks to debunk mini flash crashes , * Market makers not usually to blame for price spikes-SEC,topStory
NDAQ,Nasdaq Inc,20110921,SEC official seeks to debunk "mini flash crashes" ,NEW YORK Sudden price moves in the stock market are by and large not caused by market makers backing away  and so should not be called "mini flash crashes " a top securities regulator said on Wednesday.,normal
NFLX,Netflix Inc,20110921,UPDATE 2-Netflix  Discovery in streaming deal for TV shows , * Discovery's first major release of long-form Web content  (Adds Netflix comments),topStory
NFLX,Netflix Inc,20110921,Exclusive: Facebook seeks exec to build Hollywood  media ties ,SAN FRANCISCO Facebook is looking to hire a big-name executive to cultivate relationships and strike deals with the film and music industries to bolster its media offerings. | Video ,normal
NWSA,News Corporation,20110921,Hulu has more than 1 million paying subscribers: CEO ,NEW YORK Hulu  the popular online video service which has been put up for sale by its joint owners  now has more than 1 million paying subscribers  Chief Executive Jason Kilar said on Wednesday.,topStory
NWSA,News Corporation,20110921,UPDATE 1-Hulu has more than 1 mln paying subs - CEO , * Hulu sale still being evaluated - News Corp COO Carey,normal
NWSA,News Corporation,20110921,"Glee" debut loses TV fans but wins over critics ,LOS ANGELES Television musical comedy "Glee" returned to smaller audiences but warm reviews after a summer of confusion over the future of its stars  a box-office flop of a concert movie and disappointment at the Emmys.,normal
NWSA,News Corporation,20110921,'Glee' debut loses TV fans but wins over critics , LOS ANGELES  Sept 21 Television musical comedy "Glee" returned to smaller audiences but warm reviews after a summer of confusion over the future of its stars  a box-office flop of a concert movie and disappointment at the Emmys.,normal
NWSA,News Corporation,20110921,Disney  Cameron to create theme-park "Avatar" ,LOS ANGELES Moviegoers pining for a return to the lush moon of Pandora in James Cameron's film "Avatar" will finally get their chance -- first-hand.,normal
NWSA,News Corporation,20110921,French papers team up to break Apple stranglehold ,PARIS Apple's tight control over media content on its iPad is about to fall foul of some of France's most powerful newspapers and magazines  which hope that by teaming up they can stop the technology giant from dictating the terms of their distribution.,normal
NWSA,News Corporation,20110921,French papers team up to break Apple stranglehold , * Growing dismay among publishers on Apple's iPad terms,normal
NWSA,News Corporation,20110921,British editors appeal to government not to crush Fleet Street ,LONDON British newspaper editors  in crisis after revelations of illegal phone-hacking and other ethical lapses  recognized on Tuesday that Fleet Street had to mend its ways but appealed to the government not to crush Britain's cherished free speech with draconian laws. | Video ,normal
NWSA,News Corporation,20110921,PRESS DIGEST - Wall Street Journal - Sept 21 , Sept 21 The following were the top stories in The Wall Street Journal on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
NWSA,News Corporation,20110921,US seeks information from News Corp as part of bribery probe-reports , Sept 20 U.S. prosecutors have sent a letter to News Corp   requesting information on alleged payments its UK tabloid newspapers made to British police for tips  media reports said late Tuesday.,normal
OSTK,Overstockcom Inc,20110921,Schmidt says Google has not cooked search results ,WASHINGTON Google Inc has not cooked its search results to favor its own products and listings  Executive Chairman Eric Schmidt told a U.S. Senate hearing looking into whether the search giant abuses its power.,topStory
OSTK,Overstockcom Inc,20110921,UPDATE 4-Schmidt says Google has not cooked search results , * Senator Lee: Google decides who wins  fails on Internet,normal
OSTK,Overstockcom Inc,20110921,Schmidt confident regulators will clear Google , * Expedia representative to say Google abuses dominance,normal
QCOM,QUALCOMM Incorporated,20110921,UPDATE 1-Taiwan's ASE to invest $3.7 bln in Shanghai semicon plant , * ASE expects $8.5 bln revenue from Shanghai plants   (Adds other details and share price),topStory
REGN,Regeneron Pharmaceuticals Inc,20110921,UPDATE 3-U.S. VA halts Avastin use for eye disease , * Regeneron shares close up 9.2 percent on Eylea prospects  (Adds analyst comment  Eylea FDA action date  updates share price),topStory
REGN,Regeneron Pharmaceuticals Inc,20110921,VA halts Avastin use for eye disease ,The U.S. Department of Veterans Affairs said it has stopped using Roche's Avastin to treat a sight-robbing eye disease as it looks into reports of increased risk of infection.,normal
RYAAY,Ryanair Holdings plc,20110921,Boeing aims to win over half China orders over 20 years: exec ,BEIJING Boeing Co  aims to win at least half of China's anticipated 5 000 new aircraft orders over the next 20 years  a senior executive said on Wednesday.,topStory
RYAAY,Ryanair Holdings plc,20110921,Boeing aims to win over half China orders over 20 yrs -exec , BEIJING  Sept 21 Boeing Co aims to win at least half of China's anticipated 5 000 new aircraft orders over the next 20 years  a senior executive said on Wednesday.,normal
SBUX,Starbucks Corporation,20110921,Man sues Starbucks over restroom camera ,WASHINGTON A U.S. man is suing Starbucks Coffee Co after his 5-year-old daughter allegedly found a video camera pointed at the toilet in a bathroom in one of their cafes.,topStory
SBUX,Starbucks Corporation,20110921,U.S. man sues Starbucks over restroom camera , WASHINGTON  Sept 20 A U.S. man is suing Starbucks Coffee Co after his 5-year-old daughter allegedly found a video camera pointed at the toilet in a bathroom in one of their cafes.,normal
AMTD,TD Ameritrade Holding Corporation,20110921,TD Bank expresses little appetite for E*Trade deal , TORONTO  Sept 21 The lack of clarity around the assets held in E*Trade's  mortgage portfolio and the high price that the U.S. online broker might fetch make it unlikely that Toronto-Dominion Bank  would take part in any deal to buy the firm.,topStory
VOD,Vodafone Group Plc,20110921,Judge sets February 13 date for AT&T antitrust trial ,WASHINGTON A U.S. judge set a February 13 start for a trial over whether AT&T Inc can buy rival T-Mobile USA  a compromise between the companies' desire for a quick resolution and the Justice Department's request for more time to prepare its case.,topStory
VOD,Vodafone Group Plc,20110921,UPDATE 2-US judge sets Feb. 13 date for AT&T antitrust trial , * AT&T says deal will expand high-speed wireless coverage,normal
VOD,Vodafone Group Plc,20110921,Sprint CEO: 2011 targets exclude any iPhone launch ,NEW YORK Sprint Nextel Corp would need to change its full year guidance for 2011 if the company started selling the Apple Inc iPhone  Chief Executive Dan Hesse said on Wednesday at a conference.,normal
VOD,Vodafone Group Plc,20110921,UPDATE 2-Sprint CEO: 2011 targets exclude any iPhone launch , * Says DoJ may not insist on 4 national U.S. operators  (Adds AT&T comment  share price update),normal
VOD,Vodafone Group Plc,20110921,U.S. judge sets February 13 for AT&T antitrust trial ,WASHINGTON A U.S. judge set a February 13 start for a trial over whether AT&T Inc  can buy rival T-Mobile USA despite competitive concerns raised in a lawsuit by the Obama administration's Justice Department.,normal
VOD,Vodafone Group Plc,20110921,Sprint CEO: 2011 targets exclude any iPhone launch , NEW YORK  Sept 21 Sprint Nextel  would need to change its full year guidance for 2011 if the company started selling the Apple Inc  iPhone  Chief Executive Dan Hesse said on Wednesday.,normal
AA,Alcoa Corporation,20110921,UPDATE 1-Alcoa reorganizes midstream businesses , Sept 21 America's biggest aluminum producer Alcoa Inc said it plans to reorganise its midstream Global Rolled Products businesses to tap growth opportunity in emerging markets.,topStory
AXP,American Express Company,20110921,Heartland Payment sees growth in market share  margins ,Payment processor Heartland Payment Systems Inc  sees scope for growing its market share and margins at a time when the sluggish U.S. economy is expected to hurt its larger rivals.,topStory
AIG,American International Group Inc,20110921,UPDATE 1-AIG hires top IRS official for tax operations , Sept 21 Bailed-out insurer American International Group   which holds tens of billions of dollars in valuable tax assets  on Wednesday named a former top Internal Revenue Service official to run its global tax planning.,topStory
AEUA,Anadarko Petroleum Corporation,20110921,UPDATE 1-Total to partner with Anadarko  Cove in Kenya , * Oil major Total to acquire 40 pct stake in blocks offshore Kenya,topStory
APC,Anadarko Petroleum Corporation,20110921,UPDATE 1-Total to partner with Anadarko  Cove in Kenya , * Oil major Total to acquire 40 pct stake in blocks offshore Kenya,topStory
BUD,Anheuser-Busch Inbev SA,20110921,RPT-UPDATE 4-SABMiller seals $10.2 bln Foster's with a beer , (Repeats item first published Sept 21 with no change to text),topStory
BUD,Anheuser-Busch Inbev SA,20110921,SABMiller seals $10.2 billion Foster's with a beer ,LONDON Brewing giant SABMiller  agreed to buy Foster's Group  for a sweetened price of A$9.9 billion ($10.2 billion) on Wednesday after talks between the two last week ended in a couple of beers which sealed the deal this week. | Video ,normal
BUD,Anheuser-Busch Inbev SA,20110921,UPDATE 4-SABMiller seals $10.2 bln Foster's with a beer , * SABMiller shares end down 1.6 percent at 21.85 pounds,normal
AON,Aon plc,20110921,New Fidelity retirement assets grow more slowly ,BOSTON Fidelity Investments said on Wednesday it added new defined-contribution retirement plans with total assets of $17 billion in the first half of 2011  boosting its position as the industry's largest plan provider.,topStory
AON,Aon plc,20110921,UPDATE 1-New Fidelity retirement assets grow more slowly , * Fidelity largest provider of defined-contribution plans,normal
APA,Apache Corporation,20110921,UPDATE 6-Apache buying Exxon North Sea assets for $1.75 bln , * Apache shares up 0.2 percent; Exxon off 0.5 percent  (Adds deal metrics  updates share price),topStory
APA,Apache Corporation,20110921,Apache achète des actifs d'Exxon en Mer du nord pour $1 75 md , 21 septembre Le pétrolier américain Apache  a annoncé mercredi qu'il rachetait à son compatriote ExxonMobil des actifs dans la Mer du nord pour 1 75 milliard de dollars.,normal
AZN,Astrazeneca PLC,20110921,U.S. health officials push flu shots for all , CHICAGO  Sept 21 U.S. health officials are looking to capitalize on significant gains in flu vaccination rates with a new campaign emphasizing the need for all Americans over six months of age to get a flu shot.,topStory
T,AT&T Inc,20110921,Judge sets February 13 date for AT&T antitrust trial ,WASHINGTON A U.S. judge set a February 13 start for a trial over whether AT&T Inc can buy rival T-Mobile USA  a compromise between the companies' desire for a quick resolution and the Justice Department's request for more time to prepare its case.,topStory
T,AT&T Inc,20110921,UPDATE 2-US judge sets Feb. 13 date for AT&T antitrust trial , * AT&T says deal will expand high-speed wireless coverage,normal
T,AT&T Inc,20110921,Sprint CEO: 2011 targets exclude any iPhone launch ,NEW YORK Sprint Nextel Corp would need to change its full year guidance for 2011 if the company started selling the Apple Inc iPhone  Chief Executive Dan Hesse said on Wednesday at a conference.,normal
T,AT&T Inc,20110921,UPDATE 2-Sprint CEO: 2011 targets exclude any iPhone launch , * Says DoJ may not insist on 4 national U.S. operators  (Adds AT&T comment  share price update),normal
T,AT&T Inc,20110921,U.S. judge sets February 13 for AT&T antitrust trial ,WASHINGTON A U.S. judge set a February 13 start for a trial over whether AT&T Inc  can buy rival T-Mobile USA despite competitive concerns raised in a lawsuit by the Obama administration's Justice Department.,normal
T,AT&T Inc,20110921,US judge sets Feb. 13 trial date for AT&T antitrust case , WASHINGTON  Sept 21 A U.S. judge set an early trial date  Feb. 13  over whether AT&T Inc  can buy rival T-Mobile  despite competitive concerns raised in a lawsuit by the Obama administration's Justice Department.,normal
T,AT&T Inc,20110921,Sprint CEO: 2011 targets exclude any iPhone launch , NEW YORK  Sept 21 Sprint Nextel  would need to change its full year guidance for 2011 if the company started selling the Apple Inc  iPhone  Chief Executive Dan Hesse said on Wednesday.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110921,DealTalk: Could BRIC banks ride to Europe's rescue? ,LONDON Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20110921,DEALTALK-Could BRIC banks ride to Europe's rescue? , LONDON  Sept 21 Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110921,Spanish stocks - Factors to watch on Wednesday , MADRID  Sept 21 The following Spanish stocks may be affected by newspaper reports and other factors on Wednesday. Reuters has not verified the newspaper reports  and cannot vouch for their accuracy:,normal
SAN,Banco Santander SA,20110921,TEXT-S&P lowers rtg on Santander Hipotecario 6's class F notes , (The following statement was released by the rating agency),topStory
SAN,Banco Santander SA,20110921,Spanish stocks - Factors to watch on Wednesday , MADRID  Sept 21 The following Spanish stocks may be affected by newspaper reports and other factors on Wednesday. Reuters has not verified the newspaper reports  and cannot vouch for their accuracy:,normal
BAC,Bank of America Corporation,20110921,Moody's downgrades big banks on changed policy ,Moody's Investors Service lowered debt ratings for Bank of America Corp  Citigroup Inc and Wells Fargo & Co on Wednesday  saying the U.S. government is getting less comfortable with bailing out large troubled lenders.,topStory
BAC,Bank of America Corporation,20110921,UPDATE 4-Moody's downgrades big banks on changed US policy , * Moody's sees US government less open to too-big-to-fail,normal
BAC,Bank of America Corporation,20110921,CORRECTED - UPDATE 3-Moody's downgrades big banks on changed US policy , (Corrects paragraph four to show Bank of America is largest U.S. bank by assets  not second largest),normal
BAC,Bank of America Corporation,20110921,Wall Street sinks 3 percent after Fed cites economic "risks" ,NEW YORK Stocks suffered their worst drop in a month after the Federal Reserve said there were "significant downside risks" to the economy even as it took another stab at boosting growth. | Video ,normal
BAC,Bank of America Corporation,20110921,US STOCKS-Wall St sinks 3 pct after Fed cites economic 'risks' , * Dow off 2.5 pct  S&P off 2.9 pct  Nasdaq off 2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Adds graph on banks  quote  updates bullets  volume),normal
BAC,Bank of America Corporation,20110921,BofA mortgage pact no "sweetheart" deal: lawyer ,NEW YORK A proposed $8.5 billion settlement of Bank of America Corp's mortgage-backed securities liability is not a "sweetheart deal" to help the bank  a lawyer for institutional investors argued in court on Wednesday in a legal tussle over the agreement.,normal
BAC,Bank of America Corporation,20110921,BofA mortgage pact no "sweetheart" deal - lawyer , * Signature $8.5 billion pact for BofA/Countrywide loans,normal
BAC,Bank of America Corporation,20110921,Bank of America CDS costs rise after Moody's cut , NEW YORK  Sept 21 The cost to insure Bank of America's  debt in the credit default swap market rose on Wednesday after Moody's Investors Corp cut the bank's credit rating and said the government may be less like to support the bank if it verged on failure.,normal
BAC,Bank of America Corporation,20110921,Regulators split on hedging under Volcker rule ,WASHINGTON/NEW YORK Regulators hashing out the details of a new ban on proprietary trading are wrestling with internal disagreements over how much leeway to give banks when it comes to their ability to hedge risk  according to people familiar with the negotiations.,normal
BAC,Bank of America Corporation,20110921,Fortis Healthcare pulls out of Turkey's Acibadem stake buy - source , SINGAPORE/DUBAI  Sept 21 Fortis Healthcare International  owned by India's billionaire Singh brothers  has pulled out of talks to buy a controlling stake in Turkish hospital group Acibadem   a source with direct knowledge of the talks told Reuters.,normal
BK,Bank Of New York Mellon Corporation (The),20110921,BofA mortgage pact no "sweetheart" deal: lawyer ,NEW YORK A proposed $8.5 billion settlement of Bank of America Corp's mortgage-backed securities liability is not a "sweetheart deal" to help the bank  a lawyer for institutional investors argued in court on Wednesday in a legal tussle over the agreement.,topStory
BK,Bank Of New York Mellon Corporation (The),20110921,BofA mortgage pact no "sweetheart" deal - lawyer , * Signature $8.5 billion pact for BofA/Countrywide loans,normal
BCS,Barclays PLC,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,topStory
BCS,Barclays PLC,20110921,UPDATE 4-Lehman to drop appeals over Barclays sale , * Will not appeal follow-up ruling over employee bonuses,normal
BCS,Barclays PLC,20110921,Obama says American jobs can help the world ,NEW YORK U.S. President Barack Obama sought support for his job creation plan at a philanthropic summit on Wednesday  saying improving the prospects of the world's richest economy was good for the world.,normal
BCS,Barclays PLC,20110921,Obama says American jobs can help the world , * Corporate leaders say social good now a core strategy,normal
BCS,Barclays PLC,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,normal
BCS,Barclays PLC,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of its North American business in 2008.,normal
BCS,Barclays PLC,20110921,DealTalk: Could BRIC banks ride to Europe's rescue? ,LONDON Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
BCS,Barclays PLC,20110921,DEALTALK-Could BRIC banks ride to Europe's rescue? , LONDON  Sept 21 Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
BCS,Barclays PLC,20110921,MOVES-BlackRock  Aon Hewitt  Standard Chartered , Sept 21 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
BCS,Barclays PLC,20110921,Barclays poaches Deutsche's equities team in S.Korea , HONG KONG  Sept 21 Barclays Capital (Barcap) has hired nine staff for its South Korean equities team  the company said in a statement on Wednesday. Eight of the nine staff previously worked with Deutsche Bank AG   said Barcap  investment banking arm of British bank Barclays Plc .,normal
BKS,Barnes & Noble Inc,20110921,Privacy terms throw snag in B&N-Borders IP deal , * Barnes & Noble won Borders' customer info at auction,topStory
BCE,BCE Inc,20110921,UPDATE 2-Canada regulator tightens mobile  Internet rules , * Unclear if rules will apply to Netflix  (Adds quote from CRTC  Telus  Rogers; background),topStory
BCE,BCE Inc,20110921,REFILE-UPDATE 1-Canada regulator tightens mobile  Internet rule , Sept 21 Canada's broadcast and telecom regulator tightened rules on Wednesday on how companies that own both television content and the means to distribute programming can sell rights to rivals.,normal
BZH,Beazer Homes USA Inc,20110921,"Buying frenzy" lawsuit vs homebuilders revived ,A federal appeals court revived a lawsuit by homeowners who accused eight major homebuilders of causing them to overpay for their homes by marketing nearby houses to high-risk borrowers who later went into foreclosure.,topStory
BZH,Beazer Homes USA Inc,20110921,UPDATE 3-"Buying frenzy" lawsuit vs U.S. homebuilders revived , * DR Horton  Lennar  PulteGroup  5 other homebuilders sued,normal
BHP,BHP Billiton Limited,20110921,ADR REPORT-ADRs end 3 pct lower; energy  miners tumble , NEW YORK  Sept 21 U.S.-listed shares of overseas companies dropped 3 percent on Wednesday as the Federal Reserve's policy statement underscored worries about the global economic outlook  driving down energy and other economically sensitive shares.,topStory
BHP,BHP Billiton Limited,20110921,PRESS DIGEST-Australian Business News - Sept 22 , MELBOURNE  Sept 22    Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,normal
BHP,BHP Billiton Limited,20110921,Range Resources shares jump again on M&A chatter ,Range Resources Corp  shares jumped on Wednesday on speculation about a takeover of the U.S. exploration and production company  even if there are doubts among analysts about the likelihood of such a deal.,normal
BHP,BHP Billiton Limited,20110921,UPDATE 1-Range Resources shares jump again on M&A chatter , * Shares up 6 pct; up 91 pct in past year  (Adds analyst comment  no comment from Range),normal
BHP,BHP Billiton Limited,20110921,UPDATE 2-Liberia mulls Sirleaf's poll eligibility , * Supreme Court studying residency requirements for candidates,normal
BBL,BHP Billiton plc,20110921,PRESS DIGEST-Australian Business News - Sept 22 , MELBOURNE  Sept 22    Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
BBL,BHP Billiton plc,20110921,UPDATE 2-Liberia mulls Sirleaf's poll eligibility , * Supreme Court studying residency requirements for candidates,normal
BLK,BlackRock Inc,20110921,Analysis: Fed's twist moves hurts company pension plans ,BOSTON The Federal Reserve's 'Operation Twist' to bring down bond yields and stimulate the economy is likely to cause pain for the nation's largest pension funds  already struggling with funding shortfalls from the recent stock market decline.,topStory
BLK,BlackRock Inc,20110921,BofA mortgage pact no "sweetheart" deal: lawyer ,NEW YORK A proposed $8.5 billion settlement of Bank of America Corp's mortgage-backed securities liability is not a "sweetheart deal" to help the bank  a lawyer for institutional investors argued in court on Wednesday in a legal tussle over the agreement.,normal
BLK,BlackRock Inc,20110921,BofA mortgage pact no "sweetheart" deal - lawyer , * Signature $8.5 billion pact for BofA/Countrywide loans,normal
BA,Boeing Company (The),20110921,Brazil may reconsider buying jets in 2012-official , NEW YORK  Sept 21 Brazil will hold off plans to purchase new fighter jets until at least 2012 as the government cuts spending to fight the global economic crisis  Brazilian Foreign Minister Antonio Patriota said on Wednesday.,topStory
BA,Boeing Company (The),20110921,China warns against U.S. F-16 upgrade for Taiwan ,WASHINGTON/BEIJING The Obama administration told the U.S. Congress on Wednesday that it planned a $5.3 billion upgrade of Taiwan's F-16 fighter fleet  angering Beijing but disappointing new arms-sales advocates.,normal
BA,Boeing Company (The),20110921,UPDATE 3-China warns against U.S. F-16 upgrade for Taiwan , * U.S. moves to retrofit Taiwan's aging F-16 fighters,normal
BA,Boeing Company (The),20110921,China condemns U.S. arms sales offer to Taiwan ,WASHINGTON/TAIPEI The Obama administration informed Congress on Wednesday that it plans to upgrade Taiwan's aging F-16 fighter jets  drawing strong condemnation from China which called it a "grave interference" in its internal affairs.,normal
BA,Boeing Company (The),20110921,US moves to retrofit Taiwan's F-16 fighter fleet , * Taiwan says F-16 upgrade to contribute to regional peace,normal
BA,Boeing Company (The),20110921,Boeing aims to win half of China's orders: executive ,BEIJING Boeing  aims to win at least half China's expected 5 000 new aircraft orders over the next 20 years  to maintain its market share in a country where it sees annual double-digit aviation growth over the same period.,normal
BA,Boeing Company (The),20110921,RPT-UPDATE 1-U.S. govt concerned at hacking of Japan arms firms , * U.S. pressuring Japan to shore up cyber defenses -source,normal
BA,Boeing Company (The),20110921,U.S. government concerned at hacking of Japan arms firms ,TOKYO The United States on Wednesday expressed concern about recent cyber attacks on defense contractors in Japan  which build U.S.-designed missiles  warships and military aircraft  calling for the attacks to be taken seriously.,normal
BA,Boeing Company (The),20110921,Boeing aims to win over half China orders over 20 years: exec ,BEIJING Boeing Co  aims to win at least half of China's anticipated 5 000 new aircraft orders over the next 20 years  a senior executive said on Wednesday.,normal
BA,Boeing Company (The),20110921,RPT-U.S. govt concerned at hacking of Japan arms firms , TOKYO  Sept 21 The U.S. government is concerned about cyber attacks on Japanese defence contractors including Mitsubishi Heavy Industries   which builds F-15 fighter jets  Patriot missiles and other U.S. designed weapons for Japan's military  urging such attacks be taken seriously  the U.S. embassy in Tokyo said.,normal
BP,BP plc,20110921,Range Resources shares jump again on M&A chatter ,Range Resources Corp  shares jumped on Wednesday on speculation about a takeover of the U.S. exploration and production company  even if there are doubts among analysts about the likelihood of such a deal.,topStory
BP,BP plc,20110921,UPDATE 1-Range Resources shares jump again on M&A chatter , * Shares up 6 pct; up 91 pct in past year  (Adds analyst comment  no comment from Range),normal
BP,BP plc,20110921,Destin-Miss. gas plant force majeure to lift Friday , NEW YORK  Sept 21 Destin Pipeline Co LLC on Wednesday said repairs were complete on the Pascagoula natural gas processing plant in Mississippi and force majeure would be terminated on Friday.,normal
BP,BP plc,20110921,UPDATE 6-Apache buying Exxon North Sea assets for $1.75 bln , * Apache shares up 0.2 percent; Exxon off 0.5 percent  (Adds deal metrics  updates share price),normal
BP,BP plc,20110921,UPDATE 2-UK Forties oil cargo dropped in Oct  delays seen , * One October cargo  most of September's  said to be delayed,normal
BP,BP plc,20110921,UPDATE 2-Azerbaijan to diversify oil flows to Europe  Asia in '12 , * Azerbaijan to export 2 mln t of oil to Czech Kralupy refinery in '12,normal
BP,BP plc,20110921,Output being restored after Iraq Rumaila fire , BASRA  Iraq  Sept 21 Reduced oil production at Iraq's supergiant Rumaila oil field is being gradually restored  a day after a fire broke out at a state-run gas compression unit and hit crude output  a senior Iraqi oil official said on Wednesday.,normal
BP,BP plc,20110921,Russian plaintiffs raise BP claim to $4.9 bln , MOSCOW  Sept 21 Minority shareholders in TNK-BP    the Russian oil firm half-owned by BP   have increased their claim for damages over the British major's attempt to ally with Rosneft to 154.3 billion roubles ($4.9 billion) from 87.1 billion.,normal
BP,BP plc,20110921,Apache achète des actifs d'Exxon en Mer du nord pour $1 75 md , 21 septembre Le pétrolier américain Apache  a annoncé mercredi qu'il rachetait à son compatriote ExxonMobil des actifs dans la Mer du nord pour 1 75 milliard de dollars.,normal
BP,BP plc,20110921,BP oil spill poses long-term threat - US study , MOBILE  Ala.  Sept 20 Oil mats submerged in the seabed more than a year after the biggest oil spill in U.S. history pose a long-term threat to coastal ecosystems across the northern Gulf of Mexico  according to Auburn University researchers.,normal
BMY,Bristol-Myers Squibb Company,20110921,Spooky theory  leukemia drugs top Nobel tips: Thomson Reuters ,LONDON Researchers who developed ground-breaking leukemia drugs  discovered dendrimers and delved into the intricacies of what Einstein dubbed "spooky action" are among Thomson Reuters 2011 top tips to win Nobel prizes for science.,topStory
BMY,Bristol-Myers Squibb Company,20110921,Factbox: Cancer drugs  Einstein's "spookiness" top Nobel picks ,Researchers who developed ground-breaking leukemia drugs  discovered dendrimers and confirmed Einstein's view that quantum entanglement is "spooky" are among Thomson Reuters 2011 top tips to win Nobel prizes for science.,normal
