ATVI,Activision Blizzard Inc,20111115,Vivendi sells 35 mln shares of game unit Activision ,PARIS  Nov 15 Vivendi said it had sold 35 million shares of video game maker Activision Blizzard   reducing its stake by roughly 3 percent to 60 percent.,topStory
BBY,Best Buy Co Inc,20111115,TEXT-Fitch: UK electrical retailers face christmas chill ,Nov 15- Fitch Ratings says consumer electronics and electrical goods retailers are likely to face some of the strongest headwinds on the UK high street over the holiday season. We believe significant competition from online retailers is cutting into already narrow margins and weak consumer confidence is likely to hurt discretionary big-ticket purchases. In addition  there is no "must-have" new technology on the market that could help offset the conditions. This difficult trading environment has ,topStory
BA,Boeing Company (The),20111115,Qatar  Airbus make up and sign $6 billion deal ,DUBAI Qatar Airways placed a $6.5 billion order for Airbus jets on Tuesday  just hours after saying at the Dubai Air Show it had walked away from the deal.,topStory
BA,Boeing Company (The),20111115,WRAPUP 4-AIRSHOW-Qatar  Airbus make up and sign $6 bln deal ,* Dispute over first taker for new plane caused upset -sources,normal
BA,Boeing Company (The),20111115,UPDATE 1-WestJet likely to expand into 2nd fleet type - CFO ,Nov 15 WestJet Airlines Ltd is likely to diversify from its current single-aircraft fleet type eventually  although no decision has been made at this stage  its chief financial officer said on Tuesday.,normal
BA,Boeing Company (The),20111115,AIRSHOW-WRAPUP 3-In dramatic reversal  Qatar signs $6.5-bn Airbus deal ,DUBAI  Nov 15 Qatar Airways finally returned to the table to sign a $6.5-billion deal with Airbus  hours after cancelling an announcement at the last minute and bluntly telling the European planemaker to go back to basics.,normal
BA,Boeing Company (The),20111115,Qatar ends suspense with $6.5 bln Airbus order ,DUBAI  Nov 15 Qatar Airways placed a $6.5 billion order for Airbus jets hours after telling the European giant to go back to basics and learn how to build airplanes in a day of high theatre at the Dubai Air Show on Tuesday.,normal
BA,Boeing Company (The),20111115,AIRSHOW-WRAPUP 2-Qatar pulls Airbus deal  slams planemaker ,DUBAI  Nov 15 Qatar Airways slammed the brakes on an expected $6.5 billion deal with Airbus at the last minute on Tuesday  throwing the Dubai Air Show into disarray as the airline's head signed a deal with Boeing and told its European rival to go back to basics.,normal
BA,Boeing Company (The),20111115,AIRSHOW-WRAPUP 1-Qatar pulls Airbus deal  slams planemaker ,DUBAI  Nov 15 Qatar Airways slammed the brakes on an expected $6.5 billion deal with Airbus at the last minute on Tuesday  throwing the Dubai Air Show into disarray as the airline's head signed a deal with Boeing and told its European rival to go back to basics.,normal
BA,Boeing Company (The),20111115,AIRSHOW-UPDATE 1-Qatar  Airbus take centrestage ,Nov 15 Qatar Airways looks set to double its order for the world's largest airliner with a purchase of five Airbus A380 superjumbos on Tuesday.,normal
BA,Boeing Company (The),20111115,MidEast chief says Airbus may top order goal ,DUBAI A senior Airbus executive predicted continued strong demand for the revamped A320neo jet as carriers scramble to save fuel and raised the prospect of quick new sales at the Dubai Air Show.,normal
BP,BP plc,20111115,BP Whiting restarting crude unit  coker -sources ,HOUSTON  Nov 15 BP Plc's  405 000 barrel-per-day (bpd) Whiting  Indiana  refinery began restarting a crude distillation unit and a coking unit on Tuesday after a two-week overhaul  according to sources familiar with refinery operations.,topStory
BP,BP plc,20111115,UPDATE 2-BP can't use Transocean insurance for Gulf spill ,* Judge says Alabama  Louisiana may seek punitive damages,normal
BP,BP plc,20111115,UPDATE 1-BP indemnity core to any Macondo deal - Transocean ,Nov 15 Transocean Ltd  sees maintaining its contractual indemnity as the base for any potential settlement with BP Plc over liability for last year's Macondo well blow-out in the Gulf of Mexico.,normal
BP,BP plc,20111115,UPDATE 1-US states may seek punitive damages in BP spill ,Nov 14 A federal judge on Monday said Alabama and Louisiana may seek punitive damages from companies including BP Plc for damages arising from last year's Deepwater Horizon oil spill in the Gulf of Mexico.,normal
BMY,Bristol-Myers Squibb Company,20111115,TAKE-A-LOOK-Medical pros eye data at American Heart Assn meeting ,The American Heart Association annual scientific meeting is under way in Orlando  Florida  where thousands of doctors and researchers have gathered to see the latest data in the field. Highlights of the meeting include studies on blood clot preventers  one from Johnson & Johnson and Bayer AG   and another from Bristol-Myers Squibb and Pfizer . Other featured studies include those for medicines designed to raise "good" cholesterol. The meeting runs until Wednesday.--------------------------------,topStory
BT,BT Group plc,20111115,UPDATE 1-India's Tech Mahindra Q2 net up 60 pct  warns on Europe ,MUMBAI  Nov 15 Tech Mahindra  India's fifth largest software services firm  reported a 60 percent rise in net profit for the quarter to end-September  but cautioned on falling European spending  adding lower revenue from its top client hit margins.,topStory
BT,BT Group plc,20111115,India's Tech Mahindra Q2 margins hit by wage hikes  lower BT revenue ,MUMBAI  Nov 15 Tech Mahindra  India's fifth largest software services company  saw margins decline in the quarter to end-September due to salary hikes and a decline in revenue from the firm's largest client BT Group Plc   Chief Executive Officer Vineet Nayyar said on Tuesday.,normal
CCJ,Cameco Corporation,20111115,Rio Tinto seen stoking bid war for Hathor ,MELBOURNE  Nov 15 Rio Tinto is unlikely to walk away from a bidding war for uranium developer Hathor Exploration  investors said on Tuesday  after rival bidder Cameco Corp trumped the global miner with a C$625 million ($615 million) offer.,topStory
CPB,Campbell Soup Company,20111115,Sara Lee  Campbell ratings fall as prices rise ,Nov 15 Sara Lee Corp and Campbell Soup Co raised their prices more than some food industry peers  a move that reduced their customers' satisfaction and put them at the bottom of an industry ranking  according to an index released on Tuesday.,topStory
COF,Capital One Financial Corporation,20111115,TABLE-Delinquency rates rise marginally at most major US card cos ,Nov 15 Credit card charge-offs and delinquency rates rose slightly at most major U.S. lenders in October  as a weak economy and stubbornly high unemployment rates took a toll on American consumers trying to keep up with their bill payments  but remained near historically low levels. 	     	                              Net charge-off rate        Delinquency rate     	                              Oct 2011  Sept 2011       Oct 2011  Sept 2011        	 Bank of America        5.98     5,topStory
CVX,Chevron Corporation,20111115,Progress seen in fixing Brazil oil spill: Chevron ,Chevron Corp. said on Tuesday that oil flow from an appraisal well drilled at its Frade field in Brazil appears to have ceased  the first sign of progress in efforts to contain an oil spill in the region.,topStory
CVX,Chevron Corporation,20111115,UPDATE 1-Chevron L.A. refinery FCC back in operation-sources ,* Restart responsible for Monday price drop -trade     * Unit was shut Oct 25 for repairs      HOUSTON  Nov 15 A gasoline-producing fluid catalytic cracking unit returned to production on Tuesday at Chevron's 273 000 barrel-per-day (bpd) Los Angeles-area refinery in El Segundo  California  according to sources familiar with refinery operations.     A Chevron representative was unavailable to discuss refinery operations.     West Coast refined products traders also said they understoo,normal
CVX,Chevron Corporation,20111115,Chevron L.A. refinery FCC back in operation -sources ,HOUSTON  Nov 15 A gasoline-producing fluidic catalytic cracking unit returned to production on Tuesday at Chevron Corp's 273 000 barrel-per-day (bpd) Los Angeles-area refinery in El Segundo  California  according to sources familiar with refinery operations.,normal
CVX,Chevron Corporation,20111115,UPDATE 1-Chevron Richmond crude unit fire out -company ,HOUSTON  Nov 15 A fire broke out and was quickly extinguished Monday night in a crude distillation unit at Chevron Corp's 245 271 barrel-per-day (bpd) Richmond  California  refinery  according to notices the refinery filed with state and federal pollution regulators.,normal
CVX,Chevron Corporation,20111115,Chevron says fire contained  extinguished at Richmond ,Nov 15 Chevron Corp said on Tuesday it experienced a small fire  which was quickly contained and extinguished at its 245 271 barrel-per-day (bpd) Richmond  California  refinery.,normal
CVX,Chevron Corporation,20111115,Chevron Richmond crude unit hit by Mon. fire -filing ,HOUSTON  Nov 15 A fire broke out Monday night in a crude unit at Chevron Corp's 245 271 barrel-per-day (bpd) Richmond  California  refinery  according to a notice the refinery filed with California pollution regulators.,normal
CVX,Chevron Corporation,20111115,GS Caltex receives about 10 bids for Power stake -report ,SEOUL  Nov 15 GS Caltex  South Korea's second-largest crude oil refiner  has received bids from about 10 firms for a 50 percent stake in its unit GS Power  a media report said on Tuesday  with book value of 95.43 billion Korean won ($85 million).,normal
CHL,China Mobile (Hong Kong) Ltd,20111115,China Mobile aims to complete next phase 4G trial by June ,HONG KONG  Nov 15 China Mobile  expects to finish the second-phase of its fourth-generation (4G) network trials by June  a senior company executive said on Tuesday  as the world's largest mobile carrier tries to boost its data services to attract high-end users.,topStory
C,Citigroup Inc,20111115,Analysis: SEC targets low-level bankers  spares top execs ,WASHINGTON The U.S. government is not taking advantage of an enforcement tool that could potentially hold top Wall Street figures accountable for their role in the recent financial crisis  despite its prior success.,topStory
C,Citigroup Inc,20111115,TABLE-Delinquency rates rise marginally at most major US card cos ,Nov 15 Credit card charge-offs and delinquency rates rose slightly at most major U.S. lenders in October  as a weak economy and stubbornly high unemployment rates took a toll on American consumers trying to keep up with their bill payments  but remained near historically low levels. 	     	                              Net charge-off rate        Delinquency rate     	                              Oct 2011  Sept 2011       Oct 2011  Sept 2011        	 Bank of America        5.98     5,normal
C,Citigroup Inc,20111115,New Issue-ANZ Banking Group sells $1.25 bln in notes ,Nov 15 ANZ Banking Group on Tuesday sold $1.25 billion of covered bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     ANZ  Citigroup  Nomura  and UBS were the joint bookrunning managers for the sale. BORROWER: ANZ BANKING GROUP TRANCHE 1 AMT $1.25 BLN     COUPON 2.40 PCT      MATURITY  11/23/2016 TYPE BONDS        ISS PRICE 99.593     FIRST PAY  5/23/2012 MOODY'S Aaa       YIELD 2.487 PCT      SETTLEMENT 11/23/2011 S&P TRIPLE-A      SPREAD 158.2 BPS  ,normal
COO,Cooper Companies Inc (The),20111115,UPDATE 1-Cooper recalls more contact lenses ,Nov 15 Cooper Cos said its unit CooperVision would recall more lots of its Avaira contact lenses due to the presence of oil residue and record a charge of $9 million in the fourth quarter  sending its shares down 17 percent.,topStory
DB,Deutsche Bank AG,20111115,UPDATE 1-German wiseman: ECB should be lender of last resort ,* Deutsche Bank chief economist Mayer: Italy "partially insolvent",topStory
DB,Deutsche Bank AG,20111115,Islamic finance may double in assets by 2016-D.Bank ,DUBAI  Nov 15 The global debt crisis may help Islamic finance nearly double to $1.8 trillion in assets by 2016 as stagnant corporate lending pushes institutions to seek alternative financing to traditional methods  according to a report by Deutsche Bank.,normal
DB,Deutsche Bank AG,20111115,German stocks - Factors to watch on November 15 ,FRANKFURT  Nov 15 The DAX top-30 index  looked set to open 1.0 percent on Tuesday  according to premarket data from brokerage Lang & Schwarz at 0705 GMT.,normal
DKS,Dick&#39;s Sporting Goods Inc,20111115,UPDATE 3-Dick's Sporting sees Q4 profit above Street ,Nov 15 Dick's Sporting Goods Inc  guided fourth-quarter profit largely above expectations as the largest publicly traded U.S. sporting goods retailer benefits from new store openings and improved margins.	     Shares of the company were up as much as 6 percent in early morning trade on Tuesday.	     Dick's Sporting  which sells branded merchandise like athletic footwear and apparel under brands such as Nike Inc   Adidas AG and Under Armour Inc  traditionally gives conservative outloo,topStory
LLY,Eli Lilly and Company,20111115,UPDATE 2-Lilly drug boosts good cholesterol  appears safe ,ORLANDO  Fla.  Nov 15 An experimental heart drug from Eli Lilly and Co dramatically boosted levels of "good" cholesterol and appeared to be safe  according to data from a clinical trial  providing new hope for a class of medicines with a troubled past.,topStory
XOM,Exxon Mobil Corporation,20111115,Companies cited by US EPA for fake biofuel credits ,* Clean Green Fuel accused of selling 32 mln fake credits,topStory
F,Ford Motor Company,20111115,Rock 'n' Roll Fantasy Camp cranks up the volume ,LOS ANGELES The decibel level in the small  bunker-like rehearsal room is ear-shattering and every loose item in the space is shaking as if an earthquake struck.,topStory
FCX,Freeport-McMoran Inc,20111115,UPDATE 2-Freeport Indonesia workers extend strike to 3rd month ,* Industry talks over treatment  refining charges delayed-trader,topStory
IT,Gartner Inc,20111115,Cellphone market growth dives in third quarter: Gartner ,Cellphone market growth slumped in the third quarter  with the grim economic climate prompting consumers to cut back or delay purchases  particularly in western Europe  research firm Gartner said.,topStory
IT,Gartner Inc,20111115,UPDATE 1-NORDIC STOCKS - Factors to watch on Nov 15 ,HELSINKI  Nov 15 The following stocks may be affected by newspaper reports and other factors on Tuesday:,normal
GEK,General Electric Capital Corporation,20111115,UPDATE 4-Peter Brant's SP Newsprint files bankruptcy ,* Owner is onetime billionaire  arts collector Peter Brant,topStory
GE,General Electric Company,20111115,UPDATE 4-Peter Brant's SP Newsprint files bankruptcy ,* Owner is onetime billionaire  arts collector Peter Brant,topStory
GM,General Motors Company,20111115,Revenge of the internal combustion engine ,ANN ARBOR  Mich At the Chevrolet dealership here  customers want to see and touch the Volt  the gasoline-electric hybrid hailed by enthusiasts as the kind of innovation that could secure the future of General Motors.,topStory
GM,General Motors Company,20111115,FEATURE-Revenge of the internal combustion engine ,* Avg fuel economy on new cars up 2.5 mpg over four years,normal
GM,General Motors Company,20111115,UPDATE 1-GM executive sees '12 US sales flat to slightly up ,Nov 15 The U.S. auto industry will grow slowly  with next year's sales possibly rising slightly from 2011  a top General Motors Co executive said on Tuesday.,normal
GM,General Motors Company,20111115,UPDATE 1-GM elects former Wal-Mart CFO to board ,Nov 15 General Motors Co said it appointed former Wal-Mart Stores Inc finance chief Thomas Schoewe to its board of directors.,normal
GS,Goldman Sachs Group Inc (The),20111115,New Issue-Pioneer Drilling Co adds $175 mln in notes ,Nov 15 Pioneer Drilling Company on Tuesday added $175 million of senior notes in the 144a private placement market  said IFR  a Thomson Reuters service.      Bank of America Merrill Lynch  Goldman Sachs  and Wells Fargo were the joint bookrunning managers for the sale. BORROWER: PIONEER DRILLING COMPANY TRANCHE 1 AMT $175 MLN      COUPON 9.875 PCT     MATURITY   3/15/2018 TYPE SR NTS       ISS PRICE 101.00     FIRST PAY  3/15/2012 MOODY'S B3        YIELD 9.579 PCT      SETTLEMENT 11/,topStory
GS,Goldman Sachs Group Inc (The),20111115,Goldman CEO: Wall Street could rebound ,Goldman Sachs Group Inc  Chief Executive Officer Lloyd Blankfein said it is too early to say that Wall Street business is down because the industry has fundamentally changed.,normal
GS,Goldman Sachs Group Inc (The),20111115,UPDATE 1-Goldman CEO: Wall Street could rebound ,Nov 15 Goldman Sachs Group Inc Chief Executive Officer Lloyd Blankfein said it is too early to say that Wall Street business is down because the industry has fundamentally changed.,normal
GS,Goldman Sachs Group Inc (The),20111115,UPDATE 2-BofA sale highlights end of era for foreign  China banks ,BEIJING/HONG KONG  Nov 15 Bank of America's sale of most of its shares in China Construction Bank earned the U.S. lender a tidy profit  but also underlined that BofA  like other foreign financial groups  found scant strategic gain in the Chinese stake it built.,normal
GS,Goldman Sachs Group Inc (The),20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
HRB,H&R Block Inc,20111115,UPDATE 1-H&R Block drops plan to buy TaxACT maker ,Nov 15 H&R Block Inc  the largest U.S. tax preparer  said it dropped its plan to acquire TaxACT software maker 2SS Holdings  after the deal hit an antitrust hurdle.,topStory
HD,Home Depot Inc (The),20111115,Home Depot outshines Lowe's again; ups outlook ,Home Depot Inc  raised its fiscal-year outlook for the third time in six months as a host of efforts to improve distribution and boost customer service helped the No. 1 home improvement chain gain share from archrival Lowe's Cos Inc .,topStory
HD,Home Depot Inc (The),20111115,UPDATE 7-Home Depot outshines Lowe's again; ups outlook ,Nov 15 Home Depot Inc raised its fiscal-year outlook for the third time in six months as a host of efforts to improve distribution and boost customer service helped the No. 1 home improvement chain gain share from archrival Lowe's Cos Inc .,normal
HD,Home Depot Inc (The),20111115,US STOCKS-Wall St edges higher  euro zone concerns weigh ,NEW YORK  Nov 15 Wall Street stocks rose slightly on Tuesday but lingering risk aversion tied to Europe's debt crisis sent Italy's bond yields back into a perceived danger zone  capping gains.,normal
HD,Home Depot Inc (The),20111115,TEXT-S&P:Lowe's downgraded to 'A-' on aggressive financial policy ,-- Mooresville  N.C.-based Lowe's financial policy has become more aggressive  a factor which we base on its announcement that it is relaxing its internal target leverage metric to 2.25x from 1.8x.,normal
HD,Home Depot Inc (The),20111115,TEXT-Fitch solutions: Home Depot  Saks CDS outperforms ,Nov 15- U.S. retailers are in the spotlight during an otherwise quiet earnings week with credit default swap (CDS) spreads on two significant issuers outperforming the market  according to Fitch Solutions in its latest earnings commentary.,normal
HMC,Honda Motor Company Ltd,20111115,Two Bangkok industrial parks hold out against flood ,* Up to 80 pct of Ayutthaya's plants may restart next month - minister,topStory
HMC,Honda Motor Company Ltd,20111115,RPT-Honda extends U.S.  Canada auto output reduction ,TOKYO  Nov 15 Honda Motor Co  Japan's No.3 car maker  said on Tuesday it will extend a reduction in vehicle output at its U.S. and Canadian plants until Nov. 30.,normal
HMC,Honda Motor Company Ltd,20111115,UPDATE1： 欧州は「第2次大戦後最も厳しい局面」、政治的統合を進める必要＝メルケル独首相 ,　［ライプチヒ　１４日　ロイター］　ドイツのメルケル首相は１４日、キリスト教民主同盟（ＣＤＵ）党大会で演説し、欧州は「第２次大戦後最も厳しい局面」にあるとの認識を示した上で、危機を克服するため政治的統合を進める必要があると訴えた。 　同首相は、欧州債務危機の解決に向けた新たなアイデアは示さなかったものの、今後さらなる犠牲を受け入れなければならないと指摘。「われわれの世代の課題は、欧州で始めたことを完結させることだ。それは、政治統合に向け一歩ずつ進んでいくことだ」と語った。 　さらに「欧州は最も厳しい時期の１つ、おそらく、第２次大戦後最も厳しい局面に直面している」と述べた。 　　 　メルケル首相は、通貨ユーロが崩壊すれば欧州も崩壊する恐れがあると発言。このような事態を回避するため、できる措置を全て講じると言明した。 　また、ユーロを維持するため、支援措置が必要だと指摘。 欧州連合（ＥＵ）には新たな構造が必要であり、これは欧州の縮小ではなく拡大を意味すると述べた。 　さらに、ＥＵの安定・成長協定に違反した国には自動制裁を発動する必要があるとの考えを表明。また金融取引税、銀行課税、ショートセ,normal
HPQ,HP Inc,20111115,RPT-PREVIEW-Thai floods an overhang as Dell reports earnings ,SAN FRANCISCO  Nov 14 The global PC industry  already struggling against the growing popularity of tablets and other mobile devices  is now bracing for a potentially severe shortage of hard drives in 2012.,topStory
HPQ,HP Inc,20111115,PREVIEW-Thai floods an overhang as Dell reports earnings ,SAN FRANCISCO  Nov 14 The global PC industry  already struggling against the growing popularity of tablets and other mobile devices  is now bracing for a potentially severe shortage of hard drives in 2012.,normal
HSBC,HSBC Holdings plc,20111115,Forward Calendar - U.S. corporate bond new issues ,Nov 15 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources: *Denotes 144a private placement debt offering. HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/14/2011                        COMPANY           AMT       MAT/DEBT  RTGS           MGRS               PRICED *ANZ Banking Grp  $1.25 bln  5-yr     Aaa/AAA/NA     ANZ/CITI/NOM/UBS  ,topStory
HSEA,HSBC Holdings plc,20111115,Forward Calendar - U.S. corporate bond new issues ,Nov 15 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources: *Denotes 144a private placement debt offering. HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/14/2011                        COMPANY           AMT       MAT/DEBT  RTGS           MGRS               PRICED *ANZ Banking Grp  $1.25 bln  5-yr     Aaa/AAA/NA     ANZ/CITI/NOM/UBS  ,topStory
HSEB,HSBC Holdings plc,20111115,Forward Calendar - U.S. corporate bond new issues ,Nov 15 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources: *Denotes 144a private placement debt offering. HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/14/2011                        COMPANY           AMT       MAT/DEBT  RTGS           MGRS               PRICED *ANZ Banking Grp  $1.25 bln  5-yr     Aaa/AAA/NA     ANZ/CITI/NOM/UBS  ,topStory
IBM,International Business Machines Corporation,20111115,PRESS DIGEST - British business - Nov 15 ,Britain will use the debt crisis to help to reshape the way Europe does business  UK prime minister David Cameron said last night  as Germany's chancellor Angela Merkel gave warning that Europe faced its worst crisis since World War Two.,topStory
JPM,J P Morgan Chase & Co,20111115,Analysis: SEC targets low-level bankers  spares top execs ,WASHINGTON The U.S. government is not taking advantage of an enforcement tool that could potentially hold top Wall Street figures accountable for their role in the recent financial crisis  despite its prior success.,topStory
JPM,J P Morgan Chase & Co,20111115,TABLE-Delinquency rates rise marginally at most major US card cos ,Nov 15 Credit card charge-offs and delinquency rates rose slightly at most major U.S. lenders in October  as a weak economy and stubbornly high unemployment rates took a toll on American consumers trying to keep up with their bill payments  but remained near historically low levels. 	     	                              Net charge-off rate        Delinquency rate     	                              Oct 2011  Sept 2011       Oct 2011  Sept 2011        	 Bank of America        5.98     5,normal
JPM,J P Morgan Chase & Co,20111115,JPMorgan fined for sale of risky investments ,A U.S. regulator ordered JPMorgan Chase & Co to pay $3.62 million in fines and reimbursement for recommending investments linked to junk bonds to unsophisticated customers who might not have been able to take on the risks.,normal
JPM,J P Morgan Chase & Co,20111115,UPDATE 1-JPMorgan fined for sale of risky investments ,Nov 15 A U.S. regulator ordered JPMorgan Chase & Co to pay $3.62 million in fines and reimbursement for recommending investments linked to junk bonds to unsophisticated customers who might not have been able to take on the risks.,normal
JPM,J P Morgan Chase & Co,20111115,New Issue-EIB adds 275 mln NOK to 2013 bond ,Full fees               1.125 pct (1.0 pct Selling  0.125 pct M&U),normal
JPM,J P Morgan Chase & Co,20111115,UPDATE 3-HIGHLIGHTS-US hedge funds remain divided on banks ,* Viking Global dumps JPMorgan  Morgan Stanley  BlackRock,normal
JNJ,Johnson & Johnson,20111115,TAKE-A-LOOK-Medical pros eye data at American Heart Assn meeting ,The American Heart Association annual scientific meeting is under way in Orlando  Florida  where thousands of doctors and researchers have gathered to see the latest data in the field. Highlights of the meeting include studies on blood clot preventers  one from Johnson & Johnson and Bayer AG   and another from Bristol-Myers Squibb and Pfizer . Other featured studies include those for medicines designed to raise "good" cholesterol. The meeting runs until Wednesday.--------------------------------,topStory
LRN,K12 Inc,20111115,UPDATE 1-K-12 posts higher Q1 profit on strong enrollment ,Nov 15 Education provider K12 Inc  posted a higher first-quarter profit  helped by a rise in enrollment  and forecast strong fiscal 2012 revenue.,topStory
LAZ,Lazard Ltd,20111115,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  November 15  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	    ,topStory
LOW,Lowe&#39;s Companies Inc,20111115,Home Depot outshines Lowe's again; ups outlook ,Home Depot Inc  raised its fiscal-year outlook for the third time in six months as a host of efforts to improve distribution and boost customer service helped the No. 1 home improvement chain gain share from archrival Lowe's Cos Inc .,topStory
LOW,Lowe&#39;s Companies Inc,20111115,UPDATE 7-Home Depot outshines Lowe's again; ups outlook ,Nov 15 Home Depot Inc raised its fiscal-year outlook for the third time in six months as a host of efforts to improve distribution and boost customer service helped the No. 1 home improvement chain gain share from archrival Lowe's Cos Inc .,normal
LOW,Lowe&#39;s Companies Inc,20111115,TEXT-S&P:Lowe's downgraded to 'A-' on aggressive financial policy ,-- Mooresville  N.C.-based Lowe's financial policy has become more aggressive  a factor which we base on its announcement that it is relaxing its internal target leverage metric to 2.25x from 1.8x.,normal
MFC,Manulife Financial Corp,20111115,UPDATE 2-Manulife expanding Asian reach with Cambodia unit ,TORONTO  Nov 15 Manulife Financial  said it has received approval to establish operations in Cambodia  which will expand the Canadian insurer's reach into an 11th Asian market.,topStory
MA,Mastercard Incorporated,20111115,U.S. gasoline demand falls with high prices-MasterCard ,Nov 15 U.S. retail gasoline demand fell sharply last week as prices at the pump remained much higher than last year  MasterCard said in its weekly SpendingPulse report on Tuesday.     Demand dropped by 4.4 percent in the week to Nov. 11 compared with year-ago levels. Gasoline prices  unchanged from last week  were 19.9 percent higher than a year ago at $3.43 a gallon  the report said.     Demand rose 1.5 percent from the previous week  MasterCard said.     The four-week moving averag,topStory
MRK,Merck & Company Inc,20111115,Merck settles Vioxx suits from New York  Florida ,Merck & Co has reached settlements to resolve lawsuits from the states of New York  Florida and South Carolina alleging the company misled state regulators about the dangers of the painkiller Vioxx  according to court filings.,topStory
MRK,Merck & Company Inc,20111115,Merck settles Vioxx suits from New York  Florida ,Merck & Co has reached settlements to resolve lawsuits from the states of New York  Florida and South Carolina alleging the company misled state regulators about the dangers of the painkiller Vioxx  according to court filings.,normal
MRK,Merck & Company Inc,20111115,Merck settles Vioxx suits from New York  Florida ,Nov 14 Merck & Co has reached settlements to resolve lawsuits from the states of New York  Florida and South Carolina alleging the company misled state regulators about the dangers of the painkiller Vioxx  according to court filings.,normal
MCO,Moody&#39;s Corporation,20111115,Moody's does routine checkup on Austria-Nowotny ,VIENNA  Nov 15 Debt ratings agency Moody's will check Austria's financial health at routine meetings this week  central bank Governor Ewald Nowotny told broadcaster ORF  stressing the importance of keeping the economy fit.,topStory
MCO,Moody&#39;s Corporation,20111115,New Issue-ANZ Banking Group sells $1.25 bln in notes ,Nov 15 ANZ Banking Group on Tuesday sold $1.25 billion of covered bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     ANZ  Citigroup  Nomura  and UBS were the joint bookrunning managers for the sale. BORROWER: ANZ BANKING GROUP TRANCHE 1 AMT $1.25 BLN     COUPON 2.40 PCT      MATURITY  11/23/2016 TYPE BONDS        ISS PRICE 99.593     FIRST PAY  5/23/2012 MOODY'S Aaa       YIELD 2.487 PCT      SETTLEMENT 11/23/2011 S&P TRIPLE-A      SPREAD 158.2 BPS  ,normal
MCO,Moody&#39;s Corporation,20111115,BRIEF-Moody's places 4 Credit Suisse equity-linked nts on review ,*Moody's places 4 Credit Suisse equity-linked notes on review for possible downgrade,normal
MCO,Moody&#39;s Corporation,20111115,BRIEF-Moody's places 3 Credit Suisse equity-linked notes on review ,* Moody's places 3 Credit Suisse equity-linked notes on review for possible downgrade,normal
MCO,Moody&#39;s Corporation,20111115,BRIEF-Moody's notes negotiations between Tower Bersama & Indosat ,Nov 15 PT Tower Bersama Infrastructure Tbk  and PT Indosat Tbk,normal
MCO,Moody&#39;s Corporation,20111115,BRIEF-Moody's comments on Sony's acquisition of EMI Music Publishing ,* Moody's comments on Sony's acquisition of EMI Music Publishing,normal
MCO,Moody&#39;s Corporation,20111115,BRIEF-Moody's places VeriFone's ratings under review for possible downgrade ,* Moody's places VeriFone's ratings under review for possible downgrade,normal
MS,Morgan Stanley,20111115,Companies cited by US EPA for fake biofuel credits ,* Clean Green Fuel accused of selling 32 mln fake credits,topStory
MS,Morgan Stanley,20111115,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  November 15  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	    ,normal
MS,Morgan Stanley,20111115,UPDATE 1- Morgan Stanley names Kamal Jabre as MENA CEO ,* Jabre replaces Habib Achkar who is relocating to Europe,normal
MS,Morgan Stanley,20111115,UPDATE 3-HIGHLIGHTS-US hedge funds remain divided on banks ,* Viking Global dumps JPMorgan  Morgan Stanley  BlackRock,normal
NBR,Nabors Industries Ltd,20111115,UPDATE 1-New Nabors CEO seeks way out of oil and gas assets ,Nov 15 Nabors Industries Ltd   the world's largest land-drilling contractor  plans to shed its non-core oil and gas exploration and production assets under its new chief executive  Anthony Petrello.,topStory
