ACIW,ACI Worldwide Inc,20110726,UPDATE 3-ACI Worldwide offers to buy S1 Corp; Fundtech deal in doubt , * Says offer gives more value than S1's Fundtech merger plan,topStory
AU,AngloGold Ashanti Limited,20110726,UPDATE 3-South African strikes to spread to gold sector , * Anglo's S.Africa coal mine says output totally shut   (Recasts with new material  analyst  CEO comment),topStory
AU,AngloGold Ashanti Limited,20110726,S.Africa union gives gold mines 48-hour strike notice , JOHANNESBURG  July 26 South Africa's National Union of Mineworkers (NUM) said on Tuesday it had given the country's main gold miners 48-hour notice of a strike after wage talks collapsed.,normal
AU,AngloGold Ashanti Limited,20110726,South African strikes to spread to gold sector , JOHANNESBURG  July 26 South African gold miners will be the latest to join nationwide industrial action this week when they join thousands of workers already on strike and threaten supply of the precious metal at a time when gold is at record highs.,normal
MT,ArcelorMittal,20110726,ArcelorMittal set for Q3 slowdown after Q2 boom , * Q2 core profit seen up 26 pct qtr/qtr at $3.25 billion,topStory
MT,ArcelorMittal,20110726,Steelmakers warn of weak outlooks ,NEW YORK Many of the world's leading steelmakers warn that profits in the second half of this year will be hurt because of the slow economic recovery  along with lower steel prices and higher raw material costs.,normal
ABG,Asbury Automotive Group Inc,20110726,Auto dealers beat Street despite Japan supply ,U.S. auto dealer groups Group 1 Automotive Inc  and Asbury Automotive Group Inc  posted market-beating quarterly profit as tighter supply of Japanese cars led to higher prices and more used car sales.,topStory
ABG,Asbury Automotive Group Inc,20110726,UPDATE 2-Asbury quarterly profit beats Street estimate , * Sees Q3 EPS reduced by 5-10 cents by Japan problems  (Adds earnings details),normal
AZN,Astrazeneca PLC,20110726,UPDATE 4-Medco  Astra get U.S. subpoenas over four drugs , * Medco shares down 0.9 pct  Astra little changed  (Adds Express Scripts  analyst comment),topStory
T,AT&T Inc,20110726,Senator Al Franken urges rejection of AT&T T-Mobile deal ,WASHINGTON Senator Al Franken called on federal regulators on Tuesday to reject AT&T Inc's proposed buy of rival T-Mobile  saying it would mean pricier wireless and could cost thousands of jobs.,topStory
T,AT&T Inc,20110726,UPDATE 2-U.S. Senator urges rejection of AT&T T-Mobile deal , * Key antitrust senator Kohl recently also criticized deal  (Adds statement from T-Mobile),normal
T,AT&T Inc,20110726,Reid's debt plan could speed wireless auctions ,WASHINGTON Efforts to give U.S. regulators the authority to auction off some television airwaves for mobile broadband use are getting a boost in a debt ceiling plan proposed by Senate Majority Leader Harry Reid.,normal
T,AT&T Inc,20110726,Reid's US debt plan could speed wireless auctions , WASHINGTON  July 26 Efforts to give U.S. regulators the authority to auction off some television airwaves for mobile broadband use are getting a boost in a debt ceiling plan proposed by Senate Majority Leader Harry Reid.,normal
T,AT&T Inc,20110726,CORRECTED-Sen. Franken urges thumbs down to AT&T T-Mobile deal , WASHINGTON  July 26 (Reuters) U.S. Senator Al Franken called on federal regulators on Tuesday to reject AT&T's  proposed buy of T-Mobile  saying it would mean pricier wireless and could cost thousands of jobs.,normal
T,AT&T Inc,20110726,RadioShack shuns T-Mobile for Verizon ,NEW YORK RadioShack Corp disconnected an unprofitable wireless partnership with T-Mobile and replaced it with much bigger Verizon Wireless  sending shares of the U.S. consumer electronics chain up 19 percent.,normal
T,AT&T Inc,20110726,UPDATE 7-RadioShack shuns T-Mobile for Verizon  shares soar , NEW YORK  July 26 RadioShack Corp  disconnected an unprofitable wireless partnership with T-Mobile and replaced it with much bigger Verizon Wireless  sending shares of the U.S. consumer electronics chain up 19 percent.,normal
T,AT&T Inc,20110726,Taking aim at Groupon  Gannett expands DealChicken ,NEW YORK Gannett Co is expanding its DealChicken daily deals service  which will be in more than 50 cities by the end of year  as the top U.S. newspaper chain tries to capitalize on the online coupon craze.,normal
T,AT&T Inc,20110726,CORRECTED - UPDATE 5-RadioShack shuns T-Mobile for Verizon; shares soar , (Corrects adjusted earnings per share to 31 cents from 24 cents in second bulletpoint),normal
T,AT&T Inc,20110726,Analysis: Canadians who follow RIM take pity on a local hero ,TORONTO Wall Street and Silicon Valley have issued verdicts on Research In Motion  and they are mostly damning for the BlackBerry maker. Canadians  on the other hand  are eager to give their compatriot the benefit of the doubt.,normal
SAN,Banco Santander SA,20110726,Funding  capital levels in focus at Santander H1 , MADRID  July 27 Investors will focus on the effects of a moribund home economy and a euro zone debt crisis on Spanish bank Santander when it reports first half results before the market opens on Wednesday.,topStory
SAN,Banco Santander SA,20110726,BRIEF-Moody's rates RMBS notes by Santander Hipotecario 7  FTA , * Moody's assigns definitive ratings to Spanish RMBS notes issued by Santander Hipotecario 7  FTA,normal
SAN,Banco Santander SA,20110726,Australia's Macquarie may face big-bank capital charge: Moody's , (This article was first published on Thomson Reuters Accelus  a leading provider of connected risk and compliance information and online solutions to the global financial services community. http://accelus.thomsonreuters.com),normal
BAC,Bank of America Corporation,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
BAC,Bank of America Corporation,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
BAC,Bank of America Corporation,20110726,Exclusive: Centerbridge  BC eye Caterpillar unit ,NEW YORK Private equity firms Centerbridge Partners and BC Partners are pursuing Caterpillar Inc's  logistics business and a sale of the unit could fetch more than $1 billion  several people familiar with the matter said.,normal
BAC,Bank of America Corporation,20110726,UPDATE 1-Dunkin' Brands IPO prices at $19 per share , LOS ANGELES  July 26 Dunkin' Brands sold $422.75 million worth of shares at $19 apiece in its initial public offering  an underwriter told Reuters on Tuesday.,normal
BAC,Bank of America Corporation,20110726,Banking nominees get warm reception ,WASHINGTON Bank regulator nominees said on Tuesday that they support tougher bank capital standards and would work to convince markets that the era of government bailouts for too-big-to-fail banks is over.,normal
BAC,Bank of America Corporation,20110726,UPDATE 1-U.S. banking nominees get warm reception , * Republicans blocking nominee to head consumer bureau  (Adds Shelby quotes and background),normal
BAC,Bank of America Corporation,20110726,SEC adopts large-trader reporting system ,WASHINGTON U.S. securities regulators adopted rules on Tuesday that could help them investigate a future flash crash by better tracking the activities of large traders like banks  hedge funds and big proprietary trading companies.,normal
BAC,Bank of America Corporation,20110726,Jonathan Bewes joins BofA Merrill from UBS , LONDON  July 26 Bank of America Merrill Lynch  said on Tuesday it appointed Jonathan Bewes as a senior managing director in UK investment banking.,normal
BAC,Bank of America Corporation,20110726,U.S. bank regulator nominees back new capital rules , WASHINGTON  July 26 U.S. bank regulator nominees said on Tuesday that they support tougher capital standards that international policymakers agreed to earlier this month.,normal
BAC,Bank of America Corporation,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
BMO,Bank Of Montreal,20110726,Analysis: Canadians who follow RIM take pity on a local hero ,TORONTO Wall Street and Silicon Valley have issued verdicts on Research In Motion  and they are mostly damning for the BlackBerry maker. Canadians  on the other hand  are eager to give their compatriot the benefit of the doubt.,topStory
BMO,Bank Of Montreal,20110726,Canadians who follow RIM take pity on a local hero ,TORONTO Wall Street and Silicon Valley have issued verdicts on Research In Motion   and they are mostly damning for the BlackBerry maker. Canadians  on the other hand  are eager to give their compatriot the benefit of the doubt.,normal
BNS,Bank of Nova Scotia (The),20110726,New Issue-Bank of Nova Scotia sells $2 bln in bonds ,  July 26 The Bank of Nova Scotia   on Tuesday sold $2 billion of covered bonds in the 144a private placement market  said IFR  a Thomson Reuters service.,topStory
BNS,Bank of Nova Scotia (The),20110726,CANADA STOCKS-TSX falls 1 pct on U.S. debt  earnings ,   * TSX falls 135.39 points  or 1.01 percent  to 13 300.56,normal
BCS,Barclays PLC,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
BCS,Barclays PLC,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
BCS,Barclays PLC,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
BCS,Barclays PLC,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
ABX,Barrick Gold Corporation,20110726,UPDATE 2-African Barrick Q2 income jumps  output beats forecast , * Shares up 2.2 pct to two-month high   (Adds interview with CEO  analyst comment  share price),topStory
BCE,BCE Inc,20110726,UPDATE 4-Cable helps Rogers offset wireless pressure , * Revenue up 3 pct at C$3.1 billion  in line with Street,topStory
BDX,Becton Dickinson and Company,20110726,UPDATE 1-Becton veteran Forlenza to replace Ludwig as CEO , NEW YORK  July 26 Medical device maker Becton Dickinson and Co  said on Tuesday that company veteran Vincent Forlenza would succeed Edward Ludwig as chief executive officer as of Oct. 1  as part of a longtime succession plan.,topStory
BDXA,Becton Dickinson and Company,20110726,UPDATE 1-Becton veteran Forlenza to replace Ludwig as CEO , NEW YORK  July 26 Medical device maker Becton Dickinson and Co  said on Tuesday that company veteran Vincent Forlenza would succeed Edward Ludwig as chief executive officer as of Oct. 1  as part of a longtime succession plan.,topStory
BBY,Best Buy Co Inc,20110726,Amazon revenue surges  stock jumps ,SAN FRANCISCO Amazon.com Inc reported a surge in quarterly revenue on sales of its kindle electronic reader and other electronics and forecast far better-than-expected revenue for the current quarter  sending its shares up more than 6 percent.,topStory
BBY,Best Buy Co Inc,20110726,UPDATE 4-Amazon revenue surges  stock jumps , * Shares up 6.3 percent in after-hours trading  (Adds analyst comment  business background),normal
BBY,Best Buy Co Inc,20110726,RadioShack shuns T-Mobile for Verizon ,NEW YORK RadioShack Corp disconnected an unprofitable wireless partnership with T-Mobile and replaced it with much bigger Verizon Wireless  sending shares of the U.S. consumer electronics chain up 19 percent.,normal
BBY,Best Buy Co Inc,20110726,UPDATE 7-RadioShack shuns T-Mobile for Verizon  shares soar , NEW YORK  July 26 RadioShack Corp  disconnected an unprofitable wireless partnership with T-Mobile and replaced it with much bigger Verizon Wireless  sending shares of the U.S. consumer electronics chain up 19 percent.,normal
BBY,Best Buy Co Inc,20110726,CORRECTED - UPDATE 5-RadioShack shuns T-Mobile for Verizon; shares soar , (Corrects adjusted earnings per share to 31 cents from 24 cents in second bulletpoint),normal
BHP,BHP Billiton Limited,20110726,UPDATE 3-No end in sight to Escondida strike as mediation fails , * Tough position may prolong stoppage at top copper mine,topStory
BHP,BHP Billiton Limited,20110726,BHP takes tough line with striking Escondida workers , SANTIAGO  July 26 BHP Billiton  took a tough line on Tuesday with workers striking at its Escondida copper mine in Chile  saying it would not hold talks during the stoppage and saying it had not ruled out firings.,normal
BHP,BHP Billiton Limited,20110726,TIMELINE-Chile's major mining strikes in past 20 years , July 26 A five-day strike at the world's biggest copper mine  Chile's Escondida  looked set to drag on after the mine on Tuesday snubbed a government mediation bid  amid fears labor unrest could spread in the sector. [ID:nN1E76P127],normal
BHP,BHP Billiton Limited,20110726,SAfrica unions to meet coal miners Thurs on strike , JOHANNESBURG  July 26 South Africa's National Union of Mineworkers said it would meet with leading coal producers on Thursday again over a wage strike after talks on Tuesday failed to clinch a deal.,normal
BHP,BHP Billiton Limited,20110726,Chile Escondida mine: no talks while workers strike , ANTOFAGASTA  Chile  July 26 The world's top copper mine  Chile's Escondida  said on Tuesday it would not accept an invitation by a government mediator for talks with striking workers whose work stoppage is in its fifth day.,normal
BHP,BHP Billiton Limited,20110726,Mediation due as Escondida strike enters 5th day , * Union says force majeure declaration may be days away,normal
BHP,BHP Billiton Limited,20110726,UPDATE 3-Xstrata sees copper output climb and coal recover , * Q2 volume up for thermal coal  copper  platinum  nickel  zinc,normal
BHP,BHP Billiton Limited,20110726,UPDATE 1-Copper concentrate supply to China seen up on Oyu Tolgoi , * Concentrate supply to China seen up as early as late 2012,normal
BHP,BHP Billiton Limited,20110726,REFILE-Copper concentrate supply to China seen up in Q4 2012 on Oyu Tolgoi , (Refiles to fix typo to way  not was  in first paragraph.),normal
BBL,BHP Billiton plc,20110726,UPDATE 3-No end in sight to Escondida strike as mediation fails , * Tough position may prolong stoppage at top copper mine,topStory
BBL,BHP Billiton plc,20110726,BHP takes tough line with striking Escondida workers , SANTIAGO  July 26 BHP Billiton  took a tough line on Tuesday with workers striking at its Escondida copper mine in Chile  saying it would not hold talks during the stoppage and saying it had not ruled out firings.,normal
BBL,BHP Billiton plc,20110726,TIMELINE-Chile's major mining strikes in past 20 years , July 26 A five-day strike at the world's biggest copper mine  Chile's Escondida  looked set to drag on after the mine on Tuesday snubbed a government mediation bid  amid fears labor unrest could spread in the sector. [ID:nN1E76P127],normal
BBL,BHP Billiton plc,20110726,SAfrica unions to meet coal miners Thurs on strike , JOHANNESBURG  July 26 South Africa's National Union of Mineworkers said it would meet with leading coal producers on Thursday again over a wage strike after talks on Tuesday failed to clinch a deal.,normal
BBL,BHP Billiton plc,20110726,Chile Escondida mine: no talks while workers strike , ANTOFAGASTA  Chile  July 26 The world's top copper mine  Chile's Escondida  said on Tuesday it would not accept an invitation by a government mediator for talks with striking workers whose work stoppage is in its fifth day.,normal
BBL,BHP Billiton plc,20110726,Mediation due as Escondida strike enters 5th day , * Union says force majeure declaration may be days away,normal
BBL,BHP Billiton plc,20110726,UPDATE 3-Xstrata sees copper output climb and coal recover , * Q2 volume up for thermal coal  copper  platinum  nickel  zinc,normal
BBL,BHP Billiton plc,20110726,UPDATE 1-Copper concentrate supply to China seen up on Oyu Tolgoi , * Concentrate supply to China seen up as early as late 2012,normal
BBL,BHP Billiton plc,20110726,REFILE-Copper concentrate supply to China seen up in Q4 2012 on Oyu Tolgoi , (Refiles to fix typo to way  not was  in first paragraph.),normal
BLK,BlackRock Inc,20110726,Pension funds  investors urge action on US deficit , BOSTON  July 26 Some of the largest U.S. pension funds and investment firms have urged President Barack Obama and Congress to resolve the deficit impasse and avoid inflicting "pain and hardship" on the nation.,topStory
BLK,BlackRock Inc,20110726,State Street rolls out London-listed ETFs , LONDON  July 26 State Street Global Advisors (SSgA) has launched its first range of exchange traded funds for the London Stock Exchange to tap UK investor demand and expand its European presence in the fast-growing industry.,normal
BA,Boeing Company (The),20110726,UPDATE 1-Australia may reconsider F-35 order after cost blowout  delays , (Adds minister  background  fixes slug  changes dateline),topStory
BA,Boeing Company (The),20110726,U.S. assists two crop-for-aviation-fuel projects , WASHINGTON  July 26 Farmers in four states in the U.S. West can qualify for a federal cost-sharing payment if they grow camelina  an oilseed  for conversion into jet fuel  the government said on Tuesday.,normal
BA,Boeing Company (The),20110726,Union hits Boeing plan to shield info in NLRB case ,CHICAGO A union representing Boeing Co workers in Washington on Tuesday said the company's request to block public access to "proprietary information" during hearings about the plane-maker's new nonunion 787 assembly plant is too sweeping.,normal
BA,Boeing Company (The),20110726,Union hits Boeing plan to shield info in NLRB case , CHICAGO  July 26 A union representing Boeing Co  workers in Washington on Tuesday said the company's request to block public access to "proprietary information" during hearings about the plane-maker's new nonunion 787 assembly plant is too sweeping.,normal
BA,Boeing Company (The),20110726,UPDATE 2-Carlisle Q2 profit lags Street  shares slide , * Shares fall 12 pct   (Rewrites throughout; updates share movement),normal
BA,Boeing Company (The),20110726,EADS says AMR deal profitable  denies 70 percent cut ,PARIS Airbus parent EADS  said on Tuesday a giant deal to sell 260 jets to American Airlines last week was profitable and denied what it described as rumors that it had slashed prices by up to 70 percent.,normal
BA,Boeing Company (The),20110726,EADS says AMR deal profitable  denies 70 pct cut , PARIS  July 26 Airbus parent EADS said on Tuesday a giant deal to sell 260 jets to American Airlines last week was profitable and denied what it described as rumours that it had slashed prices by up to 70 percent.,normal
BSX,Boston Scientific Corporation,20110726,RPT-PREVIEW-Report could sway U.S. FDA device review process , WASHINGTON  July 25 The Institute of Medicine is poised to advise the U.S. drug regulator how it can refine its medical device approval process to get products to market quickly while protecting patients.,topStory
BP,BP plc,20110726,BP plans slow return to Gulf drilling ,LONDON BP Plc has not yet applied for permission to drill its first new Gulf of Mexico oil well since the 4 million-barrel Macondo spill a year ago  the oil major said on Tuesday  although it received permission this month to plug an old well.,topStory
BP,BP plc,20110726,BP and Phibro join Q2 oil market losers ,LONDON/SAN FRANCISCO Global giant BP  and trading house Phibro joined the list of market titans wrong-footed by last quarter's oil volatility  while Deutsche Bank emerged with record commodity earnings.,normal
BP,BP plc,20110726,UPDATE 2-BP plans slow return to Gulf drilling , LONDON  July 26 BP Plc  has not yet applied for permission to drill its first new Gulf of Mexico oil well since the 4 million-barrel Macondo spill a year ago  the oil major said on Tuesday  although it received permission this month to plug an old well.,normal
BP,BP plc,20110726,WRAPUP 1-BP  Phibro join Q2 oil market losers; Deutsche shines , * Deutsche  powered by metals and energy  says best yet,normal
BP,BP plc,20110726,UPDATE 3-South African strikes to spread to gold sector , * Anglo's S.Africa coal mine says output totally shut   (Recasts with new material  analyst  CEO comment),normal
BP,BP plc,20110726,UPDATE 1-BP posts second oil trading loss in past 3 quarters , * Says Texas City oil refinery throughput largely restored,normal
BP,BP plc,20110726,BP fails to convince investors on strategy ,LONDON BP Plc Chief Executive Bob Dudley's pledge of strong long-term growth failed to reassure investors concerned about the company's post-oil spill strategy and second-quarter results well shy of forecasts. | Video ,normal
BP,BP plc,20110726,Anadarko open to BP spill settlement talks ,HOUSTON Anadarko Petroleum Corp is open to discussing a settlement with BP Plc over its interest in the Gulf of Mexico oil spill disaster  the company's top attorney told investors on Tuesday.,normal
BP,BP plc,20110726,UPDATE 1-Anadarko open to BP spill settlement talks , HOUSTON  July 26 Anadarko Petroleum Corp  is open to discussing a settlement with BP Plc  over its interest in the Gulf of Mexico oil spill disaster  the company's top attorney told investors on Tuesday.,normal
BP,BP plc,20110726,Deutsche shines in commods versus U.S. peers  BP , LONDON  July 26 Germany's Deutsche Bank  had its best ever quarter in commodities trading in April-June  in contrast with some of its biggest U.S. peers and oil major BP   in what analysts said reflected stiff rivalry in the volatile and crowded commodities space.,normal
BMY,Bristol-Myers Squibb Company,20110726,UPDATE 3-Gilead 2nd quarter profit rises with HIV drugs , * Still sees full-year product sales $7.9 bln to $8.1 bln,topStory
BTI,British American Tobacco plc,20110726,Two bidders remain for Bulgarian cigarette maker , SOFIA  July 26 British American Tobacco  and Austria-registered BT Invest are expected to bid for Bulgarian cigarette maker Bulgartabak   after Austria-based CB Family Office Service did not buy tender documents  the privatisation agency said on Tuesday.,topStory
BVN,Buenaventura Mining Company Inc,20110726,UPDATE 1-Peru's Buenaventura profits rise on sales  prices ,  * Q2 profits up 83 percent from year ago   * Gold production increases  (Adds production  details),topStory
BVN,Buenaventura Mining Company Inc,20110726,Peru's Buenaventura reports Q2 profit up 83 pct , LIMA  July 26 Peru's largest precious metals miner  Buenaventura   reported second quarter net income of $204.2 million on Tuesday  up 83 percent from the same period in 2010.,normal
ELY,Callaway Golf Company,20110726,UPDATE 1-Callaway Golf Q2 loss narrower-than-expected  begins job cuts , July 26 Golf gear maker Callaway Golf Co    which posted a narrower-than-expected quarterly loss  said it has started cutting jobs  and expects to post a full-year loss.,topStory
CNI,Canadian National Railway Company,20110726,CANADA STOCKS-TSX falls 1 pct on U.S. debt  earnings ,   * TSX falls 135.39 points  or 1.01 percent  to 13 300.56,topStory
CNI,Canadian National Railway Company,20110726,CANADA STOCKS-TSX slips as earnings  U.S. debt worries weigh , *CNR top decliner after earnings report  (Updates with details  comments),normal
CNQ,Canadian Natural Resources Limited,20110726,CANADA STOCKS-TSX falls 1 pct on U.S. debt  earnings ,   * TSX falls 135.39 points  or 1.01 percent  to 13 300.56,topStory
CAJ,Canon Inc,20110726,Business borrowing jumps in June: ELFA ,NEW YORK A measure of business activity improved in June as companies borrowed more to replace equipment  a lender group said on Tuesday.,topStory
CAJ,Canon Inc,20110726,U.S. business borrowing jumps in June-ELFA , NEW YORK  July 26 A measure of business activity improved in June as companies borrowed more to replace equipment  a lender group said on Tuesday.,normal
COF,Capital One Financial Corporation,20110726,UPDATE 4-CIT Group posts loss  says new loans increase , * Prepaid $2.5 bln of second-lien debt in second quarter,topStory
CSL,Carlisle Companies Incorporated,20110726,US SMALL/MIDCAPS-Industrials  debt worry drops stocks , NEW YORK  July 26 Small and mid-cap stocks fell on Tuesday  dragged lower by industrial stocks after a batch of disappointing earnings and continued uncertainty caused by a lack of progress in Washington on a debt deal.,topStory
CSL,Carlisle Companies Incorporated,20110726,Consumer markets hurt some industrial earnings ,NEW YORK/BOSTON U.S. industrial companies sounded warning alarms about U.S. consumer spending on Tuesday  citing high unemployment  a depressed housing market and the risk of a U.S. debt default.,normal
CSL,Carlisle Companies Incorporated,20110726,UPDATE 2-Carlisle Q2 profit lags Street  shares slide , * Shares fall 12 pct   (Rewrites throughout; updates share movement),normal
CAT,Caterpillar Inc,20110726,Exclusive: Centerbridge  BC eye Caterpillar unit ,NEW YORK Private equity firms Centerbridge Partners and BC Partners are pursuing Caterpillar Inc's  logistics business and a sale of the unit could fetch more than $1 billion  several people familiar with the matter said.,topStory
CAT,Caterpillar Inc,20110726,Daimler  Rolls-Royce win EU okay for Tognum buy ,BRUSSELS Car maker Daimler  and British aero engine maker Rolls-Royce  secured unconditional European Union approval on Monday to purchase Tognum  in a bid valuing the German engine maker at 3.4 billion euros ($4.9 billion).,normal
CAT,Caterpillar Inc,20110726,Cummins profit beats expectations  raises outlook ,NEW YORK Diesel engine maker Cummins Inc  raised its 2011 outlook after a strong second-quarter profit that beat Wall Street expectations and sent its shares higher.,normal
CAT,Caterpillar Inc,20110726,UPDATE 4-Cummins profit beats expectations  raises outlook , * Shares up 4.3 pct  (Adds China comments from conference call  analyst comment),normal
CAT,Caterpillar Inc,20110726,CORRECTED - Daimler  Rolls-Royce win EU okay for Tognum buy , BRUSSELS  July 25 Car maker Daimler  and  British aero engine maker Rolls-Royce  secured unconditional European Union approval on Monday to purchase Tognum in a bid valuing the German engine maker at 3.4 billion euros.,normal
CAT,Caterpillar Inc,20110726,Cummins quarterly profit beats  raises outlook ,NEW YORK Cummins Inc  reported a higher-than-expected quarterly profit on Tuesday on strong growth across all its segments and international markets  and the diesel engine maker raised its 2011 outlook.,normal
CAT,Caterpillar Inc,20110726,Business borrowing jumps in June: ELFA ,NEW YORK A measure of business activity improved in June as companies borrowed more to replace equipment  a lender group said on Tuesday.,normal
CAT,Caterpillar Inc,20110726,U.S. business borrowing jumps in June-ELFA , NEW YORK  July 26 A measure of business activity improved in June as companies borrowed more to replace equipment  a lender group said on Tuesday.,normal
CBS,CBS Corporation,20110726,Reid's debt plan could speed wireless auctions ,WASHINGTON Efforts to give U.S. regulators the authority to auction off some television airwaves for mobile broadband use are getting a boost in a debt ceiling plan proposed by Senate Majority Leader Harry Reid.,topStory
CBS,CBS Corporation,20110726,Reid's US debt plan could speed wireless auctions , WASHINGTON  July 26 Efforts to give U.S. regulators the authority to auction off some television airwaves for mobile broadband use are getting a boost in a debt ceiling plan proposed by Senate Majority Leader Harry Reid.,normal
CBS,CBS Corporation,20110726,Walmart puts Vudu on its main site to drive use ,CHICAGO Wal-Mart Stores Inc is moving its Vudu video streaming and rental service to a place where it can get attract more eyeballs -- the Walmart.com web site -- as the growing service competes for attention with a variety of video services.,normal
CBS,CBS Corporation,20110726,Walmart puts Vudu on its main site to drive use , * Vudu prices movie rentals from $1-$6.99; no contracts,normal
CVE,Cenovus Energy Inc,20110726,Cenovus CEO sees new oil sands partner by year-end , CALGARY  Alberta  July 26 Cenovus Energy Inc  expects to announce a joint venture by the end of the year to develop Alberta oil sands holdings that are not currently part of a 10-year growth plan  its chief executive said on Tuesday.,topStory
CVE,Cenovus Energy Inc,20110726,Cenovus sees Q4 startup for Illinois refinery unit , * Project to add 65 000 bpd of coking capacity  (In U.S. dollars),normal
CVE,Cenovus Energy Inc,20110726,UPDATE 2-Cenovus Q2 profit rises on soaring crude , July 26 Cenovus Energy Inc's  second-quarter profit more than tripled  helped by higher refining margins and strong crude price.,normal
GIB,CGI Group Inc,20110726,UPDATE 1-CGI Group Q3 up on new contracts worth C$1.44 bln , July 26 CGI Group    Canada's largest technology outsourcing and consulting company  posted a 38 percent rise in third-quarter profit  helped by C$1.44 billion of  new contract  wins.,topStory
CVX,Chevron Corporation,20110726,BP plans slow return to Gulf drilling ,LONDON BP Plc has not yet applied for permission to drill its first new Gulf of Mexico oil well since the 4 million-barrel Macondo spill a year ago  the oil major said on Tuesday  although it received permission this month to plug an old well.,topStory
CVX,Chevron Corporation,20110726,UPDATE 2-BP plans slow return to Gulf drilling , LONDON  July 26 BP Plc  has not yet applied for permission to drill its first new Gulf of Mexico oil well since the 4 million-barrel Macondo spill a year ago  the oil major said on Tuesday  although it received permission this month to plug an old well.,normal
CVX,Chevron Corporation,20110726,UPDATE 3-South African strikes to spread to gold sector , * Anglo's S.Africa coal mine says output totally shut   (Recasts with new material  analyst  CEO comment),normal
CVX,Chevron Corporation,20110726,UPDATE 4-PDVSA debt to suppliers leapt to $10.9 bln in 2010 , * Plans investments of $142 bln between 2011-2015  (Updates throughout with more Ramirez quotes  edits),normal
CVX,Chevron Corporation,20110726,UPDATE 1-BG confident of resolution to Kazakhstan dispute , LONDON  July 26 BG Group is confident of resolving a dispute with Kazakhstan over the Karachaganak gas project before the end of the year  the British oil and gas firm's chief executive said.,normal
CVX,Chevron Corporation,20110726,South African strikes to spread to gold sector , JOHANNESBURG  July 26 South African gold miners will be the latest to join nationwide industrial action this week when they join thousands of workers already on strike and threaten supply of the precious metal at a time when gold is at record highs.,normal
CHL,China Mobile (Hong Kong) Ltd,20110726,China Mobile appoints Xi Guohua vice-chairman , HONG KONG  July 26 China Mobile   the world's biggest mobile operator  said on Tuesday it had appointed Xi Guohua as executive director and vice-chairman of the company.,topStory
CMG,Chipotle Mexican Grill Inc,20110726,UPDATE 3-Panera sales miss forecast  shares fall , * Raises 2011 EPS forecast in line with Wall Street view,topStory
CIT,CIT Group Inc (DEL),20110726,UPDATE 4-CIT Group posts loss  says new loans increase , * Prepaid $2.5 bln of second-lien debt in second quarter,topStory
C,Citigroup Inc,20110726,MOVES-Jefferies  BofA Merrill Lynch  Deutsche Bank  Putnam , July 26 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20110726,Banking nominees get warm reception ,WASHINGTON Bank regulator nominees said on Tuesday that they support tougher bank capital standards and would work to convince markets that the era of government bailouts for too-big-to-fail banks is over.,normal
C,Citigroup Inc,20110726,UPDATE 1-U.S. banking nominees get warm reception , * Republicans blocking nominee to head consumer bureau  (Adds Shelby quotes and background),normal
C,Citigroup Inc,20110726,Analysis: Bulging cash balances set up funds for deals ,SINGAPORE/DUBAI Global sovereign wealth funds are set to hasten investing the billions of dollars of cash holdings they have built up in a rebound from the 2008 financial crisis that has lifted their combined assets to a record.,normal
C,Citigroup Inc,20110726,U.S. bank regulator nominees back new capital rules , WASHINGTON  July 26 U.S. bank regulator nominees said on Tuesday that they support tougher capital standards that international policymakers agreed to earlier this month.,normal
C,Citigroup Inc,20110726,Trading malaise at investment banks set to linger , * Key FICC revenues fall 36-37 pct  more than U.S. peers,normal
C,Citigroup Inc,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
C,Citigroup Inc,20110726,Dealtalk: Record India M&A financing stretches reach and debt ,MUMBAI Bolstered by banks offering record amounts of loans for takeovers  Indian companies are taking on grand plans and greater risk amid heavy supply demand and a shaky economic picture.,normal
C,Citigroup Inc,20110726,DEALTALK-UPDATE 1-Record India M&A financing stretches reach and debt levels , * Cheaper financing prompts companies to eye billion-dollar deals,normal
