AEIS,Advanced Energy Industries Inc,20110804,Analysis: SMA Solar faces profit margin struggle ,FRANKFURT Europe's biggest solar company is unlikely to meet profit margin forecasts this year  analysts say  as demand in its largest markets collapses and global competitors start to force down prices.,topStory
MO,Altria Group,20110804,Newsmaker: Rosenfeld wakes market with Kraft split plan ,CHICAGO/NEW YORK Kraft Foods Inc  CEO Irene Rosenfeld ended her victorious five-month battle for British chocolatier Cadbury last year saying she wanted a good night's sleep. | Video ,topStory
MO,Altria Group,20110804,NEWSMAKER-Rosenfeld wakes market with Kraft split plan , CHICAGO/NEW YORK  Aug 4 Kraft Foods Inc  CEO Irene Rosenfeld ended her victorious five-month battle for British chocolatier Cadbury last year saying she wanted a good night's sleep.,normal
ACH,Aluminum Corporation of China Limited,20110804,Mongolia's giant coal mine begins shipments to China's Chalco , ULAN BATOR  Aug 4 Mongolia's massive Tavan Tolgoi project began shipping 4 000 tonnes of coal south to its new partner  the Aluminum Corp of China Ltd (Chalco)  on Thursday following a ceremony at the mine site.,topStory
AMOV,America Movil SAB de CV,20110804,BRIEF-Moody's affirms America Movil's A2  Aaa.mx and MX-1 ratings , * Moody's affirms America Movil's A2  Aaa.mx and MX-1 ratings,topStory
AMX,America Movil SAB de CV,20110804,BRIEF-Moody's affirms America Movil's A2  Aaa.mx and MX-1 ratings , * Moody's affirms America Movil's A2  Aaa.mx and MX-1 ratings,topStory
AXP,American Express Company,20110804,Dealtalk: Goldman helps AmEx take sting out of ICBC stake ,HONG KONG When Goldman Sachs  executed a $479 million block share sale in Industrial and Commercial Bank of China Ltd  this week to help American Express Inc  hedge its position in the Chinese lender  a wall of mystery surrounded the transaction.,topStory
AXP,American Express Company,20110804,DEALTALK-Goldman helps AmEx take sting out of ICBC stake , * Deal seen helping ease AmEx's cap requirements under new Basel rules,normal
AIG,American International Group Inc,20110804,AIG posts $1.8 billion profit on AIA stake ,NEW YORK Bailed-out insurer American International Group  reported a profit for the second quarter on Thursday  as tax benefits and its one-third stake in Asian insurer AIA offset a decline in operating income at its main businesses.,topStory
AIG,American International Group Inc,20110804,UPDATE 3-AIG posts $1.8 bln profit on AIA stake , * Shares flat after hours  (Adds CEO interview comments),normal
AIG,American International Group Inc,20110804,US STOCKS-Wall St set for lower open on economic worry , * Futures off: Dow 87 pts  S&P 11.9 pts  Nasdaq 17.25 pts,normal
AIG,American International Group Inc,20110804,US STOCKS-Futures off ahead of data  GM up after net doubles , * Futures off: Dow 63 pts  S&P 9 pts  Nasdaq 14.5 pts,normal
AIG,American International Group Inc,20110804,US STOCKS-Futures point to drop ahead of jobless data , * Futures off: Dow 82 pts  S&P 10.10 pts  Nasdaq 17.75 pts,normal
AU,AngloGold Ashanti Limited,20110804,UPDATE 3-S.Africa Implats mine workers given new wage offer , * Settlement reached in diamond strike   (Adds Eskom strike threat  De Beers settlement),topStory
AU,AngloGold Ashanti Limited,20110804,UPDATE 2-AngloGold cuts output forecast  sees costs rising , * CEO sees more upside to gold price   (Adds comments by analyst  CEO; share price),normal
AU,AngloGold Ashanti Limited,20110804,AngloGold sees S.Africa strike loss at 45 000 oz , JOHANNESBURG  Aug 4 The chief executive of Africa's top gold producer AngloGold Ashanti said on Thursday that he estimated the company lost about 45 000 ounces in output to the recent strike at its South African operations.,normal
AU,AngloGold Ashanti Limited,20110804,S.Africa's AngloGold CEO says gold could top $1 700 , JOHANNESBURG  Aug 4 The chief executive of Africa's largest gold producer AngloGold Ashanti said on Thursday that the price of gold still had upside from its current record levels and could go through $1 700 an ounce.,normal
AU,AngloGold Ashanti Limited,20110804,UPDATE 1-AngloGold Q2 earnings up  beat consensus , JOHANNESBURG  Aug 4 Africa's biggest gold miner AngloGold Ashanti posted second-quarter earnings Thursday that beat expectations as it managed to contain costs and reap the benefits of a surging gold price.,normal
APA,Apache Corporation,20110804,Apache quarterly profit up  tops Street ,HOUSTON Apache Corp  reported a better-than-expected 40 percent increase in quarterly profit on Thursday  fueled by record oil and natural gas production and higher crude prices.,topStory
APA,Apache Corporation,20110804,UPDATE 4-Apache quarterly profit up  tops Street , * Shares lower with market  (Adds conference call details; updates share price),normal
AZN,Astrazeneca PLC,20110804,UPDATE 3-Novo Nordisk modern insulins growth slowing , * Raises outlook on back of Victoza  modern insulin sales,topStory
T,AT&T Inc,20110804,Varney aide acting U.S. Justice Department antitrust head ,WASHINGTON Sharis Pozen  the top deputy to the Justice Department's antitrust chief  will become acting head of the division when Christine Varney leaves on Friday  the agency said on Thursday.,topStory
T,AT&T Inc,20110804,Varney aide acting US Justice Dept antitrust head , * Sharis Pozen  Varney's chief of staff  to be acting head,normal
T,AT&T Inc,20110804,Investors flee bad telecom smartphone bets ,NEW YORK Smartphones may have good looks and a lot of whiz-bang features  but this week they just have a bad reputation.,normal
T,AT&T Inc,20110804,Senators cite benefits of AT&T  T-Mobile deal ,WASHINGTON Two Republican senators urged U.S. officials to consider the benefits of AT&T Inc's $39 billion bid to acquire Deutsche Telekom AG's T-Mobile USA.,normal
T,AT&T Inc,20110804,U.S. senators cite benefits of AT&T  T-Mobile deal , * Lee  Cornyn disagree with calls to block AT&T merger,normal
T,AT&T Inc,20110804,AT&T says fixed New York software related outage ,NEW YORK AT&T Inc said some New York customers had voice service outages on Thursday morning because of a software problem that occurred during "routine maintenance activities.",normal
T,AT&T Inc,20110804,AT&T says fixed New York software related outage , NEW YORK  Aug 4 AT&T Inc  said some New York customers had voice service outages on Thursday morning because of a software problem that occurred during "routine maintenance activities.",normal
T,AT&T Inc,20110804,Deutsche Telekom keeps to targets amid sobering markets ,BONN  Germany Deutsche Telekom  is on track to meet its 2011 targets  it said  despite a poor performance in the United States  continued economic weakness in southeastern Europe and sluggish growth in Germany. | Video ,normal
T,AT&T Inc,20110804,DirecTV loses share to phone companies  stock down ,NEW YORK (Reuters) -DirecTV Group  the largest U.S. satellite TV provider  lost market share in the second quarter to Verizon Communications and AT&T  which cut prices on their pay TV services.,normal
T,AT&T Inc,20110804,UPDATE 2-DirecTV loses market share  stock falls , * Shares down 4 pct  (Adds analyst comments  details on Latin American growth),normal
AUO,AU Optronics Corp,20110804,Chimei Innolux posts worse-than-expected Q2 loss , TAIPEI  Aug 4 Taiwan's Chimei Innolux Corp    the world's No.3 LCD maker  on Thursday reported a worse-than-expected net loss of T$13.03 billion ($450.94 million) in the second quarter  hurt by weaker market demand and falling panel prices.,topStory
BAC,Bank of America Corporation,20110804,Wall Street suffers worst selloff in two years ,NEW YORK Investors fled Wall Street in the worst stock-market selloff since the middle of the financial crisis in early 2009 in what has turned into a full-fledged correction. | Video ,topStory
BAC,Bank of America Corporation,20110804,NY seeks to intervene in BoA $8.5 billion pact ,NEW YORK New York's attorney general is seeking to intervene as an "adverse party" in Bank of America Corp's $8.5 billion settlement over losses in mortgage-backed securities.,normal
BAC,Bank of America Corporation,20110804,UPDATE 1-NY seeks to intervene in BoA $8.5 bln pact , NEW YORK  Aug 4 New York's attorney general is seeking to intervene as an "adverse party" in Bank of America Corp's  $8.5 billion settlement over losses in mortgage-backed securities.,normal
BAC,Bank of America Corporation,20110804,UPDATE 1-BofA says legal losses could hit $2.3 bln , CHARLOTTE  N.C.  Aug 4 Bank of America Corp's  legal losses could cost as much as $2.3 billion above money already set aside to cover litigation  the largest U.S. bank by assets said in securities filing.,normal
BAC,Bank of America Corporation,20110804,US STOCKS-Wall St suffers worst selloff in two years , * S&P in correction territory  off 10 pct since May,normal
BAC,Bank of America Corporation,20110804,US STOCKS-Wall St plunges in worst selloff in two years , * S&P in correction territory  off 10 pct since May,normal
BAC,Bank of America Corporation,20110804,MOVES-Jefferies  KPMG  Permira  UBS Wealth Management , Aug 4 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
BAC,Bank of America Corporation,20110804,Paulson's hedge funds endure another rough month ,NEW YORK Hedge fund titan John Paulson's flagship funds performed poorly in July and sank further into the red for the year.,normal
BAC,Bank of America Corporation,20110804,Paulson's hedge funds endure another rough month , NEW YORK  Aug 4 Hedge fund titan John Paulson's flagship funds performed poorly in July and sank further into the red for the year.,normal
BAC,Bank of America Corporation,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
BK,Bank Of New York Mellon Corporation (The),20110804,UPDATE 1-BofA says legal losses could hit $2.3 bln , CHARLOTTE  N.C.  Aug 4 Bank of America Corp's  legal losses could cost as much as $2.3 billion above money already set aside to cover litigation  the largest U.S. bank by assets said in securities filing.,topStory
BK,Bank Of New York Mellon Corporation (The),20110804,BNY Mellon imposes fee on rapidly growing deposits ,NEW YORK Bank of New York Mellon Corp told some of its biggest depositors this week it does not want their money.,normal
BK,Bank Of New York Mellon Corporation (The),20110804,UPDATE 4-BNY Mellon imposes fee on rapidly growing deposits , * Fees apply to accounts of more than $50 million  (Adds analyst comment and details on fee amounts),normal
BK,Bank Of New York Mellon Corporation (The),20110804,Northern Trust says not charging for deposits , BOSTON  Aug 4 Custody bank Northern Trust  said it has not imposed new fees on customer deposits  unlike competitor Bank of New York Mellon Corp.,normal
BK,Bank Of New York Mellon Corporation (The),20110804,UPDATE 1-State Street says not charging for deposits , BOSTON  Aug 4 Custody bank State Street Corp  said it has not imposed new fees on customer deposits  unlike competitor Bank of New York Mellon Corp.,normal
BK,Bank Of New York Mellon Corporation (The),20110804,BNY confirms deposit fee; sees need tapering off , NEW YORK  Aug 4 BNY Mellon  said on Thursday its new fee on some big deposits was due to extraordinary safe-haven demand  which would taper off as those funds are redeployed.,normal
BK,Bank Of New York Mellon Corporation (The),20110804,BNY Mellon charges on big deposits; T-bill demand up , NEW YORK  Aug 4 BNY Mellon  said on Thursday it will begin charging a fee on "extraordinary" bank deposits  a factor that fired up demand for U.S. Treasury bills and pushed one-month bill <US1MT=RR> rates near zero.  (Reporting by Richard Leong; Editing by James Dalgleish),normal
BCS,Barclays PLC,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
BCS,Barclays PLC,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
BCS,Barclays PLC,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
BCS,Barclays PLC,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
BCS,Barclays PLC,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
BKS,Barnes & Noble Inc,20110804,Borders landlords wary of lease sale plan ,NEW YORK Borders Group Inc's  plan to auction its leases as it liquidates its bookstores is meeting opposition from landlords  who say the plan does not protect their interests.,topStory
BKS,Barnes & Noble Inc,20110804,Borders landlords wary of lease sale plan , NEW YORK  Aug 4 Borders Group Inc's  plan to auction its leases as it liquidates its bookstores is meeting opposition from landlords  who say the plan does not protect their interests.,normal
BKS,Barnes & Noble Inc,20110804,Market Chatter -- Corporate finance press digest , BANGALORE  Aug 4The following corporate finance-related stories were reported by media on Thursday:,normal
BCE,BCE Inc,20110804,UPDATE 4-BCE pays high price for smartphone growth , * Bell Canada parent pays more for new wireless customers,topStory
BCE,BCE Inc,20110804,CORRECTED - UPDATE 1-BCE Q2 profit slips on CTV costs , (Corrects revenue percentage increase; also corrects revenue figure in bulletpoint),normal
BBY,Best Buy Co Inc,20110804,UPDATE 2-Weak video demand sends Hhgregg to surprise loss  shares dive , * Shares fall 17 pct   (Adds comparison to analysts' estimates  background  analyst comment),topStory
BHP,BHP Billiton Limited,20110804,UPDATE 4-End to Chile Escondida strike unclear as vote nears , * Union says offer fell short  but up to workers to decide,topStory
BHP,BHP Billiton Limited,20110804,UPDATE 3-Fluor profit beats estimates  shares rise , * Q2 EPS 94 cents vs 81 cents expected by Wall St analysts,normal
BHP,BHP Billiton Limited,20110804,Chile Escondida union says end to strike not near , ANTOFAGASTA  Chile  Aug 4 The main union at the Chile's giant Escondida mine said on Thursday that a two-week strike was not near ending at the world's top copper deposit.,normal
BHP,BHP Billiton Limited,20110804,RPT-UPDATE 4-Miner Rio Tinto misses forecasts as costs bite , (Repeats item first published Aug 4 with no change to text),normal
BHP,BHP Billiton Limited,20110804,Escondida strikers to vote on whether to negotiate-union , ANTOFAGASTA  Chile  Aug 4 The main union at the world's top copper deposit  Chile's Escondida  said on Thursday workers will vote on whether to negotiate on the basis of a company offer aimed at ending a two-week strike  a union leader said.,normal
BHP,BHP Billiton Limited,20110804,Escondida strikers should vote on offer Thurs/Fri-union , ANTOFAGASTA  Chile  Aug 4 The main union at the world's top copper deposit  Chile's Escondida  said workers should vote on a company offer to end a two-week strike on Thursday or Friday at the latest.,normal
BHP,BHP Billiton Limited,20110804,UPDATE 4-Miner Rio Tinto misses forecasts as costs bite , * London shares down over 3 pct in falling market   (Updates after analyst call  adds details),normal
BHP,BHP Billiton Limited,20110804,Miner Rio Tinto misses forecasts as costs bite ,SYDNEY/LONDON Global miner Rio Tinto  missed forecasts on Thursday despite a record first-half profit  as escalating costs and currency movements blunted the effect of robust metals prices.,normal
BHP,BHP Billiton Limited,20110804,Miner Rio Tinto's profit jumps 35 percent  expands buyback ,SYDNEY Global miner Rio Tinto  reported a 35 percent jump in first-half profit on Thursday  but it missed market expectations and sweetened the result with a $2 billion expansion of its existing share buyback program.,normal
BHP,BHP Billiton Limited,20110804,Miner Rio Tinto's profit jumps 35 percent  expands buyback ,SYDNEY Global miner Rio Tinto  reported a 35 percent jump in first-half profit on Thursday  but it missed market expectations and sweetened the result with a $2 billion expansion of its existing share buyback program.,normal
BBL,BHP Billiton plc,20110804,UPDATE 4-End to Chile Escondida strike unclear as vote nears , * Union says offer fell short  but up to workers to decide,topStory
BBL,BHP Billiton plc,20110804,UPDATE 3-Fluor profit beats estimates  shares rise , * Q2 EPS 94 cents vs 81 cents expected by Wall St analysts,normal
BBL,BHP Billiton plc,20110804,Chile Escondida union says end to strike not near , ANTOFAGASTA  Chile  Aug 4 The main union at the Chile's giant Escondida mine said on Thursday that a two-week strike was not near ending at the world's top copper deposit.,normal
BBL,BHP Billiton plc,20110804,RPT-UPDATE 4-Miner Rio Tinto misses forecasts as costs bite , (Repeats item first published Aug 4 with no change to text),normal
BBL,BHP Billiton plc,20110804,Escondida strikers to vote on whether to negotiate-union , ANTOFAGASTA  Chile  Aug 4 The main union at the world's top copper deposit  Chile's Escondida  said on Thursday workers will vote on whether to negotiate on the basis of a company offer aimed at ending a two-week strike  a union leader said.,normal
BBL,BHP Billiton plc,20110804,Escondida strikers should vote on offer Thurs/Fri-union , ANTOFAGASTA  Chile  Aug 4 The main union at the world's top copper deposit  Chile's Escondida  said workers should vote on a company offer to end a two-week strike on Thursday or Friday at the latest.,normal
BBL,BHP Billiton plc,20110804,UPDATE 4-Miner Rio Tinto misses forecasts as costs bite , * London shares down over 3 pct in falling market   (Updates after analyst call  adds details),normal
BBL,BHP Billiton plc,20110804,Miner Rio Tinto misses forecasts as costs bite ,SYDNEY/LONDON Global miner Rio Tinto  missed forecasts on Thursday despite a record first-half profit  as escalating costs and currency movements blunted the effect of robust metals prices.,normal
BBL,BHP Billiton plc,20110804,Miner Rio Tinto's profit jumps 35 percent  expands buyback ,SYDNEY Global miner Rio Tinto  reported a 35 percent jump in first-half profit on Thursday  but it missed market expectations and sweetened the result with a $2 billion expansion of its existing share buyback program.,normal
BBL,BHP Billiton plc,20110804,Miner Rio Tinto's profit jumps 35 percent  expands buyback ,SYDNEY Global miner Rio Tinto  reported a 35 percent jump in first-half profit on Thursday  but it missed market expectations and sweetened the result with a $2 billion expansion of its existing share buyback program.,normal
BA,Boeing Company (The),20110804,UPDATE 3-Brazil government woes mount as third minister exits , * Jobim voted against Rousseff  called minister 'weakling',topStory
BA,Boeing Company (The),20110804,Boeing picks Atlas 5 rocket for space taxis , CAPE CANAVERAL  Fla.  Aug 4 Boeing Co  announced plans to launch its seven-seat spaceship on a test run to the International Space Station in 2015 using Atlas 5 rockets built by its United Launch Alliance venture.,normal
BA,Boeing Company (The),20110804,Exclusive: Southwest overture stirs Airbus order hopes ,PARIS/CHICAGO A top-level exchange between Southwest Airlines Co and Airbus on the commercial success of a new aircraft has raised hopes at the European plane-maker that it might someday break Boeing Co's monopoly at the low-cost U.S. carrier  sources close to the matter said.,normal
BA,Boeing Company (The),20110804,Southwest profit trails estimates; growth plans cut ,CHICAGO Southwest Airlines Co  posted a smaller-than-expected quarterly profit on Thursday  battered by soaring fuel costs  sending its shares down nearly 8 percent.,normal
BA,Boeing Company (The),20110804,UPDATE 3-Southwest profit trails estimates; growth plans cut , * Shares down nearly 8 percent  (Rewrites first paragraph; adds share fall  analyst comment  details on capacity outlook  background),normal
BA,Boeing Company (The),20110804,Southwest overture stirs Airbus jet order hopes ,PARIS/CHICAGO Southwest Airlines  and Airbus  have begun a "warm" top-level exchange  prompting the jetmaker to hope Boeing's  biggest customer may eventually take an interest in its planes  sources close to the matter said.,normal
BA,Boeing Company (The),20110804,UPDATE 1-Southwest overture stirs Airbus jet order hopes , * Airbus  Southwest CEOs exchange letters in sign of detente,normal
BA,Boeing Company (The),20110804,UPDATE 1-Spirit AeroSystems posts lower Q2 profit , Aug 4 Aircraft parts supplier Spirit AeroSystems Holdings posted lower quarterly profit  as it took a charge related to costs for a business jet program  and cut its 2011 profit view.,normal
BA,Boeing Company (The),20110804,UPDATE 11-Hitachi  Mitsubishi edge towards groundbreaking merger , * Uncertainty remains  planned Thursday announcement scrapped-source,normal
BA,Boeing Company (The),20110804,Southwest overture stirs Airbus jet order hopes ,PARIS/CHICAGO Southwest Airlines  and Airbus  have begun a "warm" top-level exchange  prompting hope at the European planemaker that Boeing's  top buyer may no longer be out of its reach  sources close to the matter said.,normal
BP,BP plc,20110804,U.S. agency approves Shell Arctic oil drilling plan ,WASHINGTON Royal Dutch Shell's long-stymied Arctic drilling program inched ahead on Thursday  as the U.S. offshore drilling regulator approved the company's oil exploration plan for Alaska's Beaufort Sea.,topStory
BP,BP plc,20110804,UPDATE 3-US agency approves Shell Arctic oil drilling plan , * Approved plan would allow company to drill up to 4 wells,normal
BP,BP plc,20110804,Apache quarterly profit up  tops Street ,HOUSTON Apache Corp  reported a better-than-expected 40 percent increase in quarterly profit on Thursday  fueled by record oil and natural gas production and higher crude prices.,normal
BP,BP plc,20110804,UPDATE 4-Apache quarterly profit up  tops Street , * Shares lower with market  (Adds conference call details; updates share price),normal
BP,BP plc,20110804,UPDATE 3-North Sea oil cargoes further delayed , * Norwegian Ekofisk crude loadings further delayed in Aug,normal
BP,BP plc,20110804,UPDATE 1-Fifth UK Forties oil cargo delayed in August , LONDON  Aug 4 A fifth cargo of North Sea Forties crude has been delayed in August  trade sources said on Thursday  reflecting the impact of production problems at the largest UK oilfield  Buzzard.,normal
BP,BP plc,20110804,China eyes steel  cement sectors for carbon credit trade-report , BEIJING  Aug 4 China is considering plans to cap the greenhouse gas emissions of steel  cement and other industries  paving the way for carbon credit trading in the world's biggest emitter  a newspaper cited an official as saying on Thursday.,normal
BAK,Braskem SA,20110804,UPDATE 1-Sunoco CEO: Long-term refining outlook not bullish , HOUSTON  Aug 4 Independent refiner Sunoco Inc  Chairman and Chief Executive Lynn Elsenhans said on Thursday that the Phildelphia company "does not have a bullish outlook for refining.",topStory
BMY,Bristol-Myers Squibb Company,20110804,RPT-UPDATE 1-Bayer rival Boehringer gets EU nod for Pradaxa pill , * EU Approval cements Boehringer lead in promising drug class,topStory
BMY,Bristol-Myers Squibb Company,20110804,UPDATE 1-Bayer rival Boehringer gets EU nod for Pradaxa pill , * EU Approval cements Boehringer lead in promising drug class,normal
BTI,British American Tobacco plc,20110804,PRESS DIGEST-Australian General News - Aug 5 ,Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
BKE,Buckle Inc (The),20110804,U.S. retailers' July same-store sales review , http://r.reuters.com/tuq92s  	 	 Click on the above link for a Thomson Reuters report that reviews July same-store sales performance at U.S. retailers,topStory
BKE,Buckle Inc (The),20110804,U.S. retailers' July same-store sales , http://r.reuters.com/cuq92s	 Click on the attached link for a table that compares U.S. retailers' reported July same-store sales with analyst estimates published by Thomson Reuters data.,normal
CCJ,Cameco Corporation,20110804,UPDATE 3-Cameco profit drops; cuts industry outlook , * Revises supply-demand outlook in wake of Fukushima  (Adds CEO comment  detail),topStory
CM,Canadian Imperial Bank of Commerce,20110804,PRESS DIGEST - Canada - Aug 4 , Aug 4 The following are top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
CNQ,Canadian Natural Resources Limited,20110804,CORRECTED - UPDATE 3-Canadian Natural ups oil sands spending after outage , (Corrects figure in first paragraph to seven months from eight),topStory
CAJ,Canon Inc,20110804,FSA charges ex-Mizuho banker with insider dealing , LONDON  Aug 4 Britain's Financial Services Authority (FSA) has charged former Mizuho investment banker Thomas Ammann and two of his associates with insider dealing  the regulator said on Thursday.,topStory
CAH,Cardinal Health Inc,20110804,UPDATE 3-Cardinal quarterly profit up; outlook sinks stock , * Stock down 2.8 percent  (Adds detail from conference call; updates stock price),topStory
CAH,Cardinal Health Inc,20110804,Cardinal quarterly operating earnings rise , CHICAGO  Aug 4 Cardinal Health  posted higher quarterly operating results on Thursday as revenue in its pharmaceutical segment rose 10 percent  helped by acquisitions.,normal
CAH,Cardinal Health Inc,20110804,CORRECTED-BRIEF-Cardinal Health Q4 results , Aug 4 Cardinal Health Inc :  * Reports strong fiscal 2011 growth on record revenues; provides fiscal 2012,normal
CBS,CBS Corporation,20110804,Showtime adds 2 million subscribers  expands original shows ,LOS ANGELES Premium cable channel Showtime said on Thursday it has gained another two million subscribers this year and announced two new comedies in its bid to expand its slate of edgy  sophisticated programing.,topStory
CBS,CBS Corporation,20110804,Showtime adds 2 mln subscribers  expands original shows , LOS ANGELES  Aug 4 Premium cable channel Showtime said on Thursday it has gained another two million subscribers this year and announced two new comedies in its bid to expand its slate of edgy  sophisticated programming.,normal
CF,CF Industries Holdings Inc,20110804,CF Industries profit widely beats; shares jump ,NEW YORK Fertilizer producer CF Industries Holdings Inc's  quarterly profit soundly beat Wall Street's expectations as higher nitrogen prices offset a dip in sales due to a wet spring.,topStory
CF,CF Industries Holdings Inc,20110804,UPDATE 3-CF Industries profit widely beats; shares jump , * Shares up 5.8 percent after earnings report  (Adds CEO interview; updates stock),normal
CVX,Chevron Corporation,20110804,UPDATE 1-Shell completes maintenance at oil sands project , CALGARY  Alberta  Aug 4 Royal Dutch Shell Plc  said on Thursday it had completed unplanned maintenance at its oil sands mining site in northern Alberta and operations had returned to normal.,topStory
CHD,Church & Dwight Company Inc,20110804,UPDATE 2-Church & Dwight Q2 profit rises  to hike prices , * Sees FY11 adj EPS $2.17-$2.20 vs est $2.18   (Adds details  background throughout),topStory
CI,Cigna Corporation,20110804,UPDATE 4-Cigna raises forecast as profit beats Street , * Sees 2011 EPS $4.95-$5.25  up from $4.65-$5 previously,topStory
CI,Cigna Corporation,20110804,US STOCKS-Futures off ahead of data  GM up after net doubles , * Futures off: Dow 63 pts  S&P 9 pts  Nasdaq 14.5 pts,normal
CI,Cigna Corporation,20110804,US STOCKS-Futures point to drop ahead of jobless data , * Futures off: Dow 82 pts  S&P 10.10 pts  Nasdaq 17.75 pts,normal
XEC,Cimarex Energy Co,20110804,WRAPUP 1-Mid-cap U.S. oil cos loosen purse string to pump up output , BANGALORE  Aug 4 A number of small and medium-sized U.S. oil and natural gas companies have increased their annual spending budget as they look to produce more of oil and natural gas liquids from their properties.,topStory
XEC,Cimarex Energy Co,20110804,UPDATE 1-Cimarex Q2 beats Wall Street on higher prices , Aug 4 Oil and natural gas producer Cimarex Energy Co's second-quarter results beat market estimates as higher prices pushed up sales despite lower production.,normal
CIR,CIRCOR International Inc,20110804,UPDATE 2-CIRCOR sees weak Q3  shares fall , * Shares fall more than 17 percent   (Adds details on forecast in para 4-6; updates shares),topStory
CIT,CIT Group Inc (DEL),20110804,Paulson's hedge funds endure another rough month ,NEW YORK Hedge fund titan John Paulson's flagship funds performed poorly in July and sank further into the red for the year.,topStory
CIT,CIT Group Inc (DEL),20110804,Paulson's hedge funds endure another rough month , NEW YORK  Aug 4 Hedge fund titan John Paulson's flagship funds performed poorly in July and sank further into the red for the year.,normal
C,Citigroup Inc,20110804,Paulson's hedge funds endure another rough month ,NEW YORK Hedge fund titan John Paulson's flagship funds performed poorly in July and sank further into the red for the year.,topStory
C,Citigroup Inc,20110804,Paulson's hedge funds endure another rough month , NEW YORK  Aug 4 Hedge fund titan John Paulson's flagship funds performed poorly in July and sank further into the red for the year.,normal
C,Citigroup Inc,20110804,Analysis: Warburg Pincus bets big on small investors ,NEW YORK Warburg Pincus is placing bets on mom-and-pop investors neglected by big Wall Street firms intent on courting the elite.,normal
CCO,Clear Channel Outdoor Holdings Inc,20110804,UPDATE 2-Lamar outlook disappoints as billboards lose lure , * Shares fall as much as 21 pct   (Adds details on Q3 rev outlook  analyst comments  updates share movement),topStory
CCO,Clear Channel Outdoor Holdings Inc,20110804,UPDATE 1-Lamar Advertising Q2 profit beats Street , Aug 4 Billboard operator Lamar Advertising Co  posted second-quarter profit that beat Wall Street estimates  helped by an improvement in the advertising market.,normal
KO,Coca-Cola Company (The),20110804,AriZona Iced Tea partnership ending in legal feud ,NEW YORK Before they co-founded one of the most popular iced-tea brands in the country  John Ferolito and Domenick Vultaggio were just two guys from Brooklyn selling beer out of the back of a Volkswagen bus.,topStory
KO,Coca-Cola Company (The),20110804,AriZona Iced Tea partnership ending in legal feud , NEW YORK  Aug 4 Before they co-founded one of the most popular iced-tea brands in the country  John Ferolito and Domenick Vultaggio were just two guys from Brooklyn selling beer out of the back of a Volkswagen bus.,normal
KO,Coca-Cola Company (The),20110804,UPDATE 2-Commodities hike  tough economy hit Greek Coke bottler , * Q2 net profit 147 mln euros  H1 profit down 28 pct y/y,normal
KO,Coca-Cola Company (The),20110804,Greek Coke bottler CCH posts 28 pct profit drop in H1 , ATHENS  Aug 4 Coca-Cola Hellenic   the world's second-largest bottler of Coca-Cola soft drinks  posted a 28 percent profit drop in the first half  due to higher commodity prices  it said on Thursday.,normal
CBD,Companhia Brasileira de Distribuicao,20110804,UPDATE 1-Fund questions Casino's Pao de Acucar share buys , (Recasts with confirmation from Rio Bravo  Casino comments),topStory
CBD,Companhia Brasileira de Distribuicao,20110804,Fund questions Casino's Pao de Acucar move-report , SAO PAULO  Aug 4 A Brazilian investment fund filed a complaint before securities regulators to question the legality of French retailer Casino Guichard Perrachon's  purchase of shares of Brazil's Grupo Pao de Acucar in June  newspaper O Estado de S. Paulo said on Thursday.,normal
CAG,ConAgra Brands Inc,20110804,Dealtalk: Ralcorp stock to take hit as ConAgra takeover odds dim ,BANGALORE Investors in Ralcorp Holdings   who have pushed up the stock price on hopes of a deal  may have overreached as twice-rebuffed suitor ConAgra Foods  looks increasingly unlikely to sweeten its $86 a share takeover bid.,topStory
