AXAS,Abraxas Petroleum Corporation,20110926,Lack of sand helps explain well costs gap -Kodiak , * Flooding delayed shipment of sand for fracking -Abraxas,topStory
WTR,Aqua America Inc,20110926,HOW TO PLAY IT: Don't be a volatility ostrich , THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
AGO,Assured Guaranty Ltd,20110926,UPDATE 4-Radian looking to form mutual bond insurance co , *    (Adds quotes  clarifies cause of insurance meltdown),topStory
AZN,Astrazeneca PLC,20110926,Gene could explain why treatments fail some with asthma ,CHICAGO Genetic differences could explain why some 40 percent of people with asthma do not respond to inhaled steroids used to achieve long-term asthma control.,topStory
AZN,Astrazeneca PLC,20110926,Gene explains why treatments fail some with asthma , * Understanding could lead to personalized asthma drugs,normal
AZN,Astrazeneca PLC,20110926,UPDATE 1-Novartis's Afinitor shows promise in breast cancer , * Afinitor + Aromasin ups progression-free survival by 7 months,normal
T,AT&T Inc,20110926,Activists meet to defend Internet from state control ,LONDON Internet activists will this week make an 11th-hour attempt to stop governments seizing more control of the Web that has fueled Arab revolutions  enabled mass leaks of U.S. diplomatic cables and allowed online piracy to thrive.,topStory
T,AT&T Inc,20110926,T-Mobile USA promises speed boost from new phones ,T-Mobile USA plans next month to launch two smartphones that double the speed of its wireless data service in the hope of attracting new customers to the No. 4 U.S. mobile provider.,normal
T,AT&T Inc,20110926,T-Mobile USA promises speed boost from new phones ,  Sept 26 T-Mobile USA plans next month to launch two smartphones that double the speed of its wireless data service in the hope of attracting new customers to the No. 4 U.S. mobile provider.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20110926,Spain´s FROB fund extends CAM bids deadline-sources , MADRID  Sept 26 Spain's FROB fund has extended the deadline for non-binding offers for Caja de Ahorros del Mediterraneo (CAM) until Wednesday at the request of some of the interested bidders  financial sector sources said on Monday.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110926,Ue avvia indagine antitrust su mercato pagamenti online , BRUXELLES  26 settembre L'antitrust Ue ha avviato oggi un'indagine finalizzata a verificare se un gruppo di banche - tra cui Deutsche Bank   Hsbc   Intesa Sanpaolo   e Bbva - stia bloccando a nuovi soggetti l'accesso al mercato europeo dei pagamenti online.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110926,EU opens antitrust probe into e-payment market ,BRUSSELS EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank  HSBC and Spain's BBVA  is blocking new players from entering the European online payments market.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110926,EU opens antitrust probe into e-payment market , BRUSSELS  Sept 26 EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank   HSBC  and BBVA   is blocking new players from entering the European online payments market.,normal
SAN,Banco Santander SA,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,topStory
SAN,Banco Santander SA,20110926,Spain´s FROB fund extends CAM bids deadline-sources , MADRID  Sept 26 Spain's FROB fund has extended the deadline for non-binding offers for Caja de Ahorros del Mediterraneo (CAM) until Wednesday at the request of some of the interested bidders  financial sector sources said on Monday.,normal
SAN,Banco Santander SA,20110926,EU opens antitrust probe into e-payment market ,BRUSSELS EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank  HSBC and Spain's BBVA  is blocking new players from entering the European online payments market.,normal
SAN,Banco Santander SA,20110926,EU opens antitrust probe into e-payment market , BRUSSELS  Sept 26 EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank   HSBC  and BBVA   is blocking new players from entering the European online payments market.,normal
BAC,Bank of America Corporation,20110926,Berkshire to launch share buyback plan ,(Reuters) Warren Buffett's conglomerate Berkshire Hathaway will launch a share buyback program  an unprecedented move from Buffett that comes after months of investor complaints that the stock is undervalued. | Video ,topStory
BAC,Bank of America Corporation,20110926,UPDATE 8-Berkshire Hathaway in surprise buyback; shares soar , * Shares rise more than 8 percent  (Updates shares to close  adds line on length of program),normal
BAC,Bank of America Corporation,20110926,American Apparel close to financing deal with Burkle ally:report ,American Apparel  is in the final stages of negotiating a $90 million funding from an affiliate of billionaire investor Ron Burkle  industry journal Women's Wear Daily (WWD) reported  citing sources close to the deal.,normal
BAC,Bank of America Corporation,20110926,American Apparel close to financing deal with Burkle ally - WWD , Sept 26 American Apparel is in the final stages of negotiating a $90 million funding from an affiliate of billionaire investor Ron Burkle  industry journal Women's Wear Daily (WWD) reported  citing sources close to the deal.,normal
BAC,Bank of America Corporation,20110926,SolarCity latest to see U.S. loan loss post-Solyndra ,LOS ANGELES/WASHINGTON Solar panel installer SolarCity said on Friday it was the second company in as many days that will not get finalization of U.S. government loan aid by a September 30 deadline.,normal
BAC,Bank of America Corporation,20110926,Goldman at top of Japan M&A table with steel deal , TOKYO  Sept 26 Goldman Sachs has risen to the top spot of Japan's M&A league table so far in 2011 after securing an advisory role in a $22.5 billion steel industry merger  relegating perennial leader Nomura to second place for now.,normal
BAC,Bank of America Corporation,20110926,Major fund industry news in Asia for week ending Sept 23  2011 , HONG KONG  Sept 26 News and developments in Asia mutual fund and hedge fund industry from Reuters News for the week ending Sept. 23.,normal
BMO,Bank Of Montreal,20110926,Canada bank regulator sharpens focus on lending , TORONTO  Sept 26 Canada's banking watchdog is increasing its scrutiny of the consumer loan sector to make sure the country's banks don't lower their standards to boost lending volumes.,topStory
BMO,Bank Of Montreal,20110926,American Apparel close to financing deal with Burkle ally:report ,American Apparel  is in the final stages of negotiating a $90 million funding from an affiliate of billionaire investor Ron Burkle  industry journal Women's Wear Daily (WWD) reported  citing sources close to the deal.,normal
BMO,Bank Of Montreal,20110926,American Apparel close to financing deal with Burkle ally - WWD , Sept 26 American Apparel is in the final stages of negotiating a $90 million funding from an affiliate of billionaire investor Ron Burkle  industry journal Women's Wear Daily (WWD) reported  citing sources close to the deal.,normal
BK,Bank Of New York Mellon Corporation (The),20110926,UPDATE 1-Japan public fund shortlists firms to manage emerging mkt equities -sources , * Six firms on shortlist are Japanese  5 are foreign -sources,topStory
BK,Bank Of New York Mellon Corporation (The),20110926,Japan public fund shortlists firms to manage emerging mkt equities -sources , * Six firms on shortlist are Japanese  5 are foreign -sources,normal
BNS,Bank of Nova Scotia (The),20110926,Canada bank regulator sharpens focus on lending , TORONTO  Sept 26 Canada's banking watchdog is increasing its scrutiny of the consumer loan sector to make sure the country's banks don't lower their standards to boost lending volumes.,topStory
BCS,Barclays PLC,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
BCS,Barclays PLC,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
BCS,Barclays PLC,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
BKS,Barnes & Noble Inc,20110926,Borders  B&N get court's OK on $14 million IP sale ,NEW YORK A bankruptcy judge gave Borders Group Inc  the go-ahead to sell its customer information to former rival Barnes & Noble Inc  after both sides addressed concerns about customer privacy.,topStory
BKS,Barnes & Noble Inc,20110926,Borders  B&N get court's OK on $14 million IP sale , NEW YORK  Sept 26 A bankruptcy judge gave Borders Group Inc  the go-ahead to sell its customer information to former rival Barnes & Noble Inc  after both sides addressed concerns about customer privacy.,normal
BHP,BHP Billiton Limited,20110926,INSIGHT-Chile mines dodge blackout damage  seek better grid , SANTIAGO  Sept 26 Chile's mining sector escaped relatively unscathed from a massive power blackout on Saturday night  but it will take years for the world's top copper producer to revamp its electrical grid and minimize risks.,topStory
BBL,BHP Billiton plc,20110926,INSIGHT-Chile mines dodge blackout damage  seek better grid , SANTIAGO  Sept 26 Chile's mining sector escaped relatively unscathed from a massive power blackout on Saturday night  but it will take years for the world's top copper producer to revamp its electrical grid and minimize risks.,topStory
BLK,BlackRock Inc,20110926,ETF industry braces itself for transparency push ,PARIS Top heavyweights from the $1.3 trillion exchange-traded fund (ETF) industry are bracing themselves for a shift in how their fast-growing but relatively opaque products are marketed  distributed and regulated.,topStory
BLK,BlackRock Inc,20110926,ETF industry braces itself for transparency push , * More transparency  disclosure for retail investors-reg,normal
BA,Boeing Company (The),20110926,Gleeful Boeing hands first 787 to Japan's ANA ,SEATTLE Boeing Co  workers presented the company's first 787 Dreamliner in the pouring rain to All Nippon Airways  on Monday  capping nearly a decade of development of the world's most advanced jetliner. | Video ,topStory
BA,Boeing Company (The),20110926,UPDATE 3-Gleeful Boeing hands first 787 to Japan's ANA , (For more on Boeing's long-awaited 787 Dreamliner  see [ID:nS1E78O066]),normal
BA,Boeing Company (The),20110926,Euro zone hope revives optimism on Wall Street ,NEW YORK Stocks rose on Monday as sentiment swung toward hope that European officials would find a way to cut Greece's debt and shore up European banks. | Video ,normal
BA,Boeing Company (The),20110926,Business travel: Boeing's 787 aims to raise bar in comfort ,LONDON Dressed in specially designed All Nippon Airways livery  with a big  bold  blue "787" splashed at its fore  Boeing Co's Dreamliner will fly from its Seattle birthplace to Tokyo on Tuesday  and  just over a month later  begin active service for the Japanese carrier.,normal
BA,Boeing Company (The),20110926,Boeing CEO sees 787 cash breakeven this decade ,SEATTLE Boeing Co  expects to reach "cash breakeven" on each 787 Dreamliner this decade  Chairman and Chief Executive Jim McNerney said on Monday. | Video ,normal
BA,Boeing Company (The),20110926,Boeing CEO sees 787 cash breakeven this decade , * Boeing CEO says 787 will hit cash breakeven this decade,normal
BA,Boeing Company (The),20110926,US STOCKS-Euro-zone hope revives optimism on Wall Street , * Dow up 2.5 pct  S&P 500 up 2.3 pct  Nasdaq up 1.4 pct,normal
BA,Boeing Company (The),20110926,CORRECTED - US STOCKS-Dow  S&P gain on euro zone hopes  Apple falls , (Corrects 15th paragraph to clarify that DJ Indexes didn't say that technical issues inaccurately reflected stock prices. This error also appeared in previous versions of this story.),normal
BA,Boeing Company (The),20110926,FACTBOX-Some facts about the Boeing 787 Dreamliner , (For more on Boeing's long-awaited 787 Dreamliner  see [ID:nS1E78O066]),normal
BA,Boeing Company (The),20110926,US STOCKS-Euro zone hope revives Wall Street optimism , * Indexes up: Dow 2.5 pct  S&P 2.3 pct  Nasdaq 1.4 pct,normal
BP,BP plc,20110926,Past UK-Gaddafi ties not seen affecting trade-envoy , TRIPOLI  Sept 26 Britain's past business and security dealings with Muammar Gaddafi's Libya are not expected to affect bilateral trade following his ousting  the UK special representative to the oil-producing country said on Monday.,topStory
BP,BP plc,20110926,UPDATE 1-TNK-BP CEO designate to wait for top job , MOSCOW  Sept 26 The man nominated to become chief executive of Russia's third-largest oil producer TNK-BP  will not make good on his threat to step down over the continued refusal of the company's owners to make him head of the group  a source familiar with the matter said.,normal
BP,BP plc,20110926,TNK-BP board did not discuss management - statement , MOSCOW  Sept 26 TNK-BP   Russia's third-largest oil producer  did not discuss senior management appointments at a board meeting last week.,normal
BP,BP plc,20110926,PRESS DIGEST - British business - Sept 26 , Emergency plans were being drawn up on Sunday for a massive boost to the euro zone's bailout facility to protect the banking system from the fallout of the Greek debt crisis.,normal
BP,BP plc,20110926,BP  Russian partners weigh venture's CEO job - WSJ , Sept 25 BP Plc will make a decision "very soon" whether Maxim Barsky  the chief executive in waiting  will head its Russian joint venture  according to The Wall Street Journal.,normal
BMY,Bristol-Myers Squibb Company,20110926,UPDATE 1-Bristol-Myers CEO: 2012 sales drop 'very manageable' , * Says firm can cope with loss of US patent protection on Plavix drug,topStory
BMY,Bristol-Myers Squibb Company,20110926,Bristol-Myers CEO: 2012 sales drop 'very manageable' , TOKYO  Sept 26 Bristol-Myers Squibb CEO Lamberto Andreotti told reporters during a briefing in Tokyo he believes the firm will be able to cope with the sales fall from the loss of U.S. patent exclusivity of its top Plavix drug.,normal
BPL,Buckeye Partners LP,20110926,US Cash Products-Chicago  Harbor gasoline firmer , * Gulf  Group Three gasoline weaken  (Updates New York Harbor gasoline  distillate prices),topStory
BPL,Buckeye Partners LP,20110926,US Cash Products-Chicago  Harbor gasoline firmer , Houston  Sept 26 Chicago gasoline was stronger on Monday as a newly prompt cycle started trading against the November RBOB futures contract  which is cheaper than October futures  traders said.,normal
CPB,Campbell Soup Company,20110926,TEXT-Fitch:US/European packaged food companies testing resilience , (The following statement was released by the rating agency),topStory
CM,Canadian Imperial Bank of Commerce,20110926,Canada bank regulator sharpens focus on lending , TORONTO  Sept 26 Canada's banking watchdog is increasing its scrutiny of the consumer loan sector to make sure the country's banks don't lower their standards to boost lending volumes.,topStory
CNI,Canadian National Railway Company,20110926,PRESS DIGEST - CANADA - September 26 , Sept 26 The following are top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
CRR,Carbo Ceramics Inc,20110926,Lack of sand helps explain well costs gap -Kodiak , * Flooding delayed shipment of sand for fracking -Abraxas,topStory
CBS,CBS Corporation,20110926,Charlie Sheen settles lawsuit over "Men" firing ,LOS ANGELES Charlie Sheen has settled a lawsuit with the makers and creators of "Two and A Half Men" over the actor's dismissal from the top-rated U.S. television comedy earlier this year  Warner Bros. said on Monday.,topStory
CBS,CBS Corporation,20110926,UPDATE 1-Charlie Sheen settles lawsuit over "Men" firing , LOS ANGELES  Sept 26 Charlie Sheen has settled a lawsuit with the makers and creators of "Two and A Half Men" over the actor's dismissal from the top-rated U.S. television comedy earlier this year  Warner Bros. said on Monday.,normal
CBS,CBS Corporation,20110926,Charlie Sheen  Warner Bros settle over "Men" firing , LOS ANGELES  Sept 26 Charlie Sheen and the makers and creators of "Two and A Half Men" have settled a lawsuit over the actor's dismissal from the top-rated U.S. television comedy  Warner Bros. said on Monday.,normal
CVX,Chevron Corporation,20110926,PRESS DIGEST-Australian Business News - Sept 27 , WELLINGTON  Sept 27     Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
CVX,Chevron Corporation,20110926,UPDATE 2-Chevron approves A$29 bln Australia LNG project , * Chevron positioning as one of Australia's largest LNG producers,normal
CVX,Chevron Corporation,20110926,Chevron sees no cost increase at $37 bln Gorgon LNG , PERTH  Sept 26 Chevron Corp is not currently forecasting a cost increase for its $37 billion Gorgon liquefied natural gas project in Western Australia  which is nearing 30 percent completion  Vice Chairman George Kirkland said on Monday,normal
CVX,Chevron Corporation,20110926,Chevron approves A$29 bln Australian LNG project , PERTH  Sept 26 Chevron Corporation on Monday gave the final go ahead for its A$29 billion ($28.4 billion) Wheatstone liquefied natural gas project in Western Australia  the company's second LNG export project in the country.,normal
CVX,Chevron Corporation,20110926,Chevron set to approve Australia's Wheatstone LNG project , * Chevron due to announce final investment on Monday - source,normal
SNP,China Petroleum & Chemical Corporation,20110926,Sinopec Gaoqiao to cut crude runs after a coker fire-source , BEIJING  Sept 26 Sinopec Corp will lower its crude oil throughput at its Gaoqiao refinery after a fire hit a 1.4 million tonne-per-year (tpy) delayed coking unit on Friday night  an industry source said.,topStory
C,Citigroup Inc,20110926,Euro zone hope revives optimism on Wall Street ,NEW YORK Stocks rose on Monday as sentiment swung toward hope that European officials would find a way to cut Greece's debt and shore up European banks. | Video ,topStory
C,Citigroup Inc,20110926,US STOCKS-Euro-zone hope revives optimism on Wall Street , * Dow up 2.5 pct  S&P 500 up 2.3 pct  Nasdaq up 1.4 pct,normal
C,Citigroup Inc,20110926,CORRECTED - US STOCKS-Dow  S&P gain on euro zone hopes  Apple falls , (Corrects 15th paragraph to clarify that DJ Indexes didn't say that technical issues inaccurately reflected stock prices. This error also appeared in previous versions of this story.),normal
C,Citigroup Inc,20110926,U.S. judge tosses Con Edison's 9/11 case , NEW YORK  Sept 26 A federal judge dismissed on Friday a lawsuit by electric-service provider  Consolidated Edison Inc   stemming from the destruction of the company's power station during the Sept. 11  2001 attacks.,normal
C,Citigroup Inc,20110926,US STOCKS-Euro zone hope revives Wall Street optimism , * Indexes up: Dow 2.5 pct  S&P 2.3 pct  Nasdaq 1.4 pct,normal
C,Citigroup Inc,20110926,On the Move-Morgan Stanley Smith Barney hires Wells Fargo team , NEW YORK  Sept 26 Morgan Stanley Smith Barney  the largest U.S. brokerage  said on Monday the firm has hired two former Wells Fargo advisers in New Jersey who together produced a revenue of more than $2 million over the past year.,normal
C,Citigroup Inc,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
C,Citigroup Inc,20110926,EU opens antitrust probe into e-payment market ,BRUSSELS EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank  HSBC and Spain's BBVA  is blocking new players from entering the European online payments market.,normal
C,Citigroup Inc,20110926,Analysis: Banks prepare for Greek default  want EU help ,WASHINGTON Bankers are bracing for a Greek default  and their best hope is that Europe can erect firewalls around the banking system strong enough and soon enough to prevent it from spreading to other euro-zone countries.,normal
C,Citigroup Inc,20110926,BRIEF-Moody's cuts 3 series of repack notes of Max Capital Ltd , * Moody's downgrades 3 series of repack notes of Max Capital Ltd,normal
CLX,Clorox Company (The),20110926,HOW TO PLAY IT: Don't be a volatility ostrich , THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
CEO,CNOOC Limited,20110926,Uganda asks Tullow  others to drop protective clause , KAMPALA  Sept 26 Uganda wants British oil explorer Tullow Oil   France's Total and Chinese group CNOOC to drop a clause shielding them from sudden changes in policy before approving a $10 billion oil project  sources said on Monday.,topStory
CEO,CNOOC Limited,20110926,CNOOC to resume fire-hit Indonesia oil output this week-BPMigas , JAKARTA  Sept 26 China's top offshore crude producer CNOOC Ltd will   resume normal operations this week at Indonesia's southeast Sumatra oil block after a weekend fire at a tanker cut off some production  oil and gas regulator BPMigas said on Monday.,normal
CEO,CNOOC Limited,20110926,CNOOC sees little need for Q4 spot LNG imports , CHENGDU  China  Sept 26 China's CNOOC  the country's largest LNG player  has little appetite for spot imports of liquefied natural gas for this winter  as a jump in Japanese demand following the March tsunami has tightened near-term supply and led to a surge in freight costs  a company official said on Monday.,normal
KOF,Coca Cola Femsa SAB de CV,20110926,DIARY - Mexico and Central America - to Oct 14 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. __________________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST      PREV ------------------------------------------------------------------ SEP26 0800/1300  trade balance             Aug             -1.179b SEP26 0800/1300  trade balance s/a         Aug           ,topStory
KO,Coca-Cola Company (The),20110926,Deals of the day - mergers and acquisitions , Sept 26 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Monday:,topStory
CFX,Colfax Corporation,20110926,PRESS DIGEST - British business - Sept 26 , Emergency plans were being drawn up on Sunday for a massive boost to the euro zone's bailout facility to protect the banking system from the fallout of the Greek debt crisis.,topStory
CL,Colgate-Palmolive Company,20110926,HOW TO PLAY IT: Don't be a volatility ostrich , THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
COP,ConocoPhillips,20110926,BP Migas to renegotiate gas supply swap to Singapore , JAKARTA  Sept 26 Indonesia's oil and gas regulator  BP Migas  is seeking to renegotiate a contract to swap gas supplies with Singapore buyers  the watchdog said on Monday.,topStory
COP,ConocoPhillips,20110926,UPDATE 1-Arrow raises offer for Australia's Bow Energy to $524 mln , * New resources would allow Arrow LNG trains 1 & 2 to expand to 4.6 mtpa,normal
CNX,CONSOL Energy Inc,20110926,Deals of the day - mergers and acquisitions , Sept 26 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Monday:,topStory
CNX,CONSOL Energy Inc,20110926,UPDATE 1-Consol Energy sells royalty interests for $193 mln , Sept 26 U.S. coal miner Consol Energy Inc  said it will sell part of its royalty interest in some of Antero Resources Appalachian Corp's  Marcellus Shale assets to the natural gas producer for about $193 million in cash.,normal
ED,Consolidated Edison Inc,20110926,U.S. judge tosses Con Edison's 9/11 case , NEW YORK  Sept 26 A federal judge dismissed on Friday a lawsuit by electric-service provider  Consolidated Edison Inc   stemming from the destruction of the company's power station during the Sept. 11  2001 attacks.,topStory
ED,Consolidated Edison Inc,20110926,RPT-NY can replace Indian Point reactors-Governor Cuomo , * Indian Point reactor licenses expire in 2013 and 2015,normal
ED,Consolidated Edison Inc,20110926,New York can replace Indian Point reactors: Governor Cuomo ,NEW YORK New York Governor Andrew Cuomo is confident the state can replace the power generated by the giant Indian Point nuclear plant  but offered no details during an online Town Hall chat with New Yorkers over the weekend.,normal
CRH,CRH PLC,20110926,BRIEF-Moody's:Ratings of Coca-Cola Hellenic and CRH unaffected ,  Sept 26 Coca-Coca Hellenic Bottling Company S.A.  and CRH plc,topStory
DE,Deere & Company,20110926,Deere to build tractor factory in Argentina-source , BUENOS AIRES  Sept 26 Deere & Co   the world's biggest producer of farm equipment  plans to build a factory to make tractors and harvesters in Argentina  a top global grains supplier  a government source said on Monday.,topStory
DB,Deutsche Bank AG,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,topStory
DB,Deutsche Bank AG,20110926,Ranieri Real Estate  WL Ross to buy Deutsche Bank unit ,Ranieri Real Estate Partners and funds affiliated with billionaire investor Wilbur Ross' WL Ross & Co  said they agreed to acquire Deutsche Bank Berkshire Mortgage (DBBM)  a unit of Deutsche Bank   on undisclosed terms.,normal
DB,Deutsche Bank AG,20110926,UPDATE 1-Ranieri Real Estate  WL Ross to buy Deutsche Bank unit , Sept 26 Ranieri Real Estate Partners and funds affiliated with billionaire investor Wilbur Ross' WL Ross & Co  said they agreed to acquire Deutsche Bank Berkshire Mortgage (DBBM)  a unit of Deutsche Bank   on undisclosed terms.,normal
DB,Deutsche Bank AG,20110926,LSE faces crunch decision on LCH.Clearnet ,LONDON London Stock Exchange  chief executive Xavier Rolet faced a crucial test on Monday as the board of LCH.Clearnet meets to decide whether to sell itself to the British exchange  or back a rival bid from data firm Markit.,normal
DB,Deutsche Bank AG,20110926,Private banks can go it alone - Deutsche's De Weck , * Private banks do not absolutely need investment banking-De Weck,normal
DB,Deutsche Bank AG,20110926,LSE faces crunch decision on LCH.Clearnet , LONDON  Sept 26 London Stock Exchange  chief executive Xavier Rolet faced a crucial test on Monday as the board of LCH.Clearnet meets to decide whether to sell itself to the British exchange  or back a rival bid from data firm Markit.,normal
DB,Deutsche Bank AG,20110926,REFILE-Bahrain plans $1bn sovereign Islamic bond - sources , DUBAI  Sept 26 Gulf Arab state Bahrain is planning to issue a $1 billion sovereign Islamic bond and has mandated three banks for the proposed sale  banking sources said.,normal
DB,Deutsche Bank AG,20110926,Bahrain plans $1bn sovereign Islamic bond - sources , Sept 26 Gulf Arab state Bahrain is planning to issue a $1 billion sovereign Islamic bond and has mandated three banks for the proposed sale  banking sources said.,normal
DB,Deutsche Bank AG,20110926,EU opens antitrust probe into e-payment market ,BRUSSELS EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank  HSBC and Spain's BBVA  is blocking new players from entering the European online payments market.,normal
DB,Deutsche Bank AG,20110926,EU opens antitrust probe into e-payment market , BRUSSELS  Sept 26 EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank   HSBC  and BBVA   is blocking new players from entering the European online payments market.,normal
D,Dominion Energy Inc,20110926,HOW TO PLAY IT: Don't be a volatility ostrich , THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
D,Dominion Energy Inc,20110926,UPDATE 1-Consol Energy sells royalty interests for $193 mln , Sept 26 U.S. coal miner Consol Energy Inc  said it will sell part of its royalty interest in some of Antero Resources Appalachian Corp's  Marcellus Shale assets to the natural gas producer for about $193 million in cash.,normal
DCUD,Dominion Energy Inc,20110926,HOW TO PLAY IT: Don't be a volatility ostrich , THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
DCUD,Dominion Energy Inc,20110926,UPDATE 1-Consol Energy sells royalty interests for $193 mln , Sept 26 U.S. coal miner Consol Energy Inc  said it will sell part of its royalty interest in some of Antero Resources Appalachian Corp's  Marcellus Shale assets to the natural gas producer for about $193 million in cash.,normal
DRUA,Dominion Energy Inc,20110926,HOW TO PLAY IT: Don't be a volatility ostrich , THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
DRUA,Dominion Energy Inc,20110926,UPDATE 1-Consol Energy sells royalty interests for $193 mln , Sept 26 U.S. coal miner Consol Energy Inc  said it will sell part of its royalty interest in some of Antero Resources Appalachian Corp's  Marcellus Shale assets to the natural gas producer for about $193 million in cash.,normal
RDY,Dr Reddy&#39;s Laboratories Ltd,20110926,UPDATE 1-India Dr Reddy's  JB Chem call off Russia deal , * $34.9 mln deal for Russia prescription portfolio called off,topStory
RDY,Dr Reddy&#39;s Laboratories Ltd,20110926,India Dr Reddy's  JB Chem call off Russia precription biz deal , MUMBAI  Sept 26 Dr Reddy's Laboratories  said on Monday that a proposed deal to acquire the drug prescription portfolio of JB Chemicals & Pharmaceuticals  in Russia and other CIS countries has been mutually called off "in the overall business interest of both parties".,normal
DNB,Dun & Bradstreet Corporation (The),20110926,UPDATE 1-Delcath appoints new CFO; presents device data , * Graham G. Miao named Delcath CFO  replaces David McDonald,topStory
EEP,Enbridge Energy LP,20110926,UPDATE 1-Enbridge Energy ups spill cost estimate by 20 pct , Sept 26 Oil and gas pipeline operator Enbridge Energy Partners said the cost to clean up a pipeline spill last year in Michigan is expected to increase by 20 percent.,topStory
ENB,Enbridge Inc,20110926,UPDATE 3-Enbridge restarts North Dakota line after oil spill , * Line restarted at 4 p.m. (2000 GMT)  (Recasts to include restart of line),topStory
ENB,Enbridge Inc,20110926,UPDATE 1-Enbridge Energy ups spill cost estimate by 20 pct , Sept 26 Oil and gas pipeline operator Enbridge Energy Partners said the cost to clean up a pipeline spill last year in Michigan is expected to increase by 20 percent.,normal
E,ENI SpA,20110926,UPDATE 2-Eni restarts its Libya oil production , * Saras welcomes news  could restart own ops by year-end,topStory
E,ENI SpA,20110926,Saras hopes to restart Libyan crude ops by year end , MILAN  Sept 26 Italian oil refiner Saras  hopes to restart crude shipment operations with Libya before the end of the year  Saras Chairman Gian Marco Moratti said on Monday.,normal
E,ENI SpA,20110926,UPDATE 1-Eni to bid in new round for Iraq Nassiriya field , * Three other companies interested in Nassiriya development,normal
E,ENI SpA,20110926,Eni CEO says to bid for Iraq Nassiriya field development , MILAN  Sept 26 Italy's oil and gas major ENI  will participate in the fourth round bid for development of Nassiriya oilfield in Iraq  the company said in a statement on Monday citing its chief executive Paolo Scaroni.,normal
E,ENI SpA,20110926,Eni  Bnp Paribas sale al 2 5% del capitale - Consob , MILANO  26 settembre Bnp Paribas è salita al 2 502% di Eni dal precedente 2 181%.,normal
E,ENI SpA,20110926,ENI restarts production at Abu-Attifel field , MILAN  Sept 26 Italian oil and gas group ENI  said on Monday it had restarted production in 15 Libyan wells at the Abu-Attifel field  300 kilometres south of Benghazi.,normal
E,ENI SpA,20110926,Italian stocks - Factors to watch on Sept 26 , MILAN  Sept 26 The following factors could affect Italian markets on Monday.,normal
ETR,Entergy Corporation,20110926,RPT-NY can replace Indian Point reactors-Governor Cuomo , * Indian Point reactor licenses expire in 2013 and 2015,topStory
