ACIW,ACI Worldwide Inc,20110915,UPDATE 4-Fundtech drops S1 for 'superior' PE offer , * GTCR's $23.33/shr cash offer at 33 pct premium to Fundtech Wed close,topStory
AMX,America Movil SAB de CV,20110915,Mexico agency  mulling $1 bln Slim fine  gets new member , Sept 15 Mexico President Felipe Calderon on Thursday appointed one of his advisers to join the nation's competition commission as the panel weighs a $1 billion fine against billionaire Carlos Slim.,topStory
AIG,American International Group Inc,20110915,Morgan Stanley Chairman Mack to retire at year-end ,Morgan Stanley Chairman John Mack  whose sharp elbows and aggressive cost-cutting tactics earned him the nickname "Mack The Knife " will step down at the end of the year  fully handing the reins to Chief Executive James Gorman.,topStory
AIG,American International Group Inc,20110915,SEC says no probes hurt by destroyed records ,WASHINGTON A past practice of destroying certain pre-investigative materials has not harmed any current or future investigations by the Securities and Exchange Commission  the U.S. agency's enforcement chief said on Wednesday.,normal
AEUA,Anadarko Petroleum Corporation,20110915,UPDATE 1-US shale oil could soar  but care needed-report , * But regulations could restrict production to 600 000 bpd,topStory
APC,Anadarko Petroleum Corporation,20110915,UPDATE 1-US shale oil could soar  but care needed-report , * But regulations could restrict production to 600 000 bpd,topStory
APA,Apache Corporation,20110915,U.S. Cash Crude - Grades rise and arb gaps open , NEW YORK  Sept 15 U.S. cash crudes sped higher on Thursday in line with a widening transatlantic arbitrage as good economic news from Europe pushed expiring Brent higher more quickly than West Texas Intermediate.,topStory
APA,Apache Corporation,20110915,FACTBOX-Encana's moves to weather weak gas prices , Sept 15 Encana Corp  has struck several deals in the past two years  many designed to help Canada's largest gas producer maintain production growth and keep debt in check while gas prices languish. [ID:nS1E78C1RT],normal
APA,Apache Corporation,20110915,U.S. Cash Crude - Grades jump as transatlantic spread grows , NEW YORK  Sept 15 U.S. cash crudes jumped higher on Thursday in line with a widening transatlantic arbitrage as good economic news from Europe pushed expiring Brent higher more quickly than West Texas Intermediate.,normal
APA,Apache Corporation,20110915,U.S. Cash Crude - Grades jump as transatlantic spread grows , NEW YORK  Sept 15 U.S. cash crudes jumped higher on Thursday in line with a widening transatlantic arbitrage as good economic news from Europe pushed expiring Brent higher more quickly than West Texas Intermediate.,normal
AZN,Astrazeneca PLC,20110915,115 US kids  teens died from flu last season-CDC , * Nearly half of those who died had been otherwise healthy,topStory
AZN,Astrazeneca PLC,20110915,115 U.S. children  teens died from flu last season: CDC ,Some 115 U.S. children and teens died from influenza last flu season  and many of those deaths were of children who had not gotten an annual flu shot  U.S. health officials said on Thursday.,normal
T,AT&T Inc,20110915,Fifteen lawmakers ask Obama to OK AT&T merger ,Fifteen Democratic lawmakers asked the Obama administration on Thursday to approve AT&T Inc's  proposed purchase of T-Mobile USA.,topStory
T,AT&T Inc,20110915,Fifteen lawmakers ask Obama to OK AT&T merger ,Fifteen Democratic lawmakers asked the Obama administration on Thursday to approve AT&T Inc's proposed purchase of T-Mobile USA.,normal
T,AT&T Inc,20110915,Fifteen U.S. lawmakers ask Obama to OK AT&T merger , * Lawmakers cite jobs as reason to seek merger's approval,normal
SAN,Banco Santander SA,20110915,Santander to shelve UK listing until 2013 - FT , LONDON  Sept 16 The planned listing of Santander's  UK operations on the London Stock Exchange is likely to be delayed until 2013 at the earliest  the Financial Times reported on Friday.,topStory
BAC,Bank of America Corporation,20110915,Insight: BofA cuts foretell downturn in branch banking ,To see why Bank of America Corp can cut 30 000 jobs from its consumer banking business  just stop by one of the 14 000 new automatic teller machines it has installed over the last three years.,topStory
BAC,Bank of America Corporation,20110915,UPDATE 1-INSIGHT-BofA cuts foretell downturn in branch banking , * BofA's acquisition spree creates layoff opportunities  (Adds detail on branch closures),normal
BAC,Bank of America Corporation,20110915,Euro zone progress extends Wall St gain ,NEW YORK Stocks rose for a fourth day on Thursday as coordinated central bank action calmed fears that Europe's financial sector was headed for a credit freeze due to the region's sovereign debt crisis. | Video ,normal
BAC,Bank of America Corporation,20110915,INSIGHT-BofA cuts foretell a downturn in branch banking , * BofA's acquisition spree creates layoff opportunities,normal
BAC,Bank of America Corporation,20110915,US STOCKS-Euro zone progress extends Wall St gain , * Central banks offer dollar liquidity to European lenders,normal
BAC,Bank of America Corporation,20110915,Fed's Tarullo questions benefits of big banks ,WASHINGTON A top Federal Reserve official on Thursday questioned the economic benefits of mega banks and other large financial companies.,normal
BAC,Bank of America Corporation,20110915,UPDATE 1-Fed's Tarullo questions benefits of big banks ,   * Tarullo says big-bank benefit needs to be studied more,normal
BAC,Bank of America Corporation,20110915,US STOCKS-Euro zone progress extends Wall St advance , * Central banks offer dollar liquidity to European lenders,normal
BAC,Bank of America Corporation,20110915,Morgan Stanley Chairman Mack to retire at year-end ,Morgan Stanley Chairman John Mack  whose sharp elbows and aggressive cost-cutting tactics earned him the nickname "Mack The Knife " will step down at the end of the year  fully handing the reins to Chief Executive James Gorman.,normal
BAC,Bank of America Corporation,20110915,Wells sues JPMorgan over 800 mortgage loans ,JPMorgan Chase & Co  was sued by Wells Fargo & Co   which seeks to force it to buy back more than 800 soured mortgage loans that it oversees as trustee.,normal
BK,Bank Of New York Mellon Corporation (The),20110915,Judge to solve puzzle over BoFA mortgage removal ,NEW YORK Bank of America Corp's $8.5 billion proposed mortgage-backed securities settlement is now in the hands of a New York federal judge. But it could end up back before state court in a legal tug-of-war over who should decide whether the pact passes muster.,topStory
BK,Bank Of New York Mellon Corporation (The),20110915,US judge to solve puzzle of BoFA mortgage removal , * Proposed $8.5 billion settlement on mortgages in hand,normal
BCS,Barclays PLC,20110915,ADR REPORT-Central banks plan boosts ADR's , NEW YORK  Sept 15 U.S.-listed shares of foreign companies rose on Thursday after a plan was offered by global central banks to reintroduce dollar liquidity into the strained European banking system.,topStory
BCS,Barclays PLC,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,normal
BCS,Barclays PLC,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
BCS,Barclays PLC,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
BKS,Barnes & Noble Inc,20110915,Borders assets raise $15.8 million at auction ,An auction of various pieces of intellectual property of bankrupt bookseller Borders Group Inc on Thursday raised $15.8 million  according to Hilco  which helped with the auction.,topStory
BKS,Barnes & Noble Inc,20110915,UPDATE 1-Borders assets raise $15.8 mln at auction , Sept 15 An auction of various pieces of intellectual property of bankrupt bookseller Borders Group Inc  on Thursday raised $15.8 million  according to Hilco  which helped with the auction.,normal
BHP,BHP Billiton Limited,20110915,Rare earth prices to stay high as China extends crackdown ,BEIJING Excess exports from China's rare earth industry kept prices artificially low for years  and it was now "unrealistic" to expect them to fall back to previous levels as Beijing reins in the sector  a senior industry official said on Thursday.,topStory
BHP,BHP Billiton Limited,20110915,Rare earth prices to stay high as China extends crackdown -official , BEIJING  Sept 15 Excess exports from China's rare earth industry kept prices artificially low for years  and it was now "unrealistic" to expect them to fall back to previous levels as Beijing reins in the sector  a senior industry official said on Thursday.,normal
BHP,BHP Billiton Limited,20110915,RPT-Indian firms eye huge mining investment in Afghanistan , KABUL  Sept 14 Despite increasing insecurity in Afghanistan and gun battles with Taliban rebels in the capital Kabul   Indian firms are bidding billions of dollars for a contract to mine iron ore in a central district of the country.,normal
BBL,BHP Billiton plc,20110915,Rare earth prices to stay high as China extends crackdown ,BEIJING Excess exports from China's rare earth industry kept prices artificially low for years  and it was now "unrealistic" to expect them to fall back to previous levels as Beijing reins in the sector  a senior industry official said on Thursday.,topStory
BBL,BHP Billiton plc,20110915,Rare earth prices to stay high as China extends crackdown -official , BEIJING  Sept 15 Excess exports from China's rare earth industry kept prices artificially low for years  and it was now "unrealistic" to expect them to fall back to previous levels as Beijing reins in the sector  a senior industry official said on Thursday.,normal
BBL,BHP Billiton plc,20110915,RPT-Indian firms eye huge mining investment in Afghanistan , KABUL  Sept 14 Despite increasing insecurity in Afghanistan and gun battles with Taliban rebels in the capital Kabul   Indian firms are bidding billions of dollars for a contract to mine iron ore in a central district of the country.,normal
BLK,BlackRock Inc,20110915,Judge to solve puzzle over BoFA mortgage removal ,NEW YORK Bank of America Corp's $8.5 billion proposed mortgage-backed securities settlement is now in the hands of a New York federal judge. But it could end up back before state court in a legal tug-of-war over who should decide whether the pact passes muster.,topStory
BLK,BlackRock Inc,20110915,US judge to solve puzzle of BoFA mortgage removal , * Proposed $8.5 billion settlement on mortgages in hand,normal
BLK,BlackRock Inc,20110915,MOVES-Jefferies  BlackRock  JP Morgan , Sept 15 The following financial service industry appointments were announced on Thursday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
BA,Boeing Company (The),20110915,Airlines say pilot fatigue rule would cost jobs ,WASHINGTON Big U.S. airlines told the Obama administration on Thursday complying with a regulation in the works to combat pilot fatigue would cost $2 billion a year and over time cut 27 000 jobs directly tied to the industry.,topStory
BA,Boeing Company (The),20110915,US airlines say pilot fatigue rule would cost jobs , * Airlines say FAA regulation would cost up to 27 000 jobs,normal
BA,Boeing Company (The),20110915,House sides with Boeing on labor vote ,WASHINGTON The House of Representatives  stepping into a labor dispute that has become a political issue  approved legislation on Thursday to limit enforcement powers of a federal labor board in its complaint against Boeing Co.,normal
BA,Boeing Company (The),20110915,UPDATE-1 U.S. House sides with Boeing on labor vote , * Organized labor versus business interests  (Adds Boeing  Boehner  background),normal
BA,Boeing Company (The),20110915,Fed's Tarullo questions benefits of big banks ,WASHINGTON A top Federal Reserve official on Thursday questioned the economic benefits of mega banks and other large financial companies.,normal
BA,Boeing Company (The),20110915,UPDATE 1-Fed's Tarullo questions benefits of big banks ,   * Tarullo says big-bank benefit needs to be studied more,normal
BA,Boeing Company (The),20110915,Air France-KLM splits Airbus  Boeing order: report ,PARIS Franco-Dutch airline Air France-KLM is equally dividing its firm orders of long-haul aircraft between U.S. manufacturer Boeing  and Europe's Airbus   according to French daily Les Echos.,normal
BA,Boeing Company (The),20110915,RPT-Air France-KLM splits Airbus  Boeing order -report , PARIS  Sept 15 Franco-Dutch airline Air France-KLM is equally dividing its firm orders of long-haul aircraft between U.S. manufacturer Boeing  and Europe's Airbus   according to French daily Les Echos.,normal
BA,Boeing Company (The),20110915,FACTBOX-Defense industry united as debt panel weighs cuts , Sept 15 U.S. military contractors are united in their push to stem additional cuts in defense spending that could come out of a congressional "super committee" charged with finding ways to lower the deficit.,normal
BA,Boeing Company (The),20110915,Bombardier C-Series sales target at risk: analyst ,An uncertain global economy and a deep sense of caution among aircraft buyers may result in Bombardier Inc  missing sales targets for its new C-Series regional jet  an analyst said on Thursday.,normal
BP,BP plc,20110915,UPDATE 1-Brazil denies El Paso oil exploration license , * Brazil says El Paso has not reduced eco dangers enough,topStory
BP,BP plc,20110915,U.S. Cash Crude - Grades rise and arb gaps open , NEW YORK  Sept 15 U.S. cash crudes sped higher on Thursday in line with a widening transatlantic arbitrage as good economic news from Europe pushed expiring Brent higher more quickly than West Texas Intermediate.,normal
BP,BP plc,20110915,L.A. gasoline diffs rise 6.5 cents on BP work - trade , Sept 15 Wholesale gasoline differentials climbed 6.5 cents on Thursday in the Los Angeles market as BP Plc's  265 000-barrels-per-day Carson  California refinery performed maintenance  traders said.,normal
BP,BP plc,20110915,BP Carson refinery performing maintenance - sources , Sept 15 BP Plc's  265 000-barrels-per-day Los Angeles-area refinery in Carson  California was performing maintenance on Thursday  sources familiar with refinery operations said.,normal
BP,BP plc,20110915,U.S. Cash Crude - Grades jump as transatlantic spread grows , NEW YORK  Sept 15 U.S. cash crudes jumped higher on Thursday in line with a widening transatlantic arbitrage as good economic news from Europe pushed expiring Brent higher more quickly than West Texas Intermediate.,normal
BP,BP plc,20110915,U.S. Cash Crude - Grades jump as transatlantic spread grows , NEW YORK  Sept 15 U.S. cash crudes jumped higher on Thursday in line with a widening transatlantic arbitrage as good economic news from Europe pushed expiring Brent higher more quickly than West Texas Intermediate.,normal
BP,BP plc,20110915,Russia's TNK-BP announces 2012 Urals crude tender -traders , Sept 15 BP's joint venture in Russia  TNK-BP has announced a 2012 Urals crude tender for shipment from Novorossiisk and Primorsk  traders told Reuters on Thursday.,normal
BP,BP plc,20110915,PRESS DIGEST - British business - Sept 15 , Colfax has snubbed a call by City investors in Britain to consider listing in London in order to smooth its 1.5 billion pound bid for Charter .,normal
BVN,Buenaventura Mining Company Inc,20110915,UPDATE 1-Newmont to double Peru gold production by 2017 ,  * Newmont  Buenaventura building Peru's most expensive mine   * Minas Conga to start producing gold in 2014   (Adds quote  background),topStory
CNQ,Canadian Natural Resources Limited,20110915,CANADA STOCKS-TSX rallies on central banks' EU move , * Gold issues drag materials down 1.3 pct  (Updates with details  commentary),topStory
COF,Capital One Financial Corporation,20110915,Fed's Tarullo questions benefits of big banks ,WASHINGTON A top Federal Reserve official on Thursday questioned the economic benefits of mega banks and other large financial companies.,topStory
COF,Capital One Financial Corporation,20110915,UPDATE 1-Fed's Tarullo questions benefits of big banks ,   * Tarullo says big-bank benefit needs to be studied more,normal
COF,Capital One Financial Corporation,20110915,Fed's Tarullo questions benefits of big banks , WASHINGTON  Sept 15 A top Federal Reserve official on Thursday questioned the economic benefits of mega banks and other large financial companies.,normal
COF,Capital One Financial Corporation,20110915,TABLE-Delinquencies continue to fall at most major US card cos , Sept 15 Credit card charge-offs and delinquency rates continued their decline at most major U.S. lenders in August  signalling American consumers have been able to keep up with their bill payments.,normal
CAT,Caterpillar Inc,20110915,Raymond James hires $3.6 mln adviser team with Caterpillar focus , NEW YORK  Sept 15 Raymond James & Associates has recruited a $3.6-million adviser team to start a new branch office in the Midwest.,topStory
CBS,CBS Corporation,20110915,Hollywood rolls out red carpet for Cowell's "X Factor" ,LOS ANGELES There aren't many reality TV shows that stage their own world premiere.,topStory
CBS,CBS Corporation,20110915,Hollywood rolls out red carpet for Cowell's "X Factor" , * "X Factor" gets flashy premiere fitting for splashy show,normal
CVE,Cenovus Energy Inc,20110915,FACTBOX-Encana's moves to weather weak gas prices , Sept 15 Encana Corp  has struck several deals in the past two years  many designed to help Canada's largest gas producer maintain production growth and keep debt in check while gas prices languish. [ID:nS1E78C1RT],topStory
CVE,Cenovus Energy Inc,20110915,CANADA STOCKS-TSX rallies on central banks' EU move , * Gold issues drag materials down 1.3 pct  (Updates with details  commentary),normal
CHK,Chesapeake Energy Corporation,20110915,UPDATE 1-US shale oil could soar  but care needed-report , * But regulations could restrict production to 600 000 bpd,topStory
CVX,Chevron Corporation,20110915,RPT-Chevron restores partial production in Main Pass Area ,   Sept 15 Chevron Corp  said between 6 000 and 7 000 barrels per day (bpd) in crude oil production had been restored by Thursday in the Main Pass Area of the Gulf of Mexico  which had been shut by a pipeline leak.,topStory
CVX,Chevron Corporation,20110915,CORRECTED-(OFFICIAL)-Chevron to invest $3 bln in Indonesia in 2011 , JAKARTA  Sept 15 U.S. energy major Chevron Corp  will invest at least $3 billion in Indonesia's oil and gas sector in 2011  Chevron Indonesia vice president Yanto Sianipar said on Thursday.,normal
LFC,China Life Insurance Company Limited,20110915,Prudential Financial's China insurance JV to start in Q4 2012 , SHANGHAI  Sept 15 Prudential Financial  expects its China life insurance joint venture with a unit of Chinese conglomerate Fosun Group to begin operations in the fourth quarter of 2012  the U.S. financial group said on Thursday.,topStory
SNP,China Petroleum & Chemical Corporation,20110915,BG tempts Chinese oil groups -- FT , LONDON  Sept 16 Chinese oil companies have been circling BG Group Plc's  fast-growing Brazilian business  the Financial Times reported on Friday.,topStory
ZNH,China Southern Airlines Company Limited,20110915,Airbus sees China  Asia as recession buffer ,DALIAN  China Demand for new airplanes from China and Asia will provide Airbus with a buffer for growth in the event of a global recession resulting from Europe's debt crisis  the company's chief operating office said on Thursday.,topStory
C,Citigroup Inc,20110915,UPDATE1-FINRA bars former broker who sent fake emails , (Adds comment from former broker Finkin in seventh paragraph.),topStory
C,Citigroup Inc,20110915,Morgan Stanley Chairman Mack to retire at year-end ,Morgan Stanley Chairman John Mack  whose sharp elbows and aggressive cost-cutting tactics earned him the nickname "Mack The Knife " will step down at the end of the year  fully handing the reins to Chief Executive James Gorman.,normal
C,Citigroup Inc,20110915,FINRA bars former broker who sent fake emails , Sept 15 A former broker accused of sending fake emails about a customer's loan application has been barred from the securities industry.,normal
C,Citigroup Inc,20110915,TABLE-Delinquencies continue to fall at most major US card cos , Sept 15 Credit card charge-offs and delinquency rates continued their decline at most major U.S. lenders in August  signalling American consumers have been able to keep up with their bill payments.,normal
C,Citigroup Inc,20110915,SEC widens CDO probe  negotiating settlements: report ,The U.S. securities regulator is widening its probe into mortgage-bond deals that ushered in the financial crisis  and is pushing for a settlement of more than $200 million with Citigroup  the Wall Street Journal said  citing people familiar with the matter.,normal
C,Citigroup Inc,20110915,PRESS DIGEST - Wall Street Journal - Sept 15 , Sept 15 The following were the top stories in The Wall Street Journal on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
C,Citigroup Inc,20110915,UPDATE 1-SEC widens CDO probe  negotiating settlements - WSJ , Sept 14 The U.S. securities regulator is widening its probe into mortgage-bond deals that ushered in the financial crisis  and is pushing for a settlement of more than $200 million with Citigroup   the Wall Street Journal said  citing people familiar with the matter.,normal
C,Citigroup Inc,20110915,SEC widens CDO probe  negotiating settlements - WSJ , Sept 14 The U.S. securities regulator is widening its probe into mortgage-bond deals that ushered in the financial crisis  and is pushing for a settlement of more than $200 million with Citigroup   the Wall Street Journal said  citing people familiar with the matter.,normal
KOF,Coca Cola Femsa SAB de CV,20110915,DIARY - Mexico and Central America - to Sept 30 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. ___________________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST     PREV ------------------------------------------------------------------- SEP21 0800/1300  retail sales        m/m   Jul           +4.80 pct SEP22 0800/1300  aggregate demand    q/q   Q2           ,topStory
CDE,Coeur Mining Inc,20110915,UPDATE 1-Coeur's Kensington mine production at normal levels , ANCHORAGE  Alaska  Sept 15 Coeur d'Alene Mines  said on Thursday its Kensington gold mine in Alaska is operating at full capacity  despite a fatal accident at the underground mining operation last week. [ID:nS1E78D2DQ],topStory
CDE,Coeur Mining Inc,20110915,Coeur's Alaska mine ops still impacted by accident , ANCHORAGE  Alaska  Sept 14 A portion of Coeur d'Alene's  Kensington gold mine in Alaska has been shut in the aftermath of a fatal underground accident last week  a spokeswoman for the U.S. Mine Safety and Health Administration said Wednesday.,normal
CFX,Colfax Corporation,20110915,PRESS DIGEST - British business - Sept 15 , Colfax has snubbed a call by City investors in Britain to consider listing in London in order to smooth its 1.5 billion pound bid for Charter .,topStory
COP,ConocoPhillips,20110915,Transocean finds more work for four midwater rigs , * Midwater rigs account for nearly a quarter of revenue,topStory
COP,ConocoPhillips,20110915,Conoco shuts Trainer boiler for work -agency , May 15 ConocoPhillips' 185 000 barrel per day (bpd) Trainer  Pennsylvania  refinery shut a boiler on Monday for inspection and maintenance  the Pennsylvania Department of Environmental Protection said on Thursday.,normal
COP,ConocoPhillips,20110915,ConocoPhillips has not plugged all leaks -Chinese media , SHANGHAI  Sept 15 China's State Oceanic Administration (SOA) has found signs of unplugged leaks in Northern China's Bohai Bay and urged U.S. energy giant ConocoPhillips to step up its efforts to clean up the oil spill there  state media Xinhua News reported.,normal
COP,ConocoPhillips,20110915,Statoil says to invest 11 bln in Troll A , OSLO  Sept 15 Norwegian oil and gas firm Statoil  said on Thursday it and and its partners in the Troll licence will invest 11 billion Norwegian crowns ($1.93 billion) in two new compressors at the Troll A platform in the North Sea.,normal
ED,Consolidated Edison Inc,20110915,New York offshore wind group files for lease ,NEW YORK The companies working on the Long Island-New York City offshore wind farm  which could generate up to 700 megawatts (MW)  said on Thursday they had applied for a lease to build the facility in federal waters.,topStory
ED,Consolidated Edison Inc,20110915,Factbox: Proposed U.S. offshore wind power projects ,NEW YORK The companies working on the Long Island-New,normal
ED,Consolidated Edison Inc,20110915,UPDATE 2-Long Island-NYC offshore wind group files for lease , * Project to create up to $2.7 bln in economic activity  (Adds link to factbox  other details),normal
ED,Consolidated Edison Inc,20110915,FACTBOX-Proposed U.S. offshore wind power projects , NEW YORK  Sept 15 The companies working on the Long Island-New York City offshore wind farm  which could generate up to 700 megawatts (MW)  said on Thursday they had applied for a lease to build the facility in federal waters.,normal
ED,Consolidated Edison Inc,20110915,Long Island-NYC offshore wind group files for lease , NEW YORK  Sept 15 The companies working on the Long Island-New York City offshore wind farm said Thursday they applied for a lease from federal regulators.,normal
CMI,Cummins Inc,20110915,UPS expects record profit  "slow-growth economy" ,LOUISVILLE  Kentucky United Parcel Service Inc  Chief Executive Scott Davis said the world's largest package delivery company is on track for record results this year in the face of the economy's "bumpy ride" and expectations for sluggish economic growth.,topStory
CMI,Cummins Inc,20110915,UPDATE 4-UPS expects record profit  'slow-growth economy' , * Raises 2011 share buyback view to $2.7 bln from $2 bln,normal
CMI,Cummins Inc,20110915,GE's Immelt sees "decent" U.S. economic growth ,NEW YORK General Electric Co  Chief Executive Jeff Immelt said he sees "good  decent economic growth everywhere " including the United States  and is not worried about the economy slipping back into recession.,normal
CMI,Cummins Inc,20110915,UPDATE 3-GE's Immelt sees 'decent' U.S. economic growth , * To invest $1 billion in cancer R&D  (Adds UPS  Cummins comments on economy  byline  updates shares),normal
DRI,Darden Restaurants Inc,20110915,Olive Garden  Red Lobster slimming kids' menus ,Olive Garden and Red Lobster parent Darden Restaurants Inc said on Thursday it would reduce calories and sodium in its meals for children  amid growing calls for healthier and more nutritious restaurant fare.,topStory
DRI,Darden Restaurants Inc,20110915,UPDATE 1-Olive Garden  Red Lobster slimming kids' menus , * Move comes amid calls to help reduce childhood obesity,normal
DAL,Delta Air Lines Inc,20110915,Bombardier C-Series sales target at risk: analyst ,An uncertain global economy and a deep sense of caution among aircraft buyers may result in Bombardier Inc  missing sales targets for its new C-Series regional jet  an analyst said on Thursday.,topStory
DAL,Delta Air Lines Inc,20110915,UPDATE 1-Bombardier C-Series sales target at risk - analyst , * C-Series engine "flawless" in first test flight  (Adds details on engine test flight  updates share price; in U.S. dollars unless noted),normal
DAL,Delta Air Lines Inc,20110915,Bombardier C-Series sales target at risk - analyst , Sept 15 An uncertain global economy and a deep sense of caution among aircraft buyers may result in Bombardier Inc  missing sales targets for its new C-Series regional jet  an analyst said on Thursday.,normal
DB,Deutsche Bank AG,20110915,Exclusive: Blackstone plots Broadgate stake sale ,LONDON Blackstone Group  is expected to sell its 50 percent equity stake in London's Broadgate development for up to 600 million pounds ($944 million) in 2012  possibly reaping an eight-fold return on investment  two sources said.,topStory
DB,Deutsche Bank AG,20110915,Central banks expand dollar operations ,FRANKFURT Major central banks around the world will cooperate to offer three-month U.S. dollar loans to commercial banks in order to prevent money markets from freezing up in the wake of Europe's sovereign debt crisis.,normal
DB,Deutsche Bank AG,20110915,ADR REPORT-Central banks plan boosts ADR's , NEW YORK  Sept 15 U.S.-listed shares of foreign companies rose on Thursday after a plan was offered by global central banks to reintroduce dollar liquidity into the strained European banking system.,normal
DB,Deutsche Bank AG,20110915,UPDATE 3-Central banks expand dlr operations  bank shares jump , * ECB  others to conduct operations in October-December,normal
DB,Deutsche Bank AG,20110915,UPDATE 2-Central banks expand dlr operations  bank shares jump , * ECB  others to conduct operations in October-December,normal
DB,Deutsche Bank AG,20110915,Timeline: UBS investment bank mishaps and upheavals ,FRANKFURT Swiss lender UBS on Thursday said a trader had lost around $2 billion from unauthorized trades  warning it might post a loss in the third quarter as it struggles to rebuild credibility after years of crises.,normal
DB,Deutsche Bank AG,20110915,TIMELINE-UBS investment bank mishaps and upheavals , FRANKFURT  Sept 15 Swiss lender UBS on Thursday said a trader had lost around $2 billion from unauthorised trades  warning it might post a loss in the third quarter as it struggles to rebuild credibility after years of crises.,normal
DB,Deutsche Bank AG,20110915,Germania  grandi banche non ancora toccate da crisi debito- Fitch , FRANCOFORTE  15 settembre La grave crisi debitoria della zona euro non ha finora esercitato alcun impatto negativo sulla posizione di capitale delle principali banche tedesche.,normal
DB,Deutsche Bank AG,20110915,BoAML swings axe in lev fin and deal advisory -sources , LONDON  Sept 15 (IFR) - Bank of America Merrill Lynch is cutting jobs in its European leveraged finance team  including a senior position  as it takes the axe to debt capital markets and deal advisory  market sources said.,normal
DB,Deutsche Bank AG,20110915,MOVES-Former Deutsche Bank Islamic finance head joins UBS , DUBAI  Sept 15 Hussein Hassan  Deutsche Bank's  former head of Islamic finance and structuring in the Middle East and North Africa Global Markets  has left the firm to join competitor UBS in Dubai.,normal
DIN,DineEquity Inc,20110915,Olive Garden  Red Lobster slimming kids' menus ,Olive Garden and Red Lobster parent Darden Restaurants Inc said on Thursday it would reduce calories and sodium in its meals for children  amid growing calls for healthier and more nutritious restaurant fare.,topStory
DIN,DineEquity Inc,20110915,UPDATE 1-Olive Garden  Red Lobster slimming kids' menus , * Move comes amid calls to help reduce childhood obesity,normal
DFS,Discover Financial Services,20110915,TABLE-Delinquencies continue to fall at most major US card cos , Sept 15 Credit card charge-offs and delinquency rates continued their decline at most major U.S. lenders in August  signalling American consumers have been able to keep up with their bill payments.,topStory
DUK,Duke Energy Corporation,20110915,Factbox: Proposed U.S. offshore wind power projects ,NEW YORK The companies working on the Long Island-New,topStory
DUK,Duke Energy Corporation,20110915,FACTBOX-Proposed U.S. offshore wind power projects , NEW YORK  Sept 15 The companies working on the Long Island-New York City offshore wind farm  which could generate up to 700 megawatts (MW)  said on Thursday they had applied for a lease to build the facility in federal waters.,normal
DUKH,Duke Energy Corporation,20110915,Factbox: Proposed U.S. offshore wind power projects ,NEW YORK The companies working on the Long Island-New,topStory
DUKH,Duke Energy Corporation,20110915,FACTBOX-Proposed U.S. offshore wind power projects , NEW YORK  Sept 15 The companies working on the Long Island-New York City offshore wind farm  which could generate up to 700 megawatts (MW)  said on Thursday they had applied for a lease to build the facility in federal waters.,normal
ECA,Encana Corporation,20110915,FACTBOX-Encana's moves to weather weak gas prices , Sept 15 Encana Corp  has struck several deals in the past two years  many designed to help Canada's largest gas producer maintain production growth and keep debt in check while gas prices languish. [ID:nS1E78C1RT],topStory
E,ENI SpA,20110915,Transocean finds more work for four midwater rigs , * Midwater rigs account for nearly a quarter of revenue,topStory
E,ENI SpA,20110915,Libyan oil refinery attack "isolated incident": NOC ,BENGHAZI  Libya An attack on a Libyan oil refinery this week by militia loyal to former leader Muammar Gaddafi was an isolated incident and steps are being taken to protect oil infrastructure  the head of the National Oil Corp. (NOC) has said.,normal
E,ENI SpA,20110915,UPDATE 1-GDF Suez talks to Eni on N.Sea gas stake sale-CEO , * GDF Suez eyeing water  gas deals in Libya   (Adds comments  background),normal
E,ENI SpA,20110915,UPDATE 1-Eni  Inpex offer first Kitan crude in Asia , SINGAPORE  Sept 15 Italy's Eni and its exploration partner  Japan's Inpex Corp   have started marketing crude from their new Kitan oilfield in the Timor Sea  trade sources said on Thursday.,normal
E,ENI SpA,20110915,Eni  Inpex offer first Kitan crude from Timor Sea-trade , SINGAPORE  Sept 15 Italy's Eni and its exploration partner  Japan's Inpex Corp   have started marketing crude from their new Kitan oilfield in the Timor Sea  trade sources said on Thursday.,normal
E,ENI SpA,20110915,GDF Suez talking to Eni to sell N.Sea gas stake-CEO , LONDON  Sept 15 French utility GDF Suez  is in talks with Italy's Eni to sell its stake in North Sea gas assets  CEO Gerard Mestrallet said on Thursday.,normal
