ACOR,Acorda Therapeutics Inc,20110725,UPDATE 1-Biogen wins conditional approval for MS drug in EU , * Study to evaluate safety  efficacy over the long term,topStory
NFLX,Netflix Inc,20110725,UPDATE 2-Options investors hope for more Netflix gains , * Growth  streaming outlook in focus (Adds share price),normal
NFLX,Netflix Inc,20110725,CORRECTED - Options investors hope for more Netflix gains , * Growth  streaming outlook in focus (Corrects to clarify the author of the quote),normal
NWSA,News Corporation,20110725,Saudi billionaire backs News Corp structure-FT , LONDON  July 25 Saudi Prince Alwaleed bin Tala  a major News Corp  shareholder  rebuffed calls to change the scandal-hit company's dual-class structure or leadership  in an interview in the Financial Times's Tuesday edition.,topStory
NWSA,News Corporation,20110725,Saudi billionaire backs News Corp structure: report ,LONDON News Corp's major shareholder Prince Alwaleed bin Tala has rebuffed calls to change the company's dual-class structure or leadership  the Financial Times reported in its Tuesday edition. | Video ,normal
NWSA,News Corporation,20110725,RPT-UPDATE 1-News Corp's UK political meetings to be documented , * Police studying claim James Murdoch gave "mistaken" testimony,normal
NWSA,News Corporation,20110725,UPDATE 1-News Corp's UK political meetings to be documented , * Police studying claim James Murdoch gave "mistaken" testimony,normal
NWSA,News Corporation,20110725,PRESS DIGEST - Wall Street Journal - July 25 , July 25The following were the top stories in The Wall Street Journal on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
NWSA,News Corporation,20110725,Osaka bourse to list Dow Jones futures: report ,TOKYO The Osaka Securities Exchange  plans to list Dow Jones Industrial Average Futures as apart on an alliance with the Chicago Mercantile Exchange  the Nikkei business daily reported on Monday.,normal
NWSA,News Corporation,20110725,Osaka bourse to list Dow Jones futures -Nikkei , TOKYO  July 25 The Osaka Securities Exchange  plans to list Dow Jones Industrial Average Futures as apart on an alliance with the Chicago Mercantile Exchange  the Nikkei business daily reported on Monday.,normal
NWSA,News Corporation,20110725,Who is paying News Corp's legal bills? ,NEW YORK With executives from News Corp and some of its subsidiaries heading for the exits  legal bills from the phone-hacking scandal rocking the company are no doubt stacking up. | Video ,normal
NWSA,News Corporation,20110725,Dow Jones panel says found no U.S. wrongdoing ,NEW YORK The Dow Jones Special Committee  responding to a letter from two U.S. senators  said it had found at News Corp's Wall Street Journal and Dow Jones Newswires no sign of journalistic wrongdoing like the phone-hacking scandal at its British newspapers. | Video ,normal
NWSA,News Corporation,20110725,Quick guide to the News Corp hacking scandal ,LONDON A phone-hacking scandal has rocked Rupert Murdoch's business empire  British politicians and police  and forced News Corp to abandon a bid to buy the whole of broadcaster BSkyB. | Video ,normal
NUVA,NuVasive Inc,20110725,UPDATE 1-NuVasive cuts FY profit view  shares fall , July 25 NuVasive Inc's quarterly results edged past market expectations but the medical devices maker cut its full-year earnings outlook hurt by its new notes offering.,topStory
QCOM,QUALCOMM Incorporated,20110725,Broadcom results beat Street  stock leaps ,SAN FRANCISCO Wireless chipmaker Broadcom  gave a rosier-than-expected outlook for its revenues  dispelling worries about a tepid economy and high inventories and giving a hefty boost to its shares.,topStory
QCOM,QUALCOMM Incorporated,20110725,UPDATE 3-Broadcom results beat Street  stock leaps , * Stock jumps after hours  (Rewrites first paragraph  adds quote  details),normal
QCOM,QUALCOMM Incorporated,20110725,Qualcomm buys some GestureTek assets ,Wireless chip maker Qualcomm Inc  bought some assets of GestureTek  a developer of gesture recognition technology  to include the new technology in its current and next-generation Snapdragon processors.,normal
QCOM,QUALCOMM Incorporated,20110725,UPDATE 1-Qualcomm buys some GestureTek assets , * Says to include gesture technology in Snapdragon processors,normal
GOLD,Randgold Resources Limited,20110725,Financials lead FTSE down on U.S. debt concerns , LONDON  July 25Britain's top share index was lower on Monday  with banks hit by fears of a debt default by the United States  as political stalemate prevents the government there from raising a statutory cap on borrowing.,topStory
GOLD,Randgold Resources Limited,20110725,Gold mining shares are better bets than gold - Franklin Templeton , SINGAPORE  July 25 Investors who are bullish on gold should consider buying shares of gold miners to gain the additional returns from greater efficiency in extracting the metal as well as the discovery of new mines  a Franklin Templeton fund manager said on Monday.,normal
RYAAY,Ryanair Holdings plc,20110725,Ryanair profit hit by fuel price jump ,DUBLIN Ryanair  said higher summer sales would keep it on track to meet earnings targets this year after soaring fuel costs squeezed profit in the three months to June.,topStory
RYAAY,Ryanair Holdings plc,20110725,Ryanair profit hit by fuel price jump ,DUBLIN Ryanair  said higher summer sales would keep it on track to meet earnings targets this year after soaring fuel costs squeezed profit in the three months to June.,normal
RYAAY,Ryanair Holdings plc,20110725,UPDATE 3-Ryanair profit hit by fuel price jump , * Strong summer sales will enable it to hit year profit target   (Adds details),normal
RYAAY,Ryanair Holdings plc,20110725,UPDATE 1-Ryanair Q1 profits below expectations on high fuel , DUBLIN  July 25 Ryanair   Europe's largest low-cost airline  posted quarterly profits below market expectations on Monday due to higher fuel and operating costs.,normal
SLAB,Silicon Laboratories Inc,20110725,Broadcom results beat Street  stock leaps ,SAN FRANCISCO Wireless chipmaker Broadcom  gave a rosier-than-expected outlook for its revenues  dispelling worries about a tepid economy and high inventories and giving a hefty boost to its shares.,topStory
SLAB,Silicon Laboratories Inc,20110725,UPDATE 3-Broadcom results beat Street  stock leaps , * Stock jumps after hours  (Rewrites first paragraph  adds quote  details),normal
SLAB,Silicon Laboratories Inc,20110725,UPDATE 2-Silicon Labs forecasts weak Q3  shares fall , * Q2 rev $126.2 mln vs est $127.4 mln   (Adds outlook  background  analyst comments in paragraphs 1-4  updates share),normal
SLAB,Silicon Laboratories Inc,20110725,UPDATE 1-Silicon Labs Q2 beats Wall Street view , July 25 Silicon Laboratories   which manufactures mixed-signal integrated circuits and other analog chips  posted better-than-expected second-quarter earnings  helped by growth in its wireless transmitter products.,normal
SBUX,Starbucks Corporation,20110725,Starbucks union bosses in Chile on hunger strike , SANTIAGO/LOS ANGELES  July 25 Three leaders of a Starbucks Corp  union in Chile have begun a hunger strike as their members push on with the first labor stoppage at company-operated Starbucks cafes  officials said on Monday.,topStory
SBUX,Starbucks Corporation,20110725,Dunkin' Brands may raise more than $400 million in IPO ,LOS ANGELES Dunkin' Brands Group this week plans to raise up to $400.5 million in an initial public offering that would help fuel the U.S. expansion of its Dunkin' Donuts coffee brand.,normal
SBUX,Starbucks Corporation,20110725,Dunkin' Brands may raise more than $400 mln in IPO , LOS ANGELES  July 25 Dunkin' Brands Group this week plans to raise up to $400.5 million in an initial public offering that would help fuel the U.S. expansion of its Dunkin' Donuts coffee brand.,normal
AMTD,TD Ameritrade Holding Corporation,20110725,TD Ameritrade to discuss pursuit of E*Trade: report ,TD Ameritrade Holding's  directors plan to discuss at a meeting Tuesday the possibility of trying to buy rival online broker E*Trade Financial Corp   the Wall Street Journal said  citing people familiar with the matter.,topStory
AMTD,TD Ameritrade Holding Corporation,20110725,PRESS DIGEST - Wall Street Journal - July 25 , July 25The following were the top stories in The Wall Street Journal on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
AMTD,TD Ameritrade Holding Corporation,20110725,TD Ameritrade to discuss pursuit of E*Trade - WSJ , July 25 TD Ameritrade Holding's  directors plan to discuss at a meeting Tuesday the possibility of trying to buy rival online broker E*Trade Financial Corp    the Wall Street Journal said  citing people familiar with the matter.,normal
UCBI,United Community Banks Inc,20110725,US SMALL/MIDCAPS-Financials drop on lack of debt deal , NEW YORK  July 25 Small and mid-cap stocks were lower on Monday  led down by financials as the lack of a deal to raise the U.S. debt ceiling drove fears over the prospect of a default.,topStory
UNFI,United Natural Foods Inc,20110725,UPDATE 1-United Natural inks distribution deal with Safeway , * Says deal to add 4 pct to FY12 rev   (Follows alerts),topStory
VOD,Vodafone Group Plc,20110725,PRESS DIGEST-New Zealand newspapers - July 26 , WELLINGTON  July 26 Following are some of the lead stories from New Zealand metropolitan newspapers on Tuesday.,topStory
WWD,Woodward Inc,20110725,UPDATE 1-Woodward Q3 results beat Street , * Q3 rev $438.5 mln vs est $420.8 mln   (Follows alerts),topStory
Z,Zillow Group Inc,20110725,Social networking may be in a bubble: Barron's ,NEW YORK The social-network industry is growing quickly but the stock values of many publicly traded companies in the sector may be increasing faster and face being overvalued  financial magazine Barron's wrote.,topStory
AAN,Aaron&#39;s  Inc,20110725,UPDATE 2-Rent-A-Centre  Aaron's see lacklustre Q3 , * Shares of Rent-A-Center down 8 pct   (Follows alerts),topStory
ABT,Abbott Laboratories,20110725,PREVIEW-Report could sway U.S. FDA device review process , WASHINGTON  July 25 The Institute of Medicine is poised to advise the U.S. drug regulator how it can refine its medical device approval process to get products to market quickly while protecting patients.,topStory
AGCO,AGCO Corporation,20110725,CNH Global Q2 blows past Wall Street ,Farm equipment maker CNH Global N.V.  posted market-topping results for the ninth straight quarter and raised revenue growth outlook for the year  helped by higher crop prices  sending its shares up 10 percent.,topStory
AGN,Allergan plc,20110725,UPDATE 1-Valeant gets regulatory OK for insomnia drug in Canada , July 25 Specialty drugmaker Valeant Pharmaceuticals International Inc  said Canadian health regulators approved its insomnia drug  Sublinox.,topStory
MO,Altria Group,20110725,Lorillard profit beats expectations ,CHICAGO Lorillard Inc  posted a higher-than-expected quarterly profit as the Newport cigarette maker's shipments outpaced those of larger competitors Altria Group Inc  and Reynolds American Inc .,topStory
MO,Altria Group,20110725,UPDATE 2-Lorillard profit beats expectations , * Shares down 4.6 percent    (Adds Altria and Reynolds results  Lorillard market share  updated stock price  analyst quote),normal
AEP,American Electric Power Company Inc,20110725,Tax crusader sees slim chance of reform for now ,WASHINGTON When the last top-to-bottom overhaul of the U.S. tax code happened  almost miraculously  in 1986  Bob McIntyre helped usher it in.,topStory
AXP,American Express Company,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,topStory
AIG,American International Group Inc,20110725,AIG says workers compensation deal gets preliminary approval ,NEW YORK A court has given preliminary approval to a deal settling claims that American International Group Inc  under-reported its workers' compensation market share to get out of tax obligations.,topStory
AIG,American International Group Inc,20110725,AIG says workers comp deal gets prelim approval , NEW YORK  July 25 A court has given preliminary approval to a deal settling claims that American International Group Inc  under-reported its workers' compensation market share to get out of tax obligations.,normal
AEUA,Anadarko Petroleum Corporation,20110725,UPDATE 3-Anadarko posts profit above Street view  output up , * Shares edge up after earnings report  (Adds analyst comment  byline),topStory
AEUA,Anadarko Petroleum Corporation,20110725,US STOCKS-Wall St set for lower open on U.S. debt gridlock , * Futures down: S&P 10.9 pts  Dow 94 pts  Nasdaq 16.25 pts,normal
AEUA,Anadarko Petroleum Corporation,20110725,US STOCKS-Futures down on U.S. debt gridlock , * Futures down: S&P 10.1 pts  Dow 85 pts  Nasdaq 14 pts,normal
AEUA,Anadarko Petroleum Corporation,20110725,US STOCKS-Futures sharply lower on U.S. debt gridlock , * Futures down: S&P 9.6 pts  Dow 87 pts  Nasdaq 13 pts,normal
APC,Anadarko Petroleum Corporation,20110725,UPDATE 3-Anadarko posts profit above Street view  output up , * Shares edge up after earnings report  (Adds analyst comment  byline),topStory
APC,Anadarko Petroleum Corporation,20110725,US STOCKS-Wall St set for lower open on U.S. debt gridlock , * Futures down: S&P 10.9 pts  Dow 94 pts  Nasdaq 16.25 pts,normal
APC,Anadarko Petroleum Corporation,20110725,US STOCKS-Futures down on U.S. debt gridlock , * Futures down: S&P 10.1 pts  Dow 85 pts  Nasdaq 14 pts,normal
APC,Anadarko Petroleum Corporation,20110725,US STOCKS-Futures sharply lower on U.S. debt gridlock , * Futures down: S&P 9.6 pts  Dow 87 pts  Nasdaq 13 pts,normal
AU,AngloGold Ashanti Limited,20110725,UPDATE 4-S.Africa gold miners set to strike  following coal workers , * Above inflation wage deals hurting economy  analysts   (Recasts with gold miners joining strike),topStory
AU,AngloGold Ashanti Limited,20110725,UPDATE 1-First Uranium suspends operations at MWS facility , * Company says in "material" compliance  seeks injunction,normal
AU,AngloGold Ashanti Limited,20110725,S.Africa gold mine workers set to strike , JOHANNESBURG  July 25 South Africa's National Union of Mineworkers (NUM) said on Monday that wage talks with the country's big gold miners had broken down and it would give them a 48-hour strike notice on Tuesday.,normal
AU,AngloGold Ashanti Limited,20110725,S.Africa coal miners start massive strike , JOHANNESBURG  July 25 About 150 000 South African coal workers seeking 14 percent wage increases walked off the job on Monday in a strike that could dent exports and hurt power supplies in Africa's largest economy.,normal
BGS,B&G Foods Inc,20110725,BRIEF-Moody's corrects the rating for B&G Foods  Inc.'s revolving credit facility , Moody's corrects the rating for B&G Foods  Inc.'s revolving credit facility.,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20110725,Spanish stocks - Factors to watch on Monday , MADRID  July 25 The following Spanish stocks may be affected by newspaper reports and other factors on Monday. Reuters has not verified the newspaper reports and cannot vouch for their accuracy:,topStory
BBD,Banco Bradesco Sa,20110725,PREVIEW-Higher rates seen lifting Brazilian banks' profits , * Investors look for clues on asset quality  margin trends,topStory
BBDO,Banco Bradesco Sa,20110725,PREVIEW-Higher rates seen lifting Brazilian banks' profits , * Investors look for clues on asset quality  margin trends,topStory
BSBR,Banco Santander Brasil SA,20110725,PREVIEW-Higher rates seen lifting Brazilian banks' profits , * Investors look for clues on asset quality  margin trends,topStory
SAN,Banco Santander SA,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
SAN,Banco Santander SA,20110725,Spanish stocks - Factors to watch on Monday , MADRID  July 25 The following Spanish stocks may be affected by newspaper reports and other factors on Monday. Reuters has not verified the newspaper reports and cannot vouch for their accuracy:,normal
CIB,BanColombia SA,20110725,Factbox: ING selling LatAm ops to Colombia's GrupoSura ,Dutch Bancassurer ING will sell most of its Latin American operation to Colombia's GrupoSura  for around $3.7 billion in the largest ever acquisition abroad by a Colombian company.,topStory
CIB,BanColombia SA,20110725,FACTBOX-ING selling LatAm ops to Colombia's GrupoSura , July 25 Dutch Bancassurer ING will sell most of its Latin American operation to Colombia's GrupoSura  for around $3.7 billion in the largest ever acquisition abroad by a Colombian company. [ID:nLDE76O03R],normal
BCS,Barclays PLC,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
BCS,Barclays PLC,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
BCS,Barclays PLC,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
BCS,Barclays PLC,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
BCS,Barclays PLC,20110725,US STOCKS-Wall St falls on debt ceiling stalemate , * Indexes off: Dow 0.8 pct  S&P 0.7 pct  Nasdaq 0.6 pct,normal
BCS,Barclays PLC,20110725,US STOCKS-Wall St set for lower open on U.S. debt gridlock , * Futures down: S&P 10.9 pts  Dow 94 pts  Nasdaq 16.25 pts,normal
BCS,Barclays PLC,20110725,US STOCKS-Futures down on U.S. debt gridlock , * Futures down: S&P 10.1 pts  Dow 85 pts  Nasdaq 14 pts,normal
BCS,Barclays PLC,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
BCS,Barclays PLC,20110725,US STOCKS-Futures sharply lower on U.S. debt gridlock , * Futures down: S&P 9.6 pts  Dow 87 pts  Nasdaq 13 pts,normal
BCS,Barclays PLC,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
ABX,Barrick Gold Corporation,20110725,RPT-BAY STREET-Global fears overshadow soaring Canadian profits , (Repeats July 24 column to additional subscribers without changes),topStory
BBY,Best Buy Co Inc,20110725,UPDATE 3-TI forecasts modest third quarter , * Says seeing lukewarm production in computing  consumer,topStory
BHP,BHP Billiton Limited,20110725,Rio Tinto faces new labour talks after court ruling: papers , SYDNEY  July 26 Global miner Rio Tinto  lost a legal battle when a Federal Court ruled that a non-union collective agreement at its Pilbara iron ore operations was not valid  casting doubt over similar accords at rivals such as BHP Billiton   newspapers said.,topStory
BHP,BHP Billiton Limited,20110725,SAfrica coal strike seen hitting exports in 2-4 wks , * Strike seen dragging on amid fears could lead to power cuts,normal
BHP,BHP Billiton Limited,20110725,S.Africa striking unions to meet with coal miners for talks , JOHANNESBURG  July 25 South Africa's National Union of Minworkers (NUM) will meet with employers in the coal sector on Tuesday in a bid to end a strike which could hurt exports and supplies to power stations  a union official said on Monday.,normal
BHP,BHP Billiton Limited,20110725,Strike at Chile's Escondida drags into fourth day , * Chile mining industry hit by wave of strikes this year,normal
BHP,BHP Billiton Limited,20110725,BHP calls Escondida strike illegal  readies plan to ensure safety & integrity of operations , MELBOURNE  July 25 BHP Billiton   said on Monday the strike at its Escondida mine in Chile  the world's biggest copper mine  was illegal and it was putting in place a plan to secure its operations.,normal
BBL,BHP Billiton plc,20110725,Rio Tinto faces new labour talks after court ruling: papers , SYDNEY  July 26 Global miner Rio Tinto  lost a legal battle when a Federal Court ruled that a non-union collective agreement at its Pilbara iron ore operations was not valid  casting doubt over similar accords at rivals such as BHP Billiton   newspapers said.,topStory
BBL,BHP Billiton plc,20110725,SAfrica coal strike seen hitting exports in 2-4 wks , * Strike seen dragging on amid fears could lead to power cuts,normal
BBL,BHP Billiton plc,20110725,S.Africa striking unions to meet with coal miners for talks , JOHANNESBURG  July 25 South Africa's National Union of Minworkers (NUM) will meet with employers in the coal sector on Tuesday in a bid to end a strike which could hurt exports and supplies to power stations  a union official said on Monday.,normal
BBL,BHP Billiton plc,20110725,Strike at Chile's Escondida drags into fourth day , * Chile mining industry hit by wave of strikes this year,normal
BBL,BHP Billiton plc,20110725,BHP calls Escondida strike illegal  readies plan to ensure safety & integrity of operations , MELBOURNE  July 25 BHP Billiton   said on Monday the strike at its Escondida mine in Chile  the world's biggest copper mine  was illegal and it was putting in place a plan to secure its operations.,normal
BA,Boeing Company (The),20110725,Boeing to delay stretched Dreamliner version: report ,CHICAGO Boeing Co  is set to delay the first delivery of a stretched version of its 787 Dreamliner from 2013 to 2014  the West Australian newspaper reported on Monday.,topStory
BA,Boeing Company (The),20110725,Boeing to delay stretched Dreamliner version-press , CHICAGO  July 25 Boeing Co  is set to delay the first delivery of a stretched version of its 787 Dreamliner from 2013 to 2014  the West Australian newspaper reported on Monday.,normal
BSX,Boston Scientific Corporation,20110725,PREVIEW-Report could sway U.S. FDA device review process , WASHINGTON  July 25 The Institute of Medicine is poised to advise the U.S. drug regulator how it can refine its medical device approval process to get products to market quickly while protecting patients.,topStory
BP,BP plc,20110725,BP investors press CEO Dudley for strategy clues ,LONDON  July 26 BP boss Bob Dudley is under pressure to outline his post-oil spill strategy and revive the  share price when he unveils second-quarter earnings on Tuesday.,topStory
BP,BP plc,20110725,Analysis: Cellulosic ethanol industry struggles to take off ,WASHINGTON The great promise of a car fuel made from cheap  clean-burning prairie grass or wood chips -- and not from expensive corn that feeds the world -- is more mirage than reality.,normal
BP,BP plc,20110725,BP wins two deepwater blocks in Caribbean ,LONDON BP said it has won two oil exploration blocks off the coast of Trinidad and Tobago  adding to a tally of deepwater areas it has been awarded since staunching a massive leak at a Gulf of Mexico well last July.,normal
BP,BP plc,20110725,UPDATE 1-BP wins two deepwater blocks in Caribbean , * CEO 'pleased' governments have confidence in BP   (Adds detail  background),normal
BP,BP plc,20110725,UPDATE 2-Reliance profit fuelled by refining; gas worries remain , * Gross refining margins jump to $10.3/bbl vs $7.3 year ago,normal
BP,BP plc,20110725,S.Africa fuel sector  unions plan talks to end strike , JOHANNESBURG  July 25 South Africa's main fuel sector union will meet employers on Tuesday in a bid to end a two-week strike that has hit fuel supplies in Africa's biggest economy  a union official said on Monday.,normal
BPI,Bridgepoint Education Inc,20110725,Warburg Pincus may exit Bridgepoint ,Shares of Bridgepoint Education Inc  fell as much as 13 percent  after largest shareholder  Warburg Pincus   filed to sell its stake in the provider of post-secondary education services.,topStory
BC,Brunswick Corporation,20110725,Factbox: ING selling LatAm ops to Colombia's GrupoSura ,Dutch Bancassurer ING will sell most of its Latin American operation to Colombia's GrupoSura  for around $3.7 billion in the largest ever acquisition abroad by a Colombian company.,topStory
BC,Brunswick Corporation,20110725,FACTBOX-ING selling LatAm ops to Colombia's GrupoSura , July 25 Dutch Bancassurer ING will sell most of its Latin American operation to Colombia's GrupoSura  for around $3.7 billion in the largest ever acquisition abroad by a Colombian company. [ID:nLDE76O03R],normal
BG,Bunge Limited,20110725,Richardson canola output surges after expansion , WINNIPEG  Manitoba  July 25 Richardson Oilseed Ltd processed 1 million tonnes of canola at its two Western Canadian plants in the past year  the first year since it opened a plant in Saskatchewan  the company said on Monday.,topStory
CNI,Canadian National Railway Company,20110725,UPDATE 2-CN Rail second-quarter earnings rise 4 pct , * Floods  fires posed difficulties  (Adds details  CEO comment),topStory
CP,Canadian Pacific Railway Limited,20110725,UPDATE 2-CN Rail second-quarter earnings rise 4 pct , * Floods  fires posed difficulties  (Adds details  CEO comment),topStory
CAJ,Canon Inc,20110725,Nikkei seen rangebound; Obama speech on debt woes eyed , TOKYO  July 26 The Nikkei stock average is likely to trade narrowly on Tuesday  with positive earning results from Canon and other firms likely to lend support but concerns about a U.S. deadlock over raising the country's debt ceiling seen sapping trading appetite.,topStory
CAJ,Canon Inc,20110725,Canon lifts forecast after rapid quake recovery ,TOKYO Canon Inc posted better-than-expected quarterly profits and raised its annual forecast after it staged a rapid recovery from supply chain woes sparked by the March 11 earthquake.,normal
CAJ,Canon Inc,20110725,UPDATE 2-Canon lifts forecast after rapid quake recovery , * Quarterly profit down 30 pct  but higher than expected,normal
CAJ,Canon Inc,20110725,Canon raises 2011 SLR camera shipment forecast , TOKYO  July 25 Canon Inc on Monday said it has raised its forecast for shipments of single-lens reflex (SLR) cameras in 2011 to 7.3 million units from 7.0 million units.,normal
CAJ,Canon Inc,20110725,Canon posts 30.9 percent drop in Q2 profit  raises forecast ,TOKYO Canon Inc  posted a 30.9 percent decline in quarterly operating profit on Monday  hurt by production halts due to parts shortages after the March 11 earthquake  but it raised its full-year forecast due to a faster recovery than expected.,normal
CAJ,Canon Inc,20110725,Canon posts 30.9 pct drop in Q2 profit  raises forecast , TOKYO  July 25 Canon Inc posted a 30.9 percent decline in quarterly operating profit on Monday  hurt by production halts due to parts shortages after the March 11 earthquake  but it raised its full-year forecast due to a faster recovery than expected.,normal
CAT,Caterpillar Inc,20110725,Daimler  Rolls-Royce win EU okay for Tognum buy ,BRUSSELS Car makers Daimler  and Rolls-Royce  secured unconditional European Union approval on Monday to purchase Tognum  in a bid valuing the German engine maker at 3.4 billion euros.,topStory
CAT,Caterpillar Inc,20110725,Daimler  Rolls-Royce win EU okay for Tognum buy , BRUSSELS  July 25 Car makers Daimler  and Rolls-Royce  secured unconditional European Union approval on Monday to purchase Tognum  in a bid valuing the German engine maker at 3.4 billion euros.,normal
CAT,Caterpillar Inc,20110725,Companies churn out profits but not jobs ,NEW YORK The sluggish pace of hiring may be hobbling the U.S. economy  but it's not been holding back big U.S. companies' profits thanks to growth overseas and cost controls at home. And that's bad news for the more than 14 million Americans without jobs.,normal
CNC,Centene Corporation,20110725,UPDATE 1-Centene selected for Louisiana Medicaid contract , * Expects to cover 160 000-180 000 members   (Follows alerts),topStory
CHK,Chesapeake Energy Corporation,20110725,Shale oil boom sends waste gas burn-off soaring ,HOUSTON Flaring of natural gas from wells is on the upswing in Texas and North Dakota as oil and gas producers rush to develop new shale plays  and critics are not happy about it.,topStory
CHK,Chesapeake Energy Corporation,20110725,Shale oil boom sends waste gas burn-off soaring , * Vastly more permits in new Eagle Ford than older Barnett,normal
CVX,Chevron Corporation,20110725,S.Africa fuel sector  unions plan talks to end strike , JOHANNESBURG  July 25 South Africa's main fuel sector union will meet employers on Tuesday in a bid to end a two-week strike that has hit fuel supplies in Africa's biggest economy  a union official said on Monday.,topStory
CHL,China Mobile (Hong Kong) Ltd,20110725,Analysis: Apple juggernaut to see more China gains ,HONG KONG Apple  is set to exponentially grow its China business as the country's No.1 and No.3 telecom operators jostle to stitch up deals to sell iPhones in the world's largest mobile phone market  home to more than 900 million subscribers.,topStory
ZNH,China Southern Airlines Company Limited,20110725,Train crash could curb China rail equipment exports ,HONG KONG/BEIJING A deadly train crash in China over the weekend has raised concerns about the safety of the country's fast-growing rail network and threatens to undermine its plans to export high-speed train technology.,topStory
ZNH,China Southern Airlines Company Limited,20110725,UPDATE 6-Train crash could curb China rail equipment exports ,   * Rapid growth of rail network threatens safety - analyst,normal
ZNH,China Southern Airlines Company Limited,20110725,Train crash could curb China rail equipment exports ,HONG KONG/BEIJING A deadly train crash in China over the weekend has raised concerns about the safety of the country's fast-growing rail network and threatens to undermine its plans to export high-speed train technology.,normal
ZNH,China Southern Airlines Company Limited,20110725,China South Locomotive shares plunge after train crash , HONG KONG/SHANGHAI  July 25 Shares of China South Locomotive and Rolling Stock Corp Ltd (CSR)   fell sharply on Monday after a train crash over the weekend killed at least 35 people  sparking concerns about the safety of the fast-growing rail network.,normal
CHU,China Unicom (Hong Kong) Ltd,20110725,Analysis: Apple juggernaut to see more China gains ,HONG KONG Apple  is set to exponentially grow its China business as the country's No.1 and No.3 telecom operators jostle to stitch up deals to sell iPhones in the world's largest mobile phone market  home to more than 900 million subscribers.,topStory
C,Citigroup Inc,20110725,FACTBOX-Singapore GIC's portfolio at a glance , SINGAPORE  July 26 Singapore's biggest sovereign wealth fund GIC [GIC.UL] cut its exposure to developed countries and raised its holdings of emerging market equities during its financial year ended March 2011. [ID:nN1E76O1YY],topStory
C,Citigroup Inc,20110725,UPDATE 1-Singapore wealth fund GIC turns to China  Brazil  Korea , * Says US  Europe face long-term problems in tackling debt,normal
C,Citigroup Inc,20110725,Singapore's GIC says its long-term view on Citi  UBS unchanged-paper , SINGAPORE  July 26 Singapore sovereign fund GIC  which owns significant stakes in UBS and Citigroup    said its long-term view on the two banks has not changed despite the introduction of higher capital requirements that is likely to reduce future profitability of the banking industry.,normal
C,Citigroup Inc,20110725,Millennium may sell minority stake: report ,BOSTON Israel Englander is considering selling a portion of his $11 billion hedge fund Millennium Management to a much smaller rival  the Wall Street Journal reported on Monday.,normal
C,Citigroup Inc,20110725,Millennium may sell minority stake - WSJ , * Millennium in talks to find a financial partner - report,normal
C,Citigroup Inc,20110725,Moelis hires M&A banker Gregg Polle , NEW YORK  July 25 Investment bank Moelis & Co said on Monday that it had hired Gregg Polle as a managing director responsible for providing strategic advice to clients globally across a number of industries.,normal
C,Citigroup Inc,20110725,UAE's First Gulf Bank sets initial guidance for sukuk sale , DUBAI  July 25 Abu Dhabi's First Gulf Bank  has set initial price guidance for a five-year  dollar-denominated benchmark Islamic bond at 210 basis points above midswaps  a document from the lead banks showed on Monday.,normal
C,Citigroup Inc,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
C,Citigroup Inc,20110725,UK savings firm Yorkshire to buy Egg units off Citi , LONDON  July 25 British customer-owned savings company Yorkshire Building Society has agreed to buy the mortgage and savings business of Egg Banking Plc from American bank Citigroup   Yorkshire said on Monday.,normal
CLX,Clorox Company (The),20110725,Kimberly-Clark tops view  feels input cost pinch ,CHICAGO Kimberly-Clark Corp  reported second-quarter earnings that beat estimates but said full-year profit could come in toward the low end of its forecast  as costs for oil-based materials keep rising for the maker of Kleenex tissues and Huggies diapers.,topStory
CLX,Clorox Company (The),20110725,UPDATE 3-Kimberly-Clark tops view  feels input cost pinch , * Sees FY EPS in lower half of range without cost relief,normal
