ATVI,Activision Blizzard Inc,20110902,United States loses video game jobs to Quebec ,MONTREAL Outside  the sun is shining  but it is dark in the production room where more than 150 Ubisoft artists  animators and engineers are racing to finish the latest edition of "Assassin's Creed " one of this holiday's hotly anticipated games.,topStory
FLAT,iPath US Treasury Flattener ETN,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
FLAT,iPath US Treasury Flattener ETN,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
FLAT,iPath US Treasury Flattener ETN,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
FLAT,iPath US Treasury Flattener ETN,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
FLAT,iPath US Treasury Flattener ETN,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
FLAT,iPath US Treasury Flattener ETN,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
FLAT,iPath US Treasury Flattener ETN,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
FLAT,iPath US Treasury Flattener ETN,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
FLAT,iPath US Treasury Flattener ETN,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
STPP,iPath US Treasury Steepener ETN,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
STPP,iPath US Treasury Steepener ETN,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
STPP,iPath US Treasury Steepener ETN,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
STPP,iPath US Treasury Steepener ETN,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
STPP,iPath US Treasury Steepener ETN,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
STPP,iPath US Treasury Steepener ETN,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
STPP,iPath US Treasury Steepener ETN,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
STPP,iPath US Treasury Steepener ETN,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
STPP,iPath US Treasury Steepener ETN,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
STPP,iPath US Treasury Steepener ETN,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
LBTYA,Liberty Global plc,20110902,Poland - Factors to Watch on Sept 2 ,Here are news stories  press reports and events to watch  which may affect Poland's financial markets on Friday. ALL TIMES GMT (Poland: GMT + 2 hours):,topStory
MSCC,Microsemi Corporation,20110902,Microsemi says could walk away from Zarlink bid ,TORONTO Chipmaker Microsemi Corp has dared takeover target Zarlink Semiconductor  to show it can get a bid higher than the C$550 million ($561 million) it has offered  saying it is willing to walk away from the bid.,topStory
MSCC,Microsemi Corporation,20110902,Deals of the day -- mergers and acquisitions , (Adds Berkshire Hathaway  Microsemi  Johnson Controls  Gazprom  others),normal
MSCC,Microsemi Corporation,20110902,UPDATE 3-Microsemi says could walk away from Zarlink bid , * Zarlink shares fall 1.08 percent  (Reworks first paragraph),normal
MSFT,Microsoft Corporation,20110902,Microsoft to win from Google Motorola buy: Acer ,BERLIN Microsoft will be the winner in Google's acquisition of Motorola Mobility as the deal makes Google a direct rival to its phone-making clients  a senior executive from Acer Inc said on Friday.,topStory
MSFT,Microsoft Corporation,20110902,Microsoft to win from Google Motorola buy -Acer , BERLIN  Sept 2 Microsoft will be the winner in Google's acquisition of Motorola Mobility  as the deal makes Google a direct rival to its phone-making clients  a senior executive from Acer Inc  said on Friday.,normal
MSFT,Microsoft Corporation,20110902,ZTE seeks 5-10 pct of Europe phone market , * To start selling Windows Phone 7 in Europe this year,normal
MSFT,Microsoft Corporation,20110902,Google-Motorola deal won't end Android suits: Nokia executive ,HELSINKI Google's move to buy Motorola Mobility will not put an end to patent lawsuits against the Android platform as the web search giant is hoping  a Nokia executive said in a report on Friday.,normal
MSFT,Microsoft Corporation,20110902,Google-Motorola deal won't end Android suits-Nokia exec , HELSINKI  Sept 2 Google's move to buy Motorola Mobility will not put an end to patent lawsuits against the Android platform as the web search giant is hoping  a Nokia executive said in a report on Friday.,normal
NDAQ,Nasdaq Inc,20110902,Deals of the day -- mergers and acquisitions , (Adds Berkshire Hathaway  Microsemi  Johnson Controls  Gazprom  others),topStory
NDAQ,Nasdaq Inc,20110902,LSE's Rolet makes high-stakes move on LCH.Clearnet ,LONDON The London Stock Exchange  is in talks to buy clearing house LCH.Clearnet  a deal seen as critical for LSE Chief Executive Xavier Rolet after his failed attempt to take control of Canadian exchange operator TMX . | Video ,normal
NDAQ,Nasdaq Inc,20110902,UPDATE 4-LSE's Rolet makes high-stakes move on LCH.Clearnet , * LSE shares down 2.6 pct   (Adds broker comment  advisors),normal
NDAQ,Nasdaq Inc,20110902,LSE's Rolet makes high-stakes move on LCH.Clearnet ,LONDON The London Stock Exchange  is in talks to buy clearing house LCH.Clearnet  a deal seen as critical for LSE Chief Executive Xavier Rolet after his failed attempt to take control of Canadian exchange operator TMX .,normal
NDAQ,Nasdaq Inc,20110902,Timeline: Deals involving the London Stock Exchange ,LONDON The London Stock Exchange  is in talks to buy LCH.Clearnet  Europe's largest independent clearing house -- an institution that guarantees traders' obligations in case of a default  and a key focus for regulators.,normal
NDAQ,Nasdaq Inc,20110902,TIMELINE-Deals involving the London Stock Exchange , LONDON  Sept 2 The London Stock Exchange  is in talks to buy LCH.Clearnet  Europe's largest independent clearing house -- an institution that guarantees traders' obligations in case of a default  and a key focus for regulators.,normal
NDAQ,Nasdaq Inc,20110902,UPDATE 2-LSE in talks to buy clearing house LCH , LONDON  Sept 2 The London Stock Exchange  is in talks to buy its main clearing house LCH.Clearnet  a deal that could snatch the prized European asset from under the noses of data vendor Markit and exchange rival Nasdaq OMX,normal
NDAQ,Nasdaq Inc,20110902,UPDATE 2-LSE in talks to buy clearing house LCH , LONDON  Sept 2 The London Stock Exchange  is in talks to buy its main clearing house LCH.Clearnet  a deal that could snatch the prized European asset from under the noses of data vendor Markit and exchange rival Nasdaq OMX,normal
NDAQ,Nasdaq Inc,20110902,LSE bid for majority stake in LCH.Clearnet: report ,LONDON The London Stock Exchange  has made a bid for a majority stake in LCH.Clearnet  the Financial Times reported on Friday.,normal
NDAQ,Nasdaq Inc,20110902,LSE bid for majority stake in LCH.Clearnet: FT ,LONDON The London Stock Exchange  has made a bid for a majority stake in LCH.Clearnet  the Financial Times reported on Friday.,normal
NFLX,Netflix Inc,20110902,Netflix shares fall after stumble with Starz ,LOS ANGELES/BANGALORE High-flying Netflix Inc saw its shares fall 8.6 percent on Friday after failing to secure a chunk of movie content for the online service it touts as the future of its popular video rental business.,topStory
NFLX,Netflix Inc,20110902,UPDATE 4-Netflix shares fall after stumble with Starz , * Shares drop 8.6 pct to $213.11 after Starz deal collapse,normal
NFLX,Netflix Inc,20110902,US SMALL/MIDCAPS-Industrials down after Obama drops smog rule , NEW YORK  Sept 2 Small and mid-cap industrial stocks fell on Friday after U.S. President Barack Obama unexpectedly asked the Environmental Protection Agency to withdraw a plan to limit smog pollution.,normal
NFLX,Netflix Inc,20110902,US STOCKS-Wall St tumbles after data shows no jobs growth , * U.S. to sue big banks over mortgage securities-report,normal
NFLX,Netflix Inc,20110902,US STOCKS-Wall St set for sharply lower open after jobs data , * Futures down: S&P 18.9 pts  Dow 151 pts  Nasdaq 27.75,normal
NFLX,Netflix Inc,20110902,US STOCKS-Futures dip ahead of jobs data; banks eyed , * U.S. nonfarm payrolls seen adding 75 000 jobs in August,normal
NFLX,Netflix Inc,20110902,US STOCKS-Futures fall ahead of jobs data; banks eyed , * U.S. nonfarm payrolls seen adding 75 000 jobs in August,normal
NFLX,Netflix Inc,20110902,PRESS DIGEST - Wall Street Journal - Sept 2 , Sept 2 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
NFLX,Netflix Inc,20110902,PRESS DIGEST - New York Times business news - Sept 2 , Sept 2 The following were the top stories in The New York Times business pages on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
NFLX,Netflix Inc,20110902,Starz to pull content from Netflix as talks fail ,LOS ANGELES/NEW YORK Starz Entertainment will pull all of its movies and television shows from Netflix Inc's streaming service early next year  depriving Netflix customers from online viewing of new releases out of two major Hollywood studios.,normal
NWSA,News Corporation,20110902,Murdoch and son get big bonuses  James declines ,NEW YORK News Corp awarded Rupert Murdoch and his son James big compensation increases  though James declined his bonus  citing controversy over a phone hacking scandal at the UK newspaper unit that he oversees.,topStory
NWSA,News Corporation,20110902,James Murdoch turns down bonus after NOTW scandal ,James Murdoch  son of News Corp Chief Executive Rupert Murdoch  said he turned down the bonus awarded to him this year by the media group because of the phone hacking controversy around the British tabloid News of the World.,normal
NWSA,News Corporation,20110902,UPDATE 1-James Murdoch turns down bonus after NOTW scandal , Sept 2 James Murdoch  son of News Corp  Chief Executive Rupert Murdoch  said he turned down the bonus awarded to him this year by the media group because of the phone hacking controversy around the British tabloid News of the World.,normal
NWSA,News Corporation,20110902,REFILE-Police hold 15th suspect in UK phone-hacking probe , LONDON  Sept 2 London police said on Friday they had arrested a 30-year-old man as part of their probe into a phone-hacking scandal centred on the News of the World  one of Rupert Murdoch's British newspapers .,normal
NWSA,News Corporation,20110902,News Corp shuffles board  Murdoch pay rises to $33.3 mln , NEW YORK  Sept 2 News Corp  said on Friday directors Kenneth Crowley and Thomas Perkins will step down from its board and Silicon Valley venture capitalist Jim Breyer was nominated to the board.,normal
QCOM,QUALCOMM Incorporated,20110902,Microsemi says could walk away from Zarlink bid ,TORONTO Chipmaker Microsemi Corp has dared takeover target Zarlink Semiconductor  to show it can get a bid higher than the C$550 million ($561 million) it has offered  saying it is willing to walk away from the bid.,topStory
QCOM,QUALCOMM Incorporated,20110902,UPDATE 3-Microsemi says could walk away from Zarlink bid , * Zarlink shares fall 1.08 percent  (Reworks first paragraph),normal
RYAAY,Ryanair Holdings plc,20110902,Costs  debt  competition weigh on Air France-KLM ,PARIS Air France-KLM  faces a bumpier ride than its peers through the turbulent economic times ahead  as it wrestles with high staff costs  a large debt pile and tough competition that have battered its shares this year.,topStory
SWIR,Sierra Wireless Inc,20110902,WiLan starts patent litigation against Apple  others ,Canadian technology licensing company WiLan Inc said on Friday it had begun its patent infringement cases against Apple Inc  Dell  Hewlett-Packard and six other companies.,topStory
SWIR,Sierra Wireless Inc,20110902,UPDATE 1-WiLan starts patent litigation against Apple  8 others , Sept 2 Canadian technology licensing company WiLan Inc said on Friday it had begun its patent infringement cases against Apple Inc   Dell   Hewlett-Packard and six other companies.,normal
SINA,Sina Corporation,20110902,China state paper urges Internet rethink to gag foes ,BEIJING China's Communist Party control is at risk unless the government takes firmer steps to stop Internet opinion being shaped by increasingly organized political foes  a team of party writers warned in a commentary published on Friday.,topStory
SINA,Sina Corporation,20110902,UPDATE 1-China state paper urges Internet rethink to gag foes , BEIJING  Sept 2 China's Communist Party control is at risk unless the government takes firmer steps to stop Internet opinion being shaped by increasingly organised political foes  a team of party writers warned in a commentary published on Friday.,normal
SINA,Sina Corporation,20110902,Baidu offers glimpse of new mobile OS ,BEIJING China's top search engine Baidu Inc offered a glimpse of its upcoming mobile operating system and launched a new mobile application platform on Friday aimed at bolstering its presence in the increasingly competitive mobile web market.,normal
SINA,Sina Corporation,20110902,UPDATE 3-China's Baidu offers glimpse of new mobile OS , * Part of increasingly crowded China mobile Internet space,normal
SINA,Sina Corporation,20110902,China state paper urges Internet rethink to silence foes , BEIJING  Sept 2 China's Communist Party control is at risk unless the government takes firmer steps to stop Internet opinion being shaped by increasingly organised political foes  a team of party writers warned in a commentary published on Friday.,normal
SBUX,Starbucks Corporation,20110902,Starbucks CEO calls for political tele-townhall ,LOS ANGELES Starbucks Corp chief executive Howard Schultz urged Americans on Friday to join a giant "tele-townhall" next week to discuss ways to break the partisan gridlock in Washington.,topStory
SBUX,Starbucks Corporation,20110902,Starbucks CEO urges citizens to back anti-gridlock move ,LOS ANGELES Starbucks Corp chief executive Howard Schultz urged members of the public on Friday to join a novel campaign he launched last month seeking to break partisan gridlock in Washington and spur economic growth.,normal
VOD,Vodafone Group Plc,20110902,Dealtalk: Anti-trust shadow looms over European telco deals ,LONDON The block on AT&T's $39 billion purchase of T-Mobile USA is a grim reminder of the need to do anti-trust homework on deals in mature  slow growth telecoms markets and could put some European players off their takeover plans.,topStory
Z,Zillow Group Inc,20110902,IPO VIEW-Tech IPOs could lead the way post-Labor Day , * Tech IPOs seen as good bet for post-Labor Day flotations,topStory
AL,Air Lease Corporation,20110902,AIG's plane leasing unit ILFC files for IPO ,NEW YORK/BANGALORE AIG's aircraft leasing unit  International Lease Finance Corp  filed for an initial public offering on Friday despite deep uncertainty in equity markets that could delay an offering until next year.,topStory
AL,Air Lease Corporation,20110902,UPDATE 5-AIG's plane leasing unit ILFC files for IPO , * IPO analysts say 2012 offering looks more likely  (Adds details  background  share move  dateline),normal
ALL,Allstate Corporation (The),20110902,COLUMN-Quinn Emanuel rides an MBS tsunami: Alison Frankel , -- Alison Frankel writes the On the Case blog for Thomson Reuters News & Insight (http://newsandinsight.com). The views expressed are her own. --,topStory
AEP,American Electric Power Company Inc,20110902,UPDATE 4-Obama backtracks on smog plan  bows to big business , * Environmental groups protest loss of key initiative  (Adds industry reaction  background),topStory
AIG,American International Group Inc,20110902,U.S. regulator to sue major banks over mortgages ,WASHINGTON/NEW YORK A U.S. regulator plans to sue major banks in coming days over subprime mortgage bonds  two sources said  in a lawsuit that may hamper a broader government mortgage settlement with banks.,topStory
AIG,American International Group Inc,20110902,U.S. regulator sues major banks over mortgages ,WASHINGTON/NEW YORK A U.S. regulator sued a series of big banks on Friday over losses on more than $41 billion in subprime mortgage bonds  which could hamper a broader government mortgage settlement with banks.,normal
AIG,American International Group Inc,20110902,COLUMN-Quinn Emanuel rides an MBS tsunami: Alison Frankel , -- Alison Frankel writes the On the Case blog for Thomson Reuters News & Insight (http://newsandinsight.com). The views expressed are her own. --,normal
AIG,American International Group Inc,20110902,Springleaf proves AAA subprime RMBS can make perfect sense ,NEW YORK  Sept 2 (IFR) - Nobody versed in the basics of securitization was shocked that the staggering 51.15 percent layer of credit protection guarding the senior notes of the first visible post-crisis subprime RMBS helped it achieve a AAA rating from S&P and price this past week with a 4 percent coupon.,normal
AIG,American International Group Inc,20110902,AIG's plane leasing unit ILFC files for IPO ,NEW YORK/BANGALORE AIG's aircraft leasing unit  International Lease Finance Corp  filed for an initial public offering on Friday despite deep uncertainty in equity markets that could delay an offering until next year.,normal
AIG,American International Group Inc,20110902,UPDATE 5-AIG's plane leasing unit ILFC files for IPO , * IPO analysts say 2012 offering looks more likely  (Adds details  background  share move  dateline),normal
AIG,American International Group Inc,20110902,TEXT-Fitch withdraws Nan Shan Life's IFS 'A+(twn)' rating , (The following statement was released by the rating agency),normal
AEUA,Anadarko Petroleum Corporation,20110902,Louisiana coast braces for Tropical Storm Lee ,NEW ORLEANS Tropical Storm Lee threatened the Louisiana coast on Friday with torrential rains and flooding and shut nearly half of U.S. offshore crude oil production and a third of offshore gas production.,topStory
AEUA,Anadarko Petroleum Corporation,20110902,WRAPUP 4-Louisiana coast braces for Tropical Storm Lee , * Storm could bring torrential rains to Louisiana coast,normal
AEUA,Anadarko Petroleum Corporation,20110902,Analysis: Damages ruling may be pivotal in BP case ,NEW YORK A key court ruling in the Gulf of Mexico oil spill litigation could change the landscape in the massive case -- encouraging more plaintiffs to sue  or spurring the parties to make a deal to resolve what could be a long string of trials over damages.,normal
AEUA,Anadarko Petroleum Corporation,20110902,Analysis: Damages ruling may be pivotal in BP case ,NEW YORK A key court ruling in the Gulf of Mexico oil spill litigation could change the landscape in the massive case -- encouraging more plaintiffs to sue  or spurring the parties to make a deal to resolve what could be a long string of trials over damages.,normal
AEUA,Anadarko Petroleum Corporation,20110902,Oil companies brace for possible U.S. Gulf storm ,HOUSTON Major oil and gas producers in the Gulf of Mexico on Thursday shut down offshore platforms and evacuated workers ahead of a storm brewing offshore that was expected to bring flooding to Louisiana over the weekend.,normal
AEUA,Anadarko Petroleum Corporation,20110902,WRAPUP 3-Oil companies brace for possible U.S. Gulf storm , * Louisiana governor declares state of emergency  (Updates with state of emergency in Louisiana  tropical depression),normal
APC,Anadarko Petroleum Corporation,20110902,Louisiana coast braces for Tropical Storm Lee ,NEW ORLEANS Tropical Storm Lee threatened the Louisiana coast on Friday with torrential rains and flooding and shut nearly half of U.S. offshore crude oil production and a third of offshore gas production.,topStory
APC,Anadarko Petroleum Corporation,20110902,WRAPUP 4-Louisiana coast braces for Tropical Storm Lee , * Storm could bring torrential rains to Louisiana coast,normal
APC,Anadarko Petroleum Corporation,20110902,Analysis: Damages ruling may be pivotal in BP case ,NEW YORK A key court ruling in the Gulf of Mexico oil spill litigation could change the landscape in the massive case -- encouraging more plaintiffs to sue  or spurring the parties to make a deal to resolve what could be a long string of trials over damages.,normal
APC,Anadarko Petroleum Corporation,20110902,Analysis: Damages ruling may be pivotal in BP case ,NEW YORK A key court ruling in the Gulf of Mexico oil spill litigation could change the landscape in the massive case -- encouraging more plaintiffs to sue  or spurring the parties to make a deal to resolve what could be a long string of trials over damages.,normal
APC,Anadarko Petroleum Corporation,20110902,Oil companies brace for possible U.S. Gulf storm ,HOUSTON Major oil and gas producers in the Gulf of Mexico on Thursday shut down offshore platforms and evacuated workers ahead of a storm brewing offshore that was expected to bring flooding to Louisiana over the weekend.,normal
APC,Anadarko Petroleum Corporation,20110902,WRAPUP 3-Oil companies brace for possible U.S. Gulf storm , * Louisiana governor declares state of emergency  (Updates with state of emergency in Louisiana  tropical depression),normal
BUD,Anheuser-Busch Inbev SA,20110902,US Labor Day soda prices up from last year-report , NEW YORK  Sept 2 U.S. advertised soda prices are up more than expected for the Labor Day holiday weekend  according to a survey  which bodes well for profits at Coca-Cola Co   PepsiCo Inc  and Dr Pepper Snapple Group Inc .,topStory
APA,Apache Corporation,20110902,FACTBOX-US Gulf refiners eye storm; half crude output cut , Sept 2 Newly upgraded to Tropical Storm Lee on Friday  a growing tropical weather system in the Gulf of Mexico threatened heavy rains that could flood Louisiana and Mississippi refinery operations.,topStory
APA,Apache Corporation,20110902,Apache says shuts some Gulf of Mexico production , HOUSTON  Sept 2 Apache Corp  has shut some of its Gulf of Mexico production as third-party providers shut in platforms and pipelines due to Tropical Depression 13  currently churning off the Louisiana coast.,normal
APA,Apache Corporation,20110902,Oil companies brace for possible U.S. Gulf storm ,HOUSTON Major oil and gas producers in the Gulf of Mexico on Thursday shut down offshore platforms and evacuated workers ahead of a storm brewing offshore that was expected to bring flooding to Louisiana over the weekend.,normal
APA,Apache Corporation,20110902,WRAPUP 3-Oil companies brace for possible U.S. Gulf storm , * Louisiana governor declares state of emergency  (Updates with state of emergency in Louisiana  tropical depression),normal
ADM,Archer-Daniels-Midland Company,20110902,Grain companies tighten GMO policy  eye Syngenta corn ,CHICAGO Major U.S. grain companies have tightened curbs on genetically modified grains not yet approved by foreign markets  with some singling out one popular corn variety made by Syngenta  fearing any trace of the biotech grain in shipments could shut off export markets.,topStory
ADM,Archer-Daniels-Midland Company,20110902,UPDATE 3-US grain cos tighten GMO policy  eye Syngenta corn , * ADM not taking unapproved GMOs without written notice,normal
AZN,Astrazeneca PLC,20110902,Astra's Crestor drug fails to beat Pfizer's Lipitor ,LONDON/ZURICH AstraZeneca Plc's key cholesterol drug Crestor failed to beat Pfizer Inc's Lipitor in a head-to-head clinical study  limiting any protection the British company will get as its U.S. rival faces competition from cheap generic copies.,topStory
AZN,Astrazeneca PLC,20110902,UPDATE 1-Astra's Crestor drug fails to beat Pfizer's Lipitor , LONDON  Sept 2 AstraZeneca's key cholesterol drug Crestor has failed to beat Pfizer's  Lipitor in a head-to-head clinical study  limiting any boost the British company will get as its U.S. rival prepares for competition from cheap generic copies.,normal
T,AT&T Inc,20110902,FTC seeks more info on Medco  Express Scripts deal ,LOS ANGELES The U.S. Federal Trade Commission has asked for additional information on Express Scripts Inc's  planned acquisition of rival pharmacy benefits manager Medco Health Solutions Inc .,topStory
T,AT&T Inc,20110902,UPDATE 3-FTC seeks more info on Medco  Express Scripts deal , LOS ANGELES  Sept 2 The U.S. Federal Trade Commission has asked for additional information on Express Scripts Inc's  planned acquisition of rival pharmacy benefits manager Medco Health Solutions Inc .,normal
T,AT&T Inc,20110902,AT&T prepares two-track plan to save T-Mobile deal ,NEW YORK AT&T Inc is expected to soon present a proposed solution to U.S. antitrust regulators to salvage its planned $39 billion acquisition of smaller rival T-Mobile USA  according to people close to the matter. | Video ,normal
T,AT&T Inc,20110902,Dealtalk: Anti-trust shadow looms over European telco deals ,LONDON The block on AT&T's $39 billion purchase of T-Mobile USA is a grim reminder of the need to do anti-trust homework on deals in mature  slow growth telecoms markets and could put some European players off their takeover plans.,normal
T,AT&T Inc,20110902,TEXT-Fitch:Deutsche Telekom upgrade still possible but challenged by US suit , Sept 2  (The following statement was released by the rating agency),normal
T,AT&T Inc,20110902,German stocks - Factors to watch on September 2 , FRANKFURT  Sept 2 The DAX top-30 index  looked set to open 1.9 percent lower on Friday  according to premarket data from brokerage Lang & Schwarz at 0610 GMT.,normal
T,AT&T Inc,20110902,PRESS DIGEST - Wall Street Journal - Sept 2 , Sept 2 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
T,AT&T Inc,20110902,PRESS DIGEST - New York Times business news - Sept 2 , Sept 2 The following were the top stories in The New York Times business pages on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
T,AT&T Inc,20110902,Court battle looms between U.S. and AT&T  T-Mobile ,NEW YORK/WASHINGTON The Justice Department made a bold move when it sued to block AT&T Inc's $39 billion acquisition of T-Mobile. Now comes the hard part: going to court. | Video ,normal
T,AT&T Inc,20110902,White House says played no role in AT&T decision ,WASHINGTON The White House had no role in the U.S. Justice Department's decision to sue to block AT&T Inc's $39 billion purchase of T-Mobile USA  a spokesman said on Thursday.,normal
BCH,Banco De Chile,20110902,UPDATE 1-Quinenco to pay $320 mln for Terpel Chile ops , * Luksic family group says to pay $320 mln for operations,topStory
BSAC,Banco Santander Chile,20110902,STXNEWS LATAM-Chile stocks slide on weak U.S. jobs data , Chile stocks fell with major indexes on Friday  after data showed U.S. jobs growth ground to a halt in August  adding to worries about the health of the U.S. economy.,topStory
SAN,Banco Santander SA,20110902,STXNEWS LATAM-Chile stocks slide on weak U.S. jobs data , Chile stocks fell with major indexes on Friday  after data showed U.S. jobs growth ground to a halt in August  adding to worries about the health of the U.S. economy.,topStory
BAC,Bank of America Corporation,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
BAC,Bank of America Corporation,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
BAC,Bank of America Corporation,20110902,Jobs woes sink Wall Street ,NEW YORK Stocks tumbled 2 percent on Friday after data showing zero jobs growth in August brought investors face-to-face with the prospect of another recession. | Video ,normal
BAC,Bank of America Corporation,20110902,BofA job cuts could reach 30 000: report ,Bank of America Corp  executives are discussing plans to potentially shed 25 000 to 30 000 jobs over the next several years  the Charlotte Observer said.,normal
BAC,Bank of America Corporation,20110902,UPDATE 1-BofA job cuts could reach 30 000- report , Sept 2 Bank of America Corp executives are discussing plans to potentially shed 25 000 to 30 000 jobs over the next several years  the Charlotte Observer said.,normal
