AVAV,AeroVironment Inc,20110712,Analysis: Electronic warfare moves to frontline ,BANGALORE As the United States draws down troops in Afghanistan and Iraq and cuts back on defense spending  its reliance on technology will only rise  benefiting a clutch of companies specializing in intelligence gathering  surveillance and reconnaissance.,topStory
SBUX,Starbucks Corporation,20110712,PRESS DIGEST - New York Times business news - July 12 , July 12 The following were the top stories in The New York Times business pages on Tuesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
SYMC,Symantec Corporation,20110712,Quest Software sees Q2 miss  shares fall ,Bangalore Quest Software Inc's  preliminary second-quarter results missed estimates  and the company cut fiscal 2011 revenue growth forecast  hurt by lower-than-anticipated return on higher investments in business and acquisitions  sending its shares down 12 percent.,topStory
AMTD,TD Ameritrade Holding Corporation,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
AMTD,TD Ameritrade Holding Corporation,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
AMTD,TD Ameritrade Holding Corporation,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
VOD,Vodafone Group Plc,20110712,Regulators combat unauthorized phone bill fees ,WASHINGTON Telephone companies would have to make third-party charges on landline phone bills clear and distinct to help people detect unauthorized fees under rules proposed on Tuesday by communications regulators.,topStory
VOD,Vodafone Group Plc,20110712,US regulators combat unauthorized phone bill fees , * Companies would have to make third-party charges clear,normal
ZGNX,Zogenix Inc,20110712,Durect inks antipsychotic drug deal with Zogenix ,Bangalore Specialty pharmaceutical company Durect Corp  said peer Zogenix Inc  acquired the rights to use Durect's technology for developing an antipsychotic drug  for an upfront payment of $2.25 million and up to $103 million in future payments.,topStory
ABT,Abbott Laboratories,20110712,FDA proposes targeted drug testing guidelines ,WASHINGTON Targeted drugs or therapies up for U.S. regulatory approval would have to be reviewed simultaneously with the diagnostic devices they rely on  according to a proposed policy issued on Tuesday.,topStory
ABT,Abbott Laboratories,20110712,US FDA proposes targeted drug testing guidelines ,   * Focus on therapies depending on accompanying diagnostics,normal
ABT,Abbott Laboratories,20110712,Gilead kickstarts patent pool for AIDS drugs ,LONDON Gilead Sciences  the leading maker of HIV drugs  is to share intellectual property rights on its medicines in a patent pool designed to make treatments more widely available to the poor.,normal
ACN,Accenture plc,20110712,UPDATE 4-Infosys cautious on outlook after Q1 disappoints , * Q1 profit 17.22 bln rupees vs 17.29 bln rupees in Reuters poll,topStory
AA,Alcoa Corporation,20110712,PRESS DIGEST-Australian Business News - July 13 , Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
AA,Alcoa Corporation,20110712,Europe and tech push Wall Street to 3rd day of losses ,NEW YORK Stocks closed lower for a third straight day on Tuesday as Europe's fiscal woes and a weak start to tech earnings gave investors little reason to buy even after the recent losses.,normal
AA,Alcoa Corporation,20110712,US STOCKS-Europe and tech push Wall St to 3rd day of losses , * Dow off 0.5 pct  S&P down 0.4 pct  Nasdaq off 0.7 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
AA,Alcoa Corporation,20110712,U.S. aluminum May imports soar to near 2-year high , NEW YORK  July 12 Shipments of aluminum into the United States rose for a second straight month in May  spiking to a near two-year peak  as a growing domestic market deficit and improved demand conditions drove the builds.,normal
AA,Alcoa Corporation,20110712,US STOCKS-S&P up on technical rebound; euro zone woes linger , * Dow  S&P up on technical rebound after 2 days of selling,normal
AA,Alcoa Corporation,20110712,US STOCKS-Wall Street shares down  led by Nasdaq , * Indexes: Dow up 0.1 pct  S&P flat  Nasdaq off 0.3 pct,normal
AA,Alcoa Corporation,20110712,Alcoa stock down over aluminum price concerns ,NEW YORK Shares in Alcoa Inc slipped on Tuesday despite posting a strong second-quarter profit  as some analysts voiced concern over a recent drop in aluminum prices. | Video ,normal
AA,Alcoa Corporation,20110712,US STOCKS-Futures bounce off lows but point to weak Wall St , * Futures off: Dow 17 pts  S&P 3.4 pts  Nasdaq 3 pts,normal
AA,Alcoa Corporation,20110712,US STOCKS-Wall St set to tumble as global markets roiled , * Futures off: Dow 111 pts  S&P 15.1 pts  Nasdaq 19.75 pts,normal
AA,Alcoa Corporation,20110712,US STOCKS-Wall St set to slump as global markets roiled , * Futures off: Dow 84 pts  S&P 12.6 pts  Nasdaq 19.25 pts,normal
ACH,Aluminum Corporation of China Limited,20110712,CORRECTED-UPDATE 1-China hikes smelting  steel capacity cuts , (Corrects second bullet point and second paragraph to clarify iron smelting  not steelmaking industry  was ordered to cut 31.22 mln T of output capacity),topStory
AIG,American International Group Inc,20110712,S&P says Dodd-Frank doesn't end "too big to fail" , * Power designed to remove idea some firms too big to fail,topStory
APA,Apache Corporation,20110712,UPDATE 1-Crosstex Energy  Apache to develop Permian Basin project , * Crosstex will construct and operate the facilities   (Follows alerts),topStory
AGO,Assured Guaranty Ltd,20110712,MBIA shares rise on speculation over BofA deal ,NEW YORK Shares in bond insurer MBIA Inc  hit a two-month high on Tuesday after the company dropped a lawsuit against Bank of America   a move investors and analysts said could lead to a larger settlement.,topStory
AGO,Assured Guaranty Ltd,20110712,UPDATE 1-MBIA shares rise on speculation over BofA deal , * BofA shares flat at midday after 26-month low  (Adds S&P comment  BofA share activity),normal
T,AT&T Inc,20110712,Regulators combat unauthorized phone bill fees ,WASHINGTON Telephone companies would have to make third-party charges on landline phone bills clear and distinct to help people detect unauthorized fees under rules proposed on Tuesday by communications regulators.,topStory
T,AT&T Inc,20110712,US regulators combat unauthorized phone bill fees , * Companies would have to make third-party charges clear,normal
T,AT&T Inc,20110712,Helferich files patent lawsuit against Nokia , NEW YORK  July 12 A patent licensing firm sued Finnish phone maker Nokia  in a U.S. court  alleging patent infringement related to seven mobile phone patents.,normal
T,AT&T Inc,20110712,Sprint subpoenaed by 9 states over AT&T's T-Mobile bid ,BANGALORE Sprint Nextel  has received subpoenas from nine states in connection with antitrust reviews of AT&T's  proposed $39 billion purchase of T-Mobile USA  according to a Sprint letter posted on the Federal Communications Commission (FCC) website.,normal
T,AT&T Inc,20110712,Sprint subpoenaed by 9 states over AT&T's T-Mobile bid , BANGALORE  July 12 U.S. telecom firm Sprint Nextel has received subpoenas from nine states in connection with antitrust reviews of AT&T's proposed $39 billion purchase of T-Mobile USA  according to a Sprint letter posted on the Federal Communications Commission (FCC) website.,normal
SAN,Banco Santander SA,20110712,CORRECTED-Santander pulls auto ABS deal citing market volatility , July 12 (IFR) - Santander Consumer Bank has decided to delay its EUR600m SC Germany Auto 2011-1 German auto loan ABS due to increased volatility of market conditions.,topStory
SAN,Banco Santander SA,20110712,Spanish stocks - Factors to watch on Tuesday , MADRID  July 12 The following Spanish stocks may be affected by newspaper reports and other factors on Tuesday.,normal
SAN,Banco Santander SA,20110712,Morning News Call - EMEA  July 12 , If you would like to receive Morning News Call-EMEA by email direct to your smartphone before the market opens  please register at: http://r.reuters.com/zaj49r,normal
BAC,Bank of America Corporation,20110712,New York probes Bank of America $8.5 billion mortgage pact ,NEW YORK New York's attorney general is investigating Bank of America Corp's  $8.5 billion settlement with investors over losses in mortgage-backed securities  and has sought data from 20 institutional investors that agreed to the accord.,topStory
BAC,Bank of America Corporation,20110712,UPDATE 3-NY probes Bank of America $8.5 bln mortgage pact , * Letters sent to BlackRock  MetLife  Pimco  (Rewrites first two paragraphs  adds details and byline),normal
BAC,Bank of America Corporation,20110712,Watchdog eyes standards to beef up broker audits ,NEW YORK Auditors would have to step up scrutiny of the way U.S. broker-dealers handle customer funds under proposed standards meant to prevent a repeat of the Bernard Madoff Ponzi scheme.,normal
BAC,Bank of America Corporation,20110712,US watchdog eyes standards to beef up broker audits , NEW YORK  July 12 Auditors would have to step up scrutiny of the way U.S. broker-dealers handle customer funds under proposed standards meant to prevent a repeat of the Bernard Madoff Ponzi scheme.,normal
BAC,Bank of America Corporation,20110712,S&P says Dodd-Frank doesn't end "too big to fail" , * Power designed to remove idea some firms too big to fail,normal
BAC,Bank of America Corporation,20110712,Bank of America seeks to restore trust in IPO market ,LONDON A string of troubled initial public offerings (IPO) in Europe has pushed Bank of America Merrill Lynch  to draw up a set of new guidelines to improve the listing process and restore confidence between sellers and buyers.,normal
BAC,Bank of America Corporation,20110712,CFPB to be year-round cop for big banks ,WASHINGTON The new U.S. consumer financial watchdog is gearing up to deploy hundreds of examiners to large banks  saying on Tuesday it will do year-round policing at the biggest and riskiest banks.,normal
BAC,Bank of America Corporation,20110712,U.S. watchdog to be year-round cop for big banks , * CFPB responsible for regulating credit cards  mortgages,normal
BAC,Bank of America Corporation,20110712,MBIA shares rise on speculation over BofA deal ,NEW YORK Shares in bond insurer MBIA Inc  hit a two-month high on Tuesday after the company dropped a lawsuit against Bank of America   a move investors and analysts said could lead to a larger settlement.,normal
BAC,Bank of America Corporation,20110712,UPDATE 1-MBIA shares rise on speculation over BofA deal , * BofA shares flat at midday after 26-month low  (Adds S&P comment  BofA share activity),normal
BK,Bank Of New York Mellon Corporation (The),20110712,New York probes Bank of America $8.5 billion mortgage pact ,NEW YORK New York's attorney general is investigating Bank of America Corp's  $8.5 billion settlement with investors over losses in mortgage-backed securities  and has sought data from 20 institutional investors that agreed to the accord.,topStory
BK,Bank Of New York Mellon Corporation (The),20110712,UPDATE 3-NY probes Bank of America $8.5 bln mortgage pact , * Letters sent to BlackRock  MetLife  Pimco  (Rewrites first two paragraphs  adds details and byline),normal
BCS,Barclays PLC,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
BCS,Barclays PLC,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
BCS,Barclays PLC,20110712,Europe and tech push Wall Street to 3rd day of losses ,NEW YORK Stocks closed lower for a third straight day on Tuesday as Europe's fiscal woes and a weak start to tech earnings gave investors little reason to buy even after the recent losses.,normal
BCS,Barclays PLC,20110712,US STOCKS-Europe and tech push Wall St to 3rd day of losses , * Dow off 0.5 pct  S&P down 0.4 pct  Nasdaq off 0.7 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
BCS,Barclays PLC,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
BCS,Barclays PLC,20110712,ADR Report-Euro zone debt fears pressure European banks , NEW YORK  July 12 U.S.-listed shares of European banks fell on Tuesday after euro zone finance ministers acknowledged the possibility of accepting a Greek default  underscoring the severity of the region's debt concerns.,normal
BKS,Barnes & Noble Inc,20110712,Dealtalk: Barnes & Noble won't get better bid than Malone's ,NEW YORK/PHILADELPHIA Nearly a year after Barnes & Noble Inc  put itself up for sale  the largest U.S. bookstore chain likely will settle for the only firm offer it has received: $1 billion from John Malone's Liberty Media Corp .,topStory
BKS,Barnes & Noble Inc,20110712,DEALTALK-Barnes & Noble won't get better bid than Malone's , NEW YORK/PHILADELPHIA  July 12 Nearly a year after Barnes & Noble Inc  put itself up for sale  the largest U.S. bookstore chain likely will settle for the only firm offer it has received: $1 billion from John Malone's Liberty Media Corp .,normal
ABX,Barrick Gold Corporation,20110712,CANADA STOCKS-TSX pushes higher as golds gain , * Couche-Tard hits record high after results top estimates  (Adds details  background),topStory
ABX,Barrick Gold Corporation,20110712,CANADA STOCKS-TSX pushes higher on gold rally ,   * TSX gains 54.32 points  or 0.41 percent  to 13 234.07.,normal
ABX,Barrick Gold Corporation,20110712,CANADA STOCKS-TSX flat in choppy trade; euro zone  RIM eyed , * RIM to hold shareholder meeting later in day  (Adds details),normal
ABX,Barrick Gold Corporation,20110712,Dealtalk: European Goldfields an M&A target after permit award ,LONDON The award of a much-delayed mining permit that will turn European Goldfields  into Europe's largest primary gold producer could also make it a prime takeover target  in a sector where players are scrambling for growth.,normal
ABX,Barrick Gold Corporation,20110712,DEALTALK-European Goldfields an M&A target after permit award , LONDON  July 12 The award of a much-delayed mining permit that will turn European Goldfields  into Europe's largest primary gold producer could also make it a prime takeover target  in a sector where players are scrambling for growth.,normal
BCE,BCE Inc,20110712,PRESS DIGEST - Canada - July 12 , July 12 The following are top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
BBY,Best Buy Co Inc,20110712,Helferich files patent lawsuit against Nokia , NEW YORK  July 12 A patent licensing firm sued Finnish phone maker Nokia  in a U.S. court  alleging patent infringement related to seven mobile phone patents.,topStory
BHP,BHP Billiton Limited,20110712,UPDATE 2-Codelco unions return to work  threaten more strikes , * Staff workers threaten more protests amid restructuring,topStory
BHP,BHP Billiton Limited,20110712,Codelco unions return to work  threaten more strikes , ) -     * Codelco unions lift 24 hr strike  first in 18 years,normal
BBL,BHP Billiton plc,20110712,UPDATE 2-Codelco unions return to work  threaten more strikes , * Staff workers threaten more protests amid restructuring,topStory
BBL,BHP Billiton plc,20110712,Codelco unions return to work  threaten more strikes , ) -     * Codelco unions lift 24 hr strike  first in 18 years,normal
BLK,BlackRock Inc,20110712,New York probes Bank of America $8.5 billion mortgage pact ,NEW YORK New York's attorney general is investigating Bank of America Corp's  $8.5 billion settlement with investors over losses in mortgage-backed securities  and has sought data from 20 institutional investors that agreed to the accord.,topStory
BLK,BlackRock Inc,20110712,UPDATE 3-NY probes Bank of America $8.5 bln mortgage pact , * Letters sent to BlackRock  MetLife  Pimco  (Rewrites first two paragraphs  adds details and byline),normal
BLK,BlackRock Inc,20110712,Bank of America seeks to restore trust in IPO market ,LONDON A string of troubled initial public offerings (IPO) in Europe has pushed Bank of America Merrill Lynch  to draw up a set of new guidelines to improve the listing process and restore confidence between sellers and buyers.,normal
BLK,BlackRock Inc,20110712,Bank of America seeks to restore trust in IPO market , * BoAML sets out guidelines in response to investor concerns,normal
BA,Boeing Company (The),20110712,UPDATE 2-Lockheed overruns on early F-35s put at $771 mln , * McCain has sought to put F-35 program on "probation"  (Adds details on McCain effort to put F-35 on probation  adds stock price),topStory
BA,Boeing Company (The),20110712,Boeing tanker strategy shifts $600 million to taxpayer ,WASHINGTON Boeing Co's winning bid for the U.S. Air Force's fiercely contested tanker development deal means it likely will show no profit in the program's first phase and shift $600 million in development costs to taxpayers  new government figures showed.,normal
BA,Boeing Company (The),20110712,Boeing tanker strategy shifts $600 mln to taxpayer , * Company says bid had to be aggressive and responsible,normal
BAH,Booz Allen Hamilton Holding Corporation,20110712,REFILE-UPDATE 1-Booz Allen confirms hacking attack , July 12 Government consultancy firm Booz Allen Hamilton Holding Corp confirmed that its computer systems came under a hacking attack on Monday  and that it was reviewing the nature and extent of the attack.,topStory
BP,BP plc,20110712,U.S. cash crudes -HLS trades over $1 higher than LLS ,NEW YORK  July 12 Heavy Louisiana Sweet traded more than $1 higher than Light Louisiana Sweet  a rare occurrence  traders said on Tuesday.,topStory
BP,BP plc,20110712,U.S. cash crudes - LLS lags heavier  sourer grades , NEW YORK  July 12 Thunder Horse light sour and Heavy Louisiana Sweet held a premium over U.S. Gulf Coast benchmark Light Louisiana Sweet on Tuesday  traders said.,normal
BP,BP plc,20110712,UPDATE 4-Infosys cautious on outlook after Q1 disappoints , * Q1 profit 17.22 bln rupees vs 17.29 bln rupees in Reuters poll,normal
BP,BP plc,20110712,Australian carbon hedging limited until climate policy law ,SYDNEY Australia's government is confident parliament will pass its carbon tax scheme within months  but financial institutions and carbon traders say the risk of it again being rejected will leave firms reluctant to hedge by buying carbon offset units.,normal
BP,BP plc,20110712,Australian carbon hedging limited until climate policy law , * Risk proposed carbon tax does not become law limits domestic hedging,normal
BP,BP plc,20110712,RPT-Infosys Q1 net rises 15.4 pct  narrowly misses estimates , MYSORE  India  July 12 Infosys Ltd   India's No. 2 software services exporter  reported a 15.4 percent rise in fiscal first-quarter profit  narrowly missing expectations as a surge in wages offset strong demand from western clients.,normal
BP,BP plc,20110712,Infosys Q1 net rises 15.4 pct  narrowly misses estimates , MYSORE  India  July 12 Infosys Ltd   India's No. 2 software services exporter  reported a 15.4 p ercent rise in fiscal first-quarter profit  narrowly missing expectations as a surge in wages offset strong demand from western clients.,normal
BAK,Braskem SA,20110712,BRIEF-Moody's: Latin America corporates see funding risk retreat , * Moody's: Latin America Corporates See Funding Risk Retreat as Economic Conditions Improve,topStory
BRFS,BRF SA,20110712,STXNEWS LATAM-Brasil Foods shares jump on merger accord hopes , Shares of Brazilian processed foods maker Brasil Foods  jumped 4 percent on Tuesday as local media reported the company was near an agreement with antitrust agency Cade.,topStory
BRFS,BRF SA,20110712,SCENARIOS-Brazil regulators ponder Brasil Foods merger , * Shares may rise if Cade approves merger with conditions,normal
BRFS,BRF SA,20110712,Brazil  BRFoods near accord to uphold merger-report , SAO PAULO  July 12 Food processor Brasil Foods  will likely suspend the use of a flagship brand temporarily and sell 20 percent of production to competitors  to avert a government break-up of the company  O Estado de S. Paulo newspaper reported on Tuesday.,normal
BT,BT Group plc,20110712,UPDATE 4-Infosys cautious on outlook after Q1 disappoints , * Q1 profit 17.22 bln rupees vs 17.29 bln rupees in Reuters poll,topStory
BT,BT Group plc,20110712,RPT-Infosys Q1 net rises 15.4 pct  narrowly misses estimates , MYSORE  India  July 12 Infosys Ltd   India's No. 2 software services exporter  reported a 15.4 percent rise in fiscal first-quarter profit  narrowly missing expectations as a surge in wages offset strong demand from western clients.,normal
BT,BT Group plc,20110712,Infosys Q1 net rises 15.4 pct  narrowly misses estimates , MYSORE  India  July 12 Infosys Ltd   India's No. 2 software services exporter  reported a 15.4 p ercent rise in fiscal first-quarter profit  narrowly missing expectations as a surge in wages offset strong demand from western clients.,normal
CPB,Campbell Soup Company,20110712,Campbell adds salt to spur soup sales ,CAMDEN  New Jersey Campbell Soup Co's  incoming CEO Denise Morrison is bringing back the salt as she tries to entice people to buy more soup.,topStory
CPB,Campbell Soup Company,20110712,UPDATE 5-Campbell adds salt to spur soup sales , * Shares rise 1.3 percent  (Adds executive comments from interview),normal
CNQ,Canadian Natural Resources Limited,20110712,RPT-Canada crude-Heavy discount shrinks on steady demand , CALGARY  Alberta  July 12 Canadian heavy oil prices have climbed against a backdrop of steady demand with the restart of refinery capacity that had been down for maintenance  industry sources said on Tuesday.,topStory
COF,Capital One Financial Corporation,20110712,ING contests European Commission restructuring terms , * ING may seek better terms for insurance IPOs  bank unit,topStory
CBS,CBS Corporation,20110712,Analysis: Investors call for Murdoch to dump his first love ,NEW YORK About 18 months ago  one of News Corp's leading shareholders had a meeting with Rupert Murdoch and his son James  and implored them to get rid of the newspaper business that has long been a drag on the company's stock price.,topStory
CHK,Chesapeake Energy Corporation,20110712,Clean Energy hits 2-month high on Chesapeake investment ,BANGALORE Shares of Clean Energy Fuels Corp rose 16 percent after Chesapeake Energy Corp said on Monday it plans to invest $150 million in Clean Energy to fund the development of nearly 150 liquefied natural gas (LNG) truck fueling stations.,topStory
CVX,Chevron Corporation,20110712,UPDATE 1-Chevron says expect to start Liberia drilling in Q4 , * Neighbouring Sierra Leone has found oil   (adds details  background),topStory
CVX,Chevron Corporation,20110712,Chevron says expect to start Liberia drilling in Q4 , MONROVIA  July 12 Chevron Corp said on Tuesday it expects to start drilling its first deepwater well off the coast of Liberia in the fourth quarter of this year in its three deepwater concessions.,normal
CEA,China Eastern Airlines Corporation Ltd,20110712,UPDATE 3-China reforms jet fuel pricing; precursor to motor fuels , * Potentially a tool for airliners to control cost   (Adds airline executive's comment  details),topStory
CEA,China Eastern Airlines Corporation Ltd,20110712,UPDATE 2-China revamps jet fuel pricing ahead of motor fuel , * Potentially a tool for airliners to control cost   (Adds details of new mechanism  impact on airlines),normal
CHL,China Mobile (Hong Kong) Ltd,20110712,PRESS DIGEST - Wall Street Journal - July 12 , July 12 The following were the top stories in The Wall Street Journal on Tuesday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
CI,Cigna Corporation,20110712,Insurer Cigna moving headquarters to Connecticut , NEW YORK  July 12 Cigna Corp  is moving its corporate headquarters to Bloomfield  Connecticut  from Philadelphia and is receiving $50 million in state incentives to create more jobs in the state  the company said on Tuesday.,topStory
C,Citigroup Inc,20110712,S&P says Dodd-Frank doesn't end "too big to fail" , * Power designed to remove idea some firms too big to fail,topStory
C,Citigroup Inc,20110712,UBS hires Morgan Stanley Smith Barney executive , * UBS nabs MSSB brokerage executive for Santa Rosa office,normal
C,Citigroup Inc,20110712,Sri Lanka's CPC to appeal against London oil hedge ruling , COLOMBO  July 12 Sri Lanka's state-run oil firm will appeal against a London court ruling that it owes nearly $162 million plus interest for non-payment of dues linked to hedging deals  Ceylon Petroleum Corporation (Ceypetco) said on Tuesday.,normal
C,Citigroup Inc,20110712,NYC to sell $515 mln of tax-free debt on July 20 , NEW YORK  July 12 New York City plans to sell $515 million of tax-free bonds on July 20 with Citigroup  serving as the lead underwriter  the Office of Management and Budget said in a statement on Tuesday.,normal
C,Citigroup Inc,20110712,US STOCKS-Futures bounce off lows but point to weak Wall St , * Futures off: Dow 17 pts  S&P 3.4 pts  Nasdaq 3 pts,normal
C,Citigroup Inc,20110712,UPDATE 2-First Gulf Bank sets up new $3.5 bln sukuk programme , DUBAI  July 12 Abu Dhabi's First Gulf Bank  (FGB) has set up a new $3.5 billion Islamic bond programme  a London Stock Exchange filing showed  paving the way for the lender's first sukuk sale.,normal
C,Citigroup Inc,20110712,US STOCKS-Wall St set to tumble as global markets roiled , * Futures off: Dow 111 pts  S&P 15.1 pts  Nasdaq 19.75 pts,normal
C,Citigroup Inc,20110712,US STOCKS-Wall St set to slump as global markets roiled , * Futures off: Dow 84 pts  S&P 12.6 pts  Nasdaq 19.25 pts,normal
C,Citigroup Inc,20110712,First Gulf Bank sets up $3.5 bln Islamic bond program - filing , DUBAI  July 12 Abu Dhabi's First Gulf Bank  has set up a $3.5 billion Islamic bond program  a prospectus published on the London Stock Exchange showed  paving the way for the lender's first sukuk sale.,normal
C,Citigroup Inc,20110712,Egypt's Citadel appoints Citigroup as adviser , CAIRO  July 12 Egyptian private equity firm Citadel Capital  has appointed Citigroup Inc  as a financial adviser  Citadel said in a letter to the stock exchange on Tuesday.,normal
CEO,CNOOC Limited,20110712,UPDATE 1-CNOOC shuts Suizhong 36-1 field after oil leak , (Adds company confirmation of field closure)	  (Adds detail),topStory
CEO,CNOOC Limited,20110712,CNOOC's Suizhong 36-1 oilfield shut -Xinhua , BEIJING  July 12 CNOOC Ltd's Suizhong 36-1 oilfield in the northern Bohai Bay was shut down due to an unspecified problem at the oilfield's central platform  the official Xinhua News Agency reported on Tuesday.,normal
KOF,Coca Cola Femsa SAB de CV,20110712,DIARY - Mexico and Central America - to July 30 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. _______________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST   PREV --------------------------------------------------------------- JUL12 0800/1400  industrial prod (m/m)      May    +0.30  -0.1 pct JUL12 0800/1400  gross fixed invest (m/m)   Apr           -0.6 pct,topStory
KO,Coca-Cola Company (The),20110712,UPDATE 1-Novartis eyes international board listing in China-sources , * Novartis has consulted Chinese government on IPO-sources,topStory
KO,Coca-Cola Company (The),20110712,Novartis eyes international board listing in China-sources , SHANGHAI  July 12 Swiss drugmaker Novartis AG   is considering a possible initial public offering in China  joining a growing list of multinationals interested in selling yuan-denominated shares in Shanghai  two people with knowledge of the situation said.,normal
CDE,Coeur Mining Inc,20110712,UPDATE 1-Soltoro to raise $4.5 mln via private placement , * Coeur d'alene to buy 4.5 mln shrs of Soltoro for $1 per shr,topStory
CBD,Companhia Brasileira de Distribuicao,20110712,Brazil retail merger plan in tatters ,LONDON/PARIS Tycoon Abilio Diniz's plan to merge Carrefour's  Brazilian arm with local retailer Pao de Acucar (GPA) seemed in tatters on Tuesday after Brazil officially withdrew its backing and his partner Casino  officially voted against the deal.,topStory
CBD,Companhia Brasileira de Distribuicao,20110712,UPDATE 5-Brazil retail merger plan in tatters , * GPA's controlling shareholder Casino rejects the plan,normal
CBD,Companhia Brasileira de Distribuicao,20110712,Brazil BTG Pactual suspends retail merger plan , SAO PAULO  July 12 Brazil's BTG Pactual temporarily suspended on Tuesday a proposal for a merger between retailer Pao de Acucar and the local unit of France's Carrefour  according to an statement sent by e-mail from BTG's media relations consultant.   (Reporting by Cesar Bianconi; editing by Andre Grenon),normal
CBD,Companhia Brasileira de Distribuicao,20110712,Casino board opposes proposed Brazil deal , PARIS  July 12 The board of French retailer Casino  said a plan proposed by its Brazil partner to merge its assets in the country with those of rival Carrefour  was flawed  risky and against shareholder interests.,normal
CBD,Companhia Brasileira de Distribuicao,20110712,UPDATE 3-Brazil backs away from Pao de Acucar deal , * Carrefour  Pao de Acucar proposal draws Casino protests,normal
COP,ConocoPhillips,20110712,UPDATE 2-Bangladesh exports hit record on apparel sales , * Slowdown in key western markets could hurt exports   (Add targets),topStory
ED,Consolidated Edison Inc,20110712,FACTBOX-U.S./Canada peak power demand records , July 12 Power grid operators in the U.S. Northeast said they have enough power resources to meet expected high demand on Tuesday as consumers crank up their air conditioners to escape a brief heat wave.,topStory
ED,Consolidated Edison Inc,20110712,U.S. Northeast power grids ready for heatwave , * NYPA activates demand response program in New York City,normal
CMI,Cummins Inc,20110712,UPDATE 1-Cummins CEO Solso retires; COO to take over , July 12 Cummins Inc's chief operating officer Tom Linebarger will take over as the chief executive of the company after Tim Solso retires from the top post.,topStory
CVI,CVR Energy Inc,20110712,US Cash Products-Gasoline weakens despite refinery woes , * Colonial Line 2 Cycle 41 allocation hits NY ULSD market,topStory
CVI,CVR Energy Inc,20110712,US Cash Products-Gasoline weakens despite refinery woes , * Colonial Line 2 Cycle 41 allocation hits NY ULSD market,normal
CVS,CVS Health Corporation,20110712,Dahlman Rose bullish on value retail ,Bangalore Discount retailing is likely to stay popular with consumers  who remain pressured by high unemployment  rising prices  low wage growth and a difficult housing market  Dahlman Rose & Co said  starting Wal-Mart Stores Inc  and Target Corp  with a "buy" rating.,topStory
DRI,Darden Restaurants Inc,20110712,Obama holding lunch mtg with business execs on jobs , WASHINGTON  July 12 President Barack Obama was holding a lunch meeting on Tuesday with four business leaders to discuss ideas for growing the economy and creating jobs  the White House said.,topStory
DF,Dean Foods Company,20110712,UPDATE 1-Dean Foods to settle Tennessee farmer lawsuit , July 12 Dean Foods Co  has agreed to settle a class action lawsuit brought by dairy farmers in Southeastern states for $140 million.,topStory
DB,Deutsche Bank AG,20110712,ADR Report-Euro zone debt fears pressure European banks , NEW YORK  July 12 U.S.-listed shares of European banks fell on Tuesday after euro zone finance ministers acknowledged the possibility of accepting a Greek default  underscoring the severity of the region's debt concerns.,topStory
DB,Deutsche Bank AG,20110712,UPDATE 1-Deutsche Bank succession not decided -board member , FRANKFURT  July 12 The issue of deciding a successor to Deutsche Bank AG  Chief Executive Josef Ackermann has not yet been finalised  supervisory board member Marlehn Thieme said on Tuesday.,normal
DB,Deutsche Bank AG,20110712,Deutsche Bank succession not decided -board member , FRANKFURT  July 12 Deutsche Bank  supervisory board member Marlehn Thieme on Tuesday said the issue of deciding a successor to Chief Executive Josef Ackermann has not yet been finalised.  "As long as there is no proposal  there is no declsion " Thieme told Reuters  saying she was not aware of any formal preselection or preliminary decision to find a successor to Ackermann  whose contract runs until 2013.,normal
DB,Deutsche Bank AG,20110712,Sri Lanka's CPC to appeal against London oil hedge ruling , COLOMBO  July 12 Sri Lanka's state-run oil firm will appeal against a London court ruling that it owes nearly $162 million plus interest for non-payment of dues linked to hedging deals  Ceylon Petroleum Corporation (Ceypetco) said on Tuesday.,normal
