AKAM,Akamai Technologies Inc,20111012,UPDATE 1-Akamai shares surge on Google deal report ,* Akamai a long-running subject of takeover rumors-analyst,topStory
HAL,Halliburton Company,20111012,U.S. sanctions BP  contractors for Gulf oil spill ,WASHINGTON  Oct 12 The U.S. offshore drilling regulator on Wednesday formally issued sanctions against BP   Transocean and Halliburton for their roles in last year's massive Gulf oil spill.,normal
HMC,Honda Motor Company Ltd,20111012,UPDATE 2-Honda's Thai factory shut as floods hit Japan firms ,* Honda worst hit of Japan automakers  unsure when it can reopen,topStory
HMC,Honda Motor Company Ltd,20111012,Nikkei snaps 3-day rally  Thai flood damage hurts autos ,TOKYO The Nikkei average snapped a three-session winning streak on Wednesday on lingering worries over the global economy and as floods in Thailand shut factories run by Honda and many other Japanese manufacturers.,normal
HMC,Honda Motor Company Ltd,20111012,Nikkei snaps 3-day rally  Thai flood damage hurts autos ,* Honda  Nikon  Pioneer  insurers slide on Thai flooding     * Benchmark remains above 25-day moving average     * Alcoa earnings raise concerns on debt crisis impact     * Shippers jump on buyback  rise in Baltic Index      By Hideyuki Sano	     TOKYO  Oct 12 The Nikkei average snapped a three-session winning streak on Wednesday on lingering worries over the global economy and as floods in Thailand shut factories run by Honda and many other Japanese manufacturers.	     Although spec,normal
HMC,Honda Motor Company Ltd,20111012,Nikkei snaps 3-day rally on Thai flood damage  Alcoa ,TOKYO  Oct 12 The Nikkei average snapped a three-session winning streak on Wednesday  with stocks including Honda Motor sliding on flood-damage to their Thai factories  and after Alcoa's results suggested Europe's debt crisis would weigh on corporate earnings.	     The Nikkei benchmark fell 0.4 percent to 8 738.90  though it trimmed losses a tad on a rebound in Chinese shares and stayed above the 25-day moving average around 8 637.	     The broader Topix index fell 0.2 percent to 753,normal
HMC,Honda Motor Company Ltd,20111012,Nikkei trims losses but sentiment remains frail ,* Benchmark remains above its 25-day moving average     * Honda  Nikon  Pioneer slide on Thai flooding     * Alcoa earning raises concerns on debt crisis impact      By Lisa Twaronite and Hideyuki Sano	     TOKYO  Oct 12 The Nikkei average trimmed losses in afternoon trade on Wednesday on buying in futures but looked likely to snap a three-session winning streak after Alcoa's results suggested Europe's debt crisis would weigh on corporate earnings.	     Shares of Honda Motor and othe,normal
HMC,Honda Motor Company Ltd,20111012,REFILE-Nikkei slips on Thai flood damage  Alcoa results ,* Benchmark remains above its 25-day moving average     * Honda  Nikon  Pioneer slide on Thai flooding     * Investors await Slovak approval of Europe fund expansion      By Lisa Twaronite	     TOKYO  Oct 12 The Nikkei average was set to snap a three-session winning streak on Wednesday  with stocks like Honda Motor   sliding on flood-damage to their Thai factories and after Alcoa's results suggested Europe's debt crisis would weigh on corporate earnings.	     With memories of the sup,normal
HPQ,HP Inc,20111012,HP expands PC lead  Lenovo No. 2 for 1st time ,Hewlett-Packard Co's personal computer shipments grew 5.3 percent in the third quarter  while China's Lenovo overtook Dell to become the world's No. 2 PC maker for the first time  according to data from two influential research firms.,topStory
HPQ,HP Inc,20111012,UPDATE 1-HP expands PC lead  Lenovo No. 2 for 1st time ,Oct 12 Hewlett-Packard Co's personal computer shipments grew 5.3 percent in the third quarter  while China's Lenovo overtook Dell to become the world's No. 2 PC maker for the first time  according to data from two influential research firms.,normal
HPQ,HP Inc,20111012,HP expands PC sales lead  Lenovo No. 2 -Gartner ,Oct 12 Hewlett-Packard Co's personal computer shipments grew 5.3 percent in the third quarter  while China's Lenovo overtook Dell to become the world's No. 2 PC maker for the first time  Gartner data showed.,normal
INFY,Infosys Limited,20111012,UPDATE 4-Infosys Q2 profit up  outlook eases market worries ,* Q2 profit 19.06 bln rupees vs 18.91 bln rupees in Reuters poll,topStory
INFY,Infosys Limited,20111012,Indian shares jump on Infosys results; IT  banks lead ,* Sensex ends at three-week closing high     * Infosys closes up 7 pct  leads IT stock gains     * Market shrugs off poor industrial growth data   (Updates to close)	     By Henry Foy	     MUMBAI  Oct 12 Indian shares ended up 2.6 percent on Wednesday to their highest close in over three weeks as investors cheered results from IT industry bellwether Infosys  and shrugged off data suggesting growth in Asia's third-largest economy was losing steam.	     Strong revenue growth from India,normal
INFY,Infosys Limited,20111012,Infosys CFO: Europe's sovereign debt crisis a big issue ,BANGALORE  Oct 12 Infosys Ltd's chief financial officer said on Wednesday a slowdown in the United States and European economies can affect client spending and the sovereign debt crisis in Europe is a "big issue".,normal
INFY,Infosys Limited,20111012,CORRECTED-Infosys shares up 3.6 pct in preopen after results ,MUMBAI  Oct 12 Shares in Infosys Ltd   India's No. 2 software services exporter  rose 3.6 percent to 2 595 rupees in preopen trade after the software bellwether reported a 9.7 percent rise in quarterly profit  roughly in line with expectations.,normal
INFY,Infosys Limited,20111012,CORRECTED-Infosys Q2 net rises 9.7 pct  roughly in line with f'cast ,BANGALORE  Oct 12 Infosys Ltd   India's No. 2 software services exporter  reported a 9.7 percent   rise in quarterly profit  roughly in line with expectations  as a weak rupee boosted margins  .,normal
INFY,Infosys Limited,20111012,Indian shares rise 0.8 pct early  Infosys leads ,MUMBAI  Oct 12 Indian shares rose 0.8 percent in early trade on Wednesday  lead by software services giant Infosys   after the industry bellwether reported a rise in profit roughly in line with market expectations to kick off India's quarterly earnings season.,normal
JPM,J P Morgan Chase & Co,20111012,Relativity studio boss faces dilemma with "Immortals" ,LOS ANGELES (TheWrap.com) - Whatever happened to Ryan Kavanaugh?,topStory
JPM,J P Morgan Chase & Co,20111012,New Issue- Toronto-Dominion Bank sells $1.5 bln notes ,Oct 12 Toronto-Dominion Bank   on Wednesday sold $1.5 billion of senior unsecured notes  said IFR  a Thomson Reuters service.       Citigroup  Goldman Sachs  JP Morgan  and TD Bank were the joint bookrunning managers for the sale. BORROWER: THE TORONTO-DOMINION BANK AMT $1.5 BLN      COUPON 2.375 PCT    MATURITY 10/19/2016 TYPE SR NTS       ISS PRICE 99.444    FIRST PAY 4/19/2012 MOODY'S Aaa       YIELD 2.494 PCT     SETTLEMENT 10/19/2011 S&P AA-MINUS      SPREAD 135 BPS      PAY FRE,normal
JPM,J P Morgan Chase & Co,20111012,UPDATE 1-Wall St. office cleaners join march for better jobs ,NEW YORK  Oct 12 Hundreds of office cleaners and guards marched on Wednesday near Wall Street demanding good jobs and protesting economic inequality  while a smaller group of demonstrators rallied at JPMorgan Chase's skyscraper.,normal
JPM,J P Morgan Chase & Co,20111012,Anti-Wall St. protesters focus on JPMorgan Chase ,* Global Occupy Wall Street-inspired protests on Saturday,normal
JCP,JC Penney Company Inc Holding Company,20111012,Claiborne sheds brands to cut debt; shares soar ,Liz Claiborne Inc  plans to sell its namesake brand and other lines and slash its debt by nearly two-thirds  sending it shares up as much as 42 percent on Wednesday by calming investor concerns about its debt load.,topStory
JCP,JC Penney Company Inc Holding Company,20111012,UPDATE 4-Claiborne sheds brands to cut debt; shares soar ,Oct 12 Liz Claiborne Inc plans to sell its namesake brand and other lines and slash its debt by nearly two-thirds  sending it shares up as much as 42 percent on Wednesday by calming investor concerns about its debt load.,normal
JCI,Johnson Controls International plc,20111012,UPDATE 4-Johnson Controls sees profits up by 20 pct in 2012 ,NEW YORK  Oct 12 Johnson Controls Inc  said on Wednesday it expected profits to increase by 20 percent in its 2012 fiscal year despite weaker-than-expected economic growth and auto production  and its shares rose about 5.8 percent.,topStory
KB,KB Financial Group Inc,20111012,Seoul shares open slightly lower; banks slip ,SEOUL  Oct 12 Seoul shares edged down on Wednesday after four consecutive sessions of gains and as investors remained tuned to news from the euro zone.,topStory
KSS,Kohl&#39;s Corporation,20111012,New Issue-Kohl's sells $650 mln in notes ,Oct 12 Kohl's Corp on Wednesday sold $650 million of senior unsecured notes  said IFR  a Thomson Reuters service.       Bank of America Merrill Lynch  Morgan Stanley and Wells Fargo were the joint bookrunning managers for the sale. BORROWER: KOHLS CORPORATION AMT $650 MLN      COUPON 4.00 PCT     MATURITY 11/01/2021 TYPE SR NTS       ISS PRICE 99.451    FIRST PAY 5/01/2012 MOODY'S Baa1      YIELD 4.067         SETTLEMENT 10/17/2011 S&P BBB-PLUS      SPREAD 183 BPS      PAY FREQ SEMI-,topStory
MA,Mastercard Incorporated,20111012,ATM group sues Visa  MasterCard over price fixing ,Oct 12 A group representing operators of automated teller machines filed a lawsuit against Visa  and MasterCard alleging that the credit and debit card issuers violated antitrust laws by fixing the price of ATM access fees.,topStory
MRK,Merck & Company Inc,20111012,Australian court backs Merck's Vioxx case on appeal ,MELBOURNE  Oct 12 The Australian arm of Merck & Co won its appeal against compensation awarded to a user of its recalled drug Vioxx  though lawyers for the plaintiff said the ruling did not shut the door on action by other class members.,topStory
MET,MetLife Inc,20111012,UPDATE 2-MetLife considers selling mortgage business ,Oct 12 MetLife Inc   the largest U.S. life insurance company  said on Wednesday it might sell its traditional mortgage lending business.,topStory
MET,MetLife Inc,20111012,UPDATE 1-Two life insurers meet systemic criteria-analyst ,Oct 12 Only two life insurers -- MetLife Inc and Prudential Financial Inc -- meet new requirements to be considered "systemic" and regulated as such  KBW analysts said on Wednesday.,normal
MCO,Moody&#39;s Corporation,20111012,New Issue- Toronto-Dominion Bank sells $1.5 bln notes ,Oct 12 Toronto-Dominion Bank   on Wednesday sold $1.5 billion of senior unsecured notes  said IFR  a Thomson Reuters service.       Citigroup  Goldman Sachs  JP Morgan  and TD Bank were the joint bookrunning managers for the sale. BORROWER: THE TORONTO-DOMINION BANK AMT $1.5 BLN      COUPON 2.375 PCT    MATURITY 10/19/2016 TYPE SR NTS       ISS PRICE 99.444    FIRST PAY 4/19/2012 MOODY'S Aaa       YIELD 2.494 PCT     SETTLEMENT 10/19/2011 S&P AA-MINUS      SPREAD 135 BPS      PAY FRE,topStory
MCO,Moody&#39;s Corporation,20111012,New Issue-EIB adds 50 mln stg to 2044 bond ,Underlying govt bond    over the 4.25 pct December 2046 UKT,normal
MCO,Moody&#39;s Corporation,20111012,New Issue-BNG adds 75 mln stg to 2013 bond ,Underlying govt bond    Over the 4.50 pct March 2013 Gilt,normal
MCO,Moody&#39;s Corporation,20111012,New Issue-EIB adds 750 mln NOK to 2017 bond ,Full fees               1.875 pct ( 0.275 pct M&U  1.6 pct Selling),normal
MS,Morgan Stanley,20111012,New Issue-Kohl's sells $650 mln in notes ,Oct 12 Kohl's Corp on Wednesday sold $650 million of senior unsecured notes  said IFR  a Thomson Reuters service.       Bank of America Merrill Lynch  Morgan Stanley and Wells Fargo were the joint bookrunning managers for the sale. BORROWER: KOHLS CORPORATION AMT $650 MLN      COUPON 4.00 PCT     MATURITY 11/01/2021 TYPE SR NTS       ISS PRICE 99.451    FIRST PAY 5/01/2012 MOODY'S Baa1      YIELD 4.067         SETTLEMENT 10/17/2011 S&P BBB-PLUS      SPREAD 183 BPS      PAY FREQ SEMI-,topStory
MS,Morgan Stanley,20111012,Massachusetts asks banks for recruiting details: report ,The top financial regulator in Massachusetts has asked many of Wall Street's biggest banks for more information on their hedge fund recruiting services  the New York Times said on Tuesday.,normal
MS,Morgan Stanley,20111012,Massachusetts asks banks for recruiting details-report ,Oct 12 The top financial regulator in Massachusetts has asked many of Wall Street's biggest banks for more information on their hedge fund recruiting services  the New York Times said on Tuesday.,normal
MSI,Motorola Solutions Inc,20111012,Robert Galvin  long-time CEO of Motorola  dies ,Oct 12 Robert Galvin  89 -- a long-time chief executive of Motorola  the telecommunications company that created the first cellphone -- has died.,topStory
NYT,New York Times Company (The),20111012,Abramson embraces top NY Times role - and her puppy ,NEW YORK As the first female executive editor of The New York Times in the newspaper's 160-year history  Jill Abramson is at the pinnacle of the media world.,topStory
NMR,Nomura Holdings Inc ADR,20111012,Bain to buy Japan restaurant chain for $3.4 billion: source ,TOKYO U.S. private equity firm Bain Capital is close to finalizing a $3.4 billion deal to buy restaurant chain Skylark from a unit of Nomura Holdings   a source with knowledge of the matter said  in the largest buyout in Japan since the financial crisis.,topStory
NMR,Nomura Holdings Inc ADR,20111012,UPDATE 2-Bain to buy Japan restaurant chain for $3.4 bln -source ,* Bain in talks with Nomura Principal to close deal this month,normal
PJH,Prudential Financial Inc,20111012,UPDATE 1-Two life insurers meet systemic criteria-analyst ,Oct 12 Only two life insurers -- MetLife Inc and Prudential Financial Inc -- meet new requirements to be considered "systemic" and regulated as such  KBW analysts said on Wednesday.,topStory
PRH,Prudential Financial Inc,20111012,UPDATE 1-Two life insurers meet systemic criteria-analyst ,Oct 12 Only two life insurers -- MetLife Inc and Prudential Financial Inc -- meet new requirements to be considered "systemic" and regulated as such  KBW analysts said on Wednesday.,topStory
PRU,Prudential Financial Inc,20111012,UPDATE 1-Two life insurers meet systemic criteria-analyst ,Oct 12 Only two life insurers -- MetLife Inc and Prudential Financial Inc -- meet new requirements to be considered "systemic" and regulated as such  KBW analysts said on Wednesday.,topStory
RJF,Raymond James Financial Inc,20111012,UPDATE 1-Armstrong Energy files for IPO of up to $69 mln ,Oct 12 Armstrong Energy Inc filed with U.S. regulators on Wednesday to raise up to $69 million in an initial public offering of common stock.,topStory
RY,Royal Bank Of Canada,20111012,New Issue-BNG adds 75 mln stg to 2013 bond ,Underlying govt bond    Over the 4.50 pct March 2013 Gilt,topStory
CRM,Salesforcecom Inc,20111012,Salesforce "cloud" veteran heads to Benchmark Capital ,Venture capital firm Benchmark Capital has selected Salesforce.com's Craig Weissman as its new entrepreneur-in-residence  demonstrating a continuing interest in technology surrounding big data and the "cloud.",topStory
CRM,Salesforcecom Inc,20111012,Salesforce 'cloud' veteran heads to Benchmark Capital ,Oct 12 Venture capital firm Benchmark Capital has selected Salesforce.com's Craig Weissman as its new entrepreneur-in-residence  demonstrating a continuing interest in technology surrounding big data and the "cloud.",normal
SLG,SL Green Realty Corporation,20111012,Exclusive: Y&R may be big tenant at 3 Columbus Circle ,Advertising company Young & Rubicam has reached a preliminary agreement to lease 300 000 square feet to become the major tenant at New York's 3 Columbus Circle in one of the city's biggest leasing deals this year  according to a source familiar with the situation.,topStory
SNE,Sony Corp Ord,20111012,After reviewing bids  Citi looks to sell EMI in pieces - sources ,* KKR/BMG consortium  Sony vie for EMI publishing business,topStory
SNE,Sony Corp Ord,20111012,Sony TV unit suffers fresh blow with faulty sets ,TOKYO Electronics giant Sony Corp suffered a fresh blow on Wednesday after several of its Bravia LCD televisions sets emitted smoke or parts began to melt  a company official said on Wednesday.,normal
SNE,Sony Corp Ord,20111012,UPDATE 2-Sony TV unit suffers fresh blow with faulty sets ,* Bravia sets to be inspected were sold mostly in Europe  U.S.,normal
SNE,Sony Corp Ord,20111012,Sony says to recall 1.6 mln LCD TVs globally ,TOKYO  Oct 12 Sony Corp will recall 1.6 million LCD televisions worldwide after several incidents of TV sets emitting smoke  a company official said on Wednesday.,normal
SNE,Sony Corp Ord,20111012,CORRECTED-Sony says to recall 1.6 mln LCD TVs globally ,TOKYO  Oct 12 Sony Corp will recall 1.6 million LCD televisions worldwide after several incidents of TV sets emitting smoke and parts melting  a company official said on Wednesday.,normal
SNE,Sony Corp Ord,20111012,Sony: third party tried to access 93 000 online accounts ,TOKYO Sony said on Wednesday that a third party had tried to sign in to 93 000 active accounts on its PlayStation and other networks this month.,normal
SF,Stifel Financial Corporation,20111012,UPDATE 1-Cempra Holdings files for IPO of up to $86 mln ,* Stifel  Leerink  Cowen  Needham underwriters to offering,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20111012,TSMC sees weak global economic growth over next year ,TAIPEI  Oct 12 TSMC   the world's top contract chip maker  expects weak growth in the global economy over the next 12 months  its chairman said on Wednesday.,topStory
TGP,Teekay LNG Partners LP,20111012,UPDATE 2-Maersk sells LNG unit to Teekay and Marubeni ,COPENHAGEN/BANGALORE  Oct 12 Global maritime transport group Teekay LNG and Japanese trading company Marubeni Corp have agreed to buy Danish shipping group A.P. Moller-Maersk's liquefied natural gas (LNG) shipping unit.,topStory
THG,The Hanover Insurance Group Inc,20111012,UPDATE 1-Hanover Insurance sees Q3 loss ,* Expects Q3 catastrophe losses of $110-$115 million before taxes,topStory
THGA,The Hanover Insurance Group Inc,20111012,UPDATE 1-Hanover Insurance sees Q3 loss ,* Expects Q3 catastrophe losses of $110-$115 million before taxes,topStory
TD,Toronto Dominion Bank (The),20111012,New Issue- Toronto-Dominion Bank sells $1.5 bln notes ,Oct 12 Toronto-Dominion Bank   on Wednesday sold $1.5 billion of senior unsecured notes  said IFR  a Thomson Reuters service.       Citigroup  Goldman Sachs  JP Morgan  and TD Bank were the joint bookrunning managers for the sale. BORROWER: THE TORONTO-DOMINION BANK AMT $1.5 BLN      COUPON 2.375 PCT    MATURITY 10/19/2016 TYPE SR NTS       ISS PRICE 99.444    FIRST PAY 4/19/2012 MOODY'S Aaa       YIELD 2.494 PCT     SETTLEMENT 10/19/2011 S&P AA-MINUS      SPREAD 135 BPS      PAY FRE,topStory
TD,Toronto Dominion Bank (The),20111012,AltaGas sells C$200 mln note - term sheet ,Oct 12 AltaGas Ltd on Wednesday sold C$200 million ($196 million) of notes due Jan. 17  2019  according to a term sheet seen by Reuters.,normal
TM,Toyota Motor Corp Ltd Ord,20111012,UPDATE 2-Honda's Thai factory shut as floods hit Japan firms ,* Honda worst hit of Japan automakers  unsure when it can reopen,topStory
TM,Toyota Motor Corp Ltd Ord,20111012,Toyota says to halt Thai plants through Oct 15 ,TOKYO  Oct 12 Toyota Motor Corp said on Wednesday it would halt production at all three of its assembly plants in Thailand at least until Oct. 15 due to a disruption to the supply of parts from the deadly floods.,normal
RIG,Transocean Ltd,20111012,UPDATE 2-U.S. sanctions BP  contractors for Gulf oil spill ,WASHINGTON  Oct 12 The U.S. offshore drilling regulator on Wednesday formally issued sanctions against BP and the major contractors involved in the 2010 explosion on the Deepwater Horizon rig that killed 11 workers and spewed more than 4 million barrels of oil into the Gulf of Mexico.,topStory
RIG,Transocean Ltd,20111012,U.S. sanctions BP  contractors for Gulf oil spill ,WASHINGTON  Oct 12 The U.S. offshore drilling regulator on Wednesday formally issued sanctions against BP   Transocean and Halliburton for their roles in last year's massive Gulf oil spill.,normal
RIG,Transocean Ltd,20111012,Deepwater Horizon rig not leaking oil: probe ,HOUSTON No oil is leaking from the sunken Deepwater Horizon drilling rig or pipe around the vessel  its owner Transocean said on Wednesday.,normal
TKC,Turkcell Iletisim Hizmetleri AS,20111012,Turkcell EGM not to vote on board changes-assn ,ISTANBUL  Oct 12 An extraordinary general meeting of Turkcell   Turkey's biggest cell network operator  will not vote on proposed changes in its management board on Wednesday  Turkish Shareholders Association (BORYAD) Chairman Ali Bahcuvan told reporters at the meeting.,topStory
TKC,Turkcell Iletisim Hizmetleri AS,20111012,Teliasonera welcomes Turkish board member decision ,ISTANBUL  Oct 12 The Turkish Capital Markets Board decision to raise the number of independent members on company boards as positive for Turkcell   Teliasonera  senior vice president and head of group communications Cecilia Edstrom told Reuters.,normal
UAL,United Continental Holdings Inc,20111012,UPDATE 2-United Continental sales show no recession signs ,CHICAGO  Oct 12 United Continental Holdings is not seeing signs of an imminent recession in its travel bookings even as the United States and other major economies grapple with a troubling economic outlook  the airline's chief executive said on Wednesday.,topStory
V,Visa Inc,20111012,ATM group sues Visa  MasterCard over price fixing ,Oct 12 A group representing operators of automated teller machines filed a lawsuit against Visa  and MasterCard alleging that the credit and debit card issuers violated antitrust laws by fixing the price of ATM access fees.,topStory
WMT,Wal-Mart Stores Inc,20111012,UPDATE 1-S.Africa's Woolworths sets up shop in Nigeria ,JOHANNESBURG  Oct 12 High-end South African supermarket chain Woolworths is to open three stores in Nigeria in December  its first foray into Africa's most populous nation as it counters a move into the poorest continent by the world's biggest retailer  Wal-Mart.,topStory
WFC,Wells Fargo & Company,20111012,UPDATE 1-Wells Fargo gives staff tough healthcare choices ,Oct 12 Wells Fargo & Co   one of the largest U.S. employers  plans to cut costs by moving its workers into insurance plans that encourage them to spend less on healthcare.,topStory
WFC,Wells Fargo & Company,20111012,Eleven arrested in San Francisco protest ,SAN FRANCISCO Police arrested 11 demonstrators for blocking access to Wells Fargo's corporate headquarters in San Francisco on Wednesday  and the city's famed cable cars were halted for two hours during protests against economic inequality  officials said.,normal
WFC,Wells Fargo & Company,20111012,Eleven arrested in San Francisco protest ,SAN FRANCISCO Police arrested 11 demonstrators for blocking access to Wells Fargo's corporate headquarters in San Francisco on Wednesday  and the city's famed cable cars were halted for two hours during protests against economic inequality  officials said.,normal
WFC,Wells Fargo & Company,20111012,11 arrested in San Francisco protest  organizers say ,SAN FRANCISCO Eleven protesters were arrested on Wednesday in San Francisco after shutting down all entrances to the Wells Fargo corporate headquarters downtown during a march against economic inequality  an organizer on the scene said.,normal
WFC,Wells Fargo & Company,20111012,Wells Fargo gives staff tough choices for healthcare ,Wells Fargo & Co  one of the largest U.S. employers  plans to cut costs by moving its workers into insurance plans that encourage them to spend less on healthcare.,normal
WFC,Wells Fargo & Company,20111012,New Issue-Kohl's sells $650 mln in notes ,Oct 12 Kohl's Corp on Wednesday sold $650 million of senior unsecured notes  said IFR  a Thomson Reuters service.       Bank of America Merrill Lynch  Morgan Stanley and Wells Fargo were the joint bookrunning managers for the sale. BORROWER: KOHLS CORPORATION AMT $650 MLN      COUPON 4.00 PCT     MATURITY 11/01/2021 TYPE SR NTS       ISS PRICE 99.451    FIRST PAY 5/01/2012 MOODY'S Baa1      YIELD 4.067         SETTLEMENT 10/17/2011 S&P BBB-PLUS      SPREAD 183 BPS      PAY FREQ SEMI-,normal
WFC,Wells Fargo & Company,20111012,Wells Fargo gives staff tough choices for healthcare ,* Staff to use employee-controlled accounts for healthcare,normal
WFC,Wells Fargo & Company,20111012,RPT-UPDATE 1-Wall St went bearish...just before stocks rebound ,* Biggest shift for Morgan Stanley Smith Barney since 2009,normal
WBK,Westpac Banking Corporation,20111012,TEXT: S&P Assigns Ratings To Series 2011-3 WST Trust Prime RMBS ,-- Series 2011-3 WST Trust is a securitization of prime residential mortgages originated by Westpac Banking Corp. (Westpac; AA/Stable/A-1+).,topStory
