AVAV,AeroVironment Inc,20110923,Drone makers seek out new targets ,Almost a century after the first pilot-less plane was test launched from the back of a truck in the English village of Upavon  unmanned aircraft vehicles (UAV)  or drones  are smarter  more lethal ... and seeking new growth drivers.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
FLAT,iPath US Treasury Flattener ETN,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
FLAT,iPath US Treasury Flattener ETN,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
FLAT,iPath US Treasury Flattener ETN,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
FLAT,iPath US Treasury Flattener ETN,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
FLAT,iPath US Treasury Flattener ETN,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
FLAT,iPath US Treasury Flattener ETN,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
FLAT,iPath US Treasury Flattener ETN,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
FLAT,iPath US Treasury Flattener ETN,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
STPP,iPath US Treasury Steepener ETN,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
STPP,iPath US Treasury Steepener ETN,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
STPP,iPath US Treasury Steepener ETN,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
STPP,iPath US Treasury Steepener ETN,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
STPP,iPath US Treasury Steepener ETN,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
STPP,iPath US Treasury Steepener ETN,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
STPP,iPath US Treasury Steepener ETN,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
STPP,iPath US Treasury Steepener ETN,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
MNKD,MannKind Corporation,20110923,CORRECTED-BRIEF-MannKind  FDA confirm trial design of 2 clinical studies for Afrezza , (Corrects headline to say design is for two studies  not mid-stage),topStory
MSFT,Microsoft Corporation,20110923,After Facebook event  a dot-com boom-scaled party ,SAN FRANCISCO When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,topStory
MSFT,Microsoft Corporation,20110923,After Facebook event  a dot-com boom-scaled party , SAN FRANCISCO  Sept 23 When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,normal
MSFT,Microsoft Corporation,20110923,HP names Whitman CEO  Apotheker out ,SAN FRANCISCO Hewlett-Packard Co named former eBay Inc Chief Executive Meg Whitman its president and CEO  replacing the harshly criticized Leo Apotheker in a bid to restore investor confidence in the iconic Silicon Valley company. | Video ,normal
MSFT,Microsoft Corporation,20110923,Nokia more confident on Windows Phone this year ,HELSINKI Nokia  the world's largest phone maker by volume  said on Friday it was increasingly confident its first Windows Phone would reach consumers this year.,normal
MSFT,Microsoft Corporation,20110923,Nokia more confident on Windows Phone this year , HELSINKI  Sept 23 Nokia   the world's largest phone maker by volume  said on Friday it was increasingly confident its first Windows Phone would reach consumers this year.,normal
MSFT,Microsoft Corporation,20110923,UPDATE 6-HP names Whitman CEO  Apotheker out , * Lane moves to executive chairman from non-executive role,normal
MNTA,Momenta Pharmaceuticals Inc,20110923,U.S. FDA guidance on biosimilars may be imminent , * Long-awaited rules may pave way for U.S. biosimilar market,topStory
NDAQ,Nasdaq Inc,20110923,Judge drops some claims against Madoff relatives ,NEW YORK A federal bankruptcy judge has dismissed portions of a $199 million lawsuit against close relatives of convicted Ponzi schemer Bernard Madoff  but said a trustee seeking restitution for the swindler's victims can proceed with most claims in the suit.,topStory
NDAQ,Nasdaq Inc,20110923,Judge drops some claims against Madoff relatives , NEW YORK  Sept 22 A federal bankruptcy judge has dismissed portions of a $199 million lawsuit against close relatives of convicted Ponzi schemer Bernard Madoff  but said a trustee seeking restitution for the swindler's victims can proceed with most claims in the suit.,normal
NFLX,Netflix Inc,20110923,Blockbuster offers streaming for Dish customers ,Blockbuster unveiled a video streaming service limited to Dish Network satellite subscribers  a move to better compete with movie rental giant Netflix and rival cable and satellite TV providers.,topStory
NFLX,Netflix Inc,20110923,UPDATE 4-Blockbuster offers streaming for Dish customers , * Dish shares gain 5.35 pct  Netflix shares up 0.65 pct  (Adds analyst  company comments; updates shares),normal
NFLX,Netflix Inc,20110923,Mexico's Maxcom to launch TV streaming  video ,MEXICO CITY Mexico's Maxcom Telecomunicaciones is set to launch an online video and live television rental service using a technology that allows streaming with a very low broadband speed.,normal
NFLX,Netflix Inc,20110923,Mexico's Maxcom to launch TV streaming  video , MEXICO CITY  Sept 23 Mexico's Maxcom Telecomunicaciones is set to launch an online video and live television rental service using a technology that allows streaming with a very low broadband speed.,normal
NFLX,Netflix Inc,20110923,Competitors circle around as Netflix stumbles ,LOS ANGELES Missteps by Netflix Inc have opened the door to competitors seeking to grab disgruntled customers who are looking for new options for video rentals and instant online streaming.,normal
NFLX,Netflix Inc,20110923,PREVIEW-UPDATE 1-Competitors circle around as Netflix stumbles , * Tech giants could jump in as Netflix falters  (Adds details paragraphs 3  10),normal
NFLX,Netflix Inc,20110923,Facebook builds tighter integration with music  TV ,SAN FRANCISCO Facebook unveiled new ways for users to listen to music and watch TV  offering tie-ups with the likes of Spotify and Hulu  as it attempts to make media an integral part of its social networking service. | Video ,normal
NFLX,Netflix Inc,20110923,UPDATE 4-Facebook builds tighter integration with music  TV , * Feature Timeline lets users create magazine-like profile,normal
NWSA,News Corporation,20110923,UK lawyer to start News Corp action in U.S. ,LONDON/NEW YORK The board of News Corp was threatened with legal action in the United States by a British lawyer acting for phone-hacking victims  potentially opening a new legal front against the company.,topStory
NWSA,News Corporation,20110923,UPDATE 3-UK lawyer to start News Corp action in U.S. , * Plaintiffs could include families of Sept. 11 victims,normal
NWSA,News Corporation,20110923,"X Factor" pant-dropping prompts indecency complaint ,LOS ANGELES New TV talent show "The X Factor" was hit with a formal indecency complaint on Friday for broadcasting an audition by a man who twice dropped his pants  and was allowed to carry on singing.,normal
NWSA,News Corporation,20110923,'X Factor' pant-dropping prompts indecency complaint , LOS ANGELES  Sept 23 New TV talent show "The X Factor" was hit with a formal indecency complaint on Friday for broadcasting an audition by a man who twice dropped his pants  and was allowed to carry on singing.,normal
NWSA,News Corporation,20110923,UK lawyers to start News Corp action in U.S. -Sky , LONDON  Sept 23 British lawyers acting for phone-hacking victims are planning to launch legal action in the United States against directors of News Corp  Sky TV said on Friday  quoting sources.,normal
PNFP,Pinnacle Financial Partners Inc,20110923,BUY OR SELL-Mortgage woes weigh on First Horizon , Sept 23 First Horizon National Corp   one of the largest regional banks in the southeastern United States  has seen its stock price halving since the start of year weighed down by exposure to the subprime mortgage mess.,topStory
ROST,Ross Stores Inc,20110923,Specialty retail now better placed to handle recession ,Specialty retailers are much better equipped for a downturn than three years ago and would see meaningfully less volatility  if fears of another recession turn into reality  UBS said  resuming coverage of the sector.,topStory
SHLD,Sears Holdings Corporation,20110923,PRESS DIGEST - Wall Street Journal - Sept 23 , Sept 23 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
SWKS,Skyworks Solutions Inc,20110923,UPDATE 1-Advanced Analogic  Skyworks head to arbitration , * Filing an early test of new Delaware arbitration system,topStory
SBUX,Starbucks Corporation,20110923,Dunkin' international president out after 4 months ,Dunkin' Brands Group Inc  said on Friday that Neal Yanofsky is leaving after just four months as its international president.,topStory
SBUX,Starbucks Corporation,20110923,UPDATE 3-Dunkin' international president out after 4 months , * Shares down 0.7 percent  (Adds analyst comment  financial details  updates stock activity),normal
AMTD,TD Ameritrade Holding Corporation,20110923,IPO VIEW-China Web IPO flow to US threatened by crackdown , * Review comes amid accounting scandals  protest worries,topStory
VRSK,Verisk Analytics Inc,20110923,DEALTALK-Queuing for CoreLogic: one sale or several? , Sept 23 At least seven firms  mainly private equity  have shown interest in data and analytics company CoreLogic Inc   attracted by its growth businesses and relatively cheap valuations.,topStory
VOD,Vodafone Group Plc,20110923,PUNTO 1-Asta frequenze  oggi +189 4 mln  incasso totale 3 9 mld , (Riscrive e aggiunge risultati finali forniti da Ministero),topStory
VOD,Vodafone Group Plc,20110923,Asta frequenze  oggi rilanci per 160/200 mln - fonte , ROMA  23 settembre L'asta per i 18 blocchi di frequenze ancora disponibili nelle bande 1800 e 2600 MHZ ha fruttato al Tesoro rilanci complessivi superiori ai 160 milioni e sotto i 200 milioni  portando il totale poco sotto i 4 miliardi.,normal
XLNX,Xilinx Inc,20110923,Earnings calls wake up to Wall Street pain ,NEW YORK Earnings forecasts for U.S. companies are starting to feel the pain on Wall Street and in the broader economy as the odds of another recession rise.,topStory
XLNX,Xilinx Inc,20110923,UPDATE-Wall St Week Ahead:Earnings calls wake up to Wall St pain ,  (Updates with U.S. stock indexes' losses for the week)  * Analysts cut Q3 earnings growth to 13.7 pct from 17 pct  * Forecasts start to pull back for Q4 and 2012  * Financials seen most vulnerable; tech targets rise,normal
XLNX,Xilinx Inc,20110923,Wall St Week Ahead: Earnings calls wake up to Wall St pain ,    * Analysts cut Q3 earnings growth to 13.7 pct from 17 pct  * Forecasts start to pull back for Q4 and 2012  * Financials seen most vulnerable; tech targets rise,normal
ACN,Accenture plc,20110923,DEALTALK-Queuing for CoreLogic: one sale or several? , Sept 23 At least seven firms  mainly private equity  have shown interest in data and analytics company CoreLogic Inc   attracted by its growth businesses and relatively cheap valuations.,topStory
ALL,Allstate Corporation (The),20110923,Mortgages at risk if U.S. flood program expires ,NEW YORK The federal program that insures homes against flood damage expires next Friday and is at risk of not being renewed  even as an early fall storm threatens to inundate much of the northeastern United States yet again.,topStory
ALL,Allstate Corporation (The),20110923,Mortgages at risk if U.S. flood program expires , NEW YORK  Sept 23 The federal program that insures homes against flood damage expires next Friday and is at risk of not being renewed  even as an early fall storm threatens to inundate much of the northeastern United States yet again.,normal
AEO,American Eagle Outfitters Inc,20110923,Specialty retail now better placed to handle recession ,Specialty retailers are much better equipped for a downturn than three years ago and would see meaningfully less volatility  if fears of another recession turn into reality  UBS said  resuming coverage of the sector.,topStory
AEP,American Electric Power Company Inc,20110923,Indiana Michigan Power seeks hike to cover growing costs , Sept 23 Indiana Michigan Power  (I&M)  a subsidiary of American Electric Power   filed a proposal with the Indiana Utility Regulatory Commission (IURC) on Friday to increase base rates to cover its growing operating costs.,topStory
AEP,American Electric Power Company Inc,20110923,House passes bill to block EPA clean air rules ,WASHINGTON The House of Representatives passed a bill on Friday to block regulations that force industry to reduce unhealthy air emissions  such as mercury from coal-fired power plants  but the White House has promised to veto the measure and keep new clean air rules in place.,normal
AEP,American Electric Power Company Inc,20110923,UPDATE 1-US House passes bill to block EPA clean air rules , * Would delay finalized Cross State Air Pollution Rule  (Adds details on EPA rules  the bill's chances in Senate),normal
AIG,American International Group Inc,20110923,BofA sued by shareholder over $10 billion AIG loss ,NEW YORK A Bank of America Corp  shareholder sued the bank on Friday for what he said was a failure to disclose it potentially owes more than $10 billion to American International Group Inc  in connection with mortgage-backed securities.,topStory
AIG,American International Group Inc,20110923,BofA sued by shareholder over $10 bln AIG loss , * BofA stock fell 20 percent on Aug. 8 after AIG lawsuit,normal
AMT,American Tower Corporation (REIT),20110923,Fund view: Tech  healthcare best bets: Edgewood ,'You are better equipped to drive growth in bad times if you offer appealing products and have new ones in the pipeline' is Edgewood Growth Fund's mantra and the technology and healthcare sectors provide such havens.,topStory
AWK,American Water Works,20110923,How to play it: Don't be a volatility ostrich ,THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
AU,AngloGold Ashanti Limited,20110923,Record prices spur drive to get more "dumped" gold ,BRAKPAN  South Africa The vast majority of South Africa's gold lies deep underground but atop the mine dumps scattered around Johannesburg  you can actually walk on the stuff.,topStory
AU,AngloGold Ashanti Limited,20110923,FEATURE-Record prices spur drive to get more "dumped" gold , BRAKPAN  South Africa  Sept 23 The vast majority of South Africa's gold lies deep underground but atop the mine dumps scattered around Johannesburg  you can actually walk on the stuff.,normal
WTR,Aqua America Inc,20110923,How to play it: Don't be a volatility ostrich ,THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
MT,ArcelorMittal,20110923,UPDATE 3-ArcelorMittal says recession-resistance has grown , * Says EBITDA would be higher if recession in 2012 than 2009,topStory
MT,ArcelorMittal,20110923,ArcelorMittal faces recession fitness grilling , * Cut production to half of capacity in 2008/2009 recession,normal
AZN,Astrazeneca PLC,20110923,UPDATE 1-Astra  Bristol-Myers diabetes drug gets EU nod , * Pill combines two drugs that control blood sugar levels,topStory
AZN,Astrazeneca PLC,20110923,U.S. advisers urge FDA to address antipsychotics in kids ,GAITHERSBURG  Maryland U.S. pediatric health advisers on Thursday urged drug regulators to continue studying weight gain and other side-effects of antipsychotic drugs as they are increasingly taken by children.,normal
AZN,Astrazeneca PLC,20110923,UPDATE 2-US advisers urge FDA to address antipsychotics in kids , * Concerns of weight gain  diabetes in kids on medication,normal
T,AT&T Inc,20110923,U.S. Internet rules to take effect November 20 ,Long-delayed U.S. Internet rules that tackle the controversial issue of balancing consumer and content provider interests against those who sell access to the Web will take effect November 20.,topStory
T,AT&T Inc,20110923,UPDATE 1-U.S. Internet rules to take effect Nov. 20 , * Consumer groups say rules weak but will defend them  (Adds comments from FCC  public interest group  senator),normal
T,AT&T Inc,20110923,US 'Net neutrality' rules to take effect in Nov. , Sept 23 Long-awaited U.S. rules addressing the hot-button issue of balancing consumer and content providers' interests against those of Internet service providers will take effect on Nov. 20.,normal
T,AT&T Inc,20110923,RPT-DEALS-JPMorgan takes top spot in U.S. league tables , NEW YORK  Sept 22 Chris Ventresca  JPMorgan Chase's  co-head of North American M&A  still remembers the banker he worked for on his first deal as a young associate back in 1994.,normal
ALV,Autoliv Inc,20110923,BRIEF-Moody's disclosures on credit ratings of Autoliv , Sept 23 Autoliv ASP  Inc 	   *Moody's Disclosures on Credit Ratings of Autoliv 	  ,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20110923,Spain CAM bank auction to struggle to attract bids , MADRID  Sept 23 The Bank of Spain will have a hard time attracting bidders for troubled savings bank Caja de Ahorros del Mediterraneo (CAM) with listed banks too concerned about their own capital needs to take on CAM's bad loans and debt obligations.,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20110923,Bank of Spain says banks recapitalisation nearly done , MADRID  Sept 23 The Bank of Spain said on Friday that the recapitalisation process undertaken by the country´s banks is nearly complete.,normal
BBD,Banco Bradesco Sa,20110923,STXNEWS LATAM-Brazil bank employees to strike as of Sept. 27 , Bank industry workers for the metropolitan area of Sao Paulo said they will strike for an undetermined period starting on Sept.r 27  to demand a higher pay rise  according to the union that represents them. SPBancarios  as the union is known  rejected a proposal by industry group Febraban of a 0.37 percent pay raise on top of trailing 12-month inflation.,topStory
BBDO,Banco Bradesco Sa,20110923,STXNEWS LATAM-Brazil bank employees to strike as of Sept. 27 , Bank industry workers for the metropolitan area of Sao Paulo said they will strike for an undetermined period starting on Sept.r 27  to demand a higher pay rise  according to the union that represents them. SPBancarios  as the union is known  rejected a proposal by industry group Febraban of a 0.37 percent pay raise on top of trailing 12-month inflation.,topStory
BSBR,Banco Santander Brasil SA,20110923,STXNEWS LATAM-Brazil bank employees to strike as of Sept. 27 , Bank industry workers for the metropolitan area of Sao Paulo said they will strike for an undetermined period starting on Sept.r 27  to demand a higher pay rise  according to the union that represents them. SPBancarios  as the union is known  rejected a proposal by industry group Febraban of a 0.37 percent pay raise on top of trailing 12-month inflation.,topStory
BSAC,Banco Santander Chile,20110923,Chile stocks end at 2011 closing low on global woes , SANTIAGO  Sept 23 Chilean stocks closed sharply weaker on Friday at their lowest close of 2011 on fears Europe and the United States could slip into recession and as worries Greece will default on its debt mounted  traders said.,topStory
BSAC,Banco Santander Chile,20110923,STXNEWS LATAM-Chile stocks open down on Greece  Europe woes , Chile stocks are trading sharply down in early trade  as talk of a Greece default gains pace a day after markets spiraled downward on deepening worries about global economic stagnation.,normal
SAN,Banco Santander SA,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
SAN,Banco Santander SA,20110923,Spain CAM bank auction to struggle to attract bids , MADRID  Sept 23 The Bank of Spain will have a hard time attracting bidders for troubled savings bank Caja de Ahorros del Mediterraneo (CAM) with listed banks too concerned about their own capital needs to take on CAM's bad loans and debt obligations.,normal
SAN,Banco Santander SA,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
SAN,Banco Santander SA,20110923,Bank of Spain says banks recapitalisation nearly done , MADRID  Sept 23 The Bank of Spain said on Friday that the recapitalisation process undertaken by the country´s banks is nearly complete.,normal
SAN,Banco Santander SA,20110923,TEXT-S&P = 2 , German auto loan receivables  which Santander Consumer Bank AG [CCKGg.UL] (SC Bank) originated and sold to SC Germany Auto 11-1  back the notes. A combination of excess spread  a reserve fund  and (for the class A notes only) subordination of the class B notes provide protection for the class A and B noteholders.,normal
SAN,Banco Santander SA,20110923,UPDATE 1-Intesa interested in BCP's Polish unit -sources , WARSAW/LONDON  Sept 23 Italy's Intesa Sanpaolo  is interested in buying Bank Millennium   the Polish arm of Portuguese lender Millennium bcp   joining at least three other potential bidders  sources told Reuters on Friday.,normal
SAN,Banco Santander SA,20110923,BRIEF-Moody's confirmed ratings of Caravela SME No.1 , * Moody's confirmed the ratings of Caravela SME No.1  Portuguese ABS SME,normal
BAC,Bank of America Corporation,20110923,SolarCity latest to see loan loss post Solyndra ,LOS ANGELES/WASHINGTON Solar panel installer SolarCity said on Friday it was the second company in as many days that will not get finalization of U.S. government loan aid by a September 30 deadline.,topStory
BAC,Bank of America Corporation,20110923,UPDATE 2-SolarCity latest to see US loan loss post Solyndra , * Ethanol  wind and geothermal companies get approval  (Adds SolarCity CEO comments  background  DOE loan guarantees approved on Friday  bylines),normal
BAC,Bank of America Corporation,20110923,BofA may sell mortgage unit to Fortress: report ,Bank of America Corp  is in talks to sell its correspondent mortgage lending unit to a division of Fortress Investment Group LLC  the Wall Street Journal reported on Friday.,normal
BAC,Bank of America Corporation,20110923,UPDATE 1-BofA may sell mortgage unit to Fortress -- WSJ , * Fortress Investment Group unit in talks with bank--WSJ,normal
BAC,Bank of America Corporation,20110923,Credit reporting firm TransUnion for sale: sources ,TransUnion's owners are pursuing a possible sale that could fetch roughly $2 billion for the credit information firm  sources familiar with the matter said.,normal
BAC,Bank of America Corporation,20110923,BofA sued by shareholder over $10 billion AIG loss ,NEW YORK A Bank of America Corp  shareholder sued the bank on Friday for what he said was a failure to disclose it potentially owes more than $10 billion to American International Group Inc  in connection with mortgage-backed securities.,normal
BAC,Bank of America Corporation,20110923,BofA may sell mortgage unit to Fortress-WSJ , * Fortress Investment Group unit in talks with bank-WSJ,normal
BAC,Bank of America Corporation,20110923,BofA sued by shareholder over $10 bln AIG loss , * BofA stock fell 20 percent on Aug. 8 after AIG lawsuit,normal
BAC,Bank of America Corporation,20110923,UPDATE 2-Credit reporting firm TransUnion for sale -sources , * Auction advanced  but faces financing issues -sources,normal
BAC,Bank of America Corporation,20110923,Credit reporting firm TransUnion for sale -sources , Sept 23 TransUnion's owners are pursuing a possible sale that could fetch roughly $2 billion for the credit information firm  sources familiar with the matter said.,normal
BNS,Bank of Nova Scotia (The),20110923,CANADA STOCKS-TSX in bear zone as resources pull it to 2011 low ,   * TSX falls 99.64 points  or 0.86 percent  at 11 462.87,topStory
BNS,Bank of Nova Scotia (The),20110923,CANADA STOCKS-TSX in bear zone as resources pull it to 2011 low , * Eight of 10 sectors higher; materials  energy weigh  (Updates to close  adds analyst's comment  details),normal
BNS,Bank of Nova Scotia (The),20110923,CANADA STOCKS-Commodities drive TSX to 2011 low  bear territory , TORONTO  Sept 23 Toronto's main stock index hit its lowest level since July  2010 on Friday  pushing the market into bear territory  as investors sold riskier assets on growing fears of a Greek debt default and global recession.,normal
BCS,Barclays PLC,20110923,ADR REPORT-European bank shares bounce back , NEW YORK  Sept 23 U.S.-listed shares of European banks rose on Friday  helped by optimism about further measures to ease the euro-zone debt crisis.,topStory
BCS,Barclays PLC,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,normal
BCS,Barclays PLC,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
BCS,Barclays PLC,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
BCS,Barclays PLC,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
BCS,Barclays PLC,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
BCS,Barclays PLC,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
BCS,Barclays PLC,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
BCS,Barclays PLC,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
ABX,Barrick Gold Corporation,20110923,CANADA STOCKS-TSX in bear zone as resources pull it to 2011 low ,   * TSX falls 99.64 points  or 0.86 percent  at 11 462.87,topStory
ABX,Barrick Gold Corporation,20110923,CANADA STOCKS-TSX in bear zone as resources pull it to 2011 low , * Eight of 10 sectors higher; materials  energy weigh  (Updates to close  adds analyst's comment  details),normal
ABX,Barrick Gold Corporation,20110923,CANADA STOCKS-Commodities drive TSX to 2011 low  bear territory , TORONTO  Sept 23 Toronto's main stock index hit its lowest level since July  2010 on Friday  pushing the market into bear territory  as investors sold riskier assets on growing fears of a Greek debt default and global recession.,normal
BBY,Best Buy Co Inc,20110923,Best Buy mulls reopening branded stores in China ,   * Best Buy had closed all 9 branded stores in China in Feb,topStory
BHP,BHP Billiton Limited,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,topStory
BHP,BHP Billiton Limited,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
BHP,BHP Billiton Limited,20110923,TEXT-Fitch asgns Petrohawk's bonds 'A' sr unsecured rtg , (The following statement was released by the rating agency),normal
BHP,BHP Billiton Limited,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
BHP,BHP Billiton Limited,20110923,China spot copper concentrate TC/RCs extend falls due to Chile delays , * Offers at $50-$60/5-6 cents  Chinese seek $65/6.5 cents,normal
BBL,BHP Billiton plc,20110923,TEXT-Fitch asgns Petrohawk's bonds 'A' sr unsecured rtg , (The following statement was released by the rating agency),topStory
