ACIA,Acacia Communications Inc,20180607,UPDATE 4-Chinese phone maker ZTE saved from brink after deal with U.S. ,June 7 China’s No. 2 telecommunications equipment maker ZTE secured a lifeline from the Trump administration on Thursday after agreeing to pay a $1 billion fine and overhaul leadership in a deal that will lift a ban on its doing business with U.S. suppliers.,normal,Sell
HMC,Honda Motor Company Ltd,20180607,UPDATE 1-GM to sell new electric car batteries to Honda in North America ,June 7 General Motors Co will supply advanced batteries to Japan's Honda Motor Co  the companies said Thursday  a move that could significantly reduce the cost of future electric vehicles at both automakers after 2020.,normal,Unknown
HMC,Honda Motor Company Ltd,20180607,GM to sell Honda advanced electric car batteries in North America ,June 7 General Motors Co will supply advanced batteries to Japan's Honda Motor Co  the companies said Thursday  a move that could significantly reduce the cost of future electric vehicles at both automakers after 2020.,normal,Unknown
JPM,J P Morgan Chase & Co,20180607,Berkshire-Amazon-JPMorgan healthcare CEO to be named soon -CNBC ,NEW YORK  June 7 A chief executive for the healthcare venture being set up by Berkshire Hathaway Inc   Amazon.com Inc and JPMorgan Chase & Co. is likely to be named within the next two weeks  billionaire investor Warren Buffett said in an interview aired Thursday on CNBC.,topStory,Unknown
JPM,J P Morgan Chase & Co,20180607,RPT-REFILE-JP Morgan's Lewell returns to London for international syndicate job ,LONDON  June 6 (IFR) - JP Morgan's Marc Lewell is relocating to London after a three-year stint in Asia to run the US bank's international syndicate business  according to an internal memo seen by IFR.,normal,Unknown
SJM,JM Smucker Company (The),20180607,J.M. Smucker's forecast hit by high freight  marketing costs ,J.M. Smucker Co  on Thursday forecast full-year profit well below estimates as the Folgers coffee maker spends heavily on marketing to battle competition while struggling with high costs  sending its shares down as much as 10 percent.,topStory,Unknown
SJM,JM Smucker Company (The),20180607,UPDATE 3-J.M. Smucker's forecast hit by high freight  marketing costs ,* Shares down as much as 10 pct (Adds analyst  CFO comments  details; updates share movement),normal,Unknown
SJM,JM Smucker Company (The),20180607,J.M. Smucker quarterly sales miss estimates ,June 7 J.M. Smucker Co's fourth-quarter sales missed analysts' forecasts  hurt by weak demand for its edible oil brands such as Crisco  peanut butter and baking items.,normal,Unknown
JNJ,Johnson & Johnson,20180607,In Missouri  J&J faces biggest trial yet alleging talc caused cancer ,NEW YORK A lawsuit by 22 ovarian cancer patients against Johnson & Johnson went to trial on Wednesday in Missouri state court  marking the largest case the company has faced over allegations its talc-based products contain cancer-causing asbestos.,topStory,Sell
LYG,Lloyds Banking Group Plc,20180607,UPDATE 2-UK lawmakers have "lost confidence" in TSB boss over IT crisis ,* Chairman says CEO has support of board (Adds bank's statement  more detail),topStory,Sell
LYG,Lloyds Banking Group Plc,20180607,UK lawmakers have "lost confidence" in TSB Chief Executive over IT crisis ,LONDON  June 7 Britain's influential Treasury Select Committee of lawmakers said on Thursday it had lost confidence in the chief executive of TSB following an IT outage that left thousands of customers unable to access their accounts.,normal,Unknown
LYG,Lloyds Banking Group Plc,20180607,IT failures at British bank TSB cost $94 mln so far  owner Sabadell says ,MADRID  June 7 Information technology failures at British bank TSB have cost around 70 million pounds ($93.95 million) so far  its Spanish parent Sabadell said on Thursday.,normal,Unknown
LYG,Lloyds Banking Group Plc,20180607,Lloyds to sell its remaining Standard Life Aberdeen stake ,LONDON  June 7 Lloyds Banking Group will sell its remaining 97.7 million shares in Standard Life Aberdeen  representing 3.3 percent of the shares of the asset manager  Bank of America Merrill Lynch which is running the deal said on Thursday.,normal,Unknown
MCD,McDonald&#39;s Corporation,20180607,McDonald's plans fresh round of layoffs: WSJ ,McDonald's Corp  is planning a new round of layoffs to flatten out its management structure further  the Wall Street Journal reported on Thursday  citing a company email sent to all its U.S. employees  suppliers and franchisees.,topStory,Unknown
MCD,McDonald&#39;s Corporation,20180607,UPDATE 1-McDonald's plans fresh round of layoffs - WSJ ,June 7 McDonald's Corp is planning a new round of layoffs to flatten out its management structure further  the Wall Street Journal reported on Thursday  citing a company email sent to all its U.S. employees  suppliers and franchisees.,normal,Unknown
MCD,McDonald&#39;s Corporation,20180607,McDonald's plans fresh round of layoffs - WSJ ,June 7 McDonald’s Corp is planning a new round of layoffs to further shrink its corporate structure  the Wall Street Journal reported on Thursday citing an email the company sent to all its U.S. employees  suppliers and franchisees.,normal,Unknown
MUFG,Mitsubishi UFJ Financial Group Inc,20180607,U.S. high-grade merger lending hits half-year record ,NEW YORK (LPC) - Lending to blue chip US companies for mergers and acquisitions (M&A) has hit a record half year total of US$129bn  as banks continue to extend financing while pulling in record fee income for arranging the loans.  ,topStory,Unknown
MUFG,Mitsubishi UFJ Financial Group Inc,20180607,US high-grade merger lending hits half-year record ,NEW YORK  June 7 (LPC) - Lending to blue chip US companies for mergers and acquisitions (M&A) has hit a record half year total of US$129bn  as banks continue to extend financing while pulling in record fee income for arranging the loans.,normal,Unknown
NVO,Novo Nordisk A/S,20180607,Novo Nordisk considers laying-off up to 3 000 staff - Danish paper Borsen ,COPENHAGEN  June 7 Novo Nordisk is considering laying-off up to 3 000 staff and dropping its long-term financial targets due to challenging market conditions in the United States  Danish daily Borsen reported Thursday citing unnamed sources.,topStory,Unknown
PBR,Petroleo Brasileiro SA- Petrobras,20180607,UPDATE 2-Equinor leads oil majors grabbing prime offshore Brazil stakes ,RIO DE JANEIRO  June 7 Norway's Equinor ASA led oil majors grabbing pre-salt blocks in Brazil on Thursday  snapping up stakes in some of the world's most alluring offshore geology despite fresh concerns about political meddling in the country's energy sector.,topStory,Unknown
PBR,Petroleo Brasileiro SA- Petrobras,20180607,Oil majors to bid on choice stakes in Brazil's offshore ,RIO DE JANEIRO  June 7 Executives from oil majors were set to gather in Rio de Janeiro on Thursday to compete for stakes in Brazil's pre-salt oil play  home to some of the world's most alluring offshore geology  as rising oil prices boost appetite for expensive offshore projects.,normal,Unknown
PFE,Pfizer Inc,20180607,Pfizer wins appeal against UK fine for epilepsy drug price hike ,LONDON  June 7 Pfizer Inc and Flynn Pharma won an appeal on Thursday against fines totalling nearly 90 million pounds ($120 million) imposed in 2016 for ramping up the cost of an epilepsy drug.,topStory,Sell
RIO,Rio Tinto Plc,20180607,Rio Tinto inks exploration agreement with China's Minmetals ,Global miner Rio Tinto inked a joint venture agreement with China Minmetals Corp on Thursday  as the companies look to explore mineral deposits in China.,topStory,Unknown
RIO,Rio Tinto Plc,20180607,Rio Tinto inks exploration agreement with China's Minmetals ,June 7 Global miner Rio Tinto inked a joint venture agreement with China Minmetals Corp on Thursday  as the companies look to explore mineral deposits in China.,normal,Unknown
RBS,Royal Bank Scotland plc (The),20180607,RBS CEO says wants to buy bank's shares back from UK government ,LONDON Royal Bank of Scotland  Chief Executive Ross McEwan said on Thursday the bank wants to buy back some of its own shares from the government  if approved by the regulator and if it did not jeopardize the bank's return to dividend payments.,topStory,Unknown
RBS,Royal Bank Scotland plc (The),20180607,RBS CEO says wants to buy bank's shares back from UK government ,LONDON  June 7 Royal Bank of Scotland Chief Executive Ross McEwan said on Thursday the bank wants to buy back some of its own shares from the government  if approved by the regulator and if it did not jeopardise the bank's return to dividend payments.,normal,Unknown
RES,RPC Inc,20180607,UK Stocks-Factors to watch on June 7 ,    June 7 Britain's FTSE 100 index is seen opening up 22 points at 7 735 on Thursday  according to financial bookmakers.          * APPLE-UK: Apple warned on Wednesday in a company filing that its UK business may be hit by restrictions on imports and exports as a result of Brexit negotiations  The Telegraph reports. http://bit.ly/2JgdMy9       * DAILY MAIL: The editor of Britain's Daily Mail tabloid Paul Dacre will stand down after 26 years in November to become chairman and editor-,normal,Unknown
SQM,Sociedad Quimica y Minera SA,20180607,SQM pick of ex-Chairman Ponce as adviser 'imprudent': Chile finance minister ,Chile's finance minister on Wednesday described as "imprudent" the appointment by lithium miner SQM of its former Chairman Julio Ponce as a strategic adviser  in light of an agreement with the state that he distance himself from the firm.,topStory,Unknown
S,Sprint Corporation,20180607,Exclusive: U.S. Justice Department probes T-Mobile-Sprint merger effect on smaller wireless companies - sources ,NEW YORK The U.S. Department of Justice is examining how the proposed merger between T-Mobile US Inc and Sprint Corp could affect prices for smaller wireless operators  according to two people familiar with the matter.,topStory,Sell
STT,State Street Corporation,20180607,Arkansas fund wants to remain in State Street case amid fee questions ,By Nate Raymond The Arkansas Teacher Retirement System wants to remain lead plaintiff in a class action against State Street Corp to administer a $300 million settlement despite a judge's concerns that the pension fund may be conflicted by its relationship with law firms that may have overbilled the class.,topStory,Sell
TI,Telecom Italia SPA,20180607,Falling wholesale tariffs threaten Telecom Italia's network separation plan ,ROME  June 7 The progressive drop in wholesale access prices threatens the sustainability of Telecom Italia's soon-to-be separated network company (NetCo)  the phone group's Chief Executive Amos Genish said on Thursday.,topStory,Sell
TI,Telecom Italia SPA,20180607,Italy court suspends fine on Telecom Italia over Vivendi control ,MILAN An Italian court has suspended a 74.3 million euro ($88 million)fine imposed on Telecom Italia  for failing to notify the government its main shareholder Vivendi  had effective control.,normal,Unknown
TOT,Total SA,20180607,France's Total plans growth along U.S. Gulf Coast in petrochemicals ,PORT ARTHUR  Texas Adding petrochemical plants is how French energy conglomerate Total SA plans to expand along the U.S. Gulf Coast in the coming years  a company executive said on Monday.,topStory,Unknown
TOT,Total SA,20180607,CORRECTED-France's Total plans growth along US Gulf Coast in petrochemicals ,PORT ARTHUR  Texas  June 4 Adding petrochemical plants is how French energy conglomerate Total SA plans to expand along the U.S. Gulf Coast in the coming years  a company executive said on Monday.,normal,Unknown
TOT,Total SA,20180607,Equinor leads oil majors grabbing prime offshore Brazil stakes ,RIO DE JANEIRO Norway's Equinor ASA led oil majors grabbing pre-salt blocks in Brazil on Thursday  snapping up stakes in some of the world's most alluring offshore geology despite fresh concerns about political meddling in the country's energy sector.,normal,Sell
TOT,Total SA,20180607,Oil majors to bid on choice stakes in Brazil's offshore ,RIO DE JANEIRO  June 7 Executives from oil majors were set to gather in Rio de Janeiro on Thursday to compete for stakes in Brazil's pre-salt oil play  home to some of the world's most alluring offshore geology  as rising oil prices boost appetite for expensive offshore projects.,normal,Unknown
TM,Toyota Motor Corp Ltd Ord,20180607,U.S. ITC says probing Toyota  others in patent infringement case ,WASHINGTON  June 7 The U.S. International Trade Commission said on Thursday it would investigate Toyota Motor Corp  Panasonic Corp and other companies for alleged patent infringement in certain infotainment systems  components and automobiles containing such systems.,topStory,Unknown
TRP,TransCanada Corporation,20180607,UPDATE 3-TransCanada contains W.Va. natgas pipeline blast  no injuries ,June 7 TransCanada Corp said it has isolated the section of Columbia Gas Transmission pipe that exploded early Thursday in Moundsville  West Virginia.,topStory,Sell
TWTR,Twitter Inc,20180607,U.S. senator questions Alphabet  Twitter on Huawei relationship ,WASHINGTON  June 7 A U.S. senator on Thursday is seeking responses from Google parent Alphabet Inc and Twitter Inc on whether the U.S. companies have any data sharing agreements with Chinese vendors  following a disclosure from Facebook Inc this week.,topStory,Unknown
TWTR,Twitter Inc,20180607,Trump on Twitter (June 7): G-7  Alice Johnson  Abe ,The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump  @realDonaldTrump and @POTUS.,normal,Unknown
TWTR,Twitter Inc,20180607,Twitter to offer $1 billion convertible note as shares rally ,Twitter Inc  is preparing a $1 billion convertible note offering  the social media hub said on Wednesday  one day after news that it would be included in the S&P 500 index sent its shares up 5 percent to a more than three-year high.,normal,Unknown
TWTR,Twitter Inc,20180607,UPDATE 2-Twitter to offer $1 billion convertible note as shares rally ,June 7 Twitter Inc is preparing a $1 billion convertible note offering  the social media hub said on Wednesday  one day after news that it would be included in the S&P 500 index sent its shares up 5 percent to a more than three-year high.,normal,Unknown
VZ,Verizon Communications Inc,20180607,Yahoo's EU regulator orders privacy changes over data breach ,DUBLIN Yahoo's European regulator has ordered it to make privacy changes following a probe into what it said was one of the largest ever data breaches to impact EU citizens.,topStory,Unknown
VZ,Verizon Communications Inc,20180607,Exclusive: U.S. Justice Department probes T-Mobile-Sprint merger effect on smaller wireless companies - sources ,NEW YORK The U.S. Department of Justice is examining how the proposed merger between T-Mobile US Inc and Sprint Corp could affect prices for smaller wireless operators  according to two people familiar with the matter.,normal,Sell
VZA,Verizon Communications Inc,20180607,Yahoo's EU regulator orders privacy changes over data breach ,DUBLIN Yahoo's European regulator has ordered it to make privacy changes following a probe into what it said was one of the largest ever data breaches to impact EU citizens.,repeated,Unknown
VZA,Verizon Communications Inc,20180607,Exclusive: U.S. Justice Department probes T-Mobile-Sprint merger effect on smaller wireless companies - sources ,NEW YORK The U.S. Department of Justice is examining how the proposed merger between T-Mobile US Inc and Sprint Corp could affect prices for smaller wireless operators  according to two people familiar with the matter.,normal,Sell
VSTO,Vista Outdoor Inc,20180607,EU mergers and takeovers (June 7) ,BRUSSELS  June 7 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory,Unknown
WMT,Walmart Inc,20180607,Walmart sues to bar former tax executive from joining Amazon ,WILMINGTON  Del. Walmart Inc  has asked a court to block a former top tax executive from joining Amazon.com Inc   saying the move would violate a non-compete agreement and irreparably harm Walmart by potentially tipping off its rival to strategic plans including potential merger targets.,topStory,Sell
WMT,Walmart Inc,20180607,UPDATE 1-Walmart sues to bar former tax exec from joining Amazon ,WILMINGTON  Del.  June 7 Walmart Inc has asked a court to block a former top tax executive from joining Amazon.com Inc  saying the move would violate a non-compete agreement and irreparably harm Walmart by potentially tipping off its rival to strategic plans including potential merger targets.,normal,Sell
WMT,Walmart Inc,20180607,Walmart sues to bar former tax exec from joining Amazon ,WILMINGTON  Del  June 7 Walmart Inc has asked a court to block a former top tax executive from joining Amazon.com Inc  saying the move would violate a non-compete agreement and "irreparably harm" Walmart's business by potentially tipping off its rival to strategic plans including potential merger targets.,normal,Sell
DIS,Walt Disney Company (The),20180607,Disney  Fox carved out assets 'surgically': U.S. antitrust chief ,NEW YORK Walt Disney Co's  $52.4 billion deal to acquire most of Twenty-First Century Fox Inc's  assets was "surgically" structured on good advice to be submitted to regulators  Makan Delrahim  assistant attorney general for the U.S. Department of Justice's antitrust division  said on Thursday.,topStory,Unknown
DIS,Walt Disney Company (The),20180607,UPDATE 1-Disney  Fox carved out assets 'surgically' -U.S. antitrust chief ,NEW YORK  June 7 Walt Disney Co's $52.4 billion deal to acquire most of Twenty-First Century Fox Inc's assets was "surgically" structured on good advice to be submitted to regulators  Makan Delrahim  assistant attorney general for the U.S. Department of Justice's antitrust division  said on Thursday.,normal,Unknown
DIS,Walt Disney Company (The),20180607,U.S. antitrust chief says Disney  Fox carved out assets 'surgically' ,NEW YORK  June 7 Walt Disney Co's $52.4 billion deal to acquire most of Twenty-First Century Fox Inc's assets was "surgically" structured on good advice to be submitted to regulators  Makan Delrahim  assistant attorney general for the U.S. Department of Justice's antitrust division  said on Thursday.,normal,Unknown
WFC,Wells Fargo & Company,20180607,Phony bank accounts not a 'systemic' issue -U.S. regulator ,WASHINGTON  June 7 A U.S. bank regulator said on Thursday that an industry-wide review prompted by Wells Fargo & Co's sales practices scandal had uncovered some instances of phony accounts at other lenders but little evidence of a "systemic" problem.,normal,Unknown
XRX,Xerox Corporation,20180607,Fujifilm could walk away from Xerox deal if no progress for six months ,TOKYO Japan's Fujifilm Holdings Corp  said on Thursday it may have no choice but to abandon a $6.1 billion merger with Xerox Corp  if there is no progress in talks with the U.S. firm's new board for about half a year.,topStory,Unknown
XRX,Xerox Corporation,20180607,UPDATE 2-Fujifilm could walk away from Xerox deal if no progress for six months ,* Fuji Xerox makes almost all copiers  can grow without Xerox -CEO,normal,Unknown
XRX,Xerox Corporation,20180607,Fujifilm says may walk away from Xerox merger deal if no progress for six months ,TOKYO  June 7 Fujifilm Holdings Corp said on Thursday it may have no choice but to give up on a $6.1 billion merger with Xerox Corp if there is no progress in talks with the new board for about half a year.,normal,Sell
YPF,YPF Sociedad Anonima,20180607,Argentina's YPF  GE launch new unit as search for third partner stalls ,BUENOS AIRES  June 7 Argentina's state-owned oil company YPF SA said on Wednesday its electricity unit  which recently received investment from General Electric  would invest $1 billion through 2020  though talks with a potential third partner have stalled.,topStory,Unknown
