AMZN,Amazoncom Inc,20180615,Exclusive: Amazon to tap Brazil beauty obsession with cosmetics partners ,SAO PAULO Amazon.com Inc is recruiting major Brazilian cosmetics firms Grupo Boticario and Natura Cosmeticos SA to sell via the logistics platform it is developing in Brazil  three people familiar with talks told Reuters  making an early play for the world's fourth-largest beauty market. | Video ,topStory,Unknown
ENBA,Enbridge Inc,20180615,Enbridge endorses two alternatives for Great Lakes pipeline replacement ,June 15 Enbridge Inc on Friday endorsed either an underwater tunnel or trench to replace a section of its 65-year-old energy pipeline that travels under a stretch of the U.S. Great Lakes in Michigan.,normal,Unknown
FDX,FedEx Corporation,20180615,FedEx calls U.S. tariffs on Chinese goods 'counterproductive' ,Global delivery company FedEx Corp  said on Friday that U.S. tariffs on Chinese goods will raise prices for American businesses and consumers and are "counterproductive to U.S. economic interests.",topStory,Unknown
FDX,FedEx Corporation,20180615,FedEx calls U.S. tariffs on Chinese goods 'counterproductive' ,June 15 Global delivery company FedEx Corp said on Friday that U.S. tariffs on Chinese goods will raise prices for American businesses and consumers and are "counterproductive to U.S. economic interests.",normal,Unknown
FIT,Fitbit Inc,20180615,Fitbit's six current  ex-staff indicted in Jawbone trade secrets case ,​Six former and current employees of Fitbit Inc  were ​charged in a federal indictment for possessing trade secrets stolen from rival Jawbone  according to a statement from the Department of Justice on Thursday.,topStory,Sell
FIT,Fitbit Inc,20180615,UPDATE 1-Fitbit's 6 current  ex-staff indicted in Jawbone trade secrets case ,June 15 ​Six former and current employees of Fitbit Inc were ​charged in a federal indictment for possessing trade secrets stolen from rival Jawbone  according to a statement from the Department of Justice on Thursday.,normal,Sell
FIT,Fitbit Inc,20180615,Fitbit's 6 current  ex-staff indicted in Jawbone trade secrets case ,June 15 ​Six former and current employees of Fitbit Inc were ​charged in a federal indictment for possessing trade secrets stolen from rival Jawbone  according to a statement from the Department of Justice on Thursday.,normal,Sell
F,Ford Motor Company,20180615,UPDATE 1-Ford's China struggle continues as May vehicle sales slump 29 pct ,BEIJING  June 15 Ford Motor Co's struggle to boost sales in China showed no sign of ending soon with volumes for May sliding 29 percent despite steps being taken by the U.S. automaker like appointing a new sales leader and readying launches of new products.,topStory,Unknown
BEN,Franklin Resources Inc,20180615,MOVES-Franklin Templeton hires Jennifer Ockwell as head of UK Institutional ,June 15 Franklin Templeton Investments said on Friday it has hired Jennifer Ockwell as head of UK Institutional  where she will be responsible for institutional sales and client service in the UK.,topStory,Unknown
INFY,Infosys Limited,20180615,Indian shares post fourth straight weekly gain; Infosys  TCS boost ,* NSE index ended 0.09 pct higher  BSE index closed up 0.06 pct,topStory,Unknown
JNJ,Johnson & Johnson,20180615,Novartis touts effectiveness  safety of autoimmune drug copies ,ZURICH Novartis on Friday touted safety and efficacy of its biosimilar copies of Johnson & Johnson's Remicade and Amgen Inc's Enbrel  citing a study it hopes will help convince doctors that switching from the original medicines is a viable alternative for treating autoimmune diseases.,topStory,Unknown
JNJ,Johnson & Johnson,20180615,Novartis touts effectiveness  safety of autoimmune drug copies ,ZURICH  June 15 Novartis on Friday touted safety and efficacy of its biosimilar copies of Johnson & Johnson's Remicade and Amgen Inc's Enbrel  citing a study it hopes will help convince doctors that switching from the original medicines is a viable alternative for treating autoimmune diseases. The Swiss drugmaker said Zessly  its Remicade biosimilar  matched the original medicine for safety and efficacy at 54 weeks  including in patients who switched from the original. Switching from,normal,Unknown
LMT,Lockheed Martin Corporation,20180615,Lockheed Martin wins $503 million U.S. defense contract: Pentagon ,WASHINGTON Lockheed Martin Corp is awarded a $503 million modification to a previously issued order for air vehicle initial spares  to include F-35 Lightning II deployment spares packages  afloat spares packages and associated consumables  the Pentagon said on Friday.,topStory,Unknown
LMT,Lockheed Martin Corporation,20180615,Lockheed Martin wins $503 mln U.S. defense contract -Pentagon ,WASHINGTON  June 15 Lockheed Martin Corp is awarded a $503 million modification to a previously issued order for air vehicle initial spares  to include F-35 Lightning II deployment spares packages  afloat spares packages and associated consumables  the Pentagon said on Friday. (Reporting by Eric Beech; Writing by Mohammad Zargham),normal,Sell
LYB,LyondellBasell Industries NV,20180615,Deals of the day-Mergers and acquisitions ,June 15 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory,Unknown
LYB,LyondellBasell Industries NV,20180615,LyondellBasell in exclusive talks to acquire control of Braskem ,SAO PAULO LyondellBasell Industries NV  and Odebrecht SA  the controlling owner of petrochemicals producer Braskem  said on Friday they have entered into exclusive talks for Lyondell to acquire control of Braskem  and two people familiar with the matter said the companies are planning a cash and shares deal that could top $9 billion.,normal,Sell
LYB,LyondellBasell Industries NV,20180615,UPDATE 3-LyondellBasell in exclusive talks to acquire control of Braskem ,SAO PAULO  June 15 LyondellBasell Industries NV and Odebrecht SA  the controlling owner of petrochemicals producer Braskem  said on Friday they have entered into exclusive talks for Lyondell to acquire control of Braskem  and two people familiar with the matter said the companies are planning a cash and shares deal that could top $9 billion.,normal,Sell
LYB,LyondellBasell Industries NV,20180615,EU mergers and takeovers (June 15) ,BRUSSELS  June 15 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal,Unknown
LYB,LyondellBasell Industries NV,20180615,Petrobras says will analyze potential Braskem deal btwn Odebrecht  LyondellBasell ,RIO DE JANEIRO  June 15 Brazil's state-run oil company Petroleo Brasileiro said on Friday that if LyondellBasell Industries NV reaches an agreement to buy Odebrecht's stake in Petrochemical firm Braskem SA  it will analyze the deal.,normal,Unknown
LYB,LyondellBasell Industries NV,20180615,LyondellBasell says in talks on Braskem deal ,June 15 Plastic  chemicals and refining company LyondellBasell Industries NV has begun talks with the main shareholder of Brazilian petrochemical firm Braskem SA on a potential tie-up  the two companies said on Friday.,normal,Unknown
MPO,MIDSTATES PETROLEUM COMPANY INC,20180615,SandRidge says approached by 17 potential buyers ,June 15 SandRidge Energy Inc said on Friday it had been approached by 17 potential bidders for a buyout.,normal,Unknown
MS,Morgan Stanley,20180615,Italy court rules it cannot hear Morgan Stanley derivatives case ,ROME An Italian administrative court has ruled that it cannot hear a case over derivatives brought against Morgan Stanley  that included a request for 2.7 billion euros ($3.1 billion) in damages from the U.S. investment bank.,topStory,Unknown
MS,Morgan Stanley,20180615,UPDATE 1-Italy court rules it cannot hear Morgan Stanley derivatives case ,ROME  June 15 An Italian administrative court has ruled that it cannot hear a case over derivatives brought against Morgan Stanley that included a request for 2.7 billion euros ($3.1 billion) in damages from the U.S. investment bank.,normal,Unknown
MS,Morgan Stanley,20180615,Italy court rules it cannot hear Morgan Stanley derivatives case - sources ,ROME  June 15 An Italian administrative court has ruled that it cannot hear a case against Morgan Stanley and former senior Treasury officials that included a request for 2.7 billion euros ($3.1 billion) in damages.,normal,Unknown
NAV,Navistar International Corporation,20180615,Volkswagen names M&A expert Christian Schulz as new trucks CFO ,FRANKFURT Volkswagen Truck & Bus on Friday appointed mergers and acquisitions specialist Christian Schulz as its new finance chief  as the division seeks to tap capital markets to fund an expansion plan which could result in the acquisition of rival Navistar.,topStory,Unknown
NAV,Navistar International Corporation,20180615,UPDATE 1-VW names M&A expert Christian Schulz as new trucks CFO ,* VW Truck & Bus eyes capital markets for expansion (Adds further details on CFO designate  background),normal,Sell
NVS,Novartis AG,20180615,Novartis touts effectiveness  safety of autoimmune drug copies ,ZURICH Novartis on Friday touted safety and efficacy of its biosimilar copies of Johnson & Johnson's Remicade and Amgen Inc's Enbrel  citing a study it hopes will help convince doctors that switching from the original medicines is a viable alternative for treating autoimmune diseases.,topStory,Unknown
NVS,Novartis AG,20180615,Novartis touts effectiveness  safety of autoimmune drug copies ,ZURICH  June 15 Novartis on Friday touted safety and efficacy of its biosimilar copies of Johnson & Johnson's Remicade and Amgen Inc's Enbrel  citing a study it hopes will help convince doctors that switching from the original medicines is a viable alternative for treating autoimmune diseases. The Swiss drugmaker said Zessly  its Remicade biosimilar  matched the original medicine for safety and efficacy at 54 weeks  including in patients who switched from the original. Switching from,normal,Unknown
ORAN,Orange,20180615,Orange suspends new Ivory Coast network cable installation after vandalism ,ABIDJAN  June 15 French telecoms group Orange has suspended the installation of new ditigal network cables in Ivory Coast because of vandalism  a top official said on Friday.,topStory,Unknown
PBR,Petroleo Brasileiro SA- Petrobras,20180615,Brazil's Petrobras says oil output slips  gas production rises in May ,RIO DE JANEIRO Brazil's state-controlled oil company Petroleo Brasileiro SA said oil production slid 1.2 percent last month from April  while gas production rose 2.4 percent in the same period.,topStory,Unknown
PBR,Petroleo Brasileiro SA- Petrobras,20180615,Petrobras says will analyze potential Braskem deal btwn Odebrecht  LyondellBasell ,RIO DE JANEIRO  June 15 Brazil's state-run oil company Petroleo Brasileiro said on Friday that if LyondellBasell Industries NV reaches an agreement to buy Odebrecht's stake in Petrochemical firm Braskem SA  it will analyze the deal.,normal,Unknown
PJC,Piper Jaffray Companies,20180615,U.S. drillers add oil rigs for fourth week in a row -Baker Hughes ,June 15 U.S. energy companies added one oil rig this week  the fourth consecutive week of increases  despite a 9 percent decline in crude prices over the past four weeks.,normal,Unknown
RRTS,Roadrunner Transportation Systems Inc,20180615,Two former Roadrunner Transportation executives at charged with fraud -U.S. ,WASHINGTON  June 15 Two former executives of Roadrunner Transportation Systems Inc were charged in an indictment unsealed on Friday for allegedly participating in an accounting and securities fraud scheme that resulted in a loss of more than $245 million in shareholder value  the U.S. Justice Department said. Mark Wogsland  53  and Bret Naggs  52  both of Cedarburg  Wisconsin  were charged with three counts of securities fraud and other violations for allegedly carrying out a scheme ,topStory,Sell
SD,SandRidge Energy Inc,20180615,SandRidge approached by 17 suitors  Icahn says not to bid soon ,SandRidge Energy Inc  said on Friday it had been approached by 17 potential bidders for a buyout  including billionaire Carl Icahn who is fighting for control of the oil and gas producer's board.,topStory,Sell
SD,SandRidge Energy Inc,20180615,UPDATE 5-SandRidge approached by 17 suitors  Icahn says not to bid soon ,June 15 SandRidge Energy Inc said on Friday it had been approached by 17 potential bidders for a buyout  including billionaire Carl Icahn who is fighting for control of the oil and gas producer's board.,normal,Unknown
SD,SandRidge Energy Inc,20180615,In SandRidge proxy fight  Icahn's reputation for turnarounds at stake ,HOUSTON When SandRidge Energy Inc  shareholders on Tuesday cast their votes for directors  the only question is how much sway over the embattled oil and gas producer they will hand to activist investor Carl Icahn.,normal,Sell
SD,SandRidge Energy Inc,20180615,In SandRidge proxy fight  Icahn's reputation for turnarounds at stake ,HOUSTON  June 15 When SandRidge Energy Inc shareholders on Tuesday cast their votes for directors  the only question is how much sway over the embattled oil and gas producer they will hand to activist investor Carl Icahn.,normal,Sell
SD,SandRidge Energy Inc,20180615,CORRECTED-UPDATE 1-SandRidge says approached by 17 potential buyers  including Icahn ,June 15 SandRidge Energy Inc said on Friday it had been approached by 17 potential bidders for a buyout  including billionaire Carl Icahn who is fighting for control of the oil and gas producer's board.,normal,Unknown
SD,SandRidge Energy Inc,20180615,SandRidge says approached by 17 potential buyers ,June 15 SandRidge Energy Inc said on Friday it had been approached by 17 potential bidders for a buyout.,normal,Unknown
SQM,Sociedad Quimica y Minera SA,20180615,Chile antitrust regulator to probe Tianqi purchase of SQM stake ,SANTIAGO Chile's antitrust regulator FNE said on Friday it would open an investigation into the effects on the market of Chinese miner Tianqi Lithium Corp's purchase last month of a 24 percent stake in SQM  one of the world's top lithium producers.,topStory,Unknown
SQM,Sociedad Quimica y Minera SA,20180615,UPDATE 1-Chile antitrust regulator to probe Tianqi purchase of SQM stake ,SANTIAGO  June 15 Chile's antitrust regulator FNE said on Friday it would open an investigation into the effects on the market of Chinese miner Tianqi Lithium Corp's purchase last month of a 24 percent stake in SQM   one of the world's top lithium producers.,normal,Unknown
SQM,Sociedad Quimica y Minera SA,20180615,Chile anti-trust regulator to probe Tianqi purchase of SQM stake ,SANTIAGO  June 15 Chile's anti-trust regulator FNE said on Friday it would open an investigation into the effects on the market of China's Tianqi purchase last month of a 24 percent stake in SQM   one of the world's top lithium producers.,normal,Unknown
S,Sprint Corporation,20180615,Sprint  T-Mobile plan to file deal application to FCC on Monday ,WASHINGTON Wireless companies Sprint Corp and T-Mobile US Inc have informed the Federal Communications Commission that they will formally file an application asking for approval to merge on Monday  according to a document seen by Reuters.,topStory,Strong Buy
S,Sprint Corporation,20180615,Sprint  T-Mobile plan to file deal application to FCC on Monday ,WASHINGTON  June 15 Wireless companies Sprint Corp and T-Mobile US Inc have informed the Federal Communications Commission that they will formally file an application asking for approval to merge on Monday  according to a document seen by Reuters.,normal,Strong Buy
STT,State Street Corporation,20180615,MOVES- State Street  Legal & General  Franklin Templeton ,June 15 The following financial services industry appointments were announced on Friday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory,Unknown
STT,State Street Corporation,20180615,MOVES-State Street names head of sector solutions for EMEA ,June 15 Custody bank State Street Corp said on Friday it had named Maria Cantillon head of sector solutions for Europe  Middle East and Africa (EMEA).,normal,Unknown
TRP,TransCanada Corporation,20180615,TransCanada fixes part of Leach Xpress natgas pipe after W.Va. blast ,June 15 TransCanada Corp's Columbia Gas Transmission (TCO) unit said it fixed a section of the Leach Xpress natural gas pipeline downstream of a pipe blast in West Virginia last week.,normal,Unknown
UL,Unilever PLC,20180615,British M&A booms two years on from Brexit vote ,LONDON Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
VAR,Varian Medical Systems Inc,20180615,UPDATE 1-Chinese ride-sharing giant Didi picks Australia for first Western foray ,SYDNEY/SHANGHAI  June 15 Didi Chuxing Technology Co Ltd  the Chinese ride-sharing company that bought the mainland operations of Uber Technologies Inc  will begin offering its service this month in Australia  its first foray in a Western-style country.,normal,Sell
VAR,Varian Medical Systems Inc,20180615,Chinese ride-sharing giant Didi picks Australia for first Western foray ,SYDNEY  June 15 Didi Chuxing Technology Co Ltd  the Chinese ride-sharing company which bought the mainland operations of Uber Technologies Inc  said it will begin offering its service this month in Australia  its first foray in a Western country.,normal,Unknown
DIS,Walt Disney Company (The),20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
DIS,Walt Disney Company (The),20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK  June 15 (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
WFC,Wells Fargo & Company,20180615,Wells Fargo receives final approval to settle $142 million lawsuit ,Wells Fargo & Co said on Friday it received final approval from a district court in California to settle a $142 million class-action lawsuit  which compensates customers  affected by a sales scandal related to phony bank accounts.,topStory,Unknown
WFC,Wells Fargo & Company,20180615,UPDATE 3-Wells Fargo receives final approval to settle $142 mln lawsuit ,June 15 Wells Fargo & Co said on Friday it received final approval from a district court in California to settle a $142 million class-action lawsuit  which compensates customers  affected by a sales scandal related to phoney bank accounts.,normal,Unknown
WFC,Wells Fargo & Company,20180615,Wells Fargo settles retail sales lawsuit for $142 mln ,June 15 Wells Fargo & Co said a district court in California approved a $142 million class-action settlement to compensate customers who were affected by a sales scandal related to the opening of phoney bank accounts.,normal,Unknown
WBK,Westpac Banking Corporation,20180615,Australian regulator sues Westpac for staffer's poor financial advice ,SYDNEY An Australian regulator filed a lawsuit against No. 2 lender Westpac Banking Corp  over a financial planner it alleges gave poor advice for years  upping its scrutiny of a sector already under fire amid an embarrassing public inquiry.,topStory,Unknown
WBK,Westpac Banking Corporation,20180615,UPDATE 3-Australian regulator sues Westpac for staffer's poor financial advice ,* Comes amid damaging public inquiry into finance sector (Recasts  adds financial planner context),normal,Unknown
WBK,Westpac Banking Corporation,20180615,Australian regulator sues Westpac bank claiming poor financial advice ,SYDNEY  June 15 Australia's securities regulator said on Friday it had filed a lawsuit against No. 2 lender Westpac Banking Corp over  alleged poor financial advice.,normal,Unknown
