ALGN,Align Technology Inc,20121017,BRIEF-Align Technology shares fall 11.1 pct after the bell following prelim results ,NEW YORK  Oct 17 Align Technology Inc :  * Shares fell 11.1 percent after the bell after it announced preliminary results.,topStory
STLD,Steel Dynamics Inc,20121017,UPDATE 1-Steel Dynamics' profit plunges ,Oct 17 Steel producer and metals recycler Steel Dynamics Inc's third-quarter profit plunged 77 percent as global economic uncertainty cut into steel shipments.,topStory
STLD,Steel Dynamics Inc,20121017,Steel Dynamics' profit falls ,Oct 17 Steel Dynamics' third-quarter profit plunged 77 percent as global economic uncertainty cut into steel shipments.,normal
SPWR,SunPower Corporation,20121017,CORRECTED-UPDATE 2-Sunpower to idle Philippines production lines  cut 900 jobs (Oct 16) ,(Corrects paragraphs one and rewrites paragraph six to say the company cut 15 percent of its global workforce  not 17 percent),topStory
XLNX,Xilinx Inc,20121017,BRIEF-Xilinx shares down 1.4 pct after the bell following results ,NEW YORK  Oct 17 Xilinx Inc :  * Shares were down 1.4 percent after the bell following the release of its results.,topStory
YRCW,YRC Worldwide Inc,20121017,TEXT-S&P revises YRC Worldwide outlook to developing ,Overview      -- We are revising our outlook to developing from stable on U.S.-based  less-than-truckload carrier YRC Worldwide Inc. based on a reassessment of the  company's credit prospects over the next several quarters.      -- In accordance with our criteria for assigning 'CCC' ratings  we  believe a company rated at this level has a significant near-term risk of  default  and we could lower ratings if earnings and cash flow weaken  meaningfully.      -- However  the company's operating per,topStory
AIR,AAR Corp,20121017,UPDATE 4-Rosneft closes in on TNK-BP as tycoons agree exit ,MOSCOW  Oct 17 Russian state oil company Rosneft was closing in on control of privately-held TNK-BP on Wednesday  sending its powerful boss to London for talks with 50 percent shareholder BP after the tycoons who own the other half agreed to sell.,topStory
AIR,AAR Corp,20121017,AAR says will not bid for BP's TNK-BP stake ,LONDON The four tycoons who own half of TNK-BP  will not bid for BP's  50 percent stake in the Anglo-Russian oil firm  the boss of their holding company said on Wednesday  removing a potential obstacle to state oil company Rosneft's  plan to buy it.,normal
AIR,AAR Corp,20121017,AAR says will not bid for BP's TNK-BP stake ,LONDON  Oct 17 The four tycoons who own half of TNK-BP will not bid for BP's 50 percent stake in the Anglo-Russian oil firm  the boss of their holding company said on Wednesday  removing a potential obstacle to state oil company Rosneft's plan to buy it.,normal
AIR,AAR Corp,20121017,Timeline: BP's business in Russia ,MOSCOW Russian state-owned oil company Rosneft was closing in on control of TNK-BP  on Wednesday  sending its powerful CEO to London for talks after the four billionaires who own half the company agreed to sell their stake.,normal
AIR,AAR Corp,20121017,TIMELINE-BP's business in Russia ,MOSCOW  Oct 17 Russian state-owned oil company Rosneft was closing in on control of TNK-BP on Wednesday  sending its powerful CEO to London for talks after the four billionaires who own half the company agreed to sell their stake.,normal
AIR,AAR Corp,20121017,Market Chatter - Corporate finance press digest ,Oct 17 The following corporate finance-related stories were reported by media on Wednesday:           * Oil giant BP Plc has set a deadline of Thursday for all bids for its stake in TNK-BP Holding OAO  in a move expected to elicit offers both from its oligarch partners  AAR  and from Kremlin-controlled NK Rosneft' OAO  the Telegraph reported.* Indonesia's market regulator is investigating the use of funds raised in an initial public offering of one of London-listed Bumi Plc's key ass,normal
ABT,Abbott Laboratories,20121017,Texas acts to defend cheerleaders' use of religious messages ,AUSTIN  Texas The state of Texas is seeking to intervene in a lawsuit on behalf of a high school cheerleading team fighting to continue featuring religious messages on banners at football games  Texas Attorney General Greg Abbott said on Wednesday.,topStory
ABT,Abbott Laboratories,20121017,BRIEF-Abbott sees boost in combined dividends  after company splits ,Oct 17 Abbott Laboratories :  * Expects abbvie  Abbott dividends to total $2.16 per share after company,normal
ALB,Albemarle Corporation,20121017,Albemarle beats estimates despite weak catalyst sales ,Albemarle Corp  posted a higher-than-expected quarterly profit on Wednesday as strong sales of the chemical bromine helped to offset weak sales of catalysts used by petroleum refiners.,topStory
ALB,Albemarle Corporation,20121017,UPDATE 1-Albemarle beats estimates despite weak catalyst sales ,Oct 17 Albemarle Corp posted a higher-than-expected quarterly profit on Wednesday as strong sales of the chemical bromine helped to offset weak sales of catalysts used by petroleum refiners.,normal
ALB,Albemarle Corporation,20121017,Albemarle profit drops 15 percent on weak catalyst sales ,Oct 17 Chemicals maker Albemarle Corp  posted a 15 percent drop in quarterly profit on Wednesday due to weak sales of catalysts used by petroleum refiners.,normal
ATI,Allegheny Technologies Incorporated,20121017,TEXT-S&P summary: African Trade Insurance Agency ,===============================================================================,topStory
AXP,American Express Company,20121017,UPDATE 3-Corporate cutbacks hold back Amex profit ,Oct 17 American Express Co's  third-quarter profit rose only marginally and spending growth remained muted for the second quarter in a row as corporate executives cut spending on travel and entertainment.,topStory
AXP,American Express Company,20121017,American Express 3rd-qtr profit rises marginally ,Oct 17 American Express Co's  third-quarter profit rose only marginally as cardmember spending growth remained muted for the second quarter in a row.,normal
AXP,American Express Company,20121017,BRIEF-American Express shares down 1.7 pct after the bell following results ,NEW YORK  Oct 17 American Express Co :  * Shares were down 1.7 percent after the bell following the release of its results.,normal
AU,AngloGold Ashanti Limited,20121017,TEXT-S&P puts AngloGold Ashanti on watch negative ,Overview      -- We believe that country risk for South African gold miner AngloGold  Ashanti Ltd. (AngloGold) has increased in light of continuing strike action in South Africa and the possible implications of increasing social tensions for the mining industry.      -- We recently lowered our foreign currency rating on South Africa to  'BBB' from 'BBB+' to reflect the deterioration in the social and economic  environment. The outlook remains negative.      -- We are therefore placing on CreditW,topStory
AU,AngloGold Ashanti Limited,20121017,AngloGold says still deciding on strike ultimatum ,LONDON  Oct 17 AngloGold Ashanti  the world's No.3 bullion producer  could make a decision next week on whether to follow other miners and issue striking workers with an ultimatum to return to work or be sacked  its chief executive said on Wednesday.,normal
ADM,Archer-Daniels-Midland Company,20121017,TEXT-S&P rates Archer Daniels Midland Co debentures ,Oct 17 - Standard & Poor's Ratings Services said today it is assigning its 'A' rating to Archer Daniels Midland Co.'s (ADM; A/Negative/A-1) newly issued $570.4 million senior unsecured debentures due 2043. The face value of the debentures reflects the sum total of tendered exchanges of various principal amounts outstanding under a series of existing ADM debentures in accordance with ADM's 144A offering memorandum dated Sept. 14  2012  amended on Sept. 28  2012.   The ratings on ADM reflect our o,topStory
T,AT&T Inc,20121017,Fast-growing Jumptap looks to possible IPO  sale ,Jumptap  a seven-year old mobile advertising startup  said it is considering either listing its shares or selling itself  as it looks to snatch a bigger slice of a market estimated to grow to more than $20 billion over the next three years.,topStory
T,AT&T Inc,20121017,BRIEF-Align Technology shares fall 11.1 pct after the bell following prelim results ,NEW YORK  Oct 17 Align Technology Inc :  * Shares fell 11.1 percent after the bell after it announced preliminary results.,normal
T,AT&T Inc,20121017,BRIEF-American Express shares down 1.7 pct after the bell following results ,NEW YORK  Oct 17 American Express Co :  * Shares were down 1.7 percent after the bell following the release of its results.,normal
AVP,Avon Products Inc,20121017,CORRECTED-U.S. FDA warns Avon to smooth out claims on skin care products ,(Removes paragraph with incorrect reference to CEO start date),topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20121017,S&P revises BBVA Uruguay outlook to negative ,Oct 17 - Overview      -- On Oct. 15  2012  we downgraded Spain-based Banco Bilbao Vizcaya  Argentaria to 'BBB-/A-3' from 'BBB+/A-2' with a negative outlook  following the downgrade of the sovereign.      -- The bank's downgrade resulted in a weakened capacity to provide  support to its subsidiaries.      -- We are revising our outlook on the bank's subsidiary  BBVA Uruguay  to  negative from stable reflecting the outlook on its parent.  Rating Action  On Oct. 17  2012  Standard & Poor's Ratings,topStory
BCH,Banco De Chile,20121017,Banco de Chile shareholders OK $530 mln cap hike ,SANTIAGO  Oct 17 Shareholders of Banco de Chile   Chile's second-largest bank  approved a capital increase of about $530 million on Wednesday.,topStory
BAC,Bank of America Corporation,20121017,Bank of America ekes out a profit as crisis-era costs drag ,Bank of America Corp's  profit fell 95 percent in the third quarter as the second-largest U.S. bank remained haunted by businesses it purchased during the financial crisis. | Video ,topStory
BAC,Bank of America Corporation,20121017,UPDATE 4-BofA ekes out a profit as crisis-era costs drag ,* Mortgage banking rev up 25 percent  bond trading rev jumps,normal
BAC,Bank of America Corporation,20121017,TEXT-S&P ratings on Bank of America unaffected by Q3 results ,Oct 17 - Standard & Poor's Ratings Services today said its ratings on Bank of America Corp. (BofA; A-/Negative/A-2) are not affected by the company's fair third-quarter results  which were in line with our expectations  considering current operating conditions.  BofA generated Standard & Poor's adjusted pretax income of $3.2 billion  (excluding fair-value option and debt-valuation adjustments of $1.9 billion).  Earnings were essentially flat compared with a $3.1 billion profit in the  second qua,normal
BAC,Bank of America Corporation,20121017,TEXT-Fitch says Bank of America Q3 core earnings modestly improve ,Oct 17 - Bank of America (BAC) reported stated 3Q'12 net income of $340 million  down from $2.5 billion from the sequential quarter as a number of items including DVA adjustments and other charges impacted results.  Fitch Ratings calculated pre-tax profits increased to $4.4 billion in 3Q'12  up  from $2.8 billion in 2Q'12. Operating profitability as measured by return on  assets (ROA) was 0.8% in 3Q'12  up modestly from 0.5% in 2Q'12.   While Fitch acknowledges this modest improvement  it also n,normal
BAC,Bank of America Corporation,20121017,BRIEF-Bank of America CFO says estimate for repurchase losses above reserves is $6 b for gses  private investors ,Oct 17 Bank of America Corp :  * CFO says estimate for repurchase losses above reserves is $6 b for gses ,normal
BAC,Bank of America Corporation,20121017,RLPC-BG Group seeks $3 bln loan refinancing ,LONDON  Oct 17 British gas company BG Group  is seeking a $3 billion syndicated loan to refinance existing debt as it continues to diversify its sources of funding to support upstream projects  banking sources said.,normal
BAC,Bank of America Corporation,20121017,Bank of America posts slim profit despite settlement  charges ,Oct 17 Bank of America Corp reported on Wednesday a $340 million third-quarter profit as a legal settlement and other previously disclosed charges dented its bottom line.,normal
BAC,Bank of America Corporation,20121017,BRIEF-Bank of America turns higher  rise 1.5 percent ,NEW YORK  Oct 17 Bank of America Corp :  * Shares turn higher  rise 1.5 percent,normal
BK,Bank Of New York Mellon Corporation (The),20121017,TEXT-S&P: Bank of New York Mellon ratings unaffected by results ,Oct 17 - Standard & Poor's Ratings Services said today that its ratings on Bank of New York Mellon Corp. (BK; A+/Negative/A-1) are not affected by the company's satisfactory third-quarter earnings  which reflect modest fee and net interest revenue growth  coupled with stable expenses during the quarter.    Results met our expectations in the context of the difficult market conditions  of low reinvestment yields and low market activity. Positively  BK's new  business trends in both investment ser,topStory
BK,Bank Of New York Mellon Corporation (The),20121017,BNY Mellon profit rises  but analysts worry about fees ,BNY Mellon Corp  reported an 11 percent rise in third-quarter earnings on Wednesday  beating analysts' expectations  as money management and performance fees increased.,normal
BK,Bank Of New York Mellon Corporation (The),20121017,BNY Mellon CEO - forex revenue comeback might not happen ,BOSTON  Oct 17 Bank of New York Mellon Corp's  foreign exchange revenue  hit hard by changing client behavior and lower volatility in currency markets  might not stage a comeback at the world's largest custody bank  Chief Executive Gerald Hassell warned on Wednesday.,normal
BCS,Barclays PLC,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
BCS,Barclays PLC,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
BCS,Barclays PLC,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
BCS,Barclays PLC,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
BCE,BCE Inc,20121017,Canadian broadcast regulator set to rule on BCE-Astral deal ,TORONTO  Oct 17 The Canadian Radio-Television and Telecommunications Commission said it will issue its decision on Thursday on BCE Inc's controversial C$3 billion takeover of content provider Astral Media Inc.,topStory
BBL,BHP Billiton plc,20121017,UPDATE 1-Iron ore stabilizes  but outlook remains weak ,* Iron ore purchases by China steel mills slow     * Prices seen rangebound as miners  buyers cautious     * China daily steel output up 4 pct early Oct -CISA     * BHP sticks with plan to lift iron ore output   (Adds details throughout  updates rebar price in table)     By Ruby Lian and Manolo Serapio Jr     SHANGHAI/SINGAPORE  Oct 17 Spot iron ore prices stabilized on Wednesday  as steel mills in top buyer China slowed purchases of the raw material amid a weak outlook for demand.  ,topStory
BBL,BHP Billiton plc,20121017,BHP iron ore output shows clout of mega miners ,SYDNEY BHP Billiton   is forging ahead with plans to boost iron ore output as low cost mining giants carve out a larger market share and undercut competitors struggling with slower growth from top buyer China.,normal
BBL,BHP Billiton plc,20121017,BHP Billiton says Australia coal expansions hard to justify ,Global miner BHP Billiton  warned on Wednesday that cost pressures and a strong Australian dollar were making it hard to justify expanding its coal operations in Australia  with coal prices unlikely to get back to record levels.,normal
BBL,BHP Billiton plc,20121017,UPDATE 3-BHP iron ore output shows clout of mega miners ,* BHP says to lift iron ore output 5 pct this year after flat Sept qtr,normal
BBL,BHP Billiton plc,20121017,BHP Billiton says Australia coal expansions hard to justify , ,normal
BBL,BHP Billiton plc,20121017,UPDATE 2-BHP iron ore output shows clout of mega miners ,* BHP says to lift iron ore output 5 pct this year after flat Sept qtr,normal
BLK,BlackRock Inc,20121017,BlackRock third-quarter profit rises 8 percent on ETF gains ,BlackRock Inc   the world's largest money manager  said third-quarter profit rose 8 percent as investors poured cash into its iShares line of exchange-traded funds.,topStory
BLK,BlackRock Inc,20121017,UPDATE 5-BlackRock 3rd-quarter profit rises 8 pct on ETF gains ,* ETF fee cuts could lower annual revenue $35 mln to $40 mln,normal
BLK,BlackRock Inc,20121017,U.S. accounting boards' parent names new chairman ,Oct 17 The Financial Accounting Foundation  which oversees organizations that set accounting standards for U.S. companies and municipal governments  has elected former Swiss bank UBS AG  official Jeffrey Diermeier as chairman of its trustees board.,normal
BLK,BlackRock Inc,20121017,BlackRock's Fink says he is positive on U.S. banks  Europe: CNBC ,NEW YORK Laurence Fink  chairman and chief executive officer of BlackRock Inc  said on Wednesday that he is bullish on U.S. banks and that investors should view volatility in Europe as a buying opportunity.,normal
BLK,BlackRock Inc,20121017,BlackRock's Fink says he is positive on U.S. banks  Europe-CNBC ,NEW YORK  Oct 17 Laurence Fink  chairman and chief executive officer of BlackRock Inc  said on Wednesday that he is bullish on U.S. banks and that investors should view volatility in Europe as a buying opportunity.,normal
BLK,BlackRock Inc,20121017,MSCI earning lower licensing fees on new BlackRock ETFs ,Market index provider MSCI on Wednesday said it is collecting lower licensing fees from exchange-traded fund manager BlackRock on a series of new funds than it charges on older funds.,normal
BLK,BlackRock Inc,20121017,MSCI earning lower licensing fees on new BlackRock ETFs ,Oct 17 Market index provider MSCI on Wednesday said it is collecting lower licensing fees from exchange-traded fund manager BlackRock on a series of new funds than it charges on older funds.,normal
BLK,BlackRock Inc,20121017,BlackRock third-quarter profit rises 8 percent on ETF gains ,BlackRock Inc   the world's largest money manager  said third-quarter profit rose 8 percent as investors poured cash into its iShares line of exchange-traded funds.,normal
BLK,BlackRock Inc,20121017,BlackRock gains ETF flow due to Vanguard index changes ,BlackRock Inc   the world's largest money manager  is gaining customer inflows to its exchange-traded funds because of Vanguard Group's decision to switch benchmarks on some of its funds  BlackRock Chief Executive Laurence Fink said on Wednesday.,normal
BLK,BlackRock Inc,20121017,UPDATE 1-BlackRock gains ETF flow due to Vanguard index changes ,Oct 17 BlackRock Inc  the world's largest money manager  is gaining customer inflows to its exchange-traded funds because of Vanguard Group's decision to switch benchmarks on some of its funds  BlackRock Chief Executive Laurence Fink said on Wednesday.,normal
BA,Boeing Company (The),20121017,Boeing faces union drive at 787 plant in South Carolina ,NORTH CHARLESTON  South Carolina A union representing machinists and aerospace workers took a step closer to organizing Boeing Co's  South Carolina plant this week  holding informational meetings with workers at a hotel near the 787 jet factory in this strongly anti-union state.,topStory
BA,Boeing Company (The),20121017,Boeing faces union drive at 787 plant in South Carolina ,NORTH CHARLESTON  South Carolina  Oct 17 A union representing machinists and aerospace workers took a step closer to organizing Boeing Co's South Carolina plant this week  holding informational meetings with workers at a hotel near the 787 jet factory in this strongly anti-union state.,normal
BA,Boeing Company (The),20121017,BRIEF-American says delivery of first Boeing 787 delayed ,Oct 17 AMR Corp :  * In U.S. filing  AMR's American Airlines delivery of its first Boeing,normal
BP,BP plc,20121017,PRESS DIGEST - Financial Times - Oct 18 ,The chief executive of Rosneft will on Thursday finalise a deal with BP that will turn the Russian oil group into the world's largest publicly traded crude oil producer.,topStory
BP,BP plc,20121017,UPDATE 1-BP meets Azeri state company over output issues ,LONDON  Oct 17 The bosses of BP Plc and Azerbaijan's state oil company SOCAR met on Wednesday to discuss the future of the Azeri ACG oilfield just days after the country accused the British oil company of making "false promises" about output there.,normal
BP,BP plc,20121017,BP meets Azeri state company over output issues ,LONDON  Oct 17 The bosses of BP Plc and Azerbaijan's state oil company SOCAR met on Wednesday to discuss the future of the Azeri ACG oilfield just days after the country accused the British oil company of making "false promises" about output there.,normal
BP,BP plc,20121017,Rosneft closes in on TNK-BP as tycoons agree exit ,MOSCOW Russian state oil company Rosneft was closing in on control of privately-held TNK-BP  on Wednesday  sending its powerful boss to London for talks with 50 percent shareholder BP  after the tycoons who own the other half agreed to sell.,normal
BP,BP plc,20121017,UPDATE 4-Rosneft closes in on TNK-BP as tycoons agree exit ,MOSCOW  Oct 17 Russian state oil company Rosneft was closing in on control of privately-held TNK-BP on Wednesday  sending its powerful boss to London for talks with 50 percent shareholder BP after the tycoons who own the other half agreed to sell.,normal
BP,BP plc,20121017,AAR says will not bid for BP's TNK-BP stake ,LONDON The four tycoons who own half of TNK-BP  will not bid for BP's  50 percent stake in the Anglo-Russian oil firm  the boss of their holding company said on Wednesday  removing a potential obstacle to state oil company Rosneft's  plan to buy it.,normal
BP,BP plc,20121017,AAR says will not bid for BP's TNK-BP stake ,LONDON  Oct 17 The four tycoons who own half of TNK-BP will not bid for BP's 50 percent stake in the Anglo-Russian oil firm  the boss of their holding company said on Wednesday  removing a potential obstacle to state oil company Rosneft's plan to buy it.,normal
BP,BP plc,20121017,RPT-North Sea Crude-Forties weaker  Ekofisk delayed ,(Repeats with correct sign-off)     * Forties offered lower by BP     * Ekofisk crude loadings delayed by four days     * Buzzard field restart due by Sunday-Nexen      LONDON  Oct 17 North Sea Forties differentials slipped on Wednesday as buying interest cooled  although delayed loadings and deferrals to shipments of another benchmark grade  Ekofisk  could lend support.     European refining margins have narrowed this week and supply of other light  sweet crudes is ample  countering,normal
BP,BP plc,20121017,Timeline: BP's business in Russia ,MOSCOW Russian state-owned oil company Rosneft was closing in on control of TNK-BP  on Wednesday  sending its powerful CEO to London for talks after the four billionaires who own half the company agreed to sell their stake.,normal
BP,BP plc,20121017,TIMELINE-BP's business in Russia ,MOSCOW  Oct 17 Russian state-owned oil company Rosneft was closing in on control of TNK-BP on Wednesday  sending its powerful CEO to London for talks after the four billionaires who own half the company agreed to sell their stake.,normal
CNC,Centene Corporation,20121017,Centene ends Kentucky Medicaid contract  shares rise ,Health insurer Centene Corp  said it would stop offering Medicaid cover in Kentucky  sending its shares up 12.7 percent as investors welcomed an end to the high cost of the business.,topStory
LFC,China Life Insurance Company Limited,20121017,UPDATE 3-China Life warns on profits ,* Cites lower investment yields  higher impairments as reasons,topStory
LFC,China Life Insurance Company Limited,20121017,China Life warns of 55 percent fall in 9-month net profit ,HONG KONG China Life    the world's largest insurer by market value  warned on Wednesday that its nine-month net profit could drop by 55 percent due to a fall in investment yield and higher impairment losses from continued weakness in the capital market.,normal
LFC,China Life Insurance Company Limited,20121017,China Life warns of 55 pct decrease in 9-month net profit ,HONG KONG  Oct 17 China Life    the world's largest insurer by market value  warned on Wednesday that its net profit in the first nine months of the year could be about 55 percent below what it was in the same period of last year.,normal
C,Citigroup Inc,20121017,PRESS DIGEST - Financial Times - Oct 18 ,The chief executive of Rosneft will on Thursday finalise a deal with BP that will turn the Russian oil group into the world's largest publicly traded crude oil producer.,topStory
C,Citigroup Inc,20121017,New Citigroup CEO sets interim reporting lines: memo ,New Citigroup Inc  Chief Executive Officer Mike Corbat set up interim reporting lines for his executive ranks on Wednesday  a day after he was named to the top job at the New York-based global bank.,normal
C,Citigroup Inc,20121017,New Citigroup CEO sets interim reporting lines-memo ,Oct 17 New Citigroup Inc Chief Executive Officer Mike Corbat set up interim reporting lines for his executive ranks on Wednesday  a day after he was named to the top job at the New York-based global bank.,normal
C,Citigroup Inc,20121017,BRIEF-Citigroup CEO memo: N. America head Bill Mills is interim head of EMEA ,Oct 17 Citigroup Inc :  * CEO says North America head bill mills will be interim head of emea  * New CEO corbat will take over reporting lines from former COO havens-memo  * New CEO mike corbat sends memo to managing directors  * CEO memo sets 'interim' reporting lines pending organizational review,normal
C,Citigroup Inc,20121017,Citi rushes to replace Corbat in EMEA top job ,LONDON Citigroup's  new boss Mike Corbat is rushing to plug the gap he left at the helm of the U.S. bank's European business  a major hub for investment banking income but which still lags other regions by revenue.,normal
C,Citigroup Inc,20121017,Citigroup taps former Silver Lake partner as M&A head in Japan ,TOKYO  Oct 17 Citigroup has appointed Masao Yoshikawa  a former partner at private equity firm Silver Lake  as its new head of mergers and acquisitions (M&A) in Japan  according to an internal memo obtained by Reuters.,normal
C,Citigroup Inc,20121017,Citi CEO Pandit exits abruptly after board clash ,A regular Citigroup Inc board meeting to talk about quarterly results took an unexpected turn on Monday night  when simmering tensions between Chairman Michael O'Neill and then Chief Executive Vikram Pandit came to a boil.,normal
C,Citigroup Inc,20121017,UPDATE 10-Citi CEO Pandit exits abruptly after board clash ,* Michael Corbat named CEO     * Pandit says he had considered leaving for some time     * COO John Havens  a close Pandit associate  also resigns     * Citigroup shares rise 1.6 percent       By Carrick Mollenkamp and Jed Horowitz and Rob Cox     Oct 16 A regular Citigroup Inc board meeting to talk about quarterly results took an unexpected turn on Monday night  when simmering tensions between Chairman Michael O'Neill and then Chief Executive Vikram Pandit came to a boil.      O'Nei,normal
C,Citigroup Inc,20121017,Pandit seen leaving Citi without much of a parachute ,Vikram Pandit may leave Citigroup Inc without a rich exit package  compensation experts say  although final terms of his departure likely will not be known for several days.,normal
CMA,Comerica Incorporated,20121017,TEXT-S&P comments on Comerica ,Oct 17 - Standard & Poor's Ratings Services today said its ratings and outlook on Comerica Inc. (A-/Stable/A-2) are not affected by the company's third-quarter results  which were generally consistent with our expectations.   Net income rose to $117 million from $98 million in third-quarter 2011  partly  as a result of lower noninterest expenses and lower provisions for loan  losses  although both metrics rose sequentially. However  weighing on results   the net interest margin declined a substa,topStory
CMA,Comerica Incorporated,20121017,Comerica profit misses as commercial real estate loans fall ,U.S. regional bank Comerica Inc  reported a third-quarter profit that missed analysts' expectations  mainly due to a drop in higher-yielding commercial real estate loans that hurt its net interest margin.,normal
CMA,Comerica Incorporated,20121017,UPDATE 1-Comerica profit misses as commercial real estate loans fall ,Oct 17 U.S. regional bank Comerica Inc  reported a third-quarter profit that missed analysts' expectations  mainly due to a drop in higher-yielding commercial real estate loans that hurt its net interest margin.,normal
CMA,Comerica Incorporated,20121017,CORRECTED-Comerica profit misses expectations ,(Corrects paragraph 1 to say "commercial mortgage customers" instead of "commercial customers"),normal
CMA,Comerica Incorporated,20121017,Comerica profit misses expectations ,U.S. regional bank Comerica Inc  reported a third-quarter profit that missed analysts' expectations  mainly due to a drop in loans to commercial customers.,normal
CBD,Companhia Brasileira de Distribuicao,20121017,Pao de Acucar says KPMG looking at Via Varejo after complaint ,RIO DE JANEIRO  Oct 16 Pao de Acucar  said on Tuesday that allegations made by a minority partner about problems with a 2010 merger that helped turn the company into its Brazil's biggest retailer were "hasty  distorted and damaging".,topStory
CVS,CVS Health Corporation,20121017,California Pharmacy Board investigating complaints about CVS ,California's pharmacy regulator is investigating consumer complaints filed in the wake of reports that CVS Caremark Corp refilled prescriptions and billed insurance companies without patients' consent.,topStory
CVS,CVS Health Corporation,20121017,California Pharmacy Board investigating complaints about CVS ,Oct 17 California's pharmacy regulator is investigating consumer complaints filed in the wake of reports that CVS Caremark Corp refilled prescriptions and billed insurance companies without patients' consent.,normal
DF,Dean Foods Company,20121017,Dean Foods' WhiteWave unit to raise up to $320 million in IPO ,Dean Foods Co  reported strong preliminary results for its WhiteWave Foods business and said the unit's upcoming initial public offering should raise as much as $320 million  sending Dean shares up more than 13 percent.,topStory
DF,Dean Foods Company,20121017,Dean Foods unit Whitewave to raise up to $320 mln in IPO ,Oct 17 Dean Foods Co unit Whitewave Foods Co said it plans to raise up to $320 million in an initial public offering.,normal
DB,Deutsche Bank AG,20121017,New Issue- Deutsche Telekom prices 650 mln euro 2024 bond ,Borrower                Deutsche Telekom International Finance B.V,topStory
DB,Deutsche Bank AG,20121017,Jefferies hires media  telecom banker from Deutsche Bank ,NEW YORK  Oct 17 Jefferies Group Inc has hired Prem Parameswaran as global head of media and telecommunications investment banking  the firm said on Wednesday.     Parameswaran  who will be based in New York  joins the firm from Deutsche Bank  where he spent nine years and was most recently Americas head of media and telecommunications investment banking.     "Our goal is to expand further our presence in the media and telecom sectors.. and to take advantage of the rapid convergence ,normal
DB,Deutsche Bank AG,20121017,STOCKS NEWS INDONESIA-Rising smartphone sales to boost telcos' revenues - Deutsche Bank ,Rising smartphone sales in Indonesia  driven by an expanding middle class  will help drive data traffic and boost the revenue of telecom companies  Deutsche Bank Markets Research said.,normal
DEO,Diageo plc,20121017,UPDATE 2-Asia Pacific slip hampers Diageo sales ,LONDON  Oct 17 Diageo  the world's biggest spirits group  said a postponed duty free shipment heading for global travelers and a weak South Korean market hampered quarterly trading in its Asia Pacific region.,topStory
DEO,Diageo plc,20121017,U.S. and emerging market drinkers lift Diageo sales ,LONDON Diageo   the world's biggest spirits group  posted a 5 percent rise in underlying quarterly sales  driven by demand for brands including Smirnoff vodka and Captain Morgan rum in the United States and across emerging markets.,normal
DEO,Diageo plc,20121017,Diageo first quarter sales up 5 pct ,LONDON  Oct 17 The world's biggest spirits group  Diageo Plc  posted a 5 percent rise in underlying first-quarter sales  boosted by strong growth in emerging markets and a good performance at its spirits business in the United States.,normal
DOV,Dover Corporation,20121017,Dover cuts full-year forecast on weakness in handsets  electronics ,U.S. industrial conglomerate Dover Corp  reported lower-than-expected revenue for the third quarter due to weakness in its handset and electronics businesses  and cut its full-year forecast for the second time this year.,topStory
DOV,Dover Corporation,20121017,UPDATE 2-Dover cuts FY forecast on weakness in handsets  electronics ,* Third-quarter earnings $1.32 per share vs est $1.28 per share,normal
DOV,Dover Corporation,20121017,Dover Corp revenue misses Street ,Oct 17 U.S. industrial conglomerate Dover Corp's  quarterly revenue missed analysts' estimates  hurt by lower sales in its handset and electronics businesses.,normal
E,ENI SpA,20121017,RPT-BRIEF-Aker Solutions gets $50 mln Eni contract ,* Aker Solutions has signed a contract with ENI for the Block 15\06 West Hub development project in the Angolan deep water region.,topStory
E,ENI SpA,20121017,BRIEF-Aker Solutions gets $50 mln Eni contract ,* Aker Solutions has signed a contract with ENI for the Block 15\06 West Hub development project in the Angolan deep water region.,normal
XOM,Exxon Mobil Corporation,20121017,Exxon to buy Canada's Celtic Exploration for C$2.6 billion ,CALGARY  Alberta Exxon Mobil Corp agreed to buy Celtic Exploration Ltd for C$2.6 billion ($2.64 billion)  in a deal to raise its presence in some of Western Canada's most promising shale oil and gas regions.,topStory
