AMCX,AMC Networks Inc,20121101,DIARY-NON S&P WEEK AHEAD - Part III ,** For events before Nov. 8 - please click on or .  ** For events before Nov. 6 - please click on or .   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 08 Nov    BMO    Q3 2012 Advance Auto Parts                       1.22    18     1.41 08 Nov           Q3 2012 Cam,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
FLAT,iPath US Treasury Flattener ETN,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
FLAT,iPath US Treasury Flattener ETN,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
FLAT,iPath US Treasury Flattener ETN,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
FLAT,iPath US Treasury Flattener ETN,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
FLAT,iPath US Treasury Flattener ETN,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
FLAT,iPath US Treasury Flattener ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
FLAT,iPath US Treasury Flattener ETN,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
FLAT,iPath US Treasury Flattener ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
FLAT,iPath US Treasury Flattener ETN,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
FLAT,iPath US Treasury Flattener ETN,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
STPP,iPath US Treasury Steepener ETN,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
STPP,iPath US Treasury Steepener ETN,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
STPP,iPath US Treasury Steepener ETN,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
STPP,iPath US Treasury Steepener ETN,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
STPP,iPath US Treasury Steepener ETN,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
STPP,iPath US Treasury Steepener ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
STPP,iPath US Treasury Steepener ETN,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
STPP,iPath US Treasury Steepener ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
STPP,iPath US Treasury Steepener ETN,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
STPP,iPath US Treasury Steepener ETN,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
MU,Micron Technology Inc,20121101,Elpida says Tokyo court approves acquisition by Micron ,SAN FRANCISCO/TOKYO Micron Technology's plan to acquire Japanese memory chipmaker Elpida took a big step toward completion after a Tokyo court approved the agreement and dismissed a rival proposal promoted by a group of bondholders.,topStory
MU,Micron Technology Inc,20121101,UPDATE 2-Elpida says Tokyo court approves acquisition by Micron ,* Tokyo court dismisses rival proposal by group of Elpida bondholders,normal
MSFT,Microsoft Corporation,20121101,Microsoft pushes new Windows to developers ,SEATTLE Days after launching Windows 8  Microsoft Corp is mounting a strong campaign to win over the software developers it needs to kick-start its new operating system.,topStory
MSFT,Microsoft Corporation,20121101,Microsoft pushes new Windows to developers ,SEATTLE  Nov 1 Days after launching Windows 8  Microsoft Corp is mounting a strong campaign to win over the software developers it needs to kick-start its new operating system.,normal
MDLZ,Mondelez International Inc,20121101,Mondelez to close Toronto bakery next year  550 jobs hit ,TORONTO  Nov 1 Mondelez International Inc's  Canadian division said on Thursday it plans to shut down a Toronto bakery in the third quarter of 2013.,topStory
NFLX,Netflix Inc,20121101,Netflix tells Icahn it is open to his input ,LOS ANGELES Netflix Inc said on Thursday it was open to input from billionaire Carl Icahn  the activist investor who now controls 10 percent of the video rental company's shares a day after his surprise investment.,topStory
NFLX,Netflix Inc,20121101,UPDATE 2-Netflix tells Icahn it is open to his input ,LOS ANGELES  Nov 1 Netflix Inc said on Thursday it was open to input from billionaire Carl Icahn  the activist investor who now controls 10 percent of the video rental company's shares a day after his surprise investment.,normal
NFLX,Netflix Inc,20121101,Netflix says open to input in response to Icahn ,LOS ANGELES  Nov 1 Netflix Inc  responded on Thursday to billionaire Carl Icahn's investment in the company  saying it was open to input from all shareholders.,normal
NFLX,Netflix Inc,20121101,Netflix shares soar after Icahn reports 10 percent stake purchase ,Billionaire investor Carl Icahn bought 10 percent of Netflix Inc   presaging another bruising corporate battle and raising the possibility that the pioneering movie and TV-streaming company would get acquired.,normal
NFLX,Netflix Inc,20121101,UPDATE 4-Netflix shares soar after Icahn reports 10 pct stake purchase ,* Icahn says Netflix undervalued  possible takeover target,normal
NWS,News Corporation,20121101,James Murdoch retains place on BSkyB board ,LONDON James Murdoch's seat on the board of pay-TV group BSkyB was opposed by just 5 percent of voting shareholders at the company's annual investor meeting in London on Thursday.,topStory
NWSA,News Corporation,20121101,James Murdoch retains place on BSkyB board ,LONDON James Murdoch's seat on the board of pay-TV group BSkyB was opposed by just 5 percent of voting shareholders at the company's annual investor meeting in London on Thursday.,topStory
PTIE,Pain Therapeutics Inc,20121101,BRIEF-Pfizer says to make "go or no go" decision by March 2013 on Remoxy ,Nov 1 Pfizer Inc :  * Says to make "go or no go" decision by March 2013 on whether to renew marketing application for Remoxy pain medicine  * Says its decision on drug  partnered with Pain Therapeutics   will,topStory
MARK,Remark Holdings Inc,20121101,DALCOMP NEGOTIATED CALENDAR ,IN ORDER TO ENSURE THAT WE HAVE TIME TO ENTER ALL NEW ISSUE INFORMATION  DALCOMP ASKS THAT FIRMS CALL US AT 212-404-8107 OR USE OUR FAX 212-404-8153 TO INFORM US UPCOMING ISSUES.  WE WILL ADD ANY INFORMATION WE RECEIVE BY 2 P.M.  EDT  ON THURSDAY AFTERNOON.  PLEASE BE SURE TO INCLUDE THE ENTIRE MANAGEMENT GROUP. IF YOU HAVE ANY QUESTIONS ABOUT THIS SERVICE  PLEASE CALL DALCOMP AT 212-404-8107. ISSUE/SENIOR MANAGER                   SALE            (IN 000)   MDY/S&P/FTCH --------------------    ,topStory
SASR,Sandy Spring Bancorp Inc,20121101,Fuel scarce  East Coast struggles to recover from storm ,NEW YORK/SEASIDE HEIGHTS  New Jersey Rescuers searched flooded homes for survivors  drivers lined up for hours to get scarce gasoline and millions remained without power on Thursday as New York City and nearby towns struggled to recover from one of the biggest storms to hit the United States. | Video ,topStory
SASR,Sandy Spring Bancorp Inc,20121101,Sandy seen costing telco  cable hundreds of millions of dollars ,NEW YORK  Nov 1 Hurricane Sandy will likely cost telephone and cable service providers hundreds of millions of dollars  with companies such as Verizon Communications  and Cablevision Systems Corp hit hardest  according to analysts.,normal
SASR,Sandy Spring Bancorp Inc,20121101,Sandy caused "major damage" to U.N. headquarters: official ,UNITED NATIONS The United Nations headquarters suffered severe damage when Sandy  a massive storm that hit the U.S. East Coast this week  caused heavy flooding at the world body's Manhattan complex along the East River  the U.N. security chief said on Thursday.,normal
SASR,Sandy Spring Bancorp Inc,20121101,UPDATE 2-ConEd says power to resume for most NY customers by Nov. 11 ,* In hard-hit states  NY and NJ  no service for 1.5 million,normal
SASR,Sandy Spring Bancorp Inc,20121101,Three days after Sandy  659 000 ConEd customers in NY powerless ,New York power company Consolidated Edison Inc said Thursday it still had about 659 400 homes and businesses without power three days after monster storm Sandy slammed into the U.S. East Coast.,normal
SASR,Sandy Spring Bancorp Inc,20121101,Three days after Sandy  659 000 ConEd customers in NY powerless ,Nov 1 New York power company Consolidated Edison Inc said Thursday it still had about 659 400 homes and businesses without power three days after monster storm Sandy slammed into the U.S. East Coast.,normal
SASR,Sandy Spring Bancorp Inc,20121101,WRAPUP 9-Flood ebbs  U.S. Northeast picks up after epic storm ,* New Yorkers commute by foot  bike  car; streets clogged,normal
STX,Seagate Technology PLC,20121101,NJ power firm PSEG says Sandy severely damaged infrastructure ,Public Service Enterprise Group Inc  the biggest utility in New Jersey  said superstorm Sandy had caused severe damage to its infrastructure and it expected its losses to be material.,topStory
SIRI,Sirius XM Holdings Inc,20121101,UPDATE 2-Sirius' Q3 revenue up  offers no update on CEO search ,* CEO Karmazin said last week he would step down in February,topStory
SIRI,Sirius XM Holdings Inc,20121101,Sirius XM revenue beats estimates ,Nov 1 Satellite radio company Sirius XM Radio Inc posted better-than-expected quarterly revenue as sales to subscribers jumped 15 percent.,normal
SBUX,Starbucks Corporation,20121101,Starbucks raises 2013 forecast  defies industry trend ,Starbucks Corp  raised its profit forecast for the current fiscal year after sales in its top market of the United States topped expectations  giving the company optimism that has eluded much of the U.S. restaurant industry in recent months.,topStory
SBUX,Starbucks Corporation,20121101,UPDATE 4-Starbucks raises 2013 forecast  defies industry trend ,* CFO sees no material impact this quarter from Hurricane Sandy,normal
SBUX,Starbucks Corporation,20121101,Starbucks raises full-year forecast on strong sales ,Nov 1 Starbucks Corp reported higher quarterly profit on Thursday  as overall sales at its established coffee shops topped analysts' estimates  and it raised its forecast for fiscal 2013.,normal
SBUX,Starbucks Corporation,20121101,BRIEF-Starbucks shares up 6.1 percent after the bell ,NEW YORK  Nov 1 Starbucks Corp :  * Shares up 6.1 percent after the bell following results,normal
SPWR,SunPower Corporation,20121101,First Solar  SunPower results top estimates ,LOS ANGELES U.S. solar companies First Solar Inc  and SunPower Corp  reported stronger-than-expected quarterly results as cost cuts and new projects helped offset the impact of weak prices due to a global glut of solar panels.,topStory
SPWR,SunPower Corporation,20121101,WRAPUP 2-First Solar  SunPower results top estimates ,* SunPower's posts 3-ct/share profit; analysts expected loss,normal
SPWR,SunPower Corporation,20121101,BRIEF-SunPower: leasing business to account for 10 pct of 2012 shipments ,Nov 1 SunPower Corp :  * Sees non-GAAP Q4 revenue of $700 million to $900 million  gross margin 14-16,normal
SPWR,SunPower Corporation,20121101,SunPower posts smaller loss on cost cuts ,U.S. solar company SunPower Corp  reported a decline in quarterly loss as it generated more revenue from North America and cut panel costs.,normal
SPWR,SunPower Corporation,20121101,SunPower posts smaller loss on cost cuts ,Nov 1 U.S. solar company SunPower Corp  reported a decline in quarterly loss as it generated more revenue from North America and cut panel costs.,normal
CG,The Carlyle Group LP,20121101,UPDATE 2-Defence firm Chemring warns on year profit ,* Carlyle Group has Nov. 9 deadline to make offer for Chemring,topStory
TCGP,The Carlyle Group LP,20121101,UPDATE 2-Defence firm Chemring warns on year profit ,* Carlyle Group has Nov. 9 deadline to make offer for Chemring,topStory
TRIP,TripAdvisor Inc,20121101,TripAdvisor profit beats expectations on higher ad revenue ,TripAdvisor Inc  reported a higher-than-expected third-quarter profit as more people around the world visited the company's travel website  generating higher advertising revenue.,topStory
TRIP,TripAdvisor Inc,20121101,TripAdvisor profit beats expectations on higher ad revenue ,Nov 1 TripAdvisor Inc reported a higher-than-expected third-quarter profit as more people around the world visited the company's travel website  generating higher advertising revenue.,normal
TRIP,TripAdvisor Inc,20121101,BRIEF-TripAdvisor shares up 12.4 percent after the bell ,NEW YORK  Nov 1 TripAdvisor Inc :  * Shares up 12.4 percent after the bell following results,normal
VRTX,Vertex Pharmaceuticals Incorporated,20121101,Vertex posts loss as hepatitis drug sales plunge ,Vertex Pharmaceuticals Inc reported a net loss for the third quarter on Thursday with results hurt by fast-declining sales of its Incivek hepatitis C drug  as the company turned its attention to developing a next generation of treatments for the serious liver disease.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20121101,UPDATE 2-Vertex posts loss as hepatitis drug sales fall ,* Shares fall 4.3 percent after hours   (Adds analyst comment  updates share price),normal
AAP,Advance Auto Parts Inc,20121101,Advance Auto explores sale to private equity: sources ,NEW YORK Advance Auto Parts Inc  has hired investment bank Blackstone Advisory to explore a potential sale to private equity  two people familiar with the matter said on Thursday  in a deal that could top $6 billion.,topStory
AAP,Advance Auto Parts Inc,20121101,UPDATE 1-Advance Auto explores sale to private equity-sources ,NEW YORK  Nov 1 Advance Auto Parts Inc  has hired investment bank Blackstone Advisory to explore a potential sale to private equity  two people familiar with the matter said on Thursday  in a deal that could top $6 billion.,normal
AAP,Advance Auto Parts Inc,20121101,Advance Auto explores sale to private equity-source ,NEW YORK  Nov 1 Advance Auto Parts Inc  has hired investment bank Blackstone Advisory to explore a potential sale to private equity  a source familiar with the matter said on Thursday  in a deal that could top $6 billion.,normal
AAP,Advance Auto Parts Inc,20121101,Advance Auto Parts shares soar 15.2 percent after resuming trade ,NEW YORK Shares of Advance Auto Parts  skyrocketed 15.2 percent after resuming trade on Thursday.,normal
AAP,Advance Auto Parts Inc,20121101,Advance Auto Parts shares soar 15.2 pct after resuming trade ,NEW YORK  Nov 1 Shares of Advance Auto Parts  skyrocketed 15.2 percent after resuming trade on Thursday.,normal
ALL,Allstate Corporation (The),20121101,Allstate beats expectations  ready for Sandy claims ,Home and auto insurer Allstate Corp  reported a larger profit for the third quarter on a decline in disaster losses and improving margins  as its chief executive said storm Sandy would not materially affect the company's overall financial condition.,topStory
ALL,Allstate Corporation (The),20121101,UPDATE 3-Allstate beats expectations  ready for Sandy claims ,Oct 31 Home and auto insurer Allstate Corp  reported a larger profit for the third quarter on a decline in disaster losses and improving margins  as its chief executive said storm Sandy would not materially affect the company's overall financial condition.,normal
AIG,American International Group Inc,20121101,AIG reports big investment gains  premium profits down ,American International Group Inc  earned a larger-than-expected profit during the third quarter  due in part to big gains on its investment holdings.,topStory
AIG,American International Group Inc,20121101,UPDATE 1-AIG reports big investment gains  premium profits down ,* Investment gains boost profits as premiums earnings drop,normal
AIG,American International Group Inc,20121101,AIG CEO says still waiting for markets to improve for ILFC ,Insurer American International Group  is still waiting for markets to improve before trying to take its aircraft leasing business ILFC Holdings  public  Chief Executive Bob Benmosche said on Thursday.,normal
AIG,American International Group Inc,20121101,AIG CEO says still waiting for markets to improve for ILFC ,Nov 1 Insurer American International Group  is still waiting for markets to improve before trying to take its aircraft leasing business ILFC Holdings  public  Chief Executive Bob Benmosche said on Thursday.,normal
AIG,American International Group Inc,20121101,BRIEF-AIG shares down 2 pct after the bell following results ,NEW YORK  Nov 1 American International Group Inc  :  * Shares were down 2 percent after the bell following the release of its results.,normal
AIG,American International Group Inc,20121101,AIG reports profit on higher prices  investment gains ,Nov 1 American International Group Inc  earned a bigger-than-expected profit during the third quarter  as higher prices in the insurer's property-casualty division and gains on investments in its life and retirement division led to a sharp rise in operating income.,normal
AIG,American International Group Inc,20121101,BRIEF-AIG shares up 0.8 percent in premarket trading ,NEW YORK  Nov 1 American International Group Inc  :  * Shares up 0.8 percent in premarket trading,normal
APA,Apache Corporation,20121101,UPDATE 1-Weak natgas prices hurt Apache profit ,Nov 1 Apache Corp's quarterly profit fell for the third time in a row as the oil and gas producer wrote down the value of its Canadian properties because of weakness in natural gas prices.,topStory
APA,Apache Corporation,20121101,Apache profit plunges on big write-down ,Apache Corp's  profit plunged as the oil and gas producer wrote down the carrying value of its Canadian properties due to weakness in natural gas prices.,normal
APA,Apache Corporation,20121101,Apache profit plunges on big write-down ,Nov 1 Apache Corp's profit plunged as the oil and gas producer wrote down the carrying value of its Canadian properties due to weakness in natural gas prices.,normal
ATR,AptarGroup Inc,20121101,UPDATE 1-AptarGroup profit misses Street; to close 2 Europe facilities ,Nov 1 Packaging products maker AptarGroup Inc  said it would restructure its European operations after the company posted a quarterly profit below analysts' estimates due to soft demand in the region.,topStory
ATR,AptarGroup Inc,20121101,AptarGroup's profit falls; sees weak 4th qtr ,Nov 1 Packaging products maker AptarGroup Inc  posted lower quarterly results  hurt by a strong dollar and soft demand for its products  and the company forecast a weak fourth-quarter profit.,normal
T,AT&T Inc,20121101,TripAdvisor profit beats expectations on higher ad revenue ,Nov 1 TripAdvisor Inc reported a higher-than-expected third-quarter profit as more people around the world visited the company's travel website  generating higher advertising revenue.,topStory
T,AT&T Inc,20121101,Priceline.com profit rises  shares jump 9 percent after bell ,Priceline.com   the online travel agency known for its name-your-own-price auction  on Thursday topped third-quarter profit estimates as results in Europe were better than expected  and its shares rose 9 percent after the bell.,normal
T,AT&T Inc,20121101,UPDATE 1-Priceline.com profit rises  shares jump 9 pct after bell ,Nov 1 Priceline.com  the online travel agency known for its name-your-own-price auction  on Thursday topped third-quarter profit estimates as results in Europe were better than expected  and its shares rose 9 percent after the bell.,normal
T,AT&T Inc,20121101,Priceline.com profit rises  shares jump 9 percent after the bell ,Online travel agency Priceline.com on Thursday posted higher third-quarter profit as international revenue rose more than 30 percent  and its shares rose 9 percent after the bell.,normal
T,AT&T Inc,20121101,BRIEF-AIG shares down 2 pct after the bell following results ,NEW YORK  Nov 1 American International Group Inc  :  * Shares were down 2 percent after the bell following the release of its results.,normal
T,AT&T Inc,20121101,BRIEF-ON Semiconductor shares down 4.2 pct after the bell following results ,NEW YORK  Nov 1 ON Semiconductor Corp :  * Shares were down 4.2 percent after the bell following the release of its results.,normal
T,AT&T Inc,20121101,Priceline.com profit rises  shares jump 9 pct after the bell ,Nov 1 Online travel agency Priceline.com on Thursday posted higher third-quarter profit as international revenue rose more than 30 percent  and its shares rose 9 percent after the bell.,normal
