ACHN,Achillion Pharmaceuticals Inc,20120927,Achillion hepatitis C drug shows promise in early trial ,Achillion Pharmaceuticals Inc said an early-stage trial of its experimental hepatitis C treatment showed that a single dose of the drug significantly reduced the severity of the infection.,topStory
DTQ,DTE Energy Company,20120927,TEXT-Fitch rates DTE Energy debentures 'BB+' ,Sept 27 - Fitch Ratings has assigned a rating of 'BB+' to DTE Energy Company's (DTE  IDR 'BBB' by Fitch) $200 million issuance of 5.25% Junior Subordinated debentures  2012 series C  due Dec. 1  2062. The Junior Subordinated debentures rank junior to other unsecured debt of DTE. Proceeds from the issuance will be used for general corporate purposes  including the purchase of a portfolio of on-site energy projects.  In Fitch's calculations  this instrument qualifies for 50% equity treatment due t,topStory
DTV,DTE Energy Company,20120927,TEXT-Fitch rates DTE Energy debentures 'BB+' ,Sept 27 - Fitch Ratings has assigned a rating of 'BB+' to DTE Energy Company's (DTE  IDR 'BBB' by Fitch) $200 million issuance of 5.25% Junior Subordinated debentures  2012 series C  due Dec. 1  2062. The Junior Subordinated debentures rank junior to other unsecured debt of DTE. Proceeds from the issuance will be used for general corporate purposes  including the purchase of a portfolio of on-site energy projects.  In Fitch's calculations  this instrument qualifies for 50% equity treatment due t,topStory
DTY,DTE Energy Company,20120927,TEXT-Fitch rates DTE Energy debentures 'BB+' ,Sept 27 - Fitch Ratings has assigned a rating of 'BB+' to DTE Energy Company's (DTE  IDR 'BBB' by Fitch) $200 million issuance of 5.25% Junior Subordinated debentures  2012 series C  due Dec. 1  2062. The Junior Subordinated debentures rank junior to other unsecured debt of DTE. Proceeds from the issuance will be used for general corporate purposes  including the purchase of a portfolio of on-site energy projects.  In Fitch's calculations  this instrument qualifies for 50% equity treatment due t,topStory
EC,Ecopetrol SA,20120927,Colombia's Ecopetrol says rebel attacks drop off as talks loom ,LONDON  Sept 27 Colombia's Ecopetrol  said rebel attacks on its pipelines had dropped in the last month  giving hope that upcoming peace talks to try to end five decades of war could benefit the country's largest oil producer.,topStory
ENB,Enbridge Inc,20120927,UPDATE 1-Enbridge wins okay for C$1.4 bln Alberta pipeline ,CALGARY  Alberta  Sept 27 Enbridge Inc has won regulatory approval to add an Alberta  crude pipeline at a cost of up to C$1.4 billion ($1.4 billion) to move output from Imperial Oil Ltd's Kearl oil sands project and increasing production from others in the region  the company said on Thursday.,topStory
XOM,Exxon Mobil Corporation,20120927,Regulators allow Mobil to raise Pegasus pipeline rates ,NEW YORK  Sept 27 The Federal Energy Regulatory Commission (FERC) on Thursday approved the increased tariff requested by Mobil Pipeline for its Illinois-to-Texas crude oil line  saying it lacked significant "market power" to control rates.,topStory
F,Ford Motor Company,20120927,UPDATE 6-CAW wraps up Detroit 3 bargaining with Chrysler deal ,* Third Detroit automaker to reach deal with Canadian union,topStory
GEK,General Electric Capital Corporation,20120927,No cracks found in GE jet engine that failed in Shanghai-NTSB ,CROTONVILLE  N.Y.  Sept 27 The failure of General Electric Co -made jet engine that caused a freighter to abort takeoff in Shanghai  China  earlier this month did share the same root cause with a fire in a similar engine in Charleston  South Carolina  in July  U.S. safety officials said on Thursday.,topStory
GEK,General Electric Capital Corporation,20120927,GE expects to close MetLife deal in "reasonable timeframe": CFO ,CROTONVILLE  New York General Electric Co  expects to close its acquisition of $7 billion of bank deposits from MetLife Inc  in a "reasonable timeframe " its chief financial officer said on Thursday.,normal
GEK,General Electric Capital Corporation,20120927,GE expects to close MetLife deal in "reasonable timeframe" -CFO ,CROTONVILLE  N.Y.  Sept 27 General Electric Co  expects to close its acquisition of $7 billion of bank deposits from MetLife Inc in a "reasonable timeframe " its chief financial officer said on Thursday.,normal
GEK,General Electric Capital Corporation,20120927,GE raises 2012 sales view  stock up three percent ,CROTONVILLE  New York General Electric Co  on Thursday raised its 2012 industrial revenue growth forecast to 10 percent  the high-end of its prior 5 to 10 percent range  sending its shares to their highest price level since 2008.,normal
GEK,General Electric Capital Corporation,20120927,UPDATE 3-GE raises 2012 sales view  stock up 3 percent ,* Sees double-digit percentage earnings growth in 2012  2013,normal
GEK,General Electric Capital Corporation,20120927,CORRECTED-UPDATE 1-GE sees 2012 industrial revenue up 10 percent ,(Corrects to show not interested in big mining acquisition),normal
GEK,General Electric Capital Corporation,20120927,CORRECTED-GE sees 2012 industrial revenues up 10 pct ,(Corrects to show company not interested in big mining acquisition),normal
GEK,General Electric Capital Corporation,20120927,GE sees 2012 industrial revenues up 10 pct  top of prior view ,CROTONVILLE  N.Y. Sept 27 General Electric Co  on Thursday raised its 2012 industrial revenue growth forecast to 10 percent  the high end of its prior 5 to 10 percent range  Chief Executive Jeff Immelt told investors.,normal
GEK,General Electric Capital Corporation,20120927,STOCKS NEWS THAILAND-CIMB cuts Bank of Ayudhya price target after GE stake sale ,CIMB Research cut its price target for Bank of Ayudhya Pcl  to 37 baht from 40 baht  while keeping an 'outperform' rating  citing possible transition risks after a stake sale by shareholder General Electric Co (GE).,normal
GE,General Electric Company,20120927,No cracks found in GE jet engine that failed in Shanghai-NTSB ,CROTONVILLE  N.Y.  Sept 27 The failure of General Electric Co -made jet engine that caused a freighter to abort takeoff in Shanghai  China  earlier this month did share the same root cause with a fire in a similar engine in Charleston  South Carolina  in July  U.S. safety officials said on Thursday.,topStory
GE,General Electric Company,20120927,GE expects to close MetLife deal in "reasonable timeframe": CFO ,CROTONVILLE  New York General Electric Co  expects to close its acquisition of $7 billion of bank deposits from MetLife Inc  in a "reasonable timeframe " its chief financial officer said on Thursday.,normal
GE,General Electric Company,20120927,GE expects to close MetLife deal in "reasonable timeframe" -CFO ,CROTONVILLE  N.Y.  Sept 27 General Electric Co  expects to close its acquisition of $7 billion of bank deposits from MetLife Inc in a "reasonable timeframe " its chief financial officer said on Thursday.,normal
GE,General Electric Company,20120927,GE raises 2012 sales view  stock up three percent ,CROTONVILLE  New York General Electric Co  on Thursday raised its 2012 industrial revenue growth forecast to 10 percent  the high-end of its prior 5 to 10 percent range  sending its shares to their highest price level since 2008.,normal
GE,General Electric Company,20120927,UPDATE 3-GE raises 2012 sales view  stock up 3 percent ,* Sees double-digit percentage earnings growth in 2012  2013,normal
GE,General Electric Company,20120927,CORRECTED-UPDATE 1-GE sees 2012 industrial revenue up 10 percent ,(Corrects to show not interested in big mining acquisition),normal
GE,General Electric Company,20120927,CORRECTED-GE sees 2012 industrial revenues up 10 pct ,(Corrects to show company not interested in big mining acquisition),normal
GE,General Electric Company,20120927,GE sees 2012 industrial revenues up 10 pct  top of prior view ,CROTONVILLE  N.Y. Sept 27 General Electric Co  on Thursday raised its 2012 industrial revenue growth forecast to 10 percent  the high end of its prior 5 to 10 percent range  Chief Executive Jeff Immelt told investors.,normal
GE,General Electric Company,20120927,STOCKS NEWS THAILAND-CIMB cuts Bank of Ayudhya price target after GE stake sale ,CIMB Research cut its price target for Bank of Ayudhya Pcl  to 37 baht from 40 baht  while keeping an 'outperform' rating  citing possible transition risks after a stake sale by shareholder General Electric Co (GE).,normal
GM,General Motors Company,20120927,UPDATE 6-CAW wraps up Detroit 3 bargaining with Chrysler deal ,* Third Detroit automaker to reach deal with Canadian union,topStory
GPN,Global Payments Inc,20120927,Global Payments first-quarter profit falls on higher costs ,Global Payments Inc   which provides electronic payments processing services  said quarterly profit fell due to higher costs and a charge related to a security breach earlier this year.,topStory
GPN,Global Payments Inc,20120927,Global Payments 1st-qtr profit falls on higher costs ,Sept 27 Global Payments Inc  which provides electronic payments processing services  said quarterly profit fell due to higher costs and a charge related to a security breach earlier this year.,normal
GS,Goldman Sachs Group Inc (The),20120927,Goldman Sachs settles "pay-to-play" probes ,WASHINGTON Goldman Sachs Group Inc will pay more than $14 million to settle federal and state charges after it violated "pay-to-play" rules  in a case involving campaign contributions to former Massachusetts gubernatorial candidate Timothy Cahill.,topStory
GS,Goldman Sachs Group Inc (The),20120927,UPDATE 3-Goldman Sachs settles "pay-to-play" probes ,By Aruna Viswanatha     WASHINGTON  Sept 27 Goldman Sachs Group Inc  will pay more than $14 million to settle federal and state charges after it violated "pay-to-play" rules  in a case involving campaign contributions to former Massachusetts gubernatorial candidate Timothy Cahill.     Neil Morrison  a former vice president in Goldman's Boston office  worked extensively on Cahill's 2010 campaign while also soliciting underwriting business from the Massachusetts treasurer's office  the,normal
GS,Goldman Sachs Group Inc (The),20120927,UPDATE 1-Ex-Goldman programmer rejects plea deal with NY -lawyer ,* Sergey Aleynikov formally indicted in New York state court,normal
GS,Goldman Sachs Group Inc (The),20120927,Ex-Goldman programmer rejects plea deal with NY: lawyer ,NEW YORK A former Goldman Sachs Group Inc computer programmer indicted on charges of stealing trade secrets has rebuffed a plea offer that would keep him out of prison  his lawyer said on Thursday.,normal
GS,Goldman Sachs Group Inc (The),20120927,Ex-Goldman programmer rejects plea deal with NY -lawyer ,* Sergey Aleynikov formally indicted in New York state court,normal
GS,Goldman Sachs Group Inc (The),20120927,Goldman to pay $12 mln to settle "pay-to-play" probe ,WASHINGTON  Sept 27 Goldman Sachs Group Inc  agreed to pay about $12 million to settle charges that it violated "pay-to-play" rules in a case involving undisclosed campaign contributions to Timothy Cahill  the former Massachusetts state treasurer who was a candidate for governor  U.S. securities regulators said on Thursday.,normal
GS,Goldman Sachs Group Inc (The),20120927,UBS hires Goldman banker to equity capital markets team ,LONDON  Sept 27 UBS has hired Jasper Tans as a managing director to run its Scandinavia  Benelux and financials sector equity capital markets (ECM) business  according to an internal memo seen by Reuters.,normal
HGH,Hartford Financial Services Group Inc (The),20120927,TEXT-Fitch affirms Hartford's ratings after deal with Prudential ,Sept 27 - Fitch Ratings has affirmed all Issuer Default Ratings (IDRs)  debt and Insurer Financial Strength (IFS) ratings for the Hartford Financial Services Group  Inc.  (HFSG) and its primary life and property/casualty insurance subsidiaries. The Rating Outlook is Stable. A full list of ratings follows at the end of this release.  Fitch's rating action follows HFSG's announcement today that it has reached an agreement to sell its individual life business to Prudential Financial  Inc.  (Prudent,topStory
HIG,Hartford Financial Services Group Inc (The),20120927,TEXT-Fitch affirms Hartford's ratings after deal with Prudential ,Sept 27 - Fitch Ratings has affirmed all Issuer Default Ratings (IDRs)  debt and Insurer Financial Strength (IFS) ratings for the Hartford Financial Services Group  Inc.  (HFSG) and its primary life and property/casualty insurance subsidiaries. The Rating Outlook is Stable. A full list of ratings follows at the end of this release.  Fitch's rating action follows HFSG's announcement today that it has reached an agreement to sell its individual life business to Prudential Financial  Inc.  (Prudent,topStory
HRL,Hormel Foods Corporation,20120927,TEXT-Fitch: Weaker global growth outlook despite monetary policy stimulus ,Sept 27 - Fitch Ratings says weak recent data and high-frequency indicators highlight the persistent weakness and downside risks facing the global recovery. In its latest quarterly Global Economic Outlook (GEO) Fitch forecasts the economic growth of major advanced economies (MAE) to remain weak at 1% in 2012  followed by only a modest acceleration to 1.4% in  2013 and 2% in 2014.,topStory
HPQ,HP Inc,20120927,Jefferies cuts HP on weak PC business  risk from mobile push ,Jefferies & Co downgraded Hewlett-Packard Co  to "underperform" from "hold " saying it continued to expect problems in the company's personal computer  services  and printer businesses.,topStory
HSBC,HSBC Holdings plc,20120927,UPDATE 1-India's LIC Housing plans share sale-sources ,MUMBAI  Sept 27 India's LIC Housing Finance  has hired five banks including Citigroup and HSBC for an institutional share sale to raise between $250 million and $270 million  three sources with direct knowledge of the matter said on Thursday.,topStory
HSBC,HSBC Holdings plc,20120927,Hong Kong shares to slip slightly at open  HSBC weighs ,HONG KONG  Sept 27 Hong Kong shares were set to fall slightly at Thursday's open after stocks on Wall Street fell for a fifth straight day and concerns over the eurozone weighed on index heavyweight HSBC Holdings.,normal
HSEA,HSBC Holdings plc,20120927,UPDATE 1-India's LIC Housing plans share sale-sources ,MUMBAI  Sept 27 India's LIC Housing Finance  has hired five banks including Citigroup and HSBC for an institutional share sale to raise between $250 million and $270 million  three sources with direct knowledge of the matter said on Thursday.,topStory
HSEA,HSBC Holdings plc,20120927,Hong Kong shares to slip slightly at open  HSBC weighs ,HONG KONG  Sept 27 Hong Kong shares were set to fall slightly at Thursday's open after stocks on Wall Street fell for a fifth straight day and concerns over the eurozone weighed on index heavyweight HSBC Holdings.,normal
HSEB,HSBC Holdings plc,20120927,UPDATE 1-India's LIC Housing plans share sale-sources ,MUMBAI  Sept 27 India's LIC Housing Finance  has hired five banks including Citigroup and HSBC for an institutional share sale to raise between $250 million and $270 million  three sources with direct knowledge of the matter said on Thursday.,topStory
HSEB,HSBC Holdings plc,20120927,Hong Kong shares to slip slightly at open  HSBC weighs ,HONG KONG  Sept 27 Hong Kong shares were set to fall slightly at Thursday's open after stocks on Wall Street fell for a fifth straight day and concerns over the eurozone weighed on index heavyweight HSBC Holdings.,normal
IVZ,Invesco Plc,20120927,UPDATE 1-Invesco to buy 49 pct in India Religare's asset manager-source ,NEW DELHI/MUMBAI  Sept 27 Invesco Ltd is set to buy a 49 percent stake in the asset management unit of India's Religare Enterprises Ltd  controlled by billionaire brothers Malvinder and Shivinder Singh  for about 4.5 billion rupees ($84 million)  a source with direct knowledge of the deal said.,topStory
IVZ,Invesco Plc,20120927,Invesco to buy 49 percent in India Religare's asset management unit: source ,NEW DELHI U.S. money manager Invesco Ltd  is set to buy a 49 pct stake in the asset management business of Indian financial services firm Religare Enterprises  for about 4.5 billion rupees ($84 million)  a source with direct knowledge of the deal told Reuters on Thursday.,normal
IVZ,Invesco Plc,20120927,Invesco to buy 49 pct in India Religare's asset management unit-source ,NEW DELHI  Sept 27 U.S. money manager Invesco Ltd is set to buy a 49 pct stake in the asset management business of Indian financial services firm Religare Enterprises  for about 4.5 billion rupees ($84 million)  a source with direct knowledge of the deal told Reuters on Thursday.,normal
JPM,J P Morgan Chase & Co,20120927,ANZ  JPMorgan get $1 million fines in commodity crack-down ,WASHINGTON U.S. regulators punished two more firms for excessive speculation in cotton markets during one of the most tumultuous periods in the contract's history  tagging JP Morgan and Australia and New Zealand Banking Group Ltd Bank with fines total ling nearly $1 million.,topStory
JPM,J P Morgan Chase & Co,20120927,UPDATE 2-ANZ  JPMorgan get $1 mln fines in commodity crack-down ,WASHINGTON  Sept 27 U.S. regulators punished two more firms for excessive speculation in cotton markets during one of the most tumultuous periods in the contract's history  tagging JP Morgan and Australia and New Zealand Banking Group Ltd Bank with fines total ling nearly $1 million.,normal
JKS,JinkoSolar Holding Company Limited,20120927,JinkoSolar to supply modules for 50 MW Kenyan solar project ,Sept 27 Chinese solar company JinkoSolar Holding Co Ltd said it will supply modules for a 50 megawatt (MW) solar power project in Kenya.,topStory
JLL,Jones Lang LaSalle Incorporated,20120927,BRIEF-Moody's affirms Jones Lang LaSalle Baa2 issuer rating ,Sept 27 Jones Lang LaSalle Inc :  * Moody's affirms Jones Lang lasalle's issuer rating at baa2 with a stable,topStory
KFY,Korn/Ferry International,20120927,Legg Mason hires Korn/Ferry to run CEO search - sources ,BOSTON  Sept 27 Asset manager Legg Mason Inc  has selected recruiting firm Korn/Ferry International  to run its search for a new chief executive  according to two people briefed on the matter.,topStory
LLL,L3 Technologies Inc,20120927,TEXT-Fitch affirms L-3 Communications at 'BBB-' ,Sept 27 - Fitch Ratings has affirmed the 'BBB-' Issuer Default Ratings (IDR) and debt ratings for L-3 Communications Holdings  Inc. (L-3) and L-3 Communications Corporation. The Rating Outlook is Stable. Approximately $3.9 billion of outstanding debt is covered by these ratings. The senior subordinated ratings remain one notch below L-3's IDR and senior unsecured debt due to contractual subordination. Convertible contingent debt securities are also rated one notch below the IDR and senior unsecu,topStory
LM,Legg Mason Inc,20120927,Exclusive: Legg Mason hires Korn/Ferry to run CEO search - sources ,BOSTON Asset manager Legg Mason Inc  has selected recruiting firm Korn/Ferry International  to run its search for a new chief executive  according to two people briefed on the matter  a personnel decision that will also set the company's future strategic direction.,topStory
LM,Legg Mason Inc,20120927,Legg Mason hires Korn/Ferry to run CEO search - sources ,BOSTON  Sept 27 Asset manager Legg Mason Inc  has selected recruiting firm Korn/Ferry International  to run its search for a new chief executive  according to two people briefed on the matter.,normal
LMHA,Legg Mason Inc,20120927,Exclusive: Legg Mason hires Korn/Ferry to run CEO search - sources ,BOSTON Asset manager Legg Mason Inc  has selected recruiting firm Korn/Ferry International  to run its search for a new chief executive  according to two people briefed on the matter  a personnel decision that will also set the company's future strategic direction.,topStory
LMHA,Legg Mason Inc,20120927,Legg Mason hires Korn/Ferry to run CEO search - sources ,BOSTON  Sept 27 Asset manager Legg Mason Inc  has selected recruiting firm Korn/Ferry International  to run its search for a new chief executive  according to two people briefed on the matter.,normal
LMHB,Legg Mason Inc,20120927,Exclusive: Legg Mason hires Korn/Ferry to run CEO search - sources ,BOSTON Asset manager Legg Mason Inc  has selected recruiting firm Korn/Ferry International  to run its search for a new chief executive  according to two people briefed on the matter  a personnel decision that will also set the company's future strategic direction.,topStory
LMHB,Legg Mason Inc,20120927,Legg Mason hires Korn/Ferry to run CEO search - sources ,BOSTON  Sept 27 Asset manager Legg Mason Inc  has selected recruiting firm Korn/Ferry International  to run its search for a new chief executive  according to two people briefed on the matter.,normal
LMT,Lockheed Martin Corporation,20120927,South Korean pilots visit Boeing  Lockheed jet fighter plants ,WASHINGTON  Sept 27 South Korean test pilots are visiting Lockheed Martin Corp's   F-35 plant in Fort Worth  Texas  this week after a similar trip this month to Boeing Co's F-15 plant in St. Louis amid signs that Seoul will delay a decision in its $7 billion-plus fighter competition until early 2013.,topStory
MKC,McCormick & Company Incorporated,20120927,McCormick profit beats estimates on strong Asia-Pacific sales ,McCormick & Co Inc's  profit beat analysts' estimates as sales in its consumer segment rose across all regions  and the spice maker raised its earnings forecast for the full year.,topStory
MKC,McCormick & Company Incorporated,20120927,McCormick profit beats estimates on strong Asia-Pacific sales ,Sept 27 McCormick & Co Inc's profit beat analysts' estimates as sales in its consumer segment rose across all regions  and the spice maker raised its earnings forecast for the full year.,normal
MCD,McDonald&#39;s Corporation,20120927,Ackman pushed for ouster of P&G CEO McDonald in meeting: WSJ ,Activist investor William Ackman pressed for Procter & Gamble Co  Chairman and Chief Executive Robert McDonald to be stripped of both roles in a meeting earlier this month attended by two directors and McDonald himself  the Wall Street Journal reported late on Wednesday.,topStory
MCD,McDonald&#39;s Corporation,20120927,Ackman pushed for ouster of P&G CEO McDonald in meeting - WSJ ,Sept 27 Activist investor William Ackman pressed for Procter & Gamble Co Chairman and Chief Executive Robert McDonald to be stripped of both roles in a meeting earlier this month attended by two directors and McDonald himself  the Wall Street Journal reported late on Wednesday.,normal
MET,MetLife Inc,20120927,New Issue - Metlife sells $1 bln in 2 parts ,Sept 27 Metlife Inc on Thursday sold $1 billion of senior unsecured remarketing notes in two parts  said IFR  a Thomson Reuters service.      Credit Suisse  Deutsche Bank  J.P. Morgan and Morgan Stanley were the joint bookrunning managers for the sale.  BORROWER: METLIFE      TRANCHE 1     AMT $500 MLN    COUPON 1.756 PCT   MATURITY    12/15/2017    TYPE SR NTS     ISS PRICE 100.5119 FIRST PAY   06/15/2013  MOODY'S A3      YIELD 1.67 PCT     SETTLEMENT  10/04/2012     S&P A-MINUS    ,topStory
MET,MetLife Inc,20120927,GE expects to close MetLife deal in "reasonable timeframe": CFO ,CROTONVILLE  New York General Electric Co  expects to close its acquisition of $7 billion of bank deposits from MetLife Inc  in a "reasonable timeframe " its chief financial officer said on Thursday.,normal
MET,MetLife Inc,20120927,GE expects to close MetLife deal in "reasonable timeframe" -CFO ,CROTONVILLE  N.Y.  Sept 27 General Electric Co  expects to close its acquisition of $7 billion of bank deposits from MetLife Inc in a "reasonable timeframe " its chief financial officer said on Thursday.,normal
MET,MetLife Inc,20120927,BRIEF - Moody's rates MetLife's senior debt A3 ,Sept 27 Moody's rates MetLife's senior debt A3,normal
MET,MetLife Inc,20120927,TEXT-S&P rates MetLife senior C component debt 'A-' ,Sept 27 - Standard & Poor's Ratings Services said today that it has assigned its 'A-' rating to MetLife Inc.'s  (NYSE:MET) remarketing of $1 billion of Senior C Component Debentures. The first tranche of the notes will mature in 2018 and the second tranche will mature in 2023; however  following the successful settlement of the remarketing  the notes' maturities will be adjusted to 2017 and 2022  respectively. The Senior C Debentures were originally issued in November 2010 as $1.0 billion aggreg,normal
MFG,Mizuho Financial Group Inc,20120927,Sharp's main lenders agree to $2.7 billion bailout: sources ,TOKYO Mizuho Financial Group and Mitsubishi UFJ Financial Group  the two main lenders to Sharp Corp  have approved a 210 billion yen bailout of Japan's troubled TV maker  sources said on Thursday  clearing a major obstacle to firm's survival.,topStory
MCO,Moody&#39;s Corporation,20120927,BRIEF-Moody's assigns Aa1 rating to the City of Fairlawn's (OH) $5.2 million Various Purpose Refunding Bonds  Series 2012 (General Obligation Limited Tax) ,Sept 28 Moody's assigns Aa1 rating to the City of Fairlawn's (OH) $5.2 million Various Purpose Refunding Bonds  Series 2012 (General Obligation Limited Tax),topStory
MCO,Moody&#39;s Corporation,20120927,BRIEF-Moody's assigns provisional rating to one class of notes to be issued by ING IM CLO 2012-3  Ltd. ,Sept 28 Moody's assigns provisional rating to one class of notes to be issued by ING IM CLO 2012-3  Ltd.,normal
MCO,Moody&#39;s Corporation,20120927,BRIEF-Moody's Affirms 16 CMBS Classes of GECMC 2004-C3 ,Sept 28 Moody's Affirms 16 CMBS Classes of GECMC 2004-C3,normal
MCO,Moody&#39;s Corporation,20120927,BRIEF-Moody's puts Sealy ratings on review for upgrade ,Sept 27 Sealy Corp :  * Moody's places sealy's ratings on review for upgrade  * Rpt-moody's places sealy's ratings on review for upgrade,normal
MCO,Moody&#39;s Corporation,20120927,New Issue-Watson Pharma sells $3.9 bln notes in 3 parts ,Sept 27 Watson Pharmaceuticals Inc on Thursday sold $3.9 billion of senior notes in three parts  said IFR  a Thomson Reuters service.      Barclays  Bank of America Merrill Lynch  JP Morgan  and Wells Fargo were the active joint bookrunning managers for the sale.  BORROWER: WATSON PHARMACEUTICALS INC   TRANCHE 1 AMT $1.2 BLN    COUPON 1.875 PCT   MATURITY    10/01/2017 TYPE SR NTS     ISS PRICE 99.541   FIRST PAY   04/01/2013 MOODY'S Baa3    YIELD 1.972 PCT    SETTLEMENT  10/02/2012 ,normal
MCO,Moody&#39;s Corporation,20120927,BRIEF-Moody's changes Alliant outlook to stable from negative ,Sept 27 Alliant Energy Corp :  * Moody's changes the outlooks of Alliant  ipl  and wpl to stable; affirms,normal
MCO,Moody&#39;s Corporation,20120927,BRIEF-Moody's: Universal Health credit agreement amendment a credit positive ,Sept 27 Universal Health Services Inc :  * Moody's: universal health's credit agreement amendment a credit positive; no,normal
MCO,Moody&#39;s Corporation,20120927,BRIEF-Moody's: Dean Foods review for downgrade continues ,Sept 27 Dean Foods Co :  * Moody's says Dean Foods review for downgrade continues after announcement,normal
MCO,Moody&#39;s Corporation,20120927,New Issue-AFD prices $1.0 bln 2017 bond ,September 27 (Reuters) -Following are terms and conditions,normal
MCO,Moody&#39;s Corporation,20120927,New Issue- Metso Corporation prices 400 mln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 200.1bp,normal
MS,Morgan Stanley,20120927,ON THE MOVE-Fieldpoint lands veteran Morgan Stanley broker ,Sept 27 Connecticut-based start-up Fieldpoint Private said on Thursday it landed a veteran broker from Morgan Stanley Wealth Management  expanding the firm's New York adviser force catering to ultra-high-net-worth clients.,topStory
MS,Morgan Stanley,20120927,INDIA PRESS-Morgan Stanley buys 4.5 mln shares of SKS Microfinance - Indian Express ,ChrysCapital sells 4 pct stake in Shriram City Union - Economic Times,normal
MSI,Motorola Solutions Inc,20120927,BRIEF-OFT not refering acquisition of Psion Plc of Motorola Solutions to Competition Commission ,LONDON  Sept 27 Office Of Fair Trading :  * Not to refer anticipated acquisition of Psion Plc of Motorola Solutions Inc,topStory
SID,National Steel Company,20120927,Brazil ends probe into steel dumping by 5 countries ,SAO PAULO  Sept 27 The Brazilian government closed an investigation Thursday into the dumping of flat steel products by five countries after finding that the practice did not hurt local mills.,topStory
NKE,Nike Inc,20120927,Nike hits China roadblock  shares fall ,Nike Inc's  posted a 12 percent drop in first-quarter earnings and orders in China for the next several months fell for the first time in three years  choking off what had been a growth engine for the world's largest sportswear maker.,topStory
NKE,Nike Inc,20120927,UPDATE 3-Nike hits China roadblock  shares fall ,Sept 27 Nike Inc's posted a 12 percent drop in first-quarter earnings and orders in China for the next several months fell for the first time in three years  choking off what had been a growth engine for the world's largest sportswear maker.,normal
NKE,Nike Inc,20120927,Las Vegas claims new record: world's largest sneaker collection ,LAS VEGAS Las Vegas has a fake Eiffel Tower and a fake Egyptian pyramid  but the Guinness Book of World Records recently confirmed that the city can now lay claim to a new and authentic world record: the world's largest collection of sneakers.,normal
NKE,Nike Inc,20120927,Nike quarterly profit falls ,Sept 27 Nike Inc first-quarter earnings were lower than last year  as the world's largest sportswear maker sees demand in markets like China slowing  and higher costs of materials used in its shoes and T-shirts continue to hurt margins.,normal
NKE,Nike Inc,20120927,BRIEF-NIKE shares fall in extended trade after results ,NEW YORK  Sept 27 Nike Inc :  * Shares fall 2.3 percent in extended trade after results,normal
NKE,Nike Inc,20120927,Las Vegas claims new record: world's largest sneaker collection ,LAS VEGAS  Sept 27 Las Vegas has a fake Eiffel Tower and a fake Egyptian pyramid  but the Guinness Book of World Records recently confirmed that the city can now lay claim to a new and authentic world record: the world's largest collection of sneakers.,normal
NBL,Noble Energy Inc,20120927,Atwood Oceanics wins drilling contract from Noble Energy ,Sept 27 Offshore driller Atwood Oceanics Inc  said Noble Energy Inc will use one of its deepwater drillships in the Mediterranean  adding $639 mln to Atwood's revenue backlog.,topStory
PKX,POSCO,20120927,SK Telecom says delaying sale of $390 million stake in POSCO ,SEOUL  Sept 27 SK Telecom Co Ltd  South Korea's top mobile operator  said on Thursday it will postpone a proposed sale of a 437.3 billion won ($390 million) part of its stake in steelmaker POSCO citing market conditions.,topStory
POST,Post Holdings Inc,20120927,Ralcorp looking to sell remaining Post Holdings stake ,Ralcorp Holdings Inc  is exploring the sale of its remaining 20 percent stake in Post Holdings Inc   the cereal maker it spun off earlier this year.,topStory
POST,Post Holdings Inc,20120927,Ralcorp looking to sell remaining Post Holdings stake ,Sept 27 Ralcorp Holdings Inc is exploring the sale of its remaining 20 percent stake in Post Holdings Inc  the cereal maker it spun off earlier this year.,normal
PG,Procter & Gamble Company (The),20120927,Ackman pushed for ouster of P&G CEO McDonald in meeting: WSJ ,Activist investor William Ackman pressed for Procter & Gamble Co  Chairman and Chief Executive Robert McDonald to be stripped of both roles in a meeting earlier this month attended by two directors and McDonald himself  the Wall Street Journal reported late on Wednesday.,topStory
PG,Procter & Gamble Company (The),20120927,Ackman pushed for ouster of P&G CEO McDonald in meeting - WSJ ,Sept 27 Activist investor William Ackman pressed for Procter & Gamble Co Chairman and Chief Executive Robert McDonald to be stripped of both roles in a meeting earlier this month attended by two directors and McDonald himself  the Wall Street Journal reported late on Wednesday.,normal
PJH,Prudential Financial Inc,20120927,Prudential to acquire Hartford's life insurance unit ,Prudential Financial Inc  will buy the individual life insurance business of Hartford Financial Services Group Inc  for $615 million in cash  the companies said on Thursday.,topStory
PJH,Prudential Financial Inc,20120927,TEXT-Fitch affirms Hartford's ratings after deal with Prudential ,Sept 27 - Fitch Ratings has affirmed all Issuer Default Ratings (IDRs)  debt and Insurer Financial Strength (IFS) ratings for the Hartford Financial Services Group  Inc.  (HFSG) and its primary life and property/casualty insurance subsidiaries. The Rating Outlook is Stable. A full list of ratings follows at the end of this release.  Fitch's rating action follows HFSG's announcement today that it has reached an agreement to sell its individual life business to Prudential Financial  Inc.  (Prudent,normal
PJH,Prudential Financial Inc,20120927,Prudential near deal to buy Hartford life insurance unit - WSJ ,Sept 27 Prudential Financial Inc is close to a deal to acquire the individual life insurance business of Hartford Financial Services Group Inc  and a deal could be struck as soon as Thursday  the Wall Street Journal reported.,normal
