ATVI,Activision Blizzard Inc,20121108,UPDATE 2-Activision raises outlook on hopes for 'Call of Duty' ,SAN FRANCISCO  Nov 7 Activision Blizzard Inc  raised its 2012 outlook on Wednesday on expectations of strong holiday sales of its latest title in the "Call of Duty" franchise  despite competition from Microsoft Corp's  blockbuster "Halo 4.",topStory
AEB,Aegon NV,20121108,UPDATE 1-Aegon net profit beats expectations ,* Q3 sales down 4 percent to 1.55 bln euros   (Adds detail),topStory
AEB,Aegon NV,20121108,Aegon Q3 net beats view  cautious on economic conditions ,AMSTERDAM  Nov 8 Dutch insurer Aegon  said on Thursday its net profit rose to 374 million euros ($477 million)in the third quarter  beating market expectations  due in part to lower impairment charges.,normal
AED,Aegon NV,20121108,UPDATE 1-Aegon net profit beats expectations ,* Q3 sales down 4 percent to 1.55 bln euros   (Adds detail),topStory
AED,Aegon NV,20121108,Aegon Q3 net beats view  cautious on economic conditions ,AMSTERDAM  Nov 8 Dutch insurer Aegon  said on Thursday its net profit rose to 374 million euros ($477 million)in the third quarter  beating market expectations  due in part to lower impairment charges.,normal
AEG,Aegon NV,20121108,UPDATE 1-Aegon net profit beats expectations ,* Q3 sales down 4 percent to 1.55 bln euros   (Adds detail),topStory
AEG,Aegon NV,20121108,Aegon Q3 net beats view  cautious on economic conditions ,AMSTERDAM  Nov 8 Dutch insurer Aegon  said on Thursday its net profit rose to 374 million euros ($477 million)in the third quarter  beating market expectations  due in part to lower impairment charges.,normal
AEH,Aegon NV,20121108,UPDATE 1-Aegon net profit beats expectations ,* Q3 sales down 4 percent to 1.55 bln euros   (Adds detail),topStory
AEH,Aegon NV,20121108,Aegon Q3 net beats view  cautious on economic conditions ,AMSTERDAM  Nov 8 Dutch insurer Aegon  said on Thursday its net profit rose to 374 million euros ($477 million)in the third quarter  beating market expectations  due in part to lower impairment charges.,normal
AEK,Aegon NV,20121108,UPDATE 1-Aegon net profit beats expectations ,* Q3 sales down 4 percent to 1.55 bln euros   (Adds detail),topStory
AEK,Aegon NV,20121108,Aegon Q3 net beats view  cautious on economic conditions ,AMSTERDAM  Nov 8 Dutch insurer Aegon  said on Thursday its net profit rose to 374 million euros ($477 million)in the third quarter  beating market expectations  due in part to lower impairment charges.,normal
AXP,American Express Company,20121108,TEXT-S&P Rts Amex Card Acc Secured Nt 2012-5 Cl 1 Nts 'AA (sf)' ,-- American Express Credit Account Secured Note Trust 2012-5's note issuance is an ABS securitization backed by payments received by the owner trust relating to the collateral interest in American Express Credit Account Master Trust's (Amex CAMT's) series 2012-5 transaction. The collateral interest is collateralized by a pool of receivables in Amex CAMT  which are generated by American Express credit card accounts and Pay Over Time revolving credit accounts that are owned by American Express Cen,topStory
AXP,American Express Company,20121108,TEXT-S&P Rts Amex Credit Acct Secured Nt 2012-4 Cl 1 Nts 'AA- (sf)' ,-- American Express Credit Account Secured Note Trust 2012-4's note issuance is an ABS securitization backed by payments received by the owner trust relating to the collateral interest in American Express Credit Account Master Trust's (Amex CAMT's) series 2012-4 transaction. The collateral interest is collateralized by a pool of receivables in Amex CAMT  which are generated by American Express credit card accounts and Pay Over Time revolving credit accounts that are owned by American Express Cen,normal
AU,AngloGold Ashanti Limited,20121108,AngloGold "reviews" South Africa mines as strikes bite ,JOHANNESBURG Anglo Gold Ashanti   the world's third-largest bullion producer  cut its dividend and warned of restructuring at its South African operations after weeks of wildcat strikes wiped out $400 million in output.,topStory
APO,Apollo Global Management LLC,20121108,CORRECTED-Private equity hunts for Europe bank deals ,(Corrects currency in second paragraph to dollars from euros; also corrects to show 38 percent of assets are funded by deposits  rather than unfunded),topStory
T,AT&T Inc,20121108,AT&T extends FaceTime to tiered plans for high-speed customers ,NEW YORK  Nov 8 AT&T Inc said on Thursday that it will expand availability of Apple Inc's  FaceTime video application to all customers of its usage-based high-speed data services after its limit of the service to certain customers sparked a controversy.,topStory
T,AT&T Inc,20121108,BRIEF - Moody's may cut AT&T ratings ,Nov 8 Moody's may cut AT&T A-2 senior unsecured and Prime-1 commercial paper ratings,normal
BGS,B&G Foods Inc,20121108,TEXT-S&P raises B&G Foods notes rating to 'B' ,Nov 8 - Standard & Poor's Ratings Services raised its issue-level ratings on B&G Foods Inc.'s $350 million senior unsecured notes due 2018 one notch to 'B' from 'B-'. We revised the recovery rating to '5'  indicating our expectations for modest (10% to 30%) recovery in the event of a payment default  from '6'  reflecting the company's decrease in priority obligations from debt amortization. Simultaneously  we raised the preliminary ratings for senior unsecured debt on B&G's shelf registration fo,topStory
BAC,Bank of America Corporation,20121108,BofA's Merrill loses bid to end FHFA mortgage lawsuit ,* Fannie Mae  Freddie Mac said to have mortgage debt losses,topStory
BK,Bank Of New York Mellon Corporation (The),20121108,UPDATE 1-BNY Mellon  Virginia make deal on currency trades claim ,NEW YORK  Nov 8 Bank of New York Mellon Corp  agreed to a deal with Virginia over allegations it overcharged the state pensions plans for currency trades  according to public records and sources.,topStory
BK,Bank Of New York Mellon Corporation (The),20121108,BNY Mellon agrees to deal with Va. on currency trades -documents ,NEW YORK  Nov 8 Bank of New York Mellon Corp  agreed to deal with Virginia over allegations it overcharged the state pensions plans for currency trades  according to public records and sources.,normal
BCS,Barclays PLC,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
BBY,Best Buy Co Inc,20121108,TEXT - Fitch comments on Best Buy ,Nov 8 - Fitch Ratings believes significant challenges stand in the way of completing a leverage buyout (LBO) of Best Buy Co.  Inc. (NYSE: BBY)  according to a report published today.   Fitch estimates the private holders would need to realize an exit multiple in  the low-4x range to earn a 20% IRR. This is based on current Bloomberg consensus estimates (used to build a Base Case model)  which project an EBITDA decline of  almost 16% from LTM levels through 2017  on a sales decline of 2.4%.   Fit,topStory
BA,Boeing Company (The),20121108,Boeing confirms 20 orders for 737 MAX from ALAFCO ,NEW YORK Boeing Co  said on Thursday that ALAFCO   the Kuwait aircraft leasing company  had finalized an order for 20 Boeing 737 MAX 8 jets valued at $2.0 billion at current list prices.,topStory
BA,Boeing Company (The),20121108,Boeing confirms 20 orders for 737 MAX from ALAFCO ,NEW YORK  Nov 8 Boeing Co said on Thursday that ALAFCO  the Kuwait aircraft leasing company  had finalized an order for 20 Boeing 737 MAX 8 jets valued at $2.0 billion at current list prices.,normal
BA,Boeing Company (The),20121108,Emirates may replace fleet of 777s jets with new model ,DUBAI Emirates will consider replacing its planned fleet of 175 Boeing 777s with a new version of the plane if it meets all the airline's needs  the president of the Gulf carrier said on Thursday.,normal
BA,Boeing Company (The),20121108,Emirates may replace fleet of 777s jets with new model ,DUBAI Emirates  will consider replacing its planned fleet of 175 Boeing 777s with a new version of the plane if it meets all the airline's needs  the president of the Gulf carrier said on Thursday.,normal
BA,Boeing Company (The),20121108,UPDATE 1-Emirates may replace fleet of 777s jets with new model ,* Emirates may eventually replace 175 777 jets with revamped version,normal
BA,Boeing Company (The),20121108,Emirates may buy 100 Boeing 777s jets if new model built-report ,DUBAI  Nov 8 Emirates airline would order 100 or more Boeing 777 wide-body jets if the manufacturer upgraded the design of the aircraft  the Dubai-based carrier's president said in a report.,normal
BSX,Boston Scientific Corporation,20121108,Boston Scientific buys Vessix for blood pressure device ,Boston Scientific Corp said on Thursday it will acquire privately-held Vessix Vascular Inc  a developer of a catheter-based device that treats high blood pressure by deadening nerves near the kidneys.,topStory
BSX,Boston Scientific Corporation,20121108,UPDATE 2-Boston Scientific buys Vessix for blood pressure device ,* Renal denervation can help hypertension when drugs fail,normal
BSX,Boston Scientific Corporation,20121108,Boston Scientific buys Vessix for blood pressure device ,* Renal denervation can help hypertension when drugs fail,normal
BP,BP plc,20121108,Tycoons end board dispute with BP ,MOSCOW The Soviet-born billionaires who share ownership of Anglo-Russian oil firm TNK-BP  with partner BP  declared an end to a boardroom stalemate on Thursday  a step that could smooth the way to selling the business.,topStory
BP,BP plc,20121108,UPDATE 1-Tycoons end board dispute with BP ,MOSCOW  Nov 8 The Soviet-born billionaires who share ownership of Anglo-Russian oil firm TNK-BP with partner BP declared an end to a boardroom stalemate on Thursday  a step that could smooth the way to selling the business.,normal
BP,BP plc,20121108,AAR consortium says agreed with BP on TNK-BP board ,MOSCOW A quartet of Soviet-born billionaires who own half of Russia's third-largest crude producer  TNK-BP   agreed with their partner BP  to restore TNK-BP's board functions  their consortium said on Thursday.,normal
BP,BP plc,20121108,UPDATE 1-Azeri oil output seen not rising before 2014 ,* Oil production seen falling 6 pct in 2012     * BP in trouble over falling Azeri oil production     * Gas output seen steadily rising       By Lada Evgrashina     BAKU  Nov 8 Azerbaijan expects its oil production to fall 6 percent to 42.9 million tonnes this year and start rising only in 2014  despite efforts by BP efforts to stem falling output  a government forecast obtained by Reuters showed on Thursday.     Oil output is seen at 40.82 million tonnes (826 500 barrels per day) ne,normal
EAT,Brinker International Inc,20121108,RPT-UPDATE 1-Chili's parent Brinker International names Wyman Roberts CEO ,Nov 8 Brinker International Inc on Thursday said Wyman Roberts will become chief executive and president of the restaurant operator on Jan. 1  succeeding Doug Brooks  who will continue as chairman through December 2013.,topStory
EAT,Brinker International Inc,20121108,Chili's parent Brinker International names Wyman Roberts CEO ,Nov 8 Brinker International Inc on Thursday said Wyman Roberts will become chief executive and president of the restaurant operator on Jan. 1  succeeding Doug Brooks  who will continue as chairman through December 2013.,normal
BTI,British American Tobacco plc,20121108,TEXT-Fitch ups British American Tobacco p.l.c. to 'A-'; outlook stable ,Nov 08 - Fitch Ratings has upgraded British American Tobacco p.l.c.'s (BAT) Long-term foreign currency Issuer Default Rating (IDR) and senior unsecured ratings to 'A-' from 'BBB+'. The Short-term IDR has been affirmed at 'F2'. The Outlook is Stable. In addition  the senior unsecured long-term rating of debt issued by BAT's subsidiaries  British American Tobacco Holdings (The Netherlands) B.V.  B.A.T. International Finance p.l.c. and B.A.T.  Capital Corporation  has been upgraded to 'A-' from 'BB,topStory
CAE,CAE Inc,20121108,CAE profit falls  to cut 100 more jobs ,Nov 8 CAE Inc  an aviation trainer and flight simulator maker  said on Thursday it may cut 100 more jobs as part of an ongoing restructuring.,topStory
CNQ,Canadian Natural Resources Limited,20121108,CANADA STOCKS-Market hits 2-month closing low on energy sector ,* TSX ends down 39.54 points  or 0.32 pct  to 12 191.05     * Canadian Natural drops 3.2 percent     * Eight of 10 sectors decline      By John Tilak     TORONTO  Nov 8 Canada's main stock index finished at its lowest close in more than two months on Thursday  as shares of Canadian Natural Resources Ltd  slumped after the oil and gas producer cut its output forecast  dragging on the energy sector.     Shares reversed earlier gains in a bumpy session as investors sifted through U.S. j,topStory
CNQ,Canadian Natural Resources Limited,20121108,UPDATE 4-Canadian Natural advances new plant  profit falls ,CALGARY  Alberta  Nov 8 Canadian Natural Resources Ltd gave the green light to a new C$5.7 billion ($5.7 billion) oil sands processing plant on Thursday  but it failed to cheer investors after the company reported weaker-than-expected third-quarter results  prompting a 3 percent drop in the shares.,normal
CNQ,Canadian Natural Resources Limited,20121108,CANADA STOCKS-TSX slips as energy sector  Canadian Natural weigh ,* TSX falls 52.58 points  or 0.43 percent  to 12 178.01     * Canadian Natural drops 3.7 percent     * Index hits more than two-week low     * Eight of ten subgroups decline      By John Tilak     TORONTO  Nov 8 Canada's main stock index fell on Thursday  led lower by the energy sector  which was hurt by a drop in Canadian Natural Resources Ltd after it cut its output forecast.     Toronto stocks traded stronger at one point in a bumpy session with investors sifting through positive ,normal
CNQ,Canadian Natural Resources Limited,20121108,Canadian Natural sees resolution soon of problems hitting shares ,CALGARY  Alberta  Nov 8 Canadian Natural Resources Ltd's shares are under pressure due to a series of issues  including weak heavy oil pricing and operational problems at its oil sands plant  and both should soon be resolved  vice-chairman John Langille said on Thursday.,normal
CNQ,Canadian Natural Resources Limited,20121108,CANADA STOCKS-TSX slips as Canadian Natural  energy sector drag ,* TSX falls 50.38 points  or 0.41 percent  to 12 180.21     * Canadian Natural Resources falls 3.45 percent     * Nine out of 10 main subgroups decline      By John Tilak     TORONTO  Nov 8 Canada's main stock index fell on Thursday  led lower by the energy sector  which was hurt by a drop in Canadian Natural Resources Ltd after it cut its output forecast.     Toronto stocks had a bumpy morning  at one point trading stronger  with investors sifting through positive U.S. jobs data on ,normal
CNQ,Canadian Natural Resources Limited,20121108,Canadian Natural profit falls 57 pct ,Nov 8 Canadian Natural Resources Ltd  the country's biggest independent oil and gas producer  reported a 57 percent fall in third-quarter profit on weak crude oil and natural gas prices  higher costs and a drop in output from its North Sea operations.,normal
CAJ,Canon Inc,20121108,ADR REPORT-Japan ADRS tumble after weak domestic data ,NEW YORK  Nov 8 U.S.-listed shares of Japanese companies tumbled on Thursday as worse-than-expected domestic machinery orders figures increased concerns that Japan's economy was slipping into recession and as strength in the yen weighed on major exporters like Toyota Motor Corp.,topStory
CX,Cemex SAB de CV,20121108,Cemex says U.S. business good but far from full recovery ,MEXICO CITY Mexico's top cement maker Cemex   said on Thursday that it was pleased with the way its U.S. business was evolving but acknowledged it is still far from fully recovering.,topStory
CX,Cemex SAB de CV,20121108,UPDATE 1-Cemex says US business good but far from full recovery ,MEXICO CITY  Nov 8 Mexico's top cement maker Cemex  said on Thursday that it was pleased with the way its U.S. business was evolving but acknowledged it is still far from fully recovering.,normal
CX,Cemex SAB de CV,20121108,Cemex pleased with U.S. business but still far from full recovery ,MEXICO CITY  Nov 8 Mexico's top cement maker Cemex  said on Thursday that it is pleased with the way its U.S. business is evolving but acknowledged it is still far from a full recovery.,normal
CHK,Chesapeake Energy Corporation,20121108,TEXT - Fitch rates Chesapeake Energy's term loan ,Nov 8 - Fitch Ratings has assigned a 'BB-' rating to Chesapeake Energy's     $2 billion unsecured term loan due 2017. A full list of ratings appears at the end of this release. The Rating Outlook for Chesapeake remains Negative.  Proceeds for the term loan will be used to pay off the remaining balance on the  company's existing $4 billion term loan and to reduce borrowings on the  company's $4 billion revolver due 2015. The term loan will enhance liquidity and will help to bridge funding needs a,topStory
CVX,Chevron Corporation,20121108,Argentine judge embargoes $19 billion Chevron assets ,BUENOS AIRES/QUITO An Argentine judge has embargoed up to $19 billion in Chevron assets in connection with an environmental lawsuit by Ecuadorean villagers  a lawyer for the plaintiffs said on Wednesday  the latest volley in a two-decade-long legal saga that now spans several countries.,topStory
CVX,Chevron Corporation,20121108,UPDATE 4-Argentine judge embargoes $19 bln Chevron assets ,* Argentine lawsuit stems from $19 bln ruling against Chevron,normal
C,Citigroup Inc,20121108,Abu Dhabi fund challenges Citi victory in $4 billion arbitration ,NEW YORK A lawyer for Abu Dhabi Investment Authority urged a U.S. judge on Thursday to overturn an arbitration panel's ruling favoring Citigroup Inc  in a dispute over a $7.5 billion investment in Citi during the subprime meltdown.,topStory
C,Citigroup Inc,20121108,Abu Dhabi fund challenges Citi victory in $4 bln arbitration ,NEW YORK  Nov 8 A lawyer for Abu Dhabi Investment Authority urged a U.S. judge on Thursday to overturn an arbitration panel's ruling favoring Citigroup Inc in a dispute over a $7.5 billion investment in Citi during the subprime meltdown.,normal
CEO,CNOOC Limited,20121108,Canada's Harper expects foreign investment decisions very soon ,* Clearest indication yet that decisions will be simultaneous,topStory
KO,Coca-Cola Company (The),20121108,UPDATE 1-Greek Coke bottler profit crimped by austerity  costs ,* Also hit by adverse currency movements   (Adds CEO comment),topStory
KO,Coca-Cola Company (The),20121108,Greek Coke bottler says 9M profit drops  but beats fcast ,ATHENS  Nov 8 Coca-Cola Hellenic (CCH)   the world's second-largest bottler of Coca-Cola Co.  soft drinks  posted on Thursday a 12 percent drop in nine-month comparable profit  hurt by austerity in its debt-laden markets and higher commodity costs.,normal
COP,ConocoPhillips,20121108,Exclusive: Venezuela sees Exxon  Conoco arbitration rulings in late 2013 ,CARACAS Venezuela expects international arbitration rulings by late 2013 in multi-billion-dollar claims by Exxon Mobil and ConocoPhillips over nationalizations by President Hugo Chavez's government  the oil minister said.,topStory
CZZ,Cosan Limited,20121108,Brazil's Cosan posts $140 mln profit on financial gain ,Nov 8 The net profit of Brazil's largest sugar and ethanol producer  Grupo Cosan SA  quadrupled year-on-year in the second quarter of its 2013 fiscal year  thanks to a non-operating financial gain and improved fuel sales  the company said late on Wednesday.,topStory
BAP,Credicorp Ltd,20121108,Peru's Credicorp reports 33 percent jump in Q3 net profit ,* Peru's economy expected to grow healthy 6 pct this year,topStory
DF,Dean Foods Company,20121108,Dean Foods lifts view after earnings beat ,Dean Foods Co  on Thursday reported a better-than-expected quarterly profit and raised its full-year outlook as strong sales of soy milk and other products offset declines in its fresh dairy business  sending its shares up nearly 3 percent.,topStory
DF,Dean Foods Company,20121108,UPDATE 3-Dean Foods lifts view after earnings beat ,Nov 8 Dean Foods Co on Thursday reported a better-than-expected quarterly profit and raised its full-year outlook as strong sales of soy milk and other products offset declines in its fresh dairy business  sending its shares up nearly 3 percent.,normal
DF,Dean Foods Company,20121108,BRIEF-Dean Foods up in premarket after Q3 results  outlook ,NEW YORK  Nov 8 Dean Foods Co :  * Up 5.7 percent to $17 in premarket after Q3 results  outlook,normal
DF,Dean Foods Company,20121108,Dean Foods profit beats estimates; CFO to step down ,Nov 8 Dean Foods Co reported a better-than-expected quarterly profit as gross margins improved  and the dairy company said it had appointed a new chief financial officer.,normal
DB,Deutsche Bank AG,20121108,Deutsche Bank says it will never need state aid ,HAMBURG Deutsche Bank   on a international regulator's list of four banks that would pose the greatest risk to the global financial system if they collapsed  will never need to be bailed out  its co-chief executive said.,topStory
DB,Deutsche Bank AG,20121108,Deutsche Bank says it will never need state aid ,HAMBURG  Nov 8 Deutsche Bank  on a international regulator's list of four banks that would pose the greatest risk to the global financial system if they collapsed  will never need to be bailed out  its co-chief executive said.,normal
DB,Deutsche Bank AG,20121108,Deutsche Bank Co-CEO says Europe needs banking union ,HAMBURG  Nov 8 Deutsche Bank Co-Chief Executive Juergen Fitschen said on Thursday that Europe needed a banking union to make the financial sector "fitter" for the continent in the long-term.,normal
DVN,Devon Energy Corporation,20121108,TEXT-Fitch affirms Devon Energy Corp's IDR at 'BBB+' ,Nov 8 - Fitch Ratings has taken the following rating actions on Devon Energy Corporation (Devon; NYSE: DVN) and its subsidiaries:  Devon Energy Corporation --Long-term Issuer Default Rating (IDR) affirmed at 'BBB+'; --Senior unsecured notes affirmed at 'BBB+'; --Senior unsecured credit facility affirmed at 'BBB+'; --Short-term IDR affirmed at 'F2'; --Commercial paper (CP) affirmed at 'F2'.  Devon Financing Corporation U.L.C. --Long-term IDR of 'BBB+' assigned; --Senior unsecured notes affirmed a,topStory
DEO,Diageo plc,20121108,Diageo close to deal for United Spirits stake: sources ,MUMBAI Diageo Plc  was close to a deal for a stake in Indian liquor baron Vijay Mallya's United Spirits Ltd  after months of talks  sources with direct knowledge of the matter said  with a deal likely to be announced as soon as Friday.,topStory
DEO,Diageo plc,20121108,UPDATE 1-Diageo close to deal for United Spirits stake-sources ,MUMBAI  Nov 8 Diageo Plc was close to a deal for a stake in Indian liquor baron Vijay Mallya's United Spirits Ltd after months of talks  sources with direct knowledge of the matter said  with a deal likely to be announced as soon as Friday.,normal
DEO,Diageo plc,20121108,Diageo close to deal for stake in India's United Spirits-sources ,MUMBAI  Nov 8 Diageo Plc was close to a deal for a stake in Indian liquor baron Vijay Mallya's United Spirits Ltd after months of talks  sources with direct knowledge of the matter said  with a deal likely to be announced as soon as Friday.,normal
DDS,Dillard&#39;s Inc,20121108,Kohl's holiday profit forecast misses mark ,Kohl's Corp  said on Thursday it expects sales to rise this holiday quarter  but gave a profit forecast that missed Wall Street's expectations because of what it anticipates will be a highly competitive Christmas period.,topStory
DDS,Dillard&#39;s Inc,20121108,Dillard's same-store sales beats Wall Street forecasts ,Department store chain Dillard's Inc  on Thursday reported a higher quarterly adjusted profit  helped by strong gains in sales that handily beat Wall Street's expectations.,normal
DDS,Dillard&#39;s Inc,20121108,UPDATE 1-Dillard's same-store sales beats Wall Street forecasts ,Nov 8 Department store chain Dillard's Inc  on Thursday reported a higher quarterly adjusted profit  helped by strong gains in sales that handily beat Wall Street's expectations.,normal
DUK,Duke Energy Corporation,20121108,Duke Energy profit beats Street  boosted by Progress ,Duke Energy Corp   the largest power company in the United States  posted a better-than-expected quarterly profit on Thursday due to benefits from its summer acquisition of rival Progress Energy.,topStory
DUK,Duke Energy Corporation,20121108,UPDATE 2-Duke Energy profit beats Street  boosted by Progress ,Nov 8 Duke Energy Corp  the largest power company in the United States  posted a better-than-expected quarterly profit on Thursday due to benefits from its summer acquisition of rival Progress Energy.,normal
DUK,Duke Energy Corporation,20121108,BRIEF-Duke Energy CEO Jim Rogers says "we're on the way" to integrating Progress  Duke ,Nov 8 Duke Energy Corp :  * CEO jim Rogers says "we're on the way" to integrating progress  Duke  * Says has not increased natural gas hedging in recent months  no plans to,normal
DUK,Duke Energy Corporation,20121108,Duke Energy net income jumps after Progress integration ,Nov 8 Duke Energy Corp  the largest power company in the United States  posted a 26 percent jump in quarterly net income on Thursday  helped by its summer buyout of rival Progress Energy.,normal
DUKH,Duke Energy Corporation,20121108,Duke Energy profit beats Street  boosted by Progress ,Duke Energy Corp   the largest power company in the United States  posted a better-than-expected quarterly profit on Thursday due to benefits from its summer acquisition of rival Progress Energy.,topStory
DUKH,Duke Energy Corporation,20121108,UPDATE 2-Duke Energy profit beats Street  boosted by Progress ,Nov 8 Duke Energy Corp  the largest power company in the United States  posted a better-than-expected quarterly profit on Thursday due to benefits from its summer acquisition of rival Progress Energy.,normal
DUKH,Duke Energy Corporation,20121108,BRIEF-Duke Energy CEO Jim Rogers says "we're on the way" to integrating Progress  Duke ,Nov 8 Duke Energy Corp :  * CEO jim Rogers says "we're on the way" to integrating progress  Duke  * Says has not increased natural gas hedging in recent months  no plans to,normal
DUKH,Duke Energy Corporation,20121108,Duke Energy net income jumps after Progress integration ,Nov 8 Duke Energy Corp  the largest power company in the United States  posted a 26 percent jump in quarterly net income on Thursday  helped by its summer buyout of rival Progress Energy.,normal
ETN,Eaton Corporation PLC,20121108,BRIEF-Moody's cuts Eaton  Cooper Industries ratings to Baa1 ,Nov 8 Eaton Corp  Cooper Industries :  * Moody's lowers Eaton and Cooper Industries rating to baa1; outlook is,topStory
ETN,Eaton Corporation PLC,20121108,TEXT-Fitch cuts Eaton's IDR to 'BBB+'  removes from watch negative ,Nov 8 - Fitch Ratings has removed Eaton Corporation (Eaton) from Rating Watch Negative and downgraded the Issuer Default Rating (IDR) and long-term ratings to 'BBB+' from 'A-'. TheR Outlook is Negative. Eaton's short term IDR and commercial paper rating are affirmed at 'F2'. A full rating list follows at the end of this release.  The downgrade of Eaton's long-term ratings reflects the anticipated increase in the company's debt and leverage associated with its pending acquisition of Cooper Indust,normal
EC,Ecopetrol SA,20121108,TEXT-Fitch affirms Black Gold Re Ltd's IFS rating at 'BBB'; outlook stable ,(The following statement was released by the rating agency),topStory
ENR,Energizer Holdings Inc,20121108,Energizer to cut more than 10 percent of workforce ,Energizer Holdings Inc  said on Thursday that it would cut more than 10 percent of its workforce  or about 1 500 people  as it tries to rev up results in its battery business.,topStory
ENR,Energizer Holdings Inc,20121108,BRIEF-Energizer CEO says expects dividend to continue at current rate for a while ,CHICAGO  Nov 8 Energizer Holdings Inc :  * CEO says expects dividend to continue at current rate for a while,normal
ENR,Energizer Holdings Inc,20121108,BRIEF-Energizer CEO sees global battery category volumes continuing to fall in low to mid-single digit range ,CHICAGO  Nov 8 Energizer Holdings Inc :  * CEO sees global battery category volumes continuing to fall in low to,normal
ENR,Energizer Holdings Inc,20121108,UPDATE 1-Energizer to cut more than 10 percent of workforce ,Nov 8 Energizer Holdings Inc said on Thursday that it would cut more than 10 percent of its workforce  or about 1 500  people  as it tries to rev up results in its battery business.,normal
ENR,Energizer Holdings Inc,20121108,Energizer to cut more than 10 percent of workforce ,Nov 8 Energizer Holdings Inc said on Thursday that it would cut more than 10 percent of its workforce  or about 1 500  people.,normal
EXC,Exelon Corporation,20121108,BRIEF - Moody's affirms Exelon Corp and Exelon Generation ratings ,Nov 8 Moody's affirms Exelon Corp and Exelon Generation ratings,topStory
XOM,Exxon Mobil Corporation,20121108,Exclusive: Venezuela sees Exxon  Conoco arbitration rulings in late 2013 ,CARACAS Venezuela expects international arbitration rulings by late 2013 in multi-billion-dollar claims by Exxon Mobil and ConocoPhillips over nationalizations by President Hugo Chavez's government  the oil minister said.,topStory
XOM,Exxon Mobil Corporation,20121108,UPDATE 1-New Turkish company in talks over Kurdistan oil-sources ,ARBIL  Iraq  Nov 8 A new Turkish oil company is in negotiations to acquire several blocks in Iraqi Kurdistan in a joint venture with at least one foreign oil major and the Kurdistan Regional Government  industry sources said on Thursday.,normal
FLR,Fluor Corporation,20121108,Fluor sued over misuse of nuclear site funds for lobbying ,The government has taken over a lawsuit alleging that engineering company Fluor Corp misused federal funds to lobby for more money for a nuclear materials training facility that it managed.,topStory
FLR,Fluor Corporation,20121108,US sues Fluor over misuse of nuclear site funds for lobbying ,Nov 8 The U.S. government has taken over a lawsuit alleging that engineering company Fluor Corp  misused federal funds to lobby for more money for a nuclear materials training facility that it managed.,normal
F,Ford Motor Company,20121108,Entry-level wages  higher output cut Ford costs ,WAYNE  Michigan Ford Motor Co  has been able to lower its manufacturing costs this year by hiring more entry-level workers and boosting its capacity utilization in North America to 114 percent.,topStory
F,Ford Motor Company,20121108,UPDATE 1-Entry-level wages  higher output cut Ford costs ,By Deepa Seetharaman     WAYNE  Mich.  Nov 8 Ford Motor Co has been able to lower its manufacturing costs this year by hiring more entry-level workers and boosting its capacity utilization in North America to 114 percent.      So far this year  the second-largest U.S. automaker has hired 4 800 entry-level workers  who start at $15.78 an hour. In all  Ford has hired 5 200 workers this year.     "Our manufacturing costs have gone down this year one is capacity utilization and the other,normal
F,Ford Motor Company,20121108,BRIEF-Ford says its N. American plants operating at 114 pct of capacity ,WAYNE  Michigan  Nov 8 Ford Motor Co executive Jim Tetreault  head of the company's North American manufacturing  said:  * Ford's North American plants operating at 114 percent of capacity,normal
F,Ford Motor Company,20121108,Ford builds plug-ins  "wild Focus" at flexible Michigan plant ,DETROIT Ford Motor Co  marked on Thursday the production launch of its latest plug-in hybrid at a former SUV factory that now serves as a model for the second-largest U.S. automaker's global manufacturing strategy.,normal
F,Ford Motor Company,20121108,Ford builds plug-ins  "wild Focus" at flexible Michigan plant ,DETROIT  Nov 8 Ford Motor Co marked on Thursday the production launch of its latest plug-in hybrid at a former SUV factory that now serves as a model for the second-largest U.S. automaker's global manufacturing strategy.,normal
F,Ford Motor Company,20121108,Ford may cut more capacity if Europe outlook worsens ,BERLIN Ford Motor Co   which plans to close three factories and scrap 6 200 jobs in Europe to stanch losses  said on Wednesday it cannot rule out further capacity cuts in the region if the auto market deteriorates further.,normal
GEK,General Electric Capital Corporation,20121108,India's Magma Fincorp says acquires GE India home loans ,MUMBAI  Nov 8 India's Magma Fincorp  said on Thursday it has acquired home loan portfolios from GE Capital India  a unit of General Electric Co..,topStory
GE,General Electric Company,20121108,India's Magma Fincorp says acquires GE India home loans ,MUMBAI  Nov 8 India's Magma Fincorp  said on Thursday it has acquired home loan portfolios from GE Capital India  a unit of General Electric Co..,topStory
GS,Goldman Sachs Group Inc (The),20121108,RLPC: Apex Tools markets $1.475B credit ,NEW YORK  Nov 8 Goldman Sachs and Barclays are in market with a $1.475 billion credit facility that will back Bain Capital's acquisition of Apex Tool Group  sources told Thomson Reuters LPC.,topStory
