AMZN,Amazoncom Inc,20121217,Nordstrom family scion keeps up with Amazon online ,SAN FRANCISCO The future of retail came to Jamie Nordstrom not in a dream  but though his email inbox from Amazon.com Inc  the online retailer that Nordstrom now targets as his biggest rival.,topStory
S,Sprint Corporation,20121217,TEXT-S&P: NTELOS Holdings 'BB-' rating on watch negative ,Overview      -- We are placing our ratings on NTELOS Holdings Corp.  including the `BB-' corporate credit rating  on CreditWatch with negative implications.      -- Softbank Corp. has a definitive agreement to purchase a majority stake  in Sprint Nextel Corp. subject to regulatory approvals.      -- The Softbank transaction could improve Sprint Nextel's liquidity and  increase chances that Sprint Nextel might invest in its own network in  NTELOS's footprint and not renew its wholesale carriage ,topStory
S,Sprint Corporation,20121217,Clearwire investors unlikely to get higher Sprint bid ,Sprint Nextel Corp's $2.2 billion offer for Clearwire Corp is likely to face resistance from Clearwire's minority shareholders  but accepting the offer may prove to be their best option.,normal
S,Sprint Corporation,20121217,UPDATE 4-Clearwire investors unlikely to get higher Sprint bid ,* Analysts say Sprint's offer likely the best Clearwire will get,normal
S,Sprint Corporation,20121217,BRIEF-Sprint CEO says deal values Clearwire spectrum higher than AT&T paid for Nextwave ,Dec 17 Sprint Nextel Corp :  * CEO says expects to begin regulatory filings for Clearwire Corp deal,normal
S,Sprint Corporation,20121217,BRIEF-Clearwire says was unable to reach alternative deals to Sprint ,Dec 17 Sprint Nextel Corp :  * CEO says does not expect Clearwire deal to affect timing of Softbank,normal
S,Sprint Corporation,20121217,BRIEF-Clearwire shares fall  Sprint to buy ,NEW YORK  Dec 17 Clearwire Corp :  * Shares down 8.3 percent in premarket  Sprint Nextel Corp  to buy,normal
S,Sprint Corporation,20121217,Sprint sweetens bid for Clearwire to $2.2 bln ,Dec 17 Sprint Nextel Corp raised its offer for Clearwire Corp by 7 cents per share to buy the rest of the wireless service provider for $2.2 billion.,normal
STT,State Street Corporation,20121217,MOVES- Deutsche Bank  State Street Global Advisors  Barclays ,Dec 17 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
SLF,Sun Life Financial Inc,20121217,Sun Life sells U.S. annuity business  shares drop ,TORONTO Sun Life Financial Inc  will sell its U.S. annuity business for $1.35 billion to a firm connected to Guggenheim Partners in a deal that should reduce the exposure of the insurer's earnings to market swings and boost its cash levels.,topStory
SLF,Sun Life Financial Inc,20121217,UPDATE 3-Sun Life sells U.S. annuity business  shares drop ,* Shares fall 3.9 pct on Toronto Stock Exchange   (Adds CEO and analyst comments  updates shares),normal
SLF,Sun Life Financial Inc,20121217,CANADA STOCKS-TSX ends lower as Sun Life  First Quantum weigh ,TORONTO  Dec 17 Canada's main stock index closed lower on Monday  led by declines in Sun Life Financial Inc  and First Quantum Minerals Ltd after the companies announced major transactions.     The Toronto Stock Exchange's S&P/TSX composite index  ended down 15.37 points  or 0.12 percent  at 12 281.35.,normal
SLF,Sun Life Financial Inc,20121217,BRIEF-Sun Life to update 2015 financial targets next year ,TORONTO  Dec 17 Sun Life Financial Inc :  * CEO says will update investors on 2015 financial targets after U.S. annuity,normal
SLF,Sun Life Financial Inc,20121217,TEXT - Fitch may cut Sun Life Financial Inc ratings ,Dec 17 - Fitch Ratings has placed the 'A-' Insurer Financial Strength (IFS) ratings of Sun Life Financial Inc.'s (TSE  NYSE: SLF) U.S. life insurance subsidiaries on Rating Watch Negative. A complete list of ratings follows at the end of this release.   Today's rating action follows SLF's announcement that it reached a definitive  agreement to sell Sun Life Assurance Company of Canada (U.S.) and Sun Life  Insurance & Annuity Co. of New York to Delaware Life Holdings  a company owned  by sharehol,normal
SLF,Sun Life Financial Inc,20121217,Sun Life to sell US annuity business for $1.35 bln ,Dec 17 Canada's Sun Life Financial Inc  said it will sell its U.S. annuity business and some life insurance businesses for $1.35 billion to Delaware Life Holdings  a company owned by shareholders of institutional asset manager Guggenheim Partners.,normal
TEF,Telefonica SA,20121217,Spaniards ditch mobile phones in record numbers ,MADRID  Dec 17 Recession-hit Spaniards ditched mobile phone lines in record numbers in October  with the two biggest operators continuing to haemorrhage market share to smaller rivals offering subsidies on handsets.,topStory
TU,TELUS Corporation,20121217,Telus says Mason avoided disclosing sale of its stake ,Canada's Telus Corp  said on Monday it believes U.S. hedge fund Mason Capital Management LLC borrowed or "otherwise acquired" the telecom company's shares at the end of November to avoid disclosing a big reduction in its stake.,topStory
TU,TELUS Corporation,20121217,Telus says Mason avoided disclosing sale of its stake ,Dec 17 Canada's Telus Corp said on Monday it believes U.S. hedge fund Mason Capital Management LLC borrowed or "otherwise acquired" the telecom company's shares at the end of November to avoid disclosing a big reduction in its stake.,normal
TEVA,Teva Pharmaceutical Industries Limited,20121217,Teva to enter Korean drugs market with Handok venture ,JERUSALEM Israel's Teva Pharmaceutical Industries  has entered into a joint venture with Handok Pharmaceuticals   aiming to gain a foothold in the $14 billion Korean market.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20121217,Teva to enter Korean drugs market with Handok venture ,JERUSALEM  Dec 17 Israel's Teva Pharmaceutical Industries has entered into a joint venture with Handok Pharmaceuticals  aiming to gain a foothold in the $14 billion Korean market.,normal
TRI,Thomson Reuters Corp,20121217,Twitter and Nielsen pair up to publish new "social TV" ratings ,SAN FRANCISCO Nielsen Holdings NV  the television viewership measurement company  said on Monday it will partner with Twitter to publish a new set of ratings that measure chatter on Twitter about TV programming.,topStory
TRI,Thomson Reuters Corp,20121217,Russian tycoon becomes Norilsk CEO in board peace deal ,MOSCOW Norilsk Nickel  named longtime co-owner Vladimir Potanin as its chief executive on Monday under a Kremlin-inspired deal to end a boardroom war at the world's top nickel and palladium producer.,normal
TRP,TransCanada Corporation,20121217,New U.S. secretary of state shouldn't change Keystone odds ,CALGARY  Alberta The prospect of a new U.S. secretary of state should not change the odds of the Canada-to-United States Keystone XL oil pipeline being approved  since previous studies concluded that carbon emissions will not rise as a result of the project  the chief executive of proponent TransCanada Corp  said on Monday.,topStory
WFT,Weatherford International plc,20121217,BRIEF-Weatherford down in premarket after amended 10-k filing ,NEW YORK  Dec 17 Weatherford International Ltd  :  * Down 2.4 percent to $10.42 in premarket after amended 10-k filing,topStory
