ASML,ASML Holding NV,20121212,TEXT - Fitch revises ASML Holding N.V. outlook to positive ,Dec 12 - Fitch Ratings has revised the Outlook on Netherlands-based ASML Holding N.V.'s (ASML) Long-term Issuer Default Rating (IDR) to Positive from Stable and affirmed the IDR and senior unsecured ratings  at 'BBB'.   The Positive Outlook reflects Fitch's view of the degree to which ASML has  consolidated its position as one of the semiconductor capital equipment  industry's most important suppliers. This position has been both validated and  strengthened by recent strategic events; namely a c,topStory
SAM,Boston Beer Company Inc (The),20121212,BRIEF-Boston Beer shares rise 7.2 percent in after hours trading ,NEW YORK  Dec 12 The Boston Beer Company Inc  :  * Shares rise 7.2 percent in after hours trading,topStory
BP,BP plc,20121212,UPDATE 2-Rosneft finalises deal to buy TNK-BP stake from AAR ,MOSCOW  Dec 12 Rosneft has finalised a deal to buy half of TNK-BP for $28 billion  clearing the way for a full takeover that would make the state-controlled Russian oil major the world's largest listed oil firm by output.,topStory
BP,BP plc,20121212,FEATURE-Oman eyes broader role for private sector to create jobs  diversify from oil ,* Energy shortages may trim economic growth by 2-3 pct/year,normal
BP,BP plc,20121212,Rosneft finalises deal to buy TNK-BP stake from AAR ,MOSCOW  Dec 12 State oil major Rosneft  has signed a final deal to buy a one-half stake in Anglo-Russian oil from TNK-BP from the AAR consortium in a deal worth $28 billion  sealing Russia's largest ever takeover transaction.,normal
BMY,Bristol-Myers Squibb Company,20121212,Medicines Co licenses Bristol-Myers' bleeding control device for $105 mln ,Dec 12 The Medicines Company said it will pay $105 million in an upfront payment for a two-year license to market Bristol-Myers Squibb Company's device to control bleeding during surgery.,topStory
BT,BT Group plc,20121212,BRIEF-BT completes sale of remaining stake in Tech Mahindra Ltd ,LONDON  Dec 12 BT Group PLC :  * BT completes sale of remaining Tech Mahindra stake  * Completed the sale of its remaining 9.1% shareholding (11.6m shares) in Tech,topStory
BPL,Buckeye Partners LP,20121212,UPDATE 1-Buckeye shuts down 140 000-bpd pipeline in New Jersey due to spill ,Dec 11 Buckeye Partners has shut down a section of a 140 000 barrel-per-day pipeline in Hillsborough  New Jersey  after a spill was detected  the company said on Tuesday.,topStory
CAJ,Canon Inc,20121212,ADR REPORT-Foreign shares edge up after Fed launches stimulus ,NEW YORK  Dec 12 U.S.-listed shares of foreign companies edged up on Wednesday  taking their cue from Wall Street after the Federal Reserve announced a new round of stimulus  but repeated a warning that monetary policy alone will not be enough to offset the "fiscal cliff.",topStory
CVE,Cenovus Energy Inc,20121212,UPDATE 3-Cenovus says output to rise but warns on cash flow ,* Forecasts 2013 net oil production of 180 000-196 000 bpd,topStory
CVE,Cenovus Energy Inc,20121212,Cenovus expects higher oil output in 2013 ,Dec 12 Cenovus Energy Inc  Canada's second-largest independent oil producer  said it expects nearly 14 percent higher oil output and forecast a higher spending for next year.,normal
CHK,Chesapeake Energy Corporation,20121212,Chesapeake in $2 billion midstream deal ,Chesapeake Energy Corp  on Tuesday agreed to sell most of its remaining natural gas processing and gathering assets for $2.16 billion as it continues to sell assets to pay down its heavy debt load.,topStory
CHK,Chesapeake Energy Corporation,20121212,UPDATE 2-Chesapeake in $2 billion midstream deal ,* Sells most of remaining midstream assets to Access for $2.16 bln,normal
CEO,CNOOC Limited,20121212,Petronas completes takeover of Canada's Progress ,CALGARY  Alberta  Dec 12 Malaysia's Petronas  completed its C$5.2 billion ($5.3 billion) takeover of Progress Energy Resources Corp on Wednesday  a deal that was expected to have sailed through Canada's approval process but got ensnared in a heated national debate about foreign control of energy assets.,topStory
DAL,Delta Air Lines Inc,20121212,BRIEF-Delta sees Virgin deal boosting New York strategy ,Dec 12 Delta Air Lines Inc :  * During investor meeting webcast  carrier says New York's LaGuardia expected to be profitable center for company,topStory
DAL,Delta Air Lines Inc,20121212,BRIEF-Delta comments on Virgin deal ,Dec 12 Delta Air Lines  * During investor meeting webcast  Delta says hopes to receive immunity for Virgin Atlantic,normal
DAL,Delta Air Lines Inc,20121212,Delta expects 2013 profit growth  plans returns to shareholders ,Delta Air Lines  said on Wednesday that it expected profit growth in 2013 and would introduce a plan to return cash to shareholders.,normal
DAL,Delta Air Lines Inc,20121212,Delta expects 2013 profit growth  plans returns to shareholders ,Dec 12 Delta Air Lines said on Wednesday that it expected profit growth in 2013 and would introduce a plan to return cash to shareholders.,normal
DAL,Delta Air Lines Inc,20121212,BRIEF-Delta looks to return cash to shareholders ,Dec 12 Delta Air Lines Inc :  * During investor meeting webcast  CEO Richard Anderson says he believes shortly industry will see American Airlines and US,normal
DAL,Delta Air Lines Inc,20121212,PRESS DIGEST - Financial Times - Dec 12 ,Three British men  including a former UBS trader and two employees of interdealer broker RP Martin  have been arrested as part of a global probe into Libor manipulation.,normal
DAL,Delta Air Lines Inc,20121212,Delta buys Virgin Atlantic stake to boost London access ,Delta Air Lines  agreed to buy a 49 percent stake in Virgin Atlantic   creating a joint venture that would expand Delta's access to London's Heathrow Airport and increase competition in the lucrative transatlantic market. | Video ,normal
DB,Deutsche Bank AG,20121212,UPDATE 2-Deutsche commodities head to leave  power desk hit hard ,* Silbert  formerly gas trader  led Deutsche push in commodities,topStory
DB,Deutsche Bank AG,20121212,Deutsche Bank co-CEO drawn into C02 tax evasion probe ,FRANKFURT Deutsche Bank co-chief executive Juergen Fitschen was drawn into a widening tax evasion probe linked to carbon trading at Germany's biggest lender on Wednesday as police and tax inspectors raided its offices.,normal
DB,Deutsche Bank AG,20121212,UPDATE 5-Deutsche Bank co-CEO drawn into C02 tax evasion probe ,* Search linked to ongoing carbon tax evasion probe   (Adds bank comment),normal
DB,Deutsche Bank AG,20121212,TEXT - S&P raises Deutsche Postbank AG rating to 'A+' ,(The following statement was released by the rating agency)  Overview      -- We consider Germany-based Deutsche Postbank AG to be core to its parent Deutsche Bank AG under our group methodology  based on Deutsche Bank's 93.7% stake and an approved profit-and-loss transfer agreement.       -- We are raising our long-term rating on Postbank to 'A+' from 'A' and  affirming the 'A-1' short-term rating.      -- The negative outlook on Postbank mirrors that on the parent and  reflects the risks we pe,normal
DB,Deutsche Bank AG,20121212,Deutsche global commodities head to leave ,LONDON  Dec 12 Deutsche Bank will steeply cut staff at its U.S. and European power and gas trading desks with up to 50 traders leaving the bank  and its global head of commodities  David Silbert  is also to leave.,normal
DB,Deutsche Bank AG,20121212,Deutsche Bank Co-CEO  CFO also part of carbon probe ,FRANKFURT  Dec 12 Deutsche Bank said Co-Chief Executive Juergen Fitschen and Chief Financial Officer Stefan Krause are targets of an investigation by state prosecutors into a tax evasion scheme involving the trading of carbon permits.,normal
DB,Deutsche Bank AG,20121212,Deutsche Bank watchdog dismisses false accounting claims - sources ,FRANKFURT  Dec 12 Deutsche Bank's  risk committee has found no need for a fresh investigation of allegations the lender failed to recognise billions of euros in unrealised losses during the financial crisis  two sources said.,normal
DB,Deutsche Bank AG,20121212,Deutsche Bank says prosecutors search HQ on CO2 tax fraud case ,FRANKFURT  Dec 12 Deutsche Bank on Wednesday said its Frankfurt headquarters were being searched by prosecutors probing a tax evasion scheme involving the trading of carbon permits.,normal
DB,Deutsche Bank AG,20121212,German stocks - Factors to watch on Dec 12 ,FRANKFURT  Dec 12 The DAX top-30 index  looked set to open unchanged on Wednesday  according to premarket data from brokerage Lang & Schwarz at 0709 GMT.,normal
LLY,Eli Lilly and Company,20121212,BRIEF-Eli Lilly down in premarket after Alzheimer's treatment update ,NEW YORK  Dec 12 Eli Lilly and Co :  * Down 3.2 percent to $49 in premarket after the company said it plans to conduct a big new trial of its experimental Alzheimer's disease treatment among patients with mild symptoms but did not plan to seek U.S. apporval at this time,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20121212,Embraer sees sales rebound on U.S. orders  new aircraft ,SAO PAULO Brazilian jet maker Embraer SA  aims to rebuild its depleted order backlog next year with two major new offerings -- a military cargo plane and a re-engined family of regional jets -- executives said on Wednesday.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20121212,UPDATE 2-Embraer sees sales rebound on U.S. orders  new aircraft ,* CEO says close to meeting 2012 revenue and profit goals,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20121212,Brazil's Embraer to meet 2012 revenue  margin targets - CEO ,SAO PAULO  Dec 12 Brazil's jetmaker Embraer SA  is close to meeting its targets for revenues and profit margins this year  Chief Executive Frederico Curado said on Wednesday.,normal
ENR,Energizer Holdings Inc,20121212,Energizer could top 2013 Street forecast  plans Edge razor ,Dec 12 Energizer Holdings Inc's new product plans include an Edge razor that it will launch in 2013  and its forecast suggests its annual profit may exceed analysts' expectations.     In slides for its investor conference taking place on Wednesday  the battery and razor maker gave the same forecast for 2013 adjusted earnings of $6.75 to $7 per share that it gave back in November.      Analysts  on average  now expect it to earn $6.82 per share  according to Thomson Reuters I/B/E/S. B,topStory
ENR,Energizer Holdings Inc,20121212,BRIEF-Energizer says in presentation slides to launch edge brand razor in 2013 ,CHICAGO  Dec 12 Energizer Holdings Inc :  * Says in presentation slides to launch edge brand razor in 2013  * Says in presentation slides sees 2013 adjusted EPS $6.75-$7.00  * Thomson Reuters I/B/E/S FY 2013 earnings per share view $6.82,normal
E,ENI SpA,20121212,Eni's CEO meets Mozambique's president on gas finds ,MILAN  Dec 12 The head of Italian oil and gas group Eni met the President of Mozambique on Wednesday to discuss the gas export infrastructure in the country which the company needs to develop the country's major new offshore gas discoveries.,topStory
FDX,FedEx Corporation,20121212,FedEx employee emails claim firm overcharged businesses ,NEW YORK FedEx Corp  ignored suspicions by an employee that it "systematically" overcharged business customers for years by billing them for higher residential delivery rates  according to emails made public in a lawsuit against the company.,topStory
FDX,FedEx Corporation,20121212,FedEx employee emails claim firm overcharged businesses ,NEW YORK  Dec 11 FedEx Corp ignored suspicions by an employee that it "systematically" overcharged business customers for years by billing them for higher residential delivery rates  according to emails made public in a lawsuit against the company.,normal
GDI,Gardner Denver Holdings Inc,20121212,Exclusive: SPX bid for Gardner Denver tops $4 billion - sources ,NEW YORK Industrial machinery maker SPX Corp  has outbid private equity firms competing to buy Gardner Denver Inc  by a wide margin  offering to pay more than $4 billion for the rival  according to two people familiar with the matter.,topStory
GDI,Gardner Denver Holdings Inc,20121212,EXCLUSIVE-UPDATE 2-SPX bid for Gardner Denver tops $4 bln-sources ,* Private equity offers in mid-to-high $70s/shr range-sources,normal
GDI,Gardner Denver Holdings Inc,20121212,SPX bid for Gardner Denver tops $4 bln-sources ,NEW YORK  Dec 12 Industrial machinery maker SPX Corp has outbid private equity firms competing to buy Gardner Denver Inc by a wide margin  offering to pay more than $4 billion for the rival  according to two people familiar with the matter.,normal
GEK,General Electric Capital Corporation,20121212,Regulator approves GE deal for MetLife deposit business ,The Office of the Comptroller of the Currency has approved MetLife's sale of its deposit-taking business to a unit of General Electric Co's  GE Capital  MetLife Inc  said on Wednesday.,topStory
GEK,General Electric Capital Corporation,20121212,UPDATE 1-Regulator approves GE deal for MetLife deposit business ,Dec 12 The Office of the Comptroller of the Currency has approved MetLife's sale of its deposit-taking business to a unit of General Electric Co's GE Capital  MetLife Inc said on Wednesday.,normal
GEK,General Electric Capital Corporation,20121212,OCC approves GE purchase of MetLife deposit business ,Dec 12 The Office of the Comptroller of the Currency has approved MetLife's sale of its deposit-taking business to a unit of General Electric Co's GE Capital  MetLife Inc said on Wednesday.,normal
GE,General Electric Company,20121212,Regulator approves GE deal for MetLife deposit business ,The Office of the Comptroller of the Currency has approved MetLife's sale of its deposit-taking business to a unit of General Electric Co's  GE Capital  MetLife Inc  said on Wednesday.,topStory
GE,General Electric Company,20121212,UPDATE 1-Regulator approves GE deal for MetLife deposit business ,Dec 12 The Office of the Comptroller of the Currency has approved MetLife's sale of its deposit-taking business to a unit of General Electric Co's GE Capital  MetLife Inc said on Wednesday.,normal
GE,General Electric Company,20121212,OCC approves GE purchase of MetLife deposit business ,Dec 12 The Office of the Comptroller of the Currency has approved MetLife's sale of its deposit-taking business to a unit of General Electric Co's GE Capital  MetLife Inc said on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20121212,Goldman CEO: Successor will come from within firm ,NEW YORK Goldman Sachs Group Inc  Chief Executive Lloyd Blankfein said on Wednesday he believes his successor will come from within the firm.,topStory
GS,Goldman Sachs Group Inc (The),20121212,UPDATE 1-Goldman CEO: Successor will come from within firm ,NEW YORK  Dec 12 Goldman Sachs Group Inc  Chief Executive Lloyd Blankfein said on Wednesday he believes his successor will come from within the firm.,normal
GS,Goldman Sachs Group Inc (The),20121212,Goldman CEO says his likely successor works at firm now ,NEW YORK  Dec 12 Goldman Sachs Group Inc  Chief Executive Officer Lloyd Blankfein said on Wednesday that he believes his successor is working at the firm now.,normal
GS,Goldman Sachs Group Inc (The),20121212,BRIEF-Goldman's Blankfein: Next Goldman CEO likely now at Goldman ,Dec 12 Goldman Sachs Group Inc :  * CEO Blankfein: U.S. fiscal cliff deal most likely at last minute  * Goldman CEO Lloyd Blankfein: people are "complacent" about risk of higher interest,normal
HES,Hess Corporation,20121212,Hess finds more oil off Ghana ,Dec 12 U.S. oil and gas company Hess Corp  said on Wednesday it made an oil discovery off Ghana at the Deepwater Tano/Cape Three Points license.,topStory
HMC,Honda Motor Company Ltd,20121212,Honda to recall 871 000 vehicles for roll-away problem ,Honda Motor Co will recall 871 000 vehicles that could roll away after the ignition key has been removed  including 807 000 in the United States  the company said on Wednesday.,topStory
HMC,Honda Motor Company Ltd,20121212,Honda to recall 871 000 vehicles for roll-away issue ,Dec 12 Honda Motor Co will recall 871 000 vehicles that could roll away after the ignition key has been removed  including 807 000 in the United States  the company said on Wednesday.,normal
HON,Honeywell International Inc,20121212,Coolant safety row puts the heat on Europe's carmakers ,* Daimler test prompts rethink on air-conditioning coolant,topStory
HPQ,HP Inc,20121212,Autonomy spurs questions on looming accounting overhaul ,NEW YORK The scandal at Autonomy  a UK software group bought last year by Hewlett-Packard Co  has some accountants wondering about the wisdom of new  global standards in the pipeline that would change how companies account for revenue.,topStory
HRG,HRG Group Inc,20121212,TEXT-Fitch rates Harbinger Group debt issuance ,Dec 12 - Fitch Ratings has assigned a 'B/RR4' rating to Harbinger Group Inc.'s (HRG) proposed issuance of a new seven year  $650 million senior secured security.  HRG plans to use the new security to finance its tender offer for the existing $500 million issue of 10.625% senior secured notes and for general corporate purposes. Fitch plans to withdraw the 'B/RR4' rating on the existing notes once the tender offer is completed.  Proposed financial covenants in the new security are similar to the e,topStory
HSBC,HSBC Holdings plc,20121212,HSBC: How Simple Became Complicated  and costly ,LONDON HSBC takes its name from its roots as the Hongkong and Shanghai Banking Corporation  but there has long been a joke inside and outside the firm that the name stands for "How Simple Became Complicated".,topStory
HSBC,HSBC Holdings plc,20121212,Lafarge seeks buyers for S.Korean unit in $650 mln deal - report ,SEOUL  Dec 12 France's Lafarge is seeking to sell its South Korean unit Lafarge Halla Cement Co for roughly 700 billion won ($650 million) and is currently searching for buyers  South Korean online media Edaily reported on Wednesday.,normal
HSBC,HSBC Holdings plc,20121212,HSBC became bank to drug cartels  pays big for lapses ,In February 2008  Mexican authorities told the CEO of HSBC Holdings Plc's Mexico unit that a local drug lord referred to the bank as the "place to launder money " U.S. prosecutors said on Tuesday  as they announced a record $1.92 billion settlement with the British bank. | Video ,normal
HSBC,HSBC Holdings plc,20121212,RPT-UPDATE 7-HSBC became bank to drug cartels  pays big for lapses ,* $881 mln in drug traffic proceeds laundered through HSBC,normal
HSEA,HSBC Holdings plc,20121212,HSBC: How Simple Became Complicated  and costly ,LONDON HSBC takes its name from its roots as the Hongkong and Shanghai Banking Corporation  but there has long been a joke inside and outside the firm that the name stands for "How Simple Became Complicated".,topStory
HSEA,HSBC Holdings plc,20121212,Lafarge seeks buyers for S.Korean unit in $650 mln deal - report ,SEOUL  Dec 12 France's Lafarge is seeking to sell its South Korean unit Lafarge Halla Cement Co for roughly 700 billion won ($650 million) and is currently searching for buyers  South Korean online media Edaily reported on Wednesday.,normal
HSEA,HSBC Holdings plc,20121212,HSBC became bank to drug cartels  pays big for lapses ,In February 2008  Mexican authorities told the CEO of HSBC Holdings Plc's Mexico unit that a local drug lord referred to the bank as the "place to launder money " U.S. prosecutors said on Tuesday  as they announced a record $1.92 billion settlement with the British bank. | Video ,normal
HSEA,HSBC Holdings plc,20121212,RPT-UPDATE 7-HSBC became bank to drug cartels  pays big for lapses ,* $881 mln in drug traffic proceeds laundered through HSBC,normal
HSEB,HSBC Holdings plc,20121212,HSBC: How Simple Became Complicated  and costly ,LONDON HSBC takes its name from its roots as the Hongkong and Shanghai Banking Corporation  but there has long been a joke inside and outside the firm that the name stands for "How Simple Became Complicated".,topStory
HSEB,HSBC Holdings plc,20121212,Lafarge seeks buyers for S.Korean unit in $650 mln deal - report ,SEOUL  Dec 12 France's Lafarge is seeking to sell its South Korean unit Lafarge Halla Cement Co for roughly 700 billion won ($650 million) and is currently searching for buyers  South Korean online media Edaily reported on Wednesday.,normal
HSEB,HSBC Holdings plc,20121212,HSBC became bank to drug cartels  pays big for lapses ,In February 2008  Mexican authorities told the CEO of HSBC Holdings Plc's Mexico unit that a local drug lord referred to the bank as the "place to launder money " U.S. prosecutors said on Tuesday  as they announced a record $1.92 billion settlement with the British bank. | Video ,normal
HSEB,HSBC Holdings plc,20121212,RPT-UPDATE 7-HSBC became bank to drug cartels  pays big for lapses ,* $881 mln in drug traffic proceeds laundered through HSBC,normal
IBM,International Business Machines Corporation,20121212,IBM's latest retirement move is bad for workers ,CHICAGO IBM ads urge us all to follow its lead and help "build a smarter planet." Let's hope other companies don't follow Big Blue's latest move: an overhaul of its 401(k) plan that shifts its matching contribution to a once-a-year affair.,topStory
IBM,International Business Machines Corporation,20121212,UPDATE 1-COLUMN-IBM's latest retirement move is bad for workers ,CHICAGO  Dec 12IBM ads urge us all to follow its lead and help "build a smarter planet." Let's hope other companies don't follow Big Blue's latest move: an overhaul of its 401(k) plan that shifts its matching contribution to a once-a-year affair.,normal
IBM,International Business Machines Corporation,20121212,IBM's latest retirement move is bad for workers ,CHICAGO IBM ads urge us all to follow its lead and help "build a smarter planet." Let's hope other companies don't follow Big Blue's latest move: an overhaul of its 401(k) plan that shifts its matching contribution to a once-a-year affair.,normal
IBM,International Business Machines Corporation,20121212,COLUMN-IBM's latest retirement move is bad for workers ,CHICAGO  Dec 12IBM ads urge us all to follow its lead and help "build a smarter planet." Let's hope other companies don't follow Big Blue's latest move: an overhaul of its 401(k) plan that shifts its matching contribution to a once-a-year affair.,normal
JPM,J P Morgan Chase & Co,20121212,JPMorgan's Dimon says US power trading ban "not that big a deal" ,NEW YORK  Dec 12 A six-month electricity trading ban imposed on JPMorgan Chase & Co. by federal energy regulators is "not that big a deal " Chief Executive Jamie Dimon said on Wednesday.,topStory
JPM,J P Morgan Chase & Co,20121212,New Issue-JPMorgan prices 500 mln stg 2026 bond ,Notes                   Launched under issuer's EMTN programme,normal
JPM,J P Morgan Chase & Co,20121212,UPDATE 1-Budget deal could set U.S. economy 'booming' - Dimon ,Dec 12 JPMorgan Chase & Co CEO Jamie Dimon said the United States could have a "booming economy" in a couple of months if lawmakers in Washington reach agreement to deal with the looming spending cuts and tax increases known as the "fiscal cliff.",normal
JPM,J P Morgan Chase & Co,20121212,BRIEF-JPMorgan Chase CEO Jamie Dimon says deal on fiscal cliff could save jobs  "get country going" ,Dec 12 JPMorgan Chase & Co :  * CEO Jamie Dimon says deal on fiscal cliff could save jobs  "get country,normal
KKR,KKR & Co LP,20121212,SPX bid for Gardner Denver tops $4 bln-sources ,NEW YORK  Dec 12 Industrial machinery maker SPX Corp has outbid private equity firms competing to buy Gardner Denver Inc by a wide margin  offering to pay more than $4 billion for the rival  according to two people familiar with the matter.,topStory
LAZ,Lazard Ltd,20121212,Lafarge seeks buyers for S.Korean unit in $650 mln deal - report ,SEOUL  Dec 12 France's Lafarge is seeking to sell its South Korean unit Lafarge Halla Cement Co for roughly 700 billion won ($650 million) and is currently searching for buyers  South Korean online media Edaily reported on Wednesday.,topStory
LEN,Lennar Corporation,20121212,Lennar lines up $1.7 billion from China Development Bank: WSJ ,Home builder Lennar Corp  lined up $1.7 billion from state-run China Development Bank for two San Fransisco-based housing projects  the Wall Street Journal reported citing people familiar the deal.,topStory
LEN,Lennar Corporation,20121212,Lennar lines up $1.7 bln from China Development Bank -WSJ ,Dec 11 Home builder Lennar Corp lined up $1.7 billion from state-run China Development Bank for two San Fransisco-based housing projects  the Wall Street Journal reported citing people familiar the deal.,normal
LMT,Lockheed Martin Corporation,20121212,Pentagon cuts cost of F-35 fighters by 4 percent: sources ,WASHINGTON The Pentagon will pay about 4 percent less for each new Lockheed Martin Corp  F-35A fighter jet when it signs a deal worth $3.8 billion with the No. 1 U.S. defense contractor on Friday  according to sources familiar with the deal.,topStory
LMT,Lockheed Martin Corporation,20121212,UPDATE 2-Pentagon cuts cost of F-35 fighters by 4 pct - sources ,WASHINGTON  Dec 12 The Pentagon will pay about 4 percent less for each new Lockheed Martin Corp F-35A fighter jet when it signs a deal worth $3.8 billion with the No. 1 U.S. defense contractor on Friday  according to sources familiar with the deal.,normal
LMT,Lockheed Martin Corporation,20121212,Pentagon to pay less for F-35A jets in new contract: sources ,WASHINGTON The Pentagon will pay about 4 percent less for each new Lockheed Martin Corp  F-35A fighter jet when it signs a deal worth $3.8 billion with the No. 1 U.S. defense contractor on Friday  according to sources familiar with the deal.,normal
LMT,Lockheed Martin Corporation,20121212,Pentagon to pay less for F-35A jets in new contract -sources ,WASHINGTON  Dec 12 The Pentagon will pay about 4 percent less for each new Lockheed Martin Corp F-35A fighter jet when it signs a deal worth $3.8 billion with the No. 1 U.S. defense contractor on Friday  according to sources familiar with the deal.,normal
LMT,Lockheed Martin Corporation,20121212,Pentagon says will sign F-35 deal with Lockheed ,WASHINGTON The U.S. Defense Department said it will sign a contract with Lockheed Martin Corp on Friday for a fifth group of F-35 Joint Strike Fighter jets  a long-awaited deal that moves forward the most costly weapons program in U.S. history.,normal
LMT,Lockheed Martin Corporation,20121212,Pentagon says will sign F-35 deal with Lockheed ,WASHINGTON  Dec 12 The U.S. Defense Department said it will sign a contract with Lockheed Martin Corp  on Friday for a fifth group of F-35 Joint Strike Fighter jets  a long-awaited deal that moves forward the most costly weapons program in U.S. history.,normal
MBI,MBIA Inc,20121212,Recent maneuvers suggest BofA-MBIA pact likely: analysts ,A long-running legal dispute between Bank of America Corp  and insurer MBIA Inc  could be settled in early 2013 after recent maneuvers involving MBIA's bonds  analysts at research firm CreditSights wrote.,topStory
MBI,MBIA Inc,20121212,UPDATE 1-Recent maneuvers suggest BofA-MBIA pact likely-analysts ,Dec 12 A long-running legal dispute between Bank of America Corp and insurer MBIA Inc could be settled in early 2013 after recent maneuvers involving MBIA's bonds  analysts at research firm CreditSights wrote.,normal
MBI,MBIA Inc,20121212,Recent maneuvers suggest BofA-MBIA pact likely -analysts ,Dec 12 A long-running legal dispute between Bank of America Corp and insurer MBIA Inc could be settled in early 2013 after recent maneuvers involving MBIA's bonds  analysts at research firm CreditSights wrote.,normal
MTL,Mechel PAO,20121212,Russia's Mechel halves 2013 capex to $500-600 mln ,MOSCOW  Dec 12 Russian mining and steel group Mechel will cut 2013 capital expenditures by half to $500-600 million due to unfavourable market conditions  Chief Financial Officer Stanislav Ploschenko said on Wednesday.,topStory
MTL,Mechel PAO,20121212,UPDATE 2-Mechel profit swing overshadowed by debt ,* Analysts say Mechel dividends on preferred stock unlikely,normal
MET,MetLife Inc,20121212,Regulator approves GE deal for MetLife deposit business ,The Office of the Comptroller of the Currency has approved MetLife's sale of its deposit-taking business to a unit of General Electric Co's  GE Capital  MetLife Inc  said on Wednesday.,topStory
MET,MetLife Inc,20121212,UPDATE 1-Regulator approves GE deal for MetLife deposit business ,Dec 12 The Office of the Comptroller of the Currency has approved MetLife's sale of its deposit-taking business to a unit of General Electric Co's GE Capital  MetLife Inc said on Wednesday.,normal
MET,MetLife Inc,20121212,OCC approves GE purchase of MetLife deposit business ,Dec 12 The Office of the Comptroller of the Currency has approved MetLife's sale of its deposit-taking business to a unit of General Electric Co's GE Capital  MetLife Inc said on Wednesday.,normal
MGM,MGM Resorts International,20121212,RLPC: MGM cuts spread on $1.5B refinancing loan ,NEW YORK  Dec 12 MGM Resorts cut pricing on its $1.5 billion  seven-year term loan B  sources told Thomson Reuters LPC. The loan is now expected to price at 325bp over Libor with a 1 percent Libor floor and a discount of 99.5.,topStory
NI,NiSource Inc,20121212,Nisource investigates West Virginia natural gas pipeline blast ,NEW YORK Nisource on Wednesday was investigating the cause of a natural gas pipeline explosion on its Columbia Gas Transmission line that rocked a small community near Charleston  West Virginia  a day earlier  the company said.,topStory
NI,NiSource Inc,20121212,Nisource investigates West Virginia natural gas pipeline blast ,NEW YORK  Dec 12 Nisource on Wednesday was investigating the cause of a natural gas pipeline explosion on its Columbia Gas Transmission line that rocked a small community near Charleston  West Virginia  a day earlier  the company said.,normal
OHI,Omega Healthcare Investors Inc,20121212,TEXT - Fitch rates Omega Healthcare Investors ,Dec 12 - Ratings has assigned a 'BBB-' rating to the $200 million unsecured term loan due 2017 entered into by Omega Healthcare Investors  Inc.    (NYSE: OHI; Omega). The loan bears interest at a rate based on the company's credit ratings and is currently priced at LIBOR + 175 basis points. At closing  the company had $100 million in borrowings under the term loan facility with up to 120 days to borrow the full amount available. Proceeds will be used to repay amounts outstanding on the line of c,topStory
OPY,Oppenheimer Holdings Inc,20121212,DIARY-U.S. MEETINGS / DAY AHEAD ,THOMSON REUTERS  Corporate Meetings for US Companies for Wednesday  December 12  2012.       S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        Meetings - Weekly                   S&P 500 Earnings - Monthly          Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Res,topStory
PFE,Pfizer Inc,20121212,Pfizer to pay $55 million to settle Protonix case ,Pfizer Inc will pay $55 million plus interest to settle charges that Wyeth promoted its acid reflux drug Protonix for unapproved uses and made unproven claims about the medicine  the U.S. Department of Justice said on Wednesday.,topStory
PKX,POSCO,20121212,Posco not interested in Italian ThyssenKrupp plant ,SEOUL/LONDON Steelmaker POSCO  has denied it is interested in buying the ThyssenKrupp stainless steel plant in Terni  Italy  rejecting market speculation that the South Korean producer could buy the plant to increase its presence in Europe.,topStory
PKX,POSCO,20121212,Posco not interested in Italian ThyssenKrupp plant ,SEOUL/LONDON  Dec 12 Steelmaker POSCO  has denied it is interested in buying the ThyssenKrupp stainless steel plant in Terni  Italy  rejecting market speculation that the South Korean producer could buy the plant to increase its presence in Europe.,normal
RRC,Range Resources Corporation,20121212,Range expects 2013 capital spending to fall to $1.3 bln ,Dec 12 Range Resources Corp said it expects capital spending to fall 19 percent to $1.3 billion in 2013  with nearly 85 percent of the budget going to its oil and liquids-rich operations in the Marcellus and Horizontal Mississippian shale fields.,topStory
RH,RH,20121212,Furniture retailer Restoration Hardware's revenue rises 22 percent ,Furniture retailer Restoration Hardware Holdings Inc  reported higher third-quarter revenue as more customers shopped at its luxury stores.,topStory
RH,RH,20121212,Furniture retailer Restoration Hardware's revenue rises 22 pct ,Dec 12 Furniture retailer Restoration Hardware Holdings Inc reported higher third-quarter revenue as more customers shopped at its luxury stores.,normal
RIO,Rio Tinto Plc,20121212,UPDATE 3-Rio Tinto  Japan set Q1 aluminium deals at $240/T premium -sources ,* Aluminium Q1 deals slip 6 pct from Q4 2012 record of $254 to $255,topStory
RIO,Rio Tinto Plc,20121212,CORRECTED-UPDATE 1-Rio Tinto  Japan set Q1 aluminium deals at $240/T premium -sources ,(Corrects 1Q 2012 aluminium premium figure in fifth paragraph to $112),normal
