AMZN,Amazoncom Inc,20150617,Amazon insists federal rules apply to U.S. deliveries by drone ,WASHINGTON Amazon.com  seeking to bolster its efforts to deliver products via drone  said on Tuesday that states and local communities should not be allowed to regulate unmanned aerial systems (UAS) authorized by federal aviation regulators.,topStory
GEK,General Electric Capital Corporation,20150617,GE's Immelt: U.S. retreat from ExIm  trade will cost jobs  influence ,WASHINGTON  June 17 General Electric Co  Chairman Jeff Immelt warned on Wednesday that the company would move manufacturing jobs to Canada and Europe if the Export-Import Bank closes and that U.S. economic influence will wane if Congress blocks a major Pacific-rim trade pact.,normal
GEK,General Electric Capital Corporation,20150617,Geometric Power  GE to build 1 080 MW plant in Nigeria ,LAGOS  June 17 Nigeria's Geometric Power will build a 1 080 megawatt power plant jointly with General Electric   with the first phase of the project generating 500 MW expected to be completed in 2019 at a cost of $800 million.,normal
GE,General Electric Company,20150617,GE's Immelt: U.S. retreat from ExIm  trade will cost jobs  influence ,WASHINGTON General Electric Co  Chairman Jeff Immelt warned on Wednesday that the company would move manufacturing jobs to Canada and Europe if the Export-Import Bank closes and that U.S. economic influence will wane if Congress blocks a major Pacific-rim trade pact.,topStory
GE,General Electric Company,20150617,GE's Immelt: U.S. retreat from ExIm  trade will cost jobs  influence ,WASHINGTON  June 17 General Electric Co  Chairman Jeff Immelt warned on Wednesday that the company would move manufacturing jobs to Canada and Europe if the Export-Import Bank closes and that U.S. economic influence will wane if Congress blocks a major Pacific-rim trade pact.,normal
GE,General Electric Company,20150617,Geometric Power  GE to build 1 080 MW plant in Nigeria ,LAGOS  June 17 Nigeria's Geometric Power will build a 1 080 megawatt power plant jointly with General Electric   with the first phase of the project generating 500 MW expected to be completed in 2019 at a cost of $800 million.,normal
GEB,General Electric Company,20150617,GE's Immelt: U.S. retreat from ExIm  trade will cost jobs  influence ,WASHINGTON General Electric Co  Chairman Jeff Immelt warned on Wednesday that the company would move manufacturing jobs to Canada and Europe if the Export-Import Bank closes and that U.S. economic influence will wane if Congress blocks a major Pacific-rim trade pact.,topStory
GEB,General Electric Company,20150617,GE's Immelt: U.S. retreat from ExIm  trade will cost jobs  influence ,WASHINGTON  June 17 General Electric Co  Chairman Jeff Immelt warned on Wednesday that the company would move manufacturing jobs to Canada and Europe if the Export-Import Bank closes and that U.S. economic influence will wane if Congress blocks a major Pacific-rim trade pact.,normal
GEB,General Electric Company,20150617,Geometric Power  GE to build 1 080 MW plant in Nigeria ,LAGOS  June 17 Nigeria's Geometric Power will build a 1 080 megawatt power plant jointly with General Electric   with the first phase of the project generating 500 MW expected to be completed in 2019 at a cost of $800 million.,normal
GM,General Motors Company,20150617,Exclusive: GM and FCA line up financial advisers in merger stand-off ,LONDON/MILAN/DETROIT General Motors  and Fiat Chrysler Automobiles (FCA)  have turned to investment banks for help to deal with a stand-off as FCA seeks to force a merger with its Detroit-based rival  according to sources familiar with the matter.,topStory
GM,General Motors Company,20150617,"Price war" in China auto market will spread to local brands -association chief ,BEIJING  June 17 A "price war" among global auto brands offering showroom  discounts in China will quickly spread to domestic manufacturers as overall sales slow  the head of China's automakers' association said.,normal
GSK,GlaxoSmithKline PLC,20150617,China deports British  American investigators linked to GSK scandal ,SHANGHAI A British corporate sleuth and his American wife and business partner  both linked to a bribery scandal in China involving drugmaker GlaxoSmithKline PLC  were deported on Wednesday after their jail terms were reduced this month.,topStory
GSK,GlaxoSmithKline PLC,20150617,REFILE-China deports British  American investigators linked to GSK scandal ,SHANGHAI  June 17 A British corporate sleuth and his American wife and business partner  both linked to a bribery scandal in China involving drugmaker GlaxoSmithKline PLC   were deported on Wednesday after their jail terms were reduced this month.,normal
GSK,GlaxoSmithKline PLC,20150617,GSK invests $95 million in effort to demystify cell 'operating system' ,LONDON British drugmaker GlaxoSmithKline is investing $95 million to create a new U.S. research institute led by a top genomics professor to investigate how a cell's operating system  works.,normal
GSK,GlaxoSmithKline PLC,20150617,GSK invests $95 mln in effort to demystify cell 'operating system' ,LONDON  June 17 British drugmaker GlaxoSmithKline is investing $95 million to create a new U.S. research institute led by a top genomics professor to investigate how a cell's operating system  works.,normal
GS,Goldman Sachs Group Inc (The),20150617,UPDATE 1-Banks' forex lawsuit settlements near $2 bln-WSJ ,June 17 The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,topStory
GS,Goldman Sachs Group Inc (The),20150617,Goldman to summer interns: Don't stay in the office overnight ,NEW YORK Goldman Sachs Group Inc has told its summer investment banking interns not to stay in the office overnight in a bid to improve working conditions for its junior staff.,normal
GS,Goldman Sachs Group Inc (The),20150617,Goldman to summer interns: Don't stay in the office overnight ,NEW YORK  June 17 Goldman Sachs Group Inc  has told its summer investment banking interns not to stay in the office overnight in a bid to improve working conditions for its junior staff.,normal
ASR,Grupo Aeroportuario del Sureste SA de CV,20150617,UPDATE 2-Mexico court rules for airport operator GAP over Grupo Mexico ,MEXICO CITY  June 17 Mexico's Supreme Court on Wednesday ruled in favor of airport operator Grupo Aeroportuario del Pacifico (GAP) in a four-year dispute with mining and railroad company Grupo Mexico.,topStory
HRC,Hill-Rom Holdings Inc,20150617,Hill-Rom to acquire Welch Allyn for about $2.05 billion ,Hill-Rom Holdings Inc   a maker of hospital beds and surgical products  said it would buy privately held Welch Allyn for about $2.05 billion to expand into the point-of-care diagnostics market.,topStory
HRC,Hill-Rom Holdings Inc,20150617,UPDATE 2-Hill-Rom to acquire Welch Allyn for about $2.05 bln ,June 17 Hill-Rom Holdings Inc  a maker of hospital beds and surgical products  said it would buy privately held Welch Allyn for about $2.05 billion to expand into the point-of-care diagnostics market.,normal
HRC,Hill-Rom Holdings Inc,20150617,Hill-Rom to acquire Welch Allyn for about $2.05 bln ,June 17 Hill-Rom Holdings Inc said it would acquire privately held Welch Allyn for about $2.05 billion to develop healthcare technologies for patients and caregivers.,normal
HSBC,HSBC Holdings plc,20150617,Brazil's Bradesco to bid for HSBC Brasil  newswire says ,SAO PAULO Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer to buy HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,topStory
HSBC,HSBC Holdings plc,20150617,Brazil's Bradesco to place bid for HSBC Brasil  Estado says ,SAO PAULO  June 17 Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer for HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,normal
HSBC,HSBC Holdings plc,20150617,UPDATE 1-U.S. regulator limits mortgage servicing activities at 6 banks ,WASHINGTON  June 17 A U.S. bank regulator on Wednesday said it imposed restrictions on mortgage servicing against HSBC  Wells Fargo and four others because they failed to meet all of the requirements of a major settlement.,normal
HSBC,HSBC Holdings plc,20150617,Banks' forex lawsuit settlements near $2 billion: WSJ ,The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,normal
HSBC,HSBC Holdings plc,20150617,UPDATE 1-Banks' forex lawsuit settlements near $2 bln-WSJ ,June 17 The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,normal
HSBC,HSBC Holdings plc,20150617,Banks' forex lawsuit settlements near $2 bln-WSJ ,June 17 The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,normal
HSEA,HSBC Holdings plc,20150617,Brazil's Bradesco to bid for HSBC Brasil  newswire says ,SAO PAULO Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer to buy HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,topStory
HSEA,HSBC Holdings plc,20150617,Brazil's Bradesco to place bid for HSBC Brasil  Estado says ,SAO PAULO  June 17 Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer for HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,normal
HSEA,HSBC Holdings plc,20150617,UPDATE 1-U.S. regulator limits mortgage servicing activities at 6 banks ,WASHINGTON  June 17 A U.S. bank regulator on Wednesday said it imposed restrictions on mortgage servicing against HSBC  Wells Fargo and four others because they failed to meet all of the requirements of a major settlement.,normal
HSEA,HSBC Holdings plc,20150617,Banks' forex lawsuit settlements near $2 billion: WSJ ,The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,normal
HSEA,HSBC Holdings plc,20150617,UPDATE 1-Banks' forex lawsuit settlements near $2 bln-WSJ ,June 17 The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,normal
HSEA,HSBC Holdings plc,20150617,Banks' forex lawsuit settlements near $2 bln-WSJ ,June 17 The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,normal
HSEB,HSBC Holdings plc,20150617,Brazil's Bradesco to bid for HSBC Brasil  newswire says ,SAO PAULO Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer to buy HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,topStory
HSEB,HSBC Holdings plc,20150617,Brazil's Bradesco to place bid for HSBC Brasil  Estado says ,SAO PAULO  June 17 Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer for HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,normal
HSEB,HSBC Holdings plc,20150617,UPDATE 1-U.S. regulator limits mortgage servicing activities at 6 banks ,WASHINGTON  June 17 A U.S. bank regulator on Wednesday said it imposed restrictions on mortgage servicing against HSBC  Wells Fargo and four others because they failed to meet all of the requirements of a major settlement.,normal
HSEB,HSBC Holdings plc,20150617,Banks' forex lawsuit settlements near $2 billion: WSJ ,The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,normal
HSEB,HSBC Holdings plc,20150617,UPDATE 1-Banks' forex lawsuit settlements near $2 bln-WSJ ,June 17 The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,normal
HSEB,HSBC Holdings plc,20150617,Banks' forex lawsuit settlements near $2 bln-WSJ ,June 17 The total amount paid by banks to settle a civil lawsuit related to allegations that traders manipulated the currency market has reached almost $2 billion following a recent round of settlement agreements  the Wall Street Journal reported.,normal
JPM,J P Morgan Chase & Co,20150617,JPMorgan's Jimmy Lee  a legendary rainmaker  dies ,Jimmy Lee  one of JPMorgan Chase & Co's  most important dealmakers  died on Wednesday  the bank's chief executive said in a statement. He was 62.,topStory
JPM,J P Morgan Chase & Co,20150617,UPDATE 4-JPMorgan's Jimmy Lee  a legendary rainmaker  dies ,June 17 Jimmy Lee  one of JPMorgan Chase & Co's  most important dealmakers  died on Wednesday  the bank's chief executive said in a statement. He was 62.,normal
JPM,J P Morgan Chase & Co,20150617,Senior JPMorgan investment banker Jimmy Lee dies ,June 17 Jimmy Lee  one of JPMorgan Chase & Co's  most senior  investment bankers  has died  Chief Executive Officer Jamie Dimon said in a statement on Wednesday. Lee was 62.,normal
KEYS,Keysight Technologies Inc,20150617,Keysight Technologies to buy UK's Anite in $607 million deal ,Keysight Technologies Inc   a maker of electronic measurement instruments  said it would buy Britain's Anite Plc  in a cash deal valued at about 388 million pounds ($607 million).,topStory
KEYS,Keysight Technologies Inc,20150617,UPDATE 2-Keysight Technologies to buy UK's Anite in $607 mln deal ,* Anite shares up as much as 25 pct   (Adds share movement  analyst comment),normal
KEYS,Keysight Technologies Inc,20150617,BUZZ-Anite: U.S. peer makes $607 mln offer to buy out co ,** Anite up c.24.8 pct  on track for largest intraday gain since 2008 after co gets c.388 mln stg  or $606.9 mln  buyout offer,normal
KEYS,Keysight Technologies Inc,20150617,BRIEF-Anite shares open up 23 pct after Keysight Technologies offer ,* Shares open up 23 percent after Keysight Technologies offers to buy co in $607 million deal  Further company coverage:,normal
KEYS,Keysight Technologies Inc,20150617,UK Stocks-Factors to watch on Wednesday June 17 ,LONDON  June 17 Britain's FTSE 100 index is seen opening up 13 to 17 points  or 0.25 percent higher on Wednesday  according to financial bookmakers with futures up 0.2 percent ahead of the cash market open. For more on the factors affecting European stocks  please click on,normal
KEYS,Keysight Technologies Inc,20150617,UK Stocks-Factors to watch on Wednesday June 17 ,LONDON  June 17 Britain's FTSE 100 index is seen opening up 13 to 17 points  or 0.25 percent higher on Wednesday  according to financial bookmakers with futures up 0.2 percent ahead of the cash market open. For more on the factors affecting European stocks  please click on,normal
KEYS,Keysight Technologies Inc,20150617,BRIEF-Keysight Technologies to buy UK's Anite for $606.9 mln ,* Anite shareholders will be entitled to receive: 126 pence in cash per Anite share in deal,normal
KEYS,Keysight Technologies Inc,20150617,Keysight Technologies to buy Anite in $606.9 mln deal ,June 17 Electronic measurement instruments maker Keysight Technologies Inc will buy Britain's Anite Plc   which tests handsets and telecom networks  in a cash deal valued at about 388 million pounds ($606.87 million).,normal
LYG,Lloyds Banking Group Plc,20150617,Lloyds CEO to call for British banks to accept new ring-fencing rules ,LONDON Lloyds Banking Group's  Chief Executive  Antonio Horta-Osorio  will on Thursday call for British banks to accept new rules designed to protect their domestic retail customers from riskier parts of their operations.,topStory
LYG,Lloyds Banking Group Plc,20150617,Lloyds CEO to call for British banks to accept new ring-fencing rules ,* Regulator consulting with banks over ring-fencing proposals,normal
LMT,Lockheed Martin Corporation,20150617,Lockheed names partner for commercial sales of giant airships ,PARIS Lockheed Martin Corp  on Tuesday named a private firm  Hybrid Enterprises LLC  as the exclusive sales agent for its  Hybrid Airships  a new type of aircraft that company officials say could revolutionize the way oil and mining companies haul equipment to the Arctic and other remote areas without roads.,topStory
LMT,Lockheed Martin Corporation,20150617,AIRSHOW-U.S. Marine general keeps "careful eye" on F-35 spare parts ,PARIS  June 17 The top U.S. Marine in charge of aviation is "very confident" about the $391 billion Lockheed Martin Corp F-35 fighter program ahead of a decision on the jet's combat-readiness  but said he is keeping "a careful eye" on the spare parts supply.,normal
MMP,Magellan Midstream Partners LP,20150617,Exclusive: Magellan Midstream mulls setting up oil trading  logistics ops ,NEW YORK Magellan Midstream Partners LP  one of the ten largest U.S. oil pipeline companies  is considering opening an oil trading operation for the first time to enter a business that generates hundreds of millions of dollars a year for some of its rivals.,topStory
MMP,Magellan Midstream Partners LP,20150617,Exclusive: Magellan Midstream shifts sights to trading oil for first time ,NEW YORK Magellan Midstream Partners LP  one of the ten largest U.S. oil pipeline companies  is considering opening an oil trading operation for the first time to enter a business that generates hundreds of millions of dollars a year for some of its rivals.,normal
MBI,MBIA Inc,20150617,Q and A with muni investor Tom Metzold  leaving Eaton Vance for MBIA ,NEW YORK  June 17 Well-known municipal bond investor Tom Metzold on Tuesday announced his retirement after 28 years at Eaton Vance Management.,topStory
MBI,MBIA Inc,20150617,MOVES-National Public Finance names Thomas Metzold head of capital markets ,June 17 U.S.-based National Public Finance Guarantee Corp  an indirect subsidiary of MBIA Inc  appointed Thomas Metzold from Eaton Vance Management to the newly created role of head of capital markets.,normal
MRK,Merck & Company Inc,20150617,Merck to pay $5.9 million for misleading marketing of pink eye drug: U.S ,NEW YORK Merck & Co Inc has agreed to pay $5.9 million to resolve claims that a former unit fraudulently promoted a drug used to treat pink eye for unapproved purposes  U.S. authorities announced on Wednesday.,topStory
MRK,Merck & Company Inc,20150617,Merck to pay $5.9 mln for misleading marketing of pink eye drug: U.S. ,NEW YORK Merck & Co Inc has agreed to pay $5.9 million to resolve claims that a former unit fraudulently promoted a drug used to treat pink eye for unapproved purposes  U.S. authorities announced on Wednesday.,normal
MRK,Merck & Company Inc,20150617,UPDATE 1-Merck to pay $5.9 mln for misleading marketing of pink eye drug: U.S. ,NEW YORK  June 17 Merck & Co Inc has agreed to pay $5.9 million to resolve claims that a former unit fraudulently promoted a drug used to treat pink eye for unapproved purposes  U.S. authorities announced on Wednesday.,normal
MRK,Merck & Company Inc,20150617,CORRECTED-Merck to pay $5.9 mln for misleading marketing of pink eye drug: U.S. ,NEW YORK  June 17 Merck & Co Inc has agreed to pay $5.9 million to resolve claims that a former unit fraudulently promoted a drug used to treat pink eye for unapproved purposes  U.S. authorities announced on Wednesday.,normal
MRK,Merck & Company Inc,20150617,Merck to pay $5.9 mln for misleading marketing of pink eye drug: U.S. ,NEW YORK  June 17 A unit of Merck & Co Inc  has agreed to pay $5.9 million to resolve claims that it fraudulently promoted a drug used to treat pink eye for unapproved purposes  U.S. authorities announced on Wednesday.,normal
MTU,Mitsubishi UFJ Financial Group Inc,20150617,MOVES-Mitsubishi UFJ Securities Asia rates business gets new head ,June 17 Tokyo-based Mitsubishi UFJ Financial Group Inc appointed Ryosei Hayashi as head of the rates trading and sales business for Asia at Mitsubishi UFJ Securities (HK) Ltd.,topStory
ORCL,Oracle Corporation,20150617,Oracle sales  profit miss estimates; shares fall ,Oracle Corp  forecast quarterly profit below analysts' estimates  and said weak sales of its traditional database software licenses were made worse by a strong U.S. dollar that lowered the value of foreign revenue. | Video ,topStory
ORCL,Oracle Corporation,20150617,UPDATE 3-Oracle sales  profit miss estimates; shares fall ,June 17 Oracle Corp forecast quarterly profit below analysts' estimates  and said weak sales of its traditional database software licenses were made worse by a strong U.S. dollar that lowered the value of foreign revenue.,normal
ORCL,Oracle Corporation,20150617,US STOCKS-Wall St ends higher in choppy post-Fed trading ,* Indexes up: Dow 0.17 pct  S&P 0.2 pct  Nasdaq 0.18 pct   (Updates to close),normal
ORCL,Oracle Corporation,20150617,CORRECTED-Oracle revenue falls 5.4 pct hurt by a stronger dollar ,June 17 Oracle Corp  a business software and database company   reported a 5.4 percent fall in quarterly revenue  hurt by a strong dollar.,normal
PSO,Pearson Plc,20150617,BRIEF-Pearson to sell PowerSchool to Vista Equity for $350 mln ,* It has agreed sale of its PowerSchool business to Vista Equity Partners for a gross consideration of $350 million,topStory
PTR,PetroChina Company Limited,20150617,Low oil price hits $200 billion in mega-projects , (This June 16 story corrects to say Shell  PetroChina are shareholders  not operators of Arrow LNG  in tenth paragraph),topStory
PG,Procter & Gamble Company (The),20150617,REFILE-UPDATE 3-Coty on track to clinch P&G beauty deal in coming weeks-sources ,PARIS  June 16 Coty is on track to acquire Procter & Gamble's  beauty business in a $12 billion deal that would make the U.S. cosmetic company the world leader in perfume and hair care  sources close to the matter said.,topStory
RBS,Royal Bank Scotland plc (The),20150617,UPDATE 1-RBS customers face wait for payments after another IT failure ,* BoE says working with RBS to resolve problem   (Adds statement from RBS  lawmaker Tyrie  customer responses),topStory
RBS,Royal Bank Scotland plc (The),20150617,MOVES-Boughton joins RBS corporate syndicate ,LONDON  June 17 (IFR) - Sam Boughton has joined the corporate investment grade syndicate team at RBS in London  according to the bank.,normal
RBS,Royal Bank Scotland plc (The),20150617,RBS says 600 000 payment transactions hit by IT problem ,LONDON  June 17 Royal Bank of Scotland  said 600 000 customer transactions had not been processed after another technology problem at the state-backed bank.,normal
SDRL,Seadrill Limited,20150617,BRIEF-Seadrill sells rig to Seadrill Partners ,* Seadrill Limited agrees to sell the ultra-deepwater drillship the West Polaris to Seadrill Partners LLC,topStory
SDLP,Seadrill Partners LLC,20150617,BRIEF-Seadrill sells rig to Seadrill Partners ,* Seadrill Limited agrees to sell the ultra-deepwater drillship the West Polaris to Seadrill Partners LLC,topStory
SNN,Smith & Nephew SNATS Inc,20150617,BRIEF-Smith & Nephew gets $99 mln patent infringement payment from Arthrex ,* Receives $99 million patent infringement payment from Arthrex,topStory
SNE,Sony Corp Ord,20150617,Virtual reality dominates floor at E3 gaming show ,LOS ANGELES Virtual reality gaming  once a distant concept  became the new battleground at this year's E3 industry convention  with developers seeking to win over fans with their immersive headsets and accessories. | Video ,topStory
STO,Statoil ASA,20150617,Statoil says still working on terms to develop Bay du Nord field ,CALGARY  Alberta Statoil ASA  said on Wednesday it is still working with the government of Canada's Newfoundland to come up with terms for developing the Bay du Nord discovery in the North Atlantic off the province's coast.,topStory
TI,Telecom Italia SPA,20150617,Telecom Italia set to raise up to 875 mln euros from INWIT IPO ,MILAN  June 17 Italian phone group Telecom Italia is set to raise up to 875 million euros ($992 million) from the bourse listing of its tower unit INWIT after its shares were priced on Wednesday at 3.65 euros each.,topStory
TI,Telecom Italia SPA,20150617,European shares sag as Greek stocks' losing streak worsens ,LONDON  June 17 European stock markets lost ground on Wednesday as persistent concerns over Greece's debt problems offset gains in Telecom Italia and shares in energy companies.,normal
TI,Telecom Italia SPA,20150617,Telecom Italia to price INWIT shares at 3.65 euros each in IPO-sources ,MILAN  June 17 Italian phone group Telecom Italia is expected to price shares in INWIT  at 3.65 euros each as it lists its mobile phone tower unit on the Milan bourse  two sources close to the matter said.,normal
TI,Telecom Italia SPA,20150617,European shares sag as Greek stocks lose more ground ,LONDON  June 17 European stock markets edged lower on Wednesday as persistent concerns over Greece's debt problems offset gains in Telecom Italia and shares in energy companies.,normal
TI,Telecom Italia SPA,20150617,Deals of the day- Mergers and acquisitions ,June 17 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,normal
TI,Telecom Italia SPA,20150617,BRIEF-Telecom Italian investor group Telco executes demerger ,June 17 Telecom Italia investor group Telco says:,normal
TI,Telecom Italia SPA,20150617,Telecom Italia and energy firms outperform weaker European stocks ,LONDON  June 17 European stock markets edged lower on Wednesday  as lingering concerns over Greece's debt problems offset gains in Telecom Italia and energy shares.,normal
TI,Telecom Italia SPA,20150617,European shares steady  focus on Federal Reserve ,LONDON  June 17 European equities surrendered early gains and turned flat in cautious trading on Wednesday  with investors thought reluctant to place strong bets before a Federal Reserve statement that could provide hints on the timing of a U.S. rate hike.,normal
TI,Telecom Italia SPA,20150617,Telecom Italia shares rise on report Vivendi to lift stake ,MILAN Shares in Telecom Italia rose sharply on Wednesday on the prospect of French media group Vivendi cementing its influence over Italy's biggest phone group once its current big shareholders exit.,normal
TI,Telecom Italia SPA,20150617,UPDATE 1-Telecom Italia shares rise on report Vivendi to lift stake ,MILAN  June 17 Shares in Telecom Italia  rose sharply on Wednesday on the prospect of French media group Vivendi cementing its influence over Italy's biggest phone group once its current big shareholders exit.,normal
TXT,Textron Inc,20150617,Textron CEO: No interest in selling Bell Helicopter business ,PARIS Textron Inc  is not interested in selling its Bell Helicopter business  despite the current downturn in the commercial sector  the company's chief executive  Scott Donnelly  said.,topStory
TXT,Textron Inc,20150617,Airbus Group CFO declines Sikorsky comment  says helicopter unit busy ,PARIS Airbus Group's  finance director declined to elaborate on the company's stance toward the possible sale of U.S. helicopter maker Sikorsky but noted its own helicopter division was already focusing on various projects.,normal
TXT,Textron Inc,20150617,AIRSHOW-Airbus Group CFO declines Sikorsky comment  says helicopter unit busy ,PARIS  June 17 Airbus Group's finance director declined to elaborate on the company's stance towards the possible sale of U.S. helicopter maker Sikorsky but noted its own helicopter division was already focusing on various projects.,normal
TM,Toyota Motor Corp Ltd Ord,20150617,Toyota paves way for return to Malaysia's sukuk market ,June 17 The Malaysia unit of Japan's biggest automaker Toyota Motor Corp. plans to setup a 2.5 billion ringgit ($667 million) programme to raise funds via both conventional and Islamic bonds  a regulatory filing showed.,topStory
TRQ,Turquoise Hill Resources Ltd,20150617,CORRECTED-UPDATE 1-Ivanhoe Mines reaffirms plan to sell copper project stake to Congo ,June 17 Ivanhoe Mines Ltd reaffirmed its plans to sell a further 15 percent stake in the Kamoa Copper Project to the Democratic Republic of Congo  a day after the government expressed concern that the stake sale could entail a reduction of a Chinese company's share in the project.,topStory
TRQ,Turquoise Hill Resources Ltd,20150617,Ivanhoe Mines says committed to selling copper project stake to Congo ,June 17 Ivanhoe Mines Ltd said it was committed to selling up to a further 15 percent stake in its Kamoa Copper Project to the Democratic Republic of Congo  a day after the government expressed concern about another stake sale to a Chinese company.,normal
USB,US Bancorp,20150617,U.S. regulator limits mortgage servicing activities at six banks ,WASHINGTON A U.S. bank regulator on Wednesday said it imposed restrictions on mortgage servicing against HSBC  Wells Fargo and four others because they failed to meet all of the requirements of a major settlement.,topStory
USB,US Bancorp,20150617,U.S. regulator limits mortgage servicing activities at 6 banks ,WASHINGTON  June 17 A U.S. bank regulator on Wednesday said it imposed restrictions on mortgage servicing against HSBC  Wells Fargo and four others because they failed to meet all of the requirements of a major settlement.,normal
UNH,UnitedHealth Group Incorporated,20150617,US STOCKS-Wall St dips as investors edgy ahead of Fed meet ,* Apple weighs on Nasdaq  S&P; UnitedHealth biggest drag on Dow,topStory
WMT,Wal-Mart Stores Inc,20150617,Wal-Mart uses tax havens to cut taxes on foreign units: advocacy group ,Wal-Mart Stores Inc  has built a network of 78 subsidiaries and branches in 15 offshore tax havens to minimize taxes on its operations outside the United States  said a report by tax reform advocacy group Americans for Tax Fairness released on Wednesday.,topStory
WMT,Wal-Mart Stores Inc,20150617,UPDATE 1-Wal-Mart uses tax havens to cut taxes on foreign units -advocacy group ,June 17 Wal-Mart Stores Inc has built a network of 78 subsidiaries and branches in 15 offshore tax havens to minimize taxes on its operations outside the United States  said a report by tax reform advocacy group Americans for Tax Fairness released on Wednesday.,normal
WMT,Wal-Mart Stores Inc,20150617,Wal-Mart using tax havens to cut taxes on foreign operations - report ,June 17 Wal-Mart Stores Inc has built a network of 78 subsidiaries and branches in 15 offshore tax havens to minimize taxes on its operations outside the United States  a report by tax reform advocacy group Americans for Tax Fairness said.,normal
WFC,Wells Fargo & Company,20150617,U.S. regulator limits mortgage servicing activities at six banks ,WASHINGTON A U.S. bank regulator on Wednesday said it imposed restrictions on mortgage servicing against HSBC  Wells Fargo and four others because they failed to meet all of the requirements of a major settlement.,topStory
WFC,Wells Fargo & Company,20150617,UPDATE 1-U.S. regulator limits mortgage servicing activities at 6 banks ,WASHINGTON  June 17 A U.S. bank regulator on Wednesday said it imposed restrictions on mortgage servicing against HSBC  Wells Fargo and four others because they failed to meet all of the requirements of a major settlement.,normal
IMO,Imperial Oil Limited,20150617,Imperial delays target for next Kearl oil sands expansion ,CALGARY  Alberta  June 17 Imperial Oil Ltd  said on Wednesday it will delay plans to boost the output of its Kearl oil sands project  backing off its 2020 fixed date for the next expansion phase.,topStory
