AMCX,AMC Networks Inc,20150501,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from May 1  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                            ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-      Eikon Indicator-> Home-> C,topStory
PUK,Prudential Public Limited Company,20150501,UPDATE 2-Business as usual seen at Prudential under new CEO Wells ,LONDON  May 1 Investors and analysts expect business as usual at British insurer Prudential after it appointed internal candidate Mike Wells  head of the company's U.S. arm  as successor to Tidjane Thiam.,topStory
PUK,Prudential Public Limited Company,20150501,Prudential names Mike Wells as CEO to replace Thiam ,LONDON  May 1 British insurer Prudential  said on Friday it had appointed Mike Wells  head of the firm's U.S. arm  as chief executive to replace Tidjane Thiam.,normal
PUK,Prudential Public Limited Company,20150501,BRIEF-Prudential names Mike Wells as CEO ,* Appointment of Mike Wells to succeed Tidjane Thiam as group Chief Executive on 1 June 2015.  Source text for Eikon:  Further company coverage:,normal
RIO,Rio Tinto Plc,20150501,Australia shares snap 3 days of fall; rise 0.5 pct ,* CSL  Woolworths  IAG  QBE among bottom movers by index weight,topStory
CRM,Salesforcecom Inc,20150501,SAP says not considering acquiring Salesforce.com ,SAN FRANCISCO German business software company SAP  said on Friday it is not considering acquiring online rival Salesforce.com Inc   after a news report suggested the leaders of the two companies had held talks about strategic alliances last year.,topStory
CRM,Salesforcecom Inc,20150501,SAP says not considering acquiring Salesforce.com ,SAN FRANCISCO  May 1 German business software company SAP said on Friday it is not considering acquiring online rival Salesforce.com Inc  after a news report suggested the leaders of the two companies had held talks about strategic alliances last year.,normal
SNY,Sanofi,20150501,RPT-Sanofi faces AGM row over cost of firing and hiring CEOs ,PARIS  April 30 Drugs group Sanofi  which sacked its chief executive last year and appointed a new one in February  has appealed for shareholder loyalty as it seeks to head off a potential rebellion over millions of euros in payments to both men.,topStory
SNE,Sony Corp Ord,20150501,REFILE-UPDATE 1-Abe  seeking new spark for Japan high-tech  meets Silicon Valley chiefs ,MENLO PARK  Calif.  April 30 In the 1980s when Sony and Toshiba were setting the agenda in the global TV and memory chip markets Japan was bristling with confidence as a hub of technological innovation.,topStory
BID,Sotheby&#39;s,20150501,Record prices for paintings  sculpture eyed at N.Y. auctions ,NEW YORK With prices for top-tier works of art at an all-time high  records for paintings and sculpture appear certain to fall at upcoming spring auctions in New York by Christie's and Sotheby's.,topStory
BID,Sotheby&#39;s,20150501,Record prices for paintings  sculpture eyed at N.Y. auctions ,NEW YORK  May 1 With prices for top-tier works of art at an all-time high  records for paintings and sculpture appear certain to fall at upcoming spring auctions in New York by Christie's and Sotheby's.,normal
SYY,Sysco Corporation,20150501,Sysco says U.S. FTC got market definition wrong in merger fight ,Sysco Corp  urging regulatory approval of its plan to buy its biggest rival  US Foods  has criticized antitrust authorities over how they have evaluated market competition in the sector.,topStory
TPRE,Third Point Reinsurance Ltd,20150501,Third Point takes stake in Yum! Brands  stock climbs ,BOSTON Billionaire investor Daniel Loeb said on Friday his hedge fund has taken a new position in Yum! Brands   sending the fast-food restaurant company's stock up nearly 7 percent.,topStory
TPRE,Third Point Reinsurance Ltd,20150501,UPDATE 1-Third Point takes stakes in Yum! Brands  Devon Energy ,BOSTON  May 1 Hedge fund Third Point told investors Friday it has taken new positions in Yum! Brands  and Devon Energy and thinks U.S. stocks remain attractive because economic data should improve and a near-term rate hike seems unlikely.,normal
TOT,Total SA,20150501,Shell  Total align trading and refining units to drive profit growth ,LONDON Top oil firms Royal Dutch Shell and Total are bringing their refining and trading operations closer together  seeking alternative ways to drive profits as oil prices fall and independent trading houses expand into their territory.,topStory
TOT,Total SA,20150501,Shell  Total align trading and refining units to drive profit growth ,LONDON  May 1 Top oil firms Royal Dutch Shell  and Total are bringing their refining and trading operations closer together  seeking alternative ways to drive profits as oil prices fall and independent trading houses expand into their territory.,normal
TRP,TransCanada Corporation,20150501,UPDATE 3-TransCanada profit lifted by U.S. pipeline operations ,May 1 TransCanada Corp  Canada's second largest pipeline operator  reported a 10 percent rise in comparable earnings  helped by the positive impact of a stronger U.S. dollar on its U.S. pipeline operations and profits at its power businesses.,topStory
TRP,TransCanada Corporation,20150501,Energy East project could go ahead with one export port -TransCanada CEO ,May 1 TransCanada Corp is still mulling alternative sites for a second oil export terminal for its Energy East pipeline  though the C$12 billion project could go ahead with just one export port  chief executive Russ Girling said on Friday.,normal
TRP,TransCanada Corporation,20150501,Pipeline operator TransCanada's net profit falls on derivatives ,May 1 TransCanada Corp   Canada's second-largest pipeline company  reported a 6.1 percent fall in quarterly net profit  hurt by derivative losses.,normal
TRQ,Turquoise Hill Resources Ltd,20150501,Deals of the day- Mergers and acquisitions ,May 1 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
TRQ,Turquoise Hill Resources Ltd,20150501,Turquoise Hill deal to exit Mongolia miner SouthGobi falls through ,TORONTO  May 1 A deal that would have allowed Canada's Turquoise Hill Resources Ltd to unload its remaining stake in Mongolian coal miner SouthGobi Resources  a company that was once worth billions of dollars  has fallen through.,normal
VRX,Valeant Pharmaceuticals International Inc,20150501,CANADA STOCKS-TSX climbs  led by Valeant  materials and banks ,TORONTO  May 1 Canada's main stock index advanced on Friday to recoup most of the previous session's losses  led by broad gains in financials and mining firms as well as some positive earnings reports.,topStory
WFC,Wells Fargo & Company,20150501,MOVES-Wells Fargo appoints Kyle Hranicky head of corporate banking ,May 1 Wells Fargo & Co  the largest U.S. mortgage lender  appointed Kyle Hranicky head of its corporate banking group  effective immediately.,topStory
YUM,Yum! Brands Inc,20150501,Third Point takes stake in Yum! Brands  stock climbs ,BOSTON Billionaire investor Daniel Loeb said on Friday his hedge fund has taken a new position in Yum! Brands   sending the fast-food restaurant company's stock up nearly 7 percent.,topStory
YUM,Yum! Brands Inc,20150501,US STOCKS-Nasdaq snaps four-day losing streak as health stocks rebound ,* Indexes up: Dow 0.5 pct  S&P 0.5 pct  Nasdaq 0.5 pct   (Changes comment  updates prices),normal
YUM,Yum! Brands Inc,20150501,UPDATE 1-Third Point takes stakes in Yum! Brands  Devon Energy ,BOSTON  May 1 Hedge fund Third Point told investors Friday it has taken new positions in Yum! Brands  and Devon Energy and thinks U.S. stocks remain attractive because economic data should improve and a near-term rate hike seems unlikely.,normal
YUM,Yum! Brands Inc,20150501,US STOCKS-Wall St opens higher as tech  health stocks rebound ,* Indexes up: Dow 0.7 pct  S&P 0.6 pct  Nasdaq 0.8 pct   (Updates to open),normal
YUM,Yum! Brands Inc,20150501,Third Point takes stakes in Yum!  Devon-letter ,BOSTON  May 1 Hedge fund Third Point on Friday told investors that it has taken new positions in fast-food restaurant company Yum! Brands and Devon Energy and thinks U.S. stocks are still attractive because economic data should improve and a near term rate hike seems unlikely.,normal
EVBN,Evans Bancorp Inc,20150501,BRIEF-ECI Partners and Active agrees terms for the sale of Evans Cycles ,* And ECI Partners have agreed terms for the sale of Evans Cycles  the UK's largest specialist cycling retailer,topStory
