SHLM,A Schulman Inc,20150925,BRIEF-Pharmacy Chain 36.6 completes merger with A.v.e through additional share issue ,* Says completed merger with A.v.e. under additional share issue placed in open subscription,topStory
NVO,Novo Nordisk A/S,20150925,Novo Nordisk successfully completes diabetes drug phase 3a trial ,COPENHAGEN  Sept 25 Danish pharmaceutical company Novo Nordisk has successfully completed the second phase 3a trial with its diabetes drug semaglutide  it said on Friday.,normal
OA,Orbital ATK Inc,20150925,Aerojet to pay Orbital $50 million over Antares rocket accident ,CAPE CANAVERAL  Fla Aerojet Rocketdyne Holdings Inc  will pay Orbital ATK  $50 million to settle a dispute stemming from an Antares rocket launch accident last year that destroyed a load of cargo bound for the International Space Station  Aerojet said on Thursday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150925,Bill Gates foundation trust sues Brazil's Petrobras over share losses ,NEW YORK The Bill & Melinda Gates Foundation Trust has sued Brazil's Petrobras   to recoup stock losses stemming from a corruption scandal at the state-run oil company.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150925,UPDATE 1-Bill Gates foundation trust sues Brazil's Petrobras over share losses ,NEW YORK  Sept 25 The Bill & Melinda Gates Foundation Trust has sued Brazil's Petrobras   to recoup stock losses stemming from a corruption scandal at the state-run oil company.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150925,Bill Gates foundation trust sues Brazil's Petrobras ,NEW YORK The Bill & Melinda Gates Foundation Trust has sued Brazil's Petrobras  to recoup stock losses stemming from a corruption scandal at the state-run oil company.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150925,CORRECTED-Bill Gates foundation trust sues Brazil's Petrobras ,NEW YORK  Sept 25 The Bill & Melinda Gates Foundation Trust has sued Brazil's Petrobras   to recoup stock losses stemming from a corruption scandal at the state-run oil company.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150925,LATAM WRAP-Argentina's Neuquen struggles to complete bond sale ,NEW YORK  Sept 25 (IFR) - Argentina's Province of Neuquen struggled to complete its bond sale on Friday after a roller coaster week for Latin American assets.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150925,RioPrevidencia bonds collapse on acceleration concerns ,NEW YORK  Sept 25 (IFR) - Bonds of RioPrevidencia  the state of Rio de Janeiro's public pension funds  were collapsing on Friday following reports that it had breached covenants on its dollar bonds.,normal
SLB,Schlumberger NV,20150925,BRIEF-Highlands Natural Resources signs indicative terms over Schlumberger deals ,* Indicative terms for a licence agreement with Schlumberger in respect to DT Ultravert,topStory
STT,State Street Corporation,20150925,As Russian oil profits hold up  Goldman says "buy"; taxman says "tax" ,* Graphic of Russian valuations: http://link.reuters.com/xyh55w,normal
STO,Statoil ASA,20150925,UPDATE 1-Statoil cuts cost of Norway's J.Sverdrup oilfield -partner ,* Project is one of Norway's largest industrial projects   (Adds detail  background),topStory
STE,STERIS plc,20150925,BRIEF-Synergy says Steris deal to proceed as FTC stop request denied ,* Steris corporation to proceed with combination with synergy health,topStory
SYY,Sysco Corporation,20150925,U.S. companies quicker to give board seats to activists ,NEW YORK Early in August  a call came into Sysco Corp  from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,topStory
SYY,Sysco Corporation,20150925,US companies quicker to give board seats to activists ,NEW YORK Early in August  a call came into Sysco Corp from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,normal
SYY,Sysco Corporation,20150925,RPT - INSIGHT-US companies quicker to give board seats to activists ,NEW YORK  Sept 25 Early in August  a call came into Sysco Corp from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,normal
SYY,Sysco Corporation,20150925,INSIGHT-US companies quicker to give board seats to activists ,NEW YORK  Sept 25 Early in August  a call came into Sysco Corp from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150925,BRIEF-Taiwan's TSMC orders equipment from Sumitomo  Hitachi  Lam Research ,Sept 25 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TI,Telecom Italia SPA,20150925,Telecom Italia paves way for sale of Inwit ,MILAN Telecom Italia  on Friday opened the way for the sale of its listed phone masts group Inwit  but also said it was not planning to sell its Brazilian mobile network operator Tim Participacoes .,topStory
TI,Telecom Italia SPA,20150925,UPDATE 1-Telecom Italia paves way for sale of Inwit ,MILAN  Sept 25 Telecom Italia on Friday opened the way for the sale of its listed phone masts group Inwit but also said it was not planning to sell its Brazilian mobile network operator Tim Participacoes .,normal
TI,Telecom Italia SPA,20150925,Telecom Italia paves way for sale of Inwit ,MILAN  Sept 25 Telecom Italia's board has given a mandate to the CEO to explore options to extract value from its telecom tower group Inwit  the Italian phone company said on Friday  paving the way for the sale of the unit.,normal
TEN,Tenneco Inc,20150925,Caterpillar's global woes ripple out through supplier base ,CHICAGO  Sept 25 Caterpillar Inc's  suppliers were feeling the pain of slumping sales at the world's largest mining and construction equipment maker long before it announced an extensive cost-cutting program.,normal
TSU,TIM Participacoes SA,20150925,Telecom Italia paves way for sale of Inwit ,MILAN Telecom Italia  on Friday opened the way for the sale of its listed phone masts group Inwit  but also said it was not planning to sell its Brazilian mobile network operator Tim Participacoes .,topStory
TSU,TIM Participacoes SA,20150925,UPDATE 1-Telecom Italia paves way for sale of Inwit ,MILAN  Sept 25 Telecom Italia on Friday opened the way for the sale of its listed phone masts group Inwit but also said it was not planning to sell its Brazilian mobile network operator Tim Participacoes .,normal
UVV,Universal Corporation,20150925,Havas's BETC  Universal team up on new record label ,PARIS The ad agency that used tunes by Britain's Chemical Brothers electronic dance band as the soundtrack for Air France commercials is teaming up with music giant Universal to create a joint new label  POP records.,topStory
UVV,Universal Corporation,20150925,Havas's BETC  Universal team up on new record label ,PARIS  Sept 25 The ad agency that used tunes by Britain's Chemical Brothers electronic dance band as the soundtrack for Air France commercials is teaming up with music giant Universal to create a joint new label  POP records.,normal
LNG,Cheniere Energy Inc,20150925,US companies quicker to give board seats to activists ,NEW YORK Early in August  a call came into Sysco Corp from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,normal
LNG,Cheniere Energy Inc,20150925,RPT - INSIGHT-US companies quicker to give board seats to activists ,NEW YORK  Sept 25 Early in August  a call came into Sysco Corp from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,normal
LNG,Cheniere Energy Inc,20150925,INSIGHT-US companies quicker to give board seats to activists ,NEW YORK  Sept 25 Early in August  a call came into Sysco Corp from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,normal
