ABMD,ABIOMED Inc,20150210,Abiomed beats fraud lawsuit as court encourages regulatory dealings ,A federal appeals court has thrown out a lawsuit accusing Abiomed Inc of deceiving shareholders about how it marketed its flagship heart pump  and said companies should be encouraged to deal with regulators without having to fear that such dealings could lead to securities fraud claims.,topStory
GM,General Motors Company,20150210,UPDATE 4-GM investor seeks board seat  $8 billion stock buyback ,DETROIT  Feb 10 Chief Executive Mary Barra's plan to keep a big cash cushion for General Motors Co is under attack from a group of shareholders led by a member of the auto task force that helped restructure the company during its 2009 bankruptcy.,normal
GM,General Motors Company,20150210,BRIEF-Appaloosa to file proxy statement for GM annual meeting about proposal for $8 bln stock buyback ,DETROIT  Feb 10 General Motors Co :  * Appaloosa Management says supports Harry Wilson's proposals to join General,normal
GM,General Motors Company,20150210,BRIEF-GM investor WIlson says automaker has at least $10 bln of excess cash ,DETROIT  Feb 10 General Motors Co :  * Investor Wilson says GM has has 'at least $10 billion if not more' of excess,normal
GM,General Motors Company,20150210,Venezuela announces new currency system  large devaluation seen ,CARACAS Venezuela on Tuesday launched a new foreign exchange platform that will likely devalue the bolivar heavily in efforts to bolster state coffers amid tumbling oil revenue  but risk a spike in already soaring inflation.,normal
GM,General Motors Company,20150210,CORRECTED-UPDATE 2-GM investor seeks board seat  $8 bln stock buyback ,DETROIT  Feb 10 Chief Executive Mary Barra's plan to keep a big cash cushion for General Motors Co is under attack from a group of shareholders led by a member of the auto task force that helped restructure the company during its 2009 bankruptcy.,normal
GM,General Motors Company,20150210,Venezuela to announce new forex system; devaluation expected ,CARACAS  Feb 10 Venezuela on Tuesday will unveil a new foreign exchange system that is likely to ease the country's three-tiered currency controls but would also mean a hefty devaluation of the bolivar currency.,normal
GM,General Motors Company,20150210,Auto task force member wants to join GM board  push for stock buyback ,DETROIT  Feb 10 General Motors Co said on Tuesday a former member of the U.S. auto task force that helped restructure the company in 2009 during its bankruptcy wants to join the board of directors and  have the automaker commit to a $8 billion share buyback program.,normal
GM,General Motors Company,20150210,Exclusive: GM's Barra faces roadblocks in rebuilding Cadillac brand ,DETROIT General Motors Co Chief Executive Mary Barra's strategy of rebuilding the Cadillac brand has run into twin roadblocks: the carmaker can't persuade enough American sedan buyers to switch from foreign competitors such as BMW or Mercedes  and it can't make enough of its Escalade SUVs to satisfy domestic demand.,normal
GNW,Genworth Financial Inc,20150210,Genworth Financial loss exceeds estimates ,Genworth Financial Inc  reported a quarterly loss much bigger than market estimates as it took an after-tax charge of $478 million related to long-term care (LTC) active life blocks it bought before 1996.,topStory
GNW,Genworth Financial Inc,20150210,UPDATE 1-Genworth Financial loss exceeds estimates ,Feb 9 Genworth Financial Inc reported a quarterly loss much bigger than market estimates as it took an after-tax charge of $478 million related to long-term care (LTC) active life blocks it bought before 1996.,normal
GNW,Genworth Financial Inc,20150210,Genworth Financial posts quarterly loss ,Feb 9 Life and mortgage insurer Genworth Financial Inc reported a quarterly loss as it took an after-tax charge of $478 million related to long-term care life insurance blocks it bought before 1996.,normal
GS,Goldman Sachs Group Inc (The),20150210,Goldman ex-programmer files new lawsuit to recoup legal fees ,A former Goldman Sachs Group Inc computer programmer on Tuesday sued to force the Wall Street bank to advance his legal fees to defend against its civil claims that he stole secret code from its computers.,topStory
GS,Goldman Sachs Group Inc (The),20150210,Goldman ex-programmer files new lawsuit to recoup legal fees ,A former Goldman Sachs Group Inc computer programmer on Tuesday sued to force the Wall Street bank to advance his legal fees to defend against its civil claims that he stole secret code from its computers.,normal
GS,Goldman Sachs Group Inc (The),20150210,Goldman ex-programmer files new lawsuit to recoup legal fees ,Feb 10 A former Goldman Sachs Group Inc  computer programmer on Tuesday sued to force the Wall Street bank to advance his legal fees to defend against its civil claims that he stole secret code from its computers.,normal
GS,Goldman Sachs Group Inc (The),20150210,UPDATE 2-Goldman is jack-of-all-trades  not master of one - CEO ,NEW YORK  Feb 10 Goldman Sachs Group Inc  is trying to convince investors that its business model does not need to change.,normal
GS,Goldman Sachs Group Inc (The),20150210,Goldman Sachs CEO sees uptick in trading activity ,NEW YORK Goldman Sachs Group Inc is seeing an uptick in trading activity as global political and economic events have led clients to shift their portfolios  Chief Executive Officer Lloyd Blankfein said on Tuesday.,normal
GS,Goldman Sachs Group Inc (The),20150210,Goldman Sachs CEO sees uptick in trading activity ,NEW YORK  Feb 10 Goldman Sachs Group Inc  is seeing an uptick in trading activity as global political and economic events have led clients to shift their portfolios  Chief Executive Officer Lloyd Blankfein said on Tuesday.,normal
HAL,Halliburton Company,20150210,U.S. antitrust regulators seek more detail on Halliburton deal ,U.S. antitrust regulators have asked Halliburton Co and Baker Hughes Inc for more information related to the oilfield services companies' proposed $35 billion merger  the companies said on Tuesday.,topStory
HAL,Halliburton Company,20150210,U.S. antitrust regulators seek more detail on Halliburton deal ,Feb 10 U.S. antitrust regulators have asked Halliburton Co and Baker Hughes Inc for more information related to the oilfield services companies' proposed $35 billion merger  the companies said on Tuesday.,normal
HAL,Halliburton Company,20150210,Halliburton to cut thousands of jobs as oil slumps ,NEW YORK U.S. oil services company Halliburton  said on Tuesday it expects to cut potentially more than 6 000 jobs across the globe because of a "challenging market environment" resulting from low oil prices.,normal
HAL,Halliburton Company,20150210,REFILE-UPDATE 1-Halliburton to cut thousands of jobs as oil slumps ,NEW YORK  Feb 10 U.S. oil services company Halliburton said on Tuesday it expects to cut potentially more than 6 000 jobs across the globe because of a "challenging market environment" resulting from low oil prices.,normal
HAL,Halliburton Company,20150210,Halliburton expects to cut up to 8 percent of jobs as oil slumps ,NEW YORK  Feb 10 U.S. oil services giant Halliburton said it expects to cut between 6.5 percent to 8 percent of its global workforce due to the "challenging market environment" caused by low oil prices.,normal
HSBC,HSBC Holdings plc,20150210,HSBC could face U.S. legal action over Swiss accounts ,LONDON/ZURICH/WASHINGTON HSBC Holdings Plc  faces investigation by U.S. authorities and an inquiry by British lawmakers after admitting failings by its Swiss private bank that may have allowed some customers to dodge taxes. | Video ,topStory
HSBC,HSBC Holdings plc,20150210,HSBC condemns past practices as pressure grows over Swiss accounts ,LONDON The head of HSBC's  private bank has told staff past practices that may have allowed some clients to dodge taxes are unacceptable  with the company facing pressure on both sides of the Atlantic over its conduct.,normal
HSBC,HSBC Holdings plc,20150210,UPDATE 1-HSBC condemns past practices as pressure grows over Swiss accounts ,* Issue seen eating up HSBC management time   (Adds comments from UK lawmaker  Falciani  analyst),normal
HSBC,HSBC Holdings plc,20150210,Media leaks on HSBC accounts 'tip of iceberg': whistleblower Falciani ,PARIS Media leaks on HSBC  accounts held in Switzerland "are only the tip of the iceberg " Herve Falciani  the former HSBC  employee who supplied information on the bank's clients and their tax situation  told French daily Le Parisien.,normal
HSBC,HSBC Holdings plc,20150210,UK ministers unaware of possible HSBC wrongdoing until 'last couple of days' ,LONDON British government ministers were unaware that HSBC may have been involved in wrongdoing in its Swiss banking arm until the "last couple of days"  a spokeswoman for Prime Minister David Cameron said on Tuesday.,normal
HSBC,HSBC Holdings plc,20150210,UK ministers unaware of possible HSBC wrongdoing until 'last couple of days' ,LONDON  Feb 10 British government ministers were unaware that HSBC may have been involved in wrongdoing in its Swiss banking arm until the "last couple of days"  a spokeswoman for Prime Minister David Cameron said on Tuesday.,normal
HSBC,HSBC Holdings plc,20150210,HSBC could face U.S. legal action over Swiss accounts ,LONDON/ZURICH/WASHINGTON HSBC Holdings Plc  faces investigation by U.S. authorities and an inquiry by British lawmakers after admitting failings by its Swiss private bank that may have allowed some customers to dodge taxes.,normal
HSBC,HSBC Holdings plc,20150210,HSBC private banking CEO says no place for past practices -memo ,LONDON  Feb 10 The head of HSBC's  private bank has told staff past practices  which may have allowed some clients to dodge taxes  are unacceptable and the bank has no appetite to deal with such customers.,normal
HSBC,HSBC Holdings plc,20150210,UPDATE 4-HSBC could face U.S. legal action over Swiss accounts ,* U.S. could revisit 2012 agreement -law enforcement official,normal
HSEA,HSBC Holdings plc,20150210,HSBC could face U.S. legal action over Swiss accounts ,LONDON/ZURICH/WASHINGTON HSBC Holdings Plc  faces investigation by U.S. authorities and an inquiry by British lawmakers after admitting failings by its Swiss private bank that may have allowed some customers to dodge taxes. | Video ,topStory
HSEA,HSBC Holdings plc,20150210,HSBC condemns past practices as pressure grows over Swiss accounts ,LONDON The head of HSBC's  private bank has told staff past practices that may have allowed some clients to dodge taxes are unacceptable  with the company facing pressure on both sides of the Atlantic over its conduct.,normal
HSEA,HSBC Holdings plc,20150210,UPDATE 1-HSBC condemns past practices as pressure grows over Swiss accounts ,* Issue seen eating up HSBC management time   (Adds comments from UK lawmaker  Falciani  analyst),normal
HSEA,HSBC Holdings plc,20150210,Media leaks on HSBC accounts 'tip of iceberg': whistleblower Falciani ,PARIS Media leaks on HSBC  accounts held in Switzerland "are only the tip of the iceberg " Herve Falciani  the former HSBC  employee who supplied information on the bank's clients and their tax situation  told French daily Le Parisien.,normal
HSEA,HSBC Holdings plc,20150210,UK ministers unaware of possible HSBC wrongdoing until 'last couple of days' ,LONDON British government ministers were unaware that HSBC may have been involved in wrongdoing in its Swiss banking arm until the "last couple of days"  a spokeswoman for Prime Minister David Cameron said on Tuesday.,normal
HSEA,HSBC Holdings plc,20150210,UK ministers unaware of possible HSBC wrongdoing until 'last couple of days' ,LONDON  Feb 10 British government ministers were unaware that HSBC may have been involved in wrongdoing in its Swiss banking arm until the "last couple of days"  a spokeswoman for Prime Minister David Cameron said on Tuesday.,normal
HSEA,HSBC Holdings plc,20150210,HSBC could face U.S. legal action over Swiss accounts ,LONDON/ZURICH/WASHINGTON HSBC Holdings Plc  faces investigation by U.S. authorities and an inquiry by British lawmakers after admitting failings by its Swiss private bank that may have allowed some customers to dodge taxes.,normal
HSEA,HSBC Holdings plc,20150210,HSBC private banking CEO says no place for past practices -memo ,LONDON  Feb 10 The head of HSBC's  private bank has told staff past practices  which may have allowed some clients to dodge taxes  are unacceptable and the bank has no appetite to deal with such customers.,normal
HSEA,HSBC Holdings plc,20150210,UPDATE 4-HSBC could face U.S. legal action over Swiss accounts ,* U.S. could revisit 2012 agreement -law enforcement official,normal
HSEB,HSBC Holdings plc,20150210,HSBC could face U.S. legal action over Swiss accounts ,LONDON/ZURICH/WASHINGTON HSBC Holdings Plc  faces investigation by U.S. authorities and an inquiry by British lawmakers after admitting failings by its Swiss private bank that may have allowed some customers to dodge taxes. | Video ,topStory
HSEB,HSBC Holdings plc,20150210,HSBC condemns past practices as pressure grows over Swiss accounts ,LONDON The head of HSBC's  private bank has told staff past practices that may have allowed some clients to dodge taxes are unacceptable  with the company facing pressure on both sides of the Atlantic over its conduct.,normal
HSEB,HSBC Holdings plc,20150210,UPDATE 1-HSBC condemns past practices as pressure grows over Swiss accounts ,* Issue seen eating up HSBC management time   (Adds comments from UK lawmaker  Falciani  analyst),normal
HSEB,HSBC Holdings plc,20150210,Media leaks on HSBC accounts 'tip of iceberg': whistleblower Falciani ,PARIS Media leaks on HSBC  accounts held in Switzerland "are only the tip of the iceberg " Herve Falciani  the former HSBC  employee who supplied information on the bank's clients and their tax situation  told French daily Le Parisien.,normal
HSEB,HSBC Holdings plc,20150210,UK ministers unaware of possible HSBC wrongdoing until 'last couple of days' ,LONDON British government ministers were unaware that HSBC may have been involved in wrongdoing in its Swiss banking arm until the "last couple of days"  a spokeswoman for Prime Minister David Cameron said on Tuesday.,normal
HSEB,HSBC Holdings plc,20150210,UK ministers unaware of possible HSBC wrongdoing until 'last couple of days' ,LONDON  Feb 10 British government ministers were unaware that HSBC may have been involved in wrongdoing in its Swiss banking arm until the "last couple of days"  a spokeswoman for Prime Minister David Cameron said on Tuesday.,normal
HSEB,HSBC Holdings plc,20150210,HSBC could face U.S. legal action over Swiss accounts ,LONDON/ZURICH/WASHINGTON HSBC Holdings Plc  faces investigation by U.S. authorities and an inquiry by British lawmakers after admitting failings by its Swiss private bank that may have allowed some customers to dodge taxes.,normal
HSEB,HSBC Holdings plc,20150210,HSBC private banking CEO says no place for past practices -memo ,LONDON  Feb 10 The head of HSBC's  private bank has told staff past practices  which may have allowed some clients to dodge taxes  are unacceptable and the bank has no appetite to deal with such customers.,normal
HSEB,HSBC Holdings plc,20150210,UPDATE 4-HSBC could face U.S. legal action over Swiss accounts ,* U.S. could revisit 2012 agreement -law enforcement official,normal
KGC,Kinross Gold Corporation,20150210,Kinross decides not to expand Tasiast gold mine in Africa ,Kinross Gold Corp  will not go ahead with a $1.6 billion expansion of its Tasiast mine in Africa's northwest because of the weak gold price  the Toronto-based miner said on Tuesday  as it also reported an unexpected fourth-quarter loss.,topStory
KGC,Kinross Gold Corporation,20150210,UPDATE 2-Kinross decides not to expand Tasiast gold mine in Africa ,Feb 10 Kinross Gold Corp will not go ahead with a $1.6 billion expansion of its Tasiast mine in Africa's northwest because of the weak gold price  the Toronto-based miner said on Tuesday  as it also reported an unexpected fourth-quarter loss.,normal
KGC,Kinross Gold Corporation,20150210,BRIEF-Kinross Gold reports Q4 adjusted loss per share $0.01 ,* Q4 revenue $791.3 million versus $877.1 million last year; Q4 adjusted loss per share $0.01; Q4 loss per share $1.26,normal
KGC,Kinross Gold Corporation,20150210,Kinross Gold loss widens  won't proceed with Tasiast expansion for now ,Feb 10 Kinross Gold Corp reported a wider fourth-quarter loss on Tuesday as it took an impairment charge of more than $900 million against goodwill  property  plant and equipment.,normal
KKR,KKR & Co LP,20150210,KKR profit misses expectations due to energy exposure ,KKR & Co LP  on Tuesday reported an 89 percent drop in fourth-quarter profit  much steeper than expected  becoming the latest alternative asset manager to report lower earnings because of plunging oil prices.,topStory
KKR,KKR & Co LP,20150210,UPDATE 1-KKR profit misses expectations due to energy exposure ,Feb 10 KKR & Co LP on Tuesday reported an 89 percent drop in fourth-quarter profit  much steeper than expected  becoming the latest alternative asset manager to report lower earnings because of plunging oil prices.,normal
KKR,KKR & Co LP,20150210,KKR misses fourth-quarter profit expectations on energy exposure ,Feb 10 KKR & Co LP reported a much higher-than-expected 89 percent year-on-year drop in fourth-quarter profit on Tuesday  making it the latest alternative asset manager to report lower earnings as a result of the plunge in oil prices.,normal
LAZ,Lazard Ltd,20150210,Pigasse  head of Lazard Paris  says troika 'all wrong' on Greece ,PARIS Matthieu Pigasse  head of investment bank Lazard in Paris which is advising the Greek government on its debt restructuring  said on Tuesday the troika imposing austerity on Greece was totally mistaken and had driven the country's economy into a wall.,topStory
LAZ,Lazard Ltd,20150210,CORRECTED-Pigasse  head of Lazard Paris  says troika "all wrong" on Greece ,PARIS  Feb 10 Matthieu Pigasse  head of investment bank Lazard in Paris which is advising the Greek government on its debt restructuring  said on Tuesday the troika imposing austerity on Greece was totally mistaken and had driven the country's economy into a wall.,normal
LUK,Leucadia National Corporation,20150210,US court allows 'sewer service' debt collection class action ,NEW YORK  Feb 10 A divided federal appeals court in New York allowed more than 100 000 potential plaintiffs to pursue class action litigation accusing Leucadia National Corp  and a law firm of fraudulently cutting corners to win default judgments in debt collection cases.,topStory
LYG,Lloyds Banking Group Plc,20150210,Lloyds CEO calls for greater banking choice for small businesses ,LONDON  Feb 10 The head of Lloyds Banking Group  has called for greater competition in providing banking services to small firms  including making it easier to switch accounts.,topStory
LMT,Lockheed Martin Corporation,20150210,BAE Systems  TAE to handle F-35 maintenance in Australia ,WASHINGTON/SYDNEY Australia has picked Britain's BAE Systems to carry out heavy maintenance of Lockheed Martin Corp's F-35 fighter jet in Australia from 2018 and Tasman Aviation Enterprises (TAE) to service its engines  its defense minister said on Tuesday.,topStory
LMT,Lockheed Martin Corporation,20150210,UPDATE 2-BAE Systems  TAE to handle F-35 maintenance in Australia ,WASHINGTON/SYDNEY  Feb 10 Australia has picked Britain's BAE Systems to carry out heavy maintenance of Lockheed Martin Corp's F-35 fighter jet in Australia from 2018 and Tasman Aviation Enterprises (TAE) to service its engines  its defence minister said on Tuesday.,normal
LMT,Lockheed Martin Corporation,20150210,BAE Systems  TAE to handle F-35 maintenance in Australia ,WASHINGTON  Feb 9 Australia has picked Britain's BAE Systems to carry out heavy maintenance of Lockheed Martin Corp's F-35 fighter jet in Australia from 2018 and Tasman Aviation Enterprises (TAE) to service its engines  sources familiar with the decision said on Monday.,normal
MCD,McDonald&#39;s Corporation,20150210,McDonald's India cuts salt  calories in burgers and fries ,MUMBAI McDonald's Corp is cutting the amount of calories and salt on its Indian menu as it fights to hold on to customers in a rapidly growing developing market where newer  healthier fast-food options are just starting to catch on.,topStory
MCD,McDonald&#39;s Corporation,20150210,CORRECTED-McDonald's India cuts salt  calories in burgers and fries ,MUMBAI  Feb 10 McDonald's Corp is cutting the amount of calories and salt on its Indian menu as it fights to hold on to customers in a rapidly growing developing market where newer  healthier fast-food options are just starting to catch on.,normal
TAP,Molson Coors Brewing  Company,20150210,Molson Coors profit misses estimates as beer sales fall ,Molson Coors Brewing Co  reported a lower-than-expected quarterly profit as beer sales fell and marketing expenses rose  and said a strong dollar was likely to hurt profit in 2015.,topStory
TAP,Molson Coors Brewing  Company,20150210,UPDATE 2-Molson Coors profit misses estimates as beer sales fall ,Feb 10 Molson Coors Brewing Co reported a lower-than-expected quarterly profit as beer sales fell and marketing expenses rose  and said a strong dollar was likely to hurt profit in 2015.,normal
TAP,Molson Coors Brewing  Company,20150210,MillerCoors profit falls 10 pct; CEO to retire ,Feb 10 MillerCoors LLC  the U.S. operations of Molson Coors Brewing Co and SABMiller Plc  reported a 10 percent fall in quarterly net profit  and said Chief Executive Tom Long will retire on June 30.,normal
MS,Morgan Stanley,20150210,Pimco hires former Morgan Stanley chief economist Joachim Fels ,NEW YORK Pimco said on Tuesday that it has hired Joachim Fels  formerly managing director and chief economist at Morgan Stanley  as the world's biggest bond manager continues to bolster its ranks after a leadership shake-up over the last year.,topStory
MS,Morgan Stanley,20150210,Pimco hires former Morgan Stanley chief economist Joachim Fels ,NEW YORK Pimco said on Tuesday that it has hired Joachim Fels  formerly managing director and chief economist at Morgan Stanley  as the world's biggest bond manager continues to bolster its ranks after a leadership shake-up over the last year.,normal
MS,Morgan Stanley,20150210,Pimco hires former Morgan Stanley chief economist Joachim Fels ,NEW YORK  Feb 10 Pimco said on Tuesday that it has hired Joachim Fels  formerly managing director and chief economist at Morgan Stanley  as the world's biggest bond manager continues to bolster its ranks after a leadership shake-up over the last year.,normal
MS,Morgan Stanley,20150210,ON THE MOVE-Merrill Lynch hires adviser from Morgan Stanley ,Feb 10 Bank of America Corp's Merrill Lynch  unit said on Tuesday it hired financial adviser Haris Hot from Morgan Stanley for its Red Bank  New Jersey office.,normal
NYT,New York Times Company (The),20150210,UPDATE 1-Patent licenser Helferich wins court round against New York Times  others ,WASHINGTON  Feb 10 The New York Times Co   J.C. Penney Corp and CBS Corp lost a round on Tuesday in a patent fight with Helferich Patent Licensing LLC  which had accused them of infringing on patents for looking at websites on mobile telephones.,topStory
NEM,Newmont Mining Corporation,20150210,Indonesia sees Newmont concentrate output up 25 pct in 2015 ,JAKARTA  Feb 10 Indonesia expects U.S. miner Newmont Mining Corp to produce 25 percent more copper and gold concentrate in 2015  a mining ministry official said  after a nine-month export stoppage hit Newmont's production in 2014.,topStory
NMR,Nomura Holdings Inc ADR,20150210,MOVES-Nomura appoints head of ASEAN banks research - memo ,Feb 10 Nomura Holdings Inc  Japan's largest investment bank and brokerage  has named Jaj Singh as head of research on ASEAN banks  according to an internal memo seen by Reuters on Tuesday.,topStory
OXY,Occidental Petroleum Corporation,20150210,UAE's ADNOC sign $500 mln technical agreement with Oxy ,DUBAI  Feb 10 State-run Abu Dhabi National Oil Company (ADNOC) has signed a technical agreement with U.S.-based Occidental Petroleum to develop the al-Hail and Ghasha oilfields  ADNOC said in a statement on Tuesday.,topStory
OMC,Omnicom Group Inc,20150210,Omnicom says strong dollar to hit revenue in 2015 ,Omnicom Group Inc   the No. 1 U.S. advertising company  warned that a strong dollar would hit revenue this year and issued a cautious forecast for organic growth.,topStory
OMC,Omnicom Group Inc,20150210,UPDATE 2-Omnicom says strong dollar to hit revenue in 2015 ,Feb 10 Omnicom Group Inc  the No. 1 U.S. advertising company  warned that a strong dollar would hit revenue this year and issued a cautious forecast for organic growth.,normal
OMC,Omnicom Group Inc,20150210,Omnicom revenue rises due to higher U.S. ad spending ,Feb 10 Omnicom Group Inc  the No. 1 U.S. advertising company  reported a 3.4 percent rise in quarterly revenue  helped by higher ad spending by businesses in North America.,normal
PEP,Pepsico Inc,20150210,Coke's price increase encourages beverage company shareholders ,NEW YORK Coca-Cola Co  raised the overall prices it charges its retail customers in North America 4 percent in the latest quarter  the company said on Tuesday  a signal to industry watchers that soft-drink rival PepsiCo  probably raised prices too.,topStory
PEP,Pepsico Inc,20150210,Coke's price increase encourages beverage company shareholders ,NEW YORK  Feb 10 Coca-Cola Co raised the overall prices it charges its retail customers in North America 4 percent in the latest quarter  the company said on Tuesday  a signal to industry watchers that soft-drink rival PepsiCo  probably raised prices too.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150210,Petrobras CEO Bendine says has 'full autonomy' to run ailing company ,SAO PAULO/BRASILIA The incoming chief executive officer of state-run oil firm Petroleo Brasileiro SA  Aldemir Bendine  said on Tuesday that the company's board gave him full autonomy to dictate its own pricing policy and protect cash.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150210,Petrobras CEO Bendine says has 'full autonomy' to run ailing company ,SAO PAULO/BRASILIA  Feb 10 The incoming chief executive officer of state-run oil firm Petroleo Brasileiro SA  Aldemir Bendine  said on Tuesday that the company's board gave him full autonomy to dictate its own pricing policy and protect cash.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150210,Petrobras says first Libra sub-salt oil well tests 'excellent' ,BRASILIA  Feb 10 Petroleo Brasileiro SA  and its consortium partners have concluded drilling and testing of the first well in the Libra prospect  the largest offshore oil discovery in Brazil's history  the state-run company said on Tuesday in a securities filing.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150210,CORRECTED-UPDATE 1-Petrobras still faces default risk despite release  fund says ,RIO DE JANEIRO  Jan 28 Brazilian state-run oil company Petrobras still runs the risk of being declared in default on billions of dollars of debt even after releasing its delayed third-quarter earnings before a self-imposed deadline  a New York-based hedge fund said on Wednesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150210,CORRECTED-Petrobras still faces default risk despite release  fund says ,RIO DE JANEIRO  Jan 28 Brazilian state-run oil company Petrobras still runs the risk of being declared in default on billions of dollars of debt even after releasing its delayed third-quarter earnings before a self-imposed deadline  a New York-based hedge fund said on Wednesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150210,Brazil's Rousseff under pressure but impeachment seen unlikely ,BRASILIA For the first time since a corruption scandal erupted at Brazil's state-run oil company Petrobras last year  senior opposition politicians are publicly floating the possibility of impeaching President Dilma Rousseff.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150210,Brazil's Rousseff under pressure but impeachment seen unlikely ,BRASILIA  Feb 10 For the first time since a corruption scandal erupted at Brazil's state-run oil company Petrobras last year  senior opposition politicians are publicly floating the possibility of impeaching President Dilma Rousseff.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150210,Petrobras closes REDUC gasoline  LPG cracker for repairs -union ,RIO DE JANEIRO  Feb 10 Brazil's state run oil company Petrobras closed a major gasoline and liquefied petroleum gas cracking unit on Tuesday at its REDUC refinery outside Rio de Janeiro for emergency repairs  the union representing workers at the plant told Reuters.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150210,New Petrobras CEO must walk political  accounting mine field ,RIO DE JANEIRO By picking a banker instead of an oil executive to run Petrobras  Brazilian President Dilma Rousseff appears to have recognized that the state-run company's biggest priority is to clean up its books and acknowledge how many billions of dollars it lost to a corruption scheme in recent years.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150210,PRESS DIGEST- Financial Times - Feb 10 ,Feb 10 The following are the top stories in the Financial Times. Reuters has not verified these stories and does not vouch for their accuracy.,normal
PFE,Pfizer Inc,20150210,REFILE-US STOCKS-Wall St rises on Greek deal hopes even as energy drops ,NEW YORK  Feb 10 U.S. stocks rose on Tuesday on hopes that Greek debt negotiations could result in a deal that stabilizes Europe although a drop in oil prices limited the advance.,topStory
PG,Procter & Gamble Company (The),20150210,UPDATE 3-Venezuela announces new currency system  large devaluation seen ,CARACAS  Feb 10 Venezuela on Tuesday launched a new foreign exchange platform that will likely devalue the bolivar heavily in efforts to bolster state coffers amid tumbling oil revenue  but risk a spike in already soaring inflation.,normal
PG,Procter & Gamble Company (The),20150210,Venezuela to announce new forex system; devaluation expected ,CARACAS  Feb 10 Venezuela on Tuesday will unveil a new foreign exchange system that is likely to ease the country's three-tiered currency controls but would also mean a hefty devaluation of the bolivar currency.,normal
RIO,Rio Tinto Plc,20150210,Rio Tinto to defy mining pain with big payout while rivals suffer ,MELBOURNE/LONDON Rio Tinto is expected to star among the top five global miners with a return of billions of dollars to shareholders at its annual results  even as the firm is set to report its worst half-year profit since 2009.,topStory
SBGL,Sibanye Gold Limited,20150210,UPDATE 1-S.Africa's Sibanye's Beatrix mine reopens after unions clash ,JOHANNESBURG  Feb 10 Operations at Sibanye Gold's Beatrix mine resumed on Monday night after a turf war between opposing unions forced the mine to close for two days  the company said on Tuesday.,topStory
SBGL,Sibanye Gold Limited,20150210,S.Africa's Sibanye's Beatrix mine reopens after unions clash ,JOHANNESBURG  Feb 10 Operations at Sibanye Gold's Beatrix mine resumed on Monday night after a turf war between opposing unions forced the mine to close for two days  the company said on Tuesday.,normal
S,Sprint Corporation,20150210,Japan's SoftBank third quarter profit slips 5.9 percent  dragged down by Sprint costs ,TOKYO Japan's SoftBank Corp said third-quarter operating profit slid nearly 6 percent  missing estimates  as the ambitious mobile telecom firm continues to soak up the cost of trying to turn around loss-making U.S. unit Sprint Corp.,topStory
S,Sprint Corporation,20150210,UPDATE 2-Japan's SoftBank Q3 profit slips 5.9 pct  dragged down by Sprint costs ,* CEO repeats Sprint still faces 'long  tough battle'   (Adds details on Sprint strategy  earnings),normal
S,Sprint Corporation,20150210,BRIEF-SoftBank CEO says in general doing well but Sprint has long battle ,* Says SoftBank in general doing well but Sprint has a long battle to fight   Further company coverage:     (Reporting by Teppei Kasai),normal
S,Sprint Corporation,20150210,Japan's SoftBank Q3 operating profit slips 5.9 pct as Sprint costs weigh ,TOKYO  Feb 10 Japan's SoftBank Corp  said on Tuesday its third-quarter operating profit slipped 5.9 percent  missing estimates  as the ambitious mobile telecom firm continues to soak up costs in its drive to turn around loss-making U.S. unit Sprint Corp.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150210,BRIEF-TSMC orders machinery equipment worth T$698 million ,* Says orders machinery equipment worth T$698 million ($22.16 million) from United Integrated Services Co Ltd,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150210,Taiwan's TSMC says January sales up 69.4 pct on year ,TAIPEI  Feb 10 TSMC  the world's biggest contract chip maker  posted a 69.4 percent rise in January sales from a year earlier.,normal
BX,The Blackstone Group LP,20150210,Blackstone-owned PGI Specialty Materials files for IPO ,Blackstone Group LP's  PGI Specialty Materials Inc  which makes materials that are used in products ranging from diapers to disinfectant wipes  filed with U.S. regulators for an initial public offering of common stock.,topStory
BX,The Blackstone Group LP,20150210,UPDATE 1-Blackstone-owned PGI Specialty Materials files for IPO ,Feb 10 Blackstone Group LP's PGI Specialty Materials Inc  which makes materials that are used in products ranging from diapers to disinfectant wipes  filed with U.S. regulators for an initial public offering of common stock.,normal
BX,The Blackstone Group LP,20150210,Blackstone-owned PGI Specialty Materials files for IPO ,Feb 10 PGI Specialty Materials Inc  owned by Blackstone Group LP  filed with U.S. regulators for an initial public offering of common stock.,normal
