ATVI,Activision Blizzard Inc,20150521,Judge OKs Activision $275 million shareholder settlement  $72 million for lawyers ,WILMINGTON  Del. A Delaware judge on Wednesday approved a $275 million shareholder settlement involving videogame maker Activision Blizzard Inc and awarded the small law firms that brought the case a $72.5 million fee.,topStory
GS,Goldman Sachs Group Inc (The),20150521,CORRECTED-RPT-Goldman Sachs asks shareholders to 'like' tech push in San Francisco ,SAN FRANCISCO  May 21 In Goldman Sachs Group Inc's latest move to bolster its street cred as a cool  tech-savvy bank  it is holding its annual shareholder meeting in San Francisco on Thursday.,normal
GS,Goldman Sachs Group Inc (The),20150521,CORRECTED-Goldman Sachs asks shareholders to 'like' tech push in San Francisco ,SAN FRANCISCO  May 21 In Goldman Sachs Group Inc's latest move to bolster its street cred as a cool  tech-savvy bank  it is holding its annual shareholder meeting in San Francisco on Thursday.,normal
GS,Goldman Sachs Group Inc (The),20150521,Cerberus launches selldown of up to $878 million in Japan's Seibu: IFR ,HONG KONG U.S. private equity firm Cerberus Capital Management LP on Thursday launched a selldown of up to $878 million in railway firm Seibu Holdings   IFR reported  citing a term sheet of the transaction.,normal
HAL,Halliburton Company,20150521,BP settles oil spill-related claims with Halliburton  Transocean ,BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,topStory
HAL,Halliburton Company,20150521,BP settles oil spill-related claims with Halliburton  Transocean ,BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,normal
HAL,Halliburton Company,20150521,UK Stocks-Factors to watch on May 21 ,LONDON  May 21 Britain's FTSE 100 futures contract edged down 0.1 percent on Thursday. For more on the factors affecting European stocks  please click on,normal
HAL,Halliburton Company,20150521,UK Stocks-Factors to watch on May 21 ,LONDON  May 21 Britain's FTSE 100 futures contract was flat on Thursday. For more on the factors affecting European stocks  please click on,normal
HAL,Halliburton Company,20150521,UK Stocks-Factors to watch on May 21 ,LONDON  May 21 Britain's FTSE 100 index is seen opening flat to 3 points lower on Thursday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
HAL,Halliburton Company,20150521,UPDATE 3-BP settles oil spill-related claims with Halliburton  Transocean ,May 20 BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,normal
HD,Home Depot Inc (The),20150521,Different responses to winter: Lowe's misses and Home Depot beats expectations ,CHICAGO Lowe's Companies Inc  failed to launch spring discounts during the coldest months this year  while rival Home Depot Inc  piled on marketing to storm-hit homeowners  and the two chains saw sharply different first quarter results. | Video ,topStory
HD,Home Depot Inc (The),20150521,Different responses to winter: Lowe's misses and Home Depot beats expectations ,CHICAGO  May 20 Lowe's Companies Inc  failed to launch spring discounts during the coldest months this year  while rival Home Depot Inc piled on marketing to storm-hit homeowners  and the two chains saw sharply different first quarter results.,normal
HMC,Honda Motor Company Ltd,20150521,Japan auto lobby chief: hopes for report on Takata problems by year-end ,TOKYO The head of Japan's auto lobby said on Thursday he hopes for an interim report on the cause of Takata Corp's  air bag problems by the end of the year from any one of the teams investigating the issue.,topStory
HMC,Honda Motor Company Ltd,20150521,Detroit prosecutors join criminal probe of Takata over air bags ,DETROIT Prosecutors in Detroit have joined the U.S. federal probe into Takata Corp's defective air bag inflators that are linked to at least six deaths globally.,normal
HMC,Honda Motor Company Ltd,20150521,UPDATE 1-Detroit prosecutors join criminal probe of Takata over air bags ,DETROIT  May 21 Prosecutors in Detroit have joined the U.S. federal probe into Takata Corp's  defective air bag inflators that are linked to at least six deaths globally.,normal
HMC,Honda Motor Company Ltd,20150521,Detroit prosecutors join criminal probe of Takata over air bags ,DETROIT  May 21 Prosecutors in Detroit have joined the U.S. federal probe into Takata Corp's defective air bag inflators that are linked to at least six deaths globally.,normal
HPQ,HP Inc,20150521,HP forecasts split-related costs below expectations ,Hewlett-Packard Co   which is in the process of splitting itself  forecast separation-related costs below the expectation of several analysts and reported a better-than-expected quarterly profit.,topStory
HPQ,HP Inc,20150521,UPDATE 2-HP forecasts split-related costs below expectations ,May 21 Hewlett-Packard Co  which is in the process of splitting itself  forecast separation-related costs below the expectation of several analysts and reported a better-than-expected quarterly profit.,normal
HPQ,HP Inc,20150521,HP profit beats Street on lower costs ,May 21 Hewlett-Packard Co reported a quarterly profit above market estimates  pushing shares up 2 percent in after-market trading.,normal
HPQ,HP Inc,20150521,BRIEF-Thales to collaborate with HP on systems to support emergency services ,* Thales signs agreement with HP to collaborate on next generation critical communication systems to support emergency services,normal
HSBC,HSBC Holdings plc,20150521,HSBC wins reversal of $2.46 billion Household judgment ,CHICAGO A U.S. appeals court on Thursday reversed a $2.46 billion judgment against HSBC Holdings Plc  in a long-running securities fraud class action stemming from a consumer finance business it bought more than a decade ago.,topStory
HSBC,HSBC Holdings plc,20150521,HSBC wins reversal of $2.46 billion Household judgment ,CHICAGO A U.S. appeals court on Thursday reversed a $2.46 billion judgment against HSBC Holdings Plc  in a long-running securities fraud class action stemming from a consumer finance business it bought more than a decade ago.,normal
HSBC,HSBC Holdings plc,20150521,UPDATE 2-HSBC wins reversal of $2.46 billion Household judgment ,CHICAGO  May 21 A U.S. appeals court on Thursday reversed a $2.46 billion judgment against HSBC Holdings Plc  in a long-running securities fraud class action stemming from a consumer finance business it bought more than a decade ago.,normal
HSBC,HSBC Holdings plc,20150521,HSBC wins new trial in $2.46 billion Household case ,CHICAGO  May 21 A U.S. appeals court on Thursday said HSBC Holdings Plc is entitled to a new trial in a long-running securities fraud case that led to a $2.46 billion judgment against a consumer finance business it bought more than 12 years ago.,normal
HSBC,HSBC Holdings plc,20150521,China May flash HSBC factory PMI shrinks for third month  more stimulus seen ,BEIJING Chinese factory activity contracted for a third month in May and output shrank at the fastest rate in just over a year  a private survey showed  indicating persistent weakness in the world's second-largest economy that requires increased policy support. | Video ,normal
HSBC,HSBC Holdings plc,20150521,RPT-UPDATE 2-China May flash HSBC factory PMI shrinks for 3rd month  more stimulus seen ,* Premier Li says 7 pct growth target achievable   (Repeats to remove text of earlier story; adds Premier Li comment  analyst quotes),normal
HSBC,HSBC Holdings plc,20150521,China May flash HSBC factory PMI contracts for third month ,BEIJING  May 21 Chinese factory activity contracted for a third month in May and output shrank at the fastest rate in just over a year   a private survey showed  indicating persistent weakness in the world's second-largest economy that requires increased policy support.,normal
HSEA,HSBC Holdings plc,20150521,HSBC wins reversal of $2.46 billion Household judgment ,CHICAGO A U.S. appeals court on Thursday reversed a $2.46 billion judgment against HSBC Holdings Plc  in a long-running securities fraud class action stemming from a consumer finance business it bought more than a decade ago.,topStory
HSEA,HSBC Holdings plc,20150521,HSBC wins reversal of $2.46 billion Household judgment ,CHICAGO A U.S. appeals court on Thursday reversed a $2.46 billion judgment against HSBC Holdings Plc  in a long-running securities fraud class action stemming from a consumer finance business it bought more than a decade ago.,normal
HSEA,HSBC Holdings plc,20150521,UPDATE 2-HSBC wins reversal of $2.46 billion Household judgment ,CHICAGO  May 21 A U.S. appeals court on Thursday reversed a $2.46 billion judgment against HSBC Holdings Plc  in a long-running securities fraud class action stemming from a consumer finance business it bought more than a decade ago.,normal
HSEA,HSBC Holdings plc,20150521,HSBC wins new trial in $2.46 billion Household case ,CHICAGO  May 21 A U.S. appeals court on Thursday said HSBC Holdings Plc is entitled to a new trial in a long-running securities fraud case that led to a $2.46 billion judgment against a consumer finance business it bought more than 12 years ago.,normal
HSEA,HSBC Holdings plc,20150521,China May flash HSBC factory PMI shrinks for third month  more stimulus seen ,BEIJING Chinese factory activity contracted for a third month in May and output shrank at the fastest rate in just over a year  a private survey showed  indicating persistent weakness in the world's second-largest economy that requires increased policy support. | Video ,normal
HSEA,HSBC Holdings plc,20150521,RPT-UPDATE 2-China May flash HSBC factory PMI shrinks for 3rd month  more stimulus seen ,* Premier Li says 7 pct growth target achievable   (Repeats to remove text of earlier story; adds Premier Li comment  analyst quotes),normal
HSEA,HSBC Holdings plc,20150521,China May flash HSBC factory PMI contracts for third month ,BEIJING  May 21 Chinese factory activity contracted for a third month in May and output shrank at the fastest rate in just over a year   a private survey showed  indicating persistent weakness in the world's second-largest economy that requires increased policy support.,normal
HSEB,HSBC Holdings plc,20150521,HSBC wins reversal of $2.46 billion Household judgment ,CHICAGO A U.S. appeals court on Thursday reversed a $2.46 billion judgment against HSBC Holdings Plc  in a long-running securities fraud class action stemming from a consumer finance business it bought more than a decade ago.,topStory
HSEB,HSBC Holdings plc,20150521,HSBC wins reversal of $2.46 billion Household judgment ,CHICAGO A U.S. appeals court on Thursday reversed a $2.46 billion judgment against HSBC Holdings Plc  in a long-running securities fraud class action stemming from a consumer finance business it bought more than a decade ago.,normal
HSEB,HSBC Holdings plc,20150521,UPDATE 2-HSBC wins reversal of $2.46 billion Household judgment ,CHICAGO  May 21 A U.S. appeals court on Thursday reversed a $2.46 billion judgment against HSBC Holdings Plc  in a long-running securities fraud class action stemming from a consumer finance business it bought more than a decade ago.,normal
HSEB,HSBC Holdings plc,20150521,HSBC wins new trial in $2.46 billion Household case ,CHICAGO  May 21 A U.S. appeals court on Thursday said HSBC Holdings Plc is entitled to a new trial in a long-running securities fraud case that led to a $2.46 billion judgment against a consumer finance business it bought more than 12 years ago.,normal
HSEB,HSBC Holdings plc,20150521,China May flash HSBC factory PMI shrinks for third month  more stimulus seen ,BEIJING Chinese factory activity contracted for a third month in May and output shrank at the fastest rate in just over a year  a private survey showed  indicating persistent weakness in the world's second-largest economy that requires increased policy support. | Video ,normal
HSEB,HSBC Holdings plc,20150521,RPT-UPDATE 2-China May flash HSBC factory PMI shrinks for 3rd month  more stimulus seen ,* Premier Li says 7 pct growth target achievable   (Repeats to remove text of earlier story; adds Premier Li comment  analyst quotes),normal
HSEB,HSBC Holdings plc,20150521,China May flash HSBC factory PMI contracts for third month ,BEIJING  May 21 Chinese factory activity contracted for a third month in May and output shrank at the fastest rate in just over a year   a private survey showed  indicating persistent weakness in the world's second-largest economy that requires increased policy support.,normal
IBM,International Business Machines Corporation,20150521,Lenovo annual profit up 1 percent  missing forecasts  amid China smartphone competition ,BEIJING/HONG KONG Lenovo Group Ltd   the world's biggest PC maker by sales  said on Thursday its annual net profit rose 1 percent to $829 million  slightly below analyst expectations  as intense competition in the Chinese smartphone market eroded margins. | Video ,topStory
IBM,International Business Machines Corporation,20150521,UPDATE 2-Lenovo annual profit up 1 pct  missing forecasts  amid China smartphone competition ,* FY revenue up 20 pct to $4.6 bln   (Adds details and CEO comments),normal
IBM,International Business Machines Corporation,20150521,Lenovo annual profit up 1 pct  misses forecasts  on IBM  Motorola deals ,BEIJING  May 21 Lenovo Group Ltd  the world's leading PC maker  said on Thursday its annual net profit rose one percent to $829 million  below analysts expectations  after completing two major acquisitions.,normal
JHX,James Hardie Industries plc,20150521,Australia shares bounce as investors swoop on discounts after 2-month rout ,* Recovering after 2-month tumble   (Adds analysis  quotes  stocks on the move),topStory
PHG,Koninklijke Philips NV,20150521,Philips and Carrefour use lights to beam coupons to shoppers ,AMSTERDAM Philips has struck its first deal to sell lights with built-in technology that can track shoppers as they move through a grocery store  beaming pop-up coupons to their smartphones.,topStory
PHG,Koninklijke Philips NV,20150521,Philips and Carrefour use lights to beam coupons to shoppers ,AMSTERDAM  May 21 Philips has struck its first deal to sell lights with built-in technology that can track shoppers as they move through a grocery store  beaming pop-up coupons to their smartphones.,normal
LYG,Lloyds Banking Group Plc,20150521,New Issue- Lloyds prices 250 mln stg 2022 bond ,Notes                   Launched under issuer's EMTN programme,topStory
LMT,Lockheed Martin Corporation,20150521,Lockheed wins $735.5 million contract for satellite work: Pentagon ,WASHINGTON Lockheed Martin Corp has won a $735.5 million contract to maintain and operate several U.S. military secure communications satellites  the Pentagon said in its digest of major contracts on Thursday.,topStory
LMT,Lockheed Martin Corporation,20150521,Lockheed wins $735.5 mln contract for satellite work -Pentagon ,WASHINGTON  May 21 Lockheed Martin Corp  has won a $735.5 million contract to maintain and operate several U.S. military secure communications satellites  the Pentagon said in its digest of major contracts on Thursday.,normal
LMT,Lockheed Martin Corporation,20150521,Lockheed-Boeing rocket venture needs commercial orders to survive ,WASHINGTON United Launch Alliance  a 50-50 joint venture of Lockheed Martin Corp and Boeing Co  on Thursday said it would go out of business unless it won commercial and civil satellite launch orders to offset an expected slump in U.S. military and spy launches.,normal
LMT,Lockheed Martin Corporation,20150521,Lockheed-Boeing rocket venture needs commercial orders to survive ,WASHINGTON  May 21 United Launch Alliance  a 50-50 joint venture of Lockheed Martin Corp and Boeing Co  on Thursday said it would go out of business unless it won commercial and civil satellite launch orders to offset an expected slump in U.S. military and spy launches.,normal
LMT,Lockheed Martin Corporation,20150521,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 21  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
LOW,Lowe&#39;s Companies Inc,20150521,Different responses to winter: Lowe's misses and Home Depot beats expectations ,CHICAGO Lowe's Companies Inc  failed to launch spring discounts during the coldest months this year  while rival Home Depot Inc  piled on marketing to storm-hit homeowners  and the two chains saw sharply different first quarter results. | Video ,topStory
LOW,Lowe&#39;s Companies Inc,20150521,Different responses to winter: Lowe's misses and Home Depot beats expectations ,CHICAGO  May 20 Lowe's Companies Inc  failed to launch spring discounts during the coldest months this year  while rival Home Depot Inc piled on marketing to storm-hit homeowners  and the two chains saw sharply different first quarter results.,normal
LL,Lumber Liquidators Holdings Inc,20150521,Lumber Liquidators' troubles deepen as CEO abandons ship ,Lumber Liquidators Holdings Inc  said Chief Executive Robert Lynch had unexpectedly resigned  nearly three months after a report alleged that the company sourced flooring laminates with harmful levels of a known carcinogen. | Video ,topStory
LL,Lumber Liquidators Holdings Inc,20150521,UPDATE 3-Lumber Liquidators' troubles deepen as CEO abandons ship ,* Shares fall 17 pct to 39-month low   (Adds investor comment  background),normal
LL,Lumber Liquidators Holdings Inc,20150521,US STOCKS-Wall St shrugs off weak data to inch higher ,* Indexes up: Dow 0.02 pct  S&P 0.1 pct  Nasdaq 0.2 pct   (Updates to open),normal
LL,Lumber Liquidators Holdings Inc,20150521,US STOCKS-Wall St set to open lower as weekly jobless claims rise ,* Futures down: Dow 23 pts  S&P 2.75 pts  Nasdaq 10.50 pts   (Adds details  comment  updates prices),normal
LL,Lumber Liquidators Holdings Inc,20150521,Flooring retailer Lumber Liquidators' CEO resigns ,May 21 Hardwood flooring retailer Lumber Liquidators Holdings Inc said Chief Executive Robert Lynch had resigned unexpectedly  sending its shares down 17 percent in premarket trading on Thursday.,normal
MFC,Manulife Financial Corp,20150521,Manulife plans $450 mln IPO of U.S assets in Singapore -sources ,SINGAPORE  May 21 Canada's Manulife Financial Corp is seeking to list some of its U.S. property assets in Singapore in the second half of the year in an initial public offering worth $450 million  two people familiar with the deal said.,topStory
MCD,McDonald&#39;s Corporation,20150521,McDonald's CEO gets grilled at first annual meeting ,LOS ANGELES/BOSTON McDonald's Corp  shareholders defied executives at its annual meeting on Thursday  approving a proposal to make it easier to nominate directors to the board of the fast-food chain and taking its new CEO to task over wages  advertising and its food.,topStory
MCD,McDonald&#39;s Corporation,20150521,UPDATE 3-McDonald's CEO gets grilled at first annual meeting ,LOS ANGELES/BOSTON  May 21 McDonald's Corp  shareholders defied executives at its annual meeting on Thursday  approving a proposal to make it easier to nominate directors to the board of the fast-food chain and taking its new CEO to task over wages  advertising and its food.,normal
MCD,McDonald&#39;s Corporation,20150521,In China  firms flash green credentials as regulators loom ,SHANGHAI Apple Inc is planting trees  Mars may move to 'zero carbon' and Foxconn Technology Co Ltd is spending millions of dollars to give its factories a 'green' makeover  as companies operating in China face tighter rules on pollution.,normal
MCD,McDonald&#39;s Corporation,20150521,In China  firms flash green credentials as regulators loom ,SHANGHAI Apple Inc  is planting trees  Mars may move to 'zero carbon' and Foxconn Technology Co Ltd  is spending millions of dollars to give its factories a 'green' makeover  as companies operating in China face tighter rules on pollution.,normal
MCD,McDonald&#39;s Corporation,20150521,In China  firms flash green credentials as regulators loom ,SHANGHAI  May 22 Apple Inc is planting trees  Mars may move to 'zero carbon' and Foxconn Technology Co Ltd is spending millions of dollars to give its factories a 'green' makeover  as companies operating in China face tighter rules on pollution.,normal
MCD,McDonald&#39;s Corporation,20150521,Reuters Business News Schedule at 1230 GMT/0830 AM ET ,Weak euro zone  Asia pin hopes on U.S. economy for global bounce,normal
MCD,McDonald&#39;s Corporation,20150521,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 21  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
MCD,McDonald&#39;s Corporation,20150521,RPT-McDonald's shareholders to weigh director-nomination rules ,LOS ANGELES/BOSTON  May 21 McDonald's Corp  shareholders will vote Thursday on a proposal that would make it easier to nominate directors to the board of the fast-food chain  which is in turnaround mode after losing customers and sales to competition and after internal missteps.,normal
MCD,McDonald&#39;s Corporation,20150521,McDonald's shareholders to weigh director-nomination rules ,LOS ANGELES/BOSTON  May 21 McDonald's Corp  shareholders will vote Thursday on a proposal that would make it easier to nominate directors to the board of the fast-food chain  which is in turnaround mode after losing customers and sales to competition and after internal missteps.,normal
MCD,McDonald&#39;s Corporation,20150521,UPDATE 1-Pension fund leaders challenge McDonald's and others on buybacks ,BOSTON/LOS ANGELES  May 20 Four U.S. public pension fund officials on Wednesday warned that McDonald's Corp  and other companies may be jeopardizing their own futures by returning excessive amounts of cash to investors via share buybacks.,normal
MRK,Merck & Company Inc,20150521,Brazil's JBS looking for deals in Americas  Australia: CEO ,NEW YORK Brazil's JBS SA  the world's largest meatpacker  this year will look at opportunities for acquisitions in North and South America and Australia  Chief Executive Wesley Batista said on Wednesday.,normal
MS,Morgan Stanley,20150521,MOVES-Morgan Stanley healthcare banker Truman joins Barclays ,May 21 Healthcare investment banker Jason Truman has left Morgan Stanley to join Barclays Plc in New York  according to an internal memo from the British bank seen by Reuters.,topStory
MSI,Motorola Solutions Inc,20150521,Lenovo annual profit up 1 percent  missing forecasts  amid China smartphone competition ,BEIJING/HONG KONG Lenovo Group Ltd   the world's biggest PC maker by sales  said on Thursday its annual net profit rose 1 percent to $829 million  slightly below analyst expectations  as intense competition in the Chinese smartphone market eroded margins. | Video ,topStory
MSI,Motorola Solutions Inc,20150521,UPDATE 2-Lenovo annual profit up 1 pct  missing forecasts  amid China smartphone competition ,* FY revenue up 20 pct to $4.6 bln   (Adds details and CEO comments),normal
MSI,Motorola Solutions Inc,20150521,Lenovo annual profit up 1 pct  misses forecasts  on IBM  Motorola deals ,BEIJING  May 21 Lenovo Group Ltd  the world's leading PC maker  said on Thursday its annual net profit rose one percent to $829 million  below analysts expectations  after completing two major acquisitions.,normal
NGG,National Grid Transco PLC,20150521,UPDATE 2-Access to EU energy market vital for UK - National Grid CEO ,LONDON  May 21 A place in Europe's energy market is vital for Britain  the head of National Grid said on Thursday  joining an increasing chorus of business leaders speaking out on the impact of a European Union referendum.,topStory
NGG,National Grid Transco PLC,20150521,National Grid posts full-year profit rise ,LONDON  May 21 Britain's gas and electricity network operator National Grid reported an 11 percent rise in annual pretax profit  allowing the company to pay shareholders a full-year dividend of 42.87 pence  up 2 percent year on year.,normal
PEP,Pepsico Inc,20150521,INSIGHT-New breed of food execs raised on mergers  not marketing ,LONDON  May 21 The consumer goods world has long been dominated by marketing whiz kids raised through the ranks of Procter & Gamble or PepsiCo  but the executives now in demand come from a new school that values cost-cutting and mergers over marketing.,topStory
POT,Potash Corporation of Saskatchewan Inc,20150521,Deals of the day- Mergers and acquisitions ,May 21 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,topStory
POT,Potash Corporation of Saskatchewan Inc,20150521,Potash Corp evaluating SQM  ICL stakes; other holdings 'strategic' ,NEW YORK Potash Corporation of Saskatchewan Inc  Chief Executive Jochen Tilk said on Thursday that he views the company’s stakes in fertilizer companies Sinofert Holdings  and Arab Potash Company  as “strategic ” but continues to review whether to keep its shares in ICL  and SQM .,normal
POT,Potash Corporation of Saskatchewan Inc,20150521,UPDATE 1-Potash Corp evaluating SQM  ICL stakes; other holdings 'strategic' ,NEW YORK  May 21 Potash Corporation of Saskatchewan Inc Chief Executive Jochen Tilk said on Thursday that he views the company's stakes in fertilizer companies Sinofert Holdings and Arab Potash Company  as "strategic " but continues to review whether to keep its shares in ICL and SQM.,normal
POT,Potash Corporation of Saskatchewan Inc,20150521,Potash Corp evaluating SQM  ICL stakes ,NEW YORK  May 21 Potash Corp of Saskatchewan  Chief Executive Jochen Tilk said on Thursday that he views the company's stakes in fertilizer companies Sinofert Holdings and Arab Potash Company as "strategic " but continues to review whether to keep its shares in ICL and SQM.,normal
PG,Procter & Gamble Company (The),20150521,INSIGHT-New breed of food execs raised on mergers  not marketing ,LONDON  May 21 The consumer goods world has long been dominated by marketing whiz kids raised through the ranks of Procter & Gamble or PepsiCo  but the executives now in demand come from a new school that values cost-cutting and mergers over marketing.,topStory
REX,REX American Resources Corporation,20150521,CHS Inc to buy Illinois ethanol plant in $196 mln deal -SEC filing ,CHICAGO  May 21 CHS Inc will buy an ethanol plant in Annawan  Illinois  that is partially owned by REX American Resources Corp  a U.S. Securities and Exchange Commission filing showed on Thursday.,topStory
RBS,Royal Bank Scotland plc (The),20150521,UPDATE 1-RBS holds negative Bund yield call as Citi throws in the towel ,LONDON  May 21 Until this week  two major investment banks expected Europe's benchmark German Bund yield to turn negative this year. Now there's only one.,topStory
RBS,Royal Bank Scotland plc (The),20150521,PRESS DIGEST- British Business - May 21 ,May 21 - The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
CRM,Salesforcecom Inc,20150521,US STOCKS-Wall St higher as rate hike worries fade; S&P near record ,* Indexes up: Dow 0.07 pct  S&P 0.3 pct  Nasdaq 0.3 pct   (Add details  changes comment  updates prices),topStory
SLB,Schlumberger NV,20150521,Russia to decide on Schlumberger bid for Eurasia Drilling in 2-3 weeks ,MOSCOW  May 21 A Russian government commission should decide on Schlumberger's bid for Eurasia Drilling  in two to three weeks  an official from Russia's Federal Antimonopoly Service (FAS) said on Thursday.,topStory
TGT,Target Corporation,20150521,Small food makers on fast path to U.S. store shelves  threatening big producers ,NEW YORK Small U.S. food manufacturers once toiled for decades to develop a critical mass of fans for their products. Now  an increasing number of privately-held players are going from garage to grocery store in fewer than five years thanks to an erosion of barriers to entry within the food industry.,normal
TGT,Target Corporation,20150521,INSIGHT-Small food makers on fast path to US store shelves  threatening big producers ,NEW YORK  May 21 Small U.S. food manufacturers once toiled for decades to develop a critical mass of fans for their products. Now  an increasing number of privately-held players are going from garage to grocery store in fewer than five years thanks to an erosion of barriers to entry within the food industry.,normal
TI,Telecom Italia SPA,20150521,Telecom Italia says to sell 40 percent of tower unit in IPO ,MILAN Telecom Italia  said on Thursday it would sell up to 40 percent of its Infrastrutture Wireless Italiane (INWIT) tower unit in an initial public offering on the Milan bourse.,topStory
TI,Telecom Italia SPA,20150521,Telecom Italia says to sell 40 pct of tower unit in IPO ,MILAN  May 21 Telecom Italia said on Thursday it would sell up to 40 percent of its Infrastrutture Wireless Italiane (INWIT) tower unit in an initial public offering on the Milan bourse.,normal
TOT,Total SA,20150521,Top EU companies urge drastic cuts in greenhouse gas emissions ,* Companies urge goal of "net zero" emissions well before 2100,normal
TM,Toyota Motor Corp Ltd Ord,20150521,Japan lower house approves ex-Toyota executive Funo for BOJ board ,TOKYO The lower house of parliament on Thursday approved former Toyota Motor Corp  executive Yukitoshi Funo to join the Bank of Japan's divided policy board  a move seen as supportive of Governor Haruhiko Kuroda's push for radical stimulus.,topStory
TM,Toyota Motor Corp Ltd Ord,20150521,Japan lower house approves ex-Toyota executive Funo for BOJ board ,TOKYO  May 21 The lower house of parliament on Thursday approved former Toyota Motor Corp executive Yukitoshi Funo to join the Bank of Japan's divided policy board  a move seen as supportive of Governor Haruhiko Kuroda's push for radical stimulus.,normal
TM,Toyota Motor Corp Ltd Ord,20150521,Japan auto lobby chief: hopes for report on Takata problems by year-end ,TOKYO  May 21 The head of Japan's auto lobby said on Thursday he hopes for an interim report on the cause of Takata Corp's air bag problems by the end of the year from any one of the teams investigating the issue.,normal
TWTR,Twitter Inc,20150521,CORRECTED-UPDATE 1-Goldman Sachs asks shareholders to 'like' tech push in San Francisco ,SAN FRANCISCO  May 21 In Goldman Sachs Group Inc's latest move to bolster its street cred as a cool  tech-savvy bank  the firm held its annual shareholder meeting in its San Francisco headquarters on Thursday.,topStory
TWTR,Twitter Inc,20150521,CORRECTED-RPT-Goldman Sachs asks shareholders to 'like' tech push in San Francisco ,SAN FRANCISCO  May 21 In Goldman Sachs Group Inc's latest move to bolster its street cred as a cool  tech-savvy bank  it is holding its annual shareholder meeting in San Francisco on Thursday.,normal
TWTR,Twitter Inc,20150521,CORRECTED-Goldman Sachs asks shareholders to 'like' tech push in San Francisco ,SAN FRANCISCO  May 21 In Goldman Sachs Group Inc's latest move to bolster its street cred as a cool  tech-savvy bank  it is holding its annual shareholder meeting in San Francisco on Thursday.,normal
UN,Unilever NV,20150521,Tesco paid new boss 4 mln pounds in first six months ,LONDON  May 21 Britain's biggest retailer Tesco  paid new chief executive Dave Lewis 4.1 million pounds ($6.4 million) in the six months after luring him from consumer goods group Unilever and tasking him with turning around the firm.,topStory
UN,Unilever NV,20150521,UPDATE 2-Top EU companies urge drastic cuts in greenhouse gas emissions ,* Want tough action from Paris U.N. summit in December   (Updates with quotes from Kerry  Fabius  DSM),normal
UN,Unilever NV,20150521,Top EU companies urge drastic cuts in greenhouse gas emissions ,* Companies urge goal of "net zero" emissions well before 2100,normal
V,Visa Inc,20150521,FIFA sponsors Visa express 'grave concern' over Qatar workers ,BERNE FIFA sponsors Visa have expressed "grave concern" at the conditions of migrant workers in 2022 World Cup hosts Qatar.,topStory
WFC,Wells Fargo & Company,20150521,Wells Fargo to change U.S. money market funds ,NEW YORK Wells Fargo's fund unit said on Thursday it will make changes to its U.S. money market funds  marking the latest fund operator to adopt moves to comply with regulatory changes for the $2.6 trillion industry.,topStory
WFC,Wells Fargo & Company,20150521,Wells Fargo to change U.S. money market funds ,NEW YORK  May 21 Wells Fargo's fund unit said on Thursday it will make changes to its U.S. money market funds  marking the latest fund operator to adopt moves to comply with regulatory changes for the $2.6 trillion industry.,normal
WBK,Westpac Banking Corporation,20150521,Westpac eyes China  India for commodities trade growth: executive ,HONG KONG A recent entrant in Asia's commodities markets  Australia's Westpac Banking Corp is ramping up to take advantage of a commodities "supercycle" that it says has at least another 30 years to run.,topStory
WBK,Westpac Banking Corporation,20150521,Westpac eyes China  India for commodities trade growth - executive ,HONG KONG  May 21 A recent entrant in Asia's commodities markets  Australia's Westpac Banking Corp  is ramping up to take advantage of a commodities "supercycle" that it says has at least another 30 years to run.,normal
PARR,Par Pacific Holdings Inc,20150521,LPC-Endo reveals $9.275 bln loan package for Par buy ,LONDON  May 21 Specialty drugmaker Endo International has agreed a $9.275 billion loan package backing its $8.05 billion acquisition of privately-owned Par Pharmaceuticals  the borrower announced in an SEC filing on Thursday.,topStory
