GOOG,Alphabet Inc,20150227,REFILE-Market Chatter-Corporate finance press digest ,Feb 27 The following corporate finance-related stories were reported by media:,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150227,Norway's BW Offshore finds 7th victim of Petrobras blast ,RIO DE JANEIRO  Feb 26 Norway's BW Offshore  said on Thursday it had found the body of a seventh victim of a Feb. 11 blast on a production vessel it operates for Brazil's state-run oil company Petroleo Brasileiro SA .,normal
RIO,Rio Tinto Plc,20150227,UPDATE 1-Rio Tinto energy chief's job cut may signal coal exit ,* Glencore  Mick Davis among the potential buyers-sources   (Recasts with comments on potential exit from coal),topStory
RIO,Rio Tinto Plc,20150227,Thoughts turn to recovery as Ebola slowly ebbs in West Africa ,DAKAR/MONROVIA/CONAKRY In the marble atrium of the Mammy Yoko hotel in Freetown  manager Nuno Neves has spotted something he has not seen since the Ebola virus struck Sierra Leone nine months ago: foreign businessmen.,normal
RDC,Rowan Companies plc,20150227,UPDATE 2-Rowan says expects Saudi Aramco to keep employing its rigs ,* Shares rise as much as 5.5 pct   (Adds details from conference call  background  shares),topStory
RDC,Rowan Companies plc,20150227,Driller Rowan reports quarterly loss on impairment charge ,Feb 27 Contract driller Rowan Cos Plc  reported a quarterly loss compared with a profit a year earlier  as it wrote down the value of 12 of its oldest jack-up rigs by $438.4 million.,normal
RBS,Royal Bank Scotland plc (The),20150227,Falls at Intu and RBS nudge UK's FTSE off record peaks ,LONDON  Feb 27 A drop in the share prices of Intu Properties and Royal Bank of Scotland  nudged Britain's top equity index down from record highs on Friday.,topStory
SNY,Sanofi,20150227,Sacked Sanofi boss joins PureTech board ,PARIS Chris Viehbacher  sacked as chief executive of French drugs firm Sanofi last year  is to join the board of PureTech  a privately owned healthcare science and technology R&D company.,topStory
SNY,Sanofi,20150227,CORRECTED-Sacked Sanofi boss joins PureTech board ,PARIS  Feb 27 Chris Viehbacher  sacked as chief executive of French drugs firm Sanofi last year  is to join the board of PureTech  a privately owned healthcare science and technology R&D company.,normal
SNY,Sanofi,20150227,Sanofi diabetes drug Toujeo wins EU green light  pricing in focus ,LONDON French drugmaker Sanofi's new Toujeo diabetes drug has been recommended for approval in Europe  two days after being cleared for sale in the United States  regulators said on Friday.,normal
SNY,Sanofi,20150227,UPDATE 1-Sanofi diabetes drug Toujeo wins EU green light  pricing in focus ,* Pricing seen key in determining Toujeo take-up   (Adds product details  debate on pricing),normal
SNY,Sanofi,20150227,Sanofi diabetes drug Toujeo wins European green light ,LONDON  Feb 27 French drugmaker Sanofi's  new Toujeo diabetes drug has been recommended for approval in Europe  two days after being cleared to go on sale in the United States  regulators said on Friday.,normal
SLB,Schlumberger NV,20150227,Venezuela's PDVSA says Schlumberger poised to extend credit line ,CARACAS  Feb 27 Venezuela's PDVSA  said on Friday that oil services giant Schlumberger was poised to extend an existing credit line to the South American state oil company  without offering details.,topStory
LUV,Southwest Airlines Company,20150227,Southwest Airlines nears end of inspections that grounded 128 planes ,Southwest Airlines Co  said on Friday it has finished inspecting 115 of 128 planes that it briefly pulled out of service on Tuesday when it discovered maintenance checks were overdue  and it expects to complete the rest this weekend.,topStory
LUV,Southwest Airlines Company,20150227,Southwest Airlines nears end of inspections that grounded 128 planes ,Feb 27 Southwest Airlines Co said on Friday it has finished inspecting 115 of 128 planes that it briefly pulled out of service on Tuesday when it discovered maintenance checks were overdue  and it expects to complete the rest this weekend.,normal
STO,Statoil ASA,20150227,CORRECTED-UPDATE 5-Brent rises above $61  set for first monthly gain since June ,LONDON  Feb 27 Crude oil futures rebounded on Friday and Brent headed for its first monthly gain since June  helped by strong investor inflows  an improving demand outlook and supply outages.,topStory
STO,Statoil ASA,20150227,UPDATE 2-Brent rises above $61  set for biggest monthly gain since 2009 ,* Libyan oil supply increases to 100 000 bpd   (Adds China oil demand and quote  updates prices),normal
TEF,Telefonica SA,20150227,Europe's big telecoms roar back to health  worrying rivals ,PARIS Europe's big telecom firms are back to rude financial health after years of poor results and regulatory pressure  drawing crowds of new investors and protests from rivals who worry the formerly state-owned companies may rebuild their monopolies.,topStory
BX,The Blackstone Group LP,20150227,REFILE-Blackstone cashes out through Motel 6 CMBS ,NEW YORK  Feb 27 (IFR) - When the final slug of a US$1.8bn Motel 6 mortgage bond deal sold on Thursday  the Blackstone Group took its US$626m equity in the low-cost lodging chain off the table.,topStory
BX,The Blackstone Group LP,20150227,BUYOUTS-Blackstone uses fee holiday to entice Fund VII investors ,* LPs have to commit prior to first close for benefit * Fee holiday lasts six months * Expect first close of around $10 billion in April,normal
TWX,Time Warner Inc,20150227,Fitch Publishes Rating Navigators for U.S. Diversified Media Companies ,(The following statement was released by the rating agency) NEW YORK  February 27 (Fitch) Fitch Ratings has published its new Rating  Navigators for the following North American diversified Media companies: --CBS Corporation --Cox Enterprises  Inc. --Discovery Communications LLC --NBCUniversal Media LLC --Time Warner Inc. --Twenty-First Century Fox  Inc. --Viacom  Inc. --The Walt Disney Company  Inc.  These Rating Navigators should be read in tandem with its companion report  entitled 'Media:  R,topStory
UNH,UnitedHealth Group Incorporated,20150227,UnitedHealth places tighter controls on hysterectomies ,UnitedHealth Group Inc  the largest health insurer in the United States  is placing tighter controls on its coverage of hysterectomies after a device called a morcellator was linked to the spread of undiagnosed cancer cells.,topStory
VR,Validus Holdings Ltd,20150227,Fitch Affirms Validus' Ratings; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  February 27 (Fitch) Fitch Ratings has affirmed the ratings of Validus  Holdings  Ltd. (Validus). These rating actions include Validus' senior unsecured  debt rating  which was affirmed at 'BBB+' and the Insurer Financial Strength  (IFS) rating of Validus Reinsurance  Ltd. (Validus Re)  which was affirmed at  'A'. The Rating Outlook is Stable. A complete list of rating actions is provided  at the end of this release. KEY RATING ,topStory
VZ,Verizon Communications Inc,20150227,BRIEF-Ericsson wins Radio Dot System from Verizon ,* Ericsson Radio Dot System installed at Verizon regional headquarters building in Metro Detroit  Link to press release: http://hugin.info/1061/R/1897997/673870.pdf Further company coverage:    (Reporting By Bjorn Rundstrom),topStory
VZA,Verizon Communications Inc,20150227,BRIEF-Ericsson wins Radio Dot System from Verizon ,* Ericsson Radio Dot System installed at Verizon regional headquarters building in Metro Detroit  Link to press release: http://hugin.info/1061/R/1897997/673870.pdf Further company coverage:    (Reporting By Bjorn Rundstrom),topStory
VMW,Vmware Inc,20150227,Exclusive: EMC to hold on to VMware stake - sources ,NEW YORK EMC Corp  has decided against spinning off its majority stake in VMware Inc  after reviewing the idea over the last several months following pressure from activist investor Elliott Management Corp  three sources close to the matter said.,topStory
DIS,Walt Disney Company (The),20150227,Fitch Publishes Rating Navigators for U.S. Diversified Media Companies ,(The following statement was released by the rating agency) NEW YORK  February 27 (Fitch) Fitch Ratings has published its new Rating  Navigators for the following North American diversified Media companies: --CBS Corporation --Cox Enterprises  Inc. --Discovery Communications LLC --NBCUniversal Media LLC --Time Warner Inc. --Twenty-First Century Fox  Inc. --Viacom  Inc. --The Walt Disney Company  Inc.  These Rating Navigators should be read in tandem with its companion report  entitled 'Media:  R,topStory
HCN,Welltower Inc,20150227,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters Feb 27  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                  ,topStory
