AMD,Advanced Micro Devices Inc,20150729,Bounce in AMD's stock may put pressure on short sellers ,SAN FRANCISCO A two-day rally in the lowly shares of Advanced Micro Devices Inc may be squeezing short sellers  who recently increased their bets against the chipmaker.,topStory
BTI,British American Tobacco plc,20150729,UPDATE 1-BAT sees "plain packaging" challenge in Britain being heard in December ,LONDON  July 29 British American Tobacco  expects its legal challenge to the implementation of "plain packaging" of tobacco in Britain to be heard in court in December  with possible final resolution by the end of 2016  a senior executive said.,normal
BTI,British American Tobacco plc,20150729,REFILE-Hikma and Barclays help Britain's FTSE to climb higher ,LONDON  July 29 Britain's top share index rose for a second straight session on Wednesday after recent sharp falls  with Hikma Pharmaceuticals leading the market higher on positive broker comments and Barclays gaining after saying it will speed up cost cuts.,normal
BTI,British American Tobacco plc,20150729,British American Tobacco beats expectations  shares up ,LONDON British American Tobacco   the world's No. 2 cigarette company  reported better-than-expected performance for the second quarter  helped by cost savings and market share gains.,normal
BTI,British American Tobacco plc,20150729,British American Tobacco first-half sales hurt by currency moves ,LONDON  July 29 British American Tobacco   the world's No. 2 cigarette company  reported lower revenue for the first half of the year  hurt by currency fluctuations and people cutting back on smoking.,normal
SNP,China Petroleum & Chemical Corporation,20150729,Poor margins  plant outage make Iran condensate a hard sell in China ,BEIJING/SINGAPORE  July 29 Any attempt by Iran to sell to China millions of barrels of ultra light crude built up in tankers over the last 2-1/2 years of sanctions is likely to be thwarted by poor refining margins and an outage at a major importer of the oil.,normal
CI,Cigna Corporation,20150729,UPDATE 4-Anthem profit beats as medical costs stay at low end of estimates ,July 29 Health insurer Anthem Inc  which plans to buy rival Cigna Corp for $47 billion  on Wednesday said medical costs  particularly in its Medicaid and Medicare businesses  were at the low end of expectations and helped boost second-quarter profit.,topStory
CLF,Cleveland-Cliffs Inc,20150729,Miner Cliffs Natural sees improved profitability in H2 ,Iron ore and coal producer Cliffs Natural Resources Inc  reported a second-quarter profit  compared with a year-ago loss  on lower costs and said it expects "improved" profitability in the second half of the year.,topStory
CLF,Cleveland-Cliffs Inc,20150729,UPDATE 1-Miner Cliffs Natural sees improved profitability in H2 ,July 29 Iron ore and coal producer Cliffs Natural Resources Inc reported a second-quarter profit  compared with a year-ago loss  on lower costs and said it expects "improved" profitability in the second half of the year.,normal
CLF,Cleveland-Cliffs Inc,20150729,Miner Cliffs Natural posts Q2 profit on lower costs ,July 29 Iron ore and coal producer Cliffs Natural Resources Inc reported a second-quarter profit  compared with a year-ago loss  helped by lower costs.,normal
CNHI,CNH Industrial NV,20150729,CNH Industrial cuts 2015 operating profit guidance ,MILAN  July 29 Tractor and truck maker CNH Industrial has cut its full-year operating margin goal after reporting a 41 percent drop in second-quarter profit for its industrial activities  hit by lower demand for farming machinery.,topStory
EQT,EQT Corporation,20150729,Telekom Austria says buys Bulgaria's blizoo from EQT ,VIENNA  July 29 Telekom Austria  part of Mexican tycoon Carlos Slim's American Movil  has agreed to buy Bulgarian cable network operator blizoo from Swedish investor EQT  the Austrian group said on Wednesday.,topStory
FCAU,Fiat Chrysler Automobiles NV,20150729,Exclusive: FCA's Chrysler group faces U.S. product drought through 2016 ,DETROIT Fiat Chrysler Automobiles NV will face a shortage of new products in North America over the next 18 months  especially hot-selling trucks and crossover vehicles  according to three sources familiar with the company's plans.,topStory
FMC,FMC Corporation,20150729,UPDATE 1-Fresenius raises 2015 profit guidance on generic infusion drugs ,* Fresenius boosted by drug launches  rivals' production blunders,topStory
FMS,Fresenius Medical Care Corporation,20150729,Fresenius raises 2015 profit guidance on generic infusion drugs ,FRANKFURT German healthcare group Fresenius SE  on Wednesday lifted its full-year earnings target for the second time as its rivals in the U.S. generic infusion drug market struggled with longer-than-expected production outages.,topStory
FMS,Fresenius Medical Care Corporation,20150729,UPDATE 1-Fresenius raises 2015 profit guidance on generic infusion drugs ,* Fresenius boosted by drug launches  rivals' production blunders,normal
FMS,Fresenius Medical Care Corporation,20150729,BRIEF-Fresenius Medical Care confirms guidance for 2015 ,* Says q2 dialysis product revenue decreased by 4% on year to $854 million mainly due to negative currency developments,normal
GD,General Dynamics Corporation,20150729,US STOCKS-Wall St ends higher after Fed leaves investors unruffled ,* Facebook and Whole Foods fall after the bell following reports,topStory
GD,General Dynamics Corporation,20150729,US STOCKS-U.S. stocks higher after Fed notes improving economy ,* Indexes up: Dow 0.71 pct  S&P 0.71 pct  Nasdaq 0.42 pct   (Updates with reaction to Fed statement),normal
GD,General Dynamics Corporation,20150729,US STOCKS-U.S. stocks rise amid earnings; Fed meeting in focus ,* Indexes up: Dow 0.59 pct  S&P 0.49 pct  Nasdaq 0.18 pct   (Updates to early afternoon),normal
GD,General Dynamics Corporation,20150729,General Dynamics profit beats estimates; full-year outlook raised ,General Dynamics Corp   which makes ships  tanks and business jets  reported higher-than-expected quarterly results and sharply raised its full-year profit outlook on Wednesday  sending its shares up as much as 6 percent to a record high.,normal
GD,General Dynamics Corporation,20150729,UPDATE 2-General Dynamics profit beats estimates; full-year outlook raised ,July 29 General Dynamics Corp  which makes ships  tanks and business jets  reported higher-than-expected quarterly results and sharply raised its full-year profit outlook on Wednesday  sending its shares up as much as 6 percent to a record high.,normal
GD,General Dynamics Corporation,20150729,CORRECTED-UPDATE 1-General Dynamics tops 2nd-qtr estimates  raises full-year forecast ,July 29 General Dynamics Corp  a maker of ships  tanks and business jets  reported higher-than-expected quarterly earnings and revenues on Wednesday  and sharply raised its outlook for full-year profit.,normal
GD,General Dynamics Corporation,20150729,CORRECTED-General Dynamics beats Q2 profit estimates  spikes full year target ,July 29 General Dynamics Corp  maker of ships  tanks and business jets  reported higher-than-expected quarterly earnings and revenues  citing growth in all four business segments  and sharply raised its outlook for full-year earnings.,normal
GD,General Dynamics Corporation,20150729,US STOCKS-Wall St higher ahead of Fed meeting ,* Indexes up: Dow 0.49 pct  S&P 0.43 pct  Nasdaq 0.13 pct   (Adds details  changes comment  updates prices),normal
GD,General Dynamics Corporation,20150729,General Dynamics sees better business jet demand from S&P500 companies ,WASHINGTON General Dynamics Corp  on Wednesday said it saw a rebound in demand for its Gulfstream business jets from S&P 500 companies  which helped drive a $1 billion increase in the backlog of its aerospace division in the second quarter.,normal
GD,General Dynamics Corporation,20150729,General Dynamics sees better business jet demand from S&P500 companies ,WASHINGTON  July 29 General Dynamics Corp  n Wednesday said it saw a rebound in demand for its Gulfstream business jets from S&P 500 companies  which helped drive a $1 billion increase in the backlog of its aerospace division in the second quarter.,normal
GM,General Motors Company,20150729,GM to invest $1 billion in India to boost exports ,NEW DELHI General Motors Co said on Wednesday it will invest $1 billion over the next few years to turn India into a global export hub  even as it cuts production capacity in the country due to sluggish demand.,topStory
GM,General Motors Company,20150729,GM to invest $1 billion in India to boost exports ,NEW DELHI General Motors Co  said on Wednesday it will invest $1 billion over the next few years to turn India into a global export hub  even as it cuts production capacity in the country due to sluggish demand.,normal
GM,General Motors Company,20150729,UPDATE 2-GM to invest $1 billion in India to boost exports ,* India's auto market seen world's third largest by 2020   (Recasts with GM plans to downsize India operations  CEO  executive comments),normal
GM,General Motors Company,20150729,GM to invest $1 bln in India  double market share by 2020 ,NEW DELHI  July 29 General Motors Co will invest $1 billion in the next few years to turn operations in India into a new global auto manufacturing and export hub aimed at boosting sales in fast-growing emerging markets  top executives said on Wednesday.,normal
GM,General Motors Company,20150729,BRIEF-GM to invest $1 bln in India ,* General motors to invest $1 bln in India * GM says investment expected to create 12 000 jobs for co  suppliers in India * GM exec says to launch 10 new locally manufactured vehicles in India in next 5 years * GM exec says investment to increase Talegaon plant capacity to 220 000 vehicles by 2025 from 130 000 * GM exec says aims to double market share in India by 2020; 2014 share at 1.8 pct * GM exec says to stop production at one of two plants in India by mid-2016 to rationalise operations * G,normal
GSK,GlaxoSmithKline PLC,20150729,GSK subsidiary fights to close Soriatane sale ,GlaxoSmithKline subsidiary Stiefel Laboratories has filed suit against the Canadian company that agreed to purchase the rights to make  sell and distribute its brand-name psoriasis drug Soriatane for $180 million.,topStory
GSK,GlaxoSmithKline PLC,20150729,UPDATE 3-FTSE finishes higher  Hikma and GlaxoSmithKline boost ,LONDON  July 29 Britain's top share index advanced on Wednesday  with Hikma Pharmaceuticals leading the market higher on positive broker comments and GlaxoSmithKline gaining after reporting a lower-than-expected fall in quarterly earnings.,normal
GSK,GlaxoSmithKline PLC,20150729,BRIEF-GSK sees headline results of SUMMIT trial with Breo around Sept/Oct ,July 29 GlaxoSmithKline Plc CEO Andrew Witty told analysts:  * CEO says headline results of SUMMIT trial with Breo likely around Sept/Oct  * CEO says big-to-big pharma deals have high "pain" threshold and risky; GSK,normal
GSK,GlaxoSmithKline PLC,20150729,FTSE extends gains  Hikma and GlaxoSmithKline support ,LONDON  July 29 Britain's top share index advanced on Wednesday  with Hikma Pharmaceuticals leading the market higher on positive broker comments and GlaxoSmithKline gaining after reporting a lower-than-expected fall in quarterly earnings.,normal
GSK,GlaxoSmithKline PLC,20150729,GSK flags up pipeline as HIV drugs help it beat profit forecasts ,LONDON GlaxoSmithKline moved to reclaim its prowess as a research powerhouse on Wednesday by flagging up dozens of new drugs and vaccines in development  as demand for new HIV medicines helped it beat quarterly profit forecasts.,normal
GSK,GlaxoSmithKline PLC,20150729,UPDATE 2-GSK flags up pipeline as HIV drugs help it beat profit forecasts ,* GSK says has around 40 new drugs and vaccines in Phase II/III,normal
GSK,GlaxoSmithKline PLC,20150729,BRIEF-GlaxoSmithKline CEO says Nov R&D day will be "key moment" for company ,July 29 GlaxoSmithKline Plc CEO Andrew Witty told reporters:  * CEO says research and development event in November will be "key moment" for,normal
GSK,GlaxoSmithKline PLC,20150729,GlaxoSmithKline Q2 beats despite Advair hit  lower margins ,LONDON  July 29 A further slide in sales of lung drug Advair and lower profit margins following a business overhaul hit GlaxoSmithKline in the second quarter  although core earnings per share fell by a less-than-expected 9 percent.,normal
GS,Goldman Sachs Group Inc (The),20150729,Going for Gold(man): UK bank analyst pay tops out at 71 000 pounds ,LONDON Goldman Sachs  and Morgan Stanley  are offering the fattest bonuses to their London analysts  but if it's a high base salary you're after then head to Deutsche Bank   according to a survey on Wednesday.,topStory
GS,Goldman Sachs Group Inc (The),20150729,Going for Gold(man): UK bank analyst pay tops out at 71 000 pounds ,LONDON  July 29 Goldman Sachs and Morgan Stanley are offering the fattest bonuses to their London analysts  but if it's a high base salary you're after then head to Deutsche Bank  according to a survey on Wednesday.,normal
GWB,Great Western Bancorp Inc,20150729,Australia's NAB to book $49 mln loss on Great Western stake sale ,SYDNEY  July 29 National Australia Bank  on Wednesday said it had completed its divestment of its stake in U.S. subsidiary Great Western Bancorp and would book a A$67 million ($49 million) loss on the sale in its full-year accounts.,topStory
HLF,Herbalife LTD,20150729,U.S. judge dismisses 'pyramid scheme' lawsuit vs Herbalife  CEO ,A federal judge has dismissed a lawsuit accusing Herbalife Ltd and its chief executive officer of misrepresenting the weight-loss and nutritional products maker's sales practices as legitimate when the company was "at its core" a pyramid scheme.,topStory
HLF,Herbalife LTD,20150729,Judge dismisses 'pyramid scheme' lawsuit versus Herbalife  CEO ,A federal judge has dismissed a lawsuit accusing Herbalife Ltd  and its chief executive officer of misrepresenting the weight-loss and nutritional products maker's sales practices as legitimate when the company was "at its core" a pyramid scheme.,normal
HLF,Herbalife LTD,20150729,U.S. judge dismisses 'pyramid scheme' lawsuit vs Herbalife  CEO ,July 29 A federal judge has dismissed a lawsuit accusing Herbalife Ltd and its chief executive officer of misrepresenting the weight-loss and nutritional products maker's sales practices as legitimate when the company was "at its core" a pyramid scheme.,normal
HES,Hess Corporation,20150729,Hess posts quarterly loss after oil price rout ,Oil producer Hess Corp  reported a second-quarter loss on Wednesday as a drop of more than 50 percent in crude prices  in the past year ate into results.,topStory
HES,Hess Corporation,20150729,UPDATE 1-Hess posts quarterly loss after oil price rout ,July 29 Oil producer Hess Corp reported a second-quarter loss on Wednesday as a drop of more than 50 percent in crude prices in the past year ate into results.,normal
HES,Hess Corporation,20150729,Hess posts $567 million quarterly loss on cheap oil ,July 29 Oil producer Hess Corp reported a second-quarter loss on Wednesday as a more-than 50 percent drop in crude prices in the past year ate into results.,normal
HLT,Hilton Worldwide Holdings Inc,20150729,Hotel chain operator Hilton raises profit forecast ,Hilton Worldwide Holdings   the owner of Waldorf Astoria and Conrad hotel chains  raised its full-year profit forecast as improvement in the U.S. economy boosts occupancy and room rates.,topStory
HLT,Hilton Worldwide Holdings Inc,20150729,UPDATE 1-Hotel chain operator Hilton raises profit forecast ,July 29 Hilton Worldwide Holdings  the owner of Waldorf Astoria and Conrad hotel chains  raised its full-year profit forecast as improvement in the U.S. economy boosts occupancy and room rates.,normal
HLT,Hilton Worldwide Holdings Inc,20150729,REFILE-Hotel chain operator Hilton's revenue rises 9.6 pct ,July 29 Hotel chain operator Hilton Worldwide Holdings Inc reported a 9.6 percent rise in quarterly revenue  helped by higher room rates and occupancy.,normal
HUM,Humana Inc,20150729,Humana says medical costs cut into second-quarter profit ,Health insurer Humana Inc   which earlier this month agreed to be bought by Aetna Inc  for $37 billion  on Wednesday reported a rise in a key medical cost metric that missed analyst expectations.,topStory
HUM,Humana Inc,20150729,UPDATE 2-Humana says medical costs cut into second-quarter profit ,July 29 Health insurer Humana Inc  which earlier this month agreed to be bought by Aetna Inc for $37 billion  on Wednesday reported a rise in a key medical cost metric that missed analyst expectations.,normal
HUM,Humana Inc,20150729,Health insurer Humana's revenue rises on higher memberships ,July 29 Health insurer Humana Inc  reported a 12.4 percent rise in quarterly revenue as it added more members to its Medicare Advantage business for individuals.,normal
ITG,Investment Technology Group Inc,20150729,ITG sets aside $20.3 million related to dark pool investigation ,NEW YORK Broker dealer Investment Technology Group said on Wednesday it set aside $20.3 million for a probable settlement with the U.S. Securities and Exchange Commission over rule violations related to its private stock trading venue.,topStory
ITG,Investment Technology Group Inc,20150729,ITG sets aside $20.3 million related to dark pool investigation ,NEW YORK  July 29 Broker dealer Investment Technology Group said on Wednesday it set aside $20.3 million for a probable settlement with the U.S. Securities and Exchange Commission over rule violations related to its private stock trading venue.,normal
KGC,Kinross Gold Corporation,20150729,UPDATE 2-Kinross mulls more job cuts at Mauritania mine to reduce costs ,July 29 Kinross Gold Corp is again considering cutting jobs at its Tasiast gold mine in Mauritania  Chief Executive Officer Paul Rollinson said on Wednesday  as the Canadian miner looks for ways to reduce costs at its higher-cost mines amid sliding metals prices.,topStory
KGC,Kinross Gold Corporation,20150729,Gold miner Kinross slides to second-quarter net loss ,July 29 Kinross Gold Corp slid to a loss in the second quarter on the back of a weaker gold price  lower gold sales and the temporary suspension of operations at a mine in Chile.,normal
KMG,KMG Chemicals Inc,20150729,Kazakh wealth fund to sell 10 pct in state oil firm KMG to central bank ,ALMATY  July 29 Kazakhstan's sovereign wealth fund will sell 10 percent of shares in state oil firm KazMunaiGas to the central bank  the government said on Wednesday  in a move aimed at easing the debt burden of a company hit by low oil prices.,topStory
LDOS,Leidos Holdings Inc,20150729,Leidos team wins $4.34 billion contract for U.S. military health records ,WASHINGTON The U.S. Defense Department on Wednesday awarded a team led by Leidos Holdings Inc a contract valued at up to $4.34 billion to build a new electronic health record system for 9.6 million current and retired military service members.,topStory
LDOS,Leidos Holdings Inc,20150729,UPDATE 1-Leidos team wins $4.34 bln contract for U.S. military health records ,WASHINGTON  July 29 The U.S. Defense Department on Wednesday awarded a team led by Leidos Holdings Inc  a contract valued at up to $4.34 billion to build a new electronic health record system for 9.6 million current and retired military service members.,normal
LDOS,Leidos Holdings Inc,20150729,Leidos team wins huge U.S. military healthcare records contract ,WASHINGTON  July 29 The U.S. Defense Department on Wednesday said it chose a team led by Leidos Holdings Inc  to build a new electronic health record system for 9.6 million current and retired military service members  a contract valued at around $9 billion over the next 18 years.,normal
LMT,Lockheed Martin Corporation,20150729,U.S. approves possible sale of $5.4 billion in missiles to Saudi Arabia ,WASHINGTON The U.S. State Department has approved the possible sale to Saudi Arabia of $5.4 billion in additional PAC-3 missiles built by Lockheed Martin Corp  the Pentagon said on Wednesday.,topStory
LMT,Lockheed Martin Corporation,20150729,UPDATE 2-U.S. approves possible sale of $5.4 billion in missiles to Saudi Arabia ,WASHINGTON  July 29 The U.S. State Department has approved the possible sale to Saudi Arabia of $5.4 billion in additional PAC-3 missiles built by Lockheed Martin Corp   the Pentagon said on Wednesday.,normal
LMT,Lockheed Martin Corporation,20150729,U.S. approves possible sale of $5.4 billion in PAC-3 missiles to Saudi Arabia ,WASHINGTON  July 29 The U.S. State Department has approved the possible sale to Saudi Arabia of $5.4 billion in additional PAC-3 missiles built by Lockheed Martin Corp   the Pentagon said on Wednesday.,normal
LMT,Lockheed Martin Corporation,20150729,BRIEF-Airbus  Lockheed to upgrade German Navy P-3C Orion fleet ,* Airbus Defence and Space and Lockheed Martin to upgrade German Navy P-3C Orion fleet  Further company coverage:,normal
MRO,Marathon Oil Corporation,20150729,UPDATE 2-Marathon  OMV hand back Croatia oil exploration licences ,* Environmental groups opposed Adriatic exploration   (Adds new licensing round seen in September),topStory
MA,Mastercard Incorporated,20150729,Merchants seek to void $6 billion Visa  MasterCard  AmEx settlements ,NEW YORK Dozens of retailers are seeking to void nearly $6 billion of U.S. antitrust settlements with Visa Inc   MasterCard Inc  and American Express Co  after learning that opposing lawyers exchanged confidential information  potentially tainting the accords.,topStory
MA,Mastercard Incorporated,20150729,Merchants seek to void $6 bln Visa  MasterCard  AmEx settlements ,NEW YORK  July 29 Dozens of retailers are seeking to void nearly $6 billion of U.S. antitrust settlements with Visa Inc  MasterCard Inc and American Express Co after learning that opposing lawyers exchanged confidential information  potentially tainting the accords.,normal
MA,Mastercard Incorporated,20150729,MasterCard's revenue misses estimates on higher incentives ,MasterCard Inc   the operator of the world's second largest payment network  reported lower-than-expected quarterly revenue as the company offered more rebates and incentives to win new and renewed deals.,normal
MA,Mastercard Incorporated,20150729,CORRECTED-UPDATE 1-MasterCard's revenue misses estimates on higher incentives ,July 29 MasterCard Inc  the operator of the world's second largest payment network  reported lower-than-expected quarterly revenue as the company offered more rebates and incentives to win new and renewed deals.,normal
MET,MetLife Inc,20150729,MetLife profit falls on derivatives losses ,MetLife Inc   the biggest U.S. life insurer  reported a 21 percent fall in quarterly profit  dragged down by $593 million in derivatives losses.,topStory
MET,MetLife Inc,20150729,UPDATE 2-MetLife profit falls on derivatives losses ,* Operating profit rises 12 pct   (Adds analyst comment  background),normal
MET,MetLife Inc,20150729,MetLife profit falls on derivatives losses ,July 29 MetLife Inc  the biggest U.S. life insurer  reported a 21 percent fall in quarterly profit due to $593 million in derivatives losses from rising interest rates and the weakening of the dollar against certain currencies.,normal
MON,Monsanto Company,20150729,Vilmorin would consider Syngenta seed assets bid ,PARIS French seeds group Vilmorin  would consider taking over part of Syngenta's  seed activities if these were put up for sale as part of the proposed takeover by U.S. rival Monsanto   the company said on Wednesday.,topStory
MON,Monsanto Company,20150729,Vilmorin would consider Syngenta seed assets bid ,PARIS  July 29 French seeds group Vilmorin  would consider taking over part of Syngenta's  seed activities if these were put up for sale as part of the proposed takeover by U.S. rival Monsanto  the company said on Wednesday.,normal
MS,Morgan Stanley,20150729,Going for Gold(man): UK bank analyst pay tops out at 71 000 pounds ,LONDON  July 29 Goldman Sachs and Morgan Stanley are offering the fattest bonuses to their London analysts  but if it's a high base salary you're after then head to Deutsche Bank  according to a survey on Wednesday.,topStory
MS,Morgan Stanley,20150729,Australia's Mincor slashes nickel output amid prices near 6-yr lows ,SYDNEY  July 29 Australian nickel miner Mincor Resources said on Wednesday it will reduce production by up to 56 percent over the six months to end-December due to persistent low nickel prices that have left its operating levels unsustainable.,normal
NMR,Nomura Holdings Inc ADR,20150729,UPDATE 1-Nomura's quarterly net profit more than triples on stocks boom ,* Q1 net profit 68.7 bln Y vs 55.3 bln avg estimate of 2 analysts,topStory
NMR,Nomura Holdings Inc ADR,20150729,CORRECT-TABLE-Nomura Holdings -Q1 group results (SEC) ,RESULTS             RESULT          FORECAST   Revenues           508.45              462.15,normal
NMR,Nomura Holdings Inc ADR,20150729,Nomura's quarterly net profit more than triples amid stocks boom ,TOKYO  July 29 Japanese brokerage Nomura Holdings's quarterly net profit more than tripled as strong demand from customers to trade domestic stocks boosted its retail revenue.,normal
NOC,Northrop Grumman Corporation,20150729,Northrop's profit beat  forecast send shares to record high ,Northrop Grumman Corp   maker of Global Hawk drones  reported higher-than-expected quarterly earnings and raised its profit forecast for 2015 for the second time  sending its shares to a record high.,topStory
NOC,Northrop Grumman Corporation,20150729,UPDATE 3-Northrop's profit beat  forecast send shares to record high ,July 29 Northrop Grumman Corp  maker of Global Hawk drones  reported higher-than-expected quarterly earnings and raised its profit forecast for 2015 for the second time  sending its shares to a record high.,normal
NOC,Northrop Grumman Corporation,20150729,Northrop beats Q2 profit expectations  lifts target for full year ,July 29 Northrop Grumman Corp  maker of Global Hawk drones  reported higher-than-expected quarterly earnings and raised its guidance for earnings in the full year  despite flat or lower revenues in each of its four business sectors.,normal
DCM,NTT DOCOMO Inc,20150729,REFILE-TABLE-NTT DoCoMo -Q1 group results (SEC) ,RESULTS             RESULT          FORECAST   Revenues        1.08 trln           1.08 trln        4.51 trln,topStory
ORAN,Orange,20150729,Bpifrance selling 2 pct stake in Orange ,PARIS  July 29 France's Bpifrance public investment bank said Wednesday it is selling 2 percent of French telecom operator Orange shares in a deal a banking source said was worth about 805 million euros ($887.43 million).,topStory
PRGO,Perrigo Company,20150729,EU clears acquisition of Perrigo by Mylan ,BRUSSELS  July 29 The European Commission said on Wednesday it had cleared generic drug maker Mylan's  planned takeover of Ireland-based Perrigo Co.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150729,Brazil accuses former Petrobras exec of favoring Italy's Saipem ,SAO PAULO Prosecutors in Brazil said on Wednesday former Petrobras executive Renato Duque had unfairly favored Italy's Saipem SpA on a contract for an undersea gas pipeline for the Lula and Cernambi offshore subsalt fields.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150729,LATAM WRAP-Telesites in spotlight as LatAm credits firm ,NEW YORK  July 29 (IFR) - A peso bond from Mexico's Telesites had the market's full attention on Wednesday  injecting some life into the region's moribund primary markets.,normal
POT,Potash Corporation of Saskatchewan Inc,20150729,UPDATE 1-K+S asks German government to fend off takeover-Handelsblatt ,* Nationalisation seen as unlikely   (Adds source on KfW not acting as white knight),topStory
POT,Potash Corporation of Saskatchewan Inc,20150729,K+S asks German government to help fend off takeover-Handelsblatt ,FRANKFURT  July 29 German potash and salt miner K+S has turned to German economy minister Sigmar Gabriel for help against an unwanted takeover approach by Canadian rival Potash Corp  and has discussed the option of German state bank KfW taking a stake in K+S  a newspaper reported on Wednesday.,normal
ROK,Rockwell Automation Inc,20150729,Rockwell Automation revenue drops on strong dollar ,Rockwell Automation Inc   which makes automation systems that help factories run smoothly  reported a 4.5 percent fall in quarterly revenue  hurt by a strong dollar and slowing industrial production growth.,topStory
ROK,Rockwell Automation Inc,20150729,UPDATE 1-Rockwell Automation revenue drops on strong dollar ,July 29 Rockwell Automation Inc  which makes automation systems that help factories run smoothly  reported a 4.5 percent fall in quarterly revenue  hurt by a strong dollar and slowing industrial production growth.,normal
ROK,Rockwell Automation Inc,20150729,Rockwell Automation revenue falls 4.5 pct ,July 29 Rockwell Automation Inc  which makes automation systems that help factories run smoothly  reported a 4.5 percent fall in quarterly revenue  hurt by a strong dollar.,normal
SNY,Sanofi,20150729,BRIEF-Zealand Pharma: Sanofi announces first LixiLan Phase III trial's primary study endpoint ,* Sanofi has announced that the first LixiLan Phase III trial  LixiLan-O  met primary study endpoint,topStory
SNY,Sanofi,20150729,Sanofi's combination diabetes drug hits goal in late-stage trial ,PARIS Sanofi said on Wednesday a first late-stage Phase III study of its LixiLan diabetes drug had met its main target  while another would be completed at the end of the third quarter.,normal
SNY,Sanofi,20150729,Sanofi's combination diabetes drug hits goal in late-stage trial ,PARIS  July 29 Sanofi said on Wednesday a first late-stage Phase III study of its LixiLan diabetes drug had met its main target  while another would be completed at the end of the third quarter.,normal
SKX,Skechers USA Inc,20150729,Skechers sales and earnings beat estimates  shares jump ,Sports shoe maker and retailer Skechers USA Inc  reported a better-than-expected 36 percent rise in quarterly revenue  helped by pent-up demand following the end of labor disruptions at U.S. West Coast ports that had held up imports  as well as increased shipments of back-to-school items.,topStory
SKX,Skechers USA Inc,20150729,REFILE-UPDATE 1-Skechers sales and earnings beat estimates  shares jump ,July 29 Sports shoe maker and retailer Skechers USA Inc reported a better-than-expected 36 percent rise in quarterly revenue  helped by pent-up demand following the end of labor disruptions at U.S. West Coast ports that had held up imports  as well as increased shipments of back-to-school items.,normal
SKX,Skechers USA Inc,20150729,Skechers quarterly revenue jumps 36 pct  shares soar ,July 29 Sports shoe maker Skechers USA Inc  reported a 36 percent rise in quarterly revenue  helped by pent-up demand after the U.S. West Coast port strike and increased shipments of back-to-school items in the United States and international markets.,normal
SPR,Spirit Aerosystems Holdings Inc,20150729,Spirit Aero profit beat  buyback send shares to record high ,Spirit AeroSystems Holdings Inc  reported a better-than-expected quarterly profit and said it would buy back up to $350 million of its stock  indicating that it has finally put years of losses from its Gulfstream business behind it.,topStory
SPR,Spirit Aerosystems Holdings Inc,20150729,UPDATE 2-Spirit Aero profit beat  buyback send shares to record high ,* Shares touch record high of $56.78   (Adds analyst comment  details; updates shares),normal
SPR,Spirit Aerosystems Holdings Inc,20150729,Spirit AeroSystems profit rises 8.4 pct on lower costs ,July 29 Aircraft parts maker Spirit AeroSystems Holdings Inc reported an 8.4 percent rise in quarterly profit as costs fell.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150729,BRIEF-TSMC orders equipment for T$933 million ,July 29 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TI,Telecom Italia SPA,20150729,Telecom Italia inks content deal with Netflix ,MILAN Telecom Italia will offer TV series and movies from Netflix to its clients after a deal the Italian phone group said would help spur demand for faster Internet in the euro zone's No. 3 economy.,topStory
TI,Telecom Italia SPA,20150729,UPDATE 1-Telecom Italia inks deal with Netflix ,MILAN  July 29 Telecom Italia will offer TV series and movies from Netflix to its clients after a deal the Italian phone group said would help spur demand for faster Internet in the euro zone's No. 3 economy.,normal
TI,Telecom Italia SPA,20150729,Telecom Italia inks content deal with Netflix ,MILAN  July 29 Telecom Italia will offer TV series and movies from Netflix to its clients after a deal the Italian phone group said would help spur demand for faster Internet in the euro zone's No. 3 economy.,normal
TI,Telecom Italia SPA,20150729,Vivendi swaps shares to become big holder of Telefonica ,PARIS/MADRID  July 29 European media group Vivendi has become a major shareholder in Spain's Telefonica after agreeing to swap shares in the telecom operator's Brazilian unit for those of the parent company.,normal
VIV,Telefonica Brasil SA,20150729,EMERGING MARKETS-Brazil's real rises; Telefonica lifts Bovespa ,SAO PAULO  July 29 Brazil's currency  the real  rose on Wednesday after five sessions of losses as a recovery in Chinese stocks supported appetite for emerging markets in general  while shares of phone company Telefonica Brasil boosted the Brazilian bourse.     The real strengthened 1.1 percent  leading gains among Latin American currencies  as China managed to stabilize its stock market  providing some relief to emerging markets in general.      Analysts warned that Latin American c,topStory
VIV,Telefonica Brasil SA,20150729,Telefonica Brasil raises outlook for savings from GVT deal ,SAO PAULO  July 29 Telefonica Brasil SA  raised its outlook for potential gains from acquisition of broadband provider GVT to as much as 16.2 billion reais ($4.8 billion)  according to a presentation released on Wednesday.,normal
VIV,Telefonica Brasil SA,20150729,Vivendi swaps shares to become big holder of Telefonica ,PARIS/MADRID  July 29 European media group Vivendi has become a major shareholder in Spain's Telefonica after agreeing to swap shares in the telecom operator's Brazilian unit for those of the parent company.,normal
