VNET,21Vianet Group Inc,20150924,BRIEF-Unisplendour signs MOU with 21Vianet and Microsoft (China) on cloud computing in China ,* Says signs strategic MOU with 21Vianet Group Inc  and Microsoft (China) Co Ltd on cloud computing in China,topStory
NKE,Nike Inc,20150924,Nike sprints ahead as high-margin products sales rise ,Nike Inc  reported a better-than-expected profit for the ninth straight quarter as the world's largest sportswear maker sold more products at higher prices and benefited from increased sales in its owned stores and internet business.,topStory
NKE,Nike Inc,20150924,UPDATE 2-Nike sprints ahead as high-margin products sales rise ,* Shares gain 7.5 pct after the bell   (Adds analyst comment  details; updates shares),normal
NKE,Nike Inc,20150924,Nike profit rises as sales of higher-margin products jump ,Sept 24 Nike Inc  the world's largest sportswear maker  reported a 23 percent rise in quarterly profit as it sold more higher-margin basketball shoes and apparel.,normal
NMR,Nomura Holdings Inc ADR,20150924,Monte dei Paschi closes costly derivative trade with Nomura ,MILAN/TOKYO Monte dei Paschi reached a settlement with Japan's Nomura Holdings to close a loss-making derivative trade  end years of litigation and remove a big financial burden to boost its chances of finding a buyer.,topStory
NMR,Nomura Holdings Inc ADR,20150924,UPDATE 3-Monte dei Paschi closes costly derivative trade with Nomura ,* MPS lifts burden on balance sheet through settlement with Nomura,normal
OCN,Ocwen Financial Corporation,20150924,Mortgage servicer Ocwen to cut U.S. workforce by 10 percent ,Mortgage servicer Ocwen Financial Corp said it would cut 300 jobs  about 10 percent of its U.S. workforce  in Waterloo  Iowa to save costs.,topStory
OCN,Ocwen Financial Corporation,20150924,UPDATE 1-Mortgage servicer Ocwen to cut U.S. workforce by 10 pct ,Sept 24 Mortgage servicer Ocwen Financial Corp  said it would cut 300 jobs  about 10 percent of its U.S. workforce  in Waterloo  Iowa to save costs.,normal
OCN,Ocwen Financial Corporation,20150924,Ocwen to reduce U.S. workforce by 10 percent ,Sept 24 Private mortgage servicer Ocwen Financial Corp said it would cut 300 jobs at its Waterloo  Iowa facility to save costs.,normal
OA,Orbital ATK Inc,20150924,UPDATE 1-Aerojet to pay Orbital $50 million over Antares rocket accident ,CAPE CANAVERAL  Fla. Sept 24 Aerojet Rocketdyne Holdings Inc will pay Orbital ATK $50 million to settle a dispute stemming from an Antares rocket launch accident last year that destroyed a load of cargo bound for the International Space Station  Aerojet said on Thursday.,topStory
OA,Orbital ATK Inc,20150924,Aerojet to pay Orbital $50 million over Antares rocket accident ,Aerojet Rocketdyne Holdings Inc will pay Orbital ATK $50 million to settle a dispute stemming from an Antares rocket launch accident last year that destroyed a load of cargo bound for the International Space Station  Aerojet said on Thursday.,normal
OA,Orbital ATK Inc,20150924,Aerojet to pay Orbital $50 million over Antares rocket accident ,CAPE CANAVERAL  Fla. Sept 24 Aerojet Rocketdyne Holdings Inc will pay Orbital ATK $50 million to settle a dispute stemming from an Antares rocket launch accident last year that destroyed a load of cargo bound for the International Space Station  Aerojet said on Thursday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150924,Former Petrobras executive mentions Transocean in graft probe ,SAO PAULO  Sept 24 Transocean Ltd.  a top offshore drilling company  has been mentioned in testimony in a corruption investigation focused on Brazil's state-run oil firm Petroleo Brasileiro SA  Brazilian court documents showed.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150924,Brazil CDS at highest since crisis as sell-off deepens ,NEW YORK  Sept 24 (IFR) - The gloom hanging over Brazil deepened on Thursday as the ongoing sell-off pushed the sovereign's credit default swaps past 500bp  their highest level since the financial crisis.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150924,Brazil Supreme Court votes to spin off part of corruption probe ,SAO PAULO  Sept 23 Brazil's Supreme Court voted on Wednesday to move part of the country's largest-ever corruption probe to another judge  challenging the notion that all pieces of a case that initially focused on state-run oil firm Petrobras are legally linked.,normal
PRLB,Proto Labs Inc,20150924,BRIEF-Alphaform sells selected assets and operations to Proto Labs ,* Has reached an agreement in principle with Proto Labs  Inc. on key terms and conditions of a sale of selected assets and operations to Proto Labs,topStory
SLB,Schlumberger NV,20150924,UPDATE 1-Schlumberger does not intend to extend agreement to buy stake in Eurasia ,MOSCOW  Sept 24 U.S. company Schlumberger said on Thursday it does not intend to extend the pending agreement to acquire a minority equity interest in Eurasia Drilling once the current extension expires on Sept. 30.,topStory
SLB,Schlumberger NV,20150924,Schlumberger does not intend to extend agreement to buy stake in Eurasia ,MOSCOW  Sept 24 U.S. company Schlumberger said on Thursday it does not intend to extend the pending agreement to acquire a minority equity interest in Eurasia Drilling once the current extension expires on Sept. 30.,normal
SKM,SK Telecom Co Ltd,20150924,SK Telecom says to buy back $438 mln worth of own shares ,SEOUL  Sept 24 South Korean mobile carrier SK Telecom Co Ltd said on Thursday that it will buy back 523 billion won ($438.21 million) worth of its own shares in order to boost shareholder value.,topStory
S,Sprint Corporation,20150924,Sprint could be 'formidable' after merger with cable company  CEO says ,NEW YORK Sprint Corp  could be stronger if merged with a cable company  the U.S wireless company's chief executive said on Thursday  adding that he was not engaged in any such merger talks.,topStory
S,Sprint Corporation,20150924,Sprint unveils $1 plan ahead of new iPhone launch ,Sprint Corp announced a $1 per month plan for Apple Inc's new iPhone  upping the ante in a battle among top U.S. carriers to sign up customers ahead of the phone's launch on Friday.,normal
S,Sprint Corporation,20150924,REFILE-UPDATE 1-Sprint unveils $1 plan ahead of new iPhone launch ,Sept 24 Sprint Corp announced a $1 per month plan for Apple Inc's new iPhone  upping the ante in a battle among top U.S. carriers to sign up customers ahead of the phone's launch on Friday.,normal
S,Sprint Corporation,20150924,Sprint unveils $1 plan for new iPhones ,Sept 24 Sprint Corp announced a $1 per month plan for Apple Inc's new iPhone  upping the ante in a battle among top U.S. carriers to sign up customers ahead of the phone's launch on Friday.,normal
STE,STERIS plc,20150924,U.S. court denies FTC request to stop Steris-Synergy merger ,WASHINGTON A federal court in Ohio refused on Thursday to stop a $1.9 billion purchase by U.S. medical technology provider Steris Corp of British sterilization services provider Synergy Health Plc  despite the objections of U.S. antitrust enforcers.,topStory
STE,STERIS plc,20150924,U.S. court denies FTC request to stop Steris-Synergy merger ,WASHINGTON A federal court in Ohio refused on Thursday to stop a $1.9 billion purchase by U.S. medical technology provider Steris Corp of British sterilization services provider Synergy Health Plc  despite the objections of U.S. antitrust enforcers.,normal
STE,STERIS plc,20150924,UPDATE 2-U.S. court denies FTC request to stop Steris-Synergy merger ,WASHINGTON  Sept 24 A federal court in Ohio refused on Thursday to stop a $1.9 billion purchase by U.S. medical technology provider Steris Corp of British sterilization services provider Synergy Health Plc  despite the objections of U.S. antitrust enforcers.,normal
STE,STERIS plc,20150924,Court denies U.S. request to stop merger of Steris  Synergy Health ,WASHINGTON  Sept 24 A federal court in Ohio refused on Thursday to stop a $1.9 billion merger of medical technology provider Steris Corp and British sterilization services provider Synergy Health Plc  despite the objections of U.S. antitrust enforcers.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150924,Taiwan stocks led up by TSMC  but early gains slip ahead of rate meeting ,TAIPEI  Sept 24 Taiwan shares were higher on Thursday led by TSMC announcing its third quarter revenue would be better than expected and on bargain-hunting after sharp losses in the previous session.,topStory
TGT,Target Corporation,20150924,Target appoints new operations leader to identify customer needs faster ,CHICAGO Target Corp on Thursday appointed Anu Gupta to a newly created operational role that is expected to help the retailer  anticipate customer needs quickly.,topStory
TGT,Target Corporation,20150924,Target appoints new operations leader to identify customer needs faster ,CHICAGO  Sept 24 Target Corp on Thursday appointed Anu Gupta to a newly created operational role that is expected to help the retailer  anticipate customer needs quickly.,normal
TM,Toyota Motor Corp Ltd Ord,20150924,UPDATE 2-Customers  dealers left in the dark on VW scandal ,* Trust in cars intact  not in company - dealer   (Recasts with more dealer comment),normal
TM,Toyota Motor Corp Ltd Ord,20150924,Pacific trade pact negotiators move closer to deal on rules for autos ,Japan  the United States  Mexico and Canada are moving closer to a deal on rules for the automotive industry in a landmark Pacific trade deal  a leading obstacle to agreement on the 12-nation pact  officials briefed on the talks said on Wednesday.`,normal
TRP,TransCanada Corporation,20150924,UPDATE 1-TransCanada says cutting 20 percent of senior management positions ,CALGARY  Alberta  Sept 24 Pipeline company TransCanada Corp will cut 20 percent of its senior management positions as a continuing slump in oil prices has necessitated cost reductions  with further staff cuts possible in the future  a company spokesman said on Thursday.,topStory
UTX,United Technologies Corporation,20150924,EU mergers and takeovers (Sept 24) ,BRUSSELS  Sept 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
VALE,VALE SA,20150924,Brazil's Vale approves Jennifer Maki as base metals head ,RIO DE JANEIRO  Sept 24 Brazilian miner Vale SA  said on Thursday it approved the election of Jennifer Maki as executive director of the company's base metals division.,topStory
WMT,Wal-Mart Stores Inc,20150924,Exclusive: Wal-Mart presses suppliers to share benefits of cheaper yuan ,CHICAGO Wal-Mart Stores Inc  is seeking price cuts from suppliers that produce goods in China  saying the retailer should share in the savings generated by China's devaluation of the yuan  people with knowledge of the matter said.,topStory
WFC,Wells Fargo & Company,20150924,Wells Fargo has biggest energy exposure among large U.S. banks: Raymond James ,Wells Fargo & Co  has the largest exposure to loans to energy companies among major U.S. lenders  a report from Raymond James said  amid concerns that banks may have to set aside more money to cover bad loans to the industry.,topStory
