AMZN,Amazoncom Inc,20150204,Deals of the day- Mergers and acquisitions ,Feb 4 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,topStory
GM,General Motors Company,20150204,UPDATE 2-GM reports higher-than-expected profit despite recall costs ,DETROIT  Feb 4 General Motors Co on Wednesday posted fourth-quarter earnings far above analysts' expectations as strong sales of high-margin SUVs and trucks in North America helped offset record recall costs there  and its shares rose 3 percent.,normal
GM,General Motors Company,20150204,BRIEF-GM CFO: Russia continues to be a headwind in Europe ,DETROIT  Feb 4 General Motors Co :  * CFO says biggest headwind in Q4 in Europe was Russia  expects that country to,normal
GM,General Motors Company,20150204,GM reports much higher-than-expected fourth-quarter profit ,DETROIT  Feb 4 General Motors Co on Wednesday posted fourth-quarter earnings far above analysts' expectations even as recall costs hit North American profit margins.,normal
GSK,GlaxoSmithKline PLC,20150204,GlaxoSmithKline sees better signs for lung drugs after tough 2014 ,LONDON GlaxoSmithKline  has begun rebuilding market share in respiratory medicine  its chief executive said  after weak demand for lung drug Advair hurt fourth-quarter sales and capped a rough year for Britain's top drugmaker. | Video ,topStory
GSK,GlaxoSmithKline PLC,20150204,UPDATE 2-Genmab data seen pointing to blockbuster drug ,COPENHAGEN  Feb 4 Positive results from a trial by biotech company Genmab of its bone marrow cancer treatment could lead to the launch of a blockbuster drug earning $3.5 billion a year  analysts said on Wednesday  sending its shares up by over 10 percent.,normal
GSK,GlaxoSmithKline PLC,20150204,REFILE-GSK sells stake in Denmark's Genmab ,LONDON  Feb 4 GlaxoSmithKline has put its 7.9 percent stake in Danish biotech company Genmab  up for sale to institutional investors  the British drugs giant said on Wednesday.,normal
GSK,GlaxoSmithKline PLC,20150204,GSK sells stake in Denmark's Genmab ,LONDON GlaxoSmithKline  has put its 7.9 percent stake in Danish biotech company Genmab  up for sale to institutional investors  the British drugs giant said on Wednesday.,normal
GSK,GlaxoSmithKline PLC,20150204,GSK sells stake in Denmark's Genmab ,LONDON  Feb 4 GlaxoSmithKline has put its 7.9 percent stake in Danish biotech company Genmab  up for sale to institutional investors  the British drugs giant said on Wednesday.,normal
GSK,GlaxoSmithKline PLC,20150204,UPDATE 2-GlaxoSmithKline sees better signs for lung drugs after tough 2014 ,* Novartis deal on track to close in first half of 2015   (Adds further CEO comment  analyst  updates shares),normal
GSK,GlaxoSmithKline PLC,20150204,GSK gives roadmap for potential 2016 listing of HIV drugs business ,LONDON GlaxoSmithKline  set out a roadmap for a potential 2016 flotation of its HIV medicines business on Wednesday as it hired three leading banks to advise on what would be the drug industry's largest ever initial public share sale.,normal
GSK,GlaxoSmithKline PLC,20150204,UPDATE 1-GSK gives roadmap for potential 2016 listing of HIV drugs business ,* Two new HIV drugs performing better than expected   (Recasts with GSK CEO comments),normal
GSK,GlaxoSmithKline PLC,20150204,BRIEF-GlaxoSmithKline CEO says any ViiV IPO likely to be 2016 event ,Feb 4 GlaxoSmithKline Plc CEO Andrew Witty tells reporters:  * CEO says any ViiV IPO likely to be 2016 event  * CEO says globally scaled businesses post-Novartis deal will have more options  * CEO says not giving any guidance for 2016 dividend  * CEO says share of new respiratory patients in Japan  U.S. has started to go,normal
GSK,GlaxoSmithKline PLC,20150204,GlaxoSmithKline sees better signs for lung drugs after tough 2014 ,LONDON  Feb 4 GlaxoSmithKline said on Wednesday it expected to start to regain market share in respiratory medicine after weak demand for lung drug Advair again hurt fourth-quarter sales  capping a rough year for Britain's top drugmaker.,normal
GS,Goldman Sachs Group Inc (The),20150204,UPDATE 1-GSK gives roadmap for potential 2016 listing of HIV drugs business ,* Two new HIV drugs performing better than expected   (Recasts with GSK CEO comments),topStory
HAL,Halliburton Company,20150204,Many oil firms plan no North Dakota layoffs despite cheap oil ,WILLISTON  N.D. Halliburton  Statoil ASA  Hess Corp and other North Dakota energy companies have decided  for now  not to lay off staff in the No. 2 U.S. oil producing state  hoping to be prepared for any prolonged rebound in crude prices.,topStory
HAL,Halliburton Company,20150204,Many oil firms plan no North Dakota layoffs despite cheap oil ,WILLISTON  N.D.  Feb 4 Halliburton  Statoil ASA  Hess Corp and other North Dakota energy companies have decided  for now  not to lay off staff in the No. 2 U.S. oil producing state  hoping to be prepared for any prolonged rebound in crude prices.,normal
HDB,HDFC Bank Limited,20150204,HDFC Bank launches U.S. and Indian share offers to raise up to $1.6 billion ,MUMBAI HDFC Bank Ltd   India's largest lender by market value  launched a share offer in the United States and India on Wednesday to raise up to $1.6 billion.,topStory
HDB,HDFC Bank Limited,20150204,UPDATE 1-HDFC Bank launches US and Indian share offers to raise up to $1.6 bln ,MUMBAI  Feb 4 HDFC Bank Ltd  India's largest lender by market value  launched a share offer in the United States and India on Wednesday to raise up to $1.6 billion.,normal
HDB,HDFC Bank Limited,20150204,HDFC Bank raising up to $324 mln from share sale to Indian investors ,MUMBAI  Feb 4 India's HDFC Bank Ltd  the largest lender by market capitalisation  is raising as much as 20 billion rupees ($324 million) by selling shares to domestic portfolio investors  according to a term sheet seen by Reuters on Wednesday.,normal
HLF,Herbalife LTD,20150204,Exclusive: Ackman poised to win Zoetis board seats - sources ,Hedge fund Pershing Square Capital Management is pressing for seats on animal health company Zoetis Inc's board of directors  with an eye to pushing through cost cuts and a possible merger  according to sources familiar with the negotiations.,topStory
HES,Hess Corporation,20150204,Many oil firms plan no North Dakota layoffs despite cheap oil ,WILLISTON  N.D. Halliburton  Statoil ASA  Hess Corp and other North Dakota energy companies have decided  for now  not to lay off staff in the No. 2 U.S. oil producing state  hoping to be prepared for any prolonged rebound in crude prices.,topStory
HES,Hess Corporation,20150204,Many oil firms plan no North Dakota layoffs despite cheap oil ,WILLISTON  N.D.  Feb 4 Halliburton  Statoil ASA  Hess Corp and other North Dakota energy companies have decided  for now  not to lay off staff in the No. 2 U.S. oil producing state  hoping to be prepared for any prolonged rebound in crude prices.,normal
HUM,Humana Inc,20150204,Humana profit misses but shares rise on 2015 outlook ,U.S. health insurer Humana Inc  reported a lower-than- expected fourth-quarter profit as it spent more on new hepatitis C treatments and flu season expenses increased  but it said those and other costs are behind it and predicted a better 2015.,topStory
HUM,Humana Inc,20150204,UPDATE 2-Humana profit misses but shares rise on 2015 outlook ,Feb 4 U.S. health insurer Humana Inc  reported a lower-than- expected fourth-quarter profit as it spent more on new hepatitis C treatments and flu season expenses increased  but it said those and other costs are behind it and predicted a better 2015.,normal
HUM,Humana Inc,20150204,Health insurer Humana reports pretax profit ,Feb  4U.S. health insurer Humana Inc  posted a pretax profit for the fourth quarter  compared with a loss a year earlier  reflecting a rise in individual Medicare Advantage memberships.,normal
ITUB,Itau Unibanco Banco Holding SA,20150204,Itaú Unibanco's succession plan to start in April  CEO says ,SAO PAULO  Feb 4 Itaú Unibanco Holding SA  plans to begin the implementation of a plan to succeed Chief Executive Officer Roberto Setubal in April  when the new top executives of the retail and wholesale banking units will be announced  he said on Wednesday.,topStory
SJM,JM Smucker Company (The),20150204,Breakingviews: Smucker deal may keep activists in Kibbles 'n Bits ,CHICAGO (Reuters Breakingviews) - J M Smucker's $5.8 billion purchase of Big Heart Pet Brands may keep investor activists in Kibbles 'n Bits. The $11 billion owner of Folgers coffee  Jif peanut butter and eponymous fruit spreads should gain bargaining power with retailers by bundling human treats with dog food. But the odd combination may elicit a Pavlovian response from uppity shareholders.,topStory
SJM,JM Smucker Company (The),20150204,J M Smucker to buy Meow Mix owner in pet food push ,J M Smucker Co has agreed to buy Big Heart Pet Brands for $3.2 billion  snapping up the popular Meow Mix and Milk-Bone brands in its first venture into the fast-growing U.S. pet food market.,normal
SJM,JM Smucker Company (The),20150204,J M Smucker to buy Meow Mix owner in pet food push ,J M Smucker Co  has agreed to buy Big Heart Pet Brands for $3.2 billion  snapping up the popular Meow Mix and Milk-Bone brands in its first venture into the fast-growing U.S. pet food market.,normal
SJM,JM Smucker Company (The),20150204,UPDATE 3-J M Smucker to buy Meow Mix owner in pet food push ,* Total deal value of about $5.8 bln  including $2.6 bln debt,normal
PHG,Koninklijke Philips NV,20150204,Osram CEO says no sense in splitting up company ,FRANKFURT  Feb 4 German light maker Osram  has no plans to split itself up in the way that Dutch rival Philips is dividing its lighting business in two  its chief executive said on Wednesday.,topStory
LUK,Leucadia National Corporation,20150204,Jefferies CEO Richard Handler turns down bonus ,Richard Handler  the chief executive of Leucadia National Corp  parent of investment bank Jefferies Group LLC  turned down his bonus for the previous year  which was dogged by lackluster performance.,topStory
LUK,Leucadia National Corporation,20150204,Jefferies CEO Richard Handler turns down bonus ,Feb 4 Richard Handler  the chief executive of Leucadia National Corp  parent of investment bank Jefferies Group LLC  turned down his bonus for the previous year  which was dogged by lackluster performance.,normal
LMT,Lockheed Martin Corporation,20150204,Lockheed CTO Ray Johnson retires ,WASHINGTON Lockheed Martin Corp Chief Technology Officer Ray Johnson retired on Feb. 1  a company spokeswoman told Reuters on Wednesday.,topStory
LMT,Lockheed Martin Corporation,20150204,Lockheed CTO Ray Johnson retires ,WASHINGTON  Feb 4 Lockheed Martin Corp  Chief Technology Officer Ray Johnson retired on Feb. 1  a company spokeswoman told Reuters on Wednesday.,normal
MFC,Manulife Financial Corp,20150204,UPDATE 1-AIA  Pru among bidders for DBS's $1.5 bln distribution deal-sources ,* Deal allows insurers to sell through DBS branches   (Adds details of other bidders  background on bancassurance),topStory
MFC,Manulife Financial Corp,20150204,AIA  Pru bidding for DBS's $1.5 bln distribution deal-sources ,HONG KONG  Feb 4 AIA Group Ltd  Prudential plc and Manulife Financial Corp have been shortlisted to become the insurance partner of Singapore's DBS in a bank distribution deal worth around $1.5 billion  people familiar with the matter said.,normal
MPC,Marathon Petroleum Corporation,20150204,Two states looking at Tesoro's and Marathon's strike plans ,NEW YORK Tesoro Corp  and Marathon Petroleum Corp's  contingency plans to employ replacement workers at two of their refineries after union employees hit the picket lines are under scrutiny by inspectors in both Kentucky and California  officials of the two states said Wednesday.,topStory
MPC,Marathon Petroleum Corporation,20150204,UPDATE 1-Marathon defers decision on Garyville  La. refinery oil upgrader ,Feb 4 Marathon Petroleum Corp said it was deferring a final investment decision on its residual oil upgrader expansion (ROUX) project at its 522 000-barrel-per-day Garyville  Louisiana  refinery.,normal
MCD,McDonald&#39;s Corporation,20150204,McDonald's Japan set for more earnings pain after food safety scandals ,TOKYO The Japanese unit of McDonald's Corp  is likely to post a second straight year of losses in 2015 as it grapples with the fallout from food safety scandals and a french fry shortage  exacerbating headaches for a global brand struggling to appeal to consumers.,topStory
MCD,McDonald&#39;s Corporation,20150204,McDonald's Japan set for more earnings pain after food safety scandals ,TOKYO  Feb 5 The Japanese unit of McDonald's Corp is likely to post a second straight year of losses in 2015 as it grapples with the fallout from food safety scandals and a french fry shortage  exacerbating headaches for a global brand struggling to appeal to consumers.,normal
MRK,Merck & Company Inc,20150204,US STOCKS-Wall St ends lower with oil prices  renewed Greece worries ,* Indexes: Dow up 0.04 pct  S&P down 0.4 pct  Nasdaq down 0.2 pct   (Updates to close),topStory
MRK,Merck & Company Inc,20150204,Merck says hepatitis C treatment to lose "breakthrough" status ,Merck & Co on Wednesday said U.S. regulators intend to rescind the "breakthrough therapy" designation for its  combination treatment for hepatitis C because other new drugs are available  a decision that could delay approval of the Merck product by several months.,normal
MRK,Merck & Company Inc,20150204,US STOCKS-S&P  Nasdaq slip after 2-day run up; energy drops with oil ,* Indexes: Dow up 0.1 pct  S&P off 0.3 pct  Nasdaq down 0.1 pct   (Updates to afternoon),normal
MRK,Merck & Company Inc,20150204,UPDATE 3-Merck says hepatitis C treatment to lose "breakthrough" status ,Feb 4 Merck & Co on Wednesday said U.S. regulators intend to rescind the "breakthrough therapy" designation for its  combination treatment for hepatitis C because other new drugs are available  a decision that could delay approval of the Merck product by several months.,normal
MRK,Merck & Company Inc,20150204,US STOCKS-S&P  Nasdaq down after 2-day run up; biotechs  energy fall ,* Indexes: Dow up 0.1 pct  S&P off 0.4 pct  Nasdaq down 0.2 pct   (Updates to midday  changes byline),normal
MRK,Merck & Company Inc,20150204,US STOCKS-Wall St dips after 2-day run as energy rally stalls ,* Indexes: Dow up 0.16 pct  S&P off 0.22 pct  Nasdaq 0.31 pct   (Adds ISM services data),normal
MRK,Merck & Company Inc,20150204,US STOCKS-Wall St down after 2-day run after ADP as energy drags ,* Indexes off: Dow 0.2 pct  S&P 0.47 pct  Nasdaq 0.59 pct   (Updates to market open),normal
MRK,Merck & Company Inc,20150204,US STOCKS-Wall St to open lower after 2-day run  ADP data ,* Futures off: Dow 18 pts  S&P 6.25 pts  Nasdaq 14.5 pts   (Adds ADP data  quote),normal
MRK,Merck & Company Inc,20150204,Merck issues cautious 2015 forecast  citing dollar ,Feb 4 Merck & Co on Wednesday reported slightly disappointing fourth quarter sales and predicted 2015 earnings below analyst forecasts  citing the negative impact of the stronger dollar  as most of its U.S. rivals have done in making their own cautious forecasts.,normal
MTU,Mitsubishi UFJ Financial Group Inc,20150204,GLOBAL MARKETS-Dollar rebounds after slide  oil slumps 7 pct ,NEW YORK  Feb 4 The U.S. dollar rebounded on Wednesday from its worst day in more than a year  while a retreat in oil prices pressured energy shares and weighed on Wall Street.,normal
MS,Morgan Stanley,20150204,UPDATE 1-GSK gives roadmap for potential 2016 listing of HIV drugs business ,* Two new HIV drugs performing better than expected   (Recasts with GSK CEO comments),topStory
MSI,Motorola Solutions Inc,20150204,Motorola Solutions revenue  forecast beat on strong N. America sales ,Motorola Solutions Inc   a maker of walkie-talkies and radio systems  reported better-than-expected quarterly revenue and forecast a smaller-than-expected fall in sales in the current quarter  helped by increasing demand in North America.,topStory
MSI,Motorola Solutions Inc,20150204,UPDATE 1-Motorola Solutions revenue  forecast beat on strong N. America sales ,Feb 4 Motorola Solutions Inc  a maker of walkie-talkies and radio systems  reported better-than-expected quarterly revenue and forecast a smaller-than-expected fall in sales in the current quarter  helped by increasing demand in North America.,normal
MSI,Motorola Solutions Inc,20150204,Motorola Solutions profit beats estimates on lower expenses ,Feb 4 Motorola Solutions Inc  a maker of walkie-talkies and radio systems  reported a better-than-expected quarterly profit  helped by lower operating expenses.,normal
ORAN,Orange,20150204,Deals of the day- Mergers and acquisitions ,Feb 4 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,topStory
ORAN,Orange,20150204,Orange eyes Bharti's African assets to create "Orange Africa" -Bloomberg ,Feb 4 French telecoms group Orange has explored purchasing some assets in Africa including ones owned by India's top mobile phone carrier Bharti Airtel  as the company seeks to strengthen its business in Africa  Bloomberg reported  citing people familiar with the matter.,normal
ORAN,Orange,20150204,BT finalizes deal to buy EE: source ,LONDON BT  has reached agreement with Orange  and Deutsche Telekom ‎ to buy their UK mobile network operator EE and a deal could be announced as early as Thursday morning  a person familiar with the situation said.,normal
ORAN,Orange,20150204,UPDATE 1-BT finalises deal to buy EE  -source ,LONDON  Feb 4 BT has reached agreement with Orange and Deutsche Telekom  to buy their UK mobile network operator EE and a deal could be announced as early as Thursday morning  a person familiar with the situation said.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150204,Petrobras management quits  race on to find replacements ,RIO DE JANEIRO The chief executive and other senior management at Brazil's Petrobras resigned on Wednesday amid a festering corruption scandal  setting off a scramble to find replacements capable of restoring investor confidence in the state-run oil company. | Video ,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150204,Petrobras changes to take time  even with new CEO ,RIO DE JANEIRO Investors betting that a long-awaited management change at Brazil's Petrobras will result in a swift rebound of the state-run oil company's fortunes are likely to be disappointed.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150204,UPDATE 1-Petrobras changes to take time  even with new CEO ,RIO DE JANEIRO  Feb 4 Investors betting that a long-awaited management change at Brazil's Petrobras  will result in a swift rebound of the state-run oil company's fortunes are likely to be disappointed.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150204,UPDATE 5-Petrobras management quits  race on to find replacements ,RIO DE JANEIRO  Feb 4 The chief executive and other senior management at Brazil's Petrobras  resigned on Wednesday amid a festering corruption scandal  setting off a scramble to find replacements capable of restoring investor confidence in the state-run oil company.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150204,EMERGING MARKETS-Petrobras shares seesaw as CEO resigns  Bovespa drops ,By Walter Brandimarte     RIO DE JANEIRO  Feb 4 Shares of Brazil's state-run oil company Petrobras seesawed on  Wednesday after its chief executive and other top executives resigned amid a massive corruption scandal  fueling uncertainty about the future of the firm's management.     The volatility in Petrobras' shares reflected on Brazil's benchmark Bovespa index  which posted losses as falling oil and commodities prices also weighed on shares of miner Vale SA.     Other Latin Americ,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150204,Petrobras CEO Foster and five other top executives resign ,RIO DE JANEIRO  Feb 4 Maria das Graças Foster  chief executive officer of state-run oil company Petroleo Brasileiro SA  and five other senior executives resigned on Wednesday  according to a filing with Brazil's securities regulator.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150204,Brazil's Rousseff replacing Petrobras CEO - source ,BRASILIA Brazilian President Dilma Rousseff will replace the chief executive and other senior managers at state-run oil company Petrobras this month in an effort to turn the page on a widening corruption scandal  a government source said on Tuesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150204,Brazil sovereign debt sales on hold amid Petrobras scandal: source ,BRASILIA Brazil's government is putting global bond sales on hold due to a widening corruption scandal at state-run oil company Petrobras  a member of President Dilma Rousseff's economic team said on Tuesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150204,UPDATE 6-Brazil's Rousseff replacing Petrobras CEO -source ,BRASILIA  Feb 3 Brazilian President Dilma Rousseff will replace the chief executive and other senior managers at state-run oil company Petrobras this month in an effort to turn the page on a widening corruption scandal  a government source said on Tuesday.,normal
PG,Procter & Gamble Company (The),20150204,UPDATE 3-J M Smucker to buy Meow Mix owner in pet food push ,* Total deal value of about $5.8 bln  including $2.6 bln debt,normal
PFK,Prudential Financial Inc,20150204,Prudential misses estimates on higher costs  stronger dollar ,Prudential Financial Inc  reported a lower-than-expected quarterly adjusted profit as expenses rose and the life insurer booked losses stemming mainly from a weaker Japanese yen.,topStory
PFK,Prudential Financial Inc,20150204,Prudential Financial's quarterly net loss widens ,Feb 4 Life insurer Prudential Financial Inc's  quarterly net loss widened  due partly to losses related to the dollar's strength against the Japanese yen.,normal
PJH,Prudential Financial Inc,20150204,Prudential misses estimates on higher costs  stronger dollar ,Prudential Financial Inc  reported a lower-than-expected quarterly adjusted profit as expenses rose and the life insurer booked losses stemming mainly from a weaker Japanese yen.,topStory
PJH,Prudential Financial Inc,20150204,Prudential Financial's quarterly net loss widens ,Feb 4 Life insurer Prudential Financial Inc's  quarterly net loss widened  due partly to losses related to the dollar's strength against the Japanese yen.,normal
PRH,Prudential Financial Inc,20150204,Prudential misses estimates on higher costs  stronger dollar ,Prudential Financial Inc  reported a lower-than-expected quarterly adjusted profit as expenses rose and the life insurer booked losses stemming mainly from a weaker Japanese yen.,topStory
PRH,Prudential Financial Inc,20150204,Prudential Financial's quarterly net loss widens ,Feb 4 Life insurer Prudential Financial Inc's  quarterly net loss widened  due partly to losses related to the dollar's strength against the Japanese yen.,normal
PRU,Prudential Financial Inc,20150204,Prudential misses estimates on higher costs  stronger dollar ,Prudential Financial Inc  reported a lower-than-expected quarterly adjusted profit as expenses rose and the life insurer booked losses stemming mainly from a weaker Japanese yen.,topStory
PRU,Prudential Financial Inc,20150204,Prudential Financial's quarterly net loss widens ,Feb 4 Life insurer Prudential Financial Inc's  quarterly net loss widened  due partly to losses related to the dollar's strength against the Japanese yen.,normal
PUK,Prudential Public Limited Company,20150204,UPDATE 1-AIA  Pru among bidders for DBS's $1.5 bln distribution deal-sources ,* Deal allows insurers to sell through DBS branches   (Adds details of other bidders  background on bancassurance),topStory
PUK,Prudential Public Limited Company,20150204,AIA  Pru bidding for DBS's $1.5 bln distribution deal-sources ,HONG KONG  Feb 4 AIA Group Ltd  Prudential plc and Manulife Financial Corp have been shortlisted to become the insurance partner of Singapore's DBS in a bank distribution deal worth around $1.5 billion  people familiar with the matter said.,normal
RL,Ralph Lauren Corporation,20150204,Ralph Lauren cuts full-year revenue growth forecast again ,Luxury fashion house Ralph Lauren Corp  cut its full-year revenue growth forecast for the second time in less than four months  blaming a strong dollar and weak consumer spending.,topStory
RL,Ralph Lauren Corporation,20150204,UPDATE 1-Ralph Lauren cuts full-year revenue growth forecast again ,Feb 4 Luxury fashion house Ralph Lauren Corp  cut its full-year revenue growth forecast for the second time in less than four months  blaming a strong dollar and weak consumer spending.,normal
RL,Ralph Lauren Corporation,20150204,Ralph Lauren's quarterly profit falls 9.3 pct ,Feb 4 Ralph Lauren Corp reported a 9.3 percent drop in quarterly profit  hurt by a stronger dollar and lower-than-expected sales  sending its shares down 9.7 percent in premarket trading.,normal
SLB,Schlumberger NV,20150204,Many oil firms plan no North Dakota layoffs despite cheap oil ,WILLISTON  N.D.  Feb 4 Halliburton  Statoil ASA  Hess Corp and other North Dakota energy companies have decided  for now  not to lay off staff in the No. 2 U.S. oil producing state  hoping to be prepared for any prolonged rebound in crude prices.,normal
SNE,Sony Corp Ord,20150204,Sony trims loss forecast after strong third quarter on higher sensor sales ,TOKYO Japan's Sony Corp  said its net annual loss will likely be smaller than previously forecast after cost cuts and strong sales of its image sensors and PlayStation video game consoles helped its third-quarter profit beat estimates. | Video ,topStory
SNE,Sony Corp Ord,20150204,UPDATE 2-Sony trims loss forecast after strong Q3 on higher sensor sales ,* CEO due to outline new business plan Feb. 18   (Adds CFO comments  details from statement),normal
SNE,Sony Corp Ord,20150204,BRIEF-Sony says CEO Hirai to present new business strategy Feb 18 ,* Says CEO Hirai to present new business strategy Feb 18  Further company coverage:    (Reporting by Ritsuko Ando),normal
SNE,Sony Corp Ord,20150204,Sony trims 2014 net loss forecast  preliminary Q3 profit beats estimates ,TOKYO  Feb 4 Japan's Sony Corp said its net loss for 2014 was likely less than previously forecast as cost cuts and higher-than-expected sales of its image sensors and PlayStation video game consoles helped lift its third-quarter profit.,normal
SNE,Sony Corp Ord,20150204,BRIEF-Sony estimates Q3 operating profit 178.3 bln yen ,* estimates Q3 net profit 89 billion yen  Further company coverage:    (Reporting by Tokyo Newsroom),normal
SNE,Sony Corp Ord,20150204,BRIEF-Sony sales  currency rate forecasts ,* Says it expects to sell 39.2 million smartphones in FY2015/3 versus prev f'cast of 41 million,normal
SNE,Sony Corp Ord,20150204,TABLE-Sony -2014/15 group forecast(SEC) ,Feb 4 (Reuters) -               Sony Corp                    CONSOLIDATED EARNINGS ESTIMATES   (in billions of yen unless specified)                                          Full Year to      Full Year to                     Mar 31  2015      Mar 31  2015                          LATEST           PREVIOUS                           FORECAST          FORECAST        Sales&Rev      8.00 trln         7.80 trln       Operating            20.00          loss 40.00       PreTax             loss 5.0,normal
BID,Sotheby&#39;s,20150204,Christie's bites back with surrealism after Sotheby's London record ,LONDON  Feb 4 Auctioneers Christie's staked out its share of a buoyant art market on Wednesday with a barrage of surrealist works  a day after fierce rival Sotheby's set a London auction sale record.,topStory
SCCO,Southern Copper Corporation,20150204,Southern Copper net profit falls 14 pct in fourth quarter ,LIMA  Feb 4 Southern Copper Corp   said on Wednesday that quarterly net income fell 14.3 percent as sales slipped on lower metal prices.,topStory
STO,Statoil ASA,20150204,UPDATE 2-Statoil persuades group veteran Saetre to become permanent CEO ,* Could retire in three years   (Adds analyst  quotes  details),topStory
STO,Statoil ASA,20150204,Many oil firms plan no North Dakota layoffs despite cheap oil ,WILLISTON  N.D. Halliburton  Statoil ASA  Hess Corp and other North Dakota energy companies have decided  for now  not to lay off staff in the No. 2 U.S. oil producing state  hoping to be prepared for any prolonged rebound in crude prices.,normal
STO,Statoil ASA,20150204,Many oil firms plan no North Dakota layoffs despite cheap oil ,WILLISTON  N.D.  Feb 4 Halliburton  Statoil ASA  Hess Corp and other North Dakota energy companies have decided  for now  not to lay off staff in the No. 2 U.S. oil producing state  hoping to be prepared for any prolonged rebound in crude prices.,normal
STO,Statoil ASA,20150204,NORDIC STOCKS - Factors to watch on Feb 4 ,HELSINKI  Feb 4 The following stocks may be affected by newspaper reports and other factors on Wednesday:,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20150204,INDONESIA PRESS-Bank Sumitomo Mitsui Indonesia issues 1 trillion rph medium-term notes-Kontan ,Lender PT Bank Sumitomo Mitsui Indonesia  a unit of Japan's Sumitomo Mitsui Financial Group Inc  issued 1 trillion rupiah ($79.4 million) worth medium-term notes of three-year tenure on Feb. 3  the Kontan newspaper reported  citing a company statement.,topStory
SU,Suncor Energy  Inc,20150204,CANADA STOCKS-TSX weakens as rally in oil shares stalls ,TORONTO  Feb 4 Canada's main stock index fell on Wednesday  pulled down by a drop in oil and gas shares after a report showing a jump in U.S. crude inventories weighed on oil prices.,topStory
SU,Suncor Energy  Inc,20150204,CANADA STOCKS-TSX declines as energy sector eases after rally ,TORONTO  Feb 4 Canada's main stock index fell on Wednesday as signs of increasing U.S. crude inventories put pressure on the price of oil and shares of energy companies.,normal
DATA,Tableau Software Inc,20150204,UPDATE 2-Data analysis software maker Tableau's revenue forecast tops Street ,Feb 4 Tableau Software Inc forecast better-than-expected revenue forecast for the full year after reporting a quarterly profit that blew past Wall Street estimates  helped by strong demand for its data analytics products from businesses.,topStory
DATA,Tableau Software Inc,20150204,Software maker Tableau's revenue trumps estimates ,Tableau Software Inc reported a better-than-expected 75 percent rise in quarterly revenue  helped by strong demand for its data analytics products from businesses.,normal
TI,Telecom Italia SPA,20150204,Telecom Italia investor Findim cut stake to 1.989 pct ,MILAN  Feb 4 Telecom Italia's investor Findim said on Wednesday it had cut its stake in the Italian phone company to 1.989 percent of the voting capital.,topStory
TI,Telecom Italia SPA,20150204,Telecom Italia awaits Brazil's green light to start M&A talks: sources ,MILAN Italian phone group Telecom Italia  will wait for a green light from the Brazilian government before starting talks to acquire local rival Oi   two people with knowledge of the matter told Reuters.,normal
TI,Telecom Italia SPA,20150204,Telecom Italia awaits Brazil's green light to start M&A talks - sources ,MILAN  Feb 4 Italian phone group Telecom Italia  will wait for a green light from the Brazilian government before starting talks to acquire local rival Oi   two people with knowledge of the matter told Reuters.,normal
TEF,Telefonica SA,20150204,BT finalizes deal to buy EE: source ,LONDON BT  has reached agreement with Orange  and Deutsche Telekom ‎ to buy their UK mobile network operator EE and a deal could be announced as early as Thursday morning  a person familiar with the situation said.,topStory
TEF,Telefonica SA,20150204,BRIEF-Spain's Telefonica grants Tecnocom 10.5 mln euro IT contract ,* Says grants Tecnocom two-year information technology contract worth over 10.5 million euros ($12.01 million)   Further company coverage:  ($1 = 0.8740 euros)   (Reporting By Paul Day; Editing by Tomas Cobos),normal
TOT,Total SA,20150204,Exclusive: Total preparing for sale or listing of $4.6 billion rubber unit Hutchinson - sources ,FRANKFURT/LONDON Europe's second-biggest oil company Total  is preparing for the sale or listing of its rubber and insulation unit Hutchinson that could be worth up to 4 billion euros ($4.6 billion)  sources told Reuters.,topStory
TOT,Total SA,20150204,Total says informed of attack at Libyan oilfield ,PARIS French oil company Total said on Wednesday it had been informed of an armed attack at the al-Mabrook oilfield in Libya this week and that it had no company personnel at the site.,normal
TOT,Total SA,20150204,Total says informed of attack at Libyan oilfield ,PARIS  Feb 4 French oil company Total  said on Wednesday it had been informed of an armed attack at the al-Mabrook oilfield in Libya this week and that it had no company personnel at the site.,normal
TM,Toyota Motor Corp Ltd Ord,20150204,Carmakers eye engineering firm  ex-regulator for Takata airbag probe ,DETROIT A consortium of 10 automakers led by Toyota Motor Corp plans to hire an independent engineering firm and a former top U.S. auto safety regulator to investigate a rash of problems with air bags supplied by Japan's Takata Corp   the group said on  Wednesday.,topStory
