AMZN,Amazoncom Inc,20150527,Amazon's Europe changes to boost tax bill  add secrecy ,LONDON  May 26 Amazon's decision to change its tax-efficient European business structure could raise its tax bill by as much as $100 million a year but authorities will have to fight for additional money and any payments will be hidden from public view.,topStory
HAL,Halliburton Company,20150527,Nigerian oil union says Halliburton strike is over ,ABUJA Local Nigerian staff at U.S. oil services company Halliburton have ended a nationwide strike over job cuts  a spokesman for one of two oil unions involved in the dispute said on Wednesday.,topStory
HAL,Halliburton Company,20150527,Nigerian oil union says Halliburton strike is over ,ABUJA  May 27 Local Nigerian staff at U.S. oil services company Halliburton have ended a nationwide strike over job cuts  a spokesman for one of two oil unions involved in the dispute said on Wednesday.,normal
HPQ,HP Inc,20150527,BRIEF-NTT System to distribute HP brand consumer goods in Poland ,* Signed a partnership agreement with Hewlett-Packard BV Amsterdam  Meyrin Branch  based in Geneva  Switzerland,topStory
JPM,J P Morgan Chase & Co,20150527,U.S. seeks JPMorgan communications with China's Quishan in hiring probe: WSJ ,WASHINGTON U.S. regulators have subpoenaed JPMorgan Chase & Co  for all of its communications related to 35 Chinese officials  including anti-corruption chief Wang Qishan  as part of an ongoing probe into the bank's hiring practices  the Wall Street Journal reported on Wednesday.,topStory
JPM,J P Morgan Chase & Co,20150527,JPMorgan CEO faults company and shareholders for disagreements ,NEW YORK JPMorgan Chase & Co  officials have not done enough to show how well the company is run  Chairman and CEO Jamie Dimon said on Wednesday  after one-third of shareholders disapproved last week of his pay and the practice of one person holding his two jobs.,normal
JPM,J P Morgan Chase & Co,20150527,JPMorgan CEO faults company and shareholders for disagreements ,NEW YORK  May 27 JPMorgan Chase & Co  officials have not done enough to show how well the company is run  Chairman and CEO Jamie Dimon said on Wednesday  after one-third of shareholders disapproved last week of his pay and the practice of one person holding his two jobs.,normal
JPM,J P Morgan Chase & Co,20150527,US seeks JPMorgan communications with China's Quishan in hiring probe -WSJ ,WASHINGTON  May 27 U.S. regulators have subpoenaed JPMorgan Chase & Co for all of its communications related to 35 Chinese officials  including anti-corruption chief Wang Qishan  as part of an ongoing probe into the bank's hiring practices  the Wall Street Journal reported on Wednesday.,normal
JNJ,Johnson & Johnson,20150527,FBI probing what J&J knew about uterine surgery device: WSJ ,The Federal Bureau of Investigation is probing a surgical tool found to spread uterine cancer and what Johnson & Johnson knew about its risks before withdrawing its version of the device last year  the Wall Street Journal reported.,topStory
JNJ,Johnson & Johnson,20150527,UPDATE 1-FBI probing what J&J knew about uterine surgery device - WSJ ,May 27 The Federal Bureau of Investigation is probing a surgical tool found to spread uterine cancer and what Johnson & Johnson knew about its risks before withdrawing its version of the device last year  the Wall Street Journal reported.,normal
K,Kellogg Company,20150527,Biscuit maker Bisco Misr approves delisting from Egyptian exchange ,CAIRO  May 27 The board of Egyptian biscuit maker Bisco Misr has approved a voluntary delisting from the Egyptian stock exchange as requested by controlling shareholder U.S. company Kellogg  the company said on Wednesday.,topStory
PHG,Koninklijke Philips NV,20150527,Go Scale to fund Philips lighting components buy with $1.93 billion in debt ,AMSTERDAM Go Scale  the investment fund that is purchasing Philips' lighting components unit Lumileds  said on Wednesday it would fund the acquisition in part by raising $1.93 billion (1.77 billion euros) in debt.,topStory
PHG,Koninklijke Philips NV,20150527,UPDATE 1-Go Scale to fund Philips lighting components buy with $1.93 bln in debt ,AMSTERDAM  May 27 Go Scale  the investment fund that is purchasing Philips' lighting components unit Lumileds  said on Wednesday it would fund the acquisition in part by raising $1.93 billion (1.77 billion euros) in debt.,normal
PHG,Koninklijke Philips NV,20150527,Go Scale to fund Philips lighting components buy with $1.93 bln in debt ,AMSTERDAM  May 27 Go Scale  the investment fund that is purchasing Philips' lighting components unit Lumileds  said on Wednesday it would fund the acquisition in part by raising $1.93 billion (1.77 billion euros) in debt.,normal
MCD,McDonald&#39;s Corporation,20150527,McDonald's calls FIFA situation 'extremely concerning' ,NEW YORK McDonald's Corp  a World Cup sponsor  said on Wednesday that it found the U.S. Department of Justice's indictment of senior officials at soccer's governing body FIFA "extremely concerning.",topStory
MCD,McDonald&#39;s Corporation,20150527,McDonald's calls FIFA situation 'extremely concerning' ,NEW YORK  May 27 McDonald's Corp  a World Cup sponsor  said on Wednesday that it found the U.S. Department of Justice's indictment of senior officials at soccer's governing body FIFA "extremely concerning.",normal
MCD,McDonald&#39;s Corporation,20150527,McDonald's to stop reporting monthly same-store sales after June ,McDonald's Corp  said it will stop reporting monthly same-store sales after June  becoming the latest major U.S. retailer to stop reporting the closely watched indicator to gauge overall spending trends and a company's financial health.,normal
MCD,McDonald&#39;s Corporation,20150527,UPDATE 2-McDonald's to stop reporting monthly same-store sales after June ,* Shares off 0.4 pct in morning trading   (Adds background  updates shares),normal
MCD,McDonald&#39;s Corporation,20150527,McDonald's to stop reporting monthly same-store sales-Bloomberg ,May 27 McDonald's Corp will stop reporting monthly same-store sales after June  Bloomberg reported  citing an email from the retailer.,normal
MRK,Merck & Company Inc,20150527,Merck offers EU concessions over $17 bln Sigma-Aldrich buy ,BRUSSELS  May 27 German drugmaker Merck  has offered concessions in a bid to convince European Union antitrust regulators to clear its proposed $17 billion acquisition of U.S. peer Sigma-Aldrich Corp.,topStory
KORS,Michael Kors Holdings Limited,20150527,Tech  healthcare lead Wall St. higher; Nasdaq hits record ,U.S. stocks ended sharply higher on Wednesday and the Nasdaq logged a record high close  led by a rebound in technology and healthcare stocks and optimism that Greece would avoid defaulting on its debt. | Video ,topStory
KORS,Michael Kors Holdings Limited,20150527,US STOCKS-Tech  healthcare lead Wall St higher; Nasdaq hits record ,* Indexes end up: Dow 0.7 pct  S&P 0.9 pct  Nasdaq 1.5 pct   (Updates to close),normal
KORS,Michael Kors Holdings Limited,20150527,UPDATE 3-Michael Kors posts slowest revenue growth since going public ,* Tough competition  "brand fatigue" hit N. American handbag sales,normal
KORS,Michael Kors Holdings Limited,20150527,US STOCKS-Wall Street rebounds led by tech  healthcare stocks ,* Indexes up: Dow 0.7 pct  S&P 0.7 pct  Nasdaq 1.3 pct   (Updates to mid-afternoon),normal
KORS,Michael Kors Holdings Limited,20150527,Michael Kors posts slowest revenue growth since going public ,Michael Kors Holdings Ltd  reported its slowest quarterly revenue growth since it went public in December 2011 as demand for its handbags and accessories weakened in North America  its biggest market. | Video ,normal
KORS,Michael Kors Holdings Limited,20150527,US STOCKS-Wall St rises as Greece worries abate ,* Indexes up: Dow 0.6 pct  S&P 0.7 pct  Nasdaq 0.9 pct   (Updates to early afternoon),normal
KORS,Michael Kors Holdings Limited,20150527,US STOCKS-Wall St bounces back from Tuesday selloff as dollar eases ,* Indexes up: Dow 0.5 pct  S&P 0.6 pct  Nasdaq 0.8 pct   (Adds details  changes comment  updates prices),normal
KORS,Michael Kors Holdings Limited,20150527,US STOCKS-Wall St opens higher  rebounding from steep selloff a day earlier ,* Indexes up: Dow 0.2 pct  S&P 0.3 pct  Nasdaq 0.4 pct   (Updates to open),normal
KORS,Michael Kors Holdings Limited,20150527,US STOCKS-Wall St set to open higher ,* Futures up: Dow 26 pts  S&P 2.5 pts  Nasdaq 6.50 pts   (Adds details  comment  updates prices),normal
KORS,Michael Kors Holdings Limited,20150527,Michael Kors posts slowest sales growth in 14 quarters ,May 27 Handbag maker Michael Kors Holdings Ltd  reported the slowest sales growth in at least three and a half years as demand in North America weakened.,normal
MON,Monsanto Company,20150527,Bayer CEO says cannot comment on Monsanto-Syngenta ,COLOGNE  Germany  May 27 The chief executive of German drugs and chemicals group Bayer  Marijn Dekkers  said on Wednesday he could not comment on the possible takeover of Syngenta by Monsanto.,topStory
NYT,New York Times Company (The),20150527,Erdogan's war on critical media heats up ahead of Turkish election ,ISTANBUL  May 27 A veteran U.S. journalist and author said on Wednesday President Tayyip Erdogan had blocked his honorary citizenship and declared him an enemy of the state  as the Turkish leader's war on critical media intensifies ahead of a June election.,topStory
NKE,Nike Inc,20150527,Soccer sponsors dismayed by corruption allegations at FIFA ,NEW YORK World Cup sponsor Nike Inc said on Wednesday it was cooperating with authorities after bribery and corruption charges against senior FIFA officials were announced by U.S. prosecutors and arrests were made in Switzerland. | Video ,topStory
NKE,Nike Inc,20150527,Soccer sponsors dismayed by corruption allegations at FIFA ,NEW YORK  May 27 World Cup sponsor Nike Inc  said on Wednesday it was cooperating with authorities after bribery and corruption charges against senior FIFA officials were announced by U.S. prosecutors and arrests were made in Switzerland.,normal
NKE,Nike Inc,20150527,WRAPUP 7-World soccer rocked by U.S.  Swiss arrests of officials for graft ,ZURICH/NEW YORK  May 27 The world's most popular sport was plunged into turmoil on Wednesday as seven senior soccer officials were arrested on U.S. corruption charges and faced extradition from Switzerland  whose authorities also announced a criminal investigation into the awarding of the next two World Cups.,normal
NKE,Nike Inc,20150527,Nike says cooperating with authorities on FIFA allegations ,NEW YORK Nike Inc on Wednesday said that it was cooperating with authorities on alleged bribery and corruption at soccer's governing body FIFA.,normal
NKE,Nike Inc,20150527,Nike says cooperating with authorities on FIFA allegations ,NEW YORK  May 27 Nike Inc on Wednesday said that it was cooperating with authorities on alleged bribery and corruption at soccer's governing body FIFA.,normal
NKE,Nike Inc,20150527,Nike says cooperating with authorities on FIFA allegations ,NEW YORK  May 27 Nike Inc on Wednesday said that it was cooperating with authorities on alleged bribery and corruption at soccer's governing body FIFA.,normal
OCN,Ocwen Financial Corporation,20150527,Ocwen to cut 140 jobs at Houston ,Private mortgage servicer Ocwen Financial Corp said it will cut 140 jobs as part of its move to stop residential servicing operations in Houston.,topStory
OCN,Ocwen Financial Corporation,20150527,Ocwen to cut 140 jobs at Houston ,May 27 Private mortgage servicer Ocwen Financial Corp said it will cut 140 jobs as part of its move to stop residential servicing operations in Houston.,normal
ORAN,Orange,20150527,UPDATE 1-Orange sees no need for more Spanish assets after Jazztel buy ,MADRID  May 27 French telecoms group Orange  said on Wednesday it saw no need to buy further assets in Spain following a takeover of Spanish rival Jazztel  which was approved by the Spanish regulator on Tuesday.,topStory
ORAN,Orange,20150527,BRIEF-Orange names Fabienne Dulac to run France business ,* Names internal executive Fabienne Dulac to run France business  its biggest unit,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150527,UPDATE 1-Mexico and Brazil sign economic deals  aim to double commerce ,MEXICO CITY  May 26 Mexico and Brazil will take steps this year to ease restrictions on bilateral trade and aim to double their shared commerce in less than 10 years  the leaders of Latin America's two biggest economies said on Tuesday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150527,UPDATE 1-Former Petrobras executive sentenced to five years in jail ,SAO PAULO  May 26 A Brazilian judge sentenced a former international director at state-run oil firm Petroleo Brasileiro SA to five years in prison for money laundering on Tuesday  the second  company executive convicted in an ongoing corruption probe.,normal
POST,Post Holdings Inc,20150527,Post Holdings says 35 percent of egg supply now affected by bird flu ,Post Holdings Inc said a third company-owned chicken flock in Nebraska had tested positive for avian flu  bringing total affected egg supply to about 35 percent of commitments.,topStory
POST,Post Holdings Inc,20150527,UPDATE 1-Post Holdings says 35 pct of egg supply now affected by bird flu ,May 27 Post Holdings Inc said a third company-owned chicken flock in Nebraska had tested positive for avian flu  bringing total affected egg supply to about 35 percent of commitments.,normal
POST,Post Holdings Inc,20150527,Post Holdings says 35 pct of egg supply now affected by bird flu ,May 27 Post Holdings Inc said a third company-owned chicken flock in Nebraska had tested positive for avian flu  bringing total affected egg supply to about 35 percent of commitments.,normal
SNE,Sony Corp Ord,20150527,UPDATE 1-Sony mobile exec: pricing tweaks  cost cuts to cope with dollar's rise ,TOKYO  May 27 The head of Sony Corp's  loss-making mobile telecoms unit plans to tweak handset prices and cut costs if need be to absorb the dollar's sharp rise versus the yen  citing currency shifts as a bigger potential threat to the Japanese electronics maker's efforts to turn the business around than competition.,topStory
SNE,Sony Corp Ord,20150527,Sony mobile exec: pricing tweaks  cost cuts to cope with dollar's rise ,TOKYO  May 27 The head of Japanese electronics maker Sony Corp's mobile business said on Wednesday he plans to deal with the effects of a stronger dollar versus the yen by tweaking the pricing of its handsets and by cutting costs.,normal
STO,Statoil ASA,20150527,Hundreds more oil sands staff evacuated on Alberta fire threat ,CALGARY  Alberta Statoil ASA  MEG Energy Corp and Cenovus Energy Inc evacuated hundreds of workers from three oil sands projects in northeastern Alberta on Tuesday as wildfires raged through the key crude-producing region.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150527,BRIEF-Taiwan's TSMC orders equipment from Applied Materials ,Further company coverage:    ($1 = 30.6600 Taiwan dollars)   (Reporting by Hong Kong and Singapore newsrooms),topStory
TGT,Target Corporation,20150527,Cost of data breaches increasing to average of $3.8 million  study says ,The cost of data breaches is rising for companies around the world as sophisticated thieves target valuable financial and medical records  according to a study released on Wednesday.,topStory
TGT,Target Corporation,20150527,Cost of data breaches increasing to average of $3.8 mln  study says ,May 27 The cost of data breaches is rising for companies around the world as sophisticated thieves target valuable financial and medical records  according to a study released on Wednesday.,normal
TTM,Tata Motors Ltd,20150527,China's luxury slowdown leaves Tata Motors nursing wounds ,NEW DELHI Weak demand for sleek Jaguars in China battered the profits of its parent Tata Motors  pushing its shares down 5 percent on Wednesday and showing the car maker lacked agility in a market where the appetite for brash luxury has ebbed.,topStory
TTM,Tata Motors Ltd,20150527,UPDATE 2-China's luxury slowdown leaves India's Tata Motors nursing wounds , ,normal
TTM,Tata Motors Ltd,20150527,Sensex ends flat as rate-cut hopes offset earnings disappointment ,MUMBAI The Nifty ended little-changed on Wednesday as gains in banking stocks on expectations of a rate cut offset a fall in shares of Tata Motors.,normal
TEF,Telefonica SA,20150527,Axtel reaches interconnection truce with Telefonica Mexico ,MEXICO CITY  May 27 Mexican fixed-line operator Axtel said on Wednesday it had reached an agreement with Telefonica SA's Mexico unit to end disputes related to interconnection services from between 2005 and 2011.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20150527,Teva discloses 1.35 pct stake in target Mylan ,May 27 Teva Pharmaceutical Industries Ltd   disclosed a 1.35 percent interest in Mylan NV   saying the purchase underscored its commitment to buy Mylan as soon as possible.,topStory
TIF,Tiffany & Co,20150527,Tech  healthcare lead Wall St. higher; Nasdaq hits record ,U.S. stocks ended sharply higher on Wednesday and the Nasdaq logged a record high close  led by a rebound in technology and healthcare stocks and optimism that Greece would avoid defaulting on its debt. | Video ,topStory
TIF,Tiffany & Co,20150527,Tiffany's sales  profit beat on higher tourist spending in Europe ,Luxury jeweler Tiffany & Co  reported better-than-expected quarterly sales and profit as it benefited from higher spending by tourists in Europe and growing demand for its Tiffany T line of fashion jewelry.,normal
TIF,Tiffany & Co,20150527,UPDATE 3-Tiffany's sales  profit beat on higher tourist spending in Europe ,* Shares rise as much as 12.6 pct to $96.28   (Adds details  company comment; updates shares),normal
TIF,Tiffany & Co,20150527,US STOCKS-Wall St rises as Greece worries abate ,* Indexes up: Dow 0.6 pct  S&P 0.7 pct  Nasdaq 0.9 pct   (Updates to early afternoon),normal
TIF,Tiffany & Co,20150527,US STOCKS-Wall St bounces back from Tuesday selloff as dollar eases ,* Indexes up: Dow 0.5 pct  S&P 0.6 pct  Nasdaq 0.8 pct   (Adds details  changes comment  updates prices),normal
TIF,Tiffany & Co,20150527,US STOCKS-Wall St opens higher  rebounding from steep selloff a day earlier ,* Indexes up: Dow 0.2 pct  S&P 0.3 pct  Nasdaq 0.4 pct   (Updates to open),normal
TIF,Tiffany & Co,20150527,US STOCKS-Wall St set to open higher ,* Futures up: Dow 26 pts  S&P 2.5 pts  Nasdaq 6.50 pts   (Adds details  comment  updates prices),normal
TIF,Tiffany & Co,20150527,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 27  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
TIF,Tiffany & Co,20150527,Strong dollar hits Tiffany's quarterly sales ,May 27 Luxury jeweler Tiffany & Co  reported a 5 percent fall in quarterly sales as a strong dollar discouraged tourists from spending in its U.S. stores and reduced the value of overseas sales.,normal
TOL,Toll Brothers Inc,20150527,Toll Brothers profit beats estimates on lower tax provision ,Toll Brothers Inc   the largest U.S. luxury homebuilder  reported a better-than-expected quarterly profit  helped by a lower tax provision.,topStory
TOL,Toll Brothers Inc,20150527,UPDATE 2-Toll Brothers profit beats estimates on lower tax provision ,* Stock falls as much as 3.7 pct to $35.63   (Adds details; updates shares),normal
TOL,Toll Brothers Inc,20150527,Toll Brothers revenue falls 1 pct on lower home sales ,May 27 Toll Brothers Inc  the largest U.S. luxury homebuilder  reported a 1 percent fall in quarterly revenue as it sold fewer homes.,normal
TOT,Total SA,20150527,BRIEF-Total says achieves 2 bln barrels of production at Angola offshore site ,* Says achieves milestone of producing cumulative 2 billion barrels of oil from its deep offshore Block 17 site  150 kilometres off the coast of Angola  Further company coverage:,topStory
USB,US Bancorp,20150527,MOVES- Goldman Sachs  Abu Dhabi Investment Authority  U.S. Bank ,May 27 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
UL,Unilever PLC,20150527,BRIEF-Unilever issues 1.25 bln euros bonds on European markets ,* Unilever issues 1.25 billion euros bonds on European markets,topStory
UMC,United Microelectronics Corporation,20150527,BRIEF-Taiwan's UMC orders equipment from Applied Materials ,Further company coverage:    ($1 = 30.6270 Taiwan dollars)   (Reporting by Hong Kong and Singapore newsrooms),topStory
VRX,Valeant Pharmaceuticals International Inc,20150527,FDA approves Actavis  Valeant drugs for irritable bowel syndrome ,WASHINGTON U.S. health regulators approved new irritable bowel syndrome drugs from Actavis Plc and Valeant Pharmaceuticals International Inc on Wednesday  validating big investments both companies made to acquire the products.,topStory
VRX,Valeant Pharmaceuticals International Inc,20150527,UPDATE 1-FDA approves Actavis  Valeant drugs for irritable bowel syndrome ,WASHINGTON  May 27 U.S. health regulators approved new irritable bowel syndrome drugs from Actavis Plc  and Valeant Pharmaceuticals International Inc   on Wednesday  validating big investments both companies made to acquire the products.,normal
VRX,Valeant Pharmaceuticals International Inc,20150527,FDA approves Actavis  Valeant drugs for irritable bowel syndrome ,WASHINGTON  May 27 U.S. health regulators approved new irritable bowel syndrome drugs from Actavis Plc  and Valeant Pharmaceuticals International Inc   on Wednesday  validating big investments both companies made to acquire the products.,normal
WMT,Wal-Mart Stores Inc,20150527,Tracy Morgan settles lawsuit with Wal-Mart for undisclosed sum ,NEW YORK Comedian Tracy Morgan and other people injured in a crash with a Wal-Mart Stores Inc truck last year have reached an out-of-court settlement for an undisclosed sum with the world's largest retailer  court documents filed on Wednesday showed.,topStory
WMT,Wal-Mart Stores Inc,20150527,UPDATE 2-Tracy Morgan settles lawsuit with Wal-Mart for undisclosed sum ,NEW YORK  May 27 Comedian Tracy Morgan and other people injured in a crash with a Wal-Mart Stores Inc  truck last year have reached an out-of-court settlement for an undisclosed sum with the world's largest retailer  court documents filed on Wednesday showed.,normal
WMT,Wal-Mart Stores Inc,20150527,Tracy Morgan settles lawsuit with Wal-Mart for undisclosed sum ,NEW YORK Comedian Tracy Morgan and other people injured in a crash with a Wal-Mart Stores Inc truck last year have reached an out-of-court settlement for an undisclosed sum with the world's largest retailer  court documents filed on Wednesday showed.,normal
WMT,Wal-Mart Stores Inc,20150527,Wal-Mart  Tracy Morgan settle lawsuit related to accident ,May 27 Wal-Mart Stores Inc said it settled a lawsuit with the representatives of comedian Tracy Morgan and two others  who were seriously injured in an accident involving its truck.,normal
