AMZN,Amazoncom Inc,20150211,Exclusive-Survey: Trouble for Amazon Prime's two-day deliveries? ,SAN FRANCISCO/CHICAGO Amazon.com Inc packages ordered by its Prime members regularly arrived late over the holidays  a Reuters/Ipsos survey shows  reflecting the strain on the logistics network that transformed the company into an e-commerce powerhouse.,topStory
CCU,Compania Cervecerias Unidas SA,20150211,Colombia okays local Heineken brewing by Postobon  Chile's CCU ,BOGOTA  Feb 11 Colombia's financial regulator has approved a deal under which local soft drinks maker Postobon will produce and sell Heineken beer in the Andean country through a partnership with Heineken's affiliate in Chile  the Compania Cervecerias Unidas.,topStory
CVI,CVR Energy Inc,20150211,Deals of the day- Mergers and acquisitions ,Feb 11 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Wednesday:,topStory
CVI,CVR Energy Inc,20150211,SEC probes disclosures tied to Icahn takeover of CVR: U.S. filing ,NEW YORK The Securities and Exchange Commission is investigating whether CVR Energy Inc  might have made misleading disclosures to investors during its unsuccessful defense against billionaire Carl Icahn's 2012 hostile takeover  court documents show.,normal
CVI,CVR Energy Inc,20150211,SEC probes disclosures tied to Icahn takeover of CVR - US filing ,NEW YORK  Feb 11 The U.S. Securities and Exchange Commission is investigating whether CVR Energy Inc  might have made misleading disclosures to investors during its unsuccessful defense against billionaire Carl Icahn's 2012 hostile takeover  court documents show.,normal
DB,Deutsche Bank AG,20150211,Deutsche Bank  HSBC win Costa Rica mandate for new bond: sources ,NEW YORK  Feb 11 (IFR) - Costa Rica has chosen Deutsche Bank and HSBC as lead managers on an up to US$1bn international bond sale that could take place as early as this month  market sources told IFR on Wednesday.,topStory
EC,Ecopetrol SA,20150211,TABLE-Colombia oil output above 1 mln barrels for fourth month ,BOGOTA  Feb 11 Colombia produced an average 1 034 500 barrels of crude per day (bpd) in January  a 2.7 percent increase over December and up 2 percent from the same month a year earlier  the Mines and Energy Ministry said on Wednesday.     January's increase  marking the fourth straight month with output above 1 million barrels  was due mainly to increased volumes at large fields controlled by state-run oil company Ecopetrol. Ecopetrol and its operating partners accounted for 841 000,normal
EURN,Euronav NV,20150211,BRIEF-Euronav Q4 net loss narrows to $3.9 mln ,* Net loss of $3.9 million for the three months ended 31 December 2014 or $-0.03 per share,topStory
GEH,General Electric Capital Corporation,20150211,General Electric to allow shareholders to nominate directors ,WASHINGTON General Electric Co  will allow shareholders to nominate their own corporate directors  becoming one of the few companies to adopt proxy access reforms in a move that could pave the way for others.,topStory
GEH,General Electric Capital Corporation,20150211,UPDATE 1-General Electric to allow shareholders to nominate directors ,WASHINGTON  Feb 11 General Electric Co  will allow shareholders to nominate their own corporate directors  becoming one of the few companies to adopt proxy access reforms in a move that could pave the way for others.,normal
GEH,General Electric Capital Corporation,20150211,General Electric to allow shareholders to nominate directors ,WASHINGTON  Feb 11 General Electric Co.  changed its bylaws earlier this month to create an easier path for shareholders to nominate directors to its corporate board  the company disclosed in a filing on Wednesday.,normal
GEK,General Electric Capital Corporation,20150211,General Electric to allow shareholders to nominate directors ,WASHINGTON General Electric Co  will allow shareholders to nominate their own corporate directors  becoming one of the few companies to adopt proxy access reforms in a move that could pave the way for others.,topStory
GEK,General Electric Capital Corporation,20150211,UPDATE 1-General Electric to allow shareholders to nominate directors ,WASHINGTON  Feb 11 General Electric Co  will allow shareholders to nominate their own corporate directors  becoming one of the few companies to adopt proxy access reforms in a move that could pave the way for others.,normal
GEK,General Electric Capital Corporation,20150211,General Electric to allow shareholders to nominate directors ,WASHINGTON  Feb 11 General Electric Co.  changed its bylaws earlier this month to create an easier path for shareholders to nominate directors to its corporate board  the company disclosed in a filing on Wednesday.,normal
GE,General Electric Company,20150211,General Electric to allow shareholders to nominate directors ,WASHINGTON General Electric Co  will allow shareholders to nominate their own corporate directors  becoming one of the few companies to adopt proxy access reforms in a move that could pave the way for others.,topStory
GE,General Electric Company,20150211,UPDATE 1-General Electric to allow shareholders to nominate directors ,WASHINGTON  Feb 11 General Electric Co  will allow shareholders to nominate their own corporate directors  becoming one of the few companies to adopt proxy access reforms in a move that could pave the way for others.,normal
GE,General Electric Company,20150211,General Electric to allow shareholders to nominate directors ,WASHINGTON  Feb 11 General Electric Co.  changed its bylaws earlier this month to create an easier path for shareholders to nominate directors to its corporate board  the company disclosed in a filing on Wednesday.,normal
GEB,General Electric Company,20150211,General Electric to allow shareholders to nominate directors ,WASHINGTON General Electric Co  will allow shareholders to nominate their own corporate directors  becoming one of the few companies to adopt proxy access reforms in a move that could pave the way for others.,topStory
GEB,General Electric Company,20150211,UPDATE 1-General Electric to allow shareholders to nominate directors ,WASHINGTON  Feb 11 General Electric Co  will allow shareholders to nominate their own corporate directors  becoming one of the few companies to adopt proxy access reforms in a move that could pave the way for others.,normal
GEB,General Electric Company,20150211,General Electric to allow shareholders to nominate directors ,WASHINGTON  Feb 11 General Electric Co.  changed its bylaws earlier this month to create an easier path for shareholders to nominate directors to its corporate board  the company disclosed in a filing on Wednesday.,normal
GM,General Motors Company,20150211,UPDATE 3-Venezuela bonds tumble as investors spurn new forex system ,CARACAS/NEW YORK  Feb 11 Venezuela's dollar-denominated bonds tumbled on Wednesday after the government announced a new foreign exchange platform that was seen as insufficient to resolve an economic crisis and ease fears of a possible bond default.,normal
GNW,Genworth Financial Inc,20150211,REFILE-UPDATE 2-Genworth to continue to focus on U.S. long-term care insurance (Feb 10) ,Feb 10 Genworth Financial Inc reported a bigger-than-expected quarterly loss as the U.S. life and mortgage insurer took an after-tax charge of $478 million related to long-term care (LTC) policies it bought before 1996.,topStory
GNW,Genworth Financial Inc,20150211,REFILE-Genworth Financial posts quarterly loss (Feb 10) ,Feb 10 Life and mortgage insurer Genworth Financial Inc reported a quarterly loss as it took an after-tax charge of $478 million related to long-term care life insurance blocks it bought before 1996.,normal
GSK,GlaxoSmithKline PLC,20150211,BRIEF-Glaxosmithkline acquires rest of Glycovaxyn ,* GSK press release: gsk strengthens early stage vaccine pipeline with acquisition of Glycovaxyn AG,topStory
GS,Goldman Sachs Group Inc (The),20150211,MOVES- Pimco  Citigroup  BNY Mellon  Societe Generale  Goldman Sachs ,Feb 11 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
GS,Goldman Sachs Group Inc (The),20150211,MOVES-Goldman names Gordon investment banking services chairman -memo ,NEW YORK  Feb 11 Goldman Sachs Group Inc  promoted media and telecommunications banker Andry Gordon to become global chairman of investment banking services  according to an internal memo  sent to investment banking staff on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20150211,MOVES-Goldman names duo private equity advisory global co-heads ,Feb 11 Goldman Sachs Group Inc on Wednesday named Alison Mass and Alasdair Warren global co-heads of its financial sponsors group  which advises private equity firms on their deals  according to an internal memo.,normal
HSY,Hershey Company (The),20150211,YOUR MONEY-Is organic chocolate worth the price? ,Feb 11 If you plunk down some big bucks for organic chocolate this Valentine's Day  your sweetie may or may not be impressed.,normal
HSBC,HSBC Holdings plc,20150211,El Salvador to launch investigation into Swiss HSBC accounts ,SAN SALVADOR  Feb 11 El Salvador's attorney general on Wednesday said his office has launched an investigation to determine whether 54 Salvadorans were involved in opening 54 secret accounts with HSBC in Switzerland.,topStory
HSBC,HSBC Holdings plc,20150211,HSBC's reforms at Swiss bank eat into profits ,LONDON HSBC's  Swiss private bank has seen a steep drop in profits since 2008 and even fell to a loss in 2013  showing how problems in the business have hit the British bank's bottom line as well as its reputation.,normal
HSBC,HSBC Holdings plc,20150211,HSBC's reforms at Swiss bank eat into profits ,LONDON  Feb 11 HSBC's Swiss private bank has seen a steep drop in profits since 2008 and even fell to a loss in 2013  showing how problems in the business have hit the British bank's bottom line as well as its reputation.,normal
HSBC,HSBC Holdings plc,20150211,Austria requests tax data from France in HSBC case ,VIENNA Austria has asked France to hand over tax data on clients linked with Austria after HSBC Holdings Plc  admitted failings in compliance at its Swiss private bank.,normal
HSBC,HSBC Holdings plc,20150211,Belgian judge withdraws arrest threat for HSBC directors ,HSBC has offered to co-operate with Belgian authorities and as a result a judge has withdrawn his threat to issue international arrest warrants against senior directors of its Swiss private banking arm  Brussels prosecutors said on Wednesday.,normal
HSBC,HSBC Holdings plc,20150211,Deutsche Bank  HSBC win Costa Rica mandate for new bond: sources ,NEW YORK  Feb 11 (IFR) - Costa Rica has chosen Deutsche Bank and HSBC as lead managers on an up to US$1bn international bond sale that could take place as early as this month  market sources told IFR on Wednesday.,normal
HSBC,HSBC Holdings plc,20150211,Austria requests tax data from France in HSBC case ,VIENNA  Feb 11 Austria has asked France to hand over tax data on clients linked with Austria after HSBC Holdings Plc admitted failings in compliance at its Swiss private bank.,normal
HSBC,HSBC Holdings plc,20150211,UPDATE 2-UK's Cameron comes under pressure in parliament over HSBC tax scandal ,* Cameron says he and party acted properly   (Recasts  adds quotes  context),normal
HSBC,HSBC Holdings plc,20150211,UK tax authority downplays allegations against HSBC on tax evasion ,LONDON The head of the UK's tax authority told a parliamentary committee on Tuesday that allegations revealed in the media about tax evasion by HSBC  clients did not prove wrongdoing on the part of the bank.,normal
HSBC,HSBC Holdings plc,20150211,UK tax authority downplays allegations against HSBC on tax evasion ,LONDON  Feb 11 The head of the UK's tax authority told a parliamentary committee on Tuesday that allegations revealed in the media about tax evasion by HSBC  clients did not prove wrongdoing on the part of the bank.,normal
HSEA,HSBC Holdings plc,20150211,El Salvador to launch investigation into Swiss HSBC accounts ,SAN SALVADOR  Feb 11 El Salvador's attorney general on Wednesday said his office has launched an investigation to determine whether 54 Salvadorans were involved in opening 54 secret accounts with HSBC in Switzerland.,topStory
HSEA,HSBC Holdings plc,20150211,HSBC's reforms at Swiss bank eat into profits ,LONDON HSBC's  Swiss private bank has seen a steep drop in profits since 2008 and even fell to a loss in 2013  showing how problems in the business have hit the British bank's bottom line as well as its reputation.,normal
HSEA,HSBC Holdings plc,20150211,HSBC's reforms at Swiss bank eat into profits ,LONDON  Feb 11 HSBC's Swiss private bank has seen a steep drop in profits since 2008 and even fell to a loss in 2013  showing how problems in the business have hit the British bank's bottom line as well as its reputation.,normal
HSEA,HSBC Holdings plc,20150211,Austria requests tax data from France in HSBC case ,VIENNA Austria has asked France to hand over tax data on clients linked with Austria after HSBC Holdings Plc  admitted failings in compliance at its Swiss private bank.,normal
HSEA,HSBC Holdings plc,20150211,Belgian judge withdraws arrest threat for HSBC directors ,HSBC has offered to co-operate with Belgian authorities and as a result a judge has withdrawn his threat to issue international arrest warrants against senior directors of its Swiss private banking arm  Brussels prosecutors said on Wednesday.,normal
HSEA,HSBC Holdings plc,20150211,Deutsche Bank  HSBC win Costa Rica mandate for new bond: sources ,NEW YORK  Feb 11 (IFR) - Costa Rica has chosen Deutsche Bank and HSBC as lead managers on an up to US$1bn international bond sale that could take place as early as this month  market sources told IFR on Wednesday.,normal
HSEA,HSBC Holdings plc,20150211,Austria requests tax data from France in HSBC case ,VIENNA  Feb 11 Austria has asked France to hand over tax data on clients linked with Austria after HSBC Holdings Plc admitted failings in compliance at its Swiss private bank.,normal
HSEA,HSBC Holdings plc,20150211,UPDATE 2-UK's Cameron comes under pressure in parliament over HSBC tax scandal ,* Cameron says he and party acted properly   (Recasts  adds quotes  context),normal
HSEA,HSBC Holdings plc,20150211,UK tax authority downplays allegations against HSBC on tax evasion ,LONDON The head of the UK's tax authority told a parliamentary committee on Tuesday that allegations revealed in the media about tax evasion by HSBC  clients did not prove wrongdoing on the part of the bank.,normal
HSEA,HSBC Holdings plc,20150211,UK tax authority downplays allegations against HSBC on tax evasion ,LONDON  Feb 11 The head of the UK's tax authority told a parliamentary committee on Tuesday that allegations revealed in the media about tax evasion by HSBC  clients did not prove wrongdoing on the part of the bank.,normal
HSEB,HSBC Holdings plc,20150211,El Salvador to launch investigation into Swiss HSBC accounts ,SAN SALVADOR  Feb 11 El Salvador's attorney general on Wednesday said his office has launched an investigation to determine whether 54 Salvadorans were involved in opening 54 secret accounts with HSBC in Switzerland.,topStory
HSEB,HSBC Holdings plc,20150211,HSBC's reforms at Swiss bank eat into profits ,LONDON HSBC's  Swiss private bank has seen a steep drop in profits since 2008 and even fell to a loss in 2013  showing how problems in the business have hit the British bank's bottom line as well as its reputation.,normal
HSEB,HSBC Holdings plc,20150211,HSBC's reforms at Swiss bank eat into profits ,LONDON  Feb 11 HSBC's Swiss private bank has seen a steep drop in profits since 2008 and even fell to a loss in 2013  showing how problems in the business have hit the British bank's bottom line as well as its reputation.,normal
HSEB,HSBC Holdings plc,20150211,Austria requests tax data from France in HSBC case ,VIENNA Austria has asked France to hand over tax data on clients linked with Austria after HSBC Holdings Plc  admitted failings in compliance at its Swiss private bank.,normal
HSEB,HSBC Holdings plc,20150211,Belgian judge withdraws arrest threat for HSBC directors ,HSBC has offered to co-operate with Belgian authorities and as a result a judge has withdrawn his threat to issue international arrest warrants against senior directors of its Swiss private banking arm  Brussels prosecutors said on Wednesday.,normal
HSEB,HSBC Holdings plc,20150211,Deutsche Bank  HSBC win Costa Rica mandate for new bond: sources ,NEW YORK  Feb 11 (IFR) - Costa Rica has chosen Deutsche Bank and HSBC as lead managers on an up to US$1bn international bond sale that could take place as early as this month  market sources told IFR on Wednesday.,normal
HSEB,HSBC Holdings plc,20150211,Austria requests tax data from France in HSBC case ,VIENNA  Feb 11 Austria has asked France to hand over tax data on clients linked with Austria after HSBC Holdings Plc admitted failings in compliance at its Swiss private bank.,normal
HSEB,HSBC Holdings plc,20150211,UPDATE 2-UK's Cameron comes under pressure in parliament over HSBC tax scandal ,* Cameron says he and party acted properly   (Recasts  adds quotes  context),normal
HSEB,HSBC Holdings plc,20150211,UK tax authority downplays allegations against HSBC on tax evasion ,LONDON The head of the UK's tax authority told a parliamentary committee on Tuesday that allegations revealed in the media about tax evasion by HSBC  clients did not prove wrongdoing on the part of the bank.,normal
HSEB,HSBC Holdings plc,20150211,UK tax authority downplays allegations against HSBC on tax evasion ,LONDON  Feb 11 The head of the UK's tax authority told a parliamentary committee on Tuesday that allegations revealed in the media about tax evasion by HSBC  clients did not prove wrongdoing on the part of the bank.,normal
INXN,InterXion Holding NV,20150211,Telecity looks to 'cloud' growth with $2.2 billion Interxion deal ,LONDON British data center provider Telecity Group Plc has agreed a non-binding $2.2 billion all-share deal to buy New York-listed Interxion Holding NV  looking to tap growing demand for "cloud" technology.,topStory
INXN,InterXion Holding NV,20150211,UPDATE 2-Telecity looks to "cloud" growth with $2.2 bln Interxion deal ,* Telecity shares up 16 pct   (Adds Telecity share reaction  earnings  details  background),normal
INXN,InterXion Holding NV,20150211,Telecity  Interxion agree all-share merger ,LONDON  Feb 11 British data centre provider Telecity Group said on Wednesday it had reached a non-binding  all-share merger agreement with New York-listed Interxion.,normal
JNJ,Johnson & Johnson,20150211,J&J drops bid to probe plaintiff solicitation in mesh cases ,NEW YORK Johnson & Johnson dropped its request to investigate the source of what it said were illegal phone calls that may have resulted in baseless lawsuits over transvaginal mesh devices against its Ethicon Inc subsidiary.,topStory
JNJ,Johnson & Johnson,20150211,J&J drops bid to probe plaintiff solicitation in mesh cases ,NEW YORK Johnson & Johnson dropped its request to investigate the source of what it said were illegal phone calls that may have resulted in baseless lawsuits over transvaginal mesh devices against its Ethicon Inc subsidiary.,normal
JNJ,Johnson & Johnson,20150211,UPDATE 1-J&J drops bid to probe plaintiff solicitation in mesh cases ,NEW YORK  Feb 11 Johnson & Johnson  dropped its request to investigate the source of what it said were illegal phone calls that may have resulted in baseless lawsuits over transvaginal mesh devices against its Ethicon Inc subsidiary.,normal
JNJ,Johnson & Johnson,20150211,J&J drops bid to probe plaintiff solicitation in mesh cases ,NEW YORK  Feb 11 Johnson & Johnson has dropped its request to investigate the source of what it said were illegal phone calls that may have resulted in baseless lawsuits over transvaginal mesh devices against its Ethicon Inc subsidiary.,normal
K,Kellogg Company,20150211,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters Feb 11  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                  ,normal
KMB,Kimberly-Clark Corporation,20150211,Fitch Affirms Kimberly-Clark's IDR at 'A'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  February 11 (Fitch) Fitch Ratings has affirmed Kimberly-Clark  Corporation's (KMB) ratings as follows: --Long-term Issuer Default Rating (IDR) at 'A'; --Short-term IDR at 'F1'; --$2 billion commercial paper (CP) program at 'F1'; --$200 million dealer remarketable securities at 'A'/'F1'; --$2 billion revolving credit facility at 'A'; --Senior unsecured notes and debentures at 'A'. The Rating Outlook is Stable. Approximately $6.,topStory
LNC,Lincoln National Corporation,20150211,Fitch Affirms Lincoln National Corp.'s IDR at 'A-'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  February 11 (Fitch) Fitch Ratings has affirmed Lincoln National  Corporation's (LNC) Long-term Issuer Default Rating (IDR) at 'A-'  and the  Insurer Financial Strength (IFS) ratings of LNC's insurance operating  subsidiaries at 'A+'. The Rating Outlook is Stable. A full list of rating  actions follows at the end of this release. KEY RATING DRIVERS Today's rating actions reflect LNC's solid overall operating performance  strong,topStory
MET,MetLife Inc,20150211,MetLife's profit beats estimates on investment gains ,United State's largest life insurer MetLife Inc  reported a better-than-expected quarterly profit due to gains from investments and derivatives  reflecting falling interest rates and a rising dollar.,topStory
MET,MetLife Inc,20150211,UPDATE 1-MetLife's profit beats estimates on investment gains ,Feb 11 United State's largest life insurer MetLife Inc reported a better-than-expected quarterly profit due to gains from investments and derivatives  reflecting falling interest rates and a rising dollar.,normal
MET,MetLife Inc,20150211,MetLife's quarterly profit rises 70 percent ,Feb 11 Largest U.S. life insurer MetLife Inc's  quarterly profit jumped about 70 percent  helped by gains from investments and derivatives.,normal
MS,Morgan Stanley,20150211,Merrill Lynch gets billion-dollar broker from Morgan Stanley ,NEW YORK Following the high-profile move of a top team of Bank of America Merrill Lynch brokers to rival Morgan Stanley last month  Merrill Lynch bounced back on Wednesday with the announcement it hired a nine-broker team away from Morgan Stanley that managed more than $1 billion in assets.,topStory
MS,Morgan Stanley,20150211,Morgan Stanley hires David Bokman for new wealth post ,NEW YORK David Bokman  a trusts and estates lawyer who most recently served as chief advisory officer of GenSpring Family Offices in Atlanta  has joined Morgan Stanley Wealth Management in a newly created role running "ultra high net worth resources" in its Private Wealth Management unit.,normal
MS,Morgan Stanley,20150211,CORRECTED-ON THE MOVE-Morgan Stanley hires David Bokman for new wealth post ,NEW YORK  Feb 11 David Bokman  a trusts and estates lawyer who most recently served as chief advisory officer of GenSpring Family Offices in Atlanta  has joined Morgan Stanley Wealth Management in a newly created role running "ultra high net worth resources" in its Private Wealth Management unit.,normal
MS,Morgan Stanley,20150211,ON THE MOVE-Merrill Lynch gets billion-dollar broker from Morgan Stanley ,NEW YORK  Feb 11 Following the high-profile move of a top team of Bank of America Merrill Lynch brokers to rival Morgan Stanley last month  Merrill Lynch bounced back on Wednesday with the announcement it hired a nine-broker team away from Morgan Stanley that managed more than $1 billion in assets.,normal
MOS,Mosaic Company (The),20150211,UPDATE 2-Mosaic profit nearly triples on strong fertilizer demand ,Feb 11 U.S. fertilizer company Mosaic Co's  fourth-quarter profit nearly tripled  helped by strong demand for phosphates and potash.,topStory
MOS,Mosaic Company (The),20150211,Mosaic profit nearly triples on strong fertilizer demand ,U.S. fertilizer company Mosaic Co's  fourth-quarter profit nearly tripled  helped by strong demand for phosphates and potash.,normal
MOS,Mosaic Company (The),20150211,Mosaic quarterly profit nearly triples ,Feb 11 U.S. fertilizer company Mosaic Co  said on Wednesday its quarterly profit nearly tripled  helped by a gain of 10 cents per share and strong demand for phosphates and potash.,normal
NVO,Novo Nordisk A/S,20150211,BRIEF-Carlsberg to propose Novo Nordisk CEO as deputy chairman ,* Says Novo Nordisk CEO Lars Rebien Sørensen will be proposed to join board to replace Deputy Chairman Jess Søderberg  Source text for Eikon:  Further company coverage:    (Reporting By Martinne Geller),topStory
PEP,Pepsico Inc,20150211,US STOCKS-Wall St ends flat while investors await Greece  Ukraine news ,* Indexes: Dow off 0.04 pct  S&P flat  Nasdaq up 0.28 pct   (Updates to late afternoon  adds commentary),topStory
PEP,Pepsico Inc,20150211,US STOCKS-Wall St dips as investors eye Greece and Ukraine talks ,* Indexes: Dow off 0.37 pct  S&P off 0.28 pct  Nasdaq up 0.1 pct   (Updates to late afternoon  adds commentary),normal
PEP,Pepsico Inc,20150211,US STOCKS-Wall St dips as investors eye Greece and Ukraine talks ,* Indexes down: Dow 0.55 pct  S&P 0.45 pct  Nasdaq 0.08   (Updates to afternoon  adds commentary),normal
PEP,Pepsico Inc,20150211,PepsiCo profit beats estimates; $12 billion buyback planned ,PepsiCo Inc  on Wednesday reported a higher-than-expected quarterly  profit  helped by increased sales at its Frito-Lay snack business  and said it would buy back up to $12 billion in stock by 2018. | Video ,normal
PEP,Pepsico Inc,20150211,US STOCKS-Wall St flat before Greek deal talks; Apple lifts Nasdaq ,* Indexes: Dow off 0.23 pct  S&P off 0.01 pct  Nasdaq up 0.39 pct   (Updates to late morning  updates earnings data),normal
PEP,Pepsico Inc,20150211,UPDATE 3-PepsiCo profit beats estimates; $12 billion buyback planned ,Feb 11 PepsiCo Inc on Wednesday reported a higher-than-expected quarterly  profit  helped by increased sales at its Frito-Lay snack business  and said it would buy back up to $12 billion in stock by 2018.,normal
PEP,Pepsico Inc,20150211,US STOCKS-Wall St little changed ahead of Greek deal talks ,* Indexes off: Dow off 0.28 pct  S&P 0.07 pct  Nasdaq up 0.21 pct   (Updates to market open),normal
PEP,Pepsico Inc,20150211,US STOCKS-Wall St set for flat open; Greek deal talks on tap ,* Futures: Dow down 30 pts  S&P off 1.5 pts  Nasdaq up 2 pts   (Adds quote  updates prices),normal
PEP,Pepsico Inc,20150211,US STOCKS-Futures little changed ahead of Greek debt talks ,NEW YORK  Feb 11 U.S. stock index futures were little changed on Wednesday  after the S&P 500 climbed to its highest level of the year and ahead of a meeting of euro zone finance ministers to discuss plans for Greece's debt.,normal
PEP,Pepsico Inc,20150211,PepsiCo quarterly revenue falls 1 pct ,Feb 11 PepsiCo Inc  the maker of Mountain Dew and Tropicana beverages  reported a 1 percent fall in quarterly revenue as a stronger dollar hurt revenue from international markets.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150211,Petrobras Brazil offshore explosion kills three  six missing ,RIO DE JANEIRO At least three workers were killed and 10 injured on Wednesday by an explosion on an offshore oil and gas platform operated by state-run Petrobras  a disaster that could further hurt the reputation of a company struggling with a corruption scandal and safety concerns.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150211,UPDATE 3-Petrobras Brazil offshore explosion kills 3  6 missing ,RIO DE JANEIRO  Feb 11 At least three workers were killed and 10 injured on Wednesday by an explosion on an offshore oil and gas platform operated by state-run Petrobras   a disaster that could further hurt the reputation of a company struggling with a corruption scandal and safety concerns.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150211,Norway's BW offshore confirms Brazilian explosion  fatalities ,OSLO  Feb 11 Norway's BW Offshore confirmed on Wednesday that one of its offshore oil and natural gas production vessels operating in Brazil for Petrobras  suffered an explosion  killing at least three people.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150211,Andean credits outperform as crude woes weigh ,Feb 11 (IFR) - Andean and Mexican names outperformed in a flight-to-safety bid Wednesday as investors shed oil names and stayed clear of credits associated with the scandal at Brazil's Petrobras.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150211,UPDATE 1-BM&FBovespa seeking to hone governance rules for Brazil state firms ,SAO PAULO  Feb 11 Financial bourse BM&FBovespa SA is working on a plan to improve corporate governance rules for Brazilian state-controlled companies  Chief Executive Officer Edemir Pinto said on Wednesday  in response to a corruption scandal engulfing oil producer Petróleo Brasileiro SA.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150211,Petrobras plans to report fourth-quarter audited results by end-March: newspaper ,BRASILIA Brazil's Petroleo Brasileiro SA (Petrobras)  plans to publish its delayed audited fourth-quarter results by the end of March  something it needs to do to avoid possible early repayment of its bonds  the Globo newspaper said on Wednesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150211,Petrobras plans to report Q4 audited results by end-March -newspaper ,BRASILIA  Feb 11 Brazil's Petroleo Brasileiro SA (Petrobras) plans to publish its delayed audited fourth-quarter results by the end of March  something it needs to do to avoid possible early repayment of its bonds  the Globo newspaper said on Wednesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150211,UPDATE 2-Petrobras CEO says has 'full autonomy'  questions graft loss ,RIO DE JANEIRO  Feb 10 The new chief executive officer of Brazil's Petrobras said on Tuesday that he has full autonomy to dictate its own fuel-pricing policy and protect cash  even as he questioned the size of losses stemming from a giant corruption scandal.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150211,Brazil's Rousseff under pressure but impeachment seen unlikely ,BRASILIA For the first time since a corruption scandal erupted at Brazil's state-run oil company Petrobras last year  senior opposition politicians are publicly floating the possibility of impeaching President Dilma Rousseff.,normal
PIR,Pier 1 Imports Inc,20150211,US STOCKS-Wall St dips as investors eye Greece and Ukraine talks ,* Indexes down: Dow 0.55 pct  S&P 0.45 pct  Nasdaq 0.08   (Updates to afternoon  adds commentary),topStory
PIR,Pier 1 Imports Inc,20150211,US STOCKS-Wall St flat before Greek deal talks; Apple lifts Nasdaq ,* Indexes: Dow off 0.23 pct  S&P off 0.01 pct  Nasdaq up 0.39 pct   (Updates to late morning  updates earnings data),normal
PIR,Pier 1 Imports Inc,20150211,US STOCKS-Wall St little changed ahead of Greek deal talks ,* Indexes off: Dow off 0.28 pct  S&P 0.07 pct  Nasdaq up 0.21 pct   (Updates to market open),normal
PIR,Pier 1 Imports Inc,20150211,US STOCKS-Wall St set for flat open; Greek deal talks on tap ,* Futures: Dow down 30 pts  S&P off 1.5 pts  Nasdaq up 2 pts   (Adds quote  updates prices),normal
PIR,Pier 1 Imports Inc,20150211,US STOCKS-Futures little changed ahead of Greek debt talks ,NEW YORK  Feb 11 U.S. stock index futures were little changed on Wednesday  after the S&P 500 climbed to its highest level of the year and ahead of a meeting of euro zone finance ministers to discuss plans for Greece's debt.,normal
PG,Procter & Gamble Company (The),20150211,UPDATE 3-Venezuela bonds tumble as investors spurn new forex system ,CARACAS/NEW YORK  Feb 11 Venezuela's dollar-denominated bonds tumbled on Wednesday after the government announced a new foreign exchange platform that was seen as insufficient to resolve an economic crisis and ease fears of a possible bond default.,normal
PG,Procter & Gamble Company (The),20150211,UPDATE 4-Venezuela creates new 'free' currency system  devaluation seen ,CARACAS  Feb 10 Venezuela launched a "free" foreign exchange platform on Tuesday that will likely devalue the bolivar in efforts to bolster state coffers amid tumbling oil revenue  although it risks causing a spike in already soaring inflation.,normal
RAD,Rite Aid Corporation,20150211,Rite Aid enters pharmacy benefit business with EnvisionRx buy ,Drugstore operator Rite Aid Corp  agreed to buy pharmacy benefit manager EnvisionRx for about $2 billion  looking to cut drug procurement costs as reimbursement rates fall.,topStory
RAD,Rite Aid Corporation,20150211,CORRECTED-UPDATE 3-Rite Aid enters pharmacy benefit business with EnvisionRx buy ,Feb 11 Drugstore operator Rite Aid Corp  agreed to buy pharmacy benefit manager EnvisionRx for about $2 billion  looking to cut drug procurement costs as reimbursement rates fall.,normal
RAD,Rite Aid Corporation,20150211,US STOCKS-Wall St dips as investors eye Greece and Ukraine talks ,* Indexes down: Dow 0.55 pct  S&P 0.45 pct  Nasdaq 0.08   (Updates to afternoon  adds commentary),normal
