AERI,Aerie Pharmaceuticals Inc,20150916,Aerie Pharmaceuticals' eye drop succeeds in late-stage study ,Drugmaker Aerie Pharmaceuticals Inc said on Wednesday its experimental eye drop met the main goal of a late-stage study  sending its shares up as much as 65 percent in extended trading.,topStory
GEK,General Electric Capital Corporation,20150916,GE sells $3.7 bln UK home loan portfolio to Kensington Mortgage ,Sept 16 General Electric Co said on Wednesday it had sold a $3.7 billion portfolio of loans from its British home lending business to private equity-backed Kensington Mortgage Co Ltd as it continues to shrink its financing arm  GE Capital.,normal
GEK,General Electric Capital Corporation,20150916,Polish billionaire plans to sell debt collector to raise cash for BPH-report ,WARSAW  Sept 16 Polish billionaire Leszek Czarnecki is planning to sell debt collecting company GetBack to help raise cash to buy Bank BPH from General Electric (GE)  the Puls Biznesu daily said on Wednesday.,normal
GE,General Electric Company,20150916,GE executive says no intent to split off healthcare businesses ,General Electric Co has no intent to split off any significant parts of its healthcare business  GE's head of the unit said on Wednesday  and that "all aspects" of the $18 billion division are part of the company's portfolio.,topStory
GE,General Electric Company,20150916,GE exec says no intent to split off healthcare businesses ,Sept 16 General Electric Co has no intent to split off any significant parts of its healthcare business  GE's head of the unit said on Wednesday  and that "all aspects" of the $18 billion division are part of the company's portfolio.,normal
GE,General Electric Company,20150916,GE sells $3.7 billion UK home loan portfolio to Kensington Mortgage ,General Electric Co  said on Wednesday it had sold a $3.7 billion portfolio of loans from its British home lending business to private equity-backed Kensington Mortgage Co Ltd as it continues to shrink its financing arm  GE Capital.,normal
GE,General Electric Company,20150916,GE sells $3.7 bln UK home loan portfolio to Kensington Mortgage ,Sept 16 General Electric Co said on Wednesday it had sold a $3.7 billion portfolio of loans from its British home lending business to private equity-backed Kensington Mortgage Co Ltd as it continues to shrink its financing arm  GE Capital.,normal
GE,General Electric Company,20150916,Polish billionaire plans to sell debt collector to raise cash for BPH-report ,WARSAW  Sept 16 Polish billionaire Leszek Czarnecki is planning to sell debt collecting company GetBack to help raise cash to buy Bank BPH from General Electric (GE)  the Puls Biznesu daily said on Wednesday.,normal
GEB,General Electric Company,20150916,GE executive says no intent to split off healthcare businesses ,General Electric Co has no intent to split off any significant parts of its healthcare business  GE's head of the unit said on Wednesday  and that "all aspects" of the $18 billion division are part of the company's portfolio.,topStory
GEB,General Electric Company,20150916,GE exec says no intent to split off healthcare businesses ,Sept 16 General Electric Co has no intent to split off any significant parts of its healthcare business  GE's head of the unit said on Wednesday  and that "all aspects" of the $18 billion division are part of the company's portfolio.,normal
GEB,General Electric Company,20150916,GE sells $3.7 billion UK home loan portfolio to Kensington Mortgage ,General Electric Co  said on Wednesday it had sold a $3.7 billion portfolio of loans from its British home lending business to private equity-backed Kensington Mortgage Co Ltd as it continues to shrink its financing arm  GE Capital.,normal
GEB,General Electric Company,20150916,GE sells $3.7 bln UK home loan portfolio to Kensington Mortgage ,Sept 16 General Electric Co said on Wednesday it had sold a $3.7 billion portfolio of loans from its British home lending business to private equity-backed Kensington Mortgage Co Ltd as it continues to shrink its financing arm  GE Capital.,normal
GEB,General Electric Company,20150916,Polish billionaire plans to sell debt collector to raise cash for BPH-report ,WARSAW  Sept 16 Polish billionaire Leszek Czarnecki is planning to sell debt collecting company GetBack to help raise cash to buy Bank BPH from General Electric (GE)  the Puls Biznesu daily said on Wednesday.,normal
GM,General Motors Company,20150916,GM to pay $900 mln  settle U.S. criminal case over ignition switches -sources ,NEW YORK General Motors Co has agreed to pay $900 million and sign a deferred-prosecution agreement to end a U.S. government investigation into its handling of an ignition-switch defect linked to 124 deaths  two sources told Reuters.,topStory
GM,General Motors Company,20150916,GM to pay $900 million  settle U.S. criminal case over ignition switches: sources ,NEW YORK General Motors Co  has agreed to pay $900 million and sign a deferred-prosecution agreement to end a U.S. government investigation into its handling of an ignition-switch defect linked to 124 deaths  two sources told Reuters.,normal
GM,General Motors Company,20150916,UPDATE 3-GM to pay $900 mln  settle U.S. criminal case over ignition switches -sources ,NEW YORK  Sept 16 General Motors Co has agreed to pay $900 million and sign a deferred-prosecution agreement to end a U.S. government investigation into its handling of an ignition-switch defect linked to 124 deaths  two sources told Reuters.,normal
GM,General Motors Company,20150916,GM to settle U.S. criminal case over ignition switches -source ,NEW YORK  Sept 16 General Motors Co has agreed to sign a deferred-prosecution agreement to end a U.S. government investigation into its handling of an ignition-switch defect linked to 124 deaths  a source told Reuters.,normal
GM,General Motors Company,20150916,U.S. union  Fiat Chrysler pact ties worker bonus to long-term goals ,DETROIT  Sept 16 The proposed labor pact for Fiat Chrysler Automobiles  ties U.S. union worker pay to meeting long-term company goals including productivity gains  according to a memo sent to the company's employees on Wednesday from Chief Executive Sergio Marchionne.,normal
GM,General Motors Company,20150916,UAW  Fiat Chrysler reach tentative U.S. labor pact ,DETROIT A tentative labor contract covering 40 000 U.S. workers at Fiat Chrysler Automobiles NV   could eventually end a controversial two-tier pay system and could offer a new approach to curbing medical costs  the company's chief executive officer said Tuesday.,normal
GM,General Motors Company,20150916,UPDATE 3-UAW  Fiat Chrysler reach tentative U.S. labor pact ,DETROIT  Sept 15 A tentative labor contract covering 40 000 U.S. workers at Fiat Chrysler Automobiles NV   could eventually end a controversial two-tier pay system and could offer a new approach to curbing medical costs  the company's chief executive officer said Tuesday.,normal
HPQ,HP Inc,20150916,HP says printing and PC business to 'remain tough' in coming quarters ,Hewlett-Packard Co  said it expects the market for its computer and printer business - HP Inc  to remain tough for the "next several quarters " due to weak demand for personal computers.,topStory
HPQ,HP Inc,20150916,HP says printing and PC business to 'remain tough' in coming qtrs ,Sept 15 Hewlett-Packard Co said it expects the market for its computer and printer business - HP Inc  to remain tough for the "next several quarters " due to weak demand for personal computers.,normal
JPM,J P Morgan Chase & Co,20150916,MOVES-JPMorgan North America M&A co-head Gosebruch leaving for AbbVie ,Sept 16 Henry Gosebruch  a co-head of North America M&A at JPMorgan Chase & Co  is leaving the investment bank to join biopharmaceutical company AbbVie Inc  as chief strategy officer  leaving Anu Aiyengar as sole North America M&A head.,topStory
JPM,J P Morgan Chase & Co,20150916,Syngenta poised to launch sale of veg seeds business ,FRANKFURT Swiss agricultural chemicals group Syngenta  is about to launch the sale of its vegetable seeds business as it seeks to raise money for a share buyback  according to sources familiar with the matter.,normal
KSS,Kohl&#39;s Corporation,20150916,Kohl's to hire 3 pct more workers in stores this holiday season ,Sept 16 Department store operator Kohl's Corp  said on Wednesday it would hire an extra 69 000 workers for the holiday selling season  about 3 percent more than last year.,topStory
LMT,Lockheed Martin Corporation,20150916,Boeing rejects Aerojet Rocketdyne bid for ULA launch venture ,NATIONAL HARBOR  Md. Boeing Co  on Wednesday said it had rejected an unsolicited bid from Aerojet Rocketdyne Holdings Inc  for United Launch Alliance  a 50-50 rocket launch venture of Boeing and Lockheed Martin Corp .,topStory
LMT,Lockheed Martin Corporation,20150916,UPDATE 3-Boeing rejects Aerojet Rocketdyne bid for ULA launch venture ,NATIONAL HARBOR  Md.  Sept 16 Boeing Co  on Wednesday said it had rejected an unsolicited bid from Aerojet Rocketdyne Holdings Inc for United Launch Alliance  a 50-50 rocket launch venture of Boeing and Lockheed Martin Corp.,normal
LMT,Lockheed Martin Corporation,20150916,First manned test flight of new deep-space capsule likely delayed: NASA ,CAPE CANAVERAL  Fla. The first manned test flight of NASA's new deep-space Orion capsule faces a likely two-year-year delay until 2023 due to development and budget concerns  officials with the U.S. space agency said on Wednesday.,normal
LMT,Lockheed Martin Corporation,20150916,First manned test flight of new deep-space capsule likely delayed - NASA ,CAPE CANAVERAL  Fla.  Sept 16 The first manned test flight of NASA's new deep-space Orion capsule faces a likely two-year-year delay until 2023 due to development and budget concerns  officials with the U.S. space agency said on Wednesday.,normal
MRK,Merck & Company Inc,20150916,Merck's once-weekly diabetes drug found effective in study ,Merck & Co said its experimental once-weekly diabetes drug was found to be as good as its blockbuster Januvia  which is taken once a day.,topStory
MS,Morgan Stanley,20150916,Morgan Stanley unveils new digital sign at Times Square headquarters ,Morgan Stanley  unveiled a new digital sign for its Times Square headquarters in New York on Wednesday morning  completing a five-month construction project and hoping to message hundreds of thousands of people a day.,topStory
MS,Morgan Stanley,20150916,Morgan Stanley unveils new digital sign at Times Square headquarters ,Sept 16 Morgan Stanley unveiled a new digital sign for its Times Square headquarters in New York on Wednesday morning  completing a five-month construction project and hoping to message hundreds of thousands of people a day.,normal
NKE,Nike Inc,20150916,Under Armour expects revenue to more than double by 2018 ,NEW YORK Athletic wear maker Under Armour Inc  said on Wednesday it expects to more than double revenues and build more than 800 stores outside North America by 2018 as it takes on bigger rival Nike Inc  in the highly competitive athletic gear market.,topStory
NKE,Nike Inc,20150916,Under Armour expects revenue to more than double by 2018 ,NEW YORK  Sept 16 Athletic wear maker Under Armour Inc said on Wednesday it expects to more than double revenues and build more than 800 stores outside North America by 2018 as it takes on bigger rival Nike Inc in the highly competitive athletic gear market.,normal
NOC,Northrop Grumman Corporation,20150916,Northrop says could buy back up to $4 billion more in shares ,Northrop Grumman Corp   maker of Global Hawk drones  said it could buy back up to an additional $4 billion worth of shares as part of a new buyback authorization.,topStory
NOC,Northrop Grumman Corporation,20150916,Northrop says could buy back up to $4 bln more in shares ,Sept 16 Northrop Grumman Corp  maker of Global Hawk drones  said it could buy back up to an additional $4 billion worth of shares as part of a new buyback authorization.,normal
ORCL,Oracle Corporation,20150916,Oracle revenue forecast disappoints as license sales continue falling ,Oracle Corp's  sales fell more than expected in the first quarter  hurt by a strong dollar and a continued drop in licensed software sales and the company warned revenue could fall in the current quarter even on a constant currency basis.,topStory
ORCL,Oracle Corporation,20150916,UPDATE 3-Oracle revenue forecast disappoints as license sales continue falling ,Sept 16 Oracle Corp's sales fell more than expected in the first quarter  hurt by a strong dollar and a continued drop in licensed software sales and the company warned revenue could fall in the current quarter even on a constant currency basis.,normal
ORCL,Oracle Corporation,20150916,Oracle revenue falls on strong dollar  weak packaged software sales ,Sept 16 Oracle Corp's quarterly sales fell a bigger-than-expected 1.7 percent  hurt by a strong dollar and as the rapid shift by customers to lower-margin cloud-based software failed to make up for waning sales of traditional packaged software.,normal
ORCL,Oracle Corporation,20150916,Shares of Oracle jump on upgrade ahead of quarterly report ,SAN FRANCISCO Oracle Corp's  beleaguered shares jumped 1.1 percent on Wednesday after an analyst upgraded them ahead of the fiscal first-quarter report card that will shed light on the enterprise software heavyweight's shift toward cloud computing.,normal
ORAN,Orange,20150916,Orange  Publicis invest in Israeli video distributor Hola ,TEL AVIV Israel-based Hola  a video distribution network for publishers  said on Wednesday it raised $17 million in a funding round led by Iris Capital  a strategic partnership between France's Orange  and Publicis Groupe.,topStory
ORAN,Orange,20150916,Orange  Publicis invest in Israeli video distributor Hola ,TEL AVIV  Sept 16 Israel-based Hola  a video distribution network for publishers  said on Wednesday it raised $17 million in a funding round led by Iris Capital  a strategic partnership between France's Orange  and Publicis Groupe.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150916,Brazil's Petrobras output hits all-time high in August ,SAO PAULO  Sept 16 Brazil's Petroleo Brasileiro SA said on Wednesday that output rose 4.5 percent in August to an all-time high of 2.88 million barrels of oil and equivalent natural gas a day from a year earlier.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150916,RPT-Indebted emerging world about to count cost of Fed rate rise ,LONDON  Sept 15 Sometime this year  possibly even this week  the U.S. Federal Reserve will add billions of dollars to the annual cost of borrowing. Many firms  especially in emerging markets  seem ill-prepared for the inevitable.,normal
POT,Potash Corporation of Saskatchewan Inc,20150916,UPDATE 3-Potash Corp  K+S not actively discussing takeover -Potash CEO ,Sept 16 Potash Corp of Saskatchewan   is not actively discussing its takeover proposal with Germany's K+S  but remains interested in a combination of fertilizer producers that would aid North American potash sales and offer new access to Europe  Chief Executive Jochen Tilk said on Wednesday.,topStory
POT,Potash Corporation of Saskatchewan Inc,20150916,Potash Corp  K+S not actively discussing takeover-Potash CEO ,Sept 16 Potash Corp of Saskatchewan   is not actively discussing its takeover proposal with Germany's K+S  but remains interested in a deal that would aid North America potash sales and offer new access to Europe  Chief Executive Jochen Tilk said on Wednesday.,normal
PVG,Pretium Resources Inc,20150916,Pretium Resources secures $540 mln financing for Brucejack project ,Sept 15 Canadian miner Pretium Resources Inc  said it secured $540 million in financing to develop an underground mine at its Brucejack Project in British Columbia.,topStory
RBS,Royal Bank Scotland plc (The),20150916,Former RBS FX trader joins list of ex-bankers suing over dismissals ,LONDON A former Royal Bank of Scotland foreign exchange trader is suing the state-backed bank over his dismissal last year  adding to a growing list of fired traders who claim they were treated unfairly.,topStory
RBS,Royal Bank Scotland plc (The),20150916,Former RBS FX trader joins list of ex-bankers suing over dismissals ,LONDON A former Royal Bank of Scotland  foreign exchange trader is suing the state-backed bank over his dismissal last year  adding to a growing list of fired traders who claim they were treated unfairly.,normal
RBS,Royal Bank Scotland plc (The),20150916,Former RBS FX trader joins list of ex-bankers suing over dismissals ,LONDON  Sept 16 A former Royal Bank of Scotland  foreign exchange trader is suing the state-backed bank over his dismissal last year  adding to a growing list of fired traders who claim they were treated unfairly.,normal
SAP,SAP SE,20150916,Germany's SAP working on migrant registration app ,FRANKFURT Europe's largest software maker SAP said on Wednesday it was working on a smartphone application to help migrants arriving in Germany to navigate bureaucracy and officials to register them.,topStory
SAP,SAP SE,20150916,Germany's SAP working on migrant registration app ,FRANKFURT  Sept 16 Europe's largest software maker SAP said on Wednesday it was working on a smartphone application to help migrants arriving in Germany to navigate bureaucracy and officials to register them.,normal
STO,Statoil ASA,20150916,BRIEF-ABB wins power cable contract for Statoil oil field ,* Awarded a contract to ABB in Sweden for fabrication and installation of two high-voltage cables supplying power from shore to the Johan Sverdrup field,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150916,BRIEF-TSMC orders machinery equipment worth T$560 million ,Sept 16 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150916,Taiwan stocks rise; chips  TSMC gain ,TAIPEI  Sept 16 Taiwan stocks rose on Wednesday  led by chips and world's largest contract chipmaker Taiwan Semiconductor Manufacturing Co Ltd (TSMC).,normal
TGT,Target Corporation,20150916,Target pharmacy workers form union  first in company's history ,CHICAGO A group of pharmacy workers within Target Corp's store in Brooklyn  New York  have won a vote to form a microunion  making it the first unionized store at the retailer since its inception in 1902.,topStory
TGT,Target Corporation,20150916,Pharmacy workers in Target's New York store win right to form microunion ,CHICAGO A group of pharmacy workers within Target Corp's store in Brooklyn  New York have won a vote to form a microunion within the store  according to a filing on the National Labor Relations Board's website and union officials.,normal
TGT,Target Corporation,20150916,Pharmacy workers in Target's New York store win right to form microunion ,CHICAGO  Sept 16 A group of pharmacy workers within Target Corp's store in Brooklyn  New York have won a vote to form a microunion within the store  according to a filing on the National Labor Relations Board's website and union officials.,normal
TI,Telecom Italia SPA,20150916,Conversion of Telecom Italia savings shares unlikely at current prices-sources ,MILAN  Sept 16 Telecom Italia is unlikely to proceed with the  conversion of its 6 billion savings shares into ordinary stock until the price gap between the two classes of shares widens from current levels  three sources close to the matter told Reuters.,topStory
TI,Telecom Italia SPA,20150916,Telecom Italia head says hasn't discussed possible Vivendi stake increase ,ROME  Sept 16 Telecom Italia has not discussed with Vivendi  its biggest shareholder  the possibility that the French group may increase its stake  Telecom Italia Chairman Giuseppe Recchi said on Wednesday.,normal
TRI,Thomson Reuters Corp,20150916,Black children less likely to get pain drugs for appendicitis ,(Reuters Health) - Race appears to affect the odds that a child or teen with appendicitis  a painful condition requiring surgery  will get pain medication  particularly opioid medication  according to a new study.,topStory
TM,Toyota Motor Corp Ltd Ord,20150916,Toyota sees decision on sportscar project with BMW by year-end ,FRANKFURT  Sept 16 Japan's Toyota Motor Corp  and Germany's BMW will decide by year end on whether to develop a common  sportscar architecture  Toyota executives said on Wednesday.,topStory
TM,Toyota Motor Corp Ltd Ord,20150916,GM to pay $900 million  settle U.S. criminal case over ignition switches: sources ,NEW YORK General Motors Co  has agreed to pay $900 million and sign a deferred-prosecution agreement to end a U.S. government investigation into its handling of an ignition-switch defect linked to 124 deaths  two sources told Reuters.,normal
TM,Toyota Motor Corp Ltd Ord,20150916,UPDATE 3-GM to pay $900 mln  settle U.S. criminal case over ignition switches -sources ,NEW YORK  Sept 16 General Motors Co has agreed to pay $900 million and sign a deferred-prosecution agreement to end a U.S. government investigation into its handling of an ignition-switch defect linked to 124 deaths  two sources told Reuters.,normal
TSLX,TPG Specialty Lending Inc,20150916,TPG Specialty Lending offers to buy TICC Capital for $525 million ,TPG Specialty Lending Inc  has offered to buy TICC Capital Corp  in an all-stock deal valued at $525 million.,topStory
TSLX,TPG Specialty Lending Inc,20150916,TPG Specialty Lending offers to buy TICC Capital for $525 mln ,Sept 16 TPG Specialty Lending Inc has offered to buy TICC Capital Corp in an all-stock deal valued at $525 million.,normal
TWTR,Twitter Inc,20150916,Twitter tries to spur growth with shopping and political donations ,CHICAGO Twitter Inc's plans to let users buy goods and make political donations through tweets offer a path to reach new customers and build profit at a time the company has struggled to increase its audience.,topStory
TWTR,Twitter Inc,20150916,Twitter tries to spur growth with shopping and political donations ,CHICAGO  Sept 15 Twitter Inc's plans to let users buy goods and make political donations through tweets offer a path to reach new customers and build profit at a time the company has struggled to increase its audience.,normal
UPS,United Parcel Service Inc,20150916,UPS must face New York lawsuit over illegal cigarette shipments ,NEW YORK A federal judge said New York State and New York City may pursue a lawsuit accusing United Parcel Service Inc of illegally delivering more than 683 000 cartons of untaxed cigarettes in the state  depriving them of millions of dollars in taxes.,topStory
UPS,United Parcel Service Inc,20150916,UPS must face New York lawsuit over illegal cigarette shipments ,NEW YORK A federal judge said New York State and New York City may pursue a lawsuit accusing United Parcel Service Inc  of illegally delivering more than 683 000 cartons of untaxed cigarettes in the state  depriving them of millions of dollars in taxes.,normal
UPS,United Parcel Service Inc,20150916,UPDATE 2-UPS must face New York lawsuit over illegal cigarette shipments ,NEW YORK  Sept 16 A federal judge said New York State and New York City may pursue a lawsuit accusing United Parcel Service Inc of illegally delivering more than 683 000 cartons of untaxed cigarettes in the state  depriving them of millions of dollars in taxes.,normal
