ALRM,Alarmcom Holdings Inc,20151105,BRIEF-Securitas and Alarm.com in strategic partnership ,* Securitas and Alarm.com have entered into a strategic partnership to launch Alarm.com's cloud-based security and automation services in Europe,topStory
GEH,General Electric Capital Corporation,20151105,No settlement likely as Electrolux heads to trial over GE bid ,WASHINGTON AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,normal
GEH,General Electric Capital Corporation,20151105,UPDATE 1-No settlement likely as Electrolux heads to trial over GE bid ,WASHINGTON  Nov 5 AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,normal
GEH,General Electric Capital Corporation,20151105,Electrolux not in US settlement talks over GE appliance bid -lawyer ,WASHINGTON  Nov 5 Electrolux AB is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday.,normal
GEK,General Electric Capital Corporation,20151105,No settlement likely as Electrolux heads to trial over GE bid ,AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,topStory
GEK,General Electric Capital Corporation,20151105,No settlement likely as Electrolux heads to trial over GE bid ,WASHINGTON AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,normal
GEK,General Electric Capital Corporation,20151105,UPDATE 1-No settlement likely as Electrolux heads to trial over GE bid ,WASHINGTON  Nov 5 AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,normal
GEK,General Electric Capital Corporation,20151105,Electrolux not in US settlement talks over GE appliance bid -lawyer ,WASHINGTON  Nov 5 Electrolux AB is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday.,normal
GE,General Electric Company,20151105,No settlement likely as Electrolux heads to trial over GE bid ,AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,topStory
GE,General Electric Company,20151105,No settlement likely as Electrolux heads to trial over GE bid ,WASHINGTON AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,normal
GE,General Electric Company,20151105,UPDATE 1-No settlement likely as Electrolux heads to trial over GE bid ,WASHINGTON  Nov 5 AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,normal
GE,General Electric Company,20151105,Electrolux not in US settlement talks over GE appliance bid -lawyer ,WASHINGTON  Nov 5 Electrolux AB is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday.,normal
GEB,General Electric Company,20151105,No settlement likely as Electrolux heads to trial over GE bid ,AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,topStory
GEB,General Electric Company,20151105,No settlement likely as Electrolux heads to trial over GE bid ,WASHINGTON AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,normal
GEB,General Electric Company,20151105,UPDATE 1-No settlement likely as Electrolux heads to trial over GE bid ,WASHINGTON  Nov 5 AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,normal
GEB,General Electric Company,20151105,Electrolux not in US settlement talks over GE appliance bid -lawyer ,WASHINGTON  Nov 5 Electrolux AB is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday.,normal
GM,General Motors Company,20151105,GM's Vauxhall recalls 220 000 Zafira B models to investigate fire-related incidents ,Vauxhall is recalling 220 000 of its Zafira B mid-sized cars to inspect the car's heating and ventilation systems and ascertain the cause of fire-related incidents  the General Motors-owned British marque said on Thursday.,topStory
GM,General Motors Company,20151105,UPDATE 1-GM's Vauxhall recalls 220 000 Zafira B models to investigate fire-related incidents ,Nov 5 Vauxhall is recalling 220 000 of its Zafira B mid-sized cars to inspect the car's heating and ventilation systems and ascertain the cause of fire-related incidents  the General Motors-owned British marque said on Thursday.,normal
GM,General Motors Company,20151105,REUTERS BUSINESS NEWS SCHEDULE AT 1600 GMT/11 AM ET ,WASHINGTON/SYDNEY - The long-awaited text of a landmark U.S.-backed Pacific trade deal was released on Thursday  revealing the details of a pact aimed at freeing up commerce in 40 percent of the world's economy but criticized for its opacity. (TRADE-TPP/ (WRAPUP 3  GRAPHIC)  expect by 1700 GMT/noon ET  by Krista Hughes and Matt Siegel  621 words),normal
GM,General Motors Company,20151105,UAW workers at large GM plant in Fort Wayne  Indiana  approve pact ,DETROIT United Auto Workers members at the General Motors Co  truck plant in Fort Wayne  Indiana  approved a new four-year contract by a wide margin  joining momentum in favor of the deal as voting continues on Thursday.,normal
GM,General Motors Company,20151105,UPDATE 1-UAW workers at large GM plant in Fort Wayne  Indiana  approve pact ,DETROIT  Nov 5 United Auto Workers members at the General Motors Co truck plant in Fort Wayne  Indiana  approved a new four-year contract by a wide margin  joining momentum in favor of the deal as voting continues on Thursday.,normal
GM,General Motors Company,20151105,GM announces record China vehicle sales in October ,BEIJING General Motors Co  said vehicle sales in China rose 15 percent to a record monthly high in October  underpinned by the Chinese government's decision to cut taxes for smaller cars.,normal
GM,General Motors Company,20151105,GM announces record China vehicle sales in October ,BEIJING  Nov 5 General Motors Co said vehicle sales in China rose 15 percent to a record monthly high in October  underpinned by the Chinese government's decision to cut taxes for smaller cars.,normal
GM,General Motors Company,20151105,BRIEF-GM says Oct China vehicle sales up 15 pct y/y ,* Oct China vehicle sales total record 327 037  +15 pct y/y  versus -3.9 pct in Sept,normal
GS,Goldman Sachs Group Inc (The),20151105,Ex-Goldman employee pleads guilty over N.Y. Fed leaks ,NEW YORK A former Goldman Sachs Group Inc  employee pleaded guilty on Thursday to illegally obtaining confidential information from a former colleague at the Federal Reserve Bank of New York.,topStory
GS,Goldman Sachs Group Inc (The),20151105,UPDATE 2-Ex-Goldman employee pleads guilty over N.Y. Fed leaks ,NEW YORK  Nov 5 A former Goldman Sachs Group Inc  employee pleaded guilty on Thursday to illegally obtaining confidential information from a former colleague at the Federal Reserve Bank of New York.,normal
GS,Goldman Sachs Group Inc (The),20151105,Ex-Goldman employee pleads guilty over N.Y. Fed leaks ,NEW YORK A former Goldman Sachs Group Inc  employee pleaded guilty on Thursday to illegally obtaining confidential information from a former colleague at the Federal Reserve Bank of New York.,normal
GS,Goldman Sachs Group Inc (The),20151105,Deals of the day- Mergers and acquisitions ,Nov 5 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,normal
GS,Goldman Sachs Group Inc (The),20151105,Ex-Goldman employee pleads guilty over N.Y. Fed leaks ,NEW YORK  Nov 5 A former Goldman Sachs Group Inc  employee pleaded guilty on Thursday to illegally obtaining confidential information from a former colleague at the Federal Reserve Bank of New York.,normal
GS,Goldman Sachs Group Inc (The),20151105,Beset by regulation  bankers fear more pain ahead ,LONDON Even as world leaders prepare to endorse new banking rules to draw a line under the financial crisis  many bankers see no end in sight to the painful demands on an industry that became the focus of public and political anger.,normal
GS,Goldman Sachs Group Inc (The),20151105,Beset by regulation  bankers fear more pain ahead ,* Regulators say focus shifting from rule-making to implementation,normal
HFC,HollyFrontier Corporation,20151105,U.S. refiner HollyFrontier's profit beats on higher margins ,U.S. refiner HollyFrontier Corp  reported a better-than-expected quarterly profit as lower crude costs boosted refining margins.,topStory
HFC,HollyFrontier Corporation,20151105,UPDATE 1-U.S. refiner HollyFrontier's profit beats on higher margins ,Nov 5 U.S. refiner HollyFrontier Corp  reported a better-than-expected quarterly profit as lower crude costs boosted refining margins.,normal
HFC,HollyFrontier Corporation,20151105,Refiner HollyFrontier's profit rises 12 pct on higher margins ,Nov 5 U.S. refiner HollyFrontier Corp's  quarterly profit rose 12 percent as lower crude costs boosted refining margins.,normal
HMC,Honda Motor Company Ltd,20151105,Nikkei rises as weak yen helps sentiment after Yellen comments; JT surges ,* Takata plunges as Honda says will no longer use its inflators,topStory
HMC,Honda Motor Company Ltd,20151105,UPDATE 3-Takata shares sink by a quarter  more car makers may snub inflators ,* Takata to announce interim financial results on Friday   (Adds Mazda comment),normal
HMC,Honda Motor Company Ltd,20151105,Mazda to stop using Takata air bag inflators containing ammonium nitrate ,TOKYO Mazda Motor Corp  on Thursday said it would not use air bag inflators manufactured by Takata Corp  containing ammonium nitrate in its new cars after such products were banned by U.S. regulators the previous day.,normal
HMC,Honda Motor Company Ltd,20151105,Takata shares at 6-1/2-year low after supplier snubbed by Honda ,TOKYO  Nov 5 Shares of Japanese supplier Takata Corp plunged 21 percent on Thursday  extending a sharp fall from the day before when top customer Honda Motor Co  said it would stop buying a component at the heart of a multi-million-vehicle recall.,normal
JPM,J P Morgan Chase & Co,20151105,Ex-JPMorgan U.S. adviser pleads guilty to embezzling $22 million ,NEW YORK A former JPMorgan Chase & Co investment adviser pleaded guilty on Thursday to stealing at least $22 million from client accounts  money his lawyer said was used to gamble on sporting events and trade in stock options.,topStory
JPM,J P Morgan Chase & Co,20151105,Ex-JPMorgan U.S. adviser pleads guilty to embezzling $22 million ,NEW YORK A former JPMorgan Chase & Co  investment adviser pleaded guilty on Thursday to stealing at least $22 million from client accounts  money his lawyer said was used to gamble on sporting events and trade in stock options.,normal
JPM,J P Morgan Chase & Co,20151105,Ex-JPMorgan U.S. adviser pleads guilty to embezzling $22 million ,NEW YORK  Nov 5 A former JPMorgan Chase & Co  investment adviser pleaded guilty on Thursday to stealing at least $22 million from client accounts  money his lawyer said was used to gamble on sporting events and trade in stock options.,normal
JPM,J P Morgan Chase & Co,20151105,MOVES-Deutsche Bank healthcare bankers depart for JPMorgan ,Nov 5 A pair of Deutsche Bank AG  healthcare investment bankers are leaving for JPMorgan Chase & Co a little more than a year after joining the German bank  according to people familiar with the matter.,normal
JPM,J P Morgan Chase & Co,20151105,BRIEF-Banca Carige hires Mediobanca  JP Morgan as M&A advisers ,* it has hired Mediobanca and JP Morgan as advisers for M&A strategy  Source text for Eikon:  Further company coverage:    (Reporting by Milan newsroom),normal
JPM,J P Morgan Chase & Co,20151105,MOVES-Deutsche Bank healthcare bankers depart for JPMorgan one year after hire ,Nov 5 A pair of Deutsche Bank AG  healthcare investment bankers are leaving for JPMorgan Chase & Co a little more than a year after joining the German bank  according to people familiar with the matter.,normal
JPM,J P Morgan Chase & Co,20151105,Beset by regulation  bankers fear more pain ahead ,LONDON Even as world leaders prepare to endorse new banking rules to draw a line under the financial crisis  many bankers see no end in sight to the painful demands on an industry that became the focus of public and political anger.,normal
JPM,J P Morgan Chase & Co,20151105,Beset by regulation  bankers fear more pain ahead ,* Regulators say focus shifting from rule-making to implementation,normal
PHG,Koninklijke Philips NV,20151105,BRIEF-Koninklijke Philips settles entire UK pension plan obligations ,* Signs agreement resulting in settlement of its entire UK pension plan obligations,topStory
LOW,Lowe&#39;s Companies Inc,20151105,Lowe's to pay New Yorkers $1.1 mln for deceptive sales practices ,Lowe's Cos agreed to refund as much as $1.1 million to New York consumers to settle allegations that it used deceptive sales practices when charging for flooring installations  state Attorney General Eric Schneiderman said on Thursday.,topStory
LOW,Lowe&#39;s Companies Inc,20151105,Lowe's to pay New Yorkers $1.1 million for deceptive sales practices ,NEW YORK Lowe's Cos agreed to refund as much as $1.1 million to New York consumers to settle allegations that it used deceptive sales practices when charging for flooring installations  state Attorney General Eric Schneiderman said on Thursday.,normal
LOW,Lowe&#39;s Companies Inc,20151105,Lowe's to pay New Yorkers $1.1 mln for deceptive sales practices ,NEW YORK  Nov 5 Lowe's Cos agreed to refund as much as $1.1 million to New York consumers to settle allegations that it used deceptive sales practices when charging for flooring installations  state Attorney General Eric Schneiderman said on Thursday.,normal
MGA,Magna International Inc,20151105,Auto parts maker Magna says factory glitches to hurt profit ,Canadian auto parts maker Magna International Inc said operational glitches at three of its plants in North America would weigh on its earnings in the current quarter and spill over to the first half of next year.,topStory
MGA,Magna International Inc,20151105,UPDATE 2-Auto parts maker Magna says factory glitches to hurt profit ,* Shares fall 12 pct in early trading   (Adds CEO comments  Q3 details  share activity),normal
MGA,Magna International Inc,20151105,CANADA STOCKS-TSX opens lower  weighed by Magna  resource stocks ,TORONTO  Nov 5 Canada's main stock index fell early on Thursday  with auto parts maker Magna International Inc  shares down 12 percent after reporting a slip in sales  and as weakness in oil and other commodity prices weighed on resource stocks.,normal
MGA,Magna International Inc,20151105,Auto parts maker Magna's sales fall 7 pct  hurt by strong dollar ,Nov 5 Canadian auto parts maker Magna International Inc  reported a 7 percent drop in quarterly sales  hurt by a strong dollar.,normal
MCD,McDonald&#39;s Corporation,20151105,Panera moving to cage-free eggs by 2020 ,Bakery-cafe chain Panera Bread Co will stop using eggs laid by caged hens by 2020  following similar moves from McDonald's Corp and other large U.S. restaurant chains.,topStory
MCD,McDonald&#39;s Corporation,20151105,Panera moving to cage-free eggs by 2020 ,Nov 5 Bakery-cafe chain Panera Bread Co  will stop using eggs laid by caged hens by 2020  following similar moves from McDonald's Corp and other large U.S. restaurant chains.,normal
TAP,Molson Coors Brewing  Company,20151105,Molson Coors profit beats on higher demand for premium brews ,Molson Coors Brewing Co  reported a better-than-expected quarterly profit  helped by strong demand for its higher-margin brands  which include Blue Moon Belgian White and Leinenkugel's Summer Shandy  in the United States and Europe.,topStory
TAP,Molson Coors Brewing  Company,20151105,UPDATE 2-Molson Coors profit beats on higher demand for premium brews ,Nov 5 Molson Coors Brewing Co reported a better-than-expected quarterly profit  helped by strong demand for its higher-margin brands  which include Blue Moon Belgian White and Leinenkugel's Summer Shandy  in the United States and Europe.,normal
TAP,Molson Coors Brewing  Company,20151105,MillerCoors net sales fall 3.4 pct ,Nov 5 MillerCoors LLC  the U.S. joint venture of brewers Molson Coors Brewing Co and SABMiller Plc   reported a 3.4 percent drop in net sales  hurt by lower demand for its Coors Light beer.,normal
MOS,Mosaic Company (The),20151105,UPDATE 1-Fertilizer maker Agrium's profit rises nearly 9 pct ,Nov 5 Canadian fertilizer and farm retail dealer Agrium Inc  reported a nearly 9 percent rise in quarterly profit  helped by lower costs.,normal
NKE,Nike Inc,20151105,Adidas to intensify marketing drive as U.S. sales rebound ,BERLIN German sportswear company Adidas   trying to muscle into Nike's  home territory  plans to increase spending on marketing again after high-profile sponsorship deals and celebrity partnerships helped rekindle U.S. sales.,topStory
NKE,Nike Inc,20151105,UPDATE 3-Adidas to intensify marketing drive as U.S. sales rebound ,* Adidas brand sales in North America grow fastest since 2011,normal
NOC,Northrop Grumman Corporation,20151105,Boeing nears decision on protest of U.S. bomber award to Northrop ,WASHINGTON Boeing Co  may decide as soon as Thursday whether to protest the U.S. Air Force's selection of Northrop Grumman Corp  to develop and build a next-generation long-range strike bomber amid signs that a challenge could be an uphill battle  according to sources familiar with the issue.,topStory
NOC,Northrop Grumman Corporation,20151105,Boeing nears decision on protest of U.S. bomber award to Northrop ,WASHINGTON  Nov 4 Boeing Co may decide as soon as Thursday whether to protest the U.S. Air Force's selection of Northrop Grumman Corp to develop and build a next-generation long-range strike bomber amid signs that a challenge could be an uphill battle  according to sources familiar with the issue.,normal
OAK,Oaktree Capital Group LLC,20151105,UPDATE 1-Oaktree's Marks says to tap more Chinese funds for distressed debt ,* Oaktree expects to raise more funds in China's QDLP program,topStory
OAK,Oaktree Capital Group LLC,20151105,Oaktree's Marks says to tap more Chinese funds for distressed debt ,HONG KONG  Nov 5 Howard Marks  co-founder and chairman of Oaktree Capital  the world's largest distressed debt investor  said on Thursday he expects to raise more funds from Chinese high net worth investors to buy distressed debt overseas.,normal
OZM,Och-Ziff Capital Management Group LLC,20151105,Fitch Affirms Och-Ziff Capital Management Group LLC at 'BBB-'  Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  November 05 (Fitch) Fitch Ratings has affirmed the long-term Issuer  Default Ratings (IDRs) of Och-Ziff Capital Management Group LLC (OZM)  OZ  Management LP  OZ Advisors LP  OZ Advisors II LP  and Och-Ziff Finance Co. LLC  at 'BBB-'. The $400 million of senior unsecured notes issued by Och-Ziff Finance  Co. LLC have also been affirmed at 'BBB-'. The Rating Outlook is Stable. KEY RATING DRIVERS - IDRs The rating affirmations a,topStory
OA,Orbital ATK Inc,20151105,Orbital wins $790 million contract for ballistic missile support ,WASHINGTON  Nov 5 Orbital ATK Inc has been awarded a contract worth more than $790 million for intercontinental ballistic missile propulsion support  the Pentagon announced on Thursday.,topStory
OSK,Oshkosh Corporation,20151105,EU mergers and takeovers (Nov 5) ,BRUSSELS  Nov 5 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20151105,Petrobras says it reduced output loss due to strike to 127 000 b/d ,BRASILIA Brazil's state-run oil company Petroleo Brasileiro SA reduced cuts in oil production caused by a labor strike to 127 000 barrels on Thursday as contingency plans took effect  the company said in a statement.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20151105,Petrobras says it reduced output loss due to strike to 127 000 b/d ,BRASILIA  Nov 5 Brazil's state-run oil company Petroleo Brasileiro SA reduced cuts in oil production caused by a labor strike to 127 000 barrels on Thursday as contingency plans took effect  the company said in a statement.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151105,Petrobras strike shows strong opposition to 'privatization': unions ,RIO DE JANEIRO Brazilian union leaders say stronger than expected support for a strike at Petrobras is due to growing worker opposition to a creeping privatization of the state oil company.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151105,Petrobras strike shows strong opposition to "privatization" -unions ,RIO DE JANEIRO  Nov 5 Brazilian union leaders say stronger than expected support for a strike at Petrobras is due to growing worker opposition to a creeping privatization of the state oil company.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151105,Petrobras strike cuts output by 100 000 barrels on Thursday - source ,BRASILIA  Nov 5 A five-day strike cut oil production at state-run oil company Petroleo Brasileiro SA  by 100 000 barrels on Thursday  as contingency plans continued to reduce losses from the stoppage  a company source said.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151105,Worst Petrobras strike in 20 years hurts Brazil oil output ,RIO DE JANEIRO A four-day strike at Petrobras gathered steam on Wednesday  cutting crude and natural gas output from the No. 2 South American oil producer and threatening to become the most disruptive walkout at the state-run oil company in 20 years.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151105,UPDATE 2-Worst Petrobras strike in 20 years hurts Brazil oil output ,RIO DE JANEIRO  Nov 4 A four-day strike at Petrobras gathered steam on Wednesday  cutting crude and natural gas output from the No. 2 South American oil producer and threatening to become the most disruptive walkout at the state-run oil company in 20 years.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151105,Petrobras says strike cut oil output by 8.5 percent on Tuesday ,BRASILIA A four-day strike reduced oil production at state-run oil company Petroleo Brasileiro SA by 8.5 percent or 178 000 barrels on Tuesday  the company said in a Wednesday securities filing.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151105,Petrobras says strike cut oil output by 8.5 pct on Tuesday ,BRASILIA  Nov 4 A four-day strike reduced oil production at state-run oil company Petroleo Brasileiro SA  by 8.5 percent or 178 000 barrels on Tuesday  the company said in a Wednesday securities filing.,normal
PFE,Pfizer Inc,20151105,UPDATE 2-AstraZeneca lifts 2015 forecasts despite tough times ,* Q3 revenue $5.95 bln vs $5.97 bln consensus   (Adds further detail on drugs  latest share price  Breakingviews link),normal
PG,Procter & Gamble Company (The),20151105,UPDATE 2-Coty revenue misses estimates as perfume sales fade ,* P&G deal financing in place   (Adds details on P&G deal  shares),topStory
RIO,Rio Tinto Plc,20151105,Rio Tinto sees strong growth in iron ore demand outside China ,SYDNEY  Nov 5 Rio Tinto said on Thursday it expects to see strong growth in iron ore demand in countries outside of China as the global seaborne market expands.,topStory
RCI,Rogers Communication Inc,20151105,UPDATE 2-Telus eyes job cuts as wireless growth slows; shares fall ,TORONTO  Nov 5 Shares in Telus Corp  one of Canada's three big telecoms providers  fell on Thursday after the company reported slowing wireless growth and forecast higher restructuring costs as it announced job cuts.,normal
SNY,Sanofi,20151105,Sanofi  Hanmi seal diabetes licence deal for up to $4.2 billion ,PARIS Sanofi has signed a licence deal with Hanmi Pharmaceutical to develop experimental  long-acting diabetes treatments  the French drugmaker said on Thursday  in a move to revive its diabetes division.,topStory
SNY,Sanofi,20151105,UPDATE 2-Sanofi  Hanmi seal diabetes licence deal for up to $4.2 bln ,* Deal seen as negative for existing Sanofi partner Zealand   (Adds analyst's comment  updates share price reaction),normal
SNY,Sanofi,20151105,UPDATE 1-Sanofi  Hanmi seal diabetes licence deal for up to $4.2 bln ,* Sanofi to obtain exclusive worldwide licence   (Adds details),normal
SNY,Sanofi,20151105,BRIEF-Zealand Pharma Q3 net result swings to loss DKK 51.3 ,* Q3 revenue 7.2 million Danish crowns ($1.05 million) versus 58.2 million crowns year ago,normal
SNY,Sanofi,20151105,BRIEF-Alliance Pharma says agreed compensation from Sanofi Pasteur ,* Agreed compensation from Sanofi Pasteur following suspension of manufacturing since mid-2012 of bladder cancer treatment Immucyst,normal
SNY,Sanofi,20151105,Sanofi  Hanmi sign diabetes treatment licence agreement ,PARIS  Nov 5 France's Sanofi said on Thursday that it had signed a licence agreement with Korea-based Hanmi Pharmaceutical Co. Ltd. to develop a portfolio of experimental  long-acting diabetes treatments.,normal
SDRL,Seadrill Limited,20151105,UPDATE 4-Ex-Vimpelcom CEO Lunder held by Norwegian police ,OSLO  Nov 5 Former Vimpelcom chief executive Jo Lunder is being held by Norwegian police on suspicion of corruption as part of a probe into its business in Uzbekistan  police told Reuters on Thursday.,normal
SDRL,Seadrill Limited,20151105,Ex-Vimpelcom CEO Jo Lunder held by Norwegian police -lawyer ,OSLO  Nov 5 The former chief executive of telecoms firm Vimpelcom  Jo Lunder  was apprehended by Norwegian police late on Wednesday  his lawyer told Reuters on Thursday.,normal
SHAK,Shake Shack Inc,20151105,Shake Shack restaurant sales jump in third quarter ,LOS ANGELES Shake Shack Inc   known for its antibiotic-free hamburgers and indulgent side dishes  said on Thursday that restaurant sales growth and profit jumped more than expected in the third quarter  sending shares up 7 percent in extended trade.,topStory
SHAK,Shake Shack Inc,20151105,UPDATE 2-Shake Shack restaurant sales jump in third quarter ,LOS ANGELES  Nov 5 Shake Shack Inc  known for its antibiotic-free hamburgers and indulgent side dishes  said on Thursday that restaurant sales growth and profit jumped more than expected in the third quarter  sending shares up 7 percent in extended trade.,normal
SHAK,Shake Shack Inc,20151105,Shake Shack restaurant sales jump in third quarter ,LOS ANGELES  Nov 5 Shake Shack Inc  known for its antibiotic-free hamburgers and indulgent sides  on Thursday said third-quarter sales at established restaurants jumped more than expected.,normal
SJR,Shaw Communications Inc,20151105,UPDATE 1-Canada's BCE posts profit rise on wireless spending ,TORONTO  Nov 5 BCE Inc posted a solid rise in third-quarter profit on Thursday  helped by its wireless customers spending more for service  the Canadian telecommunications company said.,normal
SBGL,Sibanye Gold Limited,20151105,UPDATE 1-South Africa's Sibanye Gold not planning wage talks with AMCU union ,* Gold companies extend wage offer to AMCU members   (Recasts with Sibanye comments  new quotes  details),topStory
SNE,Sony Corp Ord,20151105,Lawyer's 'medical issue' doomed Shakira copyright case  Mayimba Music says ,The dispute over whether a hit song by pop star Shakira was an illegal copy of a Dominican songwriter's work has taken another dramatic turn now that the music company behind the lawsuit says its former attorney has a "deteriorating" medical condition and failed to represent it properly.,topStory
SNE,Sony Corp Ord,20151105,Sony starts making premium smartphones in Thailand  in quest for profits ,BANGKOK  Nov 5 Japan's Sony Corp aims to make 600 000 to 700 000 premium smartphones in the first year at its new wholly-owned plant in Thailand which began production in September  a spokesman said.,normal
LUV,Southwest Airlines Company,20151105,Southwest Airlines' pilots reject tentative contract: union ,Pilots at Southwest Airlines Co have rejected a tentative contract with the U.S. budget carrier  their union said on Wednesday.,topStory
SLF,Sun Life Financial Inc,20151105,Sun Life CEO mulls asset management acquisitions in U.S.  Canada ,TORONTO Canadian insurer Sun Life Financial Inc  is scouting for acquisitions to boost its asset management businesses in the United States and Canada  following a string of deals this year  its top executive said on Thursday.,topStory
SLF,Sun Life Financial Inc,20151105,Deals of the day- Mergers and acquisitions ,Nov 5 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151105,BRIEF-Taiwan's TSMC orders equipment from Wholetech System Hitech ,Further company coverage:    ($1 = 32.4550 Taiwan dollars)   (Reporting by Hong Kong and Singapore newsrooms),topStory
TGT,Target Corporation,20151105,Target loses latest round in effort to prevent pharmacy workers from forming union ,Nov 5 Target Corp has lost another round in its attempt to prevent pharmacy workers at a New York City store forming what would be the first union in the retailer's 113-year history after a U.S. labor agency declined to review its objections to the plan.,topStory
TGT,Target Corporation,20151105,Target loses latest round in effort to prevent pharmacy workers from forming union ,Target Corp  has lost another round in its attempt to prevent pharmacy workers at a New York City store forming what would be the first union in the retailer's 113-year history after a U.S. labor agency declined to review its objections to the plan.,normal
TGT,Target Corporation,20151105,Target loses latest round in effort to prevent pharmacy workers from forming union ,Nov 5 Target Corp has lost another round in its attempt to prevent pharmacy workers at a New York City store forming what would be the first union in the retailer's 113-year history after a U.S. labor agency declined to review its objections to the plan.,normal
TI,Telecom Italia SPA,20151105,Telecom Italia nine-month core earnings down 14.8 percent  in line with expectations ,MILAN Telecom Italia on Thursday reported a 14.8 percent drop in core earnings for the first nine months  hit by one-off charges and further deterioration in its key Brazilian market.,topStory
TI,Telecom Italia SPA,20151105,Telecom Italia to convert saving shares to raise cash ,MILAN Telecom Italia has decided to go ahead with a conversion of its more than six billion saving shares into ordinary stock to raise cash  in a move which would dilute the grip on the company of its two French investors.,normal
TI,Telecom Italia SPA,20151105,UPDATE 2-Telecom Italia to convert saving shares to raise cash ,* Conversion could raise up to 573 mln euros cash   (Adds 9-month earnings  paragraphs 10-11),normal
TI,Telecom Italia SPA,20151105,Telecom Italia 9-month core earnings down 14.8 pct  in line with expectations ,MILAN  Nov 5 Telecom Italia on Thursday reported a 14.8 percent drop in core earnings for the first nine months  hit by one-off charges and further deterioration in its key Brazilian market.,normal
TI,Telecom Italia SPA,20151105,CORRECTED-Telecom Italia proposes to convert saving shares ,MILAN  Nov 5 Telecom Italia said on Thursday it had decided to go ahead with a conversion of the phone group's 6 billion saving shares into ordinary stock and will put the proposal to a shareholder vote at meetings in December.,normal
TI,Telecom Italia SPA,20151105,Italy - Factors to watch on November 5 ,The following factors could affect Italian markets on Thursday.,normal
VIV,Telefonica Brasil SA,20151105,Telefonica Brasil cost-cutting on track for best-case savings -CEO ,SAO PAULO  Nov 5 Telefonica Brasil SA   Brazil's biggest telecommunications company  is on track for cost savings outlined in its best-case scenario as it consolidates the takeover of broadband provider GVT SA  Chief Executive Officer Amos Genish said on Thursday.,topStory
VIV,Telefonica Brasil SA,20151105,Spanish stocks - Factors to watch on Thursday ,The following Spanish stocks may be affected by newspaper reports and other factors on Thursday. Reuters has not verified the newspaper reports  and cannot vouch for their accuracy:,normal
TU,TELUS Corporation,20151105,Telus eyes job cuts as wireless growth slows; shares fall ,TORONTO Shares in Telus Corp   one of Canada's three big telecoms providers  fell on Thursday after the company reported slowing wireless growth and forecast higher restructuring costs as it announced job cuts.,topStory
