ALXN,Alexion Pharmaceuticals Inc,20150702,BRIEF-Lonza announces additional long-term agreement with Alexion ,* New manufacturing line to be constructed at Lonza's existing Portsmouth  NH (USA) plant,topStory
GEB,General Electric Company,20150702,German utilities outperform sluggish European stock markets ,LONDON  July 2 German utility stocks rose sharply on Thursday after plans for a coal levy were scrapped  outperforming a flat showing on other benchmark European equity indexes that remained dogged by concerns over Greece.,normal
GEB,General Electric Company,20150702,CORRECTED-UPDATE 1-Electrolux CEO seeks to rescue GE deal after legal blow ,* CEO says DOJ has not understood how competitive industry is,normal
GEB,General Electric Company,20150702,GE meets EU regulators over Alstom power unit deal ,BRUSSELS General Electric  met EU antitrust regulators on Thursday  hoping they will take a softer line on its 12.4-billion-euro ($13.7 billion) bid for Alstom's  energy unit.,normal
GEB,General Electric Company,20150702,Electrolux sinks as Greek uncertainty pegs back European shares ,LONDON  July 2 European shares made little headway on Thursday  as uncertainty over Greece's debt crisis pegged back the region's stock markets  while Sweden's Electrolux slumped after a U.S. legal challenge to a deal.,normal
GM,General Motors Company,20150702,Strong truck  SUV demand helped Ford  GM raise prices in June , (This version of the July 1 story corrects Kia Motors U.S. sales to up 6.9 percent  not 3.6 percent in last paragraph) | Video ,topStory
GM,General Motors Company,20150702,CORRECTED-UPDATE 4-Strong truck  SUV demand helped Ford  GM raise prices in June ,* GM  Ford  Toyota report drop in car sales  rise in SUV sales,normal
GSK,GlaxoSmithKline PLC,20150702,Manufacturing deal wins China cheap supply of GSK's new HIV drug ,LONDON China will receive cut-price supplies of GlaxoSmithKline's new HIV drug Tivicay  following a deal for Shanghai-based Desano Pharmaceuticals to become an additional manufacturer of the medicine's active ingredient.,topStory
GSK,GlaxoSmithKline PLC,20150702,Manufacturing deal wins China cheap supply of GSK's new HIV drug ,LONDON  July 2 China will receive cut-price supplies of GlaxoSmithKline's new HIV drug Tivicay  following a deal for Shanghai-based Desano Pharmaceuticals to become an additional manufacturer of the medicine's active ingredient.,normal
GS,Goldman Sachs Group Inc (The),20150702,MOVES-UBS  Standard Chartered  ICAP  BNP Paribas  Jefferies ,July 2 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
GS,Goldman Sachs Group Inc (The),20150702,MOVES-Goldman's activism defense banker Anderson joins Evercore -source ,July 2 Goldman Sachs Group Inc's William Anderson is joining New York-based boutique investment bank Evercore Partners Inc  a person familiar with the matter told Reuters on Thursday.,normal
GS,Goldman Sachs Group Inc (The),20150702,Yelp temporarily decides not to pursue a sale: Bloomberg ,Yelp Inc  operator of consumer review website yelp.com  had temporarily decided not to pursue a sale  Bloomberg reported  citing people with knowledge of the matter.,normal
GS,Goldman Sachs Group Inc (The),20150702,CORRECTED-Yelp temporarily decides not to pursue a sale - Bloomberg ,July 2 Yelp Inc  operator of consumer review website yelp.com  had temporarily decided not to pursue a sale  Bloomberg reported  citing people with knowledge of the matter.,normal
GS,Goldman Sachs Group Inc (The),20150702,Ex-Goldman director fails to void insider trading conviction ,Former Goldman Sachs Group Inc director Rajat Gupta failed to persuade a U.S. judge to overturn his insider trading conviction for passing tips about the bank's financial results and a crucial investment from Warren Buffett's Berkshire Hathaway Inc.,normal
GS,Goldman Sachs Group Inc (The),20150702,Ex-Goldman director fails to void insider trading conviction ,NEW YORK Former Goldman Sachs Group Inc director Rajat Gupta failed to persuade a U.S. judge to overturn his insider trading conviction for passing tips about the bank's financial results and a crucial investment from Warren Buffett's Berkshire Hathaway Inc.,normal
GS,Goldman Sachs Group Inc (The),20150702,Ex-Goldman director fails to void insider trading conviction ,NEW YORK  July 2 Former Goldman Sachs Group Inc  director Rajat Gupta failed to persuade a U.S. judge to overturn his insider trading conviction for passing tips about the bank's financial results and a crucial investment from Warren Buffett's Berkshire Hathaway Inc.,normal
HAL,Halliburton Company,20150702,BP reaches $18.7 billion settlement over deadly 2010 spill ,HOUSTON BP Plc will pay up to $18.7 billion in penalties to the U.S. government and five states to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago in the largest corporate settlement in U.S. history.,normal
HAL,Halliburton Company,20150702,UPDATE 6-BP reaches $18.7 billion settlement over deadly 2010 spill ,HOUSTON  July 2 BP Plc  will pay up to $18.7 billion in penalties to the U.S. government and five states to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago in the largest corporate settlement in U.S. history.,normal
HAL,Halliburton Company,20150702,Timeline: BP oil spill  litigation at a glance ,BP Plc reached a $18.7 billion settlement to end five years of litigation following the 2010 Gulf of Mexico oil spill. It is the largest settlement with a single entity in U.S. history  the U.S. Department of Justice said.,normal
HAL,Halliburton Company,20150702,REFILE-TIMELINE-BP oil spill  litigation at a glance ,July 2 BP Plc  reached a $18.7 billion settlement to end five years of litigation following the 2010 Gulf of Mexico oil spill. It is the largest settlement with a single entity in U.S. history  the U.S. Department of Justice said.,normal
HSBC,HSBC Holdings plc,20150702,Exclusive: ING emerges as top bidder for HSBC's Turkish unit - source ,ISTANBUL/LONDON Dutch lender ING Group  has emerged as the leading bidder for HSBC's  Turkish business  a person familiar with the matter said on Thursday.,topStory
HSBC,HSBC Holdings plc,20150702,RPT-BOE dep gov says any HSBC HQ decision is a business one  not spurred by regulation ,LONDON  July 2 Greece's deepening debt crisis is showing no sign yet of spreading to other countries on the periphery of the euro zone  Bank of England Deputy Governor Jon Cunliffe said on Thursday.,normal
HSEA,HSBC Holdings plc,20150702,Exclusive: ING emerges as top bidder for HSBC's Turkish unit - source ,ISTANBUL/LONDON Dutch lender ING Group  has emerged as the leading bidder for HSBC's  Turkish business  a person familiar with the matter said on Thursday.,topStory
HSEA,HSBC Holdings plc,20150702,RPT-BOE dep gov says any HSBC HQ decision is a business one  not spurred by regulation ,LONDON  July 2 Greece's deepening debt crisis is showing no sign yet of spreading to other countries on the periphery of the euro zone  Bank of England Deputy Governor Jon Cunliffe said on Thursday.,normal
HSEB,HSBC Holdings plc,20150702,Exclusive: ING emerges as top bidder for HSBC's Turkish unit - source ,ISTANBUL/LONDON Dutch lender ING Group  has emerged as the leading bidder for HSBC's  Turkish business  a person familiar with the matter said on Thursday.,topStory
HSEB,HSBC Holdings plc,20150702,RPT-BOE dep gov says any HSBC HQ decision is a business one  not spurred by regulation ,LONDON  July 2 Greece's deepening debt crisis is showing no sign yet of spreading to other countries on the periphery of the euro zone  Bank of England Deputy Governor Jon Cunliffe said on Thursday.,normal
HUM,Humana Inc,20150702,Anthem  Cigna in new round of talks -source ,July 2 U.S. health insurer Cigna Corp has had its first meetings with competitor Anthem Inc after it rebuffed Anthem's $47 billion merger proposal last month  a person familiar with the matter said on Thursday.,normal
HUM,Humana Inc,20150702,PRESS DIGEST - Wall Street Journal - July 2 ,July 2 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
JPM,J P Morgan Chase & Co,20150702,JP Morgan has 7 percent of Telecom Italia as part of Telefonica bond deal ,MILAN U.S. investment bank JP Morgan  has a 7 percent stake in Telecom Italia  as part of a deal with Spain's Telefonica   according to a filing by Italian market watchdog Consob.,topStory
JPM,J P Morgan Chase & Co,20150702,JP Morgan has 7 pct of Telecom Italia as part of Telefonica bond deal ,MILAN  July 2 U.S. investment bank JP Morgan  has a 7 percent stake in Telecom Italia as part of a deal with Spain's Telefonica  according to a filing by Italian market watchdog Consob.,normal
JPM,J P Morgan Chase & Co,20150702,Ranks of commodities brokers dwindle as U.S. futures industry evolves ,NEW YORK U.S. commodities brokerages - a key focus of reforms designed to make the financial system safer - are increasingly struggling to eke out a profit  spurring many firms to think about leaving the business  or trying to boost commissions.,normal
LYG,Lloyds Banking Group Plc,20150702,UPDATE 2-UK sells more of Lloyds bank stake  $19.5 bln raised so far ,* Less than 10 billion pounds of stock still to sell   (Adds comment from UK finance minister),topStory
LYG,Lloyds Banking Group Plc,20150702,Britain reduces stake in Lloyds Banking Group to 15.9 percent ,LONDON  July 2 Lloyds Banking Group  said on Thursday that the government had reduced its stake in the bank to 15.9 percent from 16.87 percent previously  in a further step towards its full privatisation.,normal
MS,Morgan Stanley,20150702,MOVES-Morgan Stanley hires Daniel Hawkes from Columbia Threadneedle ,July 2 Morgan Stanley's investment management unit appointed Daniel Hawkes as head of London discretionary and channels islands distribution.,topStory
NMR,Nomura Holdings Inc ADR,20150702,MOVES-Nomura names Walter Heindl country head for Germany  Austria ,FRANKFURT  July 2 Japanese investment bank Nomura named Walter Heindl as country head for Germany and Austria  replacing Koichi Katakawa who held the position since 2006.,topStory
DCM,NTT DOCOMO Inc,20150702,BRIEF-Gemalto selected by NTT Docomo for IoT applications in Japan ,* NTT Docomo selects Gemalto for IoT applications in Japan  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom:),topStory
ORAN,Orange,20150702,Orange aims for growth in Africa  Middle East ,LONDON  July 2 Telecom operator Orange  aims to grow revenue from its Africa and Middle East operation by about 5 percent a year through 2018 and is looking for expansion opportunities in the region  Chief Financial Officer Ramon Fernandez said.,topStory
ORAN,Orange,20150702,Shareholder loan given to Orange was not state aid-EU court ,BRUSSELS  July 2 The European Union's second highest court on Thursday found a shareholder loan given to France Telecom  now named Orange  was not state aid and therefore was legal.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150702,Brazil government expects Petrobras to lose key oil rights -source ,BRASILIA Brazil's government expects a bill ending state-run Petrobras' dominant role in key offshore oil areas to pass Congress  reversing one of President Dilma Rousseff's signature policies  a source told Reuters on Thursday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150702,Brazil government expects Petrobras to lose key oil rights -source ,BRASILIA  July 2 Brazil's government expects a bill ending state-run Petrobras' dominant role in key offshore oil areas to pass Congress  reversing one of President Dilma Rousseff's signature policies  a source told Reuters on Thursday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150702,Brazil police arrest another former Petrobras executive in probe ,SAO PAULO Brazilian police arrested Jorge Zelada  former director of Petrobras' international division  as part of an ongoing investigation into bribery and corruption at the state-run oil producer  prosecutors said on Thursday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150702,UPDATE 4-Brazil police arrest another former Petrobras exec in probe ,SAO PAULO  July 2 Brazilian police arrested Jorge Zelada  former director of Petrobras'  international division  as part of an ongoing investigation into bribery and corruption at the state-run oil producer  prosecutors said on Thursday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150702,Brazil to continue investigating Petrobras beyond top divisions ,SAO PAULO  July 2 Brazilian federal prosecutor Carlos Fernando dos Santos Lima said on Thursday that investigations into the executive directors at state-run oil company Petrobras has concluded after the arrest of its former head of the international division.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150702,Petrobras sells oilfield stakes  to study fuel-unit sale ,SAO PAULO/RIO DE JANEIRO Brazil's state-run oil company Petrobras moved quickly on Wednesday to deliver on promises to shed assets and raise cash  by announcing the sale of stakes in two offshore oilfields and a study of ways to sell part of its fuel-distribution unit.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150702,Brazil senators debate subsalt oil development law options ,BRASILIA  July 1 Brazilian senators on Wednesday debated alternatives to a 2010 law that requires state-run oil firm Petrobras to take a minimum 30 percent stake in new development contracts and function as operator in Brazil's subsalt oil areas.,normal
PMF,PIMCO Municipal Income Fund,20150702,Pimco Total Return Fund stabilizes while Pimco Income gains ,NEW YORK Investors pulled $3 billion in assets from Pacific Investment Management Co's flagship fund in June  compared with $2.7 billion the previous month  in another sign Pimco is stabilizing since last fall's departure of star manager Bill Gross.,topStory
PMF,PIMCO Municipal Income Fund,20150702,UPDATE 2-Pimco Total Return Fund stabilizes while Pimco Income gains ,NEW YORK  July 2 Investors pulled $3 billion in assets from Pacific Investment Management Co's flagship fund in June  compared with $2.7 billion the previous month  in another sign Pimco is stabilizing since last fall's departure of star manager Bill Gross.,normal
POT,Potash Corporation of Saskatchewan Inc,20150702,K+S rejects Potash Corp's takeover approach as too low ,FRANKFURT German potash miner K+S  rejected Potash Corp of Saskatchewan's  7.9 billion euro ($8.7 billion) takeover bid on Thursday  saying it was too low and that the Canadian suitor could be planning to dismantle the company  putting jobs at risk.,topStory
POT,Potash Corporation of Saskatchewan Inc,20150702,UPDATE 2-K+S rejects Potash Corp's takeover approach as too low ,* K+S says 41 eur/shr offer disregards value of new Canadian mine,normal
POT,Potash Corporation of Saskatchewan Inc,20150702,BRIEF-K+S says will not open books to suitor Potash Corp ,* Doesn't make sense to talk about due diligence  will not open books to a competitor,normal
RIO,Rio Tinto Plc,20150702,UPDATE 1-Rio Tinto CEO urges governments to avoid protectionism ,LONDON  July 2 The head of global mining firm Rio Tinto  urged governments not to be tempted by protectionism as they try to preserve revenues at a time of weakening commodity prices.,topStory
RY,Royal Bank Of Canada,20150702,RBC  BMO grab top spots in Canadian M&A adviser rankings ,TORONTO  July 2 Royal Bank of Canada and Bank of Montreal were the top two advisers on Canadian M&A deals in the first half of 2015  a period during which the overall dollar value of deals surged despite a decline in the actual number of transactions.,topStory
RY,Royal Bank Of Canada,20150702,RBC top adviser on Canadian equity issues in blowout first half ,TORONTO  July 2 Royal Bank of Canada was the top adviser on Canadian equity issues in the first half of 2015 as acquisitions and the energy industry's need to strengthen balance sheets fueled record high deal flow  according to data from Thomson Reuters.,normal
RBS,Royal Bank Scotland plc (The),20150702,REFILE-UPDATE 1-RBS refers clients to Paribas for transaction services ,LONDON  July 2 Royal Bank of Scotland  said it will no longer provide cash management and trade finance services to thousands of customers outside Britain and Ireland and will instead refer them to French bank BNP Paribas.,topStory
RBS,Royal Bank Scotland plc (The),20150702,RBS to refer global transaction customers to Paribas ,LONDON  July 2 Royal Bank of Scotland  said it had signed a referral agreement with BNP Paribas to support customers within its Global Transaction Services division.,normal
SRE,Sempra Energy,20150702,RPT-INSIGHT-California's push for cleaner buses could edge out natural gas ,LOS ANGELES  July 2 Fifteen years ago  California led the way to cleaner transit buses with strict tailpipe emissions standards that effectively ushered out diesel as the primary fuel for buses in the state and replaced it with natural gas.,normal
SRE,Sempra Energy,20150702,INSIGHT-California's push for cleaner buses could edge out natural gas ,LOS ANGELES  July 2 Fifteen years ago  California led the way to cleaner transit buses with strict tailpipe emissions standards that effectively ushered out diesel as the primary fuel for buses in the state and replaced it with natural gas.,normal
BID,Sotheby&#39;s,20150702,Sotheby's sees record London contemporary art sale despite Bacon failure ,LONDON Andy Warhol's "One Dollar"  the first in his dollar bill series  fetched 20.9 million pounds ($32.4 million) at Sotheby's on Wednesday  the top-seller in what the auction house said was its highest ever total sales for an auction of contemporary art in London. | Video ,topStory
S,Sprint Corporation,20150702,Dixons Carphone in deal with Sprint to open U.S. stores ,LONDON British electrical goods and mobile phone retailer Dixons Carphone  has sealed a deal with Sprint Corp.   the U.S. mobile network operator  that could see it open and manage up to 500 Sprint-branded stores in the United States.,topStory
S,Sprint Corporation,20150702,UPDATE 1-Dixons Carphone in deal with Sprint to open U.S. stores ,LONDON  July 2 British electrical goods and mobile phone retailer Dixons Carphone has sealed a deal with Sprint Corp.  the U.S. mobile network operator  that could see it open and manage up to 500 Sprint-branded stores in the United States.,normal
S,Sprint Corporation,20150702,Dixons Carphone unit in deal with Sprint Corp to open U.S. stores ,LONDON  July 2 British electrical goods and mobile phone retailer Dixons Carphone said its Connected World Services (CWS) division has signed a deal with Sprint Corp.  the U.S. mobile network operator  to open and manage Sprint-branded stores in the U.S..,normal
S,Sprint Corporation,20150702,BRIEF-Dixons Carphone arm in deal with Sprint Corp to open U.S. stores ,* Connected World Services signs agreement with Sprint Corporation to open U.S. stores.,normal
TGNA,TEGNA Inc,20150702,BRIEF-Cxense signs contract with US media company Gannett ,* Contract includes Cxense insight  Cxense DMP  and Cxense Content,topStory
TDOC,Teladoc Inc,20150702,Wall St. edged down on Greece worries  tepid U.S. data ,U.S. stocks closed down slightly on Thursday after the International Monetary Fund warned Greece ahead of its Sunday referendum that it faces a huge financial hole  and mixed jobs data dampened the U.S. economic outlook.,topStory
TI,Telecom Italia SPA,20150702,JP Morgan has 7 percent of Telecom Italia as part of Telefonica bond deal ,MILAN U.S. investment bank JP Morgan  has a 7 percent stake in Telecom Italia  as part of a deal with Spain's Telefonica   according to a filing by Italian market watchdog Consob.,topStory
TI,Telecom Italia SPA,20150702,JP Morgan has 7 pct of Telecom Italia as part of Telefonica bond deal ,MILAN  July 2 U.S. investment bank JP Morgan  has a 7 percent stake in Telecom Italia as part of a deal with Spain's Telefonica  according to a filing by Italian market watchdog Consob.,normal
TEF,Telefonica SA,20150702,JP Morgan has 7 percent of Telecom Italia as part of Telefonica bond deal ,MILAN U.S. investment bank JP Morgan  has a 7 percent stake in Telecom Italia  as part of a deal with Spain's Telefonica   according to a filing by Italian market watchdog Consob.,topStory
TEF,Telefonica SA,20150702,JP Morgan has 7 pct of Telecom Italia as part of Telefonica bond deal ,MILAN  July 2 U.S. investment bank JP Morgan  has a 7 percent stake in Telecom Italia as part of a deal with Spain's Telefonica  according to a filing by Italian market watchdog Consob.,normal
TM,Toyota Motor Corp Ltd Ord,20150702,CORRECTED-UPDATE 4-Strong truck  SUV demand helped Ford  GM raise prices in June ,* GM  Ford  Toyota report drop in car sales  rise in SUV sales,topStory
TM,Toyota Motor Corp Ltd Ord,20150702,UPDATE 1-Toyota prices 'Model AA' shares at top of range as investors flock ,* Underwriter Nomura sees strong demand from retail investors,normal
TM,Toyota Motor Corp Ltd Ord,20150702,Toyota prices 'Model AA' shares at 30 pct premium as investors flock ,TOKYO  July 2 Toyota Motor Corp set the price for its "Model AA" class stock at about a 30 percent premium  a regulatory filing showed  as retail investors flocked to the no-risk shares that the automaker hopes will help it secure longer-term shareholders.,normal
TM,Toyota Motor Corp Ltd Ord,20150702,Nikkei gains more than 1 pct; automakers up on strong U.S. sales  weak yen ,* Nissan outperforms peers after posting outstanding U.S. sales     * Construction stocks attract buy on strong domestic demand hope      By Ayai Tomisawa     TOKYO  July 2 Japan's Nikkei share average rose more than 1 percent on Thursday  led by automakers which reported strong June sales in the U.S. market  and broadly supported by a weaker yen.     The Nikkei share average gained 1.2 percent to 20 568.65 by mid-morning.     The market has been pressure by Greece's festering debt c,normal
UN,Unilever NV,20150702,Deals of the day- Mergers and acquisitions ,July 2 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,topStory
UN,Unilever NV,20150702,Unilever to acquire Murad to expand skincare business ,LONDON Anglo-Dutch consumer goods giant Unilever  is to buy U.S. skincare company Murad  its fourth premium skincare deal in recent months.,normal
UN,Unilever NV,20150702,Unilever to acquire Murad to expand skincare business ,LONDON  July 2 Anglo-Dutch consumer goods giant Unilever is to buy U.S. skincare company Murad  its fourth premium skincare deal in recent months.,normal
UMC,United Microelectronics Corporation,20150702,BRIEF-UMC's unit orders machinery equipment worth T$2.03 bln ,* Says unit United Semiconductor (Xiamen) Co Ltd orders machinery equipment worth T$2.03 billion ($65.66 million) from ASML Hong Kong Ltd,topStory
UNH,UnitedHealth Group Incorporated,20150702,UPDATE 3-Health insurer Centene adds muscle with $6.3 bln Health Net deal ,* Deal to create leader in government health insurance programs,normal
VRX,Valeant Pharmaceuticals International Inc,20150702,CANADA STOCKS-TSX climbs as investors seek safety in defensive shares ,OTTAWA  July 2 Canada's main stock index rose on Thursday as market choppiness due to uncertainty in Greece sent investors looking for safety in healthcare shares and other defensive sectors  offsetting weakness in commodity-sensitive stocks.,topStory
VRX,Valeant Pharmaceuticals International Inc,20150702,CANADA STOCKS-TSX rises as investors buy up defensive shares ,OTTAWA  July 2 Canada's main stock index rose modestly on Thursday as investors pushed into healthcare shares and other defensive sectors  offsetting weakness in commodity-sensitive stocks.,normal
YELP,Yelp Inc,20150702,Deals of the day- Mergers and acquisitions ,July 2 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,topStory
YELP,Yelp Inc,20150702,Yelp temporarily decides not to pursue a sale: Bloomberg ,Yelp Inc  operator of consumer review website yelp.com  had temporarily decided not to pursue a sale  Bloomberg reported  citing people with knowledge of the matter.,normal
YELP,Yelp Inc,20150702,CORRECTED-Yelp temporarily decides not to pursue a sale - Bloomberg ,July 2 Yelp Inc  operator of consumer review website yelp.com  had temporarily decided not to pursue a sale  Bloomberg reported  citing people with knowledge of the matter.,normal
