ALGT,Allegiant Travel Company,20150529,U.S. FAA proposes penalties against Air Methods  Allegiant Air ,WASHINGTON The Federal Aviation Administration on Friday said it has proposed civil penalties against emergency medical helicopter operator Air Methods Corp and airline Allegiant Air for failing to comply with U.S. regulations.,topStory
HSEB,HSBC Holdings plc,20150529,Deals of the day- Mergers and acquisitions ,May 29 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
HSEB,HSBC Holdings plc,20150529,UPDATE 3-ING and BNP Paribas among bidders for HSBC Turkey -source ,* Sources say business could be sold at about book value   (Adds quote from source in 3rd paragraph),normal
HSEB,HSBC Holdings plc,20150529,ING  Bahrain's ABC  BNP Paribas submit initial bids for HSBC Turkey -source ,ISTANBUL  May 29 Dutch bank ING  Bahrain-based Arab Banking Corp (ABC) and France's BNP Paribas have submitted non-binding bids for HSBC's  Turkish business  a person familiar with the process said on Friday.,normal
HSEB,HSBC Holdings plc,20150529,ING  Qatar National Bank among suitors for HSBC Turkey -sources ,ISTANBUL Potential bidders for HSBC's  Turkish business include ING Group NV   Qatar National Bank  and Bahrain-based Arab Banking Corp (ABC)   people familiar with process said on Friday.,normal
HSEB,HSBC Holdings plc,20150529,ING  Qatar National Bank  Bahrain's ABC eye HSBC Turkey arm -sources ,ISTANBUL  May 29 ING Group NV  Qatar National Bank and the Bahrain-based Arab Banking Corporation are among the potential bidders for HSBC's  Turkish business  sources familiar with process said on Friday.,normal
HUM,Humana Inc,20150529,Health insurer Humana explores sale:  source ,Humana Inc  is considering selling itself after receiving multiple expressions of takeover interest  a person familiar with the matter said on Friday  highlighting the widening consolidation in the U.S. health insurance industry.,topStory
HUM,Humana Inc,20150529,UPDATE 3-Health insurer Humana explores sale - source ,May 29 Humana Inc is considering selling itself after receiving multiple expressions of takeover interest  a person familiar with the matter said on Friday  highlighting the widening consolidation in the U.S. health insurance industry.,normal
HUM,Humana Inc,20150529,US STOCKS-Wall St ends down after weak economic data but gains in May ,* Indexes down: Dow 0.6 pct  S&P 0.6 pct  Nasdaq 0.6 pct   (Updates to close),normal
HUM,Humana Inc,20150529,Deals of the day- Mergers and acquisitions ,May 29 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,normal
HUM,Humana Inc,20150529,US STOCKS-Wall St slips on weak economic data ,* Indexes down: Dow 0.36 pct  S&P 0.24 pct  Nasdaq 0.11 pct   (Updates prices),normal
HUM,Humana Inc,20150529,Health insurer Humana considering selling itself - WSJ ,May 29 Health insurer Humana Inc is considering selling itself and it has received indications of takeover interest  the Wall Street Journal reported  citing sources familiar with the matter.,normal
INXN,InterXion Holding NV,20150529,Equinix to buy TelecityGroup for $3.6 billion  Interxion deal ended ,LONDON/NEW YORK U.S. data center company Equinix Inc  said on Friday it would buy British peer TelecityGroup  in a deal worth 2.35 billion pounds ($3.6 billion) that would also end  Telecity's pursuit of a smaller European rival.,topStory
INXN,InterXion Holding NV,20150529,UPDATE 2-Equinix to buy TelecityGroup for $3.6 bln  Interxion deal ended ,LONDON/NEW YORK  May 29 U.S. data center company Equinix Inc said on Friday it would buy British peer TelecityGroup in a deal worth 2.35 billion pounds ($3.6 billion) that would also end  Telecity's pursuit of a smaller European rival.,normal
JNJ,Johnson & Johnson,20150529,WRAPUP 4-U.S. economy contracts in Q1; dollar hurts corporate profits ,WASHINGTON  May 29 The U.S. economy contracted in the first quarter as it buckled under the weight of unusually heavy snowfalls  a resurgent dollar and disruptions at West Coast ports  but activity already has rebounded modestly.,normal
KNX,Knight Transportation Inc,20150529,Suge Knight hires Michael Jackson ex-attorney in California murder trial ,LOS ANGELES One-time rap mogul Marion "Suge" Knight formally changed his attorney on Friday in the murder case against him  bringing in the lawyer who successfully represented Michael Jackson when the late pop star was acquitted on child molestation charges a decade ago. | Video ,topStory
LMT,Lockheed Martin Corporation,20150529,UPDATE 1-Pentagon eyes 3-year block buy of F-35s from fiscal 2018 ,WASHINGTON  May 29 The Pentagon said Friday it would talk to U.S. lawmakers about approving a three-year block buy of Lockheed Martin Corp F-35 fighter jets beginning in fiscal 2018 that would include U.S. purchases and international buyers.,topStory
MRK,Merck & Company Inc,20150529,Merck immunotherapy appears effective in head and neck cancer-study ,A Merck & Co drug that helps the immune system fight cancer was about twice as effective as the current standard therapy for patients with recurrent or advanced head and neck cancers  according to study data released on Friday.,topStory
MRK,Merck & Company Inc,20150529,UPDATE 1-Merck immunotherapy appears effective in head and neck cancer-study ,May 29 A Merck & Co drug that helps the immune system fight cancer was about twice as effective as the current standard therapy for patients with recurrent or advanced head and neck cancers  according to study data released on Friday.,normal
MS,Morgan Stanley,20150529,Parker Gilbert  former Morgan Stanley chairman  dies ,NEW YORK Parker Gilbert  a former Morgan Stanley chairman who led the firm through its transition from a private partnership to a publicly traded company and later organized a revolt to oust a successor  died on Wednesday.,topStory
MS,Morgan Stanley,20150529,Parker Gilbert  former Morgan Stanley chairman  dies ,NEW YORK  May 29 Parker Gilbert  a former Morgan Stanley chairman who led the firm through its transition from a private partnership to a publicly traded company and later organized a revolt to oust a successor  died on Wednesday.,normal
NKE,Nike Inc,20150529,Nike seen avoiding charges in soccer bribery probe - lawyers ,NEW YORK Nike Inc may be able to avoid U.S. charges over any involvement in bribery payments to win soccer sponsorships  but could face penalties if U.S. prosecutors decide to clamp down on the global sportswear giant  lawyers with expertise in the subject said.,topStory
NKE,Nike Inc,20150529,Nike seen avoiding charges in soccer bribery probe: lawyers ,NEW YORK Nike Inc may be able to avoid U.S. charges over any involvement in bribery payments to win soccer sponsorships  but could face penalties if U.S. prosecutors decide to clamp down on the global sportswear giant  lawyers with expertise in the subject said.,normal
NKE,Nike Inc,20150529,Nike seen avoiding charges in soccer bribery probe - lawyers ,NEW YORK  May 29 Nike Inc may be able to avoid U.S. charges over any involvement in bribery payments to win soccer sponsorships  but could face penalties if U.S. prosecutors decide to clamp down on the global sportswear giant  lawyers with expertise in the subject said.,normal
NRG,NRG Energy Inc,20150529,UPDATE 3-Group proposes investing $3.5 bln in Puerto Rico utilities -source ,NEW YORK  May 28 A consortium of York Capital Management  NRG Energy Inc and ITC Holdings Corp  have proposed investing as much as $3.5 billion in Puerto Rico's electrical infrastructure  a source familiar with the consortium said on Thursday.,topStory
OCN,Ocwen Financial Corporation,20150529,U.S. judge tosses racketeering lawsuit over Ocwen home inspections ,NEW YORK A federal judge has dismissed a class action lawsuit accusing Ocwen Financial Corp of fraudulently billing hundreds of thousands of homeowners for needless property inspections  saying the case amounts to no more than a breach of contract claim.,topStory
OCN,Ocwen Financial Corporation,20150529,U.S. judge tosses racketeering lawsuit over Ocwen home inspections ,NEW YORK A federal judge has dismissed a class action lawsuit accusing Ocwen Financial Corp of fraudulently billing hundreds of thousands of homeowners for needless property inspections  saying the case amounts to no more than a breach of contract claim.,normal
OCN,Ocwen Financial Corporation,20150529,U.S. judge tosses racketeering lawsuit over Ocwen home inspections ,NEW YORK  May 29 A federal judge has dismissed a class action lawsuit accusing Ocwen Financial Corp of fraudulently billing hundreds of thousands of homeowners for needless property inspections  saying the case amounts to no more than a breach of contract claim.,normal
PFE,Pfizer Inc,20150529,French biotech firm Cellectis jumps on takeover hopes ,Shares in French cancer drugmaker Cellectis  hit an all-time high on Friday on hopes it would be the latest in a string of bid targets in the healthcare sector  after reported interest from companies including Pfizer .,topStory
PFE,Pfizer Inc,20150529,UPDATE 2-French biotech firm Cellectis jumps on takeover hopes ,May 29 Shares in French cancer drugmaker Cellectis hit an all-time high on Friday on hopes it would be the latest in a string of bid targets in the healthcare sector  after reported interest from companies including Pfizer .,normal
PG,Procter & Gamble Company (The),20150529,WRAPUP 4-U.S. economy contracts in Q1; dollar hurts corporate profits ,WASHINGTON  May 29 The U.S. economy contracted in the first quarter as it buckled under the weight of unusually heavy snowfalls  a resurgent dollar and disruptions at West Coast ports  but activity already has rebounded modestly.,normal
RBS,Royal Bank Scotland plc (The),20150529,RBS invites pitches for broker role ahead of privatisation - sources ,LONDON  May 29 Royal Bank of Scotland  has invited investment banks to pitch for the role of corporate broker as the state-backed lender gears up for a full return to public hands  two sources familir with the matter told Reuters on Friday.,topStory
SCI,Service Corporation International,20150529,Investors find big upside in small U.S. death services companies ,* Service Corp International shares up nearly 30 percent this year,topStory
SFL,Ship Finance International Limited,20150529,UPDATE 1-Frontline first-quarter beats forecasts  strikes Ship Finance deal ,* Announces changed charter agreement to strengthen balance sheet,topStory
SFL,Ship Finance International Limited,20150529,Frontline Q1 beats forecasts  strikes new deal with Ship Finance ,OSLO  May 29 Crude oil tanker firm Frontline  posted first-quarter operating profit above expectations on Friday and said it had adjusted its charter deal with Ship Finance to strengthen its balance sheet.,normal
SFL,Ship Finance International Limited,20150529,BRIEF-Frontline: Ship Finance takes 27.7 pct ownership in new charter structure ,* Frontline and Ship Finance International Limited agree on amended charter structure,normal
BID,Sotheby&#39;s,20150529,Michael Jackson's Neverland ranch on market for $100 mln ,NEW YORK The sprawling Neverland ranch in California once owned by the  late pop star Michael Jackson is for sale for $100 million  Sotheby's International Realty said on Friday.,topStory
BID,Sotheby&#39;s,20150529,UPDATE 1-Michael Jackson's Neverland ranch on market for $100 mln ,NEW YORK  May 29 The sprawling Neverland ranch in California once owned by the  late pop star Michael Jackson is for sale for $100 million  Sotheby's International Realty said on Friday.,normal
BID,Sotheby&#39;s,20150529,Michael Jackson's Neverland ranch on the market for $100 million ,NEW YORK  May 29 The sprawling Neverland ranch in California once owned by the  late pop star Michael Jackson is for sale for $100 million  Sotheby's International Realty said on Friday.,normal
STO,Statoil ASA,20150529,UPDATE 1-Kvaerner  Korean yards in running for Statoil contracts - paper ,OSLO  May 29 Norway's Kvaerner is a favourite to win a key Statoil platform deck contract  while three Korean yards were vying for two other platform deals on the giant Johan Sverdrup field in the North Sea  trade weekly Upstream said on Friday.,topStory
STO,Statoil ASA,20150529,Kvaerner  Korean yards in running for Statoil contracts - paper ,OSLO  May 29 Norway's Kvaerner is a favourite to win a key Statoil platform deck contract  while three Korean yards were vying for two other platform deals on the giant Johan Sverdrup field in the North Sea  trade weekly Upstream said on Friday.,normal
STE,STERIS plc,20150529,Deals of the day- Mergers and acquisitions ,May 29 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
STE,STERIS plc,20150529,U.S. sues to block merger of Steris Corp  Synergy Health ,WASHINGTON The U.S. Federal Trade Commission filed a lawsuit on Friday aimed at stopping the $1.9 billion merger of medical technology provider Steris Corp and British sterilization services provider Synergy Health Plc   according to the agency  which enforces antitrust law.,normal
STE,STERIS plc,20150529,UPDATE 1-U.S. sues to block merger of Steris Corp  Synergy Health ,WASHINGTON  May 29 The U.S. Federal Trade Commission filed a lawsuit on Friday aimed at stopping the $1.9 billion merger of medical technology provider Steris Corp  and British sterilization services provider Synergy Health Plc  according to the agency  which enforces antitrust law.,normal
STE,STERIS plc,20150529,U.S. sues to stop planned merger of Steris Corp  Synergy Health ,WASHINGTON  May 29 The U.S. Federal Trade Commission  which enforces antitrust law  filed a lawsuit on Friday aimed at stopping the $1.9 billion merger of Steris Corp  and Synergy Health  the agency said.,normal
STE,STERIS plc,20150529,UPDATE 2-Synergy Health  Steris to contest US FTC decision to block deal ,May 29 Sterilisation services provider Synergy Health Plc and U.S. medical tech company Steris Corp  said they would contest the U.S. Federal Trade Commission's attempt to block Steris's acquisition of the British company.,normal
STE,STERIS plc,20150529,Synergy Health  Steris to contest FTC decision to block deal ,British sterilization services provider Synergy Health Plc   which is in the process of being acquired by U.S. medical tech company Steris Corp   said the two companies would contest the U.S. Federal Trade Commission's attempt to block the proposed deal.,normal
STE,STERIS plc,20150529,Synergy Health  Steris to contest US FTC decision to block deal ,May 29 British sterilisation services provider Synergy Health Plc  which is in the process of being acquired by U.S. medical tech company Steris Corp  said the two companies would contest the U.S. Federal Trade Commission's attempt to block the proposed deal.,normal
STE,STERIS plc,20150529,BRIEF-Synergy Health says FTC intends to seek to block Steris deal ,* Steris and Synergy welcome a full judicial review of competitive effects of combination,normal
SF,Stifel Financial Corporation,20150529,Exclusive: Stifel in lead to buy Barclays' U.S. wealth unit - sources ,Investment bank Stifel Financial Corp  is in advanced negotiations to acquire Barclays Plc's  U.S wealth management unit  according to three people familiar with the situation.,topStory
TI,Telecom Italia SPA,20150529,Mediobanca to sell Telecom Italia stake by end-June - source ,MILAN Italian investment bank Mediobanca  will sell its 1.6 percent stake in domestic phone operator Telecom Italia  on the market by the end of June  a source close to the matter said on Friday.,topStory
TI,Telecom Italia SPA,20150529,Mediobanca to sell Telecom Italia stake by end-June - source ,MILAN  May 29 Italian investment bank Mediobanca  will sell its 1.6 percent stake in domestic phone operator Telecom Italia on the market by the end of June  a source close to the matter said on Friday.,normal
TOT,Total SA,20150529,Total CEO says no reason to sell Hutchinson currently ,PARIS Total's chief executive said on Friday the French oil major saw no reason currently to sell its Hutchinson rubber unit and that the group will explain in due time what its plans are for the business.,topStory
TOT,Total SA,20150529,Total CEO says no reason to sell Hutchinson currently ,PARIS  May 29 Total's chief executive said on Friday the French oil major saw no reason currently to sell its Hutchinson rubber unit and that the group will explain in due time what its plans are for the business.,normal
UMC,United Microelectronics Corporation,20150529,BRIEF-UMC orders machinery equipment worth T$510.8 million ,* Says orders machinery equipment worth T$510.8 million  ($16.66 million) from Applied Materials South East Asia Pte. Ltd.,topStory
WF,Woori Bank,20150529,Fitch Affirms Woori Bank at 'A-'/Stable; Upgrades VR to 'bbb+' ,(The following statement was released by the rating agency) SEOUL/SINGAPORE  May 29 (Fitch) Fitch Ratings has affirmed Korea-based Woori  Bank's Long-Term Foreign-Currency Issuer Default Rating (IDR) at 'A-'. The  Outlook is Stable. Simultaneously  Fitch has upgraded Woori Bank's Viability  Rating (VR) to 'bbb+' from 'bbb'. A full list of rating actions is at the end of  this rating action commentary. The upgrade of Woori Bank's VR mainly reflects Fitch's view about rating  relativities among Ko,topStory
