ACTA,Actua Corporation,20150721,Capital Group opens up equity strategy to European  Asian investors ,LONDON U.S. fund manager Capital Group plans to launch a fund later this year to give European and Asian investors access to one of its equity strategies  which has $60 billion under management  it said on Tuesday.,topStory
DB,Deutsche Bank AG,20150721,Deutsche Bank trial judge sets high bar for securing conviction ,MUNICH A Munich district court on Tuesday said proescutors still needed to prove Deutsche Bank executives including co-Chief Executive Juergen Fitschen intentionally misled a court in a case about the bank's role in the collapse of the Kirch empire.,topStory
DB,Deutsche Bank AG,20150721,Deutsche Bank trial judge sets high bar for securing conviction ,MUNICH  July 21 A Munich district court on Tuesday said proescutors still needed to prove Deutsche Bank  executives including co-Chief Executive Juergen Fitschen intentionally misled a court in a case about the bank's role in the collapse of the Kirch empire.,normal
F,Ford Motor Company,20150721,Ford bets U.S. consumers will snap up high-end pickup trucks ,DETROIT Ford Motor Co  on Tuesday will launch a new luxury version of its F-150 pickup truck that could command prices above $60 000  answering growing demand from U.S. consumers for trucks that could substitute for a higher end German sedan.,topStory
F,Ford Motor Company,20150721,Ford bets U.S. consumers will snap up high-end pickup trucks ,DETROIT  July 21 Ford Motor Co on Tuesday will launch a new luxury version of its F-150 pickup truck that could command prices above $60 000  answering growing demand from U.S. consumers for trucks that could substitute for a higher end German sedan.,normal
GEH,General Electric Capital Corporation,20150721,France sees 'reassuring elements' in GE/Alstom bid ,PARIS France's Economy minister Emmanuel Macron said on Tuesday he was seeing "reassuring elements" coming from the European Union's investigation over the takeover of Alstom's power unit  by U.S General Electric .,topStory
GEH,General Electric Capital Corporation,20150721,France sees "reassuring elements" in GE/Alstom bid ,PARIS  July 21 France's Economy minister Emmanuel Macron said on Tuesday he was seeing "reassuring elements" coming from the European Union's investigation over the takeover of Alstom's power unit by U.S General Electric.,normal
GEK,General Electric Capital Corporation,20150721,France sees 'reassuring elements' in GE/Alstom bid ,PARIS France's Economy minister Emmanuel Macron said on Tuesday he was seeing "reassuring elements" coming from the European Union's investigation over the takeover of Alstom's power unit  by U.S General Electric .,topStory
GEK,General Electric Capital Corporation,20150721,France sees "reassuring elements" in GE/Alstom bid ,PARIS  July 21 France's Economy minister Emmanuel Macron said on Tuesday he was seeing "reassuring elements" coming from the European Union's investigation over the takeover of Alstom's power unit by U.S General Electric.,normal
GE,General Electric Company,20150721,France sees 'reassuring elements' in GE/Alstom bid ,PARIS France's Economy minister Emmanuel Macron said on Tuesday he was seeing "reassuring elements" coming from the European Union's investigation over the takeover of Alstom's power unit  by U.S General Electric .,topStory
GE,General Electric Company,20150721,France sees "reassuring elements" in GE/Alstom bid ,PARIS  July 21 France's Economy minister Emmanuel Macron said on Tuesday he was seeing "reassuring elements" coming from the European Union's investigation over the takeover of Alstom's power unit by U.S General Electric.,normal
GEB,General Electric Company,20150721,France sees 'reassuring elements' in GE/Alstom bid ,PARIS France's Economy minister Emmanuel Macron said on Tuesday he was seeing "reassuring elements" coming from the European Union's investigation over the takeover of Alstom's power unit  by U.S General Electric .,topStory
GEB,General Electric Company,20150721,France sees "reassuring elements" in GE/Alstom bid ,PARIS  July 21 France's Economy minister Emmanuel Macron said on Tuesday he was seeing "reassuring elements" coming from the European Union's investigation over the takeover of Alstom's power unit by U.S General Electric.,normal
GIS,General Mills Inc,20150721,Exclusive: Bonduelle prepares bid for Green Giant ,French food group Bonduelle SCA  is in discussions to team up with Centerview Partners in a bid to acquire General Mills Inc's  Green Giant frozen and canned vegetable business  according to people familiar with the matter.,topStory
GIS,General Mills Inc,20150721,European Factors to Watch-Shares seen flat to higher  focus on earnings ,LONDON  July 21 European shares headed for a flat to slightly higher open on Tuesday  with investors focusing on company results as the second-quarter earnings season gathered pace in Europe.,normal
GS,Goldman Sachs Group Inc (The),20150721,Goldman bets on European stocks  steers clear of U.S. ,LONDON With market jitters over Greece receding  Goldman Sachs is advising clients to load up on European stocks at the expense of U.S. assets.,topStory
GS,Goldman Sachs Group Inc (The),20150721,Goldman bets on European stocks  steers clear of U.S. ,LONDON  July 21 With market jitters over Greece receding  Goldman Sachs is advising clients to load up on European stocks at the expense of U.S. assets.,normal
HOG,Harley-Davidson Inc,20150721,Harley beats expectations despite dollar  pricing headwinds ,CHICAGO Harley-Davidson Inc  beat Wall Street profit and sales expectations on Tuesday despite headwinds from a strong U.S. dollar and steep discounts by rivals  sending shares up 4 percent.,topStory
HOG,Harley-Davidson Inc,20150721,UPDATE 2-Harley beats expectations despite dollar  pricing headwinds ,CHICAGO  July 21 Harley-Davidson Inc  beat Wall Street profit and sales expectations on Tuesday despite headwinds from a strong U.S. dollar and steep discounts by rivals  sending shares up 4 percent.,normal
HOG,Harley-Davidson Inc,20150721,Harley Davidson second quarter profits falls ,July 21 Harley-Davidson Inc. on Tuesday posted a lower quarterly net profit as the strong U.S. dollar hurt international sales while the company's foreign competitors cut prices.,normal
HDB,HDFC Bank Limited,20150721,HDFC Bank Q1 profit lags  bad loans edge higher ,MUMBAI HDFC Bank Ltd  India's second-biggest private sector lender by assets  reported a smaller-than-expected increase in first-quarter profit due to higher provisions for bad loans.,topStory
HDB,HDFC Bank Limited,20150721,UPDATE 1-India's HDFC Bank Q1 profit lags  bad loans edge higher ,* Bad loans higher sequentially   (Adds details  analyst comment),normal
HDB,HDFC Bank Limited,20150721,India's HDFC Bank Q1 net up 20.7 pct  bad loans rise ,MUMBAI  July 21 HDFC Bank Ltd  India's second-biggest private sector lender by assets  reported on Tuesday a 20.7 percent rise in quarterly profit  lagging estimates  as bad loans rose.,normal
HSBC,HSBC Holdings plc,20150721,MOVES-Barclays  Nomura  HSBC  Permal ,July 21 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
HSBC,HSBC Holdings plc,20150721,MOVES-HSBC appoints Gregory Pierce head of markets  Americas ,July 21 HSBC appointed Gregory Pierce head of markets  Americas  effective Sept. 1.,normal
HSBC,HSBC Holdings plc,20150721,HSBC must face U.S. lawsuit over failed credit unions ,NEW YORK A federal judge rejected HSBC Holdings Plc's bid to dismiss a U.S. lawsuit claiming that its failure to perform its duties as trustee for $2.37 billion of residential mortgage-backed securities contributed to the downfall of five federal credit unions.,normal
HSBC,HSBC Holdings plc,20150721,HSBC must face U.S. lawsuit over failed credit unions ,NEW YORK A federal judge rejected HSBC Holdings Plc's  bid to dismiss a U.S. lawsuit claiming that its failure to perform its duties as trustee for $2.37 billion of residential mortgage-backed securities contributed to the downfall of five federal credit unions.,normal
HSBC,HSBC Holdings plc,20150721,HSBC must face U.S. lawsuit over failed credit unions ,NEW YORK  July 21 A federal judge rejected HSBC Holdings Plc's bid to dismiss a U.S. lawsuit claiming that its failure to perform its duties as trustee for $2.37 billion of residential mortgage-backed securities contributed to the downfall of five federal credit unions.,normal
HSBC,HSBC Holdings plc,20150721,UK consolidates Bank of England's bank supervision role ,LONDON Britain's government unveiled plans on Tuesday to centralize financial regulation further at the Bank of England and reinforce its own powers to shield taxpayers from having to prop up failing lenders in future.,normal
HSBC,HSBC Holdings plc,20150721,HSBC's Karolev joins BNP Paribas as EM syndicate official ,LONDON (IFR) - Alexander Karolev has left HSBC to join BNP Paribas as emerging markets debt syndicate manager  according to market sources.,normal
HSBC,HSBC Holdings plc,20150721,HSBC's Karolev joins BNP Paribas as EM syndicate official ,LONDON  July 21 (IFR) - Alexander Karolev has left HSBC to join BNP Paribas as emerging markets debt syndicate manager  according to market sources.,normal
HSEA,HSBC Holdings plc,20150721,MOVES-Barclays  Nomura  HSBC  Permal ,July 21 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
HSEA,HSBC Holdings plc,20150721,MOVES-HSBC appoints Gregory Pierce head of markets  Americas ,July 21 HSBC appointed Gregory Pierce head of markets  Americas  effective Sept. 1.,normal
HSEA,HSBC Holdings plc,20150721,HSBC must face U.S. lawsuit over failed credit unions ,NEW YORK A federal judge rejected HSBC Holdings Plc's bid to dismiss a U.S. lawsuit claiming that its failure to perform its duties as trustee for $2.37 billion of residential mortgage-backed securities contributed to the downfall of five federal credit unions.,normal
HSEA,HSBC Holdings plc,20150721,HSBC must face U.S. lawsuit over failed credit unions ,NEW YORK A federal judge rejected HSBC Holdings Plc's  bid to dismiss a U.S. lawsuit claiming that its failure to perform its duties as trustee for $2.37 billion of residential mortgage-backed securities contributed to the downfall of five federal credit unions.,normal
HSEA,HSBC Holdings plc,20150721,HSBC must face U.S. lawsuit over failed credit unions ,NEW YORK  July 21 A federal judge rejected HSBC Holdings Plc's bid to dismiss a U.S. lawsuit claiming that its failure to perform its duties as trustee for $2.37 billion of residential mortgage-backed securities contributed to the downfall of five federal credit unions.,normal
HSEA,HSBC Holdings plc,20150721,UK consolidates Bank of England's bank supervision role ,LONDON Britain's government unveiled plans on Tuesday to centralize financial regulation further at the Bank of England and reinforce its own powers to shield taxpayers from having to prop up failing lenders in future.,normal
HSEA,HSBC Holdings plc,20150721,HSBC's Karolev joins BNP Paribas as EM syndicate official ,LONDON (IFR) - Alexander Karolev has left HSBC to join BNP Paribas as emerging markets debt syndicate manager  according to market sources.,normal
HSEA,HSBC Holdings plc,20150721,HSBC's Karolev joins BNP Paribas as EM syndicate official ,LONDON  July 21 (IFR) - Alexander Karolev has left HSBC to join BNP Paribas as emerging markets debt syndicate manager  according to market sources.,normal
HSEB,HSBC Holdings plc,20150721,MOVES-Barclays  Nomura  HSBC  Permal ,July 21 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
HSEB,HSBC Holdings plc,20150721,MOVES-HSBC appoints Gregory Pierce head of markets  Americas ,July 21 HSBC appointed Gregory Pierce head of markets  Americas  effective Sept. 1.,normal
HSEB,HSBC Holdings plc,20150721,HSBC must face U.S. lawsuit over failed credit unions ,NEW YORK A federal judge rejected HSBC Holdings Plc's bid to dismiss a U.S. lawsuit claiming that its failure to perform its duties as trustee for $2.37 billion of residential mortgage-backed securities contributed to the downfall of five federal credit unions.,normal
HSEB,HSBC Holdings plc,20150721,HSBC must face U.S. lawsuit over failed credit unions ,NEW YORK A federal judge rejected HSBC Holdings Plc's  bid to dismiss a U.S. lawsuit claiming that its failure to perform its duties as trustee for $2.37 billion of residential mortgage-backed securities contributed to the downfall of five federal credit unions.,normal
HSEB,HSBC Holdings plc,20150721,HSBC must face U.S. lawsuit over failed credit unions ,NEW YORK  July 21 A federal judge rejected HSBC Holdings Plc's bid to dismiss a U.S. lawsuit claiming that its failure to perform its duties as trustee for $2.37 billion of residential mortgage-backed securities contributed to the downfall of five federal credit unions.,normal
HSEB,HSBC Holdings plc,20150721,UK consolidates Bank of England's bank supervision role ,LONDON Britain's government unveiled plans on Tuesday to centralize financial regulation further at the Bank of England and reinforce its own powers to shield taxpayers from having to prop up failing lenders in future.,normal
HSEB,HSBC Holdings plc,20150721,HSBC's Karolev joins BNP Paribas as EM syndicate official ,LONDON (IFR) - Alexander Karolev has left HSBC to join BNP Paribas as emerging markets debt syndicate manager  according to market sources.,normal
HSEB,HSBC Holdings plc,20150721,HSBC's Karolev joins BNP Paribas as EM syndicate official ,LONDON  July 21 (IFR) - Alexander Karolev has left HSBC to join BNP Paribas as emerging markets debt syndicate manager  according to market sources.,normal
IBN,ICICI Bank Limited,20150721,'BRICS' bank launches in Shanghai  to work with AIIB ,SHANGHAI Officials from the world's largest emerging nations launched the New Development Bank (NDB) on Tuesday  the second of two new policy banks heavily backed by Beijing that are being pitched as alternatives to existing institutions such as the World Bank. | Video ,topStory
INFY,Infosys Limited,20150721,Infosys revamp brings in more large deals; shares surge ,MUMBAI IT services provider Infosys Ltd on Tuesday said a business revamp initiated by its first non-founder boss helped it win more large deals in the first quarter  fuelling a 5 percent rise in net profit.,topStory
INFY,Infosys Limited,20150721,Sensex drops nearly 1 pct; Sun Pharma marks biggest fall ever ,MUMBAI India's stock markets fell nearly 1 percent on Tuesday after Sun Pharmaceutical Industries slumped more than 15 percent  its steepest daily decline  after the company warned that its sales in 2016 would be flat at best.,normal
INFY,Infosys Limited,20150721,BRIEF-India's Infosys: energy sector to continue to be under pressure for next few qtrs ,* Exec says energy sector to continue to be under pressure for next few quarters,normal
INFY,Infosys Limited,20150721,BRIEF-Infosys CEO says $1.5 bln of $20 bln for 2020 revenue targets to come from M&A ,* CEO says $1.5 billion of $20 billion for 2020 revenue targets to come from mergers and acquisitions  Further company coverage:    (Reporting By Aditya Kondalamahanty and Lehar Maan in BANGALORE),normal
INFY,Infosys Limited,20150721,UPDATE 2-Infosys revamp brings in more large deals; shares surge ,* Raises dollar revenue forecast range to 7.2-9.2 percent   (Adds CEO comment  deal wins  staff attrition  context),normal
INFY,Infosys Limited,20150721,India's Infosys Q1 net profit rises 5 pct; meets forecasts ,MUMBAI  July 21 Infosys Ltd  India's second-largest software services exporter  reported a 5 percent increase in quarterly net profit  bolstered by a surge in demand for IT outsourcing services from clients in the United States  its biggest market.,normal
IBM,International Business Machines Corporation,20150721,IBM  United Tech drag Dow; Apple results weigh on futures ,U.S. stocks closed lower on Tuesday as results from IBM and United Technologies dampened early optimism over earnings season and after-the-bell declines in major tech shares suggested losses would continue on Wednesday.,topStory
IBM,International Business Machines Corporation,20150721,US STOCKS-IBM  United Tech drag Dow; Apple results weigh on futures ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Adds Nasdaq e-mini volume),normal
IBM,International Business Machines Corporation,20150721,US STOCKS-IBM  United Tech drag Dow; Apple results weigh on futures ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Updates to close  adds Microsoft and Yahoo shares),normal
IBM,International Business Machines Corporation,20150721,US STOCKS-IBM  United Tech drag Dow; Apple earnings on deck ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Updates to close  adds Microsoft and Yahoo shares),normal
IBM,International Business Machines Corporation,20150721,US STOCKS-Wall St lower as IBM  United Tech results weigh ,* Indexes down: Dow 1.13 pct  S&P 0.45 pct  Nasdaq 0.18 pct   (Updates to late afternoon  changes byline),normal
IBM,International Business Machines Corporation,20150721,US STOCKS-IBM  United Tech pull down Dow; tech earnings in focus ,* Indexes down: Dow 1.14 pct  S&P 0.46 pct  Nasdaq 0.23 pct   (Updates to early afternoon),normal
IBM,International Business Machines Corporation,20150721,US STOCKS-Wall Street lower after weak results from IBM  United Tech ,* Indexes down: Dow 1.11 pct  S&P 0.41 pct  Nasdaq 0.37 pct   (Adds details  changes comment  updates prices),normal
IBM,International Business Machines Corporation,20150721,US STOCKS-IBM  United Tech results pull down Dow  S&P 500 ,* Dow down 0.69 pct  S&P down 0.09 pct  Nasdaq up 0.07 pct   (Updates to open),normal
IBM,International Business Machines Corporation,20150721,US STOCKS-Wall St set to open lower ahead of big tech earnings ,* Futures: Dow down 56 pts  S&P down 2 pts  Nasdaq up 3.5 pts   (Adds details  comment  updates prices),normal
JPM,J P Morgan Chase & Co,20150721,U.S.  Israel make arrests related to JPMorgan hack: reports ,U.S. and Israeli authorities arrested four people in Israel and Florida on Tuesday in connection with several fraud schemes tied to last summer's massive data breach at JPMorgan Chase & Co  according to news reports.,topStory
JPM,J P Morgan Chase & Co,20150721,UPDATE 2-U.S.  Israel make arrests related to JPMorgan hack -reports ,July 21 U.S. and Israeli authorities arrested four people in Israel and Florida on Tuesday in connection with several fraud schemes tied to last summer's massive data breach at JPMorgan Chase & Co  according to news reports.,normal
JPM,J P Morgan Chase & Co,20150721,U.S. banks prepare for oil and gas company loans to worsen ,NEW YORK U.S. banks are setting aside more money to cover bad loans to energy companies after oil prices plunged over the last year  raising the possibility that deteriorating loans could start to weigh on their earnings  some analysts said.,normal
LYG,Lloyds Banking Group Plc,20150721,Lloyds to set out dividend plans ahead of share sale ,LONDON Lloyds  is expected to set out its dividend plans next week  including a potential return of surplus cash to shareholders  making its stock more attractive ahead of a possible sale to retail investors  industry sources said.,topStory
LYG,Lloyds Banking Group Plc,20150721,UK consolidates Bank of England's bank supervision role ,LONDON  July 21 Britain's government unveiled plans on Tuesday to centralise financial regulation further at the Bank of England and reinforce its own powers to shield taxpayers from having to prop up failing lenders in future.,normal
LYG,Lloyds Banking Group Plc,20150721,UPDATE 2-Lloyds to set out dividend plans ahead of share sale-sources ,* Lloyds expected to face new 1 bln pound PPI bill   (Adds details on dividend strategy),normal
MCD,McDonald&#39;s Corporation,20150721,McDonald's may offer all-day breakfast in U.S. from October: WSJ ,McDonald's Corp  could start offering all-day breakfast in its U.S. restaurants as early as October  the Wall Street Journal reported  citing an internal company memo.,topStory
MCD,McDonald&#39;s Corporation,20150721,McDonald's may offer all-day breakfast in U.S. from Oct - WSJ ,July 21 McDonald's Corp could start offering all-day breakfast in its U.S. restaurants as early as October  the Wall Street Journal reported  citing an internal company memo.,normal
NMR,Nomura Holdings Inc ADR,20150721,MOVES-Barclays  Nomura  HSBC  Permal ,July 21 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
OMC,Omnicom Group Inc,20150721,Omnicom revenue beats as North America ad spending rises ,Omnicom Group Inc   the biggest U.S. advertising company  reported quarterly revenue that beat analysts' average estimate  helped by a rise in spending in North America.,topStory
OMC,Omnicom Group Inc,20150721,UPDATE 1-Omnicom revenue beats as N America ad spending rises ,July 21 Omnicom Group Inc  the biggest U.S. advertising company  reported quarterly revenue that beat analysts' average estimate  helped by a rise in spending in North America.,normal
OMC,Omnicom Group Inc,20150721,Omnicom revenue falls due to stronger dollar ,July 21 Omnicom Group Inc  the biggest U.S. advertising company  reported a 1.7 percent drop in quarterly revenue  mainly hurt by a stronger dollar.,normal
OPY,Oppenheimer Holdings Inc,20150721,MOVES-Oppenheimer makes 2 hires for new Europe debt capital markets team ,July 21 Investment bank Oppenheimer Holdings Inc's European unit appointed Scott Beattie and David Kent as managing directors of its newly established debt capital markets and syndication business in the region.,topStory
ORAN,Orange,20150721,Bharti Airtel says no plan to exit Africa  despite Orange talks ,MUMBAI  July 21 Bharti Airtel Ltd  the biggest Indian cellphone carrier  said on Tuesday it had no plans to exit Africa  despite beginning exclusive talks with France's Orange to sell four of its units there.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150721,Eletrobras contracts checked in Brazil graft investigation ,SAO PAULO  July 21 Federal prosecutors in Brazil asked state-run power holding company Eletrobras on Tuesday for details of contracts signed with engineering firms under investigation in a graft probe that began with state-run oil company Petrobras.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150721,Portugal to help investigate Brazil's 'Car Wash' scandal ,LISBON Portugal's prosecutor general has ordered investigators to look into a request from Brazilian authorities for help with a probe into a scandal involving state-run oil company Petrobras.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150721,Portugal to help investigate Brazil's "Car Wash" scandal ,LISBON  July 21 Portugal's prosecutor general has ordered investigators to look into a request from Brazilian authorities for help with a probe into a scandal involving state-run oil company Petrobras.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150721,Petrobras shares rally on Rousseff's dismal poll numbers ,SAO PAULO Preferred shares of state-run oil producer Petroleo Brasileiro SA erased early losses to rise about 3 percent in early Tuesday trading after a poll showed President Dilma Rousseff's popularity continued to tumble due to a mounting corruption scandal and economic recession.,normal
POT,Potash Corporation of Saskatchewan Inc,20150721,UPDATE 1-K+S rejects Potash Corp's new attempt at takeover talks ,* K+S says nothing was offered that would warrant negotiations,topStory
POT,Potash Corporation of Saskatchewan Inc,20150721,K+S says new Potash Corp overture no basis for talks ,FRANKFURT Canadian mineral miner Potash Corp has made a fresh attempt to win over the management of takeover target K+S and the German regional state of Hesse  where it is headquartered  but failed to entice K+S into merger talks.,normal
POT,Potash Corporation of Saskatchewan Inc,20150721,K+S says new Potash Corp overture no basis for talks ,FRANKFURT  July 21 Canadian mineral miner Potash Corp has made a fresh attempt to win over the management of takeover target K+S and the German regional state of Hesse  where it is headquartered  but failed to entice K+S into merger talks.,normal
RIO,Rio Tinto Plc,20150721,At U.S. Capitol  Arizona Apaches protest planned copper mine ,WASHINGTON  July 21 Scores of Native American demonstrators protested at the U.S. Capitol on Tuesday against a proposed $6 billion copper mine in Arizona at a site that members of the Apache tribe say is sacred.,normal
RBS,Royal Bank Scotland plc (The),20150721,Munro made head of FI at RBS ,LONDON  July 21 (IFR) - RBS has made Doug Munro head of financial institutions  debt capital markets for UK and Ireland.,topStory
RBS,Royal Bank Scotland plc (The),20150721,UK consolidates Bank of England's bank supervision role ,LONDON  July 21 Britain's government unveiled plans on Tuesday to centralise financial regulation further at the Bank of England and reinforce its own powers to shield taxpayers from having to prop up failing lenders in future.,normal
SNY,Sanofi,20150721,Amgen wins first approval for new class of cholesterol drugs ,Amgen Inc's cholesterol fighting drug was approved by the European Commission  giving the keenly anticipated treatment a head start over a rival drug being developed by Regeneron Pharmaceuticals Inc and Sanofi SA.,topStory
SNY,Sanofi,20150721,UPDATE 1-Amgen wins first approval for new class of cholesterol drugs ,July 21 Amgen Inc's cholesterol fighting drug was approved by the European Commission  giving the keenly anticipated treatment a head start over a rival drug being developed by Regeneron Pharmaceuticals Inc and Sanofi SA.,normal
SAP,SAP SE,20150721,SAP CFO says pipeline looks very healthy ,FRANKFURT/STUTTGART SAP's order pipeline for the second half of the year is "very healthy" and will offset a decline in sales from its packaged software products  which will pose no threat to the company's full-year operating profit target  its finance chief said.,topStory
SAP,SAP SE,20150721,SAP's packaged software suffers amid switch to cloud ,FRANKFURT German business software maker SAP posted quarterly profit at the low end of forecasts  hit by weak sales of its traditional packaged software and a rapid shift by customers to lower-margin cloud software delivered via the Internet.,normal
SAP,SAP SE,20150721,UPDATE 2-SAP's packaged software suffers amid switch to cloud ,* Still sees 2015 operating profit 5.6-5.9 bln euros   (Adds details  background  shares),normal
SAP,SAP SE,20150721,European Factors to Watch-Shares seen flat to higher  focus on earnings ,LONDON  July 21 European shares headed for a flat to slightly higher open on Tuesday  with investors focusing on company results as the second-quarter earnings season gathered pace in Europe.,normal
SAP,SAP SE,20150721,German stocks - Factors to watch on July 21 ,FRANKFURT/BERLIN  July 21 The DAX top-30 index  looked set to open 0.1 percent higher on Tuesday according to premarket data from brokerage Lang & Schwarz at 0613 GMT.,normal
SAP,SAP SE,20150721,European Factors to Watch on July 21 ,LONDON  July 21 Financial spreadbetters predicted Britain's FTSE 100 to open about 12 points higher  or up 0.2 percent  Germany's DAX  to gain 18 points  or 0.2 percent  and France's CAC 40 to open flat on Tuesday.,normal
SAP,SAP SE,20150721,SAP posts Q2 profit at low end of expectations  hit by cloud sales ,FRANKFURT  July 21 German business software maker SAP  reported mixed quarterly results on Tuesday as revenues topped expectations due to a surge in newer  lower-margin cloud software delivered via the Internet  pushing down profit to the very low end of hopes.,normal
BID,Sotheby&#39;s,20150721,Euro rebounds from three-month low  yen gains on Kuroda remarks ,NEW YORK The euro on Tuesday rebounded from three-month lows against the dollar as an easing of pessimism about Greece had traders paring bearish bets  while the yen rose versus the greenback on upbeat remarks on inflation from the Bank of Japan chief.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150721,BRIEF-Taiwan's TSMC orders equipment for T$5.63 billion ,July 21 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150721,Taiwan stocks inch up  but poor export order data weighs ,TAIPEI  July 21 Taiwan stocks edged up on Tuesday as investors remained cautious  with some tech exporters trading flat after the island's export orders fell for a third straight month in June.,normal
TEF,Telefonica SA,20150721,BRIEF-Spanish regulator fines Telefonica and Yoigo 6.3 mln euros ,* Fines Telefonica and Yoigo 6.3 million euros ($6.9 million) for business agreements that it says violated antitrust rules  Further company coverage:  ($1 = 0.9155 euros)   (Reporting by Tracy Rucinski  Editing by Sarah White),topStory
TEF,Telefonica SA,20150721,TomTom tops modest expectations and predicts auto turnaround ahead ,AMSTERDAM  July 21 Dutch mapping company TomTom  reported a lower second-quarter net profit on Tuesday that eked ahead of expectations thanks to solid revenue growth driven by license renewals from customers including Apple  and Telefonica.,normal
TRV,The Travelers Companies Inc,20150721,Travelers profit beats estimates as catastrophe losses halve ,Property and casualty insurer Travelers Cos Inc  reported a stronger-than-expected quarterly operating profit as catastrophe losses halved and underwriting gains doubled.,topStory
TRV,The Travelers Companies Inc,20150721,UPDATE 2-Travelers profit beats estimates as catastrophe losses halve ,* Shares rise marginally   (Adds comment from conference call; updates shares),normal
TRV,The Travelers Companies Inc,20150721,Insurer Travelers profit boosted by lower catastrophe losses ,July 21 Property and casualty insurer Travelers Cos Inc reported a 19 percent rise in quarterly net profit as catastrophe losses almost halved and it recorded $32 million from the resolution of tax issues from last year.,normal
TMO,Thermo Fisher Scientific Inc,20150721,BRIEF-Sygnis signs non-exclusive worldwide license agreement with Thermo Fisher Scientific ,* Grants non-exclusive license on double switch technology to Thermo Fisher Scientific,topStory
TM,Toyota Motor Corp Ltd Ord,20150721,Exclusive: Toyota delays move to build Lexus in China - sources ,BEIJING Toyota Motor Corp  will likely delay building its premium Lexus brand in China for at least a few years  as growth in China's auto market slows to a crawl and a weak yen makes it cheaper to keep making cars in Japan.,topStory
UL,Unilever PLC,20150721,Slowing demand in rural India hurts Hindustan Unilever profit ,MUMBAI Weakening rural demand and low pricing hurt Hindustan Unilever Ltd  as the Indian unit of Anglo-Dutch consumer group Unilever Plc   missed market expectations for quarterly profit  sending its shares down almost 5 percent on Tuesday.,topStory
UL,Unilever PLC,20150721,UPDATE 1-Slowing demand in rural India hurts Hindustan Unilever profit ,* Q1 net 10.59 bln rupees versus 11.35 bln estimate of analysts,normal
UL,Unilever PLC,20150721,Hindustan Unilever misses quarterly profit estimates ,MUMBAI  July 21 Hindustan Unilever Ltd  the Indian unit of Anglo-Dutch consumer group Unilever Plc    reported a quarterly profit that missed market expectations as customers continued to be thrifty on purchases of soaps  shampoos and other personal care products.,normal
UMC,United Microelectronics Corporation,20150721,BRIEF-Taiwan's UMC orders equipment for T$824.5 mln ,* Says orders equipment from Applied Materials South East Asia Pte Ltd for T$824.5 million ($26.44 million),topStory
UTX,United Technologies Corporation,20150721,United Tech cuts outlook on aerospace  elevator pressures ,United Technologies Corp   which agreed on Monday to sell its Sikorsky helicopter business  cut its full-year profit outlook on Tuesday as it warned of pressures in its aerospace systems and Otis elevators businesses.,topStory
UTX,United Technologies Corporation,20150721,United Tech CEO has rough day with third profit outlook cut ,A day after sealing the signature move of his eight-month tenure  United Technologies Corp  Chief Executive Greg Hayes suffered his toughest day on Wall Street.,normal
UTX,United Technologies Corporation,20150721,United Tech CEO has rough day with third profit outlook cut ,July 21 A day after sealing the signature move of his eight-month tenure  United Technologies Corp  Chief Executive Greg Hayes suffered his toughest day on Wall Street.,normal
UTX,United Technologies Corporation,20150721,IBM  United Tech drag Dow; Apple results weigh on futures ,U.S. stocks closed lower on Tuesday as results from IBM and United Technologies dampened early optimism over earnings season and after-the-bell declines in major tech shares suggested losses would continue on Wednesday.,normal
UTX,United Technologies Corporation,20150721,US STOCKS-IBM  United Tech drag Dow; Apple results weigh on futures ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Adds Nasdaq e-mini volume),normal
UTX,United Technologies Corporation,20150721,US STOCKS-IBM  United Tech drag Dow; Apple results weigh on futures ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Updates to close  adds Microsoft and Yahoo shares),normal
UTX,United Technologies Corporation,20150721,US STOCKS-IBM  United Tech drag Dow; Apple earnings on deck ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Updates to close  adds Microsoft and Yahoo shares),normal
UTX,United Technologies Corporation,20150721,Deals of the day-Mergers and acquisitions ,July 21 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Tuesday:,normal
