AAPL,Apple Inc,20151123,Rothschild  Petrie Partners form energy restructuring partnership ,NEW YORK  Nov 23 Oil and gas investment bank Petrie Partners and financial advisory firm Rothschild have joined forces to win business in the wave of corporate debt restructurings rippling across the energy sector  Petrie co-founder Andrew Rapp told Reuters.,normal
PFE,Pfizer Inc,20151123,Wall Street falls after strong week; Pfizer and Allergan drag ,U.S. stock indexes closed slightly lower in a quiet trading day on Wall Street after last week's strong gains  while a big healthcare deal failed to impress investors on Monday.,normal
PFE,Pfizer Inc,20151123,US STOCKS-Wall St falls after strong week; Pfizer and Allergan drag ,* Indexes down: Dow 0.17 pct  S&P 0.12 pct  Nasdaq 0.05 pct   (Updates to afternoon  adds commentary changes byline),normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151123,BRIEF-Taiwan's TSMC orders machinery equipment from Led-Fu Industrial ,* Says orders machinery equipment worth T$350 million  ($10.73 million),topStory
TEO,Telecom Argentina Stet - France Telecom SA,20151123,BRIEF-Telecom Italia to raise over 3 bln euros in 2016 from series of ops ,* Savings share conversion  conversion of mandatory convertible  sale of mast assets and Telecom Argentina are operations that can raise over 3 billion euros to bolster the balance sheet in 2016,topStory
TI,Telecom Italia SPA,20151123,BRIEF-Telecom Italia to raise over 3 bln euros in 2016 from series of ops ,* Savings share conversion  conversion of mandatory convertible  sale of mast assets and Telecom Argentina are operations that can raise over 3 billion euros to bolster the balance sheet in 2016,topStory
TI,Telecom Italia SPA,20151123,BRIEF-Telecom Italia chairman says Vivendi stake not dominant position ,* Chairman Giuseppe Recchi says management works for interest of company  for all shareholders,normal
BX,The Blackstone Group LP,20151123,UPDATE 1-GE to sell UK home loan portfolio to Blackstone-led consortium ,Nov 23 General Electric Co said on Monday it would sell its $5.9 billion portfolio of UK home loans to an investment consortium led by Blackstone Group LP  as it exits its UK mortgage business.,topStory
BX,The Blackstone Group LP,20151123,GE to sell UK home lending portfolio to Blackstone-led consortium ,General Electric Co  said on Monday it would sell its $5.9 billion worth portfolio of UK home loans to an investment consortium led by Blackstone Group LP   as it exits its UK mortgage business.,normal
BX,The Blackstone Group LP,20151123,GE to sell UK home lending portfolio to Blackstone-led consortium ,Nov 23 General Electric Co said on Monday it would sell its $5.9 billion worth portfolio of UK home loans to an investment consortium led by Blackstone Group LP  as it exits its UK mortgage business.,normal
TAC,TransAlta Corporation,20151123,TransAlta Renewables to invest C$540 mln in TransAlta Corp projects ,CALGARY  Alberta  Nov 23 Canadian renewable energy company TransAlta Renewables said on Monday it would invest C$540 million ($404 million) in three projects in Ontario and Quebec belonging to its majority-owner TransAlta Corp.,topStory
TSN,Tyson Foods Inc,20151123,Tyson Foods quarterly sales beat estimates; shares soar 10 percent ,Tyson Foods Inc   the biggest U.S. meat processor  reported better-than-expected quarterly sales on Monday  sending its shares up by over 10 percent as strong demand for chicken products and a boost from its purchase of sausage seller Hillshire Brands buoyed results.,topStory
TSN,Tyson Foods Inc,20151123,UPDATE 3-Tyson Foods quarterly sales beat estimates; shares soar 10 pct ,Nov 23 Tyson Foods Inc  the biggest U.S. meat processor  reported better-than-expected quarterly sales on Monday  sending its shares up by over 10 percent as strong demand for chicken products and a boost from its purchase of sausage seller Hillshire Brands buoyed results.,normal
TSN,Tyson Foods Inc,20151123,Tyson Foods quarterly sales rise 4 pct ,Nov 23 Tyson Foods Inc  the biggest U.S. meat processor  reported a 4 percent rise in quarterly sales  helped by higher demand for chicken and as the Hillshire Brands acquisition boosted sales of prepared foods.,normal
VRX,Valeant Pharmaceuticals International Inc,20151123,Ackman boosts stake in drugmaker Valeant ,Activist investor Bill Ackman's hedge fund has significantly increased its investment in Valeant Pharmaceuticals International   and signaled it may play a greater role in the beleaguered drugmaker’s strategy  according to a regulatory filing.,topStory
VRX,Valeant Pharmaceuticals International Inc,20151123,Ackman raises stake in Valeant Pharma ,Nov 23 Bill Ackman's Pershing Square Capital Management raised its stake in Valeant Pharmaceuticals International Inc  to 9.9 percent  making it the second largest shareholder in the company.,normal
VRX,Valeant Pharmaceuticals International Inc,20151123,Hedge funds' favorite stocks lag broader market: Goldman data ,BOSTON Hedge fund managers' favorite stocks stumbled hard this year to post their worst returns since the financial crisis with health-care companies  such as Valeant Pharmaceuticals   leading the way lower  according to new data from Goldman Sachs.,normal
WMT,Wal-Mart Stores Inc,20151123,Wal-Mart pulls Cyber Monday forward to Sunday  record industry sales expected ,Nov 23 Wal-Mart Stores Inc has decided that Cyber Monday  the biggest online shopping day of the year  should not start on a Monday anymore.,topStory
WFC,Wells Fargo & Company,20151123,Wells Fargo likely to issue more debt to comply with new rules ,Nov 23 - Wells Fargo & Co will likely need to issue an additional $40 billion to $60 billion of long-term debt to comply with new rules designed to help banks better weather a crisis  Chief Financial Officer John Shrewsberry said on Friday.,topStory
XRX,Xerox Corporation,20151123,Icahn takes stake in Xerox  calls shares 'undervalued' ,Activist investor Carl Icahn disclosed a stake in Xerox Corp   and called the printer and copier maker's shares "undervalued"  sending its shares up 7.6 percent in extended trade.,topStory
XRX,Xerox Corporation,20151123,UPDATE 2-Icahn takes stake in Xerox  calls shares "undervalued" ,Nov 23 Activist investor Carl Icahn disclosed a stake in Xerox Corp  and called the printer and copier maker's shares "undervalued"  sending its shares up 7.6 percent in extended trade.,normal
XRX,Xerox Corporation,20151123,CORRECTED-Icahn takes 7.13 pct stake in Xerox ,Nov 23 Activist investor Carl Icahn said he had taken a a 7.13 percent stake in Xerox Corp  best known for its printers and copiers.,normal
AUY,Yamana Gold Inc,20151123,UPDATE 1-Yamana Gold to cut stake in Brio unit to 21 pct in private placement ,Nov 23 Canada-based Yamana Gold Inc and its wholly owned subsidiary Brio Gold Inc have started a private placement of Brio shares  Yamana said on Monday  a move that will reduce its stake in the unit to around 21 percent.,topStory
AUY,Yamana Gold Inc,20151123,Yamana Gold to cut stake in Brio unit to 21 pct in private placement ,Nov 23 Yamana Gold Inc said on Monday its wholly owned subsidiary Brio Gold Inc has started a private placement of Brio shares  which will reduce Yamana's stake in the unit to around 21 percent.,normal
ZAYO,Zayo Group Holdings Inc,20151123,Manitoba Telecom to sell unit to Zayo for C$465 mln ,Nov 23 Canadian telecom company Manitoba Telecom Services Inc said on Monday it had agreed to sell its unit  Allstream Inc  to U.S.-based Zayo Group Holdings Inc  for C$465 million ($347.4 million) in cash.,topStory
LNG,Cheniere Energy Inc,20151123,Hedge funds' favorite stocks lag broader market -Goldman data ,BOSTON  Nov 23 Hedge fund managers' favorite stocks stumbled hard this year to post their worst returns since the financial crisis with health-care companies  such as Valeant Pharmaceuticals  leading the way lower  according to new data from Goldman Sachs.,normal
