AMCX,AMC Networks Inc,20131031,DIARY-NON S&P WEEK AHEAD - Part III ,** For events before Nov 07 please click on.       ** For events before Nov 05 please click on.   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS  07 Nov    BMO    Q3 2013 Atlas Air Worldwide Holdings Inc      1.34     9     1.26 07 Nov    AMC    Q3 2013 Cambium Lear,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20131031,Embraer shares open lower after earnings miss ,SAO PAULO Shares of Brazil's Embraer SA  fell nearly 3 percent in opening Thursday trading to a six-month low after the world's third-largest commercial planemaker posted an unexpected drop in quarterly profit.,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20131031,Brazilian planemaker Embraer's profit falls 10 percent ,SAO PAULO  Oct 31 Brazil's Embraer SA   the world's third-largest commercial planemaker  said on Thursday that third-quarter earnings fell 10 percent from a year earlier to 118.7 million reais ($54 million)  according to a securities filing.,normal
ENB,Enbridge Inc,20131031,Enbridge to further apportion pipelines in November ,CALGARY  Alberta  Oct 31 Enbridge Inc  whose pipelines carry the bulk of Canada's crude oil exports to the United States  will ration space on additional pipelines in November  according to market sources.,topStory
ENB,Enbridge Inc,20131031,Destin Pipeline to work on Miss. gas compressor Nov. 1-12 ,NEW YORK  Oct 31 Destin Pipeline Co LLC on Thursday said it would perform maintenance on its Sand Hill natural gas compressor station in Mississippi starting Nov. 1 and ending Nov. 12.,normal
XOM,Exxon Mobil Corporation,20131031,US STOCKS-Wall St ends session lower but posts gains for October ,* Exxon Mobil shares rise after results beat Wall St forecast,topStory
XOM,Exxon Mobil Corporation,20131031,REFILE-US STOCKS-Wall St edges up in wake of Fed; Exxon a boost ,* Exxon Mobil shares rise after results beat Wall Street forecast,normal
XOM,Exxon Mobil Corporation,20131031,Exxon's output rises but refining weakness hits profit ,Exxon Mobil Corp   the world's largest publicly traded oil company  reported higher-than-expected quarterly results on Thursday as output rose for the first time in more than two years  but refining weakness hurt earnings.,normal
XOM,Exxon Mobil Corporation,20131031,Exxon says considering Edmonton rail terminal to move Kearl crude ,HOUSTON Exxon Mobil Corp  is looking into building a rail terminal in Edmonton  Canada to move crude from its Kearl tar sands field to refineries in the United States  the company said on Thursday.,normal
XOM,Exxon Mobil Corporation,20131031,Imperial Oil Q3 profit falls 38 pct as oil prices squeeze refining ,CALGARY  Alberta  Oct 31 Imperial Oil Ltd   Canada's No. 2 oil producer and refiner  said on Thursday that third-quarter profit fell 38 percent as higher oil prices squeezed earnings from its refineries.,normal
XOM,Exxon Mobil Corporation,20131031,UPDATE 3-Exxon's output rises but refining weakness hits profit ,Oct 31 Exxon Mobil Corp  the world's largest publicly traded oil company  reported higher-than-expected quarterly results on Thursday as output rose for the first time in more than two years  but refining weakness hurt earnings.,normal
XOM,Exxon Mobil Corporation,20131031,CORRECTED-UPDATE 2-Exxon's quarterly profit down but output rises ,(Correct second paragraph to read first nine months  not first three),normal
XOM,Exxon Mobil Corporation,20131031,Exxon's quarterly profit down 18 percent  refining hurts ,Oct 31 Exxon Mobil Corp  the world's largest publicly traded oil company  on Thursday reported an 18 percent decrease in quarterly profit on weak refining margins.,normal
FLR,Fluor Corporation,20131031,With mine delay  Fluor's dimmer outlook overshadows Q3 ,Fluor Corp  posted a higher quarterly profit on Thursday  but its engineering project backlog shrank as the oil and gas division could not make up for lost mining work and its 2014 outlook fell short of what analysts expected.,topStory
F,Ford Motor Company,20131031,Police have video of Toronto mayor  won't detail contents ,TORONTO Police said Thursday they have obtained a video "consistent" with media accounts that it shows Toronto Mayor Rob Ford smoking crack cocaine  but they would not confirm the contents of the video.,topStory
F,Ford Motor Company,20131031,UPDATE 1-Police have video of Toronto mayor  won't detail contents ,TORONTO  Oct 31 Police said Thursday they have obtained a video "consistent" with media accounts that it shows Toronto Mayor Rob Ford smoking crack cocaine  but they would not confirm the contents of the video.,normal
F,Ford Motor Company,20131031,U.S. October auto sales expected to show 12 percent rise ,DETROIT U.S. auto sales to be reported on Friday are expected to be up 12 percent from a year ago as the federal government shutdown did not greatly impact consumer purchases.,normal
F,Ford Motor Company,20131031,U.S. October auto sales expected to show 12 percent rise ,DETROIT  Oct 31 U.S. auto sales to be reported on Friday are expected to be up 12 percent from a year ago as the federal government shutdown did not greatly impact consumer purchases.,normal
FIG,Fortress Investment Group LLC,20131031,Fortress profits rise slightly in Q3  hedge fund losses hurt ,Fortress Investment Group  on Thursday reported its profits rose slightly in the third quarter due to higher management fees across its various fund products but the firm was hampered by lower income fees in its hedge fund unit.,topStory
FIG,Fortress Investment Group LLC,20131031,Fortress profits rise slightly in Q3  hedge fund losses hurt ,Oct 31 Fortress Investment Group on Thursday reported its profits rose slightly in the third quarter due to higher management fees across its various fund products but the firm was hampered by lower income fees in its hedge fund unit.,normal
FNV,Franco-Nevada Corporation,20131031,Air France-KLM ready to help Alitalia under strict conditions ,PARIS  Oct 31 Air France-KLM remains ready to help Italian airline Alitalia under "very strict conditions " Alexandre de Juniac  chief executive of the Franco-Dutch group  said on Thursday.,topStory
GGB,Gerdau SA,20131031,UPDATE 1-Gerdau profit beats estimates; strength in Brazil helps ,SAO PAULO  Oct 31 Gerdau SA   the largest steelmaker in the Americas  on Thursday reported a higher-than-expected quarterly profit  with rising sales volumes and cost controls in Brazil offsetting declining margins in North America  Europe and India.,topStory
GGB,Gerdau SA,20131031,Brazilian steelmaker Gerdau's Q3 profit tops estimates ,SAO PAULO  Oct 31 Brazil's Gerdau SA    the largest steelmaker in the Americas  reported third-quarter net income of 642 million reais ($293 million)  according to a securities filing on Thursday.,normal
GS,Goldman Sachs Group Inc (The),20131031,General Atlantic hires Goldman Sachs to sell Amedes: sources ,FRANKFURT Investment firm General Atlantic has hired Goldman Sachs  to sell German-based laboratory services company Amedes and is discussing offers up to 800 million euros  two sources familiar with the matter said on Thursday.,topStory
GS,Goldman Sachs Group Inc (The),20131031,General Atlantic hires Goldman Sachs to sell Amedes - sources ,FRANKFURT  Oct 31 Investment firm General Atlantic has hired Goldman Sachs to sell German-based laboratory services company Amedes and is discussing offers up to 800 million euros  two sources familiar with the matter said on Thursday.,normal
HES,Hess Corporation,20131031,Early signs point to faster decline in Bakken well costs ,NEW YORK  Oct 31 Well costs in North Dakota's Bakken shale may be declining more quickly than expected if an 18 percent drop reported by top driller Hess Corp this week is any indication.,topStory
HMC,Honda Motor Company Ltd,20131031,Nikkei retreats from 1-week high; Honda  Toshiba fall after earnings ,* Honda Motor down on disappointment it didn't upgrade earnings f'cast     * ANA hits two-month low after nearly halving guidance     * Sharp  Sony  SoftBank to report results after mkt close      By Dominic Lau     TOKYO  Oct 31 Japan's Nikkei share average pulled back from a one-week high on Thursday morning on earnings concerns  with blue-chips Toshiba Corp and Honda Motor Co Ltd coming under pressure after reporting quarterly results.     Honda lost 1.5 percent as investors were ,topStory
HMC,Honda Motor Company Ltd,20131031,U.S. October auto sales expected to show 12 percent rise ,DETROIT  Oct 31 U.S. auto sales to be reported on Friday are expected to be up 12 percent from a year ago as the federal government shutdown did not greatly impact consumer purchases.,normal
HMC,Honda Motor Company Ltd,20131031,India Morning Call-Global markets ,----------------------(0830 a.m. India time)------------------             LEVEL        NET/CLOSE    PCT/YIELD DJIA        15618.76    -61.59        -0.39 S&P 500    1763.31    -8.64        -0.49 FTSE        6777.7        2.97        0.04 MSCI Asia-Pac Ex-JP         481.77        -1.5        -0.31 Nikkei    14471.8    -30.55        -0.21 Euro        1.3726        1.3735     Japanese Yen    98.45        98.49     U.S. Crude    96.59        -0.18     Brent        109.56        -0.3     Gold       ,normal
IBM,International Business Machines Corporation,20131031,New Issue-IBM prices dual tranche deal ,Borrower                International Business Machines Corp,topStory
IVZ,Invesco Plc,20131031,Invesco profit rises as assets grow on new client money ,NEW YORK Asset manager Invesco Ltd  said on Thursday that its third-quarter profit rose 34 percent as strong net inflows  primarily in its retail business  helped boost assets.,topStory
IVZ,Invesco Plc,20131031,UPDATE 2-Invesco profit rises as assets grow on new client money ,NEW YORK  Oct 31 Asset manager Invesco Ltd  said on Thursday that its third-quarter profit rose 34 percent as strong net inflows  primarily in its retail business  helped boost assets.,normal
IO,Ion Geophysical Corporation,20131031,UPDATE 3-Exxon's output rises but refining weakness hits profit ,Oct 31 Exxon Mobil Corp  the world's largest publicly traded oil company  reported higher-than-expected quarterly results on Thursday as output rose for the first time in more than two years  but refining weakness hurt earnings.,topStory
IO,Ion Geophysical Corporation,20131031,CORRECTED-UPDATE 2-Exxon's quarterly profit down but output rises ,(Correct second paragraph to read first nine months  not first three),normal
LYB,LyondellBasell Industries NV,20131031,CORRECTED-BRIEF-Lyondellbasell to offer 15 mln shares from shareholders ,(Corrects headline to say LyondellBasell to offer shares from shareholders instead of 'by selling shareholders') Oct 31 LyondellBasell Industries NV :  * Announces offering of 15 million ordinary shares by selling shareholders  * Commencement of public offering of shares by certain selling shareholders that are affiliates of Apollo Management Holdings  * Source text for Eikon   * Further company coverage,topStory
M,Macy&#39;s Inc,20131031,New York protesters target Barneys after black shoppers claim bias ,NEW YORK A small group of demonstrators shouting "no shop and frisk" gathered at the Manhattan storefront of Barneys New York Inc on Wednesday to express outrage over black customers' complaints they were stopped by police after making luxury purchases.,topStory
MPC,Marathon Petroleum Corporation,20131031,UPDATE 1-Marathon Petroleum product exports hit 245K bpd record -CEO ,HOUSTON  Oct 31 U.S. independent refiner Marathon Petroleum Corp has nearly doubled its refined products exports so far this year and aims to go higher  executives told analysts on Thursday.,topStory
MPC,Marathon Petroleum Corporation,20131031,Marathon Petroleum spent $75 mln on ethanol credits in Q4 -CEO ,HOUSTON  Oct 31 Marathon Petroleum Corp  spent $25 million per month  or a total of $75 million  on ethanol credits in the third quarter to comply with U.S. renewable fuel standards policy  Chief Executive Gary Heminger told analysts on Thursday.,normal
MPC,Marathon Petroleum Corporation,20131031,UPDATE 1-Marathon Petroleum profit less than expected ,Oct 31 U.S. refining company Marathon Petroleum Corp posted a lower-than-expected quarterly profit on Thursday  hurt by shrinking crude discounts and weakness in products markets.,normal
MPC,Marathon Petroleum Corporation,20131031,Marathon Petroleum profit tumbles as crude discount shrinks ,Oct 31 U.S. refining company Marathon Petroleum Corp on Thursday said its third-quarter profit fell sharply  hurt by shrinking crude discounts and weakness in products markets.,normal
MA,Mastercard Incorporated,20131031,MasterCard profit up 14 percent as card spending rises ,MasterCard Inc   the world's No.2 credit and debit card company  reported a 14 percent rise in quarterly profit as more people across the world used plastic instead of cash.,topStory
MA,Mastercard Incorporated,20131031,UPDATE 1-MasterCard profit up 14 pct as card spending rises ,Oct 31 MasterCard Inc  the world's No.2 credit and debit card company  reported a 14 percent rise in quarterly profit as more people across the world used plastic instead of cash.,normal
MA,Mastercard Incorporated,20131031,MasterCard profit up 14 pct as card spending rises ,Oct 31 MasterCard Inc reported a 14 percent rise in quarterly profit as more people used cards to make payments.,normal
MRK,Merck & Company Inc,20131031,Analysis: For Merck  bringing cattle feed Zilmax back won't be easy ,U.S. pharmaceutical giant Merck & Co  faces significant challenges bringing its controversial feed additive Zilmax back to market in the United States and Canada  even after a vote of confidence from South Korea on Thursday.,topStory
MGM,MGM Resorts International,20131031,MGM Resorts third-quarter loss narrows  margins disappoint ,LOS ANGELES MGM Resorts International  posted a narrower third-quarter loss on Thursday and was optimistic about a planned new casino in Massachusetts  although lower-than-expected margins at its Chinese and Las Vegas operations disappointed some analysts.,topStory
MGM,MGM Resorts International,20131031,UPDATE 1-MGM Resorts third-quarter loss narrows  margins disappoint ,LOS ANGELES  Oct 31 MGM Resorts International  posted a narrower third-quarter loss on Thursday and was optimistic about a planned new casino in Massachusetts  although lower-than-expected margins at its Chinese and Las Vegas operations disappointed some analysts.,normal
MGM,MGM Resorts International,20131031,MGM Resorts third-quarter loss narrows; margins disappoint ,LOS ANGELES  Oct 31 MGM Resorts International  posted a narrower third-quarter loss on Thursday but analysts were disappointed by lower-than-expected margins at its Chinese and Las Vegas operations.,normal
MS,Morgan Stanley,20131031,UPDATE 3-MSCI studies sale  other options for proxy adviser ISS ,* Morgan Stanley hired to explore options for controversial unit,topStory
MSCI,MSCI Inc,20131031,UPDATE 3-MSCI studies sale  other options for proxy adviser ISS ,* Morgan Stanley hired to explore options for controversial unit,topStory
MSCI,MSCI Inc,20131031,MSCI exploring strategic options for proxy advisory business ,Oct 31 Market index provider MSCI Inc  is exploring strategic options for its influential proxy advisory unit  Institutional Shareholder Services Inc  that may lead to a separation of the business.,normal
NYT,New York Times Company (The),20131031,New York Times revenue rises on subscriptions ,New York Times Co reported higher third-quarter revenue on Thursday after more readers paid for its flagship newspaper and its digital products.,topStory
NEM,Newmont Mining Corporation,20131031,Newmont third-quarter profits rise on oil sands sale  output ,Oct 31 Newmont Mining Corp reported a 7 percent rise in third-quarter profit on Thursday  benefitting from the sale of its investment in Canadian Oil Sands Ltd  and higher output at its Australian and Nevada operations.,topStory
NVO,Novo Nordisk A/S,20131031,Novo offers shy outlook as diabetes drug sales miss ,COPENHAGEN Danish drugmaker Novo Nordisk  missed forecasts for third-quarter profit and sales and gave a smaller than hoped growth outlook for next year  capped by a weakening dollar and slower growth of some of its best-selling drugs.,topStory
NVO,Novo Nordisk A/S,20131031,UPDATE 3-Novo offers shy outlook as diabetes drug sales miss ,* Novo says to carry out a stock split in five-for-one ratio,normal
NVO,Novo Nordisk A/S,20131031,Heavyweight Shell caps European share gains as results disappoint ,LONDON  Oct 31 Disappointing results from heavyweight energy firm Royal Dutch Shell kept Europe's blue chip share index in check on Thursday  as central bank stimulus continued to fuel appetite for European equties.,normal
NVO,Novo Nordisk A/S,20131031,Novo shares fall 4.3 pct after Q3 result lags ,* Shares open down 4.3 percent after third quarter result misses forecasts.   (Reporting by Mette Fraende),normal
NVO,Novo Nordisk A/S,20131031,UPDATE 3-NORDIC STOCKS - Factors to watch on Oct 31 ,STOCKHOLM  Oct 31 The following stocks may be affected by newspaper reports and other factors on Thursday:,normal
NVO,Novo Nordisk A/S,20131031,UPDATE 1-Novo sees high single-digit 2014 growth  splits share ,COPENHAGEN  Oct 31 Danish drugmaker Novo Nordisk  forecast high single-digit percentage profit and sales growth next year after reporting a smaller than expected 1.7 percent year on year rise in operating profit in the third quarter.,normal
NVO,Novo Nordisk A/S,20131031,Novo Nordisk says to split its shares ,COPENHAGEN  Oct 31 Denmark's Novo Nordisk  said will split its B shares in a five-for-one ratio on the Copenhagen stock exchange as of January 9 next year.,normal
NVO,Novo Nordisk A/S,20131031,RPT-Novo forecasts high single-digit 2014 growth ,COPENHAGEN  Oct 31 Denmark's Novo Nordisk  forecast high-single digit profit growth next year after reporting a 1.6 percent rise in operating profit in the third quarter  aided by strong sales of diabetes drug Victoza and modern insulins.,normal
NVO,Novo Nordisk A/S,20131031,Novo forecasts high single-digit 2014 growth ,COPENHAGEN  Oct 31 Denmark's Novo Nordisk  forecast high-single digit profit growth next year after reporting a 1.6 percent rise in operating profit in the third quarter  aided by strong sales of diabetes drug Victoza and modern insulins.,normal
NVO,Novo Nordisk A/S,20131031,NORDIC STOCKS - Factors to watch on Oct 31 ,STOCKHOLM  Oct 31 The following stocks may be affected by newspaper reports and other factors on Thursday:,normal
ORCL,Oracle Corporation,20131031,Obamacare website gets new tech experts; oversight pressure grows ,WASHINGTON The Obama administration said it has brought in experts from top technology companies including Google Inc and Oracle Corp to fix the HealthCare.gov website  as Republicans press for details about the botched October 1 launch that prevented millions of Americans from signing up for new insurance plans.,topStory
ORCL,Oracle Corporation,20131031,UPDATE 1-Obamacare website gets new tech experts; oversight pressure grows ,WASHINGTON  Oct 31 The Obama administration said it has brought in experts from top technology companies including Google Inc and Oracle Corp to fix the HealthCare.gov website  as Republicans press for details about the botched Oct. 1 launch that prevented millions of Americans from signing up for new insurance plans.,normal
ORCL,Oracle Corporation,20131031,Oracle shareholders give Ellison's pay a thumbs down ,SAN FRANCISCO A majority of shareholders opposed Oracle Corp Chief Executive Larry Ellison's pay in a non-binding vote on Thursday following complaints that the world's third-richest man makes too much as his company struggles against smaller rivals.,normal
ORCL,Oracle Corporation,20131031,UPDATE 2-Oracle shareholders give Ellison's pay a thumbs down ,SAN FRANCISCO  Oct 31 A majority of shareholders opposed Oracle Corp Chief Executive Larry Ellison's pay in a non-binding vote on Thursday following complaints that the world's third-richest man makes too much as his company struggles against smaller rivals.,normal
ORCL,Oracle Corporation,20131031,UPDATE 1-Google  Oracle  Red Hat experts to help fix Obamacare website ,WASHINGTON  Oct 31 Experts from top technology and Internet companies including Google Inc  Oracle Corp and Red Hat Inc have joined the Obama administration's effort to fix its troubled HealthCare.gov website  a U.S. official said on Thursday.,normal
ORCL,Oracle Corporation,20131031,Google  Oracle and Red Hat to help with Obamacare website fix ,WASHINGTON  Oct 31 Experts from top technology and Internet companies including Google Inc  Oracle Corp and Red Hat Inc have joined the Obama administration's effort to fix its troubled HealthCare.gov website  a U.S. official said on Thursday.,normal
ORCL,Oracle Corporation,20131031,Oracle shareholders oppose executive pay at annual meeting ,SAN FRANCISCO  Oct 31 A majority of shareholders opposed Oracle Corp's executive compensation  including Chief Executive Larry Ellison's pay in a non-binding vote on Thursday.,normal
OSK,Oshkosh Corporation,20131031,UPDATE 1-Oshkosh forecasts profit below estimates as defense sales fall ,Oct 31 Oshkosh Corp  a maker of specialty trucks  forecast 2014 earnings well below analysts' estimates after sales at the company's defense business plunged due to U.S. government spending cuts.,topStory
PBF,PBF Energy Inc,20131031,UPDATE 1-PBF increasing crude rail shipments on higher U.S. oil prices ,* Company expanding offloading capability for railed crude,topStory
PBF,PBF Energy Inc,20131031,PBF Energy seeks partial waiver from RFS mandate for 2014 ,HOUSTON Independent U.S. refiner PBF Energy is seeking a partial waiver of the U.S. Renewable Fuel Standard (RFS) mandate for 2014  the company said on Thursday.,normal
PHI,PLDT Inc,20131031,Fitch Affirms Turkey's Leading Private Sector Banks and Subsidiaries; Upgrades TSKB ,(The following statement was released by the rating agency) LONDON  October 31 (Fitch) Fitch Ratings has affirmed Turkey's leading private  sector banks  namely Turkiye Is Bankasi A.S. (Isbank)  Turkiye Garanti Bankasi  A.S. (Garanti)  Akbank T.A.S. (Akbank) and Yapi ve Kredi Bankasi A.S. (YKB)   Long-term Issuer Default Ratings (IDRs) at 'BBB' with Stable Outlooks. The  banks' factoring  leasing and securities subsidiaries' ratings have also been  affirmed.   A change of rating rationale for Tu,topStory
RHT,Red Hat Inc,20131031,Obamacare website gets new tech experts; oversight pressure grows ,WASHINGTON The Obama administration said it has brought in experts from top technology companies including Google Inc and Oracle Corp to fix the HealthCare.gov website  as Republicans press for details about the botched October 1 launch that prevented millions of Americans from signing up for new insurance plans.,topStory
RHT,Red Hat Inc,20131031,UPDATE 1-Google  Oracle  Red Hat experts to help fix Obamacare website ,WASHINGTON  Oct 31 Experts from top technology and Internet companies including Google Inc  Oracle Corp and Red Hat Inc have joined the Obama administration's effort to fix its troubled HealthCare.gov website  a U.S. official said on Thursday.,normal
RHT,Red Hat Inc,20131031,Google  Oracle and Red Hat to help with Obamacare website fix ,WASHINGTON  Oct 31 Experts from top technology and Internet companies including Google Inc  Oracle Corp and Red Hat Inc have joined the Obama administration's effort to fix its troubled HealthCare.gov website  a U.S. official said on Thursday.,normal
RBS,Royal Bank Scotland plc (The),20131031,Future of state-backed UK lender RBS set to be cleared up ,LONDON The future of Royal Bank of Scotland  should become clearer on Friday  with Britain's finance ministry expected to reveal if it wants the state-backed lender to be broken up.,topStory
RBS,Royal Bank Scotland plc (The),20131031,UPDATE 1-Future of state-backed UK lender RBS set to be cleared up ,* Independent review to criticise bank's SME lending record,normal
RBS,Royal Bank Scotland plc (The),20131031,Future of state-backed UK lender RBS set to be cleared up ,LONDON The future of Royal Bank of Scotland  should become clearer on Friday  with Britain's finance ministry expected to reveal if it wants the state-backed lender to be broken up.,normal
RBS,Royal Bank Scotland plc (The),20131031,Future of state-backed UK lender RBS set to be cleared up ,* Independent review to criticise bank's SME lending record,normal
SNN,Smith & Nephew SNATS Inc,20131031,Smith & Nephew picks new chairman as wound care boosts sales ,LONDON British medical devices group Smith & Nephew  picked veteran industrialist Roberto Quarta as its new chairman on Thursday as it posted 5 percent higher quarterly sales  boosted by strong demand for wound care products.,topStory
SNN,Smith & Nephew SNATS Inc,20131031,UPDATE 1-Smith & Nephew picks new chairman as wound care boosts sales ,* Roberto Quarta replaces John Buchanan as non-exec chairman,normal
SNN,Smith & Nephew SNATS Inc,20131031,Smith & Nephew picks new chairman as wound care boosts sales ,LONDON  Oct 31 Strong sales of wound care products helped Smith & Nephew grow revenue by an underlying 5 percent in the third quarter  while sales of artificial hips and knees improved after recent slow growth.,normal
SNE,Sony Corp Ord,20131031,Sony slashes profit outlook with TV business back in red ,TOKYO Sony Corp cut its full-year profit targets after slipping to a quarterly net loss as its recovering TV operation relapsed into the red. | Video ,topStory
SNE,Sony Corp Ord,20131031,UPDATE 1-SoftBank eyes sales surge after Sprint  handset deals ,* CEO Son says handset supplier to bolster mobile business,normal
SNE,Sony Corp Ord,20131031,RPT-Sony posts quarterly loss  cuts outlook as TVs slip back into red ,TOKYO  Oct 31 Sony Corp cut its full-year profit targets and posted a net loss for the September quarter as its struggling TV operation fell back into the red  highlighting the difficulties it faces restoring its electronic hardware operation to profit.,normal
SNE,Sony Corp Ord,20131031,Sony posts quarterly loss  cuts outlook as TVs slip back into red ,TOKYO  Oct 31 Sony Corp cut its full-year profit targets and posted a net loss for the September quarter as its struggling TV operation fell back into the red  highlighting the difficulties it faces restoring its electronic hardware operation to profit.,normal
SNE,Sony Corp Ord,20131031,REFILE-TABLE-Sony -6-MTH group results (SEC) ,(Adds percent change figure (+1.6 pct) for year ago result sales) Oct 31 (Reuters)-            Sony Corp            CONSOLIDATED FINANCIAL HIGHLIGHTS                      6 months ended      6 months ended       Year to                    Sep 30  2013        Sep 30  2012     Mar 31  2014                       LATEST             YEAR-AGO          COMPANY                         RESULTS             RESULT          FORECAST      Sales             3.49 trln           3.12 trln        7.70 trln      ,normal
SNE,Sony Corp Ord,20131031,Nikkei retreats from 1-week high; Honda  Toshiba fall after earnings ,* Honda Motor down on disappointment it didn't upgrade earnings f'cast     * ANA hits two-month low after nearly halving guidance     * Sharp  Sony  SoftBank to report results after mkt close      By Dominic Lau     TOKYO  Oct 31 Japan's Nikkei share average pulled back from a one-week high on Thursday morning on earnings concerns  with blue-chips Toshiba Corp and Honda Motor Co Ltd coming under pressure after reporting quarterly results.     Honda lost 1.5 percent as investors were ,normal
SU,Suncor Energy  Inc,20131031,UPDATE 1-Suncor to ship 75 000 bpd on Gulf Coast line by end-'14 ,CALGARY  Alberta  Oct 31 Suncor Energy Inc  will ship 75 000 barrels per day of heavy Canadian crude to Texas refineries on TransCanada Corp's new Gulf Coast pipeline by the end of next year  the company said in an earnings call on Thursday.,topStory
SU,Suncor Energy  Inc,20131031,Suncor Energy to ship 75 000 bpd on Keystone South line by end 2014 ,CALGARY  Alberta  Oct 31 Suncor Energy Inc  expects to ship 75 000 barrels per day of heavy crude on TransCanada Corp's Keystone South pipeline to the Gulf Coast by the end of next year  vice president of investor relations Steve Douglas said on Thursday.,normal
SU,Suncor Energy  Inc,20131031,Suncor plans to start linefill on Keystone South in Q4 2013 -CEO ,CALGARY  Alberta  Oct 31 Suncor Energy Inc  expects to begin line fill on TransCanada Corp's  new Keystone South pipeline in the fourth quarter of 2013  Chief Executive Steve Williams said during a conference call on Thursday.,normal
SU,Suncor Energy  Inc,20131031,UPDATE 2-Suncor to go ahead with Fort Hills oil sand project  profit up ,VANCOUVER  Oct 30 Suncor Energy Inc  Canada's largest oil and gas company  said on Wednesday it was moving ahead with its Fort Hills oil sands project in Northern Alberta  with first production expected as soon as the fourth quarter of 2017.,normal
SU,Suncor Energy  Inc,20131031,Suncor profit up on record output  higher crude price ,Oct 30 Suncor Energy Inc  Canada's largest oil and gas company  reported a 10 percent boost in its third-quarter profit on Wednesday  lifted by record production and higher crude prices.,normal
SU,Suncor Energy  Inc,20131031,Suncor greenlights Fort Hills oil sand project ,VANCOUVER  Oct 30 Canada's Suncor Energy Inc  said on Wednesday that it is moving ahead with its C$13.5 billion ($12.9 billion) Fort Hills oil sands project in Northern Alberta  with first oil production expected as soon as the fourth quarter of 2017.,normal
TEO,Telecom Argentina Stet - France Telecom SA,20131031,UPDATE 1-Telecom Argentina's net profit jumps 41 pct on higher sales ,BUENOS AIRES  Oct 31 Telecom Argentina  one of Argentina's top telecommunications companies  posted a 41 percent jump in third-quarter net profit to 886 million pesos ($153 million) on higher sales  the company said on Thursday.,topStory
TEO,Telecom Argentina Stet - France Telecom SA,20131031,Telecom Argentina's net profit jumps 41 pct on higher sales ,BUENOS AIRES  Oct 31 Telecom Argentina SA   posted a 41 percent jump in third-quarter net profit to 886 million pesos ($153 million) on higher sales.,normal
TEVA,Teva Pharmaceutical Industries Limited,20131031,Teva Pharm third-quarter profit  revenue top estimates ,TEL AVIV Teva Pharmaceutical Industries  reported flat earnings that beat analysts' estimates by a cent on Thursday  a day after its chief executive was ousted by the board.,topStory
BX,The Blackstone Group LP,20131031,Blackstone's Hilton looks to launch IPO week of December 2: sources ,Hotel operator Hilton Worldwide Inc  owned by private equity firm Blackstone Group LP   is aiming to launch its initial public offering the week of December 2  two people familiar with the matter said on Thursday.,topStory
TRI,Thomson Reuters Corp,20131031,Speculators short the U.S. dollar -CFTC ,NEW YORK  Oct 31 Currency speculators went short or bet against the U.S. dollar for a second straight week  according to data from the Commodity Futures Trading Commission released on Wednesday and Reuters calculation.,topStory
TOT,Total SA,20131031,Total profit falls on thin European refining margin ,PARIS French oil company Total  reported a drop in profits due to narrow refining margins in Europe and a heftier exploration bill on Thursday  and decided not to match a dividend increase by rival BP .,topStory
TOT,Total SA,20131031,Suncor greenlights Fort Hills oil sand project ,VANCOUVER  Oct 30 Canada's Suncor Energy Inc  said on Wednesday that it is moving ahead with its C$13.5 billion ($12.9 billion) Fort Hills oil sands project in Northern Alberta  with first oil production expected as soon as the fourth quarter of 2017.,normal
TM,Toyota Motor Corp Ltd Ord,20131031,Toyota plans to launch large hybrid SUVs in 2016: Nikkei ,Toyota Motor Corp  plans to roll out hybrid versions of its large sport utility vehicles from 2016 to prepare for tougher environmental regulations  the Nikkei reported  quoting sources.,topStory
TM,Toyota Motor Corp Ltd Ord,20131031,U.S. October auto sales expected to show 12 percent rise ,DETROIT  Oct 31 U.S. auto sales to be reported on Friday are expected to be up 12 percent from a year ago as the federal government shutdown did not greatly impact consumer purchases.,normal
TM,Toyota Motor Corp Ltd Ord,20131031,Toyota plans to launch large hybrid SUVs in 2016 - Nikkei ,Nov 1Toyota Motor Corp plans to roll out hybrid versions of its large sport utility vehicles from 2016 to prepare for tougher environmental regulations  the Nikkei reported  quoting sources.,normal
TRP,TransCanada Corporation,20131031,UPDATE 1-Suncor to ship 75 000 bpd on Gulf Coast line by end-'14 ,CALGARY  Alberta  Oct 31 Suncor Energy Inc  will ship 75 000 barrels per day of heavy Canadian crude to Texas refineries on TransCanada Corp's new Gulf Coast pipeline by the end of next year  the company said in an earnings call on Thursday.,topStory
UMC,United Microelectronics Corporation,20131031,Taiwan stocks retreat on poor GDP data; UMC  AU  Hon Hai down ,TAIPEI  Oct 31 Taiwan stocks fell 0.3 percent on Thursday as market sentiment was hit after the island's export-driven economy posted lower-than-expected growth in the third quarter.      Tech exporters including UMC and AU Optronics  led the decline  falling 3 percent and 1.1 percent respectively. The world's No.3 contract chipmaker and the world's No.4 flat panel maker warned of a slowing fourth quarter.       At about one an half and hours into trade  the main TAIEX index had slip,topStory
