AGEN,Agenus Inc,20130905,UPDATE 3-GSK cancer vaccine disappoints in melanoma trial ,* MAGE-A3 vaccine fails to extend disease-free survival in trial,topStory
TI,Telecom Italia SPA,20130905,AT&T  America Movil  Sawiris sound out T.Italia investors -source ,MILAN  Sept 5 Egyptian tycoon Naguib Sawiris  AT&T and America Movil have approached the core Telecom Italia investors who want to exit their unprofitable investment in the Italian group  a source familiar with the situation said.,normal
TI,Telecom Italia SPA,20130905,Telecom Italia seeks new investor - sources ,MILAN  Sept 5 Telecom Italia's  Executive Chairman Franco Bernabe is looking for alternatives to the current shareholder structure and aims to present a solution to board members at a meeting on Sept. 19  two sources familiar with the situation said.,normal
TEF,Telefonica SA,20130905,Telecom Italia investor Fossati urges Telefonica to decide ,MILAN  Sept 5 Telecom Italia investor Marco Fossati urged Telefonica to decide what to do with its stake in the Italian company and said time was ripe to join a consolidation wave in the telecoms industry.,topStory
TKR,Timken Company (The),20130905,UPDATE 1-Timken to spin off steel business; shares rise ,* Group President Richard Kyle to become CEO of Timken post split,topStory
TKR,Timken Company (The),20130905,Timken to spin off steel business ,Sept 5 Timken Co said its board approved a plan to spin off the company's steel business from its bearings and power transmission business.,normal
TM,Toyota Motor Corp Ltd Ord,20130905,No new Scion models soon despite falling U.S. sales: Toyota executive ,DETROIT Scion  Toyota Motor Corp's  sagging youth-oriented brand  will not be rejuvenated by fresh models on its U.S. showroom floors anytime soon  a top U.S. Toyota executive said on Thursday.,topStory
TM,Toyota Motor Corp Ltd Ord,20130905,No new Scion models soon despite falling U.S. sales -Toyota exec ,DETROIT  Sept 5 Scion  Toyota Motor Corp's  sagging youth-oriented brand  will not be rejuvenated by fresh models on its U.S. showroom floors anytime soon  a top U.S. Toyota executive said on Thursday.,normal
UTX,United Technologies Corporation,20130905,Canada could scrap C$5 billion contract for Sikorsky helicopters ,OTTAWA  Sept 5 Canada could scrap a C$5 billion ($4.8 billion) deal to buy maritime helicopters from United Technologies Corp's Sikorsky unit  the government indicated on Thursday.,topStory
VZ,Verizon Communications Inc,20130905,Summer deals lift banks' hopes of M&A tipping point ,LONDON Verizon's deal to buy Vodafone out of their U.S. wireless venture for $130 billion may have been years in the making  but bankers hope it could be an inflexion point that marks the revival of big dealmaking.,topStory
VZ,Verizon Communications Inc,20130905,CORRECTED-Summer deals lift banks' hopes of M&A tipping point ,(Removes incorrect description of Smith & Nephew as private equity owned),normal
VZA,Verizon Communications Inc,20130905,Summer deals lift banks' hopes of M&A tipping point ,LONDON Verizon's deal to buy Vodafone out of their U.S. wireless venture for $130 billion may have been years in the making  but bankers hope it could be an inflexion point that marks the revival of big dealmaking.,topStory
VZA,Verizon Communications Inc,20130905,CORRECTED-Summer deals lift banks' hopes of M&A tipping point ,(Removes incorrect description of Smith & Nephew as private equity owned),normal
WMT,Wal-Mart Stores Inc,20130905,Wal-Mart and Washington D.C. in minimum wage showdown ,WASHINGTON District of Columbia Mayor Vincent Gray could decide as early as this week whether to sign a minimum wage bill that could discourage Wal-Mart Stores Inc   the world's biggest retailer  from opening stores in the U.S. capital.,topStory
WMT,Wal-Mart Stores Inc,20130905,Wal-Mart  District of Columbia in showdown over minimum wage ,WASHINGTON  Sept 5 District of Columbia Mayor Vincent Gray could decide as early as this week whether to sign a minimum wage bill that could discourage Wal-Mart Stores Inc   the world's biggest retailer  from opening stores in the U.S. capital.,normal
WCG,WellCare Health Plans Inc,20130905,BRIEF-Munich Re to sell Windsor Health to Wellcare Health ,FRANKFURT  Sept 5 munich re :  * To sell Windsor health group to wellcare health plans inc.  * Says sale of Windsor health not to have material impact on Munich re's,topStory
