AERI,Aerie Pharmaceuticals Inc,20131203,BRIEF-Aerie Pharmaceuticals: Needham starts with buy ,Dec 3 Dec 3 Aerie Pharmaceuticals Inc :  * Needham starts with buy rating and $18 price target For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
JPM,J P Morgan Chase & Co,20131203,UPDATE 1-Lawmaker Tyrie critical of JP Morgan fees on Co-op deal ,LONDON  Dec 3 British lawmaker Andrew Tyrie called for a review of fees paid to advisers on M&A deals after it emerged JP Morgan had a financial incentive for the Co-operative Bank's ill-fated 2009 takeover of Britannia to proceed.,normal
JPM,J P Morgan Chase & Co,20131203,JPMorgan received $11 million fees for advising Co-op on Britannia ,LONDON JP Morgan  received 7 million pounds ($11 million) in fees for advising the Co-operative Bank  on its takeover of the Britannia Building Society  one of its top executives told lawmakers on Tuesday.,normal
JPM,J P Morgan Chase & Co,20131203,JP Morgan received $11 mln fees for advising Co-op on Britannia ,LONDON  Dec 3 JP Morgan received 7 million pounds ($11 million) in fees for advising the Co-operative Bank on its takeover of the Britannia Building Society  one of its top executives told lawmakers on Tuesday.,normal
JCP,JC Penney Company Inc Holding Company,20131203,Penney November same-store sales rise 10.1 percent in second straight gain ,J.C. Penney Co Inc  said on Tuesday that comparable-store sales rose in November for the second straight month  as its aggressive discounts and the return of some in-house brands brought back shoppers at the start of the holiday quarter.,topStory
JCP,JC Penney Company Inc Holding Company,20131203,UPDATE 1-Penney November same-store sales rise 10.1 pct in 2nd straight gain ,Dec 3 J.C. Penney Co Inc said on Tuesday that comparable-store sales rose in November for the second straight month  as its aggressive discounts and the return of some in-house brands brought back shoppers at the start of the holiday quarter.,normal
JCP,JC Penney Company Inc Holding Company,20131203,BRIEF-J C Penney shares up 5.2 percent after the bell following holiday update ,NEW YORK  Dec 3 J C Penney Company Inc :  * Shares were up 5.2 percent after the bell following holiday update,normal
M,Macy&#39;s Inc,20131203,Shopper sues Macy's  says held in New York store jail cell ,NEW YORK A shopper is suing Macy's for $1 million over being handcuffed and thrown into a jail cell at the retail chain's flagship store in Manhattan two days after last year's Macy's Thanksgiving Day Parade.,topStory
M,Macy&#39;s Inc,20131203,Shopper sues Macy's  says held in New York store jail cell ,NEW YORK  Dec 2 A shopper is suing Macy's  for $1 million over being handcuffed and thrown into a jail cell at the retail chain's flagship store in Manhattan two days after last year's Macy's Thanksgiving Day Parade.,normal
MTL,Mechel PAO,20131203,Russia's Mechel agrees new terms on $1 bln loan ,* Grace period  maturity of loan extended until end 2014  2016,topStory
MTL,Mechel PAO,20131203,Russia may scrap nickel  copper export duty in 2014-paper ,MOSCOW  Dec 3 Russia may scrap a 5 percent export duty on nickel and copper in 2014  two years earlier than planned  to support indebted metals and mining companies struggling with weak prices  business daily Vedomosti reported on Tuesday.,normal
NVO,Novo Nordisk A/S,20131203,Novo holding firm on U.S. contract prices despite pressure ,COPENHAGEN The loss of a major U.S. contract earlier this year has so far not resulted in any larger customer exodus  world number one insulin maker Novo Nordisk said on Tuesday.,topStory
NVO,Novo Nordisk A/S,20131203,Novo confident of strong drug pipeline and future growth- CEO ,COPENHAGEN Denmark's Novo Nordisk has a stronger development pipeline of new drug candidates than it has ever had before  and thinks it can keep delivering the strong sales growth of the past decade  its chief executive said on Tuesday.,normal
NVO,Novo Nordisk A/S,20131203,UPDATE 1-Novo confident of strong drug pipeline and future growth- CEO ,COPENHAGEN  Dec 3 Denmark's Novo Nordisk  has a stronger development pipeline of new drug candidates than it has ever had before  and thinks it can keep delivering the strong sales growth of the past decade  its chief executive said on Tuesday.,normal
NVO,Novo Nordisk A/S,20131203,Novo Nordisk's pipeline stronger than ever - CEO ,COPENHAGEN  Dec 3 Denmark's Novo Nordisk   the world's biggest insulin producer  has a stronger pipeline of drug candidates than it has ever had before  its chief executive said on Tuesday.,normal
NVO,Novo Nordisk A/S,20131203,NORDIC STOCKS - Factors to watch on Dec 3 ,HELSINKI  Dec 3 The following stocks may be affected by newspaper reports and other factors on Tuesday:,normal
NVO,Novo Nordisk A/S,20131203,Novo Nordisk expectsto submit Liraglutide in U.S and EU soon ,COPENHAGEN  Dec 3 Denmark's Novo Nordisk  said it still expects to file its obesity drug candidate Liraglutide for regulatory review in the United States and the European Union around the turn of the year.,normal
ORAN,Orange,20131203,UPDATE 1-Iliad adds low-cost 4G in French mobile telecoms battle ,* Orange shares down 3.4 pct   (Adds analyst  shares  Orange),topStory
ORAN,Orange,20131203,Orange sticks to planned 4G price hike despite Iliad ,PARIS Orange said it will stick to an earlier plan to raise prices for its superfast 4G mobile offers in February despite low-cost rival Iliad's move on Tuesday to offer 4G speeds to customers without a price increase.,normal
ORAN,Orange,20131203,Orange sticks to planned 4G price hike despite Iliad ,PARIS  Dec 3 Orange said it will stick to an earlier plan to raise prices for its superfast 4G mobile offers in February despite low-cost rival Iliad's move on Tuesday to offer 4G speeds to customers without a price increase.,normal
PSO,Pearson Plc,20131203,Pearson buys Brazil's top English language school for $720 million ,LONDON British media and education group Pearson has agreed to buy Grupo Multi  the largest provider of adult English language training in Brazil  as it invests more in its global education business.,topStory
PSO,Pearson Plc,20131203,UPDATE 1-Pearson buys Brazil's top English language school for $720 mln ,* To pay $720 plus debt for Brazil's biggest English teacher,normal
PSO,Pearson Plc,20131203,Pearson buys Brazil's language training firm Grupo Multi ,LONDON  Dec 3 British media and education group Pearson has agreed to buy Grupo Multi  the largest provider of adult English language training in Brazil  to strengthen its presence in the fast-growing Latin American country  it said on Tuesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20131203,EMERGING MARKETS-Brazil stocks slip after GDP data  Petrobras rebounds ,* Brazil Bovespa falls 0.12 pct  Mexico IPC down 0.41 pct      SAO PAULO  Dec 3 Brazilian stocks fell on Tuesday following weaker than expected third-quarter economic growth data  with the Bovespa index supported by foreign demand for cheap shares of oil producer Petrobras.      Brazil's economy contracted in the third quarter for the first time since early 2009  data showed on Tuesday  falling short of expectations as plunging investment underscored crumbling confidence in Latin Ame,topStory
POT,Potash Corporation of Saskatchewan Inc,20131203,CANADA STOCKS-BMO dives  pulls TSX to five-week low ,* TSX falls 99.70 points  or 0.74 percent  to 13 319.87     * Seven of 10 main index sectors decline     * BMO slips 4.5 percent  weighs most on market     * Potash up after announcing job cuts      By John Tilak     TORONTO  Dec 3 Canada's main stock index fell on Tuesday to its lowest in more than five weeks after Bank of Montreal's quarterly results disappointed investors  spurring a selloff that spread to the shares of other major banks.     BMO  the country's No. 4 bank and the ,topStory
POT,Potash Corporation of Saskatchewan Inc,20131203,Agrium says not considering potash job cuts ,Dec 3 Canadian potash producer Agrium Inc  said on Tuesday that it is not planning job cuts at its Vanscoy  Saskatchewan  mine  even after larger fertilizer rival Potash Corp of Saskatchewan revealed plans to slash staff.,normal
POT,Potash Corporation of Saskatchewan Inc,20131203,CANADA STOCKS-TSX nears three-week low on BMO  Fed fears ,* TSX falls 41.81 points  or 0.31 percent  to 13 377.76     * Seven of 10 main index sectors decline     * BMO slips 3.6 percent  weighs most on market     * Potash up after announcing job cuts      By John Tilak     TORONTO  Dec 3 Canada's main stock index fell on Tuesday to its lowest in nearly three weeks as Bank of Montreal  dropped after the company's results and concerns about the U.S. Federal Reserve's bond buying program weighed on overall sentiment.     Shares of other major,normal
POT,Potash Corporation of Saskatchewan Inc,20131203,UPDATE 2-Potash Corp to cut workforce by 18 pct as prices slump ,Dec 3 Potash Corp of Saskatchewan Inc    the world's biggest fertilizer company  will slash its workforce by 18 percent as it struggles with slumping demand and weak prices for the crop nutrient.,normal
POT,Potash Corporation of Saskatchewan Inc,20131203,Potash Corp not planning to cut dividend  share buybacks -CEO ,Dec 3 Potash Corp of Saskatchewan   Chief Executive Bill Doyle said on Tuesday that the fertilizer company's dividend is "sacrosanct" and the company also sees no immediate change to its share buyback program.,normal
POT,Potash Corporation of Saskatchewan Inc,20131203,Potash Corp to cut more than 1 000 jobs ,Dec 3 Potash Corp of Saskatchewan Inc    the world's largest potash producer by capacity  said it would cut more than 1 000 jobs  or 18 percent of its workforce in Canada  the United States and Trinidad.,normal
RTN,Raytheon Company,20131203,Raytheon CEO sees $4 billion-$5 billion in Mideast orders in 'weeks' ,WASHINGTON Raytheon Co  is hoping to finalize orders valued at $4 billion to $5 billion from countries in the Middle East in a matter of weeks  Chief Executive William Swanson told an investor conference on Tuesday.,topStory
RTN,Raytheon Company,20131203,UPDATE 1-Raytheon CEO sees $4 bln-$5 bln in Mideast orders in 'weeks' ,WASHINGTON  Dec 3 Raytheon Co is hoping to finalize orders valued at $4 billion to $5 billion from countries in the Middle East in a matter of weeks  Chief Executive William Swanson told an investor conference on Tuesday.,normal
RTN,Raytheon Company,20131203,Raytheon CEO sees $4 bln-$5 bln in Mideast orders in 'weeks' ,WASHINGTON  Dec 3 Raytheon Co is hoping to finalize orders valued at $4 billion to $5 billion from countries in the Middle East in a matter of weeks  Chief Executive William Swanson told an investor conference on Tuesday.,normal
RIO,Rio Tinto Plc,20131203,METALS-Copper falls as growing supply outweighs data ,* Rio Tinto warns of continued pressure on aluminium prices  margins,topStory
RIO,Rio Tinto Plc,20131203,UPDATE 2-Rio Tinto to halve capital spending by 2015 in fragile market ,* Plans to cut capital spending 20 pct a year to $8 bln in 2015,normal
COL,Rockwell Collins Inc,20131203,Rockwell Collins sees 'pretty significant' odds to supply new 777X ,Rockwell Collins Inc   which makes cockpit systems for airplanes  on Tuesday said it sees "pretty significant" opportunities to supply systems on Boeing's newest commercial airliner  the 777X.,topStory
COL,Rockwell Collins Inc,20131203,Rockwell Collins sees 'pretty significant' odds to supply new 777X ,Dec 3 Rockwell Collins Inc  which makes cockpit systems for airplanes  on Tuesday said it sees "pretty significant" opportunities to supply systems on Boeing's newest commercial airliner  the 777X.,normal
RBS,Royal Bank Scotland plc (The),20131203,RBS admits decades of IT neglect after systems crash ,LONDON Royal Bank of Scotland has neglected its technology for decades  the state-backed bank's boss admitted on Tuesday after a system crash left more than 1 million customers unable to withdraw cash or pay for goods.,topStory
RBS,Royal Bank Scotland plc (The),20131203,UPDATE 3-RBS admits decades of IT neglect after systems crash ,* Cyber Monday systems crash hits more than 1 mln customers,normal
RBS,Royal Bank Scotland plc (The),20131203,RBS CEO: Bank has under-invested in systems for decades ,LONDON Royal Bank of Scotland's new boss admitted the state-backed bank had under-invested in its systems for decades and apologized for an "unacceptable" technology crash that affected more than 1 million customers on Monday.,normal
RBS,Royal Bank Scotland plc (The),20131203,RBS CEO: Bank has under-invested in systems for decades ,LONDON  Dec 3 Royal Bank of Scotland's  new boss admitted the state-backed bank had under-invested in its systems for decades and apologised for an "unacceptable" technology crash that affected more than 1 million customers on Monday.,normal
RBS,Royal Bank Scotland plc (The),20131203,RBS' services back on line after outage on Cyber Monday ,RBS said its customers were reporting that services were coming back on line after the bank's online and debit card payments failed Monday evening.,normal
SNY,Sanofi,20131203,UPDATE 1-New data backs promise of long-acting Sanofi insulin ,* Analysts see regulatory approval in U.S.  Europe next year   (Adds comment by analyst  share price),topStory
SNY,Sanofi,20131203,New data backs promise of long-acting Sanofi insulin ,PARIS  Dec 3 An improved version of Sanofi's SASY.PA diabetes drug Lantus is better than the old one at controlling blood sugar levels and comes with fewer hypoglycemic events  new late-stage trial data showed on Tuesday.,normal
SNY,Sanofi,20131203,New data backs promise of long-acting Sanofi insulin ,PARIS An improved version of Sanofi's diabetes drug Lantus is better than the old one at controlling blood sugar levels and comes with fewer hypoglycemic events  new late-stage trial data showed on Tuesday.,normal
SNY,Sanofi,20131203,New data backs promise of long-acting Sanofi insulin ,PARIS  Dec 3An improved version of Sanofi's  diabetes drug Lantus is better than the old one at controlling blood sugar levels and comes with fewer hypoglycemic events  new late-stage trial data showed on Tuesday.,normal
SLB,Schlumberger NV,20131203,Schlumberger sees 2 pct fourth-quarter profit hit from Iraq shutdown ,Dec 3 Schlumberger Ltd expects the temporary shutdown of its operations in southern Iraq last month in a "security incident" to reduce fourth-quarter profits about 2 percent  the oilfield services company on Tuesday.,topStory
SNE,Sony Corp Ord,20131203,Sony says PS4 global sales exceed 2.1 million units ,TOKYO Sony Corp said on Tuesday that global sales of its PlayStation 4 game console exceeded 2.1 million units as of December 1.,topStory
LUV,Southwest Airlines Company,20131203,UPDATE 1-U.S. FAA proposes fines against Southwest  Great Lakes ,Dec 2 The U.S. Federal Aviation Administration on Monday proposed fining Southwest Airlines Co  $325 000  saying the Dallas-based airline operated an aircraft with improper modifications.,topStory
TGT,Target Corporation,20131203,Analysis: Canada's cold shoulder to Target a cautionary tale ,TORONTO U.S. retailers looking north in their quest for growth should consider the frosty reception Canada has so far given trendy discounter Target Corp a cautionary tale: what looks like a simple border crossing can easily go wrong.,topStory
TRI,Thomson Reuters Corp,20131203,Drug companies still struggling to improve R&D returns ,* Average new drug cost $1.3 bln - Deloitte  Thomson Reuters,topStory
TM,Toyota Motor Corp Ltd Ord,20131203,TABLE- Top-20 selling vehicles in U.S. in November ,Dec 3 The following are the 20 top-selling vehicles in the U.S. in November as reported by the automakers and ranked by total units.       Top 20 selling vehicles in U.S. in November       RANK    VEHICLE                     NOVEMBER   LAST YR   PCT CHNG  1       Ford F-Series P/U             65 501    56 299      +16.3  2       Chevy Silverado-C/K P/U       34 386    30 674      +12.1  3       Toyota Camry                  30 386    28 765       +5.6  4       Ram P/U                ,topStory
TM,Toyota Motor Corp Ltd Ord,20131203,CORRECTED-China car lobby opposes rule change on foreign ownership ,(Corrects full names of Ford and Toyota in seventh paragraph  fixes typo in penultimate paragraph and drops extraneous word in final paragraph),normal
TM,Toyota Motor Corp Ltd Ord,20131203,Hyundai Motor feels heat from Japanese rivals in China ,SEOUL Hyundai Motor Co  could be one of the biggest losers from surging sales of Japanese cars in China as the South Korean automaker's problems spread from the United States to the world's largest auto market.,normal
TM,Toyota Motor Corp Ltd Ord,20131203,UPDATE 2-Hyundai Motor feels heat from Japanese rivals in China ,* Yen tumbles to more than 6-month-low against the dollar   (Recasts  adds company comments  China sales),normal
TWTR,Twitter Inc,20131203,UPDATE 1-Apple buys startup Topsy; gets rich Twitter data ,SAN FRANCISCO  Dec 2 Apple Inc has acquired social media search and analytics startup Topsy  an unusual purchase for a hardware-focused company that has made few forays into social networking.,topStory
UNH,UnitedHealth Group Incorporated,20131203,UnitedHealth says health reform to cost up to $1 per share in 2014 ,UnitedHealth Group Inc  said on Tuesday that it expects U.S. healthcare reform to have a net drag on earnings of 90 cents to $1 per share in 2014 due to changes in the individual and Medicare businesses as well as new taxes and fees.,topStory
UNH,UnitedHealth Group Incorporated,20131203,UnitedHealth says health reform to cost up to $1 per share in 2014 ,Dec 3 UnitedHealth Group Inc said on Tuesday that it expects U.S. healthcare reform to have a net drag on earnings of 90 cents to $1 per share in 2014 due to changes in the individual and Medicare businesses as well as new taxes and fees.,normal
V,Visa Inc,20131203,BRIEF-Visa shares down 2 pct in premarket trading ,NEW YORK  Dec 3 Visa Inc :  * Shares down 2 percent in premarket trading,topStory
WTI,W&T Offshore Inc,20131203,W&T ban from bidding for oil could last 3 years  EPA says ,Dec 3 Oil and natural gas producer W&T Offshore Inc's ban from bidding on federal government contracts in the Gulf of Mexico could last up to three years  the U.S. Environmental Protection Agency said on Tuesday.,topStory
WMT,Wal-Mart Stores Inc,20131203,China's Tencent brand valued at $34 bln  close to Wal-Mart ,BEIJING  Dec 3 Internet services company Tencent Holdings Ltd has grown so rapidly it's now China's most valuable listed technology brand  with a value even closing in on that of Wal-Mart Stores Inc  a report published on Tuesday shows.,topStory
WFC,Wells Fargo & Company,20131203,Wells Fargo: U.S. targeting exec as defendant may be retaliation ,NEW YORK  Dec 2 Wells Fargo & Co said Monday that a U.S. government request to add one of its executives as a defendant in a fraud case may be in retaliation for the bank's decision to cut off settlement talks.,topStory
YUM,Yum! Brands Inc,20131203,US STOCKS-Dow  S&P fall for 3rd straight day; retail weighs ,* Automakers' shares fall after November sales  but Tesla soars,topStory
YUM,Yum! Brands Inc,20131203,US STOCKS-Wall St declines for third day  led by consumer stocks ,* Tesla's stock jumps after Morgan Stanley names it a top pick,normal
YUM,Yum! Brands Inc,20131203,US STOCKS-Wall St falls on Fed concern after 8-week run higher ,* Yum Brands' November China sales flat  sending shares down,normal
YUM,Yum! Brands Inc,20131203,US STOCKS-Wall St opens lower on Fed worry after 8-week run up ,* Indexes down: Dow 0.42 pct  S&P 0.31 pct  Nasdaq 0.19 pct,normal
YUM,Yum! Brands Inc,20131203,US STOCKS-Wall St to open lower on Fed taper jitters ,NEW YORK  Dec 3 U.S. stocks were poised for a lower open on Tuesday  indicating the S&P 500 may fall for a third consecutive session  on concerns the Federal Reserve may begin to reduce its stimulus earlier than some had anticipated.,normal
YUM,Yum! Brands Inc,20131203,US STOCKS-Futures decline on Fed taper timing concerns ,NEW YORK  Dec 3 U.S. stock index futures fell on Tuesday  indicating the S&P 500 may fall for a third consecutive day on concerns a reduction in stimulus by the Federal Reserve may be on the horizon earlier than some had anticipated.,normal
YUM,Yum! Brands Inc,20131203,US STOCKS-Futures decline on Fed taper worry ,NEW YORK  Dec 3 U.S. stock index futures fell on Tuesday  indicating the S&P 500 may fall for a third consecutive day on concerns a scale-back in stimulus by the Federal Reserve may be on the horizon.,normal
