AMZN,Amazoncom Inc,20130903,Bezos offers clues to Washington Post: patience  experimentation ,Sept 3 Jeff Bezos  the founder of Amazon  who shocked media watchers when he agreed to buy The Washington Post  told the struggling newspaper he will guide it using the same approach that successfully shaped his e-commerce site and turned it into the world's largest online retailer.,topStory
HSEA,HSBC Holdings plc,20130903,UPDATE 3-Bank of America selling remaining stake in Chinese bank ,* Other U.S. banks also retreating from China investments,normal
HSEB,HSBC Holdings plc,20130903,New Issue-HSBC Holding prices 1.5 bln euro 2024 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 241.8bp,topStory
HSEB,HSBC Holdings plc,20130903,UPDATE 3-Bank of America selling remaining stake in Chinese bank ,* Other U.S. banks also retreating from China investments,normal
JCP,JC Penney Company Inc Holding Company,20130903,Hayman Capital takes 5.2 percent stake in J.C. Penney ,NEW YORK Two hedge fund managers revealed sizable stakes in J.C. Penney Co Inc  on Tuesday after Bill Ackman's Pershing Square Capital Management sold all its shares in the struggling retailer.,topStory
JCP,JC Penney Company Inc Holding Company,20130903,UPDATE 1-Hayman Capital takes 5.2 pct stake in J.C. Penney ,NEW YORK  Sept 3 Two hedge fund managers revealed sizable stakes in J.C. Penney Co Inc on Tuesday after Bill Ackman's Pershing Square Capital Management sold all its shares in the struggling retailer.,normal
JCP,JC Penney Company Inc Holding Company,20130903,Glenview Capital increases stake in J.C. Penney to 9.1 pct -filing ,NEW YORK  Sept 3 Hedge fund Glenview Capital Management reported in a regulatory filing Tuesday that it had more than doubled its stake in retailer J.C. Penney Co Inc.  to 9.1 percent.,normal
JCP,JC Penney Company Inc Holding Company,20130903,Hayman Capital takes 5.2 percent stake in J.C. Penney ,NEW YORK Kyle Bass is the latest hedge fund manager to take a big stake in struggling retailer J.C. Penney Co Inc  now that Bill Ackman's Pershing Square Capital Management has sold all its shares in the company.,normal
JCP,JC Penney Company Inc Holding Company,20130903,Hayman Capital takes 5.2 pct stake in J.C. Penney ,NEW YORK  Sept 3 Kyle Bass is the latest hedge fund manager to take a big stake in struggling retailer J.C. Penney Co Inc now that Bill Ackman's Pershing Square Capital Management has sold all its shares in the company.,normal
LMT,Lockheed Martin Corporation,20130903,Lockheed plans to double jetliner simulator business ,WASHINGTON Lockheed Martin Corp  plans to double its sales of flight simulators and services for commercial jetliner pilot training to about $220 million a year in three to five years  a senior official said on Tuesday.,topStory
LMT,Lockheed Martin Corporation,20130903,Lockheed braces for program cuts  delays due to U.S. budget woes ,WASHINGTON Lockheed Martin Corp  is bracing for cuts and delays next year in major weapons programs  including a new coastal warship it builds for the U.S. Navy  unless Congress acts to reverse mandatory reductions in U.S. military spending  a top company official said Tuesday.,normal
LMT,Lockheed Martin Corporation,20130903,REUTERS SUMMIT-Lockheed braces for program cuts  delays due to U.S. budget woes ,(For other news from Reuters Aerospace and Defense Summit  click on  http://www.reuters.com/summit/Aero13)  (Adds Navy  Pentagon statements  byline),normal
MS,Morgan Stanley,20130903,Morgan Stanley must pay ex-trader $8 million in flap over firing: panel ,Two Morgan Stanley units must pay $8 million to a former energy trader  who said the firms improperly terminated him for cause  after he declined to meet with New York law enforcement authorities during an investigation  arbitrators ruled.,topStory
MS,Morgan Stanley,20130903,Ellie Mae taps Morgan Stanley to oversee sale: sources ,NEW YORK Mortgage software company Ellie Mae  has hired Morgan Stanley  to try to sell the company  two sources familiar with the deal told Reuters on Tuesday.,normal
MS,Morgan Stanley,20130903,Ellie Mae taps Morgan Stanley to oversee sale -sources ,NEW YORK  Sept 3 Mortgage software company Ellie Mae has hired Morgan Stanley to try to sell the company  two sources familiar with the deal told Reuters on Tuesday.,normal
MS,Morgan Stanley,20130903,ON THE MOVE-Wells Fargo hires advisers from UBS  Morgan Stanley ,Sept 3 Wells Fargo & Co's U.S. brokerage has expanded its private client group with veteran advisers from rival firms Morgan Stanley Wealth Management and UBS Wealth Management Americas.,normal
NVO,Novo Nordisk A/S,20130903,Novo could see U.S. sales hurt after losing two contracts ,COPENHAGEN Danish drugmaker Novo Nordisk A/S has lost two contracts to supply a U.S. pharmacy group with its insulin and diabetes treatments  taking a bite out of expected earnings.,topStory
NVO,Novo Nordisk A/S,20130903,UPDATE 1-Novo could see U.S. sales hurt after losing two contracts ,(Adds dateline  rewrites first paragraph  adds analyst comment  updates shares),normal
ORCL,Oracle Corporation,20130903,Oracle hit with major penalties in America's Cup cheating scandal ,San Francisco Software mogul Larry Ellison's Oracle Team USA suffered a major setback in its effort to retain the America's Cup when an international jury on Tuesday docked the team two points and kicked three sailors and one shore crew member out of the event.,topStory
PTR,PetroChina Company Limited,20130903,PetroChina supplier Wison says chairman 'assisting probe' ,HONG KONG/BEIJING The chairman of a Chinese oil engineering firm is helping the authorities with an unspecified investigation  the company said on Tuesday  amid a widening corruption probe into PetroChina    one of its major customers.,topStory
PTR,PetroChina Company Limited,20130903,UPDATE 3-PetroChina supplier Wison says chairman 'assisting probe' ,HONG KONG/BEIJING  Sept 3 The chairman of a Chinese oil engineering firm is helping the authorities with an unspecified investigation  the company said on Tuesday  amid a widening corruption probe into PetroChina   one of its major customers.,normal
PTR,PetroChina Company Limited,20130903,RPT-UPDATE 1-PetroChina supplier Wison says chairman 'assisting probe' ,HONG KONG  Sept 3 China oil construction company Wison Engineering Services Co Ltd said its chairman and controlling shareholder Hua Bangsong "is assisting relevant authorities" in China who are conducting an investigation after sharp falls in Wison's share price.,normal
PF,Pinnacle Foods Inc,20130903,BRIEF-Coms Plc says considering offer for Pinnacle Technology ,Sept 3 Coms PLC :  * Statement re possible offer  * Confirms that it is considering a possible corporate transaction with,topStory
PG,Procter & Gamble Company (The),20130903,Expert networks: thriving in Asia  away from U.S. scrutiny ,SINGAPORE/HONG KONG Expert networks - a matchmaking service linking investors such as hedge funds with company insiders - are under scrutiny from regulators in the United States  but are expanding across Asia  where the market for corporate intelligence is less transparent.,topStory
RNR,RenaissanceRe Holdings Ltd,20130903,Deals of the day -- mergers and acquisitions ,Sept 3 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Tuesday:,topStory
RNR,RenaissanceRe Holdings Ltd,20130903,Munich Re buys weather-and-energy risk specialist ,FRANKFURT  Sept 3 German reinsurer Munich Re  said it had agreed to buy a business that helps manage weather risks for the energy sector from reinsurer RenaissanceRe.,normal
TI,Telecom Italia SPA,20130903,RPT-UPDATE 2-Telecom Italia's core owners seek to sell-sources ,MILAN  Sept 3 Core investors in Telecom Italia  are seeking to sell their stakes  people familiar with the situation said  a move that could leave the country's largest telecom operator open to a takeover bid.,topStory
TI,Telecom Italia SPA,20130903,Telecom Italia's core owners seek to sell: sources ,MILAN Core investors in Telecom Italia  are seeking to sell their stakes  people familiar with the situation said  a move that could leave the country's largest telecom operator open to a takeover bid.,normal
TI,Telecom Italia SPA,20130903,Italian shareholders seek buyer for Telecom Italia stakes ,MILAN Core Italian shareholders in Telecom Italia  led by Mediobanca  are seeking a buyer for their stakes in the Telco holding that controls the debt-laden telecoms company by September 28  people familiar with the situation said on Tuesday.,normal
TI,Telecom Italia SPA,20130903,Italian shareholders seek buyer for Telecom Italia stakes ,MILAN  Sept 3 Core Italian shareholders in Telecom Italia  led by Mediobanca  are seeking a buyer for their stakes in the Telco holding that controls the debt-laden telecoms company by Sept. 28  people familiar with the situation said on Tuesday.,normal
BX,The Blackstone Group LP,20130903,Blackstone raises $5 billion for second rescue lending fund ,NEW YORK Blackstone Group LP  said on Tuesday it had raised $5 billion from investors for its second rescue lending fund  underscoring how alternative asset managers are looking to displace banks in providing financing to companies in distress.,topStory
BX,The Blackstone Group LP,20130903,Blackstone raises $5 billion for second rescue lending fund ,NEW YORK  Sept 3 Blackstone Group LP said on Tuesday it had raised $5 billion from investors for its second rescue lending fund  underscoring how alternative asset managers are looking to displace banks in providing financing to companies in distress.,normal
TKC,Turkcell Iletisim Hizmetleri AS,20130903,Turkish regulator to appoint two Turkcell board members in 1-2 weeks ,ISTANBUL  Sept 3 Turkey's Capital Markets Board (SPK) will appoint two members to the management board of the country's leading mobile phone company Turkcell in one to two weeks  SPK chairman Vahdettin Ertas told reporters on Tuesday.,topStory
VZ,Verizon Communications Inc,20130903,UPDATE 2-Verizon to roadshow potential record bond issue next week ,NEW YORK/LONDON  Sept 3 (IFR/LPC) - Verizon Communications could steal the record from Apple  for the biggest bond issue ever to hit the global markets in coming weeks  as it begins the process of raising US$50bn of bonds to pay for part of the US$130bn price take on the 45% stake in Verizon Wireless that it is buying from Vodafone.,topStory
VZ,Verizon Communications Inc,20130903,US STOCKS-Wall St up modestly as early rally fizzles ,* Obama to seek congressional authorization for Syria action,normal
VZ,Verizon Communications Inc,20130903,Verizon eyes overseas assets  spectrum  paying down debt ,Verizon Communications Inc said on Tuesday that it could expand internationally or buy more spectrum in coming years even while it pays down debt from its $130 billion purchase of Vodafone Group Plc's 45 percent stake in Verizon Wireless. | Video ,normal
VZ,Verizon Communications Inc,20130903,UPDATE 2-Verizon eyes overseas assets  spectrum  paying down debt ,* Dividend payments still a priority for Verizon     * Executives see Verizon regaining its credit rating in 4-5 years     * Analysts had hoped for higher profit boost from a Verizon Wireless deal     * Shares fall after Verizon Wireless deal       Sept 3    Verizon Communications Inc said on Tuesday that it could expand internationally or buy more spectrum in coming years even while it pays down debt from its $130 billion purchase of Vodafone Group Plc's  45 percent stake in Verizon,normal
VZ,Verizon Communications Inc,20130903,US STOCKS-Wall St trims gains as support mounts for U.S. action against Syria ,* Obama to seek congressional authorization for Syria action,normal
VZ,Verizon Communications Inc,20130903,CANADA STOCKS-Telecoms surge helps drive TSX to three-month high ,* TSX rises 117.35 points  or 0.93 percent  to 12 771.25     * Eight of 10 main index sectors advance     * Telecoms shares have biggest positive influence on market      By John Tilak     TORONTO  Sept 3 Canada's main stock index hit its highest in three months on Tuesday after positive data suggested a global economic recovery was taking hold and news of Verizon Communications Inc not entering Canada pushed up telecoms shares.      Verizon's chief executive said in an interview the,normal
VZ,Verizon Communications Inc,20130903,Vodafone pummels UK FTSE on payout disappointment ,* Vodafone falls as terms of joint venture sale fuel profit taking,normal
VZ,Verizon Communications Inc,20130903,Canada says wireless spectrum auction to go ahead as planned ,OTTAWA  Sept 3 Canada will go ahead with a planned auction of wireless spectrum despite Verizon Communications Inc's lack of interest in entering the Canadian market  a government official said on Tuesday.,normal
VZ,Verizon Communications Inc,20130903,RLPC: Verizon details pricing on $61B bridge loan ,NEW YORK  Sept 3 Pricing details have emerged on the $61 billion  364-day bridge loan backing Verizon Communications Inc's $130 billion acquisition of the 45 percent stake in Verizon Wireless that it does not already own from Vodafone Group Plc  according to a filing.,normal
VZ,Verizon Communications Inc,20130903,US STOCKS-Futures imply steep gains; potential Syria action delayed ,* Obama to seek congressional authorization for Syria action,normal
VZA,Verizon Communications Inc,20130903,UPDATE 2-Verizon to roadshow potential record bond issue next week ,NEW YORK/LONDON  Sept 3 (IFR/LPC) - Verizon Communications could steal the record from Apple  for the biggest bond issue ever to hit the global markets in coming weeks  as it begins the process of raising US$50bn of bonds to pay for part of the US$130bn price take on the 45% stake in Verizon Wireless that it is buying from Vodafone.,topStory
VZA,Verizon Communications Inc,20130903,US STOCKS-Wall St up modestly as early rally fizzles ,* Obama to seek congressional authorization for Syria action,normal
VZA,Verizon Communications Inc,20130903,Verizon eyes overseas assets  spectrum  paying down debt ,Verizon Communications Inc said on Tuesday that it could expand internationally or buy more spectrum in coming years even while it pays down debt from its $130 billion purchase of Vodafone Group Plc's 45 percent stake in Verizon Wireless. | Video ,normal
VZA,Verizon Communications Inc,20130903,UPDATE 2-Verizon eyes overseas assets  spectrum  paying down debt ,* Dividend payments still a priority for Verizon     * Executives see Verizon regaining its credit rating in 4-5 years     * Analysts had hoped for higher profit boost from a Verizon Wireless deal     * Shares fall after Verizon Wireless deal       Sept 3    Verizon Communications Inc said on Tuesday that it could expand internationally or buy more spectrum in coming years even while it pays down debt from its $130 billion purchase of Vodafone Group Plc's  45 percent stake in Verizon,normal
VZA,Verizon Communications Inc,20130903,US STOCKS-Wall St trims gains as support mounts for U.S. action against Syria ,* Obama to seek congressional authorization for Syria action,normal
VZA,Verizon Communications Inc,20130903,CANADA STOCKS-Telecoms surge helps drive TSX to three-month high ,* TSX rises 117.35 points  or 0.93 percent  to 12 771.25     * Eight of 10 main index sectors advance     * Telecoms shares have biggest positive influence on market      By John Tilak     TORONTO  Sept 3 Canada's main stock index hit its highest in three months on Tuesday after positive data suggested a global economic recovery was taking hold and news of Verizon Communications Inc not entering Canada pushed up telecoms shares.      Verizon's chief executive said in an interview the,normal
VZA,Verizon Communications Inc,20130903,Vodafone pummels UK FTSE on payout disappointment ,* Vodafone falls as terms of joint venture sale fuel profit taking,normal
VZA,Verizon Communications Inc,20130903,Canada says wireless spectrum auction to go ahead as planned ,OTTAWA  Sept 3 Canada will go ahead with a planned auction of wireless spectrum despite Verizon Communications Inc's lack of interest in entering the Canadian market  a government official said on Tuesday.,normal
VZA,Verizon Communications Inc,20130903,RLPC: Verizon details pricing on $61B bridge loan ,NEW YORK  Sept 3 Pricing details have emerged on the $61 billion  364-day bridge loan backing Verizon Communications Inc's $130 billion acquisition of the 45 percent stake in Verizon Wireless that it does not already own from Vodafone Group Plc  according to a filing.,normal
VZA,Verizon Communications Inc,20130903,US STOCKS-Futures imply steep gains; potential Syria action delayed ,* Obama to seek congressional authorization for Syria action,normal
WFC,Wells Fargo & Company,20130903,Wells Fargo hires advisers from UBS  Morgan Stanley ,Wells Fargo & Co's  U.S. brokerage has expanded its private client group with veteran advisers from rival firms Morgan Stanley Wealth Management and UBS Wealth Management Americas.,topStory
WFC,Wells Fargo & Company,20130903,COLUMN-Use convertibles to straddle stock and bond markets ,CHICAGO  Sept 3 As bonds that can be converted into stocks  convertibles are securities that long-term investors can learn to love.,normal
