AMCN,AirMedia Group Inc,20131119,BRIEF-AirMedia sees Q4 2013 revenue $76 million to $79 million ,Nov 19 Airmedia Group Inc :  * Announces unaudited third quarter 2013 financial results  * Q3 revenue fell 5.6 percent to $69 million  * Sees Q4 2013 revenue $76 million to $79 million  * Sees Q4 2013 revenue down 4.4 to 8 percent  * Q3 net loss per ads $0.06  * Source text for Eikon   * Further company coverage,topStory
VVUS,VIVUS Inc,20131119,RESEARCH ALERT-Vivus: Roth cuts target price ,Nov 19 VIVUS Inc :  * Roth cuts target price to $12 from $14; rating neutral For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
VOD,Vodafone Group Plc,20131119,Newcomers miss out in Czech 4G mobile license auction ,PRAGUE The three existing Czech mobile operators  Telefonica Czech Republic  T-Mobile and Vodafone  won an auction of radio spectrum for 4G high-speed mobile data networks  the telecoms regulator said on Tuesday.,topStory
VOD,Vodafone Group Plc,20131119,UPDATE 2-Newcomers miss out in Czech 4G mobile licence auction ,* CTU regulator had wanted to boost competition in market,normal
ANF,Abercrombie & Fitch Company,20131119,Urban Outfitters warns of margin pressure in holiday season ,Teen apparel retailer Urban Outfitters Inc  joined rival Abercrombie & Fitch Co  in warning of a squeeze on current-quarter margins as a tough holiday season could force it to discount more.,topStory
ABM,ABM Industries Incorporated,20131119,RESEARCH ALERT-ABM Industries  Cintas: Piper Jaffray starts with neutral ,Nov 19   * ABM Industries  Cintas Corp : Piper Jaffray starts with neutral For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
ALG,Alamo Group Inc,20131119,BRIEF-ALAMO to acquire Bandit Industries ,Nov 19 Alamo Group Inc :  * To acquire Bandit Industries  * Alamo Group and Bandit have received approval for the acquisition under the,topStory
LNT,Alliant Energy Corporation,20131119,BRIEF-Alliant Energy accepts proposed IUB order to construct Marshalltown power plant ,Nov 19 Alliant Energy Corp :  * Accepts proposed IUB order to construct Marshalltown power plant  * Iowa utility filed notice accepting proposed decision order for Marshalltown,topStory
APO,Apollo Global Management LLC,20131119,BRIEF-Roark Capital Group to buy CKE Restaurants from Apollo Global Management ,Nov 19 CKE Inc:   * CKE Inc says terms of the transaction were not disclosed   * Roark Capital Group to acquire CKE Restaurants from Apollo Global,topStory
AHT,Ashford Hospitality Trust Inc,20131119,BRIEF-Ashford Prime to begin trading on New York Stock Exchange as independent company ,Nov 19 Ashford Hospitality Trust Inc :  * Prime to begin trading on New York Stock Exchange as independent company  * Source text for Eikon   * Further company coverage,topStory
AZN,Astrazeneca PLC,20131119,Horizon Pharma to buy U.S. rights to AstraZeneca's arthritis drug ,Horizon Pharma Inc said it would buy the right to market AstraZeneca Plc's arthritis drug Vimovo in the United States for an upfront payment of $35 million  sending up its shares 24 percent in premarket trading.,topStory
AZN,Astrazeneca PLC,20131119,BRIEF-Horizon Pharma agrees to buy U.S. rights to AstraZeneca drug Vimovo ,Nov 19 Horizon Pharma Inc :  * Announces agreement to acquire U.S. rights to Vimovo(R) and provides 2014,normal
AZN,Astrazeneca PLC,20131119,BRIEF-AstraZeneca to pay Nektar $70 mln as FDA accepts constipation drug application ,Nov 19 AstraZeneca PLC :  * New drug application for Naloxegol accepted by U.S. FDA  * Will make a $70 million milestone payment to Nektar  within five business days of acceptance of the NDA by the FDA * Source text for Eikon:  * For more news  please click here,normal
AVP,Avon Products Inc,20131119,RESEARCH ALERT-Coty  Avon Products: Credit Suisse starts with neutral - Theflyonthewall.com ,Nov 19 :  * Coty  Avon Products : Credit Suisse starts with neutral -,topStory
BBD,Banco Bradesco Sa,20131119,Brazil state bank pullback may help private lenders -Bradesco ,NEW YORK  Nov 19 Brazil private-sector lenders could take up some of the slack resulting from a drop in corporate loan disbursements by state-run rivals next year as long as the decline is gradual and not too drastic  a senior vice president at Banco Bradesco SA said on Tuesday.,topStory
BBDO,Banco Bradesco Sa,20131119,Brazil state bank pullback may help private lenders -Bradesco ,NEW YORK  Nov 19 Brazil private-sector lenders could take up some of the slack resulting from a drop in corporate loan disbursements by state-run rivals next year as long as the decline is gradual and not too drastic  a senior vice president at Banco Bradesco SA said on Tuesday.,topStory
BAC,Bank of America Corporation,20131119,Detroit could pay higher loan rate  unsealed letter shows ,Nov 18 Detroit could end up paying almost twice as much in interest as previously disclosed on a $350 million loan arranged by Barclays Capital  according to a fee letter made public on Monday after a judge ordered it unsealed last week.,normal
BCS,Barclays PLC,20131119,MOVES- Aviva  Blackstone  Barclays  Hiscox  Hartford Funds ,Nov 19 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
BCS,Barclays PLC,20131119,Exclusive: Barclays weighs index unit sale after MSCI approach - sources ,NEW YORK Barclays Plc  is exploring options for its index business after equity index provider MSCI Inc  approached the British bank recently about buying the unit  according to several people familiar with the situation.,normal
BCS,Barclays PLC,20131119,Fitch Assigns Barclays plc's Perpetual Contingent Convertible Notes 'BB+' Final Rating ,(The following statement was released by the rating agency) LONDON/MILAN  November 19 (Fitch) Fitch Ratings has assigned Barclays plc's  (A/Stable/F1/a) USD2bn 8.25% fixed rate resetting perpetual subordinated  contingent convertible securities (CCS) a 'BB+' final rating. The rating is in  line with the expected rating assigned on 4 November 2013. KEY RATING DRIVERS The CCS are additional Tier 1 (AT1) instruments with fully discretionary  interest payments and are subject to conversion into Barc,normal
BCS,Barclays PLC,20131119,RESEARCH ALERT-Barclays: Jefferies cuts target price ,Nov 19 Barclays PLC :  * Jefferies cuts target price to 364p from 367p; rating buy For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,normal
BBY,Best Buy Co Inc,20131119,US STOCKS-Dow  S&P retreat for second day; Best Buy weighs ,* Best Buy  Campbell Soup shares plunge after cautious outlook,topStory
BBY,Best Buy Co Inc,20131119,US STOCKS SNAPSHOT-Wall St ends lower  but Home Depot helps Dow ,NEW YORK  Nov 19 U.S. stocks fell on Tuesday  with the Dow and the S&P 500 retreating from milestone levels  led by a slide in Best Buy after a disappointing outlook.,normal
BBY,Best Buy Co Inc,20131119,US STOCKS-Wall St inches lower; Dow slips after hitting 16 000 ,* Home Depot shares rise as housing recovery boosts results,normal
BBY,Best Buy Co Inc,20131119,Best Buy cuts prices  warns on holiday-quarter margins ,Best Buy Co  is cutting prices for the holiday season to thwart fierce competition from Wal-Mart and other discount and online rivals  a move that it warns will hurt margins for the current quarter.,normal
BBY,Best Buy Co Inc,20131119,UPDATE 3-Best Buy cuts prices  warns on holiday-quarter margins ,Nov 19 Best Buy Co is cutting prices for the holiday season to thwart fierce competition from Wal-Mart and other discount and online rivals  a move that it warns will hurt margins for the current quarter.,normal
BBY,Best Buy Co Inc,20131119,US STOCKS-Dow pops back up above 16 000; Home Depot up on results ,* Home Depot shares rise as housing recovery boosts results,normal
BBY,Best Buy Co Inc,20131119,US STOCKS-Wall Street drifts amid few market catalysts ,* Home Depot shares rise as housing recovery boosts results,normal
BBY,Best Buy Co Inc,20131119,US STOCKS-Wall St to open flat amid few market catalysts ,* Home Depot shares rise as housing recovery boosts results,normal
BBY,Best Buy Co Inc,20131119,US STOCKS-Futures little changed amid few market catalysts ,* Home Depot shares rise as housing recovery boosts results,normal
BBY,Best Buy Co Inc,20131119,US STOCKS-Futures tick lower as traders scramble for catalysts ,* Home Depot shares rise as housing recovery boosts results,normal
BA,Boeing Company (The),20131119,U.S. Navy committed to F-35 despite talks about more F/A-18 buys ,DUBAI The U.S. Navy remains committed to the Lockheed Martin Corp  F-35 Joint Strike Fighter (JSF) program  but is also looking at options to buy additional Boeing Co  F/A-18 fighter jets  a senior U.S. Navy official said on Tuesday.,topStory
BA,Boeing Company (The),20131119,UPDATE 2-AIRSHOW-US Navy committed to F-35 despite talks about more F/A-18 buys ,DUBAI  Nov 19 The U.S. Navy remains committed to the Lockheed Martin Corp F-35 Joint Strike Fighter (JSF) program  but is also looking at options to buy additional Boeing Co F/A-18 fighter jets  a senior U.S. Navy official said on Tuesday.,normal
BA,Boeing Company (The),20131119,AIRSHOW-Maker of V-22 Osprey encouraged by foreign interest ,DUBAI  Nov 19 The head of Bell Helicopter said on Tuesday he was encouraged by foreign interest in the V-22 tilt-rotor aircraft that his company builds with Boeing Co   but Bell may face additional layoffs if not enough orders emerge.,normal
BA,Boeing Company (The),20131119,Factbox: Airbus  Boeing orders at Dubai Airshow ,Following is a summary of commercial airplane orders announced by Airbus  and Boeing  at the Dubai Airshow  which runs from Nov 17 to 21.,normal
BA,Boeing Company (The),20131119,U.S. Navy committed to F-35 despite talks about more F/A-18 buys ,DUBAI The U.S. Navy remains committed to the Lockheed Martin Corp  F-35 Joint Strike Fighter (JSF) program  but is also looking at options to buy additional Boeing Co  F/A-18 fighter jets  a senior U.S. Navy official said on Tuesday.,normal
BA,Boeing Company (The),20131119,AIRSHOW-US Navy committed to F-35 despite talks about more F/A-18 buys ,DUBAI  Nov 19 The U.S. Navy remains committed to the Lockheed Martin Corp F-35 Joint Strike Fighter (JSF) program  but is also looking at options to buy additional Boeing Co F/A-18 fighter jets  a senior U.S. Navy official said on Tuesday.,normal
BA,Boeing Company (The),20131119,BRIEF-Boeing  Tui Travel complete order for two 787-8s ,Nov 19 Boeing :  * Tui travel plc complete order for two 787-8s  * Says the deal  worth $424 million at current list prices  * Source text for Eikon   * Further company coverage,normal
BA,Boeing Company (The),20131119,RPT-UPDATE 1-AIRSHOW-Airbus considers A320 production increase ,DUBAI  Nov 19 Airbus is considering an increase in production of its A320 medium-haul aircraft  taking output above 42 planes per month  sales chief John Leahy told Reuters on Tuesday.,normal
CBT,Cabot Corporation,20131119,BRIEF-Cabot announces agreement with the U.S. environmental protection agency ,Nov 19 Cabot Corp :  * Announces agreement with the U.S. environmental protection agency  * Although co has not acknowledged noncompliance  under settlement co has,topStory
CPB,Campbell Soup Company,20131119,Campbell Soup cuts forecast as U.S. soup sales slide ,Campbell Soup Co  cut its full-year earnings forecast on Tuesday as it fights to lessen its dependence on soup and expand its product offerings in a bid to appeal to 20-somethings.,topStory
CPB,Campbell Soup Company,20131119,UPDATE 4-Campbell Soup cuts forecast as U.S. soup sales slide ,Nov 19 Campbell Soup Co cut its full-year earnings forecast on Tuesday as it fights to lessen its dependence on soup and expand its product offerings in a bid to appeal to 20-somethings.,normal
CPB,Campbell Soup Company,20131119,US STOCKS-Dow  S&P retreat for second day; Best Buy weighs ,* Best Buy  Campbell Soup shares plunge after cautious outlook,normal
CPB,Campbell Soup Company,20131119,RESEARCH ALERT-Campbell Soup: JP Morgan cuts target price ,Nov 19 Campbell Soup Co :  * JP Morgan cuts target price to $37 from $38; rating underweight For a summary of rating and price target changes on U.S. companies:    Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Reuters Station users  click .1568    For a summary of rating and price target changes on Canadian companies:    Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Reuters Station users  click .4899,normal
CPB,Campbell Soup Company,20131119,BRIEF-Campbell Soup down 8.5 percent premarket after Q1 results  outlook ,NEW YORK  Nov 19 Campbell Soup Co :  * Down 8.5 percent to $38.25 in premarket after Q1 results  outlook,normal
CPB,Campbell Soup Company,20131119,CORRECTED-Campbell Soup's quarterly sales fall ,(Corrects paragraph 2 to say net earnings attributable to Campbell Soup was $172 million  not $171 million),normal
CPB,Campbell Soup Company,20131119,BRIEF-Campbell Q1 adjusted earnings per share $0.66 from continuing ops ,Nov 19 Campbell Soup Co :  * Reports first-quarter results  * Q1 adjusted earnings per share $0.66 from continuing operations  * Q1 earnings per share $0.57 from continuing operations  * Q1 earnings per share view $0.86 -- Thomson Reuters I/B/E/S  * Q1 sales $2.17 billion versus I/B/E/S view $2.29 billion  * Lowers fiscal 2014 sales  adjusted EBIT and adjusted EPS guidance: sets new,normal
CNI,Canadian National Railway Company,20131119,UPDATE 1-CN Rail employee killed in Saskatchewan accident ,TORONTO  Nov 19 A Canadian National Railway  employee was killed in a train accident near the small northeastern town of Tisdale  Saskatchewan  Canada's largest railroad confirmed on Tuesday.,topStory
CSV,Carriage Services Inc,20131119,BRIEF-Carriage Services acquires Heritage Funeral Homes and Cremation Services ,Nov 19 Carriage Services Inc :  * Expands its greater Chattanooga market presence with the strategic,topStory
CAT,Caterpillar Inc,20131119,REUTERS SUMMIT-Short-seller Chanos bearish on coal  oil ,NEW YORK  Nov 19 Short-seller Jim Chanos said Tuesday it is time for typical equity investors to be "a little more cautious" even as the stock market may continue to rise.,normal
CTL,CenturyLink Inc,20131119,CenturyLink boosts cloud offerings with Tier 3 buy ,Telecommunications company CenturyLink Inc said on Tuesday it has bought cloud computing startup Tier 3 Inc as part of its acquisition strategy that allows it to compete with the likes of Amazon Inc  IBM Corp and Verizon Communications Inc's Terremark.,topStory
CTL,CenturyLink Inc,20131119,CenturyLink boosts cloud offerings with Tier 3 buy ,Nov 19 Telecommunications company CenturyLink Inc said on Tuesday it has bought cloud computing startup Tier 3 Inc as part of its acquisition strategy that allows it to compete with the likes of Amazon Inc  IBM Corp and Verizon Communications Inc's Terremark.,normal
CTL,CenturyLink Inc,20131119,BRIEF-CenturyLink acquires Tier 3 to accelerate cloud platform strategy ,Nov 19 CenturyLink Inc :  * Acquires tier 3 to accelerate cloud platform strategy  * Says acquired tier 3 for an undisclosed price * Source text for Eikon  * Further company coverage,normal
CVX,Chevron Corporation,20131119,U.S. lawyer denies bribery at trial in Chevron-Ecuador case ,NEW YORK A U.S. lawyer on Tuesday denied using bribery to win a multibillion-dollar judgment against Chevron Corp  in Ecuador  even as the oil company's lawyer raised tough questions about evidence that he said suggested the payments were made.,topStory
CVX,Chevron Corporation,20131119,U.S. lawyer denies bribery at trial in Chevron-Ecuador case ,NEW YORK  Nov 19 A U.S. lawyer on Tuesday denied using bribery to win a multibillion-dollar judgment against Chevron Corp in Ecuador  even as the oil company's lawyer raised tough questions about evidence that he said suggested the payments were made.,normal
CVX,Chevron Corporation,20131119,U.S. attorney grilled over role in Chevron-Ecuador judgment ,NEW YORK Steven Donziger  the U.S. attorney accused of using bribery to secure a multibillion-dollar pollution judgment against Chevron Corp  in Ecuador  took the witness stand for the first time on Monday and was immediately challenged on his claim that he was not in charge of the Ecuadorean case.,normal
CVX,Chevron Corporation,20131119,U.S. attorney grilled over role in Chevron-Ecuador judgment ,NEW YORK  Nov 18 Steven Donziger  the U.S. attorney accused of using bribery to secure a multibillion-dollar pollution judgment against Chevron Corp  in Ecuador  took the witness stand for the first time on Monday and was immediately challenged on his claim that he was not in charge of the Ecuadorean case.,normal
CHL,China Mobile (Hong Kong) Ltd,20131119,BRIEF-Ericsson signs deal with China Mobile for LTE ,STOCKHOLM  Nov 19 ERICSSON :  * Ericsson continues strategic partnership with China Mobile for lte  * Says Ericsson will deploy LTE TDD (TD-LTE) in 15 provinces in mainland China,topStory
ZNH,China Southern Airlines Company Limited,20131119,UPDATE 2-Exxon to sell Hong Kong power operations for $3.4 bln ,* Deal marks state-ownded CSG's first overseas investment,topStory
ZNH,China Southern Airlines Company Limited,20131119,CORRECTED-Exxon to sell Hong Kong power operations for $3.4 bln ,(Corrects company name in lead paragraph to China Southern Power Grid),normal
XNY,China Xiniya Fashion Limited,20131119,BRIEF-China Xiniya Fashion Q3 revenue $63.7 million ,Nov 19 China Xiniya Fashion Ltd :  * Reports 2013 third quarter financial results  * Q3 revenue fell 6.7 percent to RMB 389.8 million  * Sees Q4 2013 revenue down 8 to 12 percent  * Says earnings per ADS were $0.02 in the third quarter of 2013  * Says earnings per ADS in Q4 of 2013 are expected to be in the range of $0.05,topStory
KOF,Coca Cola Femsa SAB de CV,20131119,Fitch Rates Coca-Cola Femsa's Proposed USD2B Issuance 'A(exp)' ,(The following statement was released by the rating agency) MONTERREY  November 19 (Fitch) Fitch Ratings has assigned an 'A(exp)' rating to  Coca-Cola Femsa S.A.B. de C.V.'s (KOF) proposed multi-tranche issuance of up to  USD2 billion between five to 30 years. The proceeds of the issuance are expected  to be used to refinance current indebtedness and general corporate purposes. A  complete list of ratings is provided at the end of this release. KEY RATING DRIVERS: KOF's ratings continue to refle,topStory
CFX,Colfax Corporation,20131119,BRIEF-Colfax expects to incur a non-cash charge of about $27 mln in Q4 ,Nov 19 Colfax Corp :  * Says expects to incur a non-cash charge of approximately $27 million in the,topStory
DDR,DDR Corp,20131119,RESEARCH ALERT-DDR  Equity One: MLV starts with buy - Theflyonthewall.com ,Nov 19 :  * DDR  Equity One : MLV & Co starts with buy -,topStory
DB,Deutsche Bank AG,20131119,RESEARCH ALERT-Telkom: Deutsche Bank raises to buy ,Nov 19 Telkom :  * Deutsche Bank raises to buy from hold; raises price target to 30 rand from 26,topStory
DB,Deutsche Bank AG,20131119,RESEARCH ALERT-DP World: Deutsche Bank raises to buy ,Nov 19 DP World Ltd :  * Deutsche Bank raises to buy from hold; raises price target to,normal
DB,Deutsche Bank AG,20131119,RESEARCH ALERT-Severstal: Deutsche Bank raises to buy ,Nov 19 :  * Severstal : Deutsche Bank raises to buy from hold; raises price,normal
DB,Deutsche Bank AG,20131119,RESEARCH ALERT-Generali: Deutsche Bank starts with buy rating ,Nov 19 :  * Generali : Deutsche Bank starts with buy rating For a summary of rating actions and price target changes on European companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/EUROPE,normal
DVN,Devon Energy Corporation,20131119,Devon Energy near $6 billion deal for GeoSouthern: source ,NEW YORK Devon Energy Corp is close to a deal to buy privately held GeoSouthern Energy Corp for around $6 billion  according to a person familiar with the matter.,topStory
DVN,Devon Energy Corporation,20131119,UPDATE 2-Devon Energy near $6 bln deal for GeoSouthern -source ,NEW YORK  Nov 19 Devon Energy Corp is close to a deal to buy privately held GeoSouthern Energy Corp for around $6 billion  according to a person familiar with the matter.,normal
DVN,Devon Energy Corporation,20131119,Devon Energy near $6 bln deal for GeoSouthern Energy -source ,NEW YORK  Nov 19 Devon Energy is close to a deal to buy privately held GeoSouthern Energy for around $6 billion  according to a person familiar with the matter.,normal
DVN,Devon Energy Corporation,20131119,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  Nov 19 2013 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese,normal
DEO,Diageo plc,20131119,Diageo to launch new bourbons  doesn't need Beam Inc ,LONDON Alcoholic drinks maker Diageo PLC  does not need to buy rival Beam Inc   its chief executive officer said on Tuesday  since it is expanding its existing whiskeys and launching new ones.,topStory
DEO,Diageo plc,20131119,Diageo to launch new bourbons  doesn't need Beam Inc ,* Plans to launch Orphan Barrel  Blade & Bow bourbons next year,normal
DSX,Diana Shipping inc,20131119,BRIEF- Diana Shipping Q3 loss per share $0.04 ,Nov 19 Diana Shipping Inc :  * Reports financial results for the third quarter and nine months ended,topStory
DSXN,Diana Shipping inc,20131119,BRIEF- Diana Shipping Q3 loss per share $0.04 ,Nov 19 Diana Shipping Inc :  * Reports financial results for the third quarter and nine months ended,topStory
DKS,Dick&#39;s Sporting Goods Inc,20131119,BRIEF-Dick's Sporting Goods up 1.1 percent premarket after Q3 results  outlook ,NEW YORK  Nov 19 Dick's Sporting Goods Inc :  * Up 1.1 percent to $57 in premarket after Q3 results  outlook,topStory
DKS,Dick&#39;s Sporting Goods Inc,20131119,BRIEF-Dick'S Sporting Goods Q3 EPS $0.40 ,Nov 19 Dick's Sporting Goods Inc :  * Dick's Sporting Goods Inc sees full year non-GAAP shr about $2.62 to $2.65 excluding items  * Anticipates FY capex to be about $299 million on a gross basis and approximately $258 million on a net basis  * Q3 shr $0.40 ; Q3 sales $1.4 bln ; Q3 consolidated same store sales up 3.3%  * Sees Q4 shr about $1.04 to $1.07 ; sees Q4 consolidated same store sales up 3-4%  adjusted for shifted calendar  * Says narrows full year non-gaap EPS guidance range,normal
DKS,Dick&#39;s Sporting Goods Inc,20131119,A , ,normal
DRE,Duke Realty Corporation,20131119,Preview: East Carolina at Duke ,Sixth-ranked Duke puts a pair of impressive streaks on the line when it hosts East Carolina in the second round of the NIT Season Tip-Off on Tuesday. The Blue Devils have won 19 straight at home and 104 consecutive non-conference contests at Cameron Indoor Stadium after clobbering UNC Asheville 91-55 on Monday. Next up is East Carolina  which rallied for a 76-74 victory over Norfolk State on Monday  with the winner advancing to the next stage of the tournament at Madison Square Garden.,topStory
ETP,Energy Transfer Partners LP,20131119,BRIEF-Energy Transfer Partners announces agreement for unit to buy Trunkline LNG ,Nov 19 Energy Transfer Partners LP :  * Announced agreement for unit to buy trunkline lng co llc  which owns a,topStory
ENS,Enersys,20131119,BRIEF-EnerSys buys remaining stake in India JV ,Nov 19 EnerSys :  * Increases India investment  * Announced purchase of remaining shares in their joint venture company in,topStory
E,ENI SpA,20131119,Gazprom Neft  Novatek may buy more of SeverEnergia -document ,* Russian companies clash over gas assets before LNG reform,topStory
EQT,EQT Corporation,20131119,BRIEF-EQT names Von Koch managing partner  Jonsson to be working chairman ,STOCKHOLM  Nov 19 Private equity company EQT :  * Eqt says conni jonsson becomes full time working chairman  Thomas Von Koch,topStory
XOM,Exxon Mobil Corporation,20131119,Exxon shuts Texas gas processing plant after fire ,NEW YORK  Nov 19 A fire caused Exxon Mobil to shut its gas processing plant in Kingsville  Texas  the company said on Tuesday  but no injuries were reported.,topStory
XOM,Exxon Mobil Corporation,20131119,Highlights Day 2: Exxon a 'value trap'; Puerto Rico attractive ,NEW YORK Short-seller Jim Chanos said he was bearish on oil companies like Exxon Mobil Corp. and said the U.S. stock market was becoming riskier  while Aaron Cowen  of hedge fund Suvretta Capital Management  said the market has yet to reach a peak.,normal
XOM,Exxon Mobil Corporation,20131119,Short-seller Chanos says oil majors increasingly look like 'value traps' ,NEW YORK Short-seller Jim Chanos said on Tuesday that shares of international oil majors like Exxon Mobil Corp increasingly look like a value trap for investors as cash flows decline and return on capital slides.,normal
XOM,Exxon Mobil Corporation,20131119,REUTERS SUMMIT-Short-seller Chanos says oil majors increasingly look like 'value traps' ,(For other news from Reuters Global Investment Outlook Summit  click on http://www.reuters.com/summit/Investment13)  (Adds bellwether Sotheby's  Exxon Mobil background),normal
XOM,Exxon Mobil Corporation,20131119,REUTERS SUMMIT-Short-seller Chanos says oil majors increasingly look like 'value traps' ,(For other news from Reuters Global Investment Outlook Summit  click on http://www.reuters.com/summit/Investment13)  (Adds background on Exxon  quotes on equities and Europe),normal
XOM,Exxon Mobil Corporation,20131119,REUTERS SUMMIT-Short-seller Chanos bearish on oil  coal companies ,NEW YORK  Nov 19 Short-seller Jim Chanos said on Tuesday that shares of the international oil majors like Exxon Mobil Corp increasingly look like a value trap for investors as cash flows decline and returns slide.,normal
XOM,Exxon Mobil Corporation,20131119,Deals of the day- Mergers and acquisitions ,(Adds Adcock Ingram  Blackstone Group  Rolls-Royce  Pemex  Loewe  JSW  Teva Pharmaceutical; updates Deutsche Boerse),normal
XOM,Exxon Mobil Corporation,20131119,UPDATE 2-Exxon to sell Hong Kong power operations for $3.4 bln ,* Deal marks state-ownded CSG's first overseas investment,normal
XOM,Exxon Mobil Corporation,20131119,CORRECTED-Exxon to sell Hong Kong power operations for $3.4 bln ,(Corrects company name in lead paragraph to China Southern Power Grid),normal
XOM,Exxon Mobil Corporation,20131119,Exxon to sell Hong Kong power operations for $3.4 billion ,HONG KONG Exxon Mobil Corp  has agreed to sell its majority stakes in a Hong Kong utility and a power storage firm for a combined $3.4 billion  helping the U.S. oil major raise funds to plough back into its core operations.,normal
F,Ford Motor Company,20131119,UPDATE 1-Ford to reveal all-new 2015 Mustang on Dec. 5 ,LOS ANGELES  Nov 19 Ford Motor Co will unveil its next-generation 2015 Mustang on Dec. 5  in the first complete overhaul of the car since 2005  the U.S. automaker said on Tuesday.,topStory
F,Ford Motor Company,20131119,Car  tech firms must work together to provide Internet   'apps' : Ford executive ,LOS ANGELES Automakers and technology companies need to cooperate more closely to ensure the rapid and smooth development of cars that are fully connected to the Internet  a top Ford Motor Co  executive said on Tuesday.,normal
F,Ford Motor Company,20131119,Car  tech firms must work together to provide Internet   'apps' -Ford exec ,LOS ANGELES  Nov 19 Automakers and technology companies need to cooperate more closely to ensure the rapid and smooth development of cars that are fully connected to the Internet  a top Ford Motor Co executive said on Tuesday.,normal
F,Ford Motor Company,20131119,Ford to inspect  repair 386 000 older model large sedans in U.S. ,DETROIT  Nov 19 U.S. safety regulators have closed an investigation into loss of steering in some large Ford Motor Co sedans after the automaker said it would address the issue on affected vehicles.,normal
FET,Forum Energy Technologies Inc,20131119,BRIEF-Forum Energy prices $100 million offering of additional 6.250% senior notes ,Nov 19 Forum Energy Technologies Inc :  * Prices $100 million offering of additional 6.250% senior notes due 2021  * Says notes will be issued at a price equal to 103.250% of the principal,topStory
GEH,General Electric Capital Corporation,20131119,U.S. court questions ex-GE bankers' bid-rigging convictions ,NEW YORK A U.S. appeals court on Tuesday questioned the convictions of three former banking executives at a unit of General Electric Co for being involved in a conspiracy to rig bids for contracts to invest municipal bond proceeds.,topStory
GEH,General Electric Capital Corporation,20131119,U.S. court questions ex-GE bankers' bid-rigging convictions ,NEW YORK  Nov 19 A U.S. appeals court on Tuesday questioned the convictions of three former banking executives at a unit of General Electric Co for being involved in a conspiracy to rig bids for contracts to invest municipal bond proceeds.,normal
GEK,General Electric Capital Corporation,20131119,U.S. court questions ex-GE bankers' bid-rigging convictions ,NEW YORK A U.S. appeals court on Tuesday questioned the convictions of three former banking executives at a unit of General Electric Co for being involved in a conspiracy to rig bids for contracts to invest municipal bond proceeds.,topStory
GEK,General Electric Capital Corporation,20131119,U.S. court questions ex-GE bankers' bid-rigging convictions ,NEW YORK  Nov 19 A U.S. appeals court on Tuesday questioned the convictions of three former banking executives at a unit of General Electric Co for being involved in a conspiracy to rig bids for contracts to invest municipal bond proceeds.,normal
GE,General Electric Company,20131119,U.S. court questions ex-GE bankers' bid-rigging convictions ,NEW YORK A U.S. appeals court on Tuesday questioned the convictions of three former banking executives at a unit of General Electric Co for being involved in a conspiracy to rig bids for contracts to invest municipal bond proceeds.,topStory
GE,General Electric Company,20131119,U.S. court questions ex-GE bankers' bid-rigging convictions ,NEW YORK  Nov 19 A U.S. appeals court on Tuesday questioned the convictions of three former banking executives at a unit of General Electric Co for being involved in a conspiracy to rig bids for contracts to invest municipal bond proceeds.,normal
GEB,General Electric Company,20131119,U.S. court questions ex-GE bankers' bid-rigging convictions ,NEW YORK A U.S. appeals court on Tuesday questioned the convictions of three former banking executives at a unit of General Electric Co for being involved in a conspiracy to rig bids for contracts to invest municipal bond proceeds.,topStory
GEB,General Electric Company,20131119,U.S. court questions ex-GE bankers' bid-rigging convictions ,NEW YORK  Nov 19 A U.S. appeals court on Tuesday questioned the convictions of three former banking executives at a unit of General Electric Co for being involved in a conspiracy to rig bids for contracts to invest municipal bond proceeds.,normal
