AMZN,Amazoncom Inc,20130909,Traditional U.S. stores fight Amazon for online sales ,U.S. bricks and mortar retailers are racing to catch up with e-commerce giant Amazon.com in fast-growing online sales.,topStory
JPM,J P Morgan Chase & Co,20130909,JPMorgan in $300 mln settlement over force-placed insurance ,NEW YORK  Sept 9 JPMorgan Chase & Co and a major insurer have agreed to a $300 million settlement to resolve accusations that they forced homeowners into over-priced property insurance and entered into kickback arrangements that inflated the policies' prices.,normal
JPM,J P Morgan Chase & Co,20130909,JPMorgan CFO sees higher litigation costs ,The chief financial officer of JPMorgan Chase & Co  said on Monday that the company will build its litigation reserves in the third quarter at a cost that will "more than offset" the benefit of a simultaneous release of extra reserves it had taken for mortgage losses.,normal
JPM,J P Morgan Chase & Co,20130909,JPMorgan CFO sees higher litigation costs ,Sept 9 The chief financial officer of JPMorgan Chase & Co said on Monday that the company will build its litigation reserves in the third quarter at a cost that will "more than offset" the benefit of a simultaneous release of extra reserves it had taken for mortgage losses.,normal
JPM,J P Morgan Chase & Co,20130909,JPMorgan names two new directors  changes board rules ,JPMorgan Chase & Co's  board  under fire for failing to prevent the $6 billion "London Whale" trading losses last year  on Monday named two new directors and gave more power to its lead independent director  but critics said the moves did not go far enough. | Video ,normal
JPM,J P Morgan Chase & Co,20130909,JPMorgan to name Linda Bammann  Michael Neal to the board ,JPMorgan Chase & Co  said it expects Linda Bammann  former director of Federal Home Loan Mortgage Corp   and Michael Neal  former GE Capital CEO  to join its board of directors.,normal
JPM,J P Morgan Chase & Co,20130909,MARKET PULSE-Unilife  Apple  Sony  Oncolytics  Biodel  BlackBerry ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
JPM,J P Morgan Chase & Co,20130909,MARKET PULSE-Apple  Sony  Oncolytics  Biodel  BlackBerry ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
JEC,Jacobs Engineering Group Inc,20130909,US STOCKS-China data helps Wall St gain for fifth straight day ,* Indexes up: Dow 0.67 pct  S&P 0.62 pct  Nasdaq 0.71 pct,topStory
JEC,Jacobs Engineering Group Inc,20130909,US STOCKS-Wall St to open higher on China data; Syria curbs gains ,NEW YORK  Sept 9 U.S. stocks were set for a modestly higher open on Monday in the wake of upbeat economic data from China  though concerns remained about the possibility of a Western strike against Syria.,normal
JEC,Jacobs Engineering Group Inc,20130909,US STOCKS-Futures gain on China data; Syria concerns remain ,NEW YORK  Sept 9 U.S. stock index futures advanced on Monday in the wake of upbeat economic data from China  though concerns remained about the possibility of a Western strike against Syria.,normal
JEC,Jacobs Engineering Group Inc,20130909,US STOCKS-Futures rise after China data; Syria concerns remain ,NEW YORK  Sept 9 U.S. stock index futures advanced on Monday in the wake of upbeat economic data from China  though concerns remained about a potential strike against Syria.,normal
JEC,Jacobs Engineering Group Inc,20130909,Jacobs Engineering to buy Sinclair Knight Merz for $1.2 billion ,NEW YORK Jacobs Engineering Group Inc   one of the world's largest construction consulting firms  said on Sunday it would acquire Australian employee-owned consultancy Sinclair Knight Merz (SKM) for approximately A$1.3 billion ($1.2 billion) in cash.,normal
JEC,Jacobs Engineering Group Inc,20130909,Jacobs Engineering to buy Sinclair Knight Merz for $1.2 bln ,NEW YORK  Sept 8 Jacobs Engineering Group Inc   one of the world's largest construction consulting firms  said on Sunday it would acquire Australian employee-owned consultancy Sinclair Knight Merz (SKM) for approximately A$1.3 billion ($1.2 billion) in cash.,normal
KMI,Kinder Morgan Inc,20130909,Young analyst draws Wall Street ire taking on Kinder Morgan ,HOUSTON Kevin Kaiser  a 26-year-old analyst only three years into his first job out of the Ivy League  jolted Wall Street last week with a pithy email taking aim at North America's largest oil and gas pipeline and processing company - Kinder Morgan.,topStory
KMI,Kinder Morgan Inc,20130909,Young analyst draws Wall Street ire taking on Kinder Morgan ,HOUSTON  Sept 9 Kevin Kaiser  a 26-year-old analyst only three years into his first job out of the Ivy League  jolted Wall Street last week with a pithy email taking aim at North America's largest oil and gas pipeline and processing company - Kinder Morgan.,normal
LMT,Lockheed Martin Corporation,20130909,Bell teams with Lockheed for US Army helicopter bid ,WASHINGTON  Sept 9 Bell Helicopter  a unit of Textron Inc  on Monday said it would team with Lockheed Martin Corp to bid for the U.S. Army's next-generation helicopter - an order worth billions of dollars - using Bell's V-280 Valor tiltrotor.,topStory
MS,Morgan Stanley,20130909,ON THE MOVE-Merrill hires advisers from Goldman  Morgan Stanley ,NEW YORK  Sept 9 Merrill Lynch Wealth Management has begun the school year by hiring a multi-million dollar private banker in Denver from Goldman Sachs Group Inc and a two-person broker team in Miami that had been with Morgan Stanley for 13 years.,topStory
MS,Morgan Stanley,20130909,ON THE MOVE-UBS lands Morgan Stanley adviser in North Carolina ,Sept 9 UBS AG's  Wealth Management Americas said on Monday it had hired a veteran adviser from rival brokerage Morgan Stanley Wealth Management to join the firm in North Carolina.,normal
MS,Morgan Stanley,20130909,China locks foreign investors out of another bad-debt cleanup ,HONG KONG Chinese banks have a colossal mess of bad debts to clean up for the second time in as many decades  but they are unlikely to call in the financial world's most efficient mop and broom.,normal
ORCL,Oracle Corporation,20130909,RPT-Sailing-Oracle win shows New Zealand has not locked up America's Cup ,SAN FRANCISCO  Sept 8 Oracle Team USA edged out Emirates Team New Zealand in a blustery fourth race for the America's Cup on Sunday  reminding the Kiwis  who won the first three races of the event  that the American yacht is formidable.,topStory
ORCL,Oracle Corporation,20130909,Oracle win shows New Zealand has not locked up America's Cup ,SAN FRANCISCO Oracle Team USA edged out Emirates Team New Zealand in a blustery fourth race for the America's Cup on Sunday  reminding the Kiwis  who won the first three races of the event  that the American yacht is formidable.,normal
ORCL,Oracle Corporation,20130909,Sailing-Oracle win shows New Zealand has not locked up America's Cup ,SAN FRANCISCO  Sept 8 Oracle Team USA edged out Emirates Team New Zealand in a blustery fourth race for the America's Cup on Sunday  reminding the Kiwis  who won the first three races of the event  that the American yacht is formidable.,normal
PTR,PetroChina Company Limited,20130909,PetroChina says report of more probes 'inaccurate'  shares rise ,HONG KONG/BEIJING Shares in Chinese oil producer PetroChina Co Ltd rose as much as 1.7 percent when they resumed trade on Monday  after the company said a newspaper report that more of its executives were being investigated was inaccurate.,topStory
PTR,PetroChina Company Limited,20130909,China shares outshine Asia  lift Hong Kong  on encouraging data ,* Positive China inflation  trade data lifts A-share market,normal
PBR,Petroleo Brasileiro SA- Petrobras,20130909,REFILE-EMERGING MARKETS-Brazil commodities stocks gain on China data ,* China reports encouraging Aug trade data     * Vale  Petrobras boost Brazil's Bovespa     * Bovespa up 0.28 pct  Mexico IPC adds 1 pct      SAO PAULO  Sept 9 Shares of Brazilian commodity exporters rose on Monday  boosted by strong trade data from China  a key market for Brazilian raw materials.     Mexico's IPC index rose by its most in a week  while Chile's bourse rallied for a fourth straight day.     Trade data released over the weekend showed China's overall imports and export,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20130909,NSA spying on Petrobras  if proven  is industrial espionage: Rousseff ,BRASILIA Reports that the United States spied on Brazilian oil company Petrobras  if proven  would be tantamount to industrial espionage and have no security justification  Brazil's President Dilma Rousseff said on Monday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20130909,NSA spying on Petrobras  if proven  is industrial espionage -Rousseff ,BRASILIA  Sept 9 Reports that the United States spied on Brazilian oil company Petrobras  if proven  would be tantamount to industrial espionage and have no security justification  Brazil's President Dilma Rousseff said on Monday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20130909,U.S. tapped into networks of Google  Petrobras  others: report ,RIO DE JANEIRO/SAO PAULO The U.S. government tapped into computer networks of companies including Google Inc. and Brazilian state-run oil firm Petroleo Brasileiro SA  according to leaked U.S. documents aired by Globo  Brazil's biggest television network.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20130909,UPDATE 1-U.S. tapped into networks of Google  Petrobras  others - report ,RIO DE JANEIRO/SAO PAULO  Sept 8 The U.S. government tapped into computer networks of companies including Google Inc. and Brazilian state-run oil firm Petroleo Brasileiro SA  according to leaked U.S. documents aired by Globo  Brazil's biggest television network.,normal
POT,Potash Corporation of Saskatchewan Inc,20130909,CANADA STOCKS-TSX climbs on China data  Potash Corp ,* TSX rises 33.72 points  or 0.26 percent  to 12 854.64     * Nine of 10 main index sectors advance     * Potash surges  has biggest positive influence on market     * BlackBerry climbs about 6 percent on report of buyout      By John Tilak     TORONTO  Sept 9 Canada's main stock index rose on Monday after shares of natural resource companies benefited from positive data out of China  but declines in the price of gold and oil capped those gains.     Still  a surge in shares of Potash,topStory
POT,Potash Corporation of Saskatchewan Inc,20130909,MARKET PULSE-Molex  potash stocks  Fusion-io  homebuilders  Unilife ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
POT,Potash Corporation of Saskatchewan Inc,20130909,MARKET PULSE-Molex  potash stocks  Kythera  SunEdison  Fusion-IO  Biodel ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
POT,Potash Corporation of Saskatchewan Inc,20130909,MARKET PULSE-Molex  potash stocks  Biodel  Groupon  SunEdison  Fusion-IO ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
PFK,Prudential Financial Inc,20130909,Regulators nearing deadline on systemic tag for Prudential ,WASHINGTON U.S. regulators are nearing a final decision on whether to bring mega insurer Prudential Financial under the tougher oversight usually reserved for Wall Street's largest banks.,topStory
PJH,Prudential Financial Inc,20130909,Regulators nearing deadline on systemic tag for Prudential ,WASHINGTON U.S. regulators are nearing a final decision on whether to bring mega insurer Prudential Financial under the tougher oversight usually reserved for Wall Street's largest banks.,topStory
PRH,Prudential Financial Inc,20130909,Regulators nearing deadline on systemic tag for Prudential ,WASHINGTON U.S. regulators are nearing a final decision on whether to bring mega insurer Prudential Financial under the tougher oversight usually reserved for Wall Street's largest banks.,topStory
PRU,Prudential Financial Inc,20130909,Regulators nearing deadline on systemic tag for Prudential ,WASHINGTON U.S. regulators are nearing a final decision on whether to bring mega insurer Prudential Financial under the tougher oversight usually reserved for Wall Street's largest banks.,topStory
PVH,PVH Corp,20130909,PVH gives weak outlook  says still cautious; shares slip ,PVH Corp   which makes Calvin Klein and Tommy Hilfiger clothes  gave a sales and profit forecast for the third quarter that missed Wall Street expectations and characterized the global environment as "challenging".,topStory
PVH,PVH Corp,20130909,PVH gives weak outlook  says still cautious; shares slip ,Sept 9 PVH Corp  which makes Calvin Klein and Tommy Hilfiger clothes  gave a sales and profit forecast for the third quarter that missed Wall Street expectations and characterized the global environment as "challenging".,normal
SSL,Sasol Ltd,20130909,South Africa's Sasol full-year headline EPS up 25 percent ,JOHANNESBURG South African petrochemicals company Sasol  reported a 25 percent increase in full-year earnings on Monday  boosted by higher synthetic fuel production and a weaker rand.,topStory
SNE,Sony Corp Ord,20130909,MARKET PULSE-Unilife  Apple  Sony  Oncolytics  Biodel  BlackBerry ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
SNE,Sony Corp Ord,20130909,MARKET PULSE-Apple  Sony  Oncolytics  Biodel  BlackBerry ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
SNE,Sony Corp Ord,20130909,Sony pins hopes for profit on PlayStation 4  sets February launch in Japan ,TOKYO Sony Corp announced the Japanese release of its PlayStation 4 on Monday as the electronics maker braces for a console war with Microsoft Corp that could make or break the Japanese firm's struggle to return to profit.,normal
SNE,Sony Corp Ord,20130909,UPDATE 1-Sony pins hopes for profit on PlayStation 4  sets Feb 22 launch in Japan ,TOKYO  Sept 9 Sony Corp announced the Japanese release of its PlayStation 4 on Monday as the electronics maker braces for a console war with Microsoft Corp  that could make or break the Japanese firm's struggle to return to profit.,normal
SUI,Sun Communities Inc,20130909,PetroChina says report of more probes 'inaccurate'  shares rise ,HONG KONG/BEIJING Shares in Chinese oil producer PetroChina Co Ltd rose as much as 1.7 percent when they resumed trade on Monday  after the company said a newspaper report that more of its executives were being investigated was inaccurate.,topStory
TEF,Telefonica SA,20130909,Spain's Telefonica faces dilemma over strategic Italian holding ,MADRID Spanish telecoms group Telefonica  has a big Italian headache.,topStory
TEF,Telefonica SA,20130909,Spain's Telefonica faces dilemma over strategic Italian holding ,MADRID  Sept 9 Spanish telecoms group Telefonica  has a big Italian headache.,normal
TEF,Telefonica SA,20130909,Telefonica closes $743 million loan to buy Nokia infrastructure ,MADRID Spain's Telefonica said on Monday it had closed a financing deal worth $743 million to acquire infrastructure from Nokia's Nokia Solutions and Networks.,normal
TEF,Telefonica SA,20130909,Telefonica closes $743 mln loan to buy Nokia infrastructure ,MADRID  Sept 9 Spain's Telefonica said on Monday it had closed a financing deal worth $743 million to acquire infrastructure from Nokia's Nokia Solutions and Networks.,normal
TU,TELUS Corporation,20130909,Canadian telecom BCE files legal challenge to telecoms rules ,TORONTO  Sept 9 BCE Inc   Canada's largest telecommunications company  has issued a legal challenge to the federal government's indefinite extension of cellular tower-sharing and roaming rules designed to help new entrants to the market.,normal
THC,Tenet Healthcare Corporation,20130909,ANALYSIS-Hospital investors wary of slow rampup for Obamacare ,NEW YORK  Sept 9 Investors in U.S. hospital companies are counting on the Obama administration to pull off its national healthcare reform for 2014 to drive earnings growth  but a series of delays to the program has some questioning how strong the launch will be at its start.,normal
TXT,Textron Inc,20130909,Bell teams with Lockheed for US Army helicopter bid ,WASHINGTON  Sept 9 Bell Helicopter  a unit of Textron Inc  on Monday said it would team with Lockheed Martin Corp to bid for the U.S. Army's next-generation helicopter - an order worth billions of dollars - using Bell's V-280 Valor tiltrotor.,topStory
TWX,Time Warner Inc,20130909,Time Inc in talks to buy American Express magazines: report ,Time Inc  the magazine publisher that is preparing to spin out from its parent company Time Warner Inc  is in talks to acquire American Express' titles such as Food & Wine  according to a report in the New York Times.,topStory
TWX,Time Warner Inc,20130909,CORRECTED-Towers Watson shares jump on IBM contract win ,(Corrects paragraph 10 to say Time Warner Inc  not Time Warner Cable  plans to transfer retirees to private insurance exchanges),normal
TM,Toyota Motor Corp Ltd Ord,20130909,Toyota recalls 780 000 vehicles in U.S. again to fix suspension ,DETROIT Toyota Motor Corp is recalling about 780 000 crossovers and hybrid sedans in the United States for a second time to repair a suspension defect that was not properly fixed last year  a Toyota spokeswoman said on Monday.,topStory
TM,Toyota Motor Corp Ltd Ord,20130909,Toyota recalls 780 000 vehicles in U.S. again to fix suspension ,DETROIT  Sept 9 Toyota Motor Corp is recalling about 780 000 crossovers and hybrid sedans in the United States for a second time to repair a suspension defect that was not properly fixed last year  a Toyota spokeswoman said on Monday.,normal
VZ,Verizon Communications Inc,20130909,Verizon and regulators clash on internet rules ,WASHINGTON U.S. judges hearing a potential landmark case on U.S. regulation of internet traffic on Monday focused on whether certain charges levied on websites by internet service providers would be illegal moves to block the sites.,topStory
VZ,Verizon Communications Inc,20130909,UPDATE 2-Verizon and U.S. regulators clash on internet rules ,WASHINGTON  Sept 9 U.S. judges hearing a potential landmark case on U.S. regulation of internet traffic on Monday focused on whether certain charges levied on websites by internet service providers would be illegal moves to block the sites.,normal
VZ,Verizon Communications Inc,20130909,Verizon sets pricing on $14 billion bank loan ,NEW YORK Verizon Communications  set pricing on the $14 billion bank loan backing its $130 billion acquisition of the 45 percent stake in Verizon Wireless that it does not already own from Vodafone Group Plc   sources told Thomson Reuters LPC.,normal
VZ,Verizon Communications Inc,20130909,RLPC: Verizon sets pricing on $14B bank loan ,NEW YORK  Sept 9 Verizon Communications  set pricing on the $14 billion bank loan backing its $130 billion acquisition of the 45 percent stake in Verizon Wireless that it does not already own from Vodafone Group Plc  sources told Thomson Reuters LPC.,normal
VZ,Verizon Communications Inc,20130909,Verizon announces multi-tranche dollar bond ,NEW YORK  Sept 9 (IFR) - Verizon Communications announced a SEC-registered multi-tranche bond on Monday that will finance its acquisition of Vodafone's 45% stake in Verizon Wireless.,normal
VZ,Verizon Communications Inc,20130909,Verizon may announce jumbo bond on Monday -sources ,NEW YORK  Sept 9 (IFR) - The much anticipated jumbo USD20bn-USD35bn Verizon Communications bond issue could be announced as early as this afternoon  several market sources said on Monday.,normal
VZA,Verizon Communications Inc,20130909,Verizon and regulators clash on internet rules ,WASHINGTON U.S. judges hearing a potential landmark case on U.S. regulation of internet traffic on Monday focused on whether certain charges levied on websites by internet service providers would be illegal moves to block the sites.,topStory
VZA,Verizon Communications Inc,20130909,UPDATE 2-Verizon and U.S. regulators clash on internet rules ,WASHINGTON  Sept 9 U.S. judges hearing a potential landmark case on U.S. regulation of internet traffic on Monday focused on whether certain charges levied on websites by internet service providers would be illegal moves to block the sites.,normal
VZA,Verizon Communications Inc,20130909,Verizon sets pricing on $14 billion bank loan ,NEW YORK Verizon Communications  set pricing on the $14 billion bank loan backing its $130 billion acquisition of the 45 percent stake in Verizon Wireless that it does not already own from Vodafone Group Plc   sources told Thomson Reuters LPC.,normal
VZA,Verizon Communications Inc,20130909,RLPC: Verizon sets pricing on $14B bank loan ,NEW YORK  Sept 9 Verizon Communications  set pricing on the $14 billion bank loan backing its $130 billion acquisition of the 45 percent stake in Verizon Wireless that it does not already own from Vodafone Group Plc  sources told Thomson Reuters LPC.,normal
VZA,Verizon Communications Inc,20130909,Verizon announces multi-tranche dollar bond ,NEW YORK  Sept 9 (IFR) - Verizon Communications announced a SEC-registered multi-tranche bond on Monday that will finance its acquisition of Vodafone's 45% stake in Verizon Wireless.,normal
VZA,Verizon Communications Inc,20130909,Verizon may announce jumbo bond on Monday -sources ,NEW YORK  Sept 9 (IFR) - The much anticipated jumbo USD20bn-USD35bn Verizon Communications bond issue could be announced as early as this afternoon  several market sources said on Monday.,normal
WMT,Wal-Mart Stores Inc,20130909,PVH gives weak outlook  says still cautious; shares slip ,Sept 9 PVH Corp  which makes Calvin Klein and Tommy Hilfiger clothes  gave a sales and profit forecast for the third quarter that missed Wall Street expectations and characterized the global environment as "challenging".,normal
WFC,Wells Fargo & Company,20130909,Wells Fargo expects to make fewer U.S. home loans this quarter ,Wells Fargo & Co  the largest U.S. mortgage lender  expects to make 30 percent fewer home loans this quarter due to rising interest rates  its financial chief said on Monday.,topStory
XRX,Xerox Corporation,20130909,MARKET PULSE-Molex  MTR Gaming  Apple  Xerox  Hanwha Solarone ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
XRX,Xerox Corporation,20130909,MARKET PULSE-Molex  potash stocks  Kythera  SunEdison  Fusion-IO  Biodel ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
XRX,Xerox Corporation,20130909,MARKET PULSE-Molex  potash stocks  Biodel  Groupon  SunEdison  Fusion-IO ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
