AAPL,Apple Inc,20131211,Biometric smartphones to be mainstream in 2014: Ericsson ,STOCKHOLM Biometric smartphones are expected to become mainstream next year as leading handset makers follow the lead of Apple Inc. into fingerprint recognition technology  an Ericsson report on consumer trends showed on Wednesday.,topStory
HTZ,Hertz Global Holdings Inc,20131211,Advantage picks buyer  settles vehicle lease deal with Hertz ,Advantage Rent A Car said it picked Canadian private equity Catalyst Capital Group Inc to buy its assets in bankruptcy proceedings and reached a deal with Hertz Global Holdings Inc  that allows Advantage to continue using a leased vehicle fleet.,topStory
HTZ,Hertz Global Holdings Inc,20131211,Advantage picks buyer  settles vehicle lease deal with Hertz ,Dec 11 Advantage Rent A Car said it picked Canadian private equity Catalyst Capital Group Inc to buy its assets in bankruptcy proceedings and reached a deal with Hertz Global Holdings Inc that allows Advantage to continue using a leased vehicle fleet.,normal
HSBC,HSBC Holdings plc,20131211,RPT-UPDATE 3-Santander ups bet on China with Bank of Shanghai stake ,* HSBC places fair value of $468.2 million on stake as of Sept. 30,topStory
HSEA,HSBC Holdings plc,20131211,RPT-UPDATE 3-Santander ups bet on China with Bank of Shanghai stake ,* HSBC places fair value of $468.2 million on stake as of Sept. 30,topStory
HSEB,HSBC Holdings plc,20131211,RPT-UPDATE 3-Santander ups bet on China with Bank of Shanghai stake ,* HSBC places fair value of $468.2 million on stake as of Sept. 30,topStory
ITT,ITT Inc,20131211,U.S. arms maker Exelis to spin off services business ,WASHINGTON Exelis Inc   which was spun off from ITT Corp  in late 2011  on Wednesday announced it would now spin off its military and government services business  creating a new independent firm with revenues of about $1.5 billion  and focusing the remaining portfolio on higher margin sectors.,topStory
ITT,ITT Inc,20131211,UPDATE 2-U.S. arms maker Exelis to spin off services business ,WASHINGTON  Dec 11 Exelis Inc  which was spun off from ITT Corp in late 2011  on Wednesday announced it would now spin off its military and government services business  creating a new independent firm with revenues of about $1.5 billion  and focusing the remaining portfolio on higher margin sectors.,normal
ITT,ITT Inc,20131211,Exelis to spin off services business by summer 2014 ,WASHINGTON Exelis Inc   which was spun off from ITT Corp  in late 2011  on Wednesday announced it would now spin off its military and government services business  creating a new independent firm with revenues of about $1.5 billion  and focusing the remaining portfolio on higher margin sectors.,normal
JPM,J P Morgan Chase & Co,20131211,JPMorgan's Dimon upbeat about budget deal  economy ,JPMorgan Chase & Co  CEO Jamie Dimon said on Wednesday he was thankful congressional leaders had reached a budget deal and was "less worried" about the impact of an eventual scaling back of the Federal Reserve's market-friendly stimulus measures.,topStory
JPM,J P Morgan Chase & Co,20131211,UPDATE 1-JPMorgan's Dimon upbeat about U.S. budget deal  economy ,Dec 11 JPMorgan Chase & Co CEO Jamie Dimon said on Wednesday he was thankful congressional leaders had reached a budget deal and was "less worried" about the impact of an eventual scaling back of the Federal Reserve's market-friendly stimulus measures.,normal
JPM,J P Morgan Chase & Co,20131211,JPMorgan's Dimon upbeat about U.S. budget deal  economy ,JPMorgan Chase & Co  CEO Jamie Dimon said on Wednesday he was thankful congressional leaders had reached a budget deal and was "less worried" about the impact of an eventual scaling back of the Federal Reserve's market-friendly stimulus measures.,normal
JPM,J P Morgan Chase & Co,20131211,JPMorgan's Dimon upbeat about U.S. budget deal  economy ,Dec 11 JPMorgan Chase & Co CEO Jamie Dimon said on Wednesday he was thankful congressional leaders had reached a budget deal and was "less worried" about the impact of an eventual scaling back of the Federal Reserve's market-friendly stimulus measures.,normal
JPM,J P Morgan Chase & Co,20131211,BRIEF-JPMorgan's Dimon says less worried about Fed tapering than others ,Dec 11 JPMorgan Chase & Co :  * CEO Dimon: 'not as worried about tapering" as others  * JPMorgan CEO Jamie Dimon speaking at investor conference  * JPMorgan CEO Dimon says 'interest rates going up will benefit our company'  * JPMorgan's Dimon: 2014 investment banking revenue could be better than,normal
KMPA,Kemper Corporation,20131211,Fitch Affirms Kemper Corporation's Ratings; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  December 11 (Fitch) Fitch Ratings has affirmed Kemper Corporation's  (Kemper) holding company ratings  including the senior debt rating at 'BBB-'.  Fitch has also affirmed the Insurer Financial Strength (IFS) ratings of Kemper's  operating subsidiaries at 'A-'. The Rating Outlook is Stable. A full list of  ratings follows at the end of this press release. KEY RATING DRIVERS Kemper's ratings reflect modest but improving earnings,topStory
KMPR,Kemper Corporation,20131211,Fitch Affirms Kemper Corporation's Ratings; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  December 11 (Fitch) Fitch Ratings has affirmed Kemper Corporation's  (Kemper) holding company ratings  including the senior debt rating at 'BBB-'.  Fitch has also affirmed the Insurer Financial Strength (IFS) ratings of Kemper's  operating subsidiaries at 'A-'. The Rating Outlook is Stable. A full list of  ratings follows at the end of this press release. KEY RATING DRIVERS Kemper's ratings reflect modest but improving earnings,topStory
KKR,KKR & Co LP,20131211,KKR  Carlyle vie for optical retailer National Vision: sources ,NEW YORK KKR & Co LP  and  LP  are competing for National Vision Inc  the fourth-largest U.S. retailer of eyeglasses and contact lenses  in an auction that could fetch up to $1 billion  people familiar with the matter said this week.,topStory
KKR,KKR & Co LP,20131211,KKR  Carlyle vie for optical retailer National Vision -sources ,NEW YORK  Dec 11 KKR & Co LP and Carlyle Group LP are competing for National Vision Inc  the fourth-largest U.S. retailer of eyeglasses and contact lenses  in an auction that could fetch up to $1 billion  people familiar with the matter said this week.,normal
KT,KT Corporation,20131211,Seoul shares trapped amid pre-Fed caution; Kia  telecoms outperform ,* Institutions position as net buyers to underpin the index,topStory
LYG,Lloyds Banking Group Plc,20131211,UK watchdog fines Lloyds record $46 million for pushing sales ,LONDON Britain's financial watchdog imposed a record 28 million pound ($46 million) fine on Lloyds Banking Group for the way it encouraged staff to sell 2 billion pounds of products that customers did not need.,topStory
LYG,Lloyds Banking Group Plc,20131211,Lloyds Bank sees no material impact from sales failings ,LONDON Lloyds Banking Group said it did not expect failings in its sales practices which have been uncovered by Britain's financial regulator to have a material impact upon its earnings.,normal
LYG,Lloyds Banking Group Plc,20131211,UPDATE 2-UK watchdog fines Lloyds record 28 mln stg for pushing sales ,* Lawyers say FCA sending clear message on conduct to sector,normal
LYG,Lloyds Banking Group Plc,20131211,Lloyds Bank sees no material impact from sales failings ,LONDON  Dec 11 Lloyds Banking Group  said it did not expect failings in its sales practices which have been uncovered by Britain's financial regulator to have a material impact upon its earnings.,normal
LYG,Lloyds Banking Group Plc,20131211,UK watchdog fines Lloyds record 28 mln stg for sales failings ,LONDON  Dec 11 Britain's Financial Conduct Authority imposed a record 28 million pounds ($46.00 million) fine on Lloyds Banking Group for "serious failings" in the way it incentivised its sales team.,normal
LMT,Lockheed Martin Corporation,20131211,Norway authorizes purchase of six more F-35s ,OSLO  Dec 11 Norway's parliament authorised the government to purchase another six Lockheed Martin Corp  F-35 fighter jets for about 4 billion crowns ($654.7 million)  the parliament's foreign affairs and defence committee said on Wednesday.,topStory
LMT,Lockheed Martin Corporation,20131211,Singapore officials view F-35 jets in U.S. ahead of possible purchase ,WASHINGTON  Dec 11 Senior defense officials from Singapore got to see U.S. Marine Corps F-35 fighter jets in action on Tuesday at the Luke Air Force Base in Arizona as the Asian country mulls buying the Lockheed Martin Corp  planes  a base spokeswoman said.,normal
MGA,Magna International Inc,20131211,U.S. Archives opens new gallery with Magna Carta ,WASHINGTON The U.S. National Archives Museum opened a civil rights gallery on Wednesday  with a 13th century copy of the Magna Carta accord  considered one of the founding documents of modern government  as its centerpiece.,topStory
MGA,Magna International Inc,20131211,U.S. Archives opens new gallery with Magna Carta ,WASHINGTON  Dec 11 The U.S. National Archives Museum opened a civil rights gallery on Wednesday  with a 13th century copy of the Magna Carta accord  considered one of the founding documents of modern government  as its centerpiece.,normal
MA,Mastercard Incorporated,20131211,CORRECTED-UPDATE 1-MasterCard to split shares; raises dividend by 83 pct ,(Corrects paragraph 1 to say the stock split was 10-for-1  not 1-for-10),topStory
MA,Mastercard Incorporated,20131211,CORRECTED-MasterCard raises dividend by 83 pct  shares rise ,(Corrects paragraph 2 to say the stock split was 10-for-1  not 1-for-10),normal
MA,Mastercard Incorporated,20131211,BRIEF-MasterCard up 4.1 percent premarket; to split shares  boost dividend and repurchase stock ,NEW YORK  Dec 11 MasterCard Inc :  * Up 4.1 percent to $794.90in premarket; announced 10-for-one stock split  new $3.5 billion share repurchase plan and 83 percent stock dividend increase,normal
MCK,McKesson Corporation,20131211,Celesio says recommends offer from McKesson ,FRANKFURT German drugs wholesaler Celesio  said its supervisory and management board recommended shareholders accept the $8.3 billion takeover offer from McKesson Corp.  and viewed the price as fair  a day after a shareholder called for a higher offer.,topStory
MCK,McKesson Corporation,20131211,Celesio says recommends offer from McKesson ,FRANKFURT  Dec 11 German drugs wholesaler Celesio said its supervisory and management board recommended shareholders accept the $8.3 billion takeover offer from McKesson Corp. and viewed the price as fair  a day after a shareholder called for a higher offer.,normal
MRK,Merck & Company Inc,20131211,US FDA panel backs allergy drug of France's Stallergenes ,Dec 11 An oral immunotherapy drug for treating grass pollen allergies was backed by an independent advisory panel to the U.S. Food and Drug Administration on Wednesday.,normal
MS,Morgan Stanley,20131211,Exclusive: As Fed looms  Morgan Stanley sets sale of U.S. oil terminal business ,NEW YORK Morgan Stanley  has launched a formal effort to sell its controlling stake in U.S. oil terminal and transport business TransMontaigne  four sources said on Wednesday  following other Wall Street powerhouses in yielding to intense regulatory pressure to get out of commodity investments.,topStory
MS,Morgan Stanley,20131211,Factbox: Morgan Stanley's TransMontaigne - What they own  what they do ,LONDON Morgan Stanley  has launched a formal effort to sell control of its U.S. oil pipeline and terminal business TransMontaigne  sources said on Wednesday.,normal
NYT,New York Times Company (The),20131211,Exclusive: As Fed looms  Morgan Stanley sets sale of U.S. oil terminal business ,NEW YORK Morgan Stanley  has launched a formal effort to sell its controlling stake in U.S. oil terminal and transport business TransMontaigne  four sources said on Wednesday  following other Wall Street powerhouses in yielding to intense regulatory pressure to get out of commodity investments.,topStory
ORAN,Orange,20131211,Video site Dailymotion working on partnerships in U.S. and Asia ,PARIS Video-sharing website Dailymotion  owned by French telecoms operator Orange  is close to signing a partnership in the United States and is working on another in Asia to help it to take on market leader YouTube.,topStory
ORAN,Orange,20131211,Video site Dailymotion working on partnerships in U.S. and Asia ,PARIS  Dec 11 Video-sharing website Dailymotion  owned by French telecoms operator Orange  is close to signing a partnership in the United States and is working on another in Asia to help it to take on market leader YouTube .,normal
DGX,Quest Diagnostics Incorporated,20131211,US STOCKS-Fed taper anxiety triggers profit taking on Wall St ,* LabCorp tumbles after outlook  Quest Diagnostics follows,topStory
RIO,Rio Tinto Plc,20131211,Rio targets debt reduction in 2014 as costs come down ,LONDON Global mining company Rio Tinto  told investors it would prioritize cutting its debt burden in 2014 before returning cash to shareholders  pressing ahead with cost reductions that have already exceeded a $2 billion 2013 target.,topStory
RIO,Rio Tinto Plc,20131211,Rio Tinto says has already exceeded 2013 cost saving target ,LONDON Global mining company Rio Tinto  told investors on Wednesday that it had already last month exceeded its 2013 target of cutting $2 billion of operating costs.,normal
RIO,Rio Tinto Plc,20131211,COLUMN-Investors may be buying BHP  Rio cost-cutting story: Clyde Russell ,LAUNCESTON  Australia  Dec 11 It's taken some time but there are signs that the cost-cutting efforts by major commodity producers such as BHP Billiton and Rio Tinto are starting to convince investors.,normal
COL,Rockwell Collins Inc,20131211,Fitch Rates Rockwell Collins' Proposed Senior Unsecured Notes 'A(EXP)' ,(The following statement was released by the rating agency) NEW YORK  December 11 (Fitch) Fitch Ratings has assigned Rockwell Collins   Inc.'s (COL) proposed $1.1 billion floating and fixed senior unsecured notes  maturing in 2016  2023 and 2043 a rating of 'A(EXP)'. COL plans to issue the  notes to partially fund the acquisition of ARINC Inc.  (Arinc) from the Carlyle  Group for approximately $1.4 billion. COL's full rating list follows at the end  of this release. The Rating Outlook is Negativ,topStory
RCI,Rogers Communication Inc,20131211,FEATURE-In Arkansas  crucial Obamacare hub draws little notice ,ROGERS  Ark.  Dec 11 In an unmarked building on the outskirts of this old railroad town  hundreds of workers are going about the unglamorous work of expanding the United States' social safety net.,topStory
RBS,Royal Bank Scotland plc (The),20131211,MOVES-Royal Bank of Scotland Franklin Templeton  BNY Mellon  T. Rowe Price ,Dec 11 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
RBS,Royal Bank Scotland plc (The),20131211,RBS to pay $100 million in U.S. sanctions probe ,WASHINGTON Royal Bank of Scotland Group Plc  will pay $100 million to resolve U.S. probes into the bank's dealings with Sudan  Iran  and other sanctioned countries  U.S. authorities said on Wednesday.,normal
RBS,Royal Bank Scotland plc (The),20131211,RBS finance chief's exit gives CEO another headache ,LONDON Royal Bank of Scotland  chief Ross McEwan faced a fresh management headache on Wednesday as the surprise departure of Finance Director Nathan Bostock created a senior vacancy as the group attempts to navigate through a period of upheaval. | Video ,normal
RBS,Royal Bank Scotland plc (The),20131211,UPDATE 4-RBS finance chief's exit gives CEO another headache ,* To be chief risk officer and deputy CEO of Santander UK,normal
RBS,Royal Bank Scotland plc (The),20131211,Weaker bank and mining stocks peg back UK's FTSE 100 ,LONDON  Dec 11 Britain's benchmark equity index failed to make much headway on Wednesday  as weaker bank and mining stocks pegged back the stock market.,normal
RBS,Royal Bank Scotland plc (The),20131211,European shares steady  RBS drops ,* Charts bearish for Euro STOXX 50; 2 953 seen as support,normal
RBS,Royal Bank Scotland plc (The),20131211,RBS finance chief Bostock quits to join Santander UK ,Royal Bank of Scotland  said its Finance Director Nathan Bostock will leave to rejoin Spanish bank Santander  after just 10 weeks in the job  dealing a blow to the state-backed lender's turnaround efforts.,normal
RBS,Royal Bank Scotland plc (The),20131211,RBS leads European shares lower as executive leaves ,LONDON  Dec 11 European shares edged lower at the open on Wednesday  led by Royal Bank of Scotland  which slipped after a high-profile executive departure  as uncertainty over the U.S. monetary policy curbed demand.,normal
SNY,Sanofi,20131211,Sanofi Gaucher pill application gets priority FDA review ,PARIS French drugmaker Sanofi said U.S. authorities had decided to carry out a priority review of its experimental pill for patients with Gaucher disease.,topStory
SNY,Sanofi,20131211,UPDATE 1-Sanofi Gaucher pill application gets priority FDA review ,* Priority review status means FDA decision within 10 mths,normal
SNY,Sanofi,20131211,Sanofi Gaucher pill application gets priority FDA review ,PARIS  Dec 11 French drugmaker Sanofi  said the U.S. Food and Drug Administration (FDA) has granted a six-month priority review status for its application for eliglustat  an experimental oral treatment for patients with Gaucher disease.,normal
SKM,SK Telecom Co Ltd,20131211,Seoul shares trapped amid pre-Fed caution; Kia  telecoms outperform ,* Institutions position as net buyers to underpin the index,topStory
SNE,Sony Corp Ord,20131211,Microsoft says Xbox One global sales top 2 million ,SAN FRANCISCO Microsoft Corp has sold more than 2 million Xbox One video game consoles since its November 22 launch  catching up with rival Sony Corp's PlayStation 4 released a week earlier.,topStory
SNE,Sony Corp Ord,20131211,UPDATE 1-Microsoft says Xbox One global sales top 2 million ,SAN FRANCISCO  Dec 11 Microsoft Corp  has sold more than 2 million Xbox One video game consoles since its Nov. 22 launch  catching up with rival Sony Corp's  PlayStation 4 released a week earlier.,normal
SNE,Sony Corp Ord,20131211,BBC appoints former Sony boss as embarks on management revamp ,LONDON  Dec 11 After a year of turbulence  the BBC unveiled plans for a management shake-up on Wednesday to help restore confidence in Britain's publicly funded broadcaster  starting with the appointment of ex-Sony CEO and CBS president Howard Stringer.,normal
SNE,Sony Corp Ord,20131211,Microsoft says Xbox One global sales top 2 million units ,SAN FRANCISCO  Dec 11 Microsoft Corp  has sold more than 2 million Xbox One video game consoles since its Nov. 22 launch  catching up with rival Sony Corp's  PlayStation 4 released a week earlier.,normal
LUV,Southwest Airlines Company,20131211,Southwest Air to bid aggressively for Reagan National slots ,Southwest Airlines Co  plans to bid aggressively for takeoff and landing rights at Reagan National Airport near Washington  as it looks to bring more competition to the nation's capital  a senior company executive said.,topStory
LUV,Southwest Airlines Company,20131211,Southwest Air to bid aggressively for Reagan National slots ,Dec 11 Southwest Airlines Co plans to bid aggressively for takeoff and landing rights at Reagan National Airport near Washington  as it looks to bring more competition to the nation's capital  a senior company executive said.,normal
GCI,TEGNA Inc,20131211,Gannett to add USA Today pages to its local newspapers ,USA Today  nicknamed "The Nation's Newspaper " is getting local.,topStory
GCI,TEGNA Inc,20131211,Gannett to add USA Today pages to its local newspapers ,Dec 11 USA Today  nicknamed "The Nation's Newspaper " is getting local.,normal
TI,Telecom Italia SPA,20131211,Regulator likely to fine Telecom Italia over bond deal: sources ,MILAN Italy's market watchdog Consob is likely to fine Telecom Italia for procedural irregularities over the sale of a 1.3 billion euro ($1.79 billion) convertible bond to Telefonica and other investors  legal sources familiar with the matter said.,topStory
TI,Telecom Italia SPA,20131211,Regulator likely to fine Telecom Italia over bond deal- sources ,MILAN  Dec 11 Italy's market watchdog Consob is likely to fine Telecom Italia for procedural irregularities over the sale of a 1.3 billion euro ($1.79 billion) convertible bond to Telefonica and other investors  legal sources familiar with the matter said.,normal
TEF,Telefonica SA,20131211,Regulator likely to fine Telecom Italia over bond deal: sources ,MILAN Italy's market watchdog Consob is likely to fine Telecom Italia for procedural irregularities over the sale of a 1.3 billion euro ($1.79 billion) convertible bond to Telefonica and other investors  legal sources familiar with the matter said.,topStory
TEF,Telefonica SA,20131211,Regulator likely to fine Telecom Italia over bond deal- sources ,MILAN  Dec 11 Italy's market watchdog Consob is likely to fine Telecom Italia for procedural irregularities over the sale of a 1.3 billion euro ($1.79 billion) convertible bond to Telefonica and other investors  legal sources familiar with the matter said.,normal
TWX,Time Warner Inc,20131211,Weinstein brothers sue Time Warner over 'Hobbit' films ,NEW YORK Movie producers Bob and Harvey Weinstein have sued Time Warner Inc for at least $75 million over its decision to divide the screen adaptation of J.R.R. Tolkien's book "The Hobbit" into three parts  and refusing to pay them for the second and third films.,topStory
TWX,Time Warner Inc,20131211,Fitch Rates Time Warner's Proposed $1B Notes 'BBB+'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  December 11 (Fitch) Fitch Ratings has assigned a 'BBB+' rating to Time  Warner Inc.'s (Time Warner) proposed issuance of $1 billion of 10- and 30-year  notes and debentures. The proceeds are expected to be used for general corporate  purposes. Fitch has a 'BBB+' IDR for Time Warner with a Stable Outlook. A full  list of ratings appears at the end of this release.  The issuance is consistent with Fitch's expectation that over th,normal
TWX,Time Warner Inc,20131211,Weinstein brothers sue Time Warner over 'Hobbit' films ,NEW YORK  Dec 11 Movie producers Bob and Harvey Weinstein have sued Time Warner Inc for at least $75 million over its decision to divide the screen adaptation of J.R.R. Tolkien's book "The Hobbit" into three parts  and refusing to pay them for the second and third films.,normal
TM,Toyota Motor Corp Ltd Ord,20131211,GM to halt car production in Australia  industry in crisis ,SYDNEY/MELBOURNE General Motors Co  said it would stop making cars in Australia by 2017 due to high costs and a cripplingly strong currency  fuelling fears rival Toyota Motor Corp  will follow suit and put the entire local autos industry at risk. | Video ,topStory
TM,Toyota Motor Corp Ltd Ord,20131211,UPDATE 3-GM to halt car production in Australia  industry in crisis ,* GM says closure of vehicle  engine plants to affect 2 900 jobs,normal
TM,Toyota Motor Corp Ltd Ord,20131211,Toyota likely to quit Australia production after GM exits: union official ,SYDNEY Toyota Motor Corp is likely to close its production in Australia  after General Motors Co said it would end vehicle and engine manufacturing in the country by the end of 2017  an Australian labor union official said on Wednesday.,normal
TM,Toyota Motor Corp Ltd Ord,20131211,Toyota likely to quit Australia production after GM exits - union official ,SYDNEY  Dec 11 Toyota Motor Corp is likely to close its production in Australia  after General Motors Co said it would end vehicle and engine manufacturing in the country by the end of 2017  an Australian labour union official said on Wednesday.,normal
TM,Toyota Motor Corp Ltd Ord,20131211,REFILE-Facing gridlock  Jakarta takes aim at cheap  green car drive ,* President encourages cheap  green cars as good for economy,normal
TLP,TransMontaigne Partners LP,20131211,Exclusive: As Fed looms  Morgan Stanley sets sale of U.S. oil terminal business ,NEW YORK Morgan Stanley  has launched a formal effort to sell its controlling stake in U.S. oil terminal and transport business TransMontaigne  four sources said on Wednesday  following other Wall Street powerhouses in yielding to intense regulatory pressure to get out of commodity investments.,topStory
TWTR,Twitter Inc,20131211,Former President George H.W. Bush joins Twitter ,George H.W. Bush has joined Twitter and in his first tweet the former U.S. president said he wished he could have attended the memorial service for Nelson Mandela in South Africa.,topStory
TWTR,Twitter Inc,20131211,Former President George H.W. Bush joins Twitter ,Dec 11 George H.W. Bush has joined Twitter and in his first tweet the former U.S. president said he wished he could have attended the memorial service for Nelson Mandela in South Africa.,normal
TWTR,Twitter Inc,20131211,RPT-US STOCKS-Wall St dips as investors mull Fed tapering after budget deal ,NEW YORK  Dec 11 Wall Street fell modestly on Wednesday as investors weighed the possibility of a wind-down of U.S. Federal Reserve stimulus in the wake of a provisional budget deal reached in Wahington.,normal
TWTR,Twitter Inc,20131211,US STOCKS-Wall St dips as investors mull Fed tapering after budget deal ,NEW YORK  Dec 11 Wall Street fell modestly on Wednesday as investors weighed the possibility of a wind-down of U.S. Federal Reserve stimulus in the wake of a provisional budget deal reached in Wahington.,normal
UNH,UnitedHealth Group Incorporated,20131211,U.S. health secretary calls for probe of Obamacare website launch ,WASHINGTON U.S. Health and Human Services Secretary Kathleen Sebelius on Wednesday asked the department's inspector general to investigate the performance of private contractors in the flawed launch of the Obamacare website.,normal
UNH,UnitedHealth Group Incorporated,20131211,UPDATE 1-U.S. health secretary calls for probe of Obamacare website launch ,WASHINGTON  Dec 11 U.S. Health and Human Services Secretary Kathleen Sebelius on Wednesday asked the department's inspector general to investigate the performance of private contractors in the flawed launch of the Obamacare website.,normal
VZ,Verizon Communications Inc,20131211,Verizon takes hard line on surveillance vote: activists ,BOSTON Verizon Communications Inc told activists it may skip a vote on a shareholder proposal that seeks details on the company's cooperation with government surveillance efforts.,topStory
VZ,Verizon Communications Inc,20131211,Verizon takes hard line on surveillance vote-activists ,BOSTON  Dec 11 Verizon Communications Inc  told activists it may skip a vote on a shareholder proposal that seeks details on the company's cooperation with government surveillance efforts.,normal
VZA,Verizon Communications Inc,20131211,Verizon takes hard line on surveillance vote: activists ,BOSTON Verizon Communications Inc told activists it may skip a vote on a shareholder proposal that seeks details on the company's cooperation with government surveillance efforts.,topStory
VZA,Verizon Communications Inc,20131211,Verizon takes hard line on surveillance vote-activists ,BOSTON  Dec 11 Verizon Communications Inc  told activists it may skip a vote on a shareholder proposal that seeks details on the company's cooperation with government surveillance efforts.,normal
WMT,Wal-Mart Stores Inc,20131211,Microsoft says Xbox One global sales top 2 million ,SAN FRANCISCO Microsoft Corp has sold more than 2 million Xbox One video game consoles since its November 22 launch  catching up with rival Sony Corp's PlayStation 4 released a week earlier.,topStory
WMT,Wal-Mart Stores Inc,20131211,PRESS DIGEST- British Business - Dec 11 ,Dec 11 The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
DIS,Walt Disney Company (The),20131211,'Saving Mr. Banks' rescues the complex mind behind 'Mary Poppins' ,BURBANK  California In the leafy  idyllic setting that is the Disney Studios lot  author P.L. Travers made life hell for writers and composers and Walt Disney himself in a movie that portrays her as a withering  brick wall  toxic nightmare of a woman.,topStory
DIS,Walt Disney Company (The),20131211,'Saving Mr. Banks' rescues the complex mind behind 'Mary Poppins' ,BURBANK  Calif.  Dec 11 In the leafy  idyllic setting that is the Disney Studios lot  author P.L. Travers made life hell for writers and composers and Walt Disney himself in a movie that portrays her as a withering  brick wall  toxic nightmare of a woman.,normal
WFC,Wells Fargo & Company,20131211,BRIEF-Groupon up 2.9 percent premarket; Wells Fargo raises to outperform rating ,NEW YORK  Dec 11 Groupon Inc :  * Up 2.9 percent to $10.33 in premarket; Wells Fargo raises to outperform rating,topStory
ZTS,Zoetis Inc,20131211,FDA official says Zoetis  Eli Lilly support antibiotic strategy ,Animal health companies Zoetis Inc and Eli Lilly & Co support the U.S. Food and Drug Administration's new voluntary phase-out of antibiotic use in animal production  the agency said during a conference call with reporters.,topStory
ZTS,Zoetis Inc,20131211,UPDATE 3-New U.S. FDA rules aim to cut antibiotic use in farm animals ,Dec 11 In a bid to stem a surge in human resistance to certain antibiotics  U.S. regulators announced new guidelines to phase out their use as a growth enhancer in livestock.,normal
ZTS,Zoetis Inc,20131211,FDA official says Zoetis  Eli Lilly support antibiotic strategy ,Dec 11 Animal health companies Zoetis Inc  and Eli Lilly & Co support the U.S. Food and Drug Administration's new voluntary phase-out of antibiotic use in animal production  the agency said during a conference call with reporters.,normal
