ATVI,Activision Blizzard Inc,20130801,Activision CEO says 'business as usual' after buyback deal ,SAN FRANCISCO Activision Blizzard Inc will conduct "business as usual" for now while it explores growth and acquisition opportunities  the video game publisher's CEO said on Thursday after sealing a deal last week to buy back most of parent company Vivendi's stake for more than $8 billion.,topStory
GIL,Gildan Activewear Inc,20130801,UPDATE 1-Gildan profit jumps as cotton prices decline ,* Branded apparel sales  lower cotton prices boost results,topStory
GIL,Gildan Activewear Inc,20130801,Gildan's profit rises 47 pct as cotton prices decline ,August 1 Canadian apparel maker Gildan Activewear Inc reported a  47 percent jump in third-quarter profit  helped by lower cotton prices and higher sales volume.,normal
GSK,GlaxoSmithKline PLC,20130801,Drugmakers fear short-term 'turmoil' as China probes widen ,LONDON/PARIS Chinese authorities visited a regional office of French drugmaker Sanofi this week in the latest sign of a widening investigation into Western drugmakers.,topStory
GS,Goldman Sachs Group Inc (The),20130801,SEC wins as ex-Goldman executive Tourre found liable for fraud ,NEW YORK A jury found former Goldman Sachs Group Inc vice president Fabrice Tourre liable for fraud for his role in a failed mortgage deal that cost investors $1 billion  in a big victory for the U.S. Securities and Exchange Commission.,topStory
GS,Goldman Sachs Group Inc (The),20130801,UPDATE 4-SEC wins as ex-Goldman executive Tourre found liable for fraud ,NEW YORK  Aug 1 A jury found former Goldman Sachs Group Inc vice president Fabrice Tourre liable for fraud for his role in a failed mortgage deal that cost investors $1 billion  in a big victory for the U.S. Securities and Exchange Commission.,normal
GS,Goldman Sachs Group Inc (The),20130801,UPDATE 2-Goldman's aluminium offer may soothe but leave costs high ,LONDON  Aug 1 Goldman Sachs' olive branch to beleaguered metals customers will do little to help bring down the high cost of securing aluminium  but even critics praised the proposal as a smart move to placate regulators and silence complaints.,normal
GS,Goldman Sachs Group Inc (The),20130801,Jury rules against ex-Goldman employee Tourre in SEC trial ,NEW YORK  Aug 1 Former Goldman Sachs Group Inc  vice president Fabrice Tourre was found liable for federal securities law violations on Thursday for his role in a complex mortgage deal that cost investors $1 billion when it failed.,normal
GS,Goldman Sachs Group Inc (The),20130801,Jurors ask questions in fraud trial of ex-Goldman VP Tourre ,NEW YORK  Aug 1 Jurors considering the fate of Fabrice Tourre sought clarity Thursday on two of the lesser charges facing the former Goldman Sachs Group Inc vice president.,normal
GS,Goldman Sachs Group Inc (The),20130801,RPT-WRAPUP 1-Goldman blinks but no relief for Wall Street's commodity traders ,NEW YORK/LONDON  Aug 1 Goldman Sachs'  effort to diffuse intensifying pressure over its commodity business by throwing open its metal warehouse doors likely comes too late to head off further scrutiny of Wall Street's commodity trade.,normal
GS,Goldman Sachs Group Inc (The),20130801,Goldman blinks but no relief for Wall Street's commodity traders ,NEW YORK/LONDON Goldman Sachs'  effort to diffuse intensifying pressure over its commodity business by throwing open its metal warehouse doors likely comes too late to head off further scrutiny of Wall Street's commodity trade.,normal
GS,Goldman Sachs Group Inc (The),20130801,WRAPUP 1-Goldman blinks but no relief for Wall Street's commodity traders ,NEW YORK/LONDON  Aug 1 Goldman Sachs'  effort to diffuse intensifying pressure over its commodity business by throwing open its metal warehouse doors likely comes too late to head off further scrutiny of Wall Street's commodity trade.,normal
TV,Grupo Televisa SA,20130801,UPDATE 1-Mexico's Televisa seeks to acquire control of cable firm ,MEXICO CITY  Aug 1 Mexico's top broadcaster Televisa on Thursday said it paid 7 billion pesos ($545 million) in seeking to acquire a controlling stake in Mexican cable company Cablecom.,topStory
TV,Grupo Televisa SA,20130801,Mexico's Televisa says acquires control of cable firm ,MEXICO CITY  Aug 1 Mexico's top broadcaster Televisa on Thursday said it paid 7 billion pesos ($545 million) to acquire a controlling stake in Mexican cable company Cablecom.,normal
HMC,Honda Motor Company Ltd,20130801,Toyota  nearing record profit  slows in Southeast Asia ,TOKYO  Aug 2 Toyota Motor Corp's  slower-than-expected growth in Southeast Asia  its third biggest regional market  is becoming a headache as the world's best-selling carmaker closes on its six-year-old profit record.,normal
JCP,JC Penney Company Inc Holding Company,20130801,Macy's  JC Penney  Martha Stewart wrap up lawsuit arguments ,NEW YORK  Aug 1 Macy's Inc told a judge on Thursday that J.C. Penney Co should be barred from selling certain home goods designed by celebrity trendsetter Martha Stewart  and Penney and Martha Stewart Living Omnimedia  also delivered closing arguments in a long-running lawsuit.,topStory
JCP,JC Penney Company Inc Holding Company,20130801,Penney says CIT still funding vendors; others keep same terms ,J.C. Penney Co Inc  said on Thursday that commercial lender CIT Group Inc  continued to support deliveries from suppliers  and claimed reports to the contrary were untrue.,normal
JCP,JC Penney Company Inc Holding Company,20130801,UPDATE 2-Penney says CIT still funding vendors; others keep same terms , ,normal
JCP,JC Penney Company Inc Holding Company,20130801,Macy  Penney to wrap up trial on Martha Stewart home goods dispute ,NEW YORK A New York state judge could decide as soon as Thursday whether J.C. Penney Co Inc  can sell certain Martha Stewart-branded home goods despite rival Macy's Inc's  exclusive deal with the doyenne of U.S. home decor.,normal
JCP,JC Penney Company Inc Holding Company,20130801,Macy  Penney to wrap up trial on Martha Stewart home goods dispute ,NEW YORK  August 1 A New York state judge could decide as soon as Thursday whether J.C. Penney Co Inc  can sell certain Martha Stewart-branded home goods despite rival Macy's Inc's exclusive deal with the doyenne of U.S. home decor.,normal
K,Kellogg Company,20130801,Kellogg trims sales view on weaker U.S. demand ,Food company Kellogg Co  trimmed its 2013 sales forecast on Thursday  citing weaker demand in the United States and the stronger dollar.,topStory
K,Kellogg Company,20130801,CORRECTED-UPDATE 1-Kellogg trims sales view on slower U.S. market ,(Corrects to 'stronger dollar' from 'weaker dollar' in 6th paragraph),normal
K,Kellogg Company,20130801,Kellogg reports higher second-quarter profit ,Aug 1 Kellogg Co reported higher second-quarter earnings on Thursday  helped by acquisitions.,normal
KSS,Kohl&#39;s Corporation,20130801,Germany's Kohl sought to repatriate Turks 30 years ago: report ,BERLIN Former Chancellor Helmut Kohl discussed a secret plan with Margaret Thatcher in 1982 to reduce the number of Turks living in West Germany by 50 percent  according to recently released British documents cited by Spiegel Online in Germany.,topStory
LYG,Lloyds Banking Group Plc,20130801,Lloyds ready for UK government sale as turnaround speeds up ,LONDON Britain could soon start selling its stake in Lloyds Banking Group  after the country's largest retail bank accelerated a turnaround and flagged a return to payouts for shareholders. | Video ,topStory
LYG,Lloyds Banking Group Plc,20130801,UPDATE 3-Lloyds ready for UK government sale as turnaround speeds up ,* Lloyds confident on capital  raises profit margin guidance,normal
LYG,Lloyds Banking Group Plc,20130801,Lloyds ready for government sale as turnaround speeds up ,LONDON Lloyds  accelerated its turnaround campaign and flagged a revival of payouts to shareholders on Thursday  paving the way for the government to start selling its stake in Britain's largest retail bank soon. | Video ,normal
LYG,Lloyds Banking Group Plc,20130801,BRIEF-Lloyds shares up 4.6 pct on margins  costs  dividend plans ,Aug 1 Lloyds Banking Group PLC :  * Shares up 4.6 percent after bank accelerates targets on margins  costs  aims,normal
M,Macy&#39;s Inc,20130801,Macy's  JC Penney  Martha Stewart wrap up lawsuit arguments ,NEW YORK  Aug 1 Macy's Inc told a judge on Thursday that J.C. Penney Co should be barred from selling certain home goods designed by celebrity trendsetter Martha Stewart  and Penney and Martha Stewart Living Omnimedia  also delivered closing arguments in a long-running lawsuit.,topStory
M,Macy&#39;s Inc,20130801,Macy  Penney to wrap up trial on Martha Stewart home goods dispute ,NEW YORK A New York state judge could decide as soon as Thursday whether J.C. Penney Co Inc  can sell certain Martha Stewart-branded home goods despite rival Macy's Inc's  exclusive deal with the doyenne of U.S. home decor.,normal
M,Macy&#39;s Inc,20130801,Macy  Penney to wrap up trial on Martha Stewart home goods dispute ,NEW YORK  August 1 A New York state judge could decide as soon as Thursday whether J.C. Penney Co Inc  can sell certain Martha Stewart-branded home goods despite rival Macy's Inc's exclusive deal with the doyenne of U.S. home decor.,normal
MMP,Magellan Midstream Partners LP,20130801,Magellan sees 'high probability' of expanding Longhorn pipeline ,HOUSTON  Aug 1 Magellan Midstream Partners LP  sees a "high probability" of expanding its Longhorn crude oil pipeline  which is ramping up volumes of West Texas crude shipped to Houston-area refineries  Chief Executive Mike Mears told analysts on Thursday.,topStory
MRO,Marathon Oil Corporation,20130801,U.S. Steel considering its options after Lake Erie Works vote ,Aug 1 United States Steel Corp is mulling its next steps after losing a key contract vote at the Lake Erie works in Canada  where a three-month lockout has halted raw steel production.,topStory
MRO,Marathon Oil Corporation,20130801,UPDATE 1-U.S. Steel's locked-out Canada workers reject contract proposal ,TORONTO  July 31 Workers locked out at United States Steel Corp's Lake Erie works in Canada have voted to reject the steelmaker's contract proposal  their union said on Wednesday.,normal
MPC,Marathon Petroleum Corporation,20130801,U.S. refiners expect margins to recover if crude discounts widen ,Marathon Petroleum Corp  and rival U.S. oil refiners are betting on new pipelines and higher volumes to win back margins lost to the price shocks that led many to record lower quarterly profits.,topStory
MPC,Marathon Petroleum Corporation,20130801,UPDATE 2-U.S. refiners expect margins to recover if crude discounts widen ,* Marathon Petroleum  Western Refining and PBF Energy see margins shrink,normal
MPC,Marathon Petroleum Corporation,20130801,High crude costs weigh on Marathon Petroleum's profit ,Aug 1 Marathon Petroleum Corp  the third-largest standalone U.S. refiner  reported a lower quarterly profit due to higher costs of the crude oil it processes.,normal
MTL,Mechel PAO,20130801,UPDATE 1-Mechel sells ferroalloy assets to Yildirim for $425 mln ,* Sells Kazakh  Russian chrome ore  ferrochrome assets to Yildirim,topStory
MON,Monsanto Company,20130801,French court overturns ban on Monsanto GMO maize ,PARIS  Aug 1 France's highest administrative court rejected on Thursday a government ban on growing Monsanto's MON810 genetically modified maize (corn).,topStory
MSI,Motorola Solutions Inc,20130801,Google bets customization will be Moto's X-factor ,NEW YORK/SAN FRANCISCO Motorola on Thursday unveiled a new smartphone that consumers can personalize with a choice of colors and materials  hoping to stand out in a crowded market and justify the $12.5 billion that Google Inc paid for the ailing handset maker.,topStory
MSI,Motorola Solutions Inc,20130801,Google bets on custom colors with first flagship Moto X phone ,NEW YORK/SAN FRANCISCO  Aug 1 Motorola on Thursday unveiled its highly anticipated Moto X smartphone  which will be customizable with different colors for AT&T customers and marks the cellphone maker's first flagship device since Google Inc bought the company in 2012.,normal
NYT,New York Times Company (The),20130801,UPDATE 3-New York Times Co revenue slips on advertising decline ,Aug 1 New York Times Co's second-quarter revenue fell almost 1 percent as gains in subscriptions to its flagship and other newspapers could not offset declines in advertising.,topStory
PBF,PBF Energy Inc,20130801,UPDATE 2-U.S. refiners expect margins to recover if crude discounts widen ,* Marathon Petroleum  Western Refining and PBF Energy see margins shrink,topStory
PBF,PBF Energy Inc,20130801,PBF Energy says can't absorb rising RIN costs  consumers to pay ,HOUSTON  Aug 1 Independent U.S. refiner PBF Energy's costs of ethanol credits  or RINs  more than doubled in the second quarter and consumers are starting to see those costs at the pump because the industry cannot absorb them  Chairman Tom O'Malley told analysts on Thursday.,normal
PKI,PerkinElmer Inc,20130801,PerkinElmer lower profit exceeds Street expectations ,PerkinElmer Inc  on Thursday reported lower second-quarter earnings that exceeded tempered expectations after Wall Street had been caught off guard by a disappointing first quarter.,topStory
PKI,PerkinElmer Inc,20130801,PerkinElmer lower second quarter profit exceeds Street expectations ,PerkinElmer Inc  on Thursday reported lower second-quarter profit that exceeded tempered expectations after Wall Street had been caught off guard by a disappointing first quarter.,normal
PXD,Pioneer Natural Resources Company,20130801,US STOCKS-Dow  S&P 500 end at highs after data  stimulus in place ,NEW YORK  Aug 1 The Dow and S&P 500 hit record closing highs on Thursday  with the S&P 500 topping 1 700 after strong data on factory growth and as major central banks said they would keep monetary stimulus in place.,topStory
PXD,Pioneer Natural Resources Company,20130801,CORRECTED-US STOCKS-Dow  S&P 500 end at new highs after data  stimulus in place ,(Corrects first paragraph to say manufacturing  not service growth),normal
PXD,Pioneer Natural Resources Company,20130801,US STOCKS-Wall St jumps on data; S&P 500 above 1 700 ,NEW YORK  Aug 1 U.S. stocks jumped on Thursday  pushing the S&P 500 above 1 700 for the first time  as data suggested the economy is still improving and as the Federal Reserve kept its stimulus plan in place.,normal
PXD,Pioneer Natural Resources Company,20130801,US STOCKS-Wall Street climbs on data  central bank support ,* All 10 S&P 500 sectors higher  financials leading gains,normal
PXD,Pioneer Natural Resources Company,20130801,US STOCKS-S&P surpasses 1 700 on data  central bank support ,* All 10 S&P 500 sectors higher  financials leading gains,normal
PG,Procter & Gamble Company (The),20130801,P&G appears back on track with CEO Lafley's return ,Procter & Gamble Co  forecast a slightly more upbeat 2014 than expected on Thursday as Chief Executive A.G. Lafley tries to get the world's largest household products maker back on track without sacrificing profitability. | Video ,topStory
PG,Procter & Gamble Company (The),20130801,UPDATE 3-P&G appears back on track with CEO Lafley's return ,Aug 1 Procter & Gamble Co forecast a slightly more upbeat 2014 than expected on Thursday as Chief Executive A.G. Lafley tries to get the world's largest household products maker back on track without sacrificing profitability.,normal
PG,Procter & Gamble Company (The),20130801,US STOCKS SNAPSHOT-Wall Street extends gains  S&P up 1 pct ,NEW YORK  Aug 1 U.S. stocks extended their gains on Thursday  with the S&P 500 briefly rising 1 percent as data from around the world pointed to improving economic conditions and Procter & Gamble reported strong results.,normal
PG,Procter & Gamble Company (The),20130801,US STOCKS-China  Europe manufacturing data help lift futures ,NEW YORK  Aug 1 U.S. stock index futures rose on Thursday  after economic data in Europe and China boosted hopes for the global economy and kept alive expectations for continued economic support from global central banks.,normal
PG,Procter & Gamble Company (The),20130801,Procter & Gamble profit skids ,Aug 1 Procter & Gamble Co posted a nearly 50 percent drop in net income on Thursday  its first results since bringing veteran Chief Executive Officer A.G. Lafley back in May to run the world's largest household products maker.,normal
RBS,Royal Bank Scotland plc (The),20130801,RBS to name its retail bank boss McEwan as new CEO: source ,LONDON Royal Bank of Scotland (RBS)  will name Ross McEwan as its chief executive  a year after he arrived to run its retail bank  once it gets the go-ahead from regulators at the Bank of England (BoE)  a person familiar with the matter said.,topStory
SNY,Sanofi,20130801,Sanofi cuts 2013 goal  authorities visit China office ,PARIS Sanofi SA  cut its 2013 earnings forecast as it reported a steeper-than-expected drop in second-quarter profit  hit by the effect of patent losses  currency fluctuations and an inventory setback in Brazil.,topStory
SNY,Sanofi,20130801,UPDATE 2-Sanofi cuts 2013 goal  authorities visit China office ,* Shares down 6.2 percent   (Adds details  CEO comments  background),normal
SNY,Sanofi,20130801,BRIEF-Sanofi opens 5.8 pct lower on Q2  2013 target cut ,PARIS  Aug 1 Sanofi SA :  * opens 5.8 percent lower on Q2 earnings miss  2013 target cut  China probe,normal
SNY,Sanofi,20130801,Sanofi CEO says authorities visit China office ,PARIS Sanofi  said one of its regional offices in China has been visited by the State Administration for Industry and Commerce in Shenyang as part of a probe into a bribery scandal that has involved other Western drugmakers.,normal
SNY,Sanofi,20130801,Sanofi CEO says authorities visit China office ,PARIS  Aug 1 Sanofi said one of its regional offices in China has been visited by the State Administration for Industry and Commerce in Shenyang as part of a probe into a bribery scandal that has involved other Western drugmakers.,normal
SNN,Smith & Nephew SNATS Inc,20130801,S&N looks to new knee product to regain market share ,LONDON Artificial knee and hip maker Smith & Nephew Plc sees new products backed by a television ad campaign boosting its reconstructive surgery business after a weak second quarter for the unit.,topStory
SNN,Smith & Nephew SNATS Inc,20130801,BRIEF-Smith and Nephew CEO remains pessimistic on Europe ,Aug 1 Smith & Nephew PLC :  * CEO says doesn't expect any recovery in Europe in second half  * CEO says he believes company is at the bottom of the cycle in reconstruction ,normal
SNN,Smith & Nephew SNATS Inc,20130801,Smith & Nephew maintains outlook on wound management strength ,LONDON  Aug 1 Artificial knee and hip maker Smith & Nephew reported trading profit of $232 million on Thursday  up 1 percent on an underlying basis  as strength in its advanced wound management unit offset a weak performance in orthopaedic reconstruction.,normal
SNE,Sony Corp Ord,20130801,Sony electronics rebound unlikely to ease pressure for change ,TOKYO Sony Corp said its electronics division faces hard times ahead even after a weak yen helped pull it into profit for the first time in two years  ratcheting up pressure on the board to respond to activist shareholder Daniel Loeb's proposal to split the company in two. | Video ,topStory
SNE,Sony Corp Ord,20130801,UPDATE 2-Sony electronics rebound unlikely to ease pressure for change ,* Sony Q1 oper profit 36.4 bln yen vs analyst forecast 25.3 bln,normal
SNE,Sony Corp Ord,20130801,REFILE-TABLE-Sony -Q1 group results (SEC) ,Aug 1 (Reuters)-            Sony Corp            CONSOLIDATED FINANCIAL HIGHLIGHTS                      3 months ended      3 months ended       Year to                    Jun 30  2013        Jun 30  2012     Mar 31  2014                       LATEST             YEAR-AGO          COMPANY                         RESULTS             RESULT          FORECAST      Sales             1.71 trln           1.52 trln        7.90 trln                      (+13.0 pct)          (+1.4 pct)      (+16.2 pct)   ,normal
SNE,Sony Corp Ord,20130801,Sony says board still discussing Third Point's proposals ,TOKYO  Aug 1 Japan's Sony Corp said on Thursday that its board is still discussing proposals from hedge fund Third Point to spin off the group's money-making entertainment arm to free up cash to revive the electronics business.,normal
SNE,Sony Corp Ord,20130801,Sony cuts TV sales forecast  keeps smartphone  game console outlook ,TOKYO  Aug 1 Sony Corp said on Thursday it lowered its TV sales forecast for the year ending in March 2014 by 6.3 percent to 15 million units  down from a previous estimate of 16 million.,normal
SU,Suncor Energy  Inc,20130801,CANADA STOCKS-Data  earnings push TSX higher  drive energy gains ,* TSX rises 107.32 points  or 0.86 percent  to 12 593.96     * Eight of 10 main index sectors advance     * Suncor gains after results  has biggest influence on market     * Barrick  Enbridge jump after quarterly reports      By John Tilak     TORONTO  Aug 1 Canada's main stock index climbed on Thursday after a burst of data from China  Europe and the United States showed the global economic recovery was strengthening  boosting the price of oil and fueling a rally in shares of energy,topStory
SU,Suncor Energy  Inc,20130801,Suncor operating profit misses analyst expectations ,Canada's Suncor Energy Inc  posted a second-quarter profit that missed analyst expectations by a penny as earnings were affected by factors including the precautionary shutdown of third-party pipelines due to flooding in northern Alberta.,normal
SU,Suncor Energy  Inc,20130801,UPDATE 1-Suncor operating profit misses analyst expectations ,July 31 Canada's Suncor Energy Inc  posted a second-quarter profit that missed analyst expectations by a penny as earnings were affected by factors including the precautionary shutdown of third-party pipelines due to flooding in northern Alberta.,normal
SU,Suncor Energy  Inc,20130801,Suncor operating profit falls 25 pct  misses analyst expectations ,July 31 Suncor Energy Inc  Canada's largest oil and gas company  said late on Wednesday its second-quarter operating profit fell 25 percent  missing analyst expectations by a penny.,normal
TI,Telecom Italia SPA,20130801,Generali says Telecom Italia board has not talked about impairments  cap hike ,MILAN  Aug 1 Insurer Assicurazioni Generali   a Telecom Italia shareholder through holding Telco  said on Thursday the phone company's board had not deliberated about possible new impairments or a capital increase.,topStory
TI,Telecom Italia SPA,20130801,Generali will "certainly exit" Telecom Italia in future: CEO ,MILAN Assicurazioni Generali  will exit its investment in Telecom Italia   though it will do so at the right conditions  the insurer's CEO Mario Greco said on Thursday.,normal
TI,Telecom Italia SPA,20130801,Generali will "certainly exit" Telecom Italia in future-CEO ,MILAN  Aug 1 Assicurazioni Generali  will exit its investment in Telecom Italia  though it will do so at the right conditions  the insurer's CEO Mario Greco said on Thursday.,normal
TEF,Telefonica SA,20130801,Telefonica  Yoigo to share 4G  broadband in Spain ,MADRID Spain's biggest telecoms operator Telefonica  signed a deal with No. 4 provider Yoigo  on Thursday allowing it to use its rival's superfast mobile Internet frequencies in exchange for access to its broadband assets.,topStory
TEF,Telefonica SA,20130801,UPDATE 2-Telefonica  Yoigo to share 4G  broadband in Spain ,MADRID  Aug 1 Spain's biggest telecoms operator Telefonica signed a deal with No. 4 provider Yoigo  on Thursday allowing it to use its rival's superfast mobile Internet frequencies in exchange for access to its broadband assets.,normal
TEF,Telefonica SA,20130801,BRIEF-TeliaSonera's Yoigo  Telefonica's Movistar ink network sharing deal ,STOCKHOLM  Aug 1 TeliaSonera AB :  * Teliasonera's subsidiary yoigo and telefonica's movistar in network sharing,normal
TEF,Telefonica SA,20130801,O2 to launch 4G services in London this month ,LONDON  Aug 1 Telefonica's O2 plans to launch its superfast 4G mobile network in London and two other cities by the end of August  before rolling it out around the country later this year in a bid to catch up with market leader EE.,normal
TEVA,Teva Pharmaceutical Industries Limited,20130801,Teva Pharm faces U.S. patent worries  dip in profits ,JERUSALEM Teva Pharmaceutical Industries profits fell in the second quarter  hurt by a decline in U.S. and European generic drug sales  and its near-term outlook looks bleak in the face of prospective competition for multiple sclerosis drug Copaxone.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20130801,CORRECTED-UPDATE 1-Teva Pharm faces U.S. patent worries  dip in profits ,(Corrects 12th paragraph to show CEO said expects stronger fourth quarter  not stronger 2014),normal
TD,Toronto Dominion Bank (The),20130801,Canada's National Bank to buy TD unit for C$250 mln ,TORONTO  Aug 1 National Bank of Canada  Canada's sixth-largest bank  said on Thursday it will buy the institutional services business of larger rival Toronto-Dominion Bank for C$250 million ($242.05 million).,topStory
TOT,Total SA,20130801,Gazprom  Total sign $130 million agreement with Bolivia's YPFB ,LA PAZ  Aug 1 Russia's Gazprom and France's Total signed a $130 million agreement with Bolivia's state energy company YPFB on Thursday to develop a natural gas area in the southeastern part of the Andean nation.,topStory
TM,Toyota Motor Corp Ltd Ord,20130801,Toyota  nearing record profit  slows in Southeast Asia ,TOKYO Toyota Motor Corp's  slower-than-expected growth in Southeast Asia  its third biggest regional market  is becoming a headache as the world's best-selling carmaker closes on its six-year-old profit record.,topStory
TM,Toyota Motor Corp Ltd Ord,20130801,Toyota  nearing record profit  slows in Southeast Asia ,TOKYO  Aug 2 Toyota Motor Corp's  slower-than-expected growth in Southeast Asia  its third biggest regional market  is becoming a headache as the world's best-selling carmaker closes on its six-year-old profit record.,normal
TM,Toyota Motor Corp Ltd Ord,20130801,TABLE-Top-20 selling vehicles in U.S. through July ,Aug 1 The following are the 20 top-selling vehicles in the U.S. through July as reported by the automakers and ranked by total units.          Top 20 selling vehicles in U.S. in July       RANK  VEHICLE                    JULY   LAST YR  % CHNG  1     Ford F-Series P/U        60 449    49 314   +22.6  2     Chevy Silverado-C/K P/U  42 080    28 972   +45.2  3     Toyota Camry             34 780    29 913   +16.3  4     Honda Civic              32 416    25 004   +29.6  5     Honda Ac,normal
TM,Toyota Motor Corp Ltd Ord,20130801,Toyota expects to meet annual China sales target despite July slip ,BEIJING Toyota Motor Corp  officials said the Japanese automaker and its two local joint-venture partners are on track to sell 900 000 vehicles in China this year  despite a 3.5-percent year-on-year fall in its China sales last month.,normal
TM,Toyota Motor Corp Ltd Ord,20130801,UPDATE 1-Toyota expects to meet annual China sales target despite July slip ,BEIJING  Aug 1 Toyota Motor Corp  officials said the Japanese automaker and its two local joint-venture partners are on track to sell 900 000 vehicles in China this year  despite a 3.5-percent year-on-year fall in its China sales last month.,normal
TM,Toyota Motor Corp Ltd Ord,20130801,Toyota says July China auto sales down 3.5 percent year-on-year ,BEIJING Toyota Motor Corp  and its two local joint-venture partners sold about 75 600 automobiles in China in July  down 3.5 percent from a year earlier  the Japanese automaker said on Thursday.,normal
TM,Toyota Motor Corp Ltd Ord,20130801,Toyota says July China auto sales down 3.5 pct y/y ,BEIJING  Aug 1 Toyota Motor Corp and its two local joint-venture partners sold about 75 600 automobiles in China in July  down 3.5 percent from a year earlier  the Japanese automaker said on Thursday.,normal
TRP,TransCanada Corporation,20130801,TransCanada ramps up East Coast pipeline as Keystone stalls ,CALGARY  Alberta TransCanada Corp announced plans on Thursday for Canada's largest pipeline  a 2 700-mile  $12 billion line to ship crude from the oil sands of Western Canada to the Atlantic  as its U.S.-bound Keystone XL project stalls in Washington.,topStory
TRP,TransCanada Corporation,20130801,UPDATE 4-TransCanada ramps up East Coast pipeline as Keystone stalls ,CALGARY  Alberta  Aug 1 TransCanada Corp  announced plans on Thursday for Canada's largest pipeline  a 2 700-mile (4 400 km)  $12 billion line to ship crude from the oil sands of Western Canada to the Atlantic  as its U.S.-bound Keystone XL project stalls in Washington.,normal
TRP,TransCanada Corporation,20130801,UPDATE 1-Irving  TransCanada to build $300 mln New Brunswick marine terminal ,CALGARY  Alberta  Aug 1 Irving Oil and TransCanada Corp said on Thursday they will build a $300 million marine terminal at Canaport in St. John  New Brunswick  to enable Canadian producers to export oil sands crude to world markets.,normal
X,United States Steel Corporation,20130801,U.S. Steel considering its options after Lake Erie Works vote ,Aug 1 United States Steel Corp is mulling its next steps after losing a key contract vote at the Lake Erie works in Canada  where a three-month lockout has halted raw steel production.,topStory
X,United States Steel Corporation,20130801,UPDATE 1-U.S. Steel's locked-out Canada workers reject contract proposal ,TORONTO  July 31 Workers locked out at United States Steel Corp's Lake Erie works in Canada have voted to reject the steelmaker's contract proposal  their union said on Wednesday.,normal
WMT,Wal-Mart Stores Inc,20130801,UPDATE 1-India eases retail sector rules to lure foreign supermarkets ,NEW DELHI  Aug 1 India relaxed sourcing and investment rules for the retail sector on Thursday in a renewed attempt to attract foreign supermarket chains such as Wal-Mart Stores and Tesco.,topStory
WMT,Wal-Mart Stores Inc,20130801,Sberbank to name Walmart exec as deputy chairman - paper ,MOSCOW  Aug 1 Russia's biggest bank Sberbank  will appoint Lev Khasis  a senior executive of U.S. retailer Wal-Mart Stores Inc  as its first deputy chairman  financial daily Kommersant reported on Thursday.,normal
WTW,Weight Watchers International Inc,20130801,Weight Watchers cuts profit forecast  says CEO resigns ,Aug 1 Weight Watchers International Inc  cut its profit forecast as competition from free apps ate into its business  sending its shares down 17 percent in after-hours trading.,topStory
WFC,Wells Fargo & Company,20130801,ON THE MOVE-Merrill lands Wisconsin adviser team from Wells Fargo ,Aug 1 Merrill Lynch Wealth Management said on Thursday it had expanded in Wisconsin by hiring a veteran adviser team away from Wells Fargo Advisors.,topStory
