ALGT,Allegiant Travel Company,20131223,YOUR MONEY - What to expect if your kid is flying solo ,(The author is a Reuters' contributor. The opinions expressed are his own.),normal
BX,The Blackstone Group LP,20131223,Blackstone's La Quinta says files confidentially for IPO ,La Quinta Holdings Inc  a hotel chain backed by Blackstone Group LP   said on Monday it had confidentially filed with U.S. regulators for an initial public offering of its common stock.,topStory
BX,The Blackstone Group LP,20131223,Blackstone's La Quinta says files confidentially for IPO ,Dec 23 La Quinta Holdings Inc  a hotel chain backed by Blackstone Group LP  said on Monday it had confidentially filed with U.S. regulators for an initial public offering of its common stock.,normal
BX,The Blackstone Group LP,20131223,Deals of the day- Mergers and acquisitions ,Dec 23 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,normal
TIF,Tiffany & Co,20131223,Ex-Tiffany exec given year in prison for $2 million jewelry theft ,NEW YORK A former Tiffany & Co executive was sentenced to a year in prison on Monday after admitting to stealing more than $2.1 million of jewelry from the New York luxury store.,topStory
TIF,Tiffany & Co,20131223,Ex-Tiffany exec given year in prison for $2 million jewelry theft ,NEW YORK  Dec 23 A former Tiffany & Co  executive was sentenced to a year in prison on Monday after admitting to stealing more than $2.1 million of jewelry from the New York luxury store.,normal
TIF,Tiffany & Co,20131223,BRIEF-Tiffany down in premarket after cutting outlook ,NEW YORK  Dec 23 Tiffany & Co :  * Shares fall 2.9 percent in premarket trading after cutting outlook,normal
TIF,Tiffany & Co,20131223,CORRECTED-UPDATE 2-Tiffany ordered to pay Swatch $449 mln in damages  cuts outlook ,(Corrects to show charges will reduce earnings per share by $2.30-$2.35 and not to $2.30-$2.35),normal
TIF,Tiffany & Co,20131223,UPDATE 2-Tiffany ordered to pay Swatch $449 mln in damages  cuts outlook ,ZURICH/NEW YORK  Dec 22 Tiffany & Co on Sunday said a Dutch arbitration court ruled that it must pay Swatch Group 402 million Swiss francs ($448.79 million) in damages over their failed joint venture to produce and market watches  and the New York-based jeweler slashed its profit outlook for the year.,normal
TWTR,Twitter Inc,20131223,Disney cuts CEO pay  adds Twitter co-founder to board ,Walt Disney Co has slashed Chief Executive Bob Iger's fiscal 2013 compensation by 15 percent with a bonus cut  and named Twitter Inc co-founder Jack Dorsey an independent board director.,topStory
TWTR,Twitter Inc,20131223,UPDATE 1-Disney cuts CEO pay  adds Twitter co-founder to board ,Dec 23 Walt Disney Co has slashed Chief Executive Bob Iger's fiscal 2013 compensation by 15 percent with a bonus cut  and named Twitter Inc co-founder Jack Dorsey an independent board director.,normal
TWTR,Twitter Inc,20131223,Disney names Twitter co-founder Dorsey to board ,Dec 23 Walt Disney Co has named Jack Dorsey  co-founder of Twitter Inc and chief executive of payments startup Square Inc  as an independent board member.,normal
WMT,Wal-Mart Stores Inc,20131223,Alibaba rival JD.com to top sales target as Chinese shoppers flock to Internet ,BEIJING JD.com  China's second-largest e-commerce site  is set to exceed 100 billion yuan ($16.47 billion) in annual sales for the first time in a market that has drawn investment from global retailing names such as Amazon and Wal-Mart.,topStory
WMT,Wal-Mart Stores Inc,20131223,Alibaba rival JD.com to top sales target as Chinese shoppers flock to Internet ,BEIJING  Dec 23 JD.com  China's second-largest e-commerce site  is set to exceed 100 billion yuan ($16.47 billion) in annual sales for the first time in a market that has drawn investment from global retailing names such as Amazon  and Wal-Mart.,normal
DIS,Walt Disney Company (The),20131223,Disney cuts CEO pay  adds Twitter co-founder to board ,Walt Disney Co has slashed Chief Executive Bob Iger's fiscal 2013 compensation by 15 percent with a bonus cut  and named Twitter Inc co-founder Jack Dorsey an independent board director.,topStory
DIS,Walt Disney Company (The),20131223,UPDATE 1-Disney cuts CEO pay  adds Twitter co-founder to board ,Dec 23 Walt Disney Co has slashed Chief Executive Bob Iger's fiscal 2013 compensation by 15 percent with a bonus cut  and named Twitter Inc co-founder Jack Dorsey an independent board director.,normal
DIS,Walt Disney Company (The),20131223,Disney CEO gets 15 pct pay cut despite "strong results" ,Dec 23 Walt Disney Co CEO Bob Iger's compensation was cut 15 percent to $34.3 million in fiscal 2013  despite what its board said on Monday were strong results during the year.,normal
DIS,Walt Disney Company (The),20131223,Disney names Twitter co-founder Dorsey to board ,Dec 23 Walt Disney Co has named Jack Dorsey  co-founder of Twitter Inc and chief executive of payments startup Square Inc  as an independent board member.,normal
NAK,Northern Dynasty Minerals Ltd,20131223,Rio Tinto mulls selling stake in Pebble owner Northern Dynasty ,LONDON  Dec 23 Global miner Rio Tinto  said on Monday it is considering the sale of its stake in Canada's Northern Dynasty  owner of the undeveloped Pebble copper-gold project in Alaska.,topStory
