ATVI,Activision Blizzard Inc,20131022,Activision CEO  co-chairman control 25 percent of votes ,SAN FRANCISCO Activision Blizzard Inc  CEO Bobby Kotick and Co-chairman Brian Kelly control more than a quarter of voting interest in the company after completing their $8.2 billion deal to buy back most of its shares from Vivendi   the videogames publisher said on Monday.,topStory
JPM,J P Morgan Chase & Co,20131022,Brazil's BTG mulls bid for JPMorgan physical commodities business: report ,Grupo BTG Pactual SA   the Brazilian investment bank founded by billionaire André Esteves  is working on a bid for JPMorgan Chase & Co's  $3.3 billion physical commodities business  according to a report on Tuesday.,topStory
JPM,J P Morgan Chase & Co,20131022,Brazil's BTG mulls bid for JPMorgan physical commodities business -report ,Oct 22 Grupo BTG Pactual SA  the Brazilian investment bank founded by billionaire André Esteves  is working on a bid for JPMorgan Chase & Co's $3.3 billion physical commodities business  according to a report on Tuesday.,normal
JPM,J P Morgan Chase & Co,20131022,Exclusive: JPMorgan settlement could cost bank closer to $9 billion ,WASHINGTON/NEW YORK JPMorgan Chase & Co's preliminary $13 billion mortgage settlement with the U.S. government could end up costing the bank closer to $9 billion after taxes  because the majority of the deal is expected to be tax deductible  two sources familiar with the matter said.,normal
JPM,J P Morgan Chase & Co,20131022,After JPMorgan  banks seek protections in future bailouts ,NEW YORK As the U.S. government closes in on a $13 billion settlement with JPMorgan Chase & Co  over its mortgage practices  lawyers specializing in bank mergers are looking for ways to protect their clients from big losses in similar cases in the future.,normal
JNJ,Johnson & Johnson,20131022,J&J's new hepatitis C drug gets positive FDA review ,Oct 22 A new hepatitis C drug made by Johnson & Johnson showed an acceptable safety profile in clinical trials  reviewers for the U.S. Food and Drug Administration said on Tuesday.,topStory
JNPR,Juniper Networks Inc,20131022,Juniper quarterly profit rises nearly six-fold ,Juniper Networks Inc  reported a nearly six-fold rise in quarterly profit due to a rebound in demand for network equipment from telecom service providers.,topStory
KMB,Kimberly-Clark Corporation,20131022,Kimberly-Clark's third-quarter profit tops view  shares rise ,Kimberly-Clark Corp   maker of Kleenex tissues  posted a bigger-than-anticipated rise in quarterly profit on Tuesday on continued growth overseas as well as global cost cutting.,topStory
KMB,Kimberly-Clark Corporation,20131022,UPDATE 2-Kimberly-Clark's 3rd-qtr profit tops view  shares rise ,* Q3 adjusted profit $1.44/share vs Wall St view $1.40/share,normal
KMB,Kimberly-Clark Corporation,20131022,Kimberly-Clark third-quarter profit tops view despite flat sales ,Kimberly-Clark Corp  posted a bigger-than-anticipated rise in quarterly profit on Tuesday as the maker of Kleenex tissues cut costs to help mitigate the impact of flat sales.,normal
LMT,Lockheed Martin Corporation,20131022,Lockheed protests U.S. Navy's radar contract award to Raytheon ,WASHINGTON Lockheed Martin Corp  the Pentagon's top supplier and maker of the Aegis combat system  on Tuesday said it had filed a formal protest against the U.S. Navy's decision to award a next-generation radar contract to Raytheon Co.,topStory
LMT,Lockheed Martin Corporation,20131022,UPDATE 2-Lockheed protests U.S. Navy's radar contract award to Raytheon ,WASHINGTON  Oct 22 Lockheed Martin Corp  the Pentagon's top supplier and maker of the Aegis combat system  on Tuesday said it had filed a formal protest against the U.S. Navy's decision to award a next-generation radar contract to Raytheon Co.,normal
LMT,Lockheed Martin Corporation,20131022,Lockheed protests U.S. Navy's radar contract award to Raytheon ,WASHINGTON Lockheed Martin Corp  the Pentagon's top supplier and maker of the Aegis combat system  on Tuesday said it had filed a formal protest against the U.S. Navy's decision to award a next-generation radar contract to Raytheon Co.,normal
LMT,Lockheed Martin Corporation,20131022,Lockheed profit tops estimates; raises full-year outlook ,WASHINGTON Lockheed Martin Corp   the No. 1 supplier to the Pentagon  reported on Tuesday higher third-quarter profit despite a 4 percent decline in sales  and lifted its forecast for full-year earnings  even as U.S. military spending shrinks.,normal
LMT,Lockheed Martin Corporation,20131022,UPDATE 3-Lockheed profit tops estimates; raises full-yr outlook ,WASHINGTON  Oct 22 Lockheed Martin Corp  the No. 1 supplier to the Pentagon  reported on Tuesday higher third-quarter profit despite a 4 percent decline in sales  and lifted its forecast for full-year earnings  even as U.S. military spending shrinks.,normal
LMT,Lockheed Martin Corporation,20131022,Lockheed Q3 profit tops estimates  lifts full-year outlook ,WASHINGTON  Oct 22 Lockheed Martin Corp  the No. 1 supplier to the Pentagon  reported higher third-quarter earnings on Tuesday despite a 4 percent drop in sales  and lifted its forecast for full-year earnings.,normal
KORS,Michael Kors Holdings Limited,20131022,UPDATE 3-Handbag maker Coach warns of further fall in N. America sales ,* First-quarter revenue falls 1 pct to $1.15 bln vs est $1.19 bln,topStory
KORS,Michael Kors Holdings Limited,20131022,Handbag maker Coach warns of further fall in North America sales ,Coach Inc   known for its Poppy handbags  posted a steep fall in sales in North America  its largest market  and forecast further declines through the rest of its financial year as it loses market share to rivals such as Michael Kors.,normal
NBR,Nabors Industries Ltd,20131022,Nabors results hit by tough U.S. oil service market ,Nabors Industries Ltd  posted a quarterly loss on Tuesday and a decline in adjusted profit as the oilfield services and drilling company grappled with an over-supplied North American market for certain services and older rigs.,topStory
NBR,Nabors Industries Ltd,20131022,Nabors adjusted profit down in tough U.S. oil services market ,Oct 22 Nabors Industries Ltd posted a quarterly loss on Tuesday and a decline in adjusted profit as the oilfield services and drilling company grappled with an oversupplied North American market for certain services and older rigs.,normal
NFX,Newfield Exploration Company,20131022,Newfield Exploration to exit Malaysia in $898 mln deal ,* Sale subject to approval of Malaysia's state oil firm Petronas,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20131022,EMERGING MARKETS-Latam stocks up on U.S. data  Petrobras choppy ,* Brazil Bovespa gains 0.91 pct  Mexico IPC up 0.78 pct      SAO PAULO  Oct 22 Latin American stocks rose on Tuesday after weaker-than-expected jobs numbers from the United States boosted hopes the Federal Reserve would further delay the tapering of its massive bond-buying program.     The MSCI Latin American stock index rose 0.97 percent  its biggest intraday gain in nearly two weeks.     Data on Tuesday showed U.S. employers added fewer workers than expected in September  suggestin,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20131022,European Factors to Watch - Shares to edge lower ahead of U.S. jobs data ,LONDON  Oct 22 European stocks are seen opening flat to slightly lower on Tuesday  pulling back from five-year highs set in the previous session after eight straight days of gains  with trade cautious ahead of U.S. jobs data.         At 0610 GMT  futures for Euro STOXX 50  for UK's FTSE 100  for Germany's DAX and for France's CAC were flat to 0.2 percent lower.     Bets that the U.S. government shutdown may mean the U.S. Federal Reserve maintains its stimulus programme for longer tha,normal
PBR,Petroleo Brasileiro SA- Petrobras,20131022,French and Benelux stocks-Factors to watch on Oct 22 ,PARIS  Oct 22 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20131022,UPDATE 3-Petrobras-led group wins Brazil oil auction with minimum bid  many stay away ,* Total  Shell  CNOOC  China National Petroleum join winning bid,normal
PFE,Pfizer Inc,20131022,Pfizer commits to developing Pain Therapeutics' painkiller ,Pfizer Inc said it has decided to develop the abuse-resistant painkiller made by its partner Pain Therapeutics Inc  six months after the pharmaceutical giant's comments raised fears it would drop the drug.,topStory
PFE,Pfizer Inc,20131022,UPDATE 1-Pfizer commits to developing Pain Therapeutics' painkiller ,Oct 22 Pfizer Inc said it has decided to develop the abuse-resistant painkiller made by its partner Pain Therapeutics Inc  six months after the pharmaceutical giant's comments raised fears it would drop the drug.,normal
PII,Polaris Industries Inc,20131022,UPDATE 1-Polaris posts higher profit  raises full-year forecast ,CHICAGO  Oct 22 Polaris Industries Inc  reported a higher-than-expected quarterly profit on Tuesday and raised its full-year earnings forecast  citing strong sales of its off-road vehicles and snowmobiles.,topStory
RTN,Raytheon Company,20131022,Lockheed protests U.S. Navy's radar contract award to Raytheon ,WASHINGTON Lockheed Martin Corp  the Pentagon's top supplier and maker of the Aegis combat system  on Tuesday said it had filed a formal protest against the U.S. Navy's decision to award a next-generation radar contract to Raytheon Co.,topStory
RTN,Raytheon Company,20131022,UPDATE 2-Lockheed protests U.S. Navy's radar contract award to Raytheon ,WASHINGTON  Oct 22 Lockheed Martin Corp  the Pentagon's top supplier and maker of the Aegis combat system  on Tuesday said it had filed a formal protest against the U.S. Navy's decision to award a next-generation radar contract to Raytheon Co.,normal
RTN,Raytheon Company,20131022,Lockheed protests U.S. Navy's radar contract award to Raytheon ,WASHINGTON Lockheed Martin Corp  the Pentagon's top supplier and maker of the Aegis combat system  on Tuesday said it had filed a formal protest against the U.S. Navy's decision to award a next-generation radar contract to Raytheon Co.,normal
RIO,Rio Tinto Plc,20131022,Brazil charges 15 more police officers in torture  death of Rio bricklayer ,RIO DE JANEIRO Prosecutors in Rio de Janeiro on Tuesday charged an additional 15 state police officers in the torture and death of a bricklayer who disappeared from a city slum in July.,topStory
RBS,Royal Bank Scotland plc (The),20131022,Bank of Cyprus appoints ex-RBS's Hourican as CEO ,NICOSIA Bank of Cyprus  appointed ex-RBS investment head John Hourican as its chief executive officer on Tuesday  the Cypriot lender said.,topStory
RBS,Royal Bank Scotland plc (The),20131022,Bank of Cyprus appoints ex-RBS's Hourican as CEO ,NICOSIA  Oct 22 Bank of Cyprus  appointed ex-RBS investment head John Hourican as its chief executive officer on Tuesday  the Cypriot lender said.,normal
SMI,Semiconductor  Manufacturing International Corporation,20131022,BRIEF-SMIC Q3 net profit up  sees Q4 gross margin 18.5-21.5 pct ,Oct 22 Semiconductor Manufacturing International Corp,topStory
SMI,Semiconductor  Manufacturing International Corporation,20131022,Hong Kong shares slip  China Mobile sinks after earnings disappoint ,* China property H-shares rise  A-shares slip after home price data,normal
STT,State Street Corporation,20131022,Fitch:  State Street's 3Q'13 Earnings Modestly Lower ,(The following statement was released by the rating agency) CHICAGO  October 22 (Fitch) State Street Corporation's (STT) third quarter of  2013 (3Q'13) stated net income of $540 million has declined from both the  sequential and year-ago quarters.  Nevertheless  Fitch Ratings believes the  company's 3Q'13 earnings  which equated to a 10.8% return on average equity  (ROE)  while satisfactory from a credit perspective  remain below STT's  historical returns.  Furthermore  Fitch does not believe a ,topStory
STT,State Street Corporation,20131022,State Street's third-quarter operating profit rises 14 percent ,Oct 22 State Street Corp said on Tuesday that third-quarter operating profit rose 14 percent as the custody bank saw double-digit gains from servicing client assets and managing money.,normal
TI,Telecom Italia SPA,20131022,UPDATE 1-Telecom Italia may drop network spin-off plan-sources ,* Italy's PM expected to meet head of top investor Telefonica-media,topStory
TI,Telecom Italia SPA,20131022,Telecom Italia may drop network spin off plan-source ,MILAN  Oct 22 Italy's biggest telecoms company Telecom Italia may drop a plan to separate its domestic fixed-line phone network  a source familiar with the situation said on Tuesday.,normal
TEF,Telefonica SA,20131022,UPDATE 1-Telecom Italia may drop network spin-off plan-sources ,* Italy's PM expected to meet head of top investor Telefonica-media,topStory
BX,The Blackstone Group LP,20131022,RPT-SINGAPORE PRESS-Blackstone opens Singapore office - Business Times ,Lured by opportunities in emerging Asia  alternative asset management giant Blackstone Group officially opened its Singapore office yesterday  joining rival KKR & Co.,topStory
BX,The Blackstone Group LP,20131022,SINGAPORE PRESS-Blackstone opens Singapore office - Business Times ,Lured by opportunities in emerging Asia  alternative asset management giant Blackstone Group officially opened its Singapore office yesterday  joining rival KKR & Co.,normal
TRV,The Travelers Companies Inc,20131022,Low rates push Travelers to raise premiums further ,U.S. insurer Travelers Cos Inc  posted a record operating profit that blew past Wall Street estimates and said it expects to keep raising premiums to counter low interest rates and potential losses from natural disasters.,topStory
TRV,The Travelers Companies Inc,20131022,UPDATE 3-Low rates push Travelers to raise premiums further ,* Board authorizes additional $5 bln share repurchase program,normal
TRV,The Travelers Companies Inc,20131022,Low rates push Travelers to raise premiums further ,U.S. insurer Travelers Cos Inc  posted a record operating profit that breezed past Wall Street estimates and said it expects to keep raising premiums to counter low interest rates and potential losses from natural disasters.,normal
TRV,The Travelers Companies Inc,20131022,Insurer Travelers to buy back up to $5 bln in shares ,Oct 22 U.S. insurer Travelers Cos Inc  said it would buy back an additional $5 billion of its shares under a new program.,normal
TRI,Thomson Reuters Corp,20131022,HIGHLIGHTS-Comments by British finance minister George Osborne ,LONDON  Oct 22 British finance minister George Osborne spoke on Tuesday at a Thomson Reuters Newsmaker event moderated by Reuters editor-at-large Harold Evans.,topStory
TRI,Thomson Reuters Corp,20131022,Highlights: Comments by British finance minister George Osborne ,LONDON British finance minister George Osborne is speaking on Tuesday at a Thomson Reuters Newsmaker event moderated by Reuters editor-at-large Harold Evans.,normal
TWI,Titan International Inc,20131022,French minister says Titan may buy "not worth saving" tyre factory ,PARIS  Oct 22 The U.S. tyre executive who infuriated the French by calling workers at a doomed Goodyear  factory "not worth saving" has made an offer to buy the plant  France's industry minister was quoted as saying on Tuesday.,topStory
TOT,Total SA,20131022,UPDATE 3-Petrobras-led group wins Brazil oil auction with minimum bid  many stay away ,* Total  Shell  CNOOC  China National Petroleum join winning bid,topStory
UTX,United Technologies Corporation,20131022,Cost cuts help United Tech's forecast as revenue lags ,United Technologies Corp   the world's largest maker of elevators and air conditioners  raised the low end of its 2013 profit forecast on Tuesday  as cost savings from job cuts helped offset weakness in its defense business.,topStory
UTX,United Technologies Corporation,20131022,UPDATE 3-Cost cuts help United Tech's forecast as revenue lags ,Oct 22 United Technologies Corp  the world's largest maker of elevators and air conditioners  raised the low end of its 2013 profit forecast on Tuesday  as cost savings from job cuts helped offset weakness in its defense business.,normal
UTX,United Technologies Corporation,20131022,United Tech raises low end of profit outlook  cuts revenue view ,United Technologies Corp   the world's largest maker of elevators and air conditions  raised the low end of its 2013 profit forecast on Tuesday  as cost savings from job cuts and improving sales trends offset weakness in its defense business.,normal
UTX,United Technologies Corporation,20131022,United Tech posts profit gain  raises low end of earnings outlook ,Oct 22 United Technologies Corp  the world's largest maker of elevators and air conditioners  on Tuesday said its quarterly net profit increased slightly  helped by gains across most of its segments.,normal
VAR,Varian Medical Systems Inc,20131022,Elekta bows out of mammoth Brazil tender as price plunges ,* Elekta  Varian and Best Theratronics were bidding for contract,topStory
WPC,WP Carey Inc,20131022,Polish TPSA says received 3 offers in web arm sale ,WARSAW  Oct 22 Poland's No.1 telecoms group TPSA  received three offers in the tender for its web arm and Poland's No.2 Internet portal Wp.pl  TPSA's chief financial officer said on Tuesday.,topStory
WEC,WEC Energy Group Inc,20131022,Power grid denies We Energies request to shut Michigan coal plant ,Oct 22 The power grid operator in the U.S. Midwest denied Wisconsin Energy Corp's request to shut its 407-megawatt Presque Isle coal-fired power plant in Michigan in February  a spokesman at the Wisconsin power company said Tuesday.,topStory
WHR,Whirlpool Corporation,20131022,Rebounding U.S. housing  Europe lift Whirlpool outlook ,Whirlpool Corp   the world's No. 1 home appliance maker  raised its full-year earnings forecast after a recovering U.S. housing market and consumer sentiment in Europe boosted sales of refrigerators  dishwashers and air conditioners.,topStory
WHR,Whirlpool Corporation,20131022,UPDATE 3-Rebounding US housing  Europe lift Whirlpool outlook ,* Raises full-year earnings forecast to $9.90-10.10/share,normal
WHR,Whirlpool Corporation,20131022,Whirlpool raises forecast as home appliance sales rebound ,Whirlpool Corp   the world's No. 1 home appliance maker  raised its full-year earnings forecast after a recovering U.S. housing market and consumer sentiment in Europe lifted sales of its refrigerators  dishwashers and air conditioners.,normal
