ADXS,Advaxis Inc,20131209,BRIEF-Advaxis up 22 pct premarket; signs license deal with Global BioPharma to develop ADXS-HPV in Asia ,NEW YORK  Dec 9 Advaxis Inc :  * Up 22 percent to $4.38 in premarket; signs license deal with Global bioPharma to develop,topStory
MCD,McDonald&#39;s Corporation,20131209,McDonald's November sales miss as U.S. weakness persists ,McDonald's Corp  on Monday reported another sluggish month of sales at established restaurants  results that suggest the famed hamburger chain is losing U.S. market share to rivals. | Video ,topStory
MCD,McDonald&#39;s Corporation,20131209,US STOCKS-S&P 500 floats up to record close in quiet day on Wall St ,* McDonald's November sales miss estimates  stock weighs on Dow,normal
MCD,McDonald&#39;s Corporation,20131209,US STOCKS-Wall St gains on China  reaction to Fed speakers muted ,* McDonald's November sales miss estimates on U.S. weakness,normal
MCD,McDonald&#39;s Corporation,20131209,US STOCKS-Wall St edges up on China data; Fed speakers ahead ,NEW YORK  Dec 9 U.S. stocks rose modestly on Monday after positive Chinese trade and inflation data  but investor enthusiasm was tempered before speeches on the economy by top Federal Reserve officials.,normal
MCD,McDonald&#39;s Corporation,20131209,UPDATE 3-McDonald's November sales miss as U.S. weakness persists ,Dec 9 McDonald's Corp on Monday reported another sluggish month of sales at established restaurants  results that suggest the famed hamburger chain is losing U.S. market share to rivals.,normal
MCD,McDonald&#39;s Corporation,20131209,CORRECTED-US STOCKS-Wall St gains on China data  Fed speakers on agenda ,(Removes "four" to correct reference to number of Fed speakers in first paragraph),normal
MCD,McDonald&#39;s Corporation,20131209,BRIEF-McDonald's down 0.9 percent premarket after November sales results ,NEW YORK  Dec 9 McDonald's Corp :  * Down 0.9 percent to $95.94 in premarket after November sales results,normal
MTL,Mechel PAO,20131209,Russia's Mechel get covenant holidays on $1.4 bln Sberbank loans ,MOSCOW  Dec 9 Debt-laden Russian miner Mechel   said on Monday it had reached agreement with the state's largest lender Sberbank regarding covenant holidays on credit lines of $1.4 billion until the end of 2014.,topStory
MRK,Merck & Company Inc,20131209,Merck agrees to proposed $27.7 million settlement over Fosamax lawsuits ,NEW YORK Merck & Co Inc said on Monday that it was prepared to pay $27.7 million to settle lawsuits by hundreds of people who sued the company over allegations that its osteoporosis drug Fosamax caused bones in the jaw to deteriorate.,topStory
MRK,Merck & Company Inc,20131209,UPDATE 1-Merck agrees to proposed $27.7 mln settlement over Fosamax lawsuits ,NEW YORK  Dec 9 Merck & Co Inc said on Monday that it was prepared to pay $27.7 million to settle lawsuits by hundreds of people who sued the company over allegations that its osteoporosis drug Fosamax caused bones in the jaw to deteriorate.,normal
MRK,Merck & Company Inc,20131209,Merck agrees to settle litigation over Fosamax jaw injuries ,NEW YORK  Dec 9 Merck & Co has agreed to settle hundreds of lawsuits over jaw injuries allegedly caused by the osteoporosis drug Fosamax  lawyers disclosed at a court hearing Monday.,normal
MOS,Mosaic Company (The),20131209,Fertilizer maker Mosaic to buy back $2 billion in stock ,U.S. fertilizer company Mosaic Co  said on Monday that it would buy back about 10 percent of its outstanding stock in a roughly $2 billion purchase from the Margaret A. Cargill Foundation and the Anne Ray Charitable Trust over the next eight months.,topStory
MOS,Mosaic Company (The),20131209,UPDATE 2-Fertilizer maker Mosaic to buy back $2 billion in stock ,Dec 9 U.S. fertilizer company Mosaic Co  said on Monday that it would buy back about 10 percent of its outstanding stock in a roughly $2 billion purchase from the Margaret A. Cargill Foundation and the Anne Ray Charitable Trust over the next eight months.,normal
MOS,Mosaic Company (The),20131209,Fertilizer maker Mosaic buying back 43.3 mln shares ,Dec 9 U.S. fertilizer company Mosaic Co  said on Monday that it will buy back 43.3 million restricted shares from the Margaret A. Cargill Foundation and the Anne Ray Charitable Trust over the next eight months.,normal
NEM,Newmont Mining Corporation,20131209,UPDATE 1-Indonesia trying to skirt its own ban on mineral exports ,JAKARTA  Dec 9 Indonesia's government is still seeking a way around a mineral ore export ban that the country's parliament insists remains in place  chief economic minister Hatta Rajasa said on Monday  as mining investors held out for a breakthrough.,topStory
NBL,Noble Energy Inc,20131209,Noble Energy eyes fresh appraisal for natgas off Cyprus ,NICOSIA  Dec 9 Texas-based Noble Energy  could launch a fresh appraisal of quantities in a subsea natural gas reservoir off Cyprus next year  and look for new hydrocarbon sources in the same area  officials said on Monday.,topStory
NOC,Northrop Grumman Corporation,20131209,Northrop pays $11.4 mln to settle U.S. government contract claims ,WASHINGTON  Dec 9 Northrop Grumman Corp  has paid $11.4 million to settle U.S. government claims that it improperly charged costs to government contracts  the Justice Department said on Monday.,topStory
NVO,Novo Nordisk A/S,20131209,Novo Nordisk gets final EU approval for haemophilia drug ,COPENHAGEN Novo Nordisk received European Union marketing authorization for its hemophilia drug NovoEight on November 13 2013  the Danish pharmaceutical company said on Monday.,topStory
NVO,Novo Nordisk A/S,20131209,Novo Nordisk gets final EU approval for haemophilia drug ,COPENHAGEN  Dec 9 Novo Nordisk  received European Union marketing authorisation for its haemophilia drug NovoEight on Nov. 13 2013  the Danish pharmaceutical company said on Monday.,normal
OXY,Occidental Petroleum Corporation,20131209,Exclusive: Gulf firms consider bid for Occidental MidEast stake - sources ,DUBAI Three state-owned Gulf firms are considering a joint bid for a minority stake in Occidental Petroleum Corp's  Middle East and North Africa (MENA) unit  a deal that could be worth between $8 billion and $10 billion  three banking sources said.,topStory
OXY,Occidental Petroleum Corporation,20131209,Deals of the day-Mergers and acquisitions ,(Adds Occidental  US Foods  St James's Place  Lazada  Mobilicity  Probi  Time Warner  GDF Suez  Stemcor  Harmont & Blaine),normal
PNR,Pentair plc,20131209,UPDATE 1-KKR  Bain among bidders for Tyco's $1.6 bln S.Korea unit -sources ,* S.Korea security systems unit worth around $1.6 bln -sources,normal
PBR,Petroleo Brasileiro SA- Petrobras,20131209,UPDATE 1-Brazil union plans Petrobras refinery strike after fire ,RIO DE JANEIRO  Dec 9 A Brazilian oil union said Monday that it plans to go on strike to protest allegedly unsafe conditions at state-run oil company Petroleo Brasileiro SA's REPAR Refinery  the site of a Nov. 28 fire that shut more than 10 percent of Brazil's fuel output.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20131209,Brazil union plans Petrobras refinery strike on safety after fire ,RIO DE JANEIRO  Dec 9 A Brazilian oil union said Monday that it plans to go on strike to protest allegedly unsafe conditions at state-run oil company Petroleo Brasileiro SA's REPAR Refinery  the site of a Nov. 28 fire that shut more than 10 percent of Brazil's fuel output.,normal
PFE,Pfizer Inc,20131209,US high court leaves intact $142 million verdict against Pfizer ,WASHINGTON The U.S. Supreme Court on Monday left intact a $142 million jury verdict against Pfizer Inc over the marketing of the epilepsy drug Neurontin.,topStory
PFE,Pfizer Inc,20131209,UPDATE 2-US high court leaves intact $142 mln verdict against Pfizer ,WASHINGTON  Dec 9 The U.S. Supreme Court on Monday left intact a $142 million jury verdict against Pfizer Inc over the marketing of the epilepsy drug Neurontin.,normal
PFE,Pfizer Inc,20131209,U.S. justices leave intact Neurontin verdict against Pfizer ,WASHINGTON  Dec 9 The U.S. Supreme Court said on Monday it would leave intact a $142 million jury verdict against Pfizer Inc over its marketing of the epilepsy drug Neurontin.,normal
POST,Post Holdings Inc,20131209,Post buys Golden Boy  Dymatize to beef up nutrition  private-labels ,Post Holdings Inc  said it will buy private label peanut butter maker Golden Boy Foods Ltd and protein bar maker Dymatize Enterprises LLC for about $680 million to build up its nutritional and private-label foods.,topStory
POST,Post Holdings Inc,20131209,Post buys Golden Boy  Dymatize to beef up nutrition  private-labels ,Dec 9 Post Holdings Inc said it will buy private label peanut butter maker Golden Boy Foods Ltd and protein bar maker Dymatize Enterprises LLC for about $680 million to build up its nutritional and private-label foods.,normal
PVH,PVH Corp,20131209,BRIEF-PVH shares down 3.9 percent after the bell following results ,NEW YORK  Dec 9 PVH Corp :  * Shares were down 3.9 percent after the bell following results,topStory
QEP,QEP Resources Inc,20131209,QEP Resources to buy oil assets in Texas for $950 mln ,Dec 9 QEP Resources Inc said it would buy oil assets in Texas' Permian Basin as it looks to transform itself into a pure-play exploration and production company  following pressure from activist investor Jana Partners.,topStory
RIO,Rio Tinto Plc,20131209,UPDATE 1-Australia's ERA says no timeframe for Ranger shutdown ,* Rio's majority-owned ERA launching probe into radioactive leak,topStory
SYK,Stryker Corporation,20131209,Hologic names new CEO  adds two Icahn nominees to board ,Medical device maker Hologic Inc  named a former Stryker Corp  CEO as its chief executive  and said it appointed two directors backed by Carl Icahn to its board as part of a settlement with the activist investor.,topStory
SYY,Sysco Corporation,20131209,Sysco to buy US Foods from private equity  shares leap ,Sysco Corp  will buy US Foods Inc for about $3.5 billion from its private equity owners in a deal that will combine the top two U.S. food distributors and create a company commanding at least a quarter of the $235 billion North American market. | Video ,topStory
SYY,Sysco Corporation,20131209,UPDATE 4-Sysco to buy US Foods from private equity  shares leap ,Dec 9 Sysco Corp will buy US Foods Inc for about $3.5 billion from its private equity owners in a deal that will combine the top two U.S. food distributors and create a company commanding at least a quarter of the $235 billion North American market.,normal
SYY,Sysco Corporation,20131209,BRIEF-Sysco up 23.9 percent premarket; to merge with US Foods ,NEW YORK  Dec 9 Sysco Corp :  * Up 23.9 percent to $42.52 in premarket; to merge with US Foods in $8.2 billion deal,normal
SYY,Sysco Corporation,20131209,Sysco to buy US Foods for $8.2 bln including debt ,Dec 9 Food distributor Sysco Corp said it would buy rival US Foods for about $3.5 billion and assume about $4.7 billion in debt to create a company with about $65 billion in annual revenue.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20131209,Taiwan stocks rise; tech heavyweights  banks up ,TAIPEI  Dec 9 Taiwan stocks rose 1.1 percent early on Monday as investor sentiment was encouraged by a Wall Street rally on Friday  paced by gains in tech heavyweights such as TSMC.     At around 0220 GMT  the main TAIEX index had jumped to 8 457.88  largely in line with most regional bourses.     Taiwan Semiconductor Manufacturing Co (TSMC)  the world's top contract chip maker  advanced 1.5 percent  tracking a 1.26 percent rise of its ADR on Friday.     Hon Hai Precision  a major iP,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20131209,COLUMN-Three ways for investors to catch the global tailwind in 2014 ,CHICAGO  Dec 9 There is a growing consensus that U.S. stocks  as well as stocks around the world  are going to catch a tailwind going into 2014.,normal
VIV,Telefonica Brasil SA,20131209,Spain's Telefonica says has made no decision on TIM Brasil ,MADRID  Dec 9 Spanish group Telefonica  has not yet decided what to do about a Brazilian competition ruling that it should withdraw from having an indirect interest in Brazilian mobile company TIM Participacoes or seek a new partner for its rival  Telefonica Brasil's  Vivo.,topStory
TEX,Terex Corporation,20131209,BRIEF-Volvo construction equipment to buy Terex hauler unit ,STOCKHOLM  Dec 9 Volvo AB :  * Construction equipment set to acquire hauler business from Terex  * Says purchase consideration of approx. USD 160 m on a cash and debt free basis,topStory
SCHW,The Charles Schwab Corporation,20131209,Schwab offers fee rebate to unsatisfied advisory clients ,NEW YORK Charles Schwab Corp on Monday said it will rebate quarterly fees paid by clients in its fee-based investment advisory programs "if  for any reason  they are not happy" with the service they receive.,topStory
SCHW,The Charles Schwab Corporation,20131209,Schwab offers fee rebate to unsatisfied advisory clients ,NEW YORK  Dec 9 Charles Schwab Corp on Monday said it will rebate quarterly fees paid by clients in its fee-based investment advisory programs "if  for any reason  they are not happy" with the service they receive.,normal
SCHW,The Charles Schwab Corporation,20131209,Schwab founder met with China officials about Shanghai office ,NEW YORK Charles Schwab traveled to China in September to discuss opening an office of his eponymous securities firm in Shanghai.,normal
SCHW,The Charles Schwab Corporation,20131209,Schwab founder met with China officials about Shanghai office ,NEW YORK  Dec 9 Charles Schwab traveled to China in September to discuss opening an office of his eponymous securities firm in Shanghai.,normal
TSU,TIM Participacoes SA,20131209,UPDATE 1-Brazil's Cade has not ruled out TIM breakup  source says ,BRASILIA  Dec 9 Brazil's antitrust watchdog Cade has not ruled out the possible division of wireless carrier TIM Participações SA into units to be bought up by local rivals  a government source familiar with the agency's reasoning told Reuters on Monday.,topStory
TSU,TIM Participacoes SA,20131209,Spain's Telefonica says has made no decision on TIM Brasil ,MADRID  Dec 9 Spanish group Telefonica  has not yet decided what to do about a Brazilian competition ruling that it should withdraw from having an indirect interest in Brazilian mobile company TIM Participacoes or seek a new partner for its rival  Telefonica Brasil's  Vivo.,normal
TSU,TIM Participacoes SA,20131209,Brazil regulator has not ruled out TIM breakup -source ,BRASILIA  Dec 9 Brazil's antitrust regulator has not ruled out the possible division of wireless company TIM Participações SA into units to be bought up by local rivals  a government source familiar with the agency's reasoning told Reuters on Monday.,normal
TWX,Time Warner Inc,20131209,Deals of the day-Mergers and acquisitions ,(Adds Occidental  US Foods  St James's Place  Lazada  Mobilicity  Probi  Time Warner  GDF Suez  Stemcor  Harmont & Blaine),topStory
TOT,Total SA,20131209,UPDATE 1-Oil and gas companies to spend 6 pct more in 2014 - Barclays ,* Forecasts 6 pct rise in E&P spending outside North America,topStory
TRP,TransCanada Corporation,20131209,UPDATE 10-Brent slides 2 percent  narrowing premium to U.S. oil ,* China trade data brightens outlook for global demand   (Adds analyst comment  updates to settlement prices),topStory
TRP,TransCanada Corporation,20131209,TransCanada begins filling Gulf Coast oil pipeline ,CALGARY  Alberta  Dec 9 Transcanada Corp  said on Monday that it has begun filling its new 700 000 barrel per day Gulf Coast pipeline with oil but gave no indication on when it expects the line to begin commercial service.,normal
TWTR,Twitter Inc,20131209,US STOCKS-S&P 500 floats up to record close in quiet day on Wall St ,* McDonald's November sales miss estimates  stock weighs on Dow,topStory
TWTR,Twitter Inc,20131209,Twitter shares soar  near all-time high ,SAN FRANCISCO Twitter shares soared more than 9 percent on Monday to their highest level since the company's initial public offering after a spate of product announcements that could boost its revenue prospects.,normal
TWTR,Twitter Inc,20131209,REFILE-Twitter shares soar  near all-time high ,SAN FRANCISCO  Dec 9 Twitter shares soared more than 9 percent on Monday to their highest level since the company's initial public offering after a spate of product announcements that could boost its revenue prospects.,normal
TWTR,Twitter Inc,20131209,BRIEF-Twitter shares up 8.3 percent ,NEW YORK  Dec 9 Twitter Inc :  * Shares up 8.3 percent to $48.70,normal
AUY,Yamana Gold Inc,20131209,CANADA STOCKS-TSX rises on U.S.  Canada data; banks  miners gain ,* TSX rises 32.06 points  or 0.24 percent  to 13 312.78     * Five of 10 main index sectors advance     * RBC plays biggest role in pushing index higher     * Barrick  Yamana Gold climb with bullion prices      By John Tilak     TORONTO  Dec 9 Canada's main stock index climbed on Monday as data from the United States and China suggested growth in the world's two biggest economies was starting to gather steam.     The Toronto market advanced for a second straight session  with bank an,topStory
